# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(10,14),-0.854903 # DEPENDENCYPART_ARC
(10,15),-3.58602 # DEPENDENCYPART_ARC
(10,16),-0.919831 # DEPENDENCYPART_ARC
(10,17),-2.67926 # DEPENDENCYPART_ARC
(10,18),-1.91317 # DEPENDENCYPART_ARC
(10,19),-3.24646 # DEPENDENCYPART_ARC
(10,20),-4.86208 # DEPENDENCYPART_ARC
(10,21),-2.31937 # DEPENDENCYPART_ARC
(10,22),-4.11228 # DEPENDENCYPART_ARC
(10,23),-4.0665 # DEPENDENCYPART_ARC
(10,24),-8.1927 # DEPENDENCYPART_ARC
(10,25),-7.35232 # DEPENDENCYPART_ARC
(10,26),-3.3412 # DEPENDENCYPART_ARC
(11,1),-2.21801 # DEPENDENCYPART_ARC
(11,2),-5.61551 # DEPENDENCYPART_ARC
(11,3),-2.20321 # DEPENDENCYPART_ARC
(11,4),-3.15403 # DEPENDENCYPART_ARC
(11,5),-2.10824 # DEPENDENCYPART_ARC
(11,6),-3.43851 # DEPENDENCYPART_ARC
(11,7),-3.49377 # DEPENDENCYPART_ARC
(11,8),-2.65374 # DEPENDENCYPART_ARC
(11,9),-3.94028 # DEPENDENCYPART_ARC
(11,10),-0.456509 # DEPENDENCYPART_ARC
(11,12),-0.723255 # DEPENDENCYPART_ARC
(11,13),-0.720068 # DEPENDENCYPART_ARC
(11,14),-2.69323 # DEPENDENCYPART_ARC
(11,15),-3.54766 # DEPENDENCYPART_ARC
(11,16),-1.53078 # DEPENDENCYPART_ARC
(11,17),-2.40382 # DEPENDENCYPART_ARC
(11,18),-2.06664 # DEPENDENCYPART_ARC
(11,19),-4.7968 # DEPENDENCYPART_ARC
(11,20),-5.83684 # DEPENDENCYPART_ARC
(11,21),-3.31757 # DEPENDENCYPART_ARC
(11,22),-5.28513 # DEPENDENCYPART_ARC
(11,23),-5.32112 # DEPENDENCYPART_ARC
(11,24),-5.96148 # DEPENDENCYPART_ARC
(11,25),-7.01732 # DEPENDENCYPART_ARC
(11,26),-3.70915 # DEPENDENCYPART_ARC
(12,1),-3.26737 # DEPENDENCYPART_ARC
(12,2),-4.08762 # DEPENDENCYPART_ARC
(12,3),-3.11405 # DEPENDENCYPART_ARC
(12,4),-6.16368 # DEPENDENCYPART_ARC
(12,5),-0.687167 # DEPENDENCYPART_ARC
(12,6),-3.40883 # DEPENDENCYPART_ARC
(12,7),-3.6485 # DEPENDENCYPART_ARC
(12,8),-5.14043 # DEPENDENCYPART_ARC
(12,9),-3.39531 # DEPENDENCYPART_ARC
(12,10),0.272608 # DEPENDENCYPART_ARC
(12,11),5.28241 # DEPENDENCYPART_ARC
(12,13),-0.444428 # DEPENDENCYPART_ARC
(12,14),-1.30501 # DEPENDENCYPART_ARC
(12,15),-2.37852 # DEPENDENCYPART_ARC
(12,16),-1.20411 # DEPENDENCYPART_ARC
(12,17),-3.62375 # DEPENDENCYPART_ARC
(12,18),-2.30005 # DEPENDENCYPART_ARC
(12,19),-2.46735 # DEPENDENCYPART_ARC
(12,20),-5.81163 # DEPENDENCYPART_ARC
(12,21),-0.143897 # DEPENDENCYPART_ARC
(12,22),-4.43553 # DEPENDENCYPART_ARC
(12,23),-4.77653 # DEPENDENCYPART_ARC
(12,24),-4.4123 # DEPENDENCYPART_ARC
(12,25),-3.65422 # DEPENDENCYPART_ARC
(12,26),-6.23482 # DEPENDENCYPART_ARC
(13,1),-0.717423 # DEPENDENCYPART_ARC
(13,2),-0.980067 # DEPENDENCYPART_ARC
(13,3),-0.842602 # DEPENDENCYPART_ARC
(13,4),-0.815684 # DEPENDENCYPART_ARC
(13,5),-0.87783 # DEPENDENCYPART_ARC
(13,6),-0.616722 # DEPENDENCYPART_ARC
(13,7),-0.751634 # DEPENDENCYPART_ARC
(13,8),-0.108139 # DEPENDENCYPART_ARC
(13,9),0.660398 # DEPENDENCYPART_ARC
(13,10),0.14496 # DEPENDENCYPART_ARC
(13,11),0.172668 # DEPENDENCYPART_ARC
(13,12),-0.147409 # DEPENDENCYPART_ARC
(13,14),0.567284 # DEPENDENCYPART_ARC
(13,15),-0.21472 # DEPENDENCYPART_ARC
(13,16),0.105956 # DEPENDENCYPART_ARC
(13,17),-0.946267 # DEPENDENCYPART_ARC
(13,18),-1.24094 # DEPENDENCYPART_ARC
(13,19),-1.15949 # DEPENDENCYPART_ARC
(13,20),-2.15761 # DEPENDENCYPART_ARC
(13,21),-0.870157 # DEPENDENCYPART_ARC
(13,22),-1.87679 # DEPENDENCYPART_ARC
(13,23),-1.71101 # DEPENDENCYPART_ARC
(13,24),-2.82355 # DEPENDENCYPART_ARC
(13,25),-2.39096 # DEPENDENCYPART_ARC
(13,26),-0.735955 # DEPENDENCYPART_ARC
(14,1),3.45929 # DEPENDENCYPART_ARC
(14,2),2.23291 # DEPENDENCYPART_ARC
(14,3),0.493118 # DEPENDENCYPART_ARC
(14,4),1.61362 # DEPENDENCYPART_ARC
(14,5),-0.156703 # DEPENDENCYPART_ARC
(14,6),-1.16318 # DEPENDENCYPART_ARC
(14,7),-1.17447 # DEPENDENCYPART_ARC
(14,8),0.278755 # DEPENDENCYPART_ARC
(14,9),-0.560033 # DEPENDENCYPART_ARC
(14,10),0.773171 # DEPENDENCYPART_ARC
(14,11),-2.28821 # DEPENDENCYPART_ARC
(14,12),-1.17777 # DEPENDENCYPART_ARC
(14,13),0.445848 # DEPENDENCYPART_ARC
(14,15),3.40038 # DEPENDENCYPART_ARC
(14,16),0.320636 # DEPENDENCYPART_ARC
(14,17),-0.647358 # DEPENDENCYPART_ARC
(14,18),0.824643 # DEPENDENCYPART_ARC
(14,19),-4.40095 # DEPENDENCYPART_ARC
(14,20),-0.549291 # DEPENDENCYPART_ARC
(14,21),-1.69627 # DEPENDENCYPART_ARC
(14,22),-2.06612 # DEPENDENCYPART_ARC
(14,23),-2.54023 # DEPENDENCYPART_ARC
(14,24),-1.2411 # DEPENDENCYPART_ARC
(14,25),-2.39407 # DEPENDENCYPART_ARC
(14,26),-0.745977 # DEPENDENCYPART_ARC
(15,1),-4.4329 # DEPENDENCYPART_ARC
(15,2),-2.83619 # DEPENDENCYPART_ARC
(15,3),-4.21355 # DEPENDENCYPART_ARC
(15,4),-6.47098 # DEPENDENCYPART_ARC
(15,5),-0.630734 # DEPENDENCYPART_ARC
(15,6),-5.43196 # DEPENDENCYPART_ARC
(15,7),-5.81744 # DEPENDENCYPART_ARC
(15,8),-5.71156 # DEPENDENCYPART_ARC
(15,9),-3.98626 # DEPENDENCYPART_ARC
(15,10),-0.293888 # DEPENDENCYPART_ARC
(15,11),-1.64595 # DEPENDENCYPART_ARC
(15,12),-4.38215 # DEPENDENCYPART_ARC
(15,13),-1.00991 # DEPENDENCYPART_ARC
(15,14),-0.863169 # DEPENDENCYPART_ARC
(15,16),0.271126 # DEPENDENCYPART_ARC
(15,17),-0.582842 # DEPENDENCYPART_ARC
(15,18),0.505118 # DEPENDENCYPART_ARC
(15,19),0.182194 # DEPENDENCYPART_ARC
(15,20),-2.70757 # DEPENDENCYPART_ARC
(15,21),2.89077 # DEPENDENCYPART_ARC
(15,22),-1.44382 # DEPENDENCYPART_ARC
(15,23),-1.57919 # DEPENDENCYPART_ARC
(15,24),-1.64581 # DEPENDENCYPART_ARC
(15,25),-1.32042 # DEPENDENCYPART_ARC
(15,26),-3.04168 # DEPENDENCYPART_ARC
(16,1),-1.28874 # DEPENDENCYPART_ARC
(16,2),-2.07816 # DEPENDENCYPART_ARC
(16,3),-1.48588 # DEPENDENCYPART_ARC
(16,4),-1.8376 # DEPENDENCYPART_ARC
(16,5),-1.88227 # DEPENDENCYPART_ARC
(16,6),-1.39684 # DEPENDENCYPART_ARC
(16,7),-1.593 # DEPENDENCYPART_ARC
(16,8),-1.45617 # DEPENDENCYPART_ARC
(16,9),0.0143516 # DEPENDENCYPART_ARC
(16,10),-0.897309 # DEPENDENCYPART_ARC
(16,11),-0.705128 # DEPENDENCYPART_ARC
(16,12),-0.490659 # DEPENDENCYPART_ARC
(16,13),0.0478664 # DEPENDENCYPART_ARC
(16,14),0.327687 # DEPENDENCYPART_ARC
(16,15),0.0524929 # DEPENDENCYPART_ARC
(16,17),-0.192368 # DEPENDENCYPART_ARC
(16,18),-0.646414 # DEPENDENCYPART_ARC
(16,19),-0.738159 # DEPENDENCYPART_ARC
(16,20),-0.915416 # DEPENDENCYPART_ARC
(16,21),0.65609 # DEPENDENCYPART_ARC
(16,22),-1.3483 # DEPENDENCYPART_ARC
(16,23),-1.22434 # DEPENDENCYPART_ARC
(16,24),-1.8812 # DEPENDENCYPART_ARC
(16,25),-1.41736 # DEPENDENCYPART_ARC
(16,26),-0.721484 # DEPENDENCYPART_ARC
(17,1),-1.53522 # DEPENDENCYPART_ARC
(17,2),-3.01321 # DEPENDENCYPART_ARC
(17,3),-1.64042 # DEPENDENCYPART_ARC
(17,4),-1.32775 # DEPENDENCYPART_ARC
(17,5),-1.52892 # DEPENDENCYPART_ARC
(17,6),-2.32709 # DEPENDENCYPART_ARC
(17,7),-2.26372 # DEPENDENCYPART_ARC
(17,8),-1.56859 # DEPENDENCYPART_ARC
(17,9),-1.59246 # DEPENDENCYPART_ARC
(17,10),-1.06321 # DEPENDENCYPART_ARC
(17,11),-1.74208 # DEPENDENCYPART_ARC
(17,12),-1.04005 # DEPENDENCYPART_ARC
(17,13),-0.895991 # DEPENDENCYPART_ARC
(17,14),0.202472 # DEPENDENCYPART_ARC
(17,15),-0.251675 # DEPENDENCYPART_ARC
(17,16),0.0175556 # DEPENDENCYPART_ARC
(17,18),-0.288734 # DEPENDENCYPART_ARC
(17,19),-0.493159 # DEPENDENCYPART_ARC
(17,20),-1.41634 # DEPENDENCYPART_ARC
(17,21),-0.243958 # DEPENDENCYPART_ARC
(17,22),-2.05893 # DEPENDENCYPART_ARC
(17,23),-2.5419 # DEPENDENCYPART_ARC
(17,24),-2.51391 # DEPENDENCYPART_ARC
(17,25),-3.42977 # DEPENDENCYPART_ARC
(17,26),-0.65337 # DEPENDENCYPART_ARC
(18,1),-2.12389 # DEPENDENCYPART_ARC
(18,2),-4.04949 # DEPENDENCYPART_ARC
(18,3),-2.15173 # DEPENDENCYPART_ARC
(18,4),-2.52033 # DEPENDENCYPART_ARC
(18,5),-3.05062 # DEPENDENCYPART_ARC
(18,6),-3.24699 # DEPENDENCYPART_ARC
(18,7),-3.17906 # DEPENDENCYPART_ARC
(18,8),-3.59746 # DEPENDENCYPART_ARC
(18,9),-2.86719 # DEPENDENCYPART_ARC
(18,10),-1.60794 # DEPENDENCYPART_ARC
(18,11),-2.43857 # DEPENDENCYPART_ARC
(18,12),-2.06173 # DEPENDENCYPART_ARC
(18,13),-0.776742 # DEPENDENCYPART_ARC
(18,14),-2.29112 # DEPENDENCYPART_ARC
(18,15),-1.2988 # DEPENDENCYPART_ARC
(18,16),0.479998 # DEPENDENCYPART_ARC
(18,17),0.183307 # DEPENDENCYPART_ARC
(18,19),1.69872 # DEPENDENCYPART_ARC
(18,20),5.64075 # DEPENDENCYPART_ARC
(18,21),-0.63974 # DEPENDENCYPART_ARC
(18,22),-1.7718 # DEPENDENCYPART_ARC
(18,23),-1.7698 # DEPENDENCYPART_ARC
(18,24),-2.37899 # DEPENDENCYPART_ARC
(18,25),-2.3001 # DEPENDENCYPART_ARC
(18,26),-0.607439 # DEPENDENCYPART_ARC
(19,1),-2.71785 # DEPENDENCYPART_ARC
(19,2),-5.72845 # DEPENDENCYPART_ARC
(19,3),-4.52758 # DEPENDENCYPART_ARC
(19,4),-4.02037 # DEPENDENCYPART_ARC
(19,5),-2.62444 # DEPENDENCYPART_ARC
(19,6),-3.74419 # DEPENDENCYPART_ARC
(19,7),-3.71197 # DEPENDENCYPART_ARC
(19,8),-3.37217 # DEPENDENCYPART_ARC
(19,9),-4.90288 # DEPENDENCYPART_ARC
(19,10),-2.33648 # DEPENDENCYPART_ARC
(19,11),-2.58337 # DEPENDENCYPART_ARC
(19,12),-2.9424 # DEPENDENCYPART_ARC
(19,13),-2.09549 # DEPENDENCYPART_ARC
(19,14),-2.70442 # DEPENDENCYPART_ARC
(19,15),-2.11613 # DEPENDENCYPART_ARC
(19,16),-1.61514 # DEPENDENCYPART_ARC
(19,17),-1.80956 # DEPENDENCYPART_ARC
(19,18),-1.08586 # DEPENDENCYPART_ARC
(19,20),-1.30524 # DEPENDENCYPART_ARC
(19,21),-4.08032 # DEPENDENCYPART_ARC
(19,22),-3.67022 # DEPENDENCYPART_ARC
(19,23),-3.88804 # DEPENDENCYPART_ARC
(19,24),-3.13699 # DEPENDENCYPART_ARC
(19,25),-4.84757 # DEPENDENCYPART_ARC
(19,26),-1.51834 # DEPENDENCYPART_ARC
(20,1),-5.10341 # DEPENDENCYPART_ARC
(20,2),-6.50371 # DEPENDENCYPART_ARC
(20,3),-2.61055 # DEPENDENCYPART_ARC
(20,4),-6.14052 # DEPENDENCYPART_ARC
