# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,15,6,6,2,6,7,15,15,15,13,11,15,0,15,0,
(4,1),-0.512933 # DEPENDENCYPART_ARC
(4,2),-0.708737 # DEPENDENCYPART_ARC
(4,3),0.0733999 # DEPENDENCYPART_ARC
(4,5),0.824928 # DEPENDENCYPART_ARC
(4,6),0.463995 # DEPENDENCYPART_ARC
(4,7),-0.73724 # DEPENDENCYPART_ARC
(4,8),-0.688865 # DEPENDENCYPART_ARC
(4,9),-0.445611 # DEPENDENCYPART_ARC
(4,10),-1.20572 # DEPENDENCYPART_ARC
(4,11),-1.26892 # DEPENDENCYPART_ARC
(4,12),-1.08178 # DEPENDENCYPART_ARC
(4,13),-2.07169 # DEPENDENCYPART_ARC
(4,14),-1.74284 # DEPENDENCYPART_ARC
(4,15),-1.30858 # DEPENDENCYPART_ARC
(4,16),-1.96303 # DEPENDENCYPART_ARC
(4,17),-1.2189 # DEPENDENCYPART_ARC
(5,1),-1.18575 # DEPENDENCYPART_ARC
(5,2),-1.48243 # DEPENDENCYPART_ARC
(5,3),-1.17456 # DEPENDENCYPART_ARC
(5,4),-0.428585 # DEPENDENCYPART_ARC
(5,6),-3.12115 # DEPENDENCYPART_ARC
(5,7),-2.37144 # DEPENDENCYPART_ARC
(5,8),-1.80304 # DEPENDENCYPART_ARC
(5,9),-2.11221 # DEPENDENCYPART_ARC
(5,10),-3.43993 # DEPENDENCYPART_ARC
(5,11),-2.89688 # DEPENDENCYPART_ARC
(5,12),-3.09876 # DEPENDENCYPART_ARC
(5,13),-3.26889 # DEPENDENCYPART_ARC
(5,14),-3.03305 # DEPENDENCYPART_ARC
(5,15),-5.26966 # DEPENDENCYPART_ARC
(5,16),-2.61044 # DEPENDENCYPART_ARC
(5,17),-2.85728 # DEPENDENCYPART_ARC
(6,1),1.30736 # DEPENDENCYPART_ARC
(6,2),-0.325123 # DEPENDENCYPART_ARC
(6,3),2.2254 # DEPENDENCYPART_ARC
(6,4),3.50025 # DEPENDENCYPART_ARC
(6,5),4.5927 # DEPENDENCYPART_ARC
(6,7),2.46066 # DEPENDENCYPART_ARC
(6,8),-0.369505 # DEPENDENCYPART_ARC
(6,9),1.4088 # DEPENDENCYPART_ARC
(6,10),0.790969 # DEPENDENCYPART_ARC
(6,11),0.91687 # DEPENDENCYPART_ARC
(6,12),-1.83103 # DEPENDENCYPART_ARC
(6,13),-0.187891 # DEPENDENCYPART_ARC
(6,14),-0.514607 # DEPENDENCYPART_ARC
(6,15),-2.14049 # DEPENDENCYPART_ARC
(6,16),-1.09045 # DEPENDENCYPART_ARC
(6,17),-0.466713 # DEPENDENCYPART_ARC
(7,1),-2.76626 # DEPENDENCYPART_ARC
(7,2),-1.62733 # DEPENDENCYPART_ARC
(7,3),-0.984535 # DEPENDENCYPART_ARC
(7,4),-1.80842 # DEPENDENCYPART_ARC
(7,5),-1.19264 # DEPENDENCYPART_ARC
(7,6),-1.43249 # DEPENDENCYPART_ARC
(7,8),4.29632 # DEPENDENCYPART_ARC
(7,9),0.0435753 # DEPENDENCYPART_ARC
(7,10),-0.869747 # DEPENDENCYPART_ARC
(7,11),-1.33211 # DEPENDENCYPART_ARC
(7,12),-1.23632 # DEPENDENCYPART_ARC
(7,13),-2.80467 # DEPENDENCYPART_ARC
(7,14),-4.34758 # DEPENDENCYPART_ARC
(7,15),-2.25969 # DEPENDENCYPART_ARC
(7,16),-7.00947 # DEPENDENCYPART_ARC
(7,17),-1.90281 # DEPENDENCYPART_ARC
(8,1),-1.385 # DEPENDENCYPART_ARC
(8,2),-2.97829 # DEPENDENCYPART_ARC
(8,3),-1.54273 # DEPENDENCYPART_ARC
(8,4),-3.20076 # DEPENDENCYPART_ARC
(8,5),-3.40289 # DEPENDENCYPART_ARC
(8,6),-3.30248 # DEPENDENCYPART_ARC
(8,7),0.532295 # DEPENDENCYPART_ARC
(8,9),-0.74444 # DEPENDENCYPART_ARC
(8,10),-2.81469 # DEPENDENCYPART_ARC
(8,11),-0.875579 # DEPENDENCYPART_ARC
(8,12),-1.86479 # DEPENDENCYPART_ARC
(8,13),-3.61222 # DEPENDENCYPART_ARC
(8,14),-0.919767 # DEPENDENCYPART_ARC
(8,15),0.299814 # DEPENDENCYPART_ARC
(8,16),-7.16594 # DEPENDENCYPART_ARC
(8,17),-3.44032 # DEPENDENCYPART_ARC
(9,1),-1.67401 # DEPENDENCYPART_ARC
(9,2),-0.631068 # DEPENDENCYPART_ARC
(9,3),0.405582 # DEPENDENCYPART_ARC
(9,4),-0.604514 # DEPENDENCYPART_ARC
(9,5),-0.541732 # DEPENDENCYPART_ARC
(9,6),0.33322 # DEPENDENCYPART_ARC
(9,7),-0.573725 # DEPENDENCYPART_ARC
(9,8),0.329012 # DEPENDENCYPART_ARC
(9,10),-0.158967 # DEPENDENCYPART_ARC
(9,11),-0.36894 # DEPENDENCYPART_ARC
(9,12),-0.462971 # DEPENDENCYPART_ARC
(9,13),-0.308697 # DEPENDENCYPART_ARC
(9,14),-0.680997 # DEPENDENCYPART_ARC
(9,15),0.247954 # DEPENDENCYPART_ARC
(9,16),-1.63123 # DEPENDENCYPART_ARC
(9,17),-0.845718 # DEPENDENCYPART_ARC
(10,1),-0.820153 # DEPENDENCYPART_ARC
(10,2),-1.64107 # DEPENDENCYPART_ARC
(10,3),-0.894914 # DEPENDENCYPART_ARC
(10,4),-1.47396 # DEPENDENCYPART_ARC
(10,5),-1.39972 # DEPENDENCYPART_ARC
(10,6),-2.10962 # DEPENDENCYPART_ARC
(10,7),-0.610413 # DEPENDENCYPART_ARC
(10,8),-1.26293 # DEPENDENCYPART_ARC
(10,9),0.359619 # DEPENDENCYPART_ARC
(10,11),-0.301509 # DEPENDENCYPART_ARC
(10,12),-0.355638 # DEPENDENCYPART_ARC
(10,13),-1.30942 # DEPENDENCYPART_ARC
(10,14),-2.38467 # DEPENDENCYPART_ARC
(10,15),-2.1578 # DEPENDENCYPART_ARC
(10,16),-1.56345 # DEPENDENCYPART_ARC
(10,17),-0.626935 # DEPENDENCYPART_ARC
(11,1),-3.45748 # DEPENDENCYPART_ARC
(11,2),-2.49033 # DEPENDENCYPART_ARC
(11,3),-1.19876 # DEPENDENCYPART_ARC
(11,4),-2.6027 # DEPENDENCYPART_ARC
(11,5),-2.57047 # DEPENDENCYPART_ARC
(11,6),-2.61711 # DEPENDENCYPART_ARC
(11,7),-1.20871 # DEPENDENCYPART_ARC
(11,8),-0.936193 # DEPENDENCYPART_ARC
(11,9),0.0705262 # DEPENDENCYPART_ARC
(11,10),-1.01929 # DEPENDENCYPART_ARC
(11,12),1.70755 # DEPENDENCYPART_ARC
(11,13),4.68001 # DEPENDENCYPART_ARC
(11,14),-0.120755 # DEPENDENCYPART_ARC
(11,15),-1.04971 # DEPENDENCYPART_ARC
(11,16),-2.06103 # DEPENDENCYPART_ARC
(11,17),-1.13789 # DEPENDENCYPART_ARC
(12,1),-1.40713 # DEPENDENCYPART_ARC
(12,2),-1.61146 # DEPENDENCYPART_ARC
(12,3),-1.40487 # DEPENDENCYPART_ARC
(12,4),-1.25721 # DEPENDENCYPART_ARC
(12,5),-1.04603 # DEPENDENCYPART_ARC
(12,6),-3.02385 # DEPENDENCYPART_ARC
(12,7),-1.01276 # DEPENDENCYPART_ARC
(12,8),-1.65272 # DEPENDENCYPART_ARC
(12,9),-0.26548 # DEPENDENCYPART_ARC
(12,10),0.108616 # DEPENDENCYPART_ARC
(12,11),-0.0253183 # DEPENDENCYPART_ARC
(12,13),1.73064 # DEPENDENCYPART_ARC
(12,14),-2.05643 # DEPENDENCYPART_ARC
(12,15),-2.40447 # DEPENDENCYPART_ARC
(12,16),-2.09548 # DEPENDENCYPART_ARC
(12,17),-0.805213 # DEPENDENCYPART_ARC
(13,1),-1.18113 # DEPENDENCYPART_ARC
(13,2),-3.07297 # DEPENDENCYPART_ARC
(13,3),-1.0372 # DEPENDENCYPART_ARC
(13,4),-3.64501 # DEPENDENCYPART_ARC
(13,5),-3.65527 # DEPENDENCYPART_ARC
(13,6),-3.88758 # DEPENDENCYPART_ARC
(13,7),-1.10092 # DEPENDENCYPART_ARC
(13,8),-1.99374 # DEPENDENCYPART_ARC
(13,9),-0.0513577 # DEPENDENCYPART_ARC
(13,10),-1.02591 # DEPENDENCYPART_ARC
(13,11),0.117443 # DEPENDENCYPART_ARC
(13,12),3.76267 # DEPENDENCYPART_ARC
(13,14),1.58202 # DEPENDENCYPART_ARC
(13,15),-1.95372 # DEPENDENCYPART_ARC
(13,16),-3.83857 # DEPENDENCYPART_ARC
(13,17),-1.46234 # DEPENDENCYPART_ARC
(14,1),-1.90412 # DEPENDENCYPART_ARC
(14,2),-6.27844 # DEPENDENCYPART_ARC
(14,3),-2.23081 # DEPENDENCYPART_ARC
(14,4),-4.96926 # DEPENDENCYPART_ARC
(14,5),-5.2774 # DEPENDENCYPART_ARC
(14,6),-4.70279 # DEPENDENCYPART_ARC
(14,7),-1.95313 # DEPENDENCYPART_ARC
(14,8),-3.78233 # DEPENDENCYPART_ARC
(14,9),-1.13323 # DEPENDENCYPART_ARC
(14,10),-3.59096 # DEPENDENCYPART_ARC
(14,11),-0.289815 # DEPENDENCYPART_ARC
(14,12),0.961583 # DEPENDENCYPART_ARC
(14,13),-2.75322 # DEPENDENCYPART_ARC
(14,15),-1.01331 # DEPENDENCYPART_ARC
(14,16),-5.15425 # DEPENDENCYPART_ARC
(14,17),-0.836627 # DEPENDENCYPART_ARC
(15,1),1.39334 # DEPENDENCYPART_ARC
(15,2),-1.34885 # DEPENDENCYPART_ARC
(15,3),2.33519 # DEPENDENCYPART_ARC
(15,4),2.17922 # DEPENDENCYPART_ARC
(15,5),2.56198 # DEPENDENCYPART_ARC
(15,6),-0.989336 # DEPENDENCYPART_ARC
(15,7),1.48553 # DEPENDENCYPART_ARC
(15,8),-2.44866 # DEPENDENCYPART_ARC
(15,9),2.54615 # DEPENDENCYPART_ARC
(15,10),3.96478 # DEPENDENCYPART_ARC
(15,11),2.83813 # DEPENDENCYPART_ARC
(15,12),0.540717 # DEPENDENCYPART_ARC
(15,13),1.48146 # DEPENDENCYPART_ARC
(15,14),2.25481 # DEPENDENCYPART_ARC
(15,16),3.31719 # DEPENDENCYPART_ARC
(15,17),-0.363707 # DEPENDENCYPART_ARC
(16,1),-1.03139 # DEPENDENCYPART_ARC
(16,2),-3.19638 # DEPENDENCYPART_ARC
(16,3),-2.31573 # DEPENDENCYPART_ARC
(16,4),-4.74605 # DEPENDENCYPART_ARC
(16,5),-4.94874 # DEPENDENCYPART_ARC
(16,6),-3.15198 # DEPENDENCYPART_ARC
(16,7),-1.73358 # DEPENDENCYPART_ARC
(16,8),-4.06124 # DEPENDENCYPART_ARC
(16,9),-1.40006 # DEPENDENCYPART_ARC
(16,10),-3.23176 # DEPENDENCYPART_ARC
(16,11),0.545874 # DEPENDENCYPART_ARC
(16,12),0.672766 # DEPENDENCYPART_ARC
(16,13),-1.48907 # DEPENDENCYPART_ARC
(16,14),-1.97863 # DEPENDENCYPART_ARC
(16,15),-1.26177 # DEPENDENCYPART_ARC
(16,17),0.577825 # DEPENDENCYPART_ARC
(17,1),-5.37515 # DEPENDENCYPART_ARC
(17,2),-3.73505 # DEPENDENCYPART_ARC
(17,3),-4.66215 # DEPENDENCYPART_ARC
(17,4),-3.77275 # DEPENDENCYPART_ARC
(17,5),-3.97298 # DEPENDENCYPART_ARC
(17,6),-4.04489 # DEPENDENCYPART_ARC
(17,7),-4.00355 # DEPENDENCYPART_ARC
(17,8),-3.65012 # DEPENDENCYPART_ARC
(17,9),-3.67951 # DEPENDENCYPART_ARC
(17,10),-3.23792 # DEPENDENCYPART_ARC
(17,11),-3.57214 # DEPENDENCYPART_ARC
(17,12),-3.29869 # DEPENDENCYPART_ARC
(17,13),-3.3113 # DEPENDENCYPART_ARC
(17,14),-3.04326 # DEPENDENCYPART_ARC
(17,15),-3.31961 # DEPENDENCYPART_ARC
(17,16),-2.40834 # DEPENDENCYPART_ARC
