# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,10,8,6,8,12,12,0,12,15,13,15,16,17,20,18,20,21,0,
(3,9),-0.139796 # DEPENDENCYPART_ARC
(3,10),-0.688681 # DEPENDENCYPART_ARC
(3,11),-0.393672 # DEPENDENCYPART_ARC
(3,12),-2.20904 # DEPENDENCYPART_ARC
(3,13),-6.39551 # DEPENDENCYPART_ARC
(3,14),-1.02026 # DEPENDENCYPART_ARC
(3,15),-2.4957 # DEPENDENCYPART_ARC
(3,16),-5.02051 # DEPENDENCYPART_ARC
(3,17),-2.52141 # DEPENDENCYPART_ARC
(3,18),-4.94313 # DEPENDENCYPART_ARC
(3,19),-4.31724 # DEPENDENCYPART_ARC
(3,20),-3.00244 # DEPENDENCYPART_ARC
(3,21),-2.67668 # DEPENDENCYPART_ARC
(3,22),-5.13351 # DEPENDENCYPART_ARC
(3,23),-6.91927 # DEPENDENCYPART_ARC
(4,1),-1.03704 # DEPENDENCYPART_ARC
(4,2),-0.696104 # DEPENDENCYPART_ARC
(4,3),-0.282125 # DEPENDENCYPART_ARC
(4,5),5.97548 # DEPENDENCYPART_ARC
(4,6),-1.64145 # DEPENDENCYPART_ARC
(4,7),-0.684057 # DEPENDENCYPART_ARC
(4,8),-0.858019 # DEPENDENCYPART_ARC
(4,9),-0.798632 # DEPENDENCYPART_ARC
(4,10),-1.25926 # DEPENDENCYPART_ARC
(4,11),-1.37537 # DEPENDENCYPART_ARC
(4,12),-2.28671 # DEPENDENCYPART_ARC
(4,13),-3.87223 # DEPENDENCYPART_ARC
(4,14),-2.03373 # DEPENDENCYPART_ARC
(4,15),-3.31971 # DEPENDENCYPART_ARC
(4,16),-2.51247 # DEPENDENCYPART_ARC
(4,17),-2.49467 # DEPENDENCYPART_ARC
(4,18),-3.60995 # DEPENDENCYPART_ARC
(4,19),-3.53331 # DEPENDENCYPART_ARC
(4,20),-7.41327 # DEPENDENCYPART_ARC
(4,21),-2.92043 # DEPENDENCYPART_ARC
(4,22),-6.86442 # DEPENDENCYPART_ARC
(4,23),-3.63945 # DEPENDENCYPART_ARC
(5,1),-0.303087 # DEPENDENCYPART_ARC
(5,2),0.218837 # DEPENDENCYPART_ARC
(5,3),-3.35705 # DEPENDENCYPART_ARC
(5,4),0.693739 # DEPENDENCYPART_ARC
(5,6),-0.46308 # DEPENDENCYPART_ARC
(5,7),-0.438086 # DEPENDENCYPART_ARC
(5,8),-0.638391 # DEPENDENCYPART_ARC
(5,9),-0.481069 # DEPENDENCYPART_ARC
(5,10),-1.08514 # DEPENDENCYPART_ARC
(5,11),-1.27156 # DEPENDENCYPART_ARC
(5,12),-3.12114 # DEPENDENCYPART_ARC
(5,13),-6.45912 # DEPENDENCYPART_ARC
(5,14),-1.09231 # DEPENDENCYPART_ARC
(5,15),-2.29253 # DEPENDENCYPART_ARC
(5,16),-6.26798 # DEPENDENCYPART_ARC
(5,17),-2.92496 # DEPENDENCYPART_ARC
(5,18),-5.11998 # DEPENDENCYPART_ARC
(5,19),-4.37763 # DEPENDENCYPART_ARC
(5,20),-2.35701 # DEPENDENCYPART_ARC
(5,21),-2.7899 # DEPENDENCYPART_ARC
(5,22),-5.14715 # DEPENDENCYPART_ARC
(5,23),-6.44536 # DEPENDENCYPART_ARC
(6,1),0.822892 # DEPENDENCYPART_ARC
(6,2),0.960244 # DEPENDENCYPART_ARC
(6,3),3.13809 # DEPENDENCYPART_ARC
(6,4),1.41002 # DEPENDENCYPART_ARC
(6,5),1.0114 # DEPENDENCYPART_ARC
(6,7),1.96001 # DEPENDENCYPART_ARC
(6,8),1.26173 # DEPENDENCYPART_ARC
(6,9),0.613831 # DEPENDENCYPART_ARC
(6,10),0.721437 # DEPENDENCYPART_ARC
(6,11),0.717283 # DEPENDENCYPART_ARC
(6,12),-1.01629 # DEPENDENCYPART_ARC
(6,13),0.961588 # DEPENDENCYPART_ARC
(6,14),0.704938 # DEPENDENCYPART_ARC
(6,15),0.142641 # DEPENDENCYPART_ARC
(6,16),-2.81316 # DEPENDENCYPART_ARC
(6,17),-1.1104 # DEPENDENCYPART_ARC
(6,18),-2.63903 # DEPENDENCYPART_ARC
(6,19),-6.55383 # DEPENDENCYPART_ARC
(6,20),-3.87955 # DEPENDENCYPART_ARC
(6,21),-1.16865 # DEPENDENCYPART_ARC
(6,22),-4.80972 # DEPENDENCYPART_ARC
(6,23),-0.369335 # DEPENDENCYPART_ARC
(7,1),-1.11308 # DEPENDENCYPART_ARC
(7,2),-1.04173 # DEPENDENCYPART_ARC
(7,3),-1.40948 # DEPENDENCYPART_ARC
(7,4),-1.04836 # DEPENDENCYPART_ARC
(7,5),-0.975084 # DEPENDENCYPART_ARC
(7,6),-0.88958 # DEPENDENCYPART_ARC
(7,8),-0.355355 # DEPENDENCYPART_ARC
(7,9),-1.33885 # DEPENDENCYPART_ARC
(7,10),-1.38001 # DEPENDENCYPART_ARC
(7,11),-1.4734 # DEPENDENCYPART_ARC
(7,12),-1.87423 # DEPENDENCYPART_ARC
(7,13),-2.06768 # DEPENDENCYPART_ARC
(7,14),-1.55036 # DEPENDENCYPART_ARC
(7,15),-2.25278 # DEPENDENCYPART_ARC
(7,16),-2.55232 # DEPENDENCYPART_ARC
(7,17),-2.57329 # DEPENDENCYPART_ARC
(7,18),-3.31224 # DEPENDENCYPART_ARC
(7,19),-2.70671 # DEPENDENCYPART_ARC
(7,20),-3.40944 # DEPENDENCYPART_ARC
(7,21),-2.9839 # DEPENDENCYPART_ARC
(7,22),-3.76687 # DEPENDENCYPART_ARC
(7,23),-3.47436 # DEPENDENCYPART_ARC
(8,1),-0.0162564 # DEPENDENCYPART_ARC
(8,2),0.130395 # DEPENDENCYPART_ARC
(8,3),0.48923 # DEPENDENCYPART_ARC
(8,4),0.500829 # DEPENDENCYPART_ARC
(8,5),0.974781 # DEPENDENCYPART_ARC
(8,6),1.53221 # DEPENDENCYPART_ARC
(8,7),2.02907 # DEPENDENCYPART_ARC
(8,9),1.36512 # DEPENDENCYPART_ARC
(8,10),0.342923 # DEPENDENCYPART_ARC
(8,11),0.861762 # DEPENDENCYPART_ARC
(8,12),0.501011 # DEPENDENCYPART_ARC
(8,13),0.81054 # DEPENDENCYPART_ARC
(8,14),-0.799907 # DEPENDENCYPART_ARC
(8,15),-0.670516 # DEPENDENCYPART_ARC
(8,16),-1.39731 # DEPENDENCYPART_ARC
(8,17),-0.00314492 # DEPENDENCYPART_ARC
(8,18),-1.50996 # DEPENDENCYPART_ARC
(8,19),-1.20983 # DEPENDENCYPART_ARC
(8,20),-1.45836 # DEPENDENCYPART_ARC
(8,21),-1.43755 # DEPENDENCYPART_ARC
(8,22),-2.38391 # DEPENDENCYPART_ARC
(8,23),-1.72167 # DEPENDENCYPART_ARC
(9,1),-1.9833 # DEPENDENCYPART_ARC
(9,2),-2.12446 # DEPENDENCYPART_ARC
(9,3),-2.12027 # DEPENDENCYPART_ARC
(9,4),-1.55011 # DEPENDENCYPART_ARC
(9,5),-1.58581 # DEPENDENCYPART_ARC
(9,6),-1.40497 # DEPENDENCYPART_ARC
(9,7),-0.920866 # DEPENDENCYPART_ARC
(9,8),-0.651159 # DEPENDENCYPART_ARC
(9,10),0.585439 # DEPENDENCYPART_ARC
(9,11),-0.671948 # DEPENDENCYPART_ARC
(9,12),-0.568039 # DEPENDENCYPART_ARC
(9,13),-1.23484 # DEPENDENCYPART_ARC
(9,14),-1.02888 # DEPENDENCYPART_ARC
(9,15),-0.425396 # DEPENDENCYPART_ARC
(9,16),-1.89259 # DEPENDENCYPART_ARC
(9,17),-1.67588 # DEPENDENCYPART_ARC
(9,18),-2.00468 # DEPENDENCYPART_ARC
(9,19),-2.41123 # DEPENDENCYPART_ARC
(9,20),-1.95205 # DEPENDENCYPART_ARC
(9,21),-1.94194 # DEPENDENCYPART_ARC
(9,22),-2.06247 # DEPENDENCYPART_ARC
(9,23),-2.27666 # DEPENDENCYPART_ARC
(10,1),0.240224 # DEPENDENCYPART_ARC
(10,2),0.341864 # DEPENDENCYPART_ARC
(10,3),0.0260665 # DEPENDENCYPART_ARC
(10,4),0.261755 # DEPENDENCYPART_ARC
(10,5),0.495234 # DEPENDENCYPART_ARC
(10,6),1.43955 # DEPENDENCYPART_ARC
(10,7),0.869104 # DEPENDENCYPART_ARC
(10,8),0.716819 # DEPENDENCYPART_ARC
(10,9),1.35486 # DEPENDENCYPART_ARC
(10,11),0.478364 # DEPENDENCYPART_ARC
(10,12),1.17641 # DEPENDENCYPART_ARC
(10,13),-0.0369455 # DEPENDENCYPART_ARC
(10,14),0.209389 # DEPENDENCYPART_ARC
(10,15),0.188819 # DEPENDENCYPART_ARC
(10,16),-0.559034 # DEPENDENCYPART_ARC
(10,17),-0.613449 # DEPENDENCYPART_ARC
(10,18),-2.20814 # DEPENDENCYPART_ARC
(10,19),-0.548844 # DEPENDENCYPART_ARC
(10,20),-2.50924 # DEPENDENCYPART_ARC
(10,21),-1.64838 # DEPENDENCYPART_ARC
(10,22),-2.58669 # DEPENDENCYPART_ARC
(10,23),-0.82578 # DEPENDENCYPART_ARC
(11,1),-0.306519 # DEPENDENCYPART_ARC
(11,2),-0.386949 # DEPENDENCYPART_ARC
(11,3),-1.44068 # DEPENDENCYPART_ARC
(11,4),-0.155226 # DEPENDENCYPART_ARC
(11,5),-0.671578 # DEPENDENCYPART_ARC
(11,6),-0.897799 # DEPENDENCYPART_ARC
(11,7),0.245691 # DEPENDENCYPART_ARC
(11,8),0.154742 # DEPENDENCYPART_ARC
(11,9),0.778493 # DEPENDENCYPART_ARC
(11,10),0.410487 # DEPENDENCYPART_ARC
(11,12),-0.11097 # DEPENDENCYPART_ARC
(11,13),-0.780412 # DEPENDENCYPART_ARC
(11,14),-0.424259 # DEPENDENCYPART_ARC
(11,15),-0.896697 # DEPENDENCYPART_ARC
(11,16),-1.83935 # DEPENDENCYPART_ARC
(11,17),-0.960983 # DEPENDENCYPART_ARC
(11,18),-2.27922 # DEPENDENCYPART_ARC
(11,19),-1.75251 # DEPENDENCYPART_ARC
(11,20),-1.75572 # DEPENDENCYPART_ARC
(11,21),-1.9241 # DEPENDENCYPART_ARC
(11,22),-3.09099 # DEPENDENCYPART_ARC
(11,23),-2.15206 # DEPENDENCYPART_ARC
(12,1),-0.0151977 # DEPENDENCYPART_ARC
(12,2),-0.273203 # DEPENDENCYPART_ARC
(12,3),1.64078 # DEPENDENCYPART_ARC
(12,4),-0.409317 # DEPENDENCYPART_ARC
(12,5),0.134257 # DEPENDENCYPART_ARC
(12,6),0.220554 # DEPENDENCYPART_ARC
(12,7),0.782692 # DEPENDENCYPART_ARC
(12,8),0.772978 # DEPENDENCYPART_ARC
(12,9),0.688324 # DEPENDENCYPART_ARC
(12,10),1.83838 # DEPENDENCYPART_ARC
(12,11),3.22415 # DEPENDENCYPART_ARC
(12,13),3.51141 # DEPENDENCYPART_ARC
(12,14),0.584295 # DEPENDENCYPART_ARC
(12,15),1.04781 # DEPENDENCYPART_ARC
(12,16),-2.01081 # DEPENDENCYPART_ARC
(12,17),-0.646387 # DEPENDENCYPART_ARC
(12,18),-2.93756 # DEPENDENCYPART_ARC
(12,19),-5.46638 # DEPENDENCYPART_ARC
(12,20),-3.98991 # DEPENDENCYPART_ARC
(12,21),-0.808373 # DEPENDENCYPART_ARC
(12,22),-4.31788 # DEPENDENCYPART_ARC
(12,23),-0.709086 # DEPENDENCYPART_ARC
(13,1),-2.0975 # DEPENDENCYPART_ARC
(13,2),-2.10984 # DEPENDENCYPART_ARC
(13,3),-6.33028 # DEPENDENCYPART_ARC
(13,4),-0.807436 # DEPENDENCYPART_ARC
(13,5),-5.86492 # DEPENDENCYPART_ARC
(13,6),-3.01902 # DEPENDENCYPART_ARC
(13,7),-0.724663 # DEPENDENCYPART_ARC
(13,8),-0.574173 # DEPENDENCYPART_ARC
(13,9),0.0789623 # DEPENDENCYPART_ARC
(13,10),-0.711696 # DEPENDENCYPART_ARC
(13,11),-0.545654 # DEPENDENCYPART_ARC
(13,12),-0.474914 # DEPENDENCYPART_ARC
(13,14),0.0657975 # DEPENDENCYPART_ARC
(13,15),2.30851 # DEPENDENCYPART_ARC
(13,16),-0.765188 # DEPENDENCYPART_ARC
(13,17),-0.606171 # DEPENDENCYPART_ARC
(13,18),-1.87318 # DEPENDENCYPART_ARC
(13,19),-1.30796 # DEPENDENCYPART_ARC
(13,20),-0.131204 # DEPENDENCYPART_ARC
(13,21),-1.04805 # DEPENDENCYPART_ARC
(13,22),-1.90771 # DEPENDENCYPART_ARC
(13,23),-3.74925 # DEPENDENCYPART_ARC
(14,1),-0.839239 # DEPENDENCYPART_ARC
(14,2),-1.11837 # DEPENDENCYPART_ARC
(14,3),-1.81549 # DEPENDENCYPART_ARC
(14,4),-1.31284 # DEPENDENCYPART_ARC
(14,5),-1.10403 # DEPENDENCYPART_ARC
(14,6),0.0644711 # DEPENDENCYPART_ARC
(14,7),-0.773973 # DEPENDENCYPART_ARC
(14,8),-0.342313 # DEPENDENCYPART_ARC
(14,9),-0.421048 # DEPENDENCYPART_ARC
(14,10),-0.0216444 # DEPENDENCYPART_ARC
(14,11),-0.348097 # DEPENDENCYPART_ARC
(14,12),-0.112867 # DEPENDENCYPART_ARC
(14,13),-0.00891 # DEPENDENCYPART_ARC
(14,15),0.549173 # DEPENDENCYPART_ARC
(14,16),0.123451 # DEPENDENCYPART_ARC
(14,17),-0.664582 # DEPENDENCYPART_ARC
(14,18),-1.43764 # DEPENDENCYPART_ARC
(14,19),-1.29989 # DEPENDENCYPART_ARC
(14,20),-1.78455 # DEPENDENCYPART_ARC
(14,21),-1.38177 # DEPENDENCYPART_ARC
(14,22),-2.17465 # DEPENDENCYPART_ARC
(14,23),-0.857861 # DEPENDENCYPART_ARC
(15,1),-1.2805 # DEPENDENCYPART_ARC
(15,2),-1.94934 # DEPENDENCYPART_ARC
(15,3),-2.18594 # DEPENDENCYPART_ARC
(15,4),-2.73116 # DEPENDENCYPART_ARC
(15,5),-1.3017 # DEPENDENCYPART_ARC
(15,6),-0.968705 # DEPENDENCYPART_ARC
(15,7),-1.17226 # DEPENDENCYPART_ARC
(15,8),-0.770491 # DEPENDENCYPART_ARC
(15,9),-0.665069 # DEPENDENCYPART_ARC
(15,10),-0.157939 # DEPENDENCYPART_ARC
(15,11),-0.27925 # DEPENDENCYPART_ARC
(15,12),-0.0914993 # DEPENDENCYPART_ARC
(15,13),-0.650121 # DEPENDENCYPART_ARC
(15,14),2.6773 # DEPENDENCYPART_ARC
(15,16),2.71062 # DEPENDENCYPART_ARC
(15,17),-0.573799 # DEPENDENCYPART_ARC
(15,18),-1.72954 # DEPENDENCYPART_ARC
(15,19),-0.883375 # DEPENDENCYPART_ARC
(15,20),-2.29203 # DEPENDENCYPART_ARC
(15,21),-1.75315 # DEPENDENCYPART_ARC
(15,22),-2.8162 # DEPENDENCYPART_ARC
(15,23),-0.30903 # DEPENDENCYPART_ARC
(16,1),-1.7791 # DEPENDENCYPART_ARC
(16,2),-2.50745 # DEPENDENCYPART_ARC
(16,3),-0.15518 # DEPENDENCYPART_ARC
(16,4),-3.06183 # DEPENDENCYPART_ARC
(16,5),-1.80027 # DEPENDENCYPART_ARC
(16,6),-3.01108 # DEPENDENCYPART_ARC
(16,7),-1.44844 # DEPENDENCYPART_ARC
(16,8),-1.7842 # DEPENDENCYPART_ARC
(16,9),-1.51033 # DEPENDENCYPART_ARC
(16,10),-1.11798 # DEPENDENCYPART_ARC
(16,11),-0.145774 # DEPENDENCYPART_ARC
(16,12),-2.04869 # DEPENDENCYPART_ARC
(16,13),-0.823469 # DEPENDENCYPART_ARC
(16,14),-0.0165124 # DEPENDENCYPART_ARC
(16,15),-0.176708 # DEPENDENCYPART_ARC
(16,17),2.40148 # DEPENDENCYPART_ARC
(16,18),1.1511 # DEPENDENCYPART_ARC
(16,19),-1.89883 # DEPENDENCYPART_ARC
(16,20),-0.12596 # DEPENDENCYPART_ARC
(16,21),1.21074 # DEPENDENCYPART_ARC
(16,22),-1.32356 # DEPENDENCYPART_ARC
(16,23),-0.72109 # DEPENDENCYPART_ARC
(17,1),-2.83281 # DEPENDENCYPART_ARC
(17,2),-3.11208 # DEPENDENCYPART_ARC
(17,3),-3.34392 # DEPENDENCYPART_ARC
(17,4),-3.12743 # DEPENDENCYPART_ARC
(17,5),-3.49782 # DEPENDENCYPART_ARC
(17,6),-3.22252 # DEPENDENCYPART_ARC
(17,7),-2.49514 # DEPENDENCYPART_ARC
(17,8),-2.53511 # DEPENDENCYPART_ARC
(17,9),-2.3107 # DEPENDENCYPART_ARC
(17,10),-1.95099 # DEPENDENCYPART_ARC
(17,11),-2.74537 # DEPENDENCYPART_ARC
(17,12),-2.82162 # DEPENDENCYPART_ARC
(17,13),-2.60089 # DEPENDENCYPART_ARC
(17,14),-0.511262 # DEPENDENCYPART_ARC
(17,15),-0.854568 # DEPENDENCYPART_ARC
(17,16),-1.21666 # DEPENDENCYPART_ARC
(17,18),4.09663 # DEPENDENCYPART_ARC
(17,19),-0.845173 # DEPENDENCYPART_ARC
(17,20),-1.39388 # DEPENDENCYPART_ARC
(17,21),-1.65245 # DEPENDENCYPART_ARC
(17,22),-1.11873 # DEPENDENCYPART_ARC
(17,23),-0.941072 # DEPENDENCYPART_ARC
(18,1),-3.0952 # DEPENDENCYPART_ARC
(18,2),-2.99279 # DEPENDENCYPART_ARC
(18,3),-9.16675 # DEPENDENCYPART_ARC
(18,4),-2.64767 # DEPENDENCYPART_ARC
(18,5),-7.41051 # DEPENDENCYPART_ARC
(18,6),-5.75741 # DEPENDENCYPART_ARC
(18,7),-2.11939 # DEPENDENCYPART_ARC
(18,8),-2.94226 # DEPENDENCYPART_ARC
(18,9),-1.491 # DEPENDENCYPART_ARC
(18,10),-2.07269 # DEPENDENCYPART_ARC
(18,11),-2.50767 # DEPENDENCYPART_ARC
(18,12),-3.22787 # DEPENDENCYPART_ARC
(18,13),-6.37122 # DEPENDENCYPART_ARC
(18,14),-1.16086 # DEPENDENCYPART_ARC
(18,15),-1.98698 # DEPENDENCYPART_ARC
(18,16),-1.78271 # DEPENDENCYPART_ARC
(18,17),0.88057 # DEPENDENCYPART_ARC
(18,19),0.383806 # DEPENDENCYPART_ARC
(18,20),3.28872 # DEPENDENCYPART_ARC
(18,21),1.20757 # DEPENDENCYPART_ARC
(18,22),-0.689421 # DEPENDENCYPART_ARC
(18,23),-1.44458 # DEPENDENCYPART_ARC
(19,1),-1.90814 # DEPENDENCYPART_ARC
(19,2),-3.57172 # DEPENDENCYPART_ARC
(19,3),-5.40562 # DEPENDENCYPART_ARC
(19,4),-2.64705 # DEPENDENCYPART_ARC
(19,5),-3.84379 # DEPENDENCYPART_ARC
(19,6),-4.88582 # DEPENDENCYPART_ARC
(19,7),-2.81201 # DEPENDENCYPART_ARC
(19,8),-1.70866 # DEPENDENCYPART_ARC
(19,9),-1.05163 # DEPENDENCYPART_ARC
(19,10),-2.09634 # DEPENDENCYPART_ARC
(19,11),-1.34069 # DEPENDENCYPART_ARC
(19,12),-4.41574 # DEPENDENCYPART_ARC
(19,13),-3.04354 # DEPENDENCYPART_ARC
(19,14),-1.21457 # DEPENDENCYPART_ARC
(19,15),-0.984424 # DEPENDENCYPART_ARC
(19,16),-3.093 # DEPENDENCYPART_ARC
(19,17),0.237059 # DEPENDENCYPART_ARC
(19,18),0.281376 # DEPENDENCYPART_ARC
(19,20),0.95824 # DEPENDENCYPART_ARC
(19,21),0.29613 # DEPENDENCYPART_ARC
(19,22),-2.18935 # DEPENDENCYPART_ARC
(19,23),-0.921615 # DEPENDENCYPART_ARC
(20,1),-3.41495 # DEPENDENCYPART_ARC
(20,2),-3.51534 # DEPENDENCYPART_ARC
(20,3),-8.80525 # DEPENDENCYPART_ARC
(20,4),-3.04476 # DEPENDENCYPART_ARC
(20,5),-8.18465 # DEPENDENCYPART_ARC
(20,6),-4.35958 # DEPENDENCYPART_ARC
(20,7),-2.56858 # DEPENDENCYPART_ARC
(20,8),-2.97009 # DEPENDENCYPART_ARC
(20,9),-1.68125 # DEPENDENCYPART_ARC
(20,10),-1.97615 # DEPENDENCYPART_ARC
(20,11),-2.90793 # DEPENDENCYPART_ARC
(20,12),-2.63878 # DEPENDENCYPART_ARC
(20,13),-5.30797 # DEPENDENCYPART_ARC
(20,14),-1.66745 # DEPENDENCYPART_ARC
(20,15),-2.18688 # DEPENDENCYPART_ARC
(20,16),-1.6736 # DEPENDENCYPART_ARC
(20,17),-0.210819 # DEPENDENCYPART_ARC
(20,18),-1.19473 # DEPENDENCYPART_ARC
(20,19),5.21723 # DEPENDENCYPART_ARC
(20,21),1.85717 # DEPENDENCYPART_ARC
(20,22),-0.731363 # DEPENDENCYPART_ARC
(20,23),-0.0765404 # DEPENDENCYPART_ARC
(21,1),-3.20697 # DEPENDENCYPART_ARC
(21,2),-3.71084 # DEPENDENCYPART_ARC
(21,3),-5.1027 # DEPENDENCYPART_ARC
(21,4),-4.65806 # DEPENDENCYPART_ARC
(21,5),-3.93254 # DEPENDENCYPART_ARC
(21,6),-3.7638 # DEPENDENCYPART_ARC
(21,7),-3.20967 # DEPENDENCYPART_ARC
(21,8),-3.00039 # DEPENDENCYPART_ARC
(21,9),-2.86586 # DEPENDENCYPART_ARC
(21,10),-2.89009 # DEPENDENCYPART_ARC
(21,11),-3.38573 # DEPENDENCYPART_ARC
(21,12),-3.58391 # DEPENDENCYPART_ARC
(21,13),-3.76292 # DEPENDENCYPART_ARC
(21,14),-2.03455 # DEPENDENCYPART_ARC
(21,15),-2.0757 # DEPENDENCYPART_ARC
(21,16),-2.83139 # DEPENDENCYPART_ARC
(21,17),-1.73879 # DEPENDENCYPART_ARC
(21,18),-1.39789 # DEPENDENCYPART_ARC
(21,19),-1.42613 # DEPENDENCYPART_ARC
(21,20),-2.01108 # DEPENDENCYPART_ARC
(21,22),4.25522 # DEPENDENCYPART_ARC
(21,23),-0.246715 # DEPENDENCYPART_ARC
(22,1),-3.90902 # DEPENDENCYPART_ARC
(22,2),-3.87587 # DEPENDENCYPART_ARC
(22,3),-8.25063 # DEPENDENCYPART_ARC
(22,4),-3.16418 # DEPENDENCYPART_ARC
(22,5),-8.10977 # DEPENDENCYPART_ARC
(22,6),-5.28945 # DEPENDENCYPART_ARC
(22,7),-3.1736 # DEPENDENCYPART_ARC
(22,8),-4.07014 # DEPENDENCYPART_ARC
(22,9),-1.95923 # DEPENDENCYPART_ARC
(22,10),-2.98395 # DEPENDENCYPART_ARC
(22,11),-3.57115 # DEPENDENCYPART_ARC
(22,12),-2.84956 # DEPENDENCYPART_ARC
(22,13),-4.85501 # DEPENDENCYPART_ARC
(22,14),-2.24857 # DEPENDENCYPART_ARC
(22,15),-3.77361 # DEPENDENCYPART_ARC
(22,16),-2.19714 # DEPENDENCYPART_ARC
(22,17),-0.507523 # DEPENDENCYPART_ARC
(22,18),-1.26028 # DEPENDENCYPART_ARC
(22,19),-0.0817884 # DEPENDENCYPART_ARC
(22,20),-1.48821 # DEPENDENCYPART_ARC
(22,21),0.69607 # DEPENDENCYPART_ARC
(22,23),0.247612 # DEPENDENCYPART_ARC
(23,1),-4.45211 # DEPENDENCYPART_ARC
