# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(2,28),-4.65674 # DEPENDENCYPART_ARC
(2,29),-7.17123 # DEPENDENCYPART_ARC
(2,30),-11.9746 # DEPENDENCYPART_ARC
(3,1),-0.14821 # DEPENDENCYPART_ARC
(3,2),2.30753 # DEPENDENCYPART_ARC
(3,4),4.06552 # DEPENDENCYPART_ARC
(3,5),1.41012 # DEPENDENCYPART_ARC
(3,6),0.192374 # DEPENDENCYPART_ARC
(3,7),0.0330039 # DEPENDENCYPART_ARC
(3,8),-0.982689 # DEPENDENCYPART_ARC
(3,9),-2.14192 # DEPENDENCYPART_ARC
(3,10),-2.49173 # DEPENDENCYPART_ARC
(3,11),-0.80532 # DEPENDENCYPART_ARC
(3,12),-0.70095 # DEPENDENCYPART_ARC
(3,13),-2.32294 # DEPENDENCYPART_ARC
(3,14),-0.556246 # DEPENDENCYPART_ARC
(3,15),-1.81772 # DEPENDENCYPART_ARC
(3,16),-0.79517 # DEPENDENCYPART_ARC
(3,17),-0.299752 # DEPENDENCYPART_ARC
(3,18),-0.693919 # DEPENDENCYPART_ARC
(3,19),-2.39493 # DEPENDENCYPART_ARC
(3,20),-1.98977 # DEPENDENCYPART_ARC
(3,21),-0.933991 # DEPENDENCYPART_ARC
(3,22),-5.52606 # DEPENDENCYPART_ARC
(3,23),-5.31573 # DEPENDENCYPART_ARC
(3,24),-3.36735 # DEPENDENCYPART_ARC
(3,25),-2.19906 # DEPENDENCYPART_ARC
(3,26),-6.13313 # DEPENDENCYPART_ARC
(3,27),-2.7066 # DEPENDENCYPART_ARC
(3,28),-2.19829 # DEPENDENCYPART_ARC
(3,29),-5.53039 # DEPENDENCYPART_ARC
(3,30),-2.57432 # DEPENDENCYPART_ARC
(4,1),-0.957961 # DEPENDENCYPART_ARC
(4,2),-3.56653 # DEPENDENCYPART_ARC
(4,3),-1.47955 # DEPENDENCYPART_ARC
(4,5),2.53746 # DEPENDENCYPART_ARC
(4,6),0.81294 # DEPENDENCYPART_ARC
(4,7),0.159647 # DEPENDENCYPART_ARC
(4,8),-2.0906 # DEPENDENCYPART_ARC
(4,9),0.786953 # DEPENDENCYPART_ARC
(4,10),0.0967407 # DEPENDENCYPART_ARC
(4,11),-1.51006 # DEPENDENCYPART_ARC
(4,12),-1.72519 # DEPENDENCYPART_ARC
(4,13),-0.859987 # DEPENDENCYPART_ARC
(4,14),0.24066 # DEPENDENCYPART_ARC
(4,15),-2.81424 # DEPENDENCYPART_ARC
(4,16),-5.34485 # DEPENDENCYPART_ARC
(4,17),-0.277281 # DEPENDENCYPART_ARC
(4,18),-0.13581 # DEPENDENCYPART_ARC
(4,19),-4.50824 # DEPENDENCYPART_ARC
(4,20),-6.07554 # DEPENDENCYPART_ARC
(4,21),-0.741096 # DEPENDENCYPART_ARC
(4,22),-2.61923 # DEPENDENCYPART_ARC
(4,23),-2.42545 # DEPENDENCYPART_ARC
(4,24),0.400214 # DEPENDENCYPART_ARC
(4,25),-1.79757 # DEPENDENCYPART_ARC
(4,26),-4.14108 # DEPENDENCYPART_ARC
(4,27),-7.96343 # DEPENDENCYPART_ARC
(4,28),-2.56434 # DEPENDENCYPART_ARC
(4,29),-5.06963 # DEPENDENCYPART_ARC
(4,30),-10.0418 # DEPENDENCYPART_ARC
(5,1),-2.0397 # DEPENDENCYPART_ARC
(5,2),-2.3438 # DEPENDENCYPART_ARC
(5,3),-1.74984 # DEPENDENCYPART_ARC
(5,4),-1.68077 # DEPENDENCYPART_ARC
(5,6),3.70957 # DEPENDENCYPART_ARC
(5,7),-0.0651922 # DEPENDENCYPART_ARC
(5,8),-1.48293 # DEPENDENCYPART_ARC
(5,9),-1.36914 # DEPENDENCYPART_ARC
(5,10),-3.55847 # DEPENDENCYPART_ARC
(5,11),-3.4103 # DEPENDENCYPART_ARC
(5,12),-4.70371 # DEPENDENCYPART_ARC
(5,13),-5.25557 # DEPENDENCYPART_ARC
(5,14),-2.22958 # DEPENDENCYPART_ARC
(5,15),-3.53551 # DEPENDENCYPART_ARC
(5,16),-6.16629 # DEPENDENCYPART_ARC
(5,17),-2.47038 # DEPENDENCYPART_ARC
(5,18),-2.15989 # DEPENDENCYPART_ARC
(5,19),-4.28028 # DEPENDENCYPART_ARC
(5,20),-7.43957 # DEPENDENCYPART_ARC
(5,21),-2.15669 # DEPENDENCYPART_ARC
(5,22),-6.28209 # DEPENDENCYPART_ARC
(5,23),-4.95662 # DEPENDENCYPART_ARC
(5,24),-3.65989 # DEPENDENCYPART_ARC
(5,25),-3.00029 # DEPENDENCYPART_ARC
(5,26),-9.54247 # DEPENDENCYPART_ARC
(5,27),-11.1417 # DEPENDENCYPART_ARC
(5,28),-3.3419 # DEPENDENCYPART_ARC
(5,29),-9.69371 # DEPENDENCYPART_ARC
(5,30),-4.07311 # DEPENDENCYPART_ARC
(6,1),-0.93021 # DEPENDENCYPART_ARC
(6,2),-2.97937 # DEPENDENCYPART_ARC
(6,3),-1.67556 # DEPENDENCYPART_ARC
(6,4),-1.24327 # DEPENDENCYPART_ARC
(6,5),0.800298 # DEPENDENCYPART_ARC
(6,7),-0.0353125 # DEPENDENCYPART_ARC
(6,8),-1.73996 # DEPENDENCYPART_ARC
(6,9),1.15369 # DEPENDENCYPART_ARC
(6,10),-0.850192 # DEPENDENCYPART_ARC
(6,11),-2.78142 # DEPENDENCYPART_ARC
(6,12),-1.89511 # DEPENDENCYPART_ARC
(6,13),-0.248785 # DEPENDENCYPART_ARC
(6,14),-0.189428 # DEPENDENCYPART_ARC
(6,15),-2.74832 # DEPENDENCYPART_ARC
(6,16),-5.03 # DEPENDENCYPART_ARC
(6,17),-0.862956 # DEPENDENCYPART_ARC
(6,18),-0.130063 # DEPENDENCYPART_ARC
(6,19),-4.16583 # DEPENDENCYPART_ARC
(6,20),-5.17235 # DEPENDENCYPART_ARC
(6,21),-0.499002 # DEPENDENCYPART_ARC
(6,22),-4.04953 # DEPENDENCYPART_ARC
(6,23),-2.76024 # DEPENDENCYPART_ARC
(6,24),0.485074 # DEPENDENCYPART_ARC
(6,25),-2.10873 # DEPENDENCYPART_ARC
(6,26),-3.46594 # DEPENDENCYPART_ARC
(6,27),-7.11244 # DEPENDENCYPART_ARC
(6,28),-2.97058 # DEPENDENCYPART_ARC
(6,29),-4.51091 # DEPENDENCYPART_ARC
(6,30),-9.0072 # DEPENDENCYPART_ARC
(7,1),-0.157428 # DEPENDENCYPART_ARC
(7,2),0.324819 # DEPENDENCYPART_ARC
(7,3),1.75721 # DEPENDENCYPART_ARC
(7,4),1.58066 # DEPENDENCYPART_ARC
(7,5),0.394558 # DEPENDENCYPART_ARC
(7,6),1.79466 # DEPENDENCYPART_ARC
(7,8),0.95344 # DEPENDENCYPART_ARC
(7,9),2.0043 # DEPENDENCYPART_ARC
(7,10),0.467196 # DEPENDENCYPART_ARC
(7,11),0.683946 # DEPENDENCYPART_ARC
(7,12),0.161131 # DEPENDENCYPART_ARC
(7,13),-0.0124866 # DEPENDENCYPART_ARC
(7,14),0.0640538 # DEPENDENCYPART_ARC
(7,15),0.484746 # DEPENDENCYPART_ARC
(7,16),-0.656211 # DEPENDENCYPART_ARC
(7,17),0.118784 # DEPENDENCYPART_ARC
(7,18),0.16451 # DEPENDENCYPART_ARC
(7,19),-0.551537 # DEPENDENCYPART_ARC
(7,20),-0.740314 # DEPENDENCYPART_ARC
(7,21),0.835003 # DEPENDENCYPART_ARC
(7,22),-0.756892 # DEPENDENCYPART_ARC
(7,23),-0.403122 # DEPENDENCYPART_ARC
(7,24),0.575141 # DEPENDENCYPART_ARC
(7,25),-2.05502 # DEPENDENCYPART_ARC
(7,26),-2.76331 # DEPENDENCYPART_ARC
(7,27),-2.62237 # DEPENDENCYPART_ARC
(7,28),-1.86036 # DEPENDENCYPART_ARC
(7,29),-3.19718 # DEPENDENCYPART_ARC
(7,30),-0.615637 # DEPENDENCYPART_ARC
(8,1),-0.864207 # DEPENDENCYPART_ARC
(8,2),-0.766441 # DEPENDENCYPART_ARC
(8,3),-0.714086 # DEPENDENCYPART_ARC
(8,4),-0.245172 # DEPENDENCYPART_ARC
(8,5),-0.156274 # DEPENDENCYPART_ARC
(8,6),0.326789 # DEPENDENCYPART_ARC
(8,7),0.217044 # DEPENDENCYPART_ARC
(8,9),-0.24186 # DEPENDENCYPART_ARC
(8,10),0.573973 # DEPENDENCYPART_ARC
(8,11),0.105908 # DEPENDENCYPART_ARC
(8,12),-0.835864 # DEPENDENCYPART_ARC
(8,13),-1.0789 # DEPENDENCYPART_ARC
(8,14),-0.909172 # DEPENDENCYPART_ARC
(8,15),-0.979297 # DEPENDENCYPART_ARC
(8,16),-1.47471 # DEPENDENCYPART_ARC
(8,17),-1.17987 # DEPENDENCYPART_ARC
(8,18),-1.64922 # DEPENDENCYPART_ARC
(8,19),-1.47334 # DEPENDENCYPART_ARC
(8,20),-2.04524 # DEPENDENCYPART_ARC
(8,21),-1.57969 # DEPENDENCYPART_ARC
(8,22),-1.43315 # DEPENDENCYPART_ARC
(8,23),-1.71434 # DEPENDENCYPART_ARC
(8,24),-2.92162 # DEPENDENCYPART_ARC
(8,25),-2.31193 # DEPENDENCYPART_ARC
(8,26),-2.65954 # DEPENDENCYPART_ARC
(8,27),-2.59043 # DEPENDENCYPART_ARC
(8,28),-2.27706 # DEPENDENCYPART_ARC
(8,29),-3.06973 # DEPENDENCYPART_ARC
(8,30),-2.59733 # DEPENDENCYPART_ARC
(9,1),-3.07325 # DEPENDENCYPART_ARC
(9,2),-1.01038 # DEPENDENCYPART_ARC
(9,3),-3.35694 # DEPENDENCYPART_ARC
(9,4),0.0152557 # DEPENDENCYPART_ARC
(9,5),-1.4738 # DEPENDENCYPART_ARC
(9,6),-2.72783 # DEPENDENCYPART_ARC
(9,7),1.31864 # DEPENDENCYPART_ARC
(9,8),2.8622 # DEPENDENCYPART_ARC
(9,10),2.10972 # DEPENDENCYPART_ARC
(9,11),1.17207 # DEPENDENCYPART_ARC
(9,12),2.52464 # DEPENDENCYPART_ARC
(9,13),0.66701 # DEPENDENCYPART_ARC
(9,14),0.932933 # DEPENDENCYPART_ARC
(9,15),-0.433974 # DEPENDENCYPART_ARC
(9,16),1.32736 # DEPENDENCYPART_ARC
(9,17),0.948387 # DEPENDENCYPART_ARC
(9,18),0.790571 # DEPENDENCYPART_ARC
(9,19),-1.5223 # DEPENDENCYPART_ARC
(9,20),0.815044 # DEPENDENCYPART_ARC
(9,21),0.586947 # DEPENDENCYPART_ARC
(9,22),-3.07356 # DEPENDENCYPART_ARC
(9,23),-2.63376 # DEPENDENCYPART_ARC
(9,24),-1.07637 # DEPENDENCYPART_ARC
(9,25),-0.934452 # DEPENDENCYPART_ARC
(9,26),-4.36839 # DEPENDENCYPART_ARC
(9,27),-0.654148 # DEPENDENCYPART_ARC
(9,28),-1.29744 # DEPENDENCYPART_ARC
(9,29),-3.71041 # DEPENDENCYPART_ARC
(9,30),-1.24749 # DEPENDENCYPART_ARC
(10,1),-5.6044 # DEPENDENCYPART_ARC
(10,2),-4.18492 # DEPENDENCYPART_ARC
(10,3),-3.15482 # DEPENDENCYPART_ARC
(10,4),-3.0309 # DEPENDENCYPART_ARC
(10,5),-1.73605 # DEPENDENCYPART_ARC
(10,6),-3.26301 # DEPENDENCYPART_ARC
(10,7),-1.27432 # DEPENDENCYPART_ARC
(10,8),-1.41658 # DEPENDENCYPART_ARC
(10,9),-1.73398 # DEPENDENCYPART_ARC
(10,11),1.07179 # DEPENDENCYPART_ARC
(10,12),-0.510934 # DEPENDENCYPART_ARC
(10,13),-1.1869 # DEPENDENCYPART_ARC
(10,14),-0.555969 # DEPENDENCYPART_ARC
(10,15),-0.655624 # DEPENDENCYPART_ARC
(10,16),-2.33564 # DEPENDENCYPART_ARC
(10,17),-0.892981 # DEPENDENCYPART_ARC
(10,18),-0.979586 # DEPENDENCYPART_ARC
(10,19),-3.64235 # DEPENDENCYPART_ARC
(10,20),-3.41826 # DEPENDENCYPART_ARC
(10,21),-1.16914 # DEPENDENCYPART_ARC
(10,22),-0.630052 # DEPENDENCYPART_ARC
(10,23),-1.95135 # DEPENDENCYPART_ARC
(10,24),-1.85564 # DEPENDENCYPART_ARC
(10,25),-0.824992 # DEPENDENCYPART_ARC
(10,26),-3.24118 # DEPENDENCYPART_ARC
(10,27),-3.85913 # DEPENDENCYPART_ARC
(10,28),-0.70594 # DEPENDENCYPART_ARC
(10,29),-3.36658 # DEPENDENCYPART_ARC
(10,30),-1.95195 # DEPENDENCYPART_ARC
(11,1),-4.16226 # DEPENDENCYPART_ARC
(11,2),-2.15223 # DEPENDENCYPART_ARC
(11,3),-3.55718 # DEPENDENCYPART_ARC
(11,4),-2.94843 # DEPENDENCYPART_ARC
(11,5),-1.03984 # DEPENDENCYPART_ARC
(11,6),-3.16605 # DEPENDENCYPART_ARC
(11,7),-1.18254 # DEPENDENCYPART_ARC
(11,8),-1.29584 # DEPENDENCYPART_ARC
(11,9),-2.05347 # DEPENDENCYPART_ARC
(11,10),0.0140959 # DEPENDENCYPART_ARC
(11,12),-0.490259 # DEPENDENCYPART_ARC
(11,13),-0.388095 # DEPENDENCYPART_ARC
(11,14),0.124178 # DEPENDENCYPART_ARC
(11,15),-1.49484 # DEPENDENCYPART_ARC
(11,16),-3.01513 # DEPENDENCYPART_ARC
(11,17),0.0172115 # DEPENDENCYPART_ARC
(11,18),-1.16542 # DEPENDENCYPART_ARC
(11,19),-4.77955 # DEPENDENCYPART_ARC
(11,20),-4.27608 # DEPENDENCYPART_ARC
(11,21),-0.343875 # DEPENDENCYPART_ARC
(11,22),-4.04661 # DEPENDENCYPART_ARC
(11,23),-1.84902 # DEPENDENCYPART_ARC
(11,24),-2.77539 # DEPENDENCYPART_ARC
(11,25),-1.7092 # DEPENDENCYPART_ARC
(11,26),-4.97076 # DEPENDENCYPART_ARC
(11,27),-7.15366 # DEPENDENCYPART_ARC
(11,28),-2.21931 # DEPENDENCYPART_ARC
(11,29),-4.78792 # DEPENDENCYPART_ARC
(11,30),-3.48957 # DEPENDENCYPART_ARC
(12,1),-4.19499 # DEPENDENCYPART_ARC
(12,2),-6.37367 # DEPENDENCYPART_ARC
(12,3),-2.49846 # DEPENDENCYPART_ARC
(12,4),-3.07634 # DEPENDENCYPART_ARC
(12,5),-0.908846 # DEPENDENCYPART_ARC
(12,6),-4.8207 # DEPENDENCYPART_ARC
(12,7),-0.567724 # DEPENDENCYPART_ARC
(12,8),-2.50138 # DEPENDENCYPART_ARC
(12,9),-1.35171 # DEPENDENCYPART_ARC
(12,10),4.05521 # DEPENDENCYPART_ARC
(12,11),5.07305 # DEPENDENCYPART_ARC
(12,13),3.88684 # DEPENDENCYPART_ARC
(12,14),1.34865 # DEPENDENCYPART_ARC
(12,15),-2.23572 # DEPENDENCYPART_ARC
(12,16),-3.27377 # DEPENDENCYPART_ARC
(12,17),0.866287 # DEPENDENCYPART_ARC
(12,18),0.0274139 # DEPENDENCYPART_ARC
(12,19),-3.3561 # DEPENDENCYPART_ARC
(12,20),-4.47938 # DEPENDENCYPART_ARC
(12,21),-0.504805 # DEPENDENCYPART_ARC
(12,22),-1.31636 # DEPENDENCYPART_ARC
(12,23),-2.04912 # DEPENDENCYPART_ARC
(12,24),0.7418 # DEPENDENCYPART_ARC
(12,25),-1.50647 # DEPENDENCYPART_ARC
(12,26),-1.94886 # DEPENDENCYPART_ARC
(12,27),-5.95044 # DEPENDENCYPART_ARC
(12,28),-1.26275 # DEPENDENCYPART_ARC
(12,29),-2.91939 # DEPENDENCYPART_ARC
(12,30),-6.90568 # DEPENDENCYPART_ARC
(13,1),-3.1895 # DEPENDENCYPART_ARC
(13,2),-6.5837 # DEPENDENCYPART_ARC
(13,3),-3.02338 # DEPENDENCYPART_ARC
(13,4),-4.70482 # DEPENDENCYPART_ARC
(13,5),-2.03534 # DEPENDENCYPART_ARC
(13,6),-4.7141 # DEPENDENCYPART_ARC
(13,7),-1.2015 # DEPENDENCYPART_ARC
(13,8),-3.0845 # DEPENDENCYPART_ARC
(13,9),-1.96682 # DEPENDENCYPART_ARC
(13,10),-0.819317 # DEPENDENCYPART_ARC
(13,11),-0.659626 # DEPENDENCYPART_ARC
(13,12),-0.896724 # DEPENDENCYPART_ARC
(13,14),1.44583 # DEPENDENCYPART_ARC
(13,15),-1.58834 # DEPENDENCYPART_ARC
(13,16),-3.12745 # DEPENDENCYPART_ARC
(13,17),1.00233 # DEPENDENCYPART_ARC
(13,18),-0.183024 # DEPENDENCYPART_ARC
(13,19),-4.12396 # DEPENDENCYPART_ARC
(13,20),-4.60362 # DEPENDENCYPART_ARC
(13,21),-0.648349 # DEPENDENCYPART_ARC
(13,22),-3.52933 # DEPENDENCYPART_ARC
(13,23),-2.33901 # DEPENDENCYPART_ARC
(13,24),0.0476451 # DEPENDENCYPART_ARC
(13,25),-1.40039 # DEPENDENCYPART_ARC
(13,26),-2.23233 # DEPENDENCYPART_ARC
(13,27),-6.00104 # DEPENDENCYPART_ARC
(13,28),-1.46217 # DEPENDENCYPART_ARC
(13,29),-4.03167 # DEPENDENCYPART_ARC
(13,30),-6.34827 # DEPENDENCYPART_ARC
(14,1),-2.60097 # DEPENDENCYPART_ARC
(14,2),-2.28273 # DEPENDENCYPART_ARC
(14,3),-3.31509 # DEPENDENCYPART_ARC
(14,4),-2.72395 # DEPENDENCYPART_ARC
(14,5),-1.91265 # DEPENDENCYPART_ARC
(14,6),-0.839306 # DEPENDENCYPART_ARC
(14,7),-1.33818 # DEPENDENCYPART_ARC
(14,8),-1.84423 # DEPENDENCYPART_ARC
(14,9),-2.58838 # DEPENDENCYPART_ARC
(14,10),-1.82912 # DEPENDENCYPART_ARC
(14,11),-2.17672 # DEPENDENCYPART_ARC
(14,12),-2.32219 # DEPENDENCYPART_ARC
(14,13),0.329924 # DEPENDENCYPART_ARC
(14,15),2.84217 # DEPENDENCYPART_ARC
(14,16),4.35568 # DEPENDENCYPART_ARC
(14,17),-0.519346 # DEPENDENCYPART_ARC
(14,18),-0.321331 # DEPENDENCYPART_ARC
(14,19),0.0371557 # DEPENDENCYPART_ARC
(14,20),0.998482 # DEPENDENCYPART_ARC
(14,21),-0.606641 # DEPENDENCYPART_ARC
(14,22),-3.56977 # DEPENDENCYPART_ARC
(14,23),-1.95546 # DEPENDENCYPART_ARC
(14,24),-1.92469 # DEPENDENCYPART_ARC
(14,25),-1.48322 # DEPENDENCYPART_ARC
(14,26),-5.67758 # DEPENDENCYPART_ARC
(14,27),-3.31256 # DEPENDENCYPART_ARC
(14,28),-1.7617 # DEPENDENCYPART_ARC
(14,29),-6.15176 # DEPENDENCYPART_ARC
(14,30),-1.81347 # DEPENDENCYPART_ARC
(15,1),-3.43024 # DEPENDENCYPART_ARC
(15,2),-3.36805 # DEPENDENCYPART_ARC
(15,3),-4.62688 # DEPENDENCYPART_ARC
(15,4),-3.85475 # DEPENDENCYPART_ARC
(15,5),-1.57185 # DEPENDENCYPART_ARC
(15,6),-3.11473 # DEPENDENCYPART_ARC
(15,7),-2.32912 # DEPENDENCYPART_ARC
(15,8),-2.06177 # DEPENDENCYPART_ARC
(15,9),-4.10041 # DEPENDENCYPART_ARC
(15,10),-3.25374 # DEPENDENCYPART_ARC
(15,11),-3.45105 # DEPENDENCYPART_ARC
(15,12),-3.09826 # DEPENDENCYPART_ARC
(15,13),-1.25777 # DEPENDENCYPART_ARC
(15,14),-0.940143 # DEPENDENCYPART_ARC
(15,16),1.42469 # DEPENDENCYPART_ARC
(15,17),0.1988 # DEPENDENCYPART_ARC
(15,18),-0.293553 # DEPENDENCYPART_ARC
(15,19),-1.95389 # DEPENDENCYPART_ARC
(15,20),-1.88027 # DEPENDENCYPART_ARC
(15,21),-1.26468 # DEPENDENCYPART_ARC
(15,22),-1.61584 # DEPENDENCYPART_ARC
(15,23),-1.4505 # DEPENDENCYPART_ARC
(15,24),-2.25593 # DEPENDENCYPART_ARC
(15,25),-1.04088 # DEPENDENCYPART_ARC
(15,26),-2.59381 # DEPENDENCYPART_ARC
(15,27),-4.11486 # DEPENDENCYPART_ARC
(15,28),-1.26285 # DEPENDENCYPART_ARC
(15,29),-4.49577 # DEPENDENCYPART_ARC
(15,30),-2.63032 # DEPENDENCYPART_ARC
(16,1),-3.17459 # DEPENDENCYPART_ARC
(16,2),-5.20828 # DEPENDENCYPART_ARC
(16,3),-2.83379 # DEPENDENCYPART_ARC
(16,4),-4.92946 # DEPENDENCYPART_ARC
(16,5),-1.8583 # DEPENDENCYPART_ARC
(16,6),-3.99006 # DEPENDENCYPART_ARC
(16,7),-1.20485 # DEPENDENCYPART_ARC
(16,8),-3.34828 # DEPENDENCYPART_ARC
(16,9),-2.14504 # DEPENDENCYPART_ARC
(16,10),-2.19067 # DEPENDENCYPART_ARC
(16,11),-2.77094 # DEPENDENCYPART_ARC
(16,12),-2.27119 # DEPENDENCYPART_ARC
(16,13),-1.4881 # DEPENDENCYPART_ARC
(16,14),0.317394 # DEPENDENCYPART_ARC
(16,15),5.22433 # DEPENDENCYPART_ARC
(16,17),2.08913 # DEPENDENCYPART_ARC
(16,18),0.0737599 # DEPENDENCYPART_ARC
(16,19),-1.13464 # DEPENDENCYPART_ARC
(16,20),-1.18615 # DEPENDENCYPART_ARC
(16,21),-0.746267 # DEPENDENCYPART_ARC
(16,22),-3.26646 # DEPENDENCYPART_ARC
(16,23),-1.90057 # DEPENDENCYPART_ARC
(16,24),0.207422 # DEPENDENCYPART_ARC
(16,25),-1.21625 # DEPENDENCYPART_ARC
(16,26),-1.92638 # DEPENDENCYPART_ARC
(16,27),-3.28912 # DEPENDENCYPART_ARC
(16,28),-0.997044 # DEPENDENCYPART_ARC
(16,29),-3.13042 # DEPENDENCYPART_ARC
(16,30),-4.81776 # DEPENDENCYPART_ARC
(17,1),-2.96409 # DEPENDENCYPART_ARC
(17,2),-2.97289 # DEPENDENCYPART_ARC
(17,3),-3.68834 # DEPENDENCYPART_ARC
(17,4),-3.44867 # DEPENDENCYPART_ARC
(17,5),-2.56084 # DEPENDENCYPART_ARC
(17,6),-1.62667 # DEPENDENCYPART_ARC
(17,7),-2.01397 # DEPENDENCYPART_ARC
(17,8),-2.20179 # DEPENDENCYPART_ARC
(17,9),-3.25415 # DEPENDENCYPART_ARC
(17,10),-2.49447 # DEPENDENCYPART_ARC
