# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(11,7),-2.84535 # DEPENDENCYPART_ARC
(11,8),-0.864217 # DEPENDENCYPART_ARC
(11,9),-0.186072 # DEPENDENCYPART_ARC
(11,10),-0.336558 # DEPENDENCYPART_ARC
(11,12),0.279095 # DEPENDENCYPART_ARC
(11,13),-0.722835 # DEPENDENCYPART_ARC
(11,14),-2.77344 # DEPENDENCYPART_ARC
(11,15),-2.25213 # DEPENDENCYPART_ARC
(11,16),-4.28816 # DEPENDENCYPART_ARC
(11,17),-1.26135 # DEPENDENCYPART_ARC
(11,18),-1.18198 # DEPENDENCYPART_ARC
(11,19),-2.64343 # DEPENDENCYPART_ARC
(11,20),-5.07728 # DEPENDENCYPART_ARC
(11,21),-5.60193 # DEPENDENCYPART_ARC
(11,22),-3.8622 # DEPENDENCYPART_ARC
(11,23),-4.16663 # DEPENDENCYPART_ARC
(11,24),-3.27785 # DEPENDENCYPART_ARC
(12,1),-3.78773 # DEPENDENCYPART_ARC
(12,2),-4.23228 # DEPENDENCYPART_ARC
(12,3),-4.19867 # DEPENDENCYPART_ARC
(12,4),-2.10314 # DEPENDENCYPART_ARC
(12,5),-1.01687 # DEPENDENCYPART_ARC
(12,6),-3.19264 # DEPENDENCYPART_ARC
(12,7),-1.63112 # DEPENDENCYPART_ARC
(12,8),0.266197 # DEPENDENCYPART_ARC
(12,9),2.03248 # DEPENDENCYPART_ARC
(12,10),0.693694 # DEPENDENCYPART_ARC
(12,11),5.40693 # DEPENDENCYPART_ARC
(12,13),-0.0542045 # DEPENDENCYPART_ARC
(12,14),-1.51089 # DEPENDENCYPART_ARC
(12,15),1.45931 # DEPENDENCYPART_ARC
(12,16),-4.4238 # DEPENDENCYPART_ARC
(12,17),0.247782 # DEPENDENCYPART_ARC
(12,18),0.10831 # DEPENDENCYPART_ARC
(12,19),-2.66682 # DEPENDENCYPART_ARC
(12,20),-2.34316 # DEPENDENCYPART_ARC
(12,21),-2.54134 # DEPENDENCYPART_ARC
(12,22),-0.0549454 # DEPENDENCYPART_ARC
(12,23),-1.38313 # DEPENDENCYPART_ARC
(12,24),-3.78286 # DEPENDENCYPART_ARC
(13,1),-1.48413 # DEPENDENCYPART_ARC
(13,2),-0.950887 # DEPENDENCYPART_ARC
(13,3),-0.9497 # DEPENDENCYPART_ARC
(13,4),-0.373793 # DEPENDENCYPART_ARC
(13,5),-0.870465 # DEPENDENCYPART_ARC
(13,6),-0.870519 # DEPENDENCYPART_ARC
(13,7),0.280892 # DEPENDENCYPART_ARC
(13,8),-0.825135 # DEPENDENCYPART_ARC
(13,9),-0.549342 # DEPENDENCYPART_ARC
(13,10),-0.409316 # DEPENDENCYPART_ARC
(13,11),-0.0776285 # DEPENDENCYPART_ARC
(13,12),-0.20123 # DEPENDENCYPART_ARC
(13,14),0.331519 # DEPENDENCYPART_ARC
(13,15),1.12858 # DEPENDENCYPART_ARC
(13,16),-0.380183 # DEPENDENCYPART_ARC
(13,17),0.0146688 # DEPENDENCYPART_ARC
(13,18),-0.729612 # DEPENDENCYPART_ARC
(13,19),-1.55105 # DEPENDENCYPART_ARC
(13,20),-2.02313 # DEPENDENCYPART_ARC
(13,21),-1.46322 # DEPENDENCYPART_ARC
(13,22),-2.41472 # DEPENDENCYPART_ARC
(13,23),-0.804862 # DEPENDENCYPART_ARC
(13,24),-0.716378 # DEPENDENCYPART_ARC
(14,1),-1.23399 # DEPENDENCYPART_ARC
(14,2),-2.04619 # DEPENDENCYPART_ARC
(14,3),-2.03337 # DEPENDENCYPART_ARC
(14,4),-1.66085 # DEPENDENCYPART_ARC
(14,5),-1.31968 # DEPENDENCYPART_ARC
(14,6),-1.65806 # DEPENDENCYPART_ARC
(14,7),-0.880134 # DEPENDENCYPART_ARC
(14,8),-0.800021 # DEPENDENCYPART_ARC
(14,9),-0.63217 # DEPENDENCYPART_ARC
(14,10),-0.3111 # DEPENDENCYPART_ARC
(14,11),-0.92057 # DEPENDENCYPART_ARC
(14,12),-0.909717 # DEPENDENCYPART_ARC
(14,13),0.38016 # DEPENDENCYPART_ARC
(14,15),0.190786 # DEPENDENCYPART_ARC
(14,16),-0.584417 # DEPENDENCYPART_ARC
(14,17),-0.276132 # DEPENDENCYPART_ARC
(14,18),-0.823184 # DEPENDENCYPART_ARC
(14,19),-1.84671 # DEPENDENCYPART_ARC
(14,20),-0.830642 # DEPENDENCYPART_ARC
(14,21),-0.616011 # DEPENDENCYPART_ARC
(14,22),-0.733449 # DEPENDENCYPART_ARC
(14,23),-3.90642 # DEPENDENCYPART_ARC
(14,24),-1.02967 # DEPENDENCYPART_ARC
(15,1),-1.58221 # DEPENDENCYPART_ARC
(15,2),-1.05588 # DEPENDENCYPART_ARC
(15,3),-3.97936 # DEPENDENCYPART_ARC
(15,4),0.848868 # DEPENDENCYPART_ARC
(15,5),-1.36061 # DEPENDENCYPART_ARC
(15,6),-0.260801 # DEPENDENCYPART_ARC
(15,7),-2.31688 # DEPENDENCYPART_ARC
(15,8),-0.483232 # DEPENDENCYPART_ARC
(15,9),0.0452069 # DEPENDENCYPART_ARC
(15,10),1.41815 # DEPENDENCYPART_ARC
(15,11),-2.67397 # DEPENDENCYPART_ARC
(15,12),-1.46937 # DEPENDENCYPART_ARC
(15,13),2.3645 # DEPENDENCYPART_ARC
(15,14),3.7528 # DEPENDENCYPART_ARC
(15,16),3.46877 # DEPENDENCYPART_ARC
(15,17),1.1625 # DEPENDENCYPART_ARC
(15,18),1.68178 # DEPENDENCYPART_ARC
(15,19),-0.434041 # DEPENDENCYPART_ARC
(15,20),-0.704479 # DEPENDENCYPART_ARC
(15,21),-4.92934 # DEPENDENCYPART_ARC
(15,22),-3.27384 # DEPENDENCYPART_ARC
(15,23),-1.96877 # DEPENDENCYPART_ARC
(15,24),-0.193801 # DEPENDENCYPART_ARC
(16,1),-8.00372 # DEPENDENCYPART_ARC
(16,2),-7.7925 # DEPENDENCYPART_ARC
(16,3),-6.8736 # DEPENDENCYPART_ARC
(16,4),-3.72027 # DEPENDENCYPART_ARC
(16,5),-2.26189 # DEPENDENCYPART_ARC
(16,6),-3.94005 # DEPENDENCYPART_ARC
(16,7),-2.81799 # DEPENDENCYPART_ARC
(16,8),-1.183 # DEPENDENCYPART_ARC
(16,9),-0.777008 # DEPENDENCYPART_ARC
(16,10),-1.57097 # DEPENDENCYPART_ARC
(16,11),-2.21148 # DEPENDENCYPART_ARC
(16,12),-4.32763 # DEPENDENCYPART_ARC
(16,13),-0.777137 # DEPENDENCYPART_ARC
(16,14),-2.04706 # DEPENDENCYPART_ARC
(16,15),-0.463383 # DEPENDENCYPART_ARC
(16,17),-0.0384643 # DEPENDENCYPART_ARC
(16,18),0.943804 # DEPENDENCYPART_ARC
(16,19),-2.08624 # DEPENDENCYPART_ARC
(16,20),-1.25105 # DEPENDENCYPART_ARC
(16,21),-3.51759 # DEPENDENCYPART_ARC
(16,22),0.73611 # DEPENDENCYPART_ARC
(16,23),-0.776482 # DEPENDENCYPART_ARC
(16,24),-2.40954 # DEPENDENCYPART_ARC
(17,1),-1.73308 # DEPENDENCYPART_ARC
(17,2),-1.39649 # DEPENDENCYPART_ARC
(17,3),-1.45863 # DEPENDENCYPART_ARC
(17,4),0.00512977 # DEPENDENCYPART_ARC
(17,5),-0.990653 # DEPENDENCYPART_ARC
(17,6),-1.60717 # DEPENDENCYPART_ARC
(17,7),-0.649418 # DEPENDENCYPART_ARC
(17,8),-0.281868 # DEPENDENCYPART_ARC
(17,9),0.294976 # DEPENDENCYPART_ARC
(17,10),-0.943486 # DEPENDENCYPART_ARC
(17,11),-0.694536 # DEPENDENCYPART_ARC
(17,12),-0.723285 # DEPENDENCYPART_ARC
(17,13),0.299907 # DEPENDENCYPART_ARC
(17,14),0.230937 # DEPENDENCYPART_ARC
(17,15),-0.0352929 # DEPENDENCYPART_ARC
(17,16),0.0853664 # DEPENDENCYPART_ARC
(17,18),0.209846 # DEPENDENCYPART_ARC
(17,19),-0.11259 # DEPENDENCYPART_ARC
(17,20),-0.166536 # DEPENDENCYPART_ARC
(17,21),-0.312743 # DEPENDENCYPART_ARC
(17,22),-0.688136 # DEPENDENCYPART_ARC
(17,23),0.347935 # DEPENDENCYPART_ARC
(17,24),-0.0926624 # DEPENDENCYPART_ARC
(18,1),-3.63326 # DEPENDENCYPART_ARC
(18,2),-1.06222 # DEPENDENCYPART_ARC
(18,3),-1.94333 # DEPENDENCYPART_ARC
(18,4),-1.00201 # DEPENDENCYPART_ARC
(18,5),-1.62733 # DEPENDENCYPART_ARC
(18,6),-1.72331 # DEPENDENCYPART_ARC
(18,7),-2.28286 # DEPENDENCYPART_ARC
(18,8),-0.759091 # DEPENDENCYPART_ARC
(18,9),-0.471323 # DEPENDENCYPART_ARC
(18,10),-1.78477 # DEPENDENCYPART_ARC
(18,11),-1.92313 # DEPENDENCYPART_ARC
(18,12),-1.42013 # DEPENDENCYPART_ARC
(18,13),0.279098 # DEPENDENCYPART_ARC
(18,14),-0.225771 # DEPENDENCYPART_ARC
(18,15),-0.400508 # DEPENDENCYPART_ARC
(18,16),0.258435 # DEPENDENCYPART_ARC
(18,17),1.9072 # DEPENDENCYPART_ARC
(18,19),1.24204 # DEPENDENCYPART_ARC
(18,20),0.650134 # DEPENDENCYPART_ARC
(18,21),0.81543 # DEPENDENCYPART_ARC
(18,22),-0.498927 # DEPENDENCYPART_ARC
(18,23),2.86671 # DEPENDENCYPART_ARC
(18,24),0.808035 # DEPENDENCYPART_ARC
(19,1),-5.0361 # DEPENDENCYPART_ARC
(19,2),-4.33465 # DEPENDENCYPART_ARC
(19,3),-4.01366 # DEPENDENCYPART_ARC
(19,4),-3.66682 # DEPENDENCYPART_ARC
(19,5),-3.55325 # DEPENDENCYPART_ARC
(19,6),-3.85061 # DEPENDENCYPART_ARC
(19,7),-3.27696 # DEPENDENCYPART_ARC
(19,8),-2.87063 # DEPENDENCYPART_ARC
(19,9),-2.70329 # DEPENDENCYPART_ARC
(19,10),-2.51887 # DEPENDENCYPART_ARC
(19,11),-4.61705 # DEPENDENCYPART_ARC
(19,12),-3.12695 # DEPENDENCYPART_ARC
(19,13),-2.31473 # DEPENDENCYPART_ARC
(19,14),-2.69502 # DEPENDENCYPART_ARC
(19,15),-2.3287 # DEPENDENCYPART_ARC
(19,16),-2.43292 # DEPENDENCYPART_ARC
(19,17),-1.18739 # DEPENDENCYPART_ARC
(19,18),-0.582488 # DEPENDENCYPART_ARC
(19,20),-0.922474 # DEPENDENCYPART_ARC
(19,21),-1.94917 # DEPENDENCYPART_ARC
(19,22),-1.51594 # DEPENDENCYPART_ARC
(19,23),-3.48868 # DEPENDENCYPART_ARC
(19,24),-2.09874 # DEPENDENCYPART_ARC
(20,1),-5.37264 # DEPENDENCYPART_ARC
(20,2),-7.93927 # DEPENDENCYPART_ARC
(20,3),-9.67066 # DEPENDENCYPART_ARC
(20,4),-5.441 # DEPENDENCYPART_ARC
(20,5),-5.80368 # DEPENDENCYPART_ARC
(20,6),-8.9785 # DEPENDENCYPART_ARC
(20,7),-4.11753 # DEPENDENCYPART_ARC
(20,8),-1.85439 # DEPENDENCYPART_ARC
(20,9),-2.34495 # DEPENDENCYPART_ARC
(20,10),-3.3432 # DEPENDENCYPART_ARC
(20,11),-2.26957 # DEPENDENCYPART_ARC
(20,12),-6.99375 # DEPENDENCYPART_ARC
(20,13),-1.63742 # DEPENDENCYPART_ARC
(20,14),-5.81119 # DEPENDENCYPART_ARC
(20,15),-2.81623 # DEPENDENCYPART_ARC
(20,16),-6.04824 # DEPENDENCYPART_ARC
(20,17),-0.17751 # DEPENDENCYPART_ARC
(20,18),0.00949352 # DEPENDENCYPART_ARC
(20,19),-0.721455 # DEPENDENCYPART_ARC
(20,21),-0.0672363 # DEPENDENCYPART_ARC
(20,22),3.83405 # DEPENDENCYPART_ARC
(20,23),-0.669418 # DEPENDENCYPART_ARC
(20,24),-0.30064 # DEPENDENCYPART_ARC
(21,1),-6.68343 # DEPENDENCYPART_ARC
(21,2),-5.49327 # DEPENDENCYPART_ARC
(21,3),-4.56338 # DEPENDENCYPART_ARC
(21,4),-3.15996 # DEPENDENCYPART_ARC
(21,5),-3.67743 # DEPENDENCYPART_ARC
(21,6),-4.35423 # DEPENDENCYPART_ARC
(21,7),-5.03507 # DEPENDENCYPART_ARC
(21,8),-2.417 # DEPENDENCYPART_ARC
(21,9),-2.20684 # DEPENDENCYPART_ARC
(21,10),-2.05532 # DEPENDENCYPART_ARC
(21,11),-5.44759 # DEPENDENCYPART_ARC
(21,12),-4.91818 # DEPENDENCYPART_ARC
(21,13),-1.85888 # DEPENDENCYPART_ARC
(21,14),-3.7641 # DEPENDENCYPART_ARC
(21,15),-4.74562 # DEPENDENCYPART_ARC
(21,16),-2.39848 # DEPENDENCYPART_ARC
(21,17),-0.699774 # DEPENDENCYPART_ARC
(21,18),-0.574741 # DEPENDENCYPART_ARC
(21,19),0.254733 # DEPENDENCYPART_ARC
(21,20),-1.47239 # DEPENDENCYPART_ARC
(21,22),1.20783 # DEPENDENCYPART_ARC
(21,23),-2.30926 # DEPENDENCYPART_ARC
(21,24),-0.616762 # DEPENDENCYPART_ARC
