# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,5,17,18,0,
(7,6),3.98987 # DEPENDENCYPART_ARC
(7,8),1.8461 # DEPENDENCYPART_ARC
(7,9),-1.87165 # DEPENDENCYPART_ARC
(7,10),0.973022 # DEPENDENCYPART_ARC
(7,11),-0.964099 # DEPENDENCYPART_ARC
(7,12),-2.10618 # DEPENDENCYPART_ARC
(7,13),-2.82071 # DEPENDENCYPART_ARC
(7,14),-0.836391 # DEPENDENCYPART_ARC
(7,15),-3.89605 # DEPENDENCYPART_ARC
(7,16),-3.84656 # DEPENDENCYPART_ARC
(7,17),-2.59718 # DEPENDENCYPART_ARC
(7,18),-2.00444 # DEPENDENCYPART_ARC
(7,19),-3.4267 # DEPENDENCYPART_ARC
(7,20),-5.40775 # DEPENDENCYPART_ARC
(8,1),-3.06494 # DEPENDENCYPART_ARC
(8,3),-3.43512 # DEPENDENCYPART_ARC
(8,4),-0.884199 # DEPENDENCYPART_ARC
(8,5),-1.47734 # DEPENDENCYPART_ARC
(8,6),-1.51841 # DEPENDENCYPART_ARC
(8,7),-1.38925 # DEPENDENCYPART_ARC
(8,9),3.97627 # DEPENDENCYPART_ARC
(8,10),-0.502526 # DEPENDENCYPART_ARC
(8,11),-1.45324 # DEPENDENCYPART_ARC
(8,12),-2.21038 # DEPENDENCYPART_ARC
(8,13),-4.91262 # DEPENDENCYPART_ARC
(8,14),-0.931166 # DEPENDENCYPART_ARC
(8,15),-2.22146 # DEPENDENCYPART_ARC
(8,16),-5.58725 # DEPENDENCYPART_ARC
(8,17),-2.62803 # DEPENDENCYPART_ARC
(8,18),-2.29105 # DEPENDENCYPART_ARC
(8,19),-8.15174 # DEPENDENCYPART_ARC
(8,20),-2.24143 # DEPENDENCYPART_ARC
(9,1),-2.7826 # DEPENDENCYPART_ARC
(9,2),-5.16305 # DEPENDENCYPART_ARC
(9,3),-3.15414 # DEPENDENCYPART_ARC
(9,4),-1.12328 # DEPENDENCYPART_ARC
(9,5),-2.38312 # DEPENDENCYPART_ARC
(9,6),-2.91875 # DEPENDENCYPART_ARC
(9,7),-4.71882 # DEPENDENCYPART_ARC
(9,8),0.976349 # DEPENDENCYPART_ARC
(9,10),4.46975 # DEPENDENCYPART_ARC
(9,11),-0.906678 # DEPENDENCYPART_ARC
(9,12),-1.84146 # DEPENDENCYPART_ARC
(9,13),-1.92492 # DEPENDENCYPART_ARC
(9,14),-0.979599 # DEPENDENCYPART_ARC
(9,15),-2.1171 # DEPENDENCYPART_ARC
(9,16),-3.15013 # DEPENDENCYPART_ARC
(9,17),-2.37684 # DEPENDENCYPART_ARC
(9,18),-2.00376 # DEPENDENCYPART_ARC
(9,19),-2.89403 # DEPENDENCYPART_ARC
(9,20),-4.81704 # DEPENDENCYPART_ARC
(10,1),-2.09153 # DEPENDENCYPART_ARC
(10,2),-4.67138 # DEPENDENCYPART_ARC
(10,3),-2.46676 # DEPENDENCYPART_ARC
(10,4),-1.15069 # DEPENDENCYPART_ARC
(10,5),-1.89254 # DEPENDENCYPART_ARC
(10,6),-0.437592 # DEPENDENCYPART_ARC
(10,7),-3.12191 # DEPENDENCYPART_ARC
(10,8),-0.152995 # DEPENDENCYPART_ARC
(10,9),0.0248078 # DEPENDENCYPART_ARC
(10,11),-0.933288 # DEPENDENCYPART_ARC
(10,12),-2.8122 # DEPENDENCYPART_ARC
(10,13),-1.59468 # DEPENDENCYPART_ARC
(10,14),-1.26622 # DEPENDENCYPART_ARC
(10,15),-4.20118 # DEPENDENCYPART_ARC
(10,16),-3.39441 # DEPENDENCYPART_ARC
(10,17),-3.33807 # DEPENDENCYPART_ARC
(10,18),-2.31719 # DEPENDENCYPART_ARC
(10,19),-3.18612 # DEPENDENCYPART_ARC
(10,20),-4.25851 # DEPENDENCYPART_ARC
(11,1),-0.513164 # DEPENDENCYPART_ARC
(11,2),0.263775 # DEPENDENCYPART_ARC
(11,3),-1.77603 # DEPENDENCYPART_ARC
(11,4),-0.476221 # DEPENDENCYPART_ARC
(11,5),-0.915359 # DEPENDENCYPART_ARC
(11,6),-1.17349 # DEPENDENCYPART_ARC
(11,7),1.89192 # DEPENDENCYPART_ARC
(11,8),0.0842445 # DEPENDENCYPART_ARC
(11,9),1.21957 # DEPENDENCYPART_ARC
(11,10),-0.416815 # DEPENDENCYPART_ARC
(11,12),2.29469 # DEPENDENCYPART_ARC
(11,13),3.0122 # DEPENDENCYPART_ARC
(11,14),0.216322 # DEPENDENCYPART_ARC
(11,15),-1.15804 # DEPENDENCYPART_ARC
(11,16),-0.653267 # DEPENDENCYPART_ARC
(11,17),-1.18675 # DEPENDENCYPART_ARC
(11,18),-0.00614082 # DEPENDENCYPART_ARC
(11,19),-2.877 # DEPENDENCYPART_ARC
(11,20),-1.11173 # DEPENDENCYPART_ARC
(12,1),-3.10623 # DEPENDENCYPART_ARC
(12,2),-2.73333 # DEPENDENCYPART_ARC
(12,3),-3.94348 # DEPENDENCYPART_ARC
(12,4),-2.43186 # DEPENDENCYPART_ARC
(12,5),-2.22971 # DEPENDENCYPART_ARC
(12,6),-2.93222 # DEPENDENCYPART_ARC
(12,7),-2.03292 # DEPENDENCYPART_ARC
(12,8),-0.530882 # DEPENDENCYPART_ARC
(12,9),-2.20339 # DEPENDENCYPART_ARC
(12,10),-2.99452 # DEPENDENCYPART_ARC
(12,11),-1.82235 # DEPENDENCYPART_ARC
(12,13),-0.882013 # DEPENDENCYPART_ARC
(12,14),-0.90151 # DEPENDENCYPART_ARC
(12,16),-3.15188 # DEPENDENCYPART_ARC
(12,17),-2.91879 # DEPENDENCYPART_ARC
(12,18),-1.56518 # DEPENDENCYPART_ARC
(12,19),-3.83576 # DEPENDENCYPART_ARC
(12,20),-2.06648 # DEPENDENCYPART_ARC
(13,1),-3.1466 # DEPENDENCYPART_ARC
(13,2),-5.13619 # DEPENDENCYPART_ARC
(13,3),-2.45514 # DEPENDENCYPART_ARC
(13,4),-1.39077 # DEPENDENCYPART_ARC
(13,5),-2.64984 # DEPENDENCYPART_ARC
(13,6),-3.618 # DEPENDENCYPART_ARC
(13,7),-5.58586 # DEPENDENCYPART_ARC
(13,8),-0.0671604 # DEPENDENCYPART_ARC
(13,9),-2.27002 # DEPENDENCYPART_ARC
(13,10),-3.67709 # DEPENDENCYPART_ARC
(13,11),-1.01363 # DEPENDENCYPART_ARC
(13,12),5.20548 # DEPENDENCYPART_ARC
(13,14),-0.213453 # DEPENDENCYPART_ARC
(13,15),-1.85143 # DEPENDENCYPART_ARC
(13,16),-0.406703 # DEPENDENCYPART_ARC
(13,17),0.582463 # DEPENDENCYPART_ARC
(13,18),-0.747029 # DEPENDENCYPART_ARC
(13,19),-1.00652 # DEPENDENCYPART_ARC
(13,20),-1.84069 # DEPENDENCYPART_ARC
(14,1),-2.66047 # DEPENDENCYPART_ARC
(14,2),-2.81502 # DEPENDENCYPART_ARC
(14,3),-1.74315 # DEPENDENCYPART_ARC
(14,4),-1.08557 # DEPENDENCYPART_ARC
(14,5),-1.8646 # DEPENDENCYPART_ARC
(14,6),-1.9739 # DEPENDENCYPART_ARC
(14,7),-1.58529 # DEPENDENCYPART_ARC
(14,8),-1.9691 # DEPENDENCYPART_ARC
(14,9),-0.897765 # DEPENDENCYPART_ARC
(14,10),-1.74283 # DEPENDENCYPART_ARC
(14,11),-0.177997 # DEPENDENCYPART_ARC
(14,12),-0.912972 # DEPENDENCYPART_ARC
(14,13),-1.03166 # DEPENDENCYPART_ARC
(14,15),-0.865658 # DEPENDENCYPART_ARC
(14,16),-0.905657 # DEPENDENCYPART_ARC
(14,17),0.0504326 # DEPENDENCYPART_ARC
(14,18),-1.53084 # DEPENDENCYPART_ARC
(14,19),-1.82123 # DEPENDENCYPART_ARC
(14,20),-1.07435 # DEPENDENCYPART_ARC
(15,3),-1.96073 # DEPENDENCYPART_ARC
(15,4),-2.15307 # DEPENDENCYPART_ARC
(15,6),-3.3559 # DEPENDENCYPART_ARC
(15,7),-1.97318 # DEPENDENCYPART_ARC
(15,8),-1.1511 # DEPENDENCYPART_ARC
(15,9),-0.94716 # DEPENDENCYPART_ARC
(15,10),-1.29054 # DEPENDENCYPART_ARC
(15,11),-0.964904 # DEPENDENCYPART_ARC
(15,12),-1.63622 # DEPENDENCYPART_ARC
(15,13),-1.00716 # DEPENDENCYPART_ARC
(15,14),-0.204274 # DEPENDENCYPART_ARC
(15,16),-0.37564 # DEPENDENCYPART_ARC
(15,17),-1.43707 # DEPENDENCYPART_ARC
(15,19),-0.460345 # DEPENDENCYPART_ARC
(15,20),-0.828584 # DEPENDENCYPART_ARC
(16,1),-3.76202 # DEPENDENCYPART_ARC
(16,2),-6.56292 # DEPENDENCYPART_ARC
(16,3),-3.56697 # DEPENDENCYPART_ARC
(16,4),-1.99954 # DEPENDENCYPART_ARC
(16,5),-3.91864 # DEPENDENCYPART_ARC
(16,6),-6.21364 # DEPENDENCYPART_ARC
(16,7),-7.55375 # DEPENDENCYPART_ARC
(16,8),-0.853789 # DEPENDENCYPART_ARC
(16,9),-4.85494 # DEPENDENCYPART_ARC
(16,10),-6.38978 # DEPENDENCYPART_ARC
(16,11),-2.60887 # DEPENDENCYPART_ARC
(16,12),-0.122286 # DEPENDENCYPART_ARC
(16,13),-2.85535 # DEPENDENCYPART_ARC
(16,14),-0.197181 # DEPENDENCYPART_ARC
(16,15),-0.958438 # DEPENDENCYPART_ARC
(16,17),-0.473429 # DEPENDENCYPART_ARC
(16,18),-0.424074 # DEPENDENCYPART_ARC
(16,19),-0.616061 # DEPENDENCYPART_ARC
(16,20),-0.59892 # DEPENDENCYPART_ARC
(17,1),-1.04582 # DEPENDENCYPART_ARC
(17,2),-0.0774451 # DEPENDENCYPART_ARC
(17,3),-2.83975 # DEPENDENCYPART_ARC
(17,4),-0.631541 # DEPENDENCYPART_ARC
(17,5),-1.95454 # DEPENDENCYPART_ARC
(17,6),-3.19466 # DEPENDENCYPART_ARC
(17,7),0.538364 # DEPENDENCYPART_ARC
(17,8),-0.283051 # DEPENDENCYPART_ARC
(17,9),-0.256798 # DEPENDENCYPART_ARC
(17,10),-2.09159 # DEPENDENCYPART_ARC
(17,11),-1.43845 # DEPENDENCYPART_ARC
(17,12),-2.1637 # DEPENDENCYPART_ARC
(17,13),-0.630671 # DEPENDENCYPART_ARC
(17,14),2.3212 # DEPENDENCYPART_ARC
(17,15),2.96091 # DEPENDENCYPART_ARC
(17,16),3.6997 # DEPENDENCYPART_ARC
(17,18),3.01024 # DEPENDENCYPART_ARC
(17,19),-0.606882 # DEPENDENCYPART_ARC
(17,20),0.146138 # DEPENDENCYPART_ARC
(18,1),-3.43795 # DEPENDENCYPART_ARC
(18,4),-2.87661 # DEPENDENCYPART_ARC
(18,6),-3.29191 # DEPENDENCYPART_ARC
(18,7),-3.59072 # DEPENDENCYPART_ARC
(18,8),-2.65776 # DEPENDENCYPART_ARC
(18,9),-2.27098 # DEPENDENCYPART_ARC
(18,10),-3.42419 # DEPENDENCYPART_ARC
(18,12),-3.34961 # DEPENDENCYPART_ARC
(18,13),-3.29055 # DEPENDENCYPART_ARC
(18,14),-0.996128 # DEPENDENCYPART_ARC
(18,15),-1.36218 # DEPENDENCYPART_ARC
(18,16),-2.96885 # DEPENDENCYPART_ARC
(18,19),3.49336 # DEPENDENCYPART_ARC
(18,20),-0.196809 # DEPENDENCYPART_ARC
(19,1),-5.30479 # DEPENDENCYPART_ARC
(19,2),-7.25241 # DEPENDENCYPART_ARC
(19,3),-3.56342 # DEPENDENCYPART_ARC
(19,4),-3.04413 # DEPENDENCYPART_ARC
(19,5),-5.30819 # DEPENDENCYPART_ARC
(19,6),-6.36878 # DEPENDENCYPART_ARC
(19,7),-7.59825 # DEPENDENCYPART_ARC
(19,8),-0.855316 # DEPENDENCYPART_ARC
(19,9),-5.1807 # DEPENDENCYPART_ARC
(19,10),-4.61227 # DEPENDENCYPART_ARC
(19,11),-2.9523 # DEPENDENCYPART_ARC
(19,12),-4.55108 # DEPENDENCYPART_ARC
(19,13),-6.07377 # DEPENDENCYPART_ARC
(19,14),-1.72285 # DEPENDENCYPART_ARC
(19,15),-2.46632 # DEPENDENCYPART_ARC
(19,16),-3.45644 # DEPENDENCYPART_ARC
(19,17),-1.88632 # DEPENDENCYPART_ARC
(19,18),0.36145 # DEPENDENCYPART_ARC
(19,20),0.0627267 # DEPENDENCYPART_ARC
(20,1),-5.11475 # DEPENDENCYPART_ARC
(20,2),-5.64916 # DEPENDENCYPART_ARC
(20,3),-5.39115 # DEPENDENCYPART_ARC
(20,4),-5.57993 # DEPENDENCYPART_ARC
(20,5),-4.73176 # DEPENDENCYPART_ARC
(20,6),-4.88444 # DEPENDENCYPART_ARC
(20,7),-5.75691 # DEPENDENCYPART_ARC
(20,8),-5.00506 # DEPENDENCYPART_ARC
(20,9),-4.74794 # DEPENDENCYPART_ARC
(20,10),-5.22114 # DEPENDENCYPART_ARC
(20,11),-4.65273 # DEPENDENCYPART_ARC
(20,12),-4.01039 # DEPENDENCYPART_ARC
(20,13),-4.22961 # DEPENDENCYPART_ARC
(20,14),-3.20747 # DEPENDENCYPART_ARC
(20,15),-3.54913 # DEPENDENCYPART_ARC
(20,16),-4.17776 # DEPENDENCYPART_ARC
(20,17),-3.42911 # DEPENDENCYPART_ARC
(20,18),-3.25912 # DEPENDENCYPART_ARC
(20,19),-2.53403 # DEPENDENCYPART_ARC
