# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,6,8,11,6,11,16,11,16,6,16,0,
(9,7),-2.54103 # DEPENDENCYPART_ARC
(9,8),-0.727404 # DEPENDENCYPART_ARC
(9,10),0.35453 # DEPENDENCYPART_ARC
(9,11),-2.13688 # DEPENDENCYPART_ARC
(9,12),-0.53752 # DEPENDENCYPART_ARC
(9,13),-0.61202 # DEPENDENCYPART_ARC
(9,14),-0.170357 # DEPENDENCYPART_ARC
(9,15),-2.63508 # DEPENDENCYPART_ARC
(9,16),-2.57292 # DEPENDENCYPART_ARC
(9,17),-5.77293 # DEPENDENCYPART_ARC
(9,18),-2.58283 # DEPENDENCYPART_ARC
(10,1),-2.25162 # DEPENDENCYPART_ARC
(10,2),-1.04315 # DEPENDENCYPART_ARC
(10,3),-1.78377 # DEPENDENCYPART_ARC
(10,4),-1.27388 # DEPENDENCYPART_ARC
(10,5),-0.962599 # DEPENDENCYPART_ARC
(10,6),-1.24766 # DEPENDENCYPART_ARC
(10,7),-1.09909 # DEPENDENCYPART_ARC
(10,8),-0.622068 # DEPENDENCYPART_ARC
(10,9),-0.83818 # DEPENDENCYPART_ARC
(10,11),-0.778234 # DEPENDENCYPART_ARC
(10,12),-1.23917 # DEPENDENCYPART_ARC
(10,13),-1.22025 # DEPENDENCYPART_ARC
(10,14),-1.66451 # DEPENDENCYPART_ARC
(10,15),-1.77882 # DEPENDENCYPART_ARC
(10,16),-1.85934 # DEPENDENCYPART_ARC
(10,17),-2.50964 # DEPENDENCYPART_ARC
(10,18),-1.64377 # DEPENDENCYPART_ARC
(11,1),0.0164815 # DEPENDENCYPART_ARC
(11,2),-1.45836 # DEPENDENCYPART_ARC
(11,3),-0.488122 # DEPENDENCYPART_ARC
(11,4),-1.55183 # DEPENDENCYPART_ARC
(11,5),-0.306309 # DEPENDENCYPART_ARC
(11,6),-0.662625 # DEPENDENCYPART_ARC
(11,7),1.37035 # DEPENDENCYPART_ARC
(11,8),0.509693 # DEPENDENCYPART_ARC
(11,9),2.43344 # DEPENDENCYPART_ARC
(11,10),2.52194 # DEPENDENCYPART_ARC
(11,12),2.38318 # DEPENDENCYPART_ARC
(11,13),0.758767 # DEPENDENCYPART_ARC
(11,14),1.42116 # DEPENDENCYPART_ARC
(11,15),-1.19039 # DEPENDENCYPART_ARC
(11,16),-0.400742 # DEPENDENCYPART_ARC
(11,17),1.15214 # DEPENDENCYPART_ARC
(11,18),0.0362929 # DEPENDENCYPART_ARC
(12,1),-2.20974 # DEPENDENCYPART_ARC
(12,2),-0.901385 # DEPENDENCYPART_ARC
(12,3),-1.56553 # DEPENDENCYPART_ARC
(12,4),-1.18465 # DEPENDENCYPART_ARC
(12,5),-1.02567 # DEPENDENCYPART_ARC
(12,6),-1.09271 # DEPENDENCYPART_ARC
(12,7),-1.30496 # DEPENDENCYPART_ARC
(12,8),-0.765227 # DEPENDENCYPART_ARC
(12,9),-0.959414 # DEPENDENCYPART_ARC
(12,10),-0.0525668 # DEPENDENCYPART_ARC
(12,11),-0.388697 # DEPENDENCYPART_ARC
(12,13),-0.0876402 # DEPENDENCYPART_ARC
(12,14),-0.627272 # DEPENDENCYPART_ARC
(12,15),-1.07463 # DEPENDENCYPART_ARC
(12,16),-0.917698 # DEPENDENCYPART_ARC
(12,17),-1.138 # DEPENDENCYPART_ARC
(12,18),-1.06751 # DEPENDENCYPART_ARC
(13,1),-0.421636 # DEPENDENCYPART_ARC
(13,2),0.0315679 # DEPENDENCYPART_ARC
(13,3),-0.574692 # DEPENDENCYPART_ARC
(13,4),-0.304113 # DEPENDENCYPART_ARC
(13,5),0.262577 # DEPENDENCYPART_ARC
(13,6),-0.488374 # DEPENDENCYPART_ARC
(13,7),-0.295088 # DEPENDENCYPART_ARC
(13,8),-0.293954 # DEPENDENCYPART_ARC
(13,9),-0.438926 # DEPENDENCYPART_ARC
(13,10),0.155194 # DEPENDENCYPART_ARC
(13,11),0.34249 # DEPENDENCYPART_ARC
(13,12),0.871497 # DEPENDENCYPART_ARC
(13,14),0.848396 # DEPENDENCYPART_ARC
(13,15),0.406192 # DEPENDENCYPART_ARC
(13,16),0.734419 # DEPENDENCYPART_ARC
(13,17),0.0454775 # DEPENDENCYPART_ARC
(13,18),0.091608 # DEPENDENCYPART_ARC
(14,1),-3.36466 # DEPENDENCYPART_ARC
(14,2),-3.76167 # DEPENDENCYPART_ARC
(14,3),-1.8251 # DEPENDENCYPART_ARC
(14,4),-3.44318 # DEPENDENCYPART_ARC
(14,5),-2.23593 # DEPENDENCYPART_ARC
(14,6),-1.49817 # DEPENDENCYPART_ARC
(14,7),-1.26849 # DEPENDENCYPART_ARC
(14,8),-1.20494 # DEPENDENCYPART_ARC
(14,9),-1.62847 # DEPENDENCYPART_ARC
(14,10),-0.434842 # DEPENDENCYPART_ARC
(14,11),-2.10761 # DEPENDENCYPART_ARC
(14,12),0.50324 # DEPENDENCYPART_ARC
(14,13),0.289134 # DEPENDENCYPART_ARC
(14,15),0.93132 # DEPENDENCYPART_ARC
(14,16),0.330204 # DEPENDENCYPART_ARC
(14,17),-0.737738 # DEPENDENCYPART_ARC
(14,18),0.718684 # DEPENDENCYPART_ARC
(15,1),-2.28128 # DEPENDENCYPART_ARC
(15,2),-3.3383 # DEPENDENCYPART_ARC
(15,3),-1.79661 # DEPENDENCYPART_ARC
(15,4),-2.84492 # DEPENDENCYPART_ARC
(15,5),-1.35725 # DEPENDENCYPART_ARC
(15,6),-0.973964 # DEPENDENCYPART_ARC
(15,7),-3.69313 # DEPENDENCYPART_ARC
(15,8),-0.739262 # DEPENDENCYPART_ARC
(15,9),-3.78598 # DEPENDENCYPART_ARC
(15,10),-0.181342 # DEPENDENCYPART_ARC
(15,11),-3.59271 # DEPENDENCYPART_ARC
(15,12),-0.120325 # DEPENDENCYPART_ARC
(15,13),0.482187 # DEPENDENCYPART_ARC
(15,14),-0.663526 # DEPENDENCYPART_ARC
(15,16),-1.12164 # DEPENDENCYPART_ARC
(15,17),-2.06106 # DEPENDENCYPART_ARC
(15,18),-0.396365 # DEPENDENCYPART_ARC
(16,1),-0.105911 # DEPENDENCYPART_ARC
(16,2),-2.18567 # DEPENDENCYPART_ARC
(16,3),-0.643673 # DEPENDENCYPART_ARC
(16,4),-2.15874 # DEPENDENCYPART_ARC
(16,5),-0.475347 # DEPENDENCYPART_ARC
(16,6),-0.931668 # DEPENDENCYPART_ARC
(16,7),1.56452 # DEPENDENCYPART_ARC
(16,8),0.343546 # DEPENDENCYPART_ARC
(16,9),2.08371 # DEPENDENCYPART_ARC
(16,10),0.559817 # DEPENDENCYPART_ARC
(16,11),-0.705739 # DEPENDENCYPART_ARC
(16,12),0.466081 # DEPENDENCYPART_ARC
(16,13),1.2509 # DEPENDENCYPART_ARC
(16,14),1.25072 # DEPENDENCYPART_ARC
(16,15),2.43408 # DEPENDENCYPART_ARC
(16,17),4.03741 # DEPENDENCYPART_ARC
(16,18),0.166693 # DEPENDENCYPART_ARC
(17,1),-3.85368 # DEPENDENCYPART_ARC
(17,2),-2.92004 # DEPENDENCYPART_ARC
(17,3),-3.41588 # DEPENDENCYPART_ARC
(17,4),-3.2525 # DEPENDENCYPART_ARC
(17,5),-1.63101 # DEPENDENCYPART_ARC
(17,6),-3.32722 # DEPENDENCYPART_ARC
(17,7),-5.88507 # DEPENDENCYPART_ARC
(17,8),-2.22727 # DEPENDENCYPART_ARC
(17,9),-5.03064 # DEPENDENCYPART_ARC
(17,10),-1.59261 # DEPENDENCYPART_ARC
(17,11),-2.5335 # DEPENDENCYPART_ARC
(17,12),-0.371605 # DEPENDENCYPART_ARC
(17,13),-0.926959 # DEPENDENCYPART_ARC
(17,14),-0.232459 # DEPENDENCYPART_ARC
(17,15),-1.11913 # DEPENDENCYPART_ARC
(17,16),-0.614992 # DEPENDENCYPART_ARC
(17,18),0.701829 # DEPENDENCYPART_ARC
(18,1),-3.79829 # DEPENDENCYPART_ARC
(18,2),-4.21636 # DEPENDENCYPART_ARC
(18,3),-5.19139 # DEPENDENCYPART_ARC
(18,4),-4.66158 # DEPENDENCYPART_ARC
(18,5),-5.03647 # DEPENDENCYPART_ARC
(18,6),-4.43581 # DEPENDENCYPART_ARC
(18,7),-5.02943 # DEPENDENCYPART_ARC
(18,8),-4.79189 # DEPENDENCYPART_ARC
(18,9),-4.83312 # DEPENDENCYPART_ARC
(18,10),-3.52712 # DEPENDENCYPART_ARC
(18,11),-4.05195 # DEPENDENCYPART_ARC
(18,12),-3.40643 # DEPENDENCYPART_ARC
(18,13),-3.42188 # DEPENDENCYPART_ARC
(18,14),-3.15 # DEPENDENCYPART_ARC
(18,15),-3.25895 # DEPENDENCYPART_ARC
(18,16),-3.47837 # DEPENDENCYPART_ARC
(18,17),-2.66942 # DEPENDENCYPART_ARC
