# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,7,6,7,1,9,7,9,10,1,0,13,13,17,13,22,18,19,22,17,0,
(3,17),-2.38342 # DEPENDENCYPART_ARC
(3,18),-2.24194 # DEPENDENCYPART_ARC
(3,19),-2.61817 # DEPENDENCYPART_ARC
(3,20),-3.09732 # DEPENDENCYPART_ARC
(3,21),-2.37924 # DEPENDENCYPART_ARC
(3,22),-5.04987 # DEPENDENCYPART_ARC
(3,23),-2.14659 # DEPENDENCYPART_ARC
(4,1),-0.201494 # DEPENDENCYPART_ARC
(4,2),0.091777 # DEPENDENCYPART_ARC
(4,3),0.437225 # DEPENDENCYPART_ARC
(4,5),-1.64122 # DEPENDENCYPART_ARC
(4,6),-1.37766 # DEPENDENCYPART_ARC
(4,7),-2.27918 # DEPENDENCYPART_ARC
(4,8),-2.22596 # DEPENDENCYPART_ARC
(4,9),-2.69839 # DEPENDENCYPART_ARC
(4,10),-1.91997 # DEPENDENCYPART_ARC
(4,11),-3.44456 # DEPENDENCYPART_ARC
(4,12),-1.17974 # DEPENDENCYPART_ARC
(4,13),-2.74573 # DEPENDENCYPART_ARC
(4,14),-2.75575 # DEPENDENCYPART_ARC
(4,15),-3.82297 # DEPENDENCYPART_ARC
(4,16),-1.73802 # DEPENDENCYPART_ARC
(4,17),-2.7118 # DEPENDENCYPART_ARC
(4,18),-3.36562 # DEPENDENCYPART_ARC
(4,19),-3.38565 # DEPENDENCYPART_ARC
(4,20),-3.3785 # DEPENDENCYPART_ARC
(4,21),-2.80164 # DEPENDENCYPART_ARC
(4,22),-4.11924 # DEPENDENCYPART_ARC
(4,23),-3.78002 # DEPENDENCYPART_ARC
(5,1),-0.585912 # DEPENDENCYPART_ARC
(5,2),-0.913526 # DEPENDENCYPART_ARC
(5,3),-0.549445 # DEPENDENCYPART_ARC
(5,4),2.05311 # DEPENDENCYPART_ARC
(5,6),-0.447071 # DEPENDENCYPART_ARC
(5,7),-0.846522 # DEPENDENCYPART_ARC
(5,8),-0.486369 # DEPENDENCYPART_ARC
(5,9),-0.252283 # DEPENDENCYPART_ARC
(5,10),-1.3417 # DEPENDENCYPART_ARC
(5,11),-2.99054 # DEPENDENCYPART_ARC
(5,12),-0.427122 # DEPENDENCYPART_ARC
(5,13),-3.94415 # DEPENDENCYPART_ARC
(5,14),-2.49859 # DEPENDENCYPART_ARC
(5,15),-3.53196 # DEPENDENCYPART_ARC
(5,16),-1.44952 # DEPENDENCYPART_ARC
(5,17),-1.17757 # DEPENDENCYPART_ARC
(5,18),-2.84958 # DEPENDENCYPART_ARC
(5,19),-3.29883 # DEPENDENCYPART_ARC
(5,20),-4.9291 # DEPENDENCYPART_ARC
(5,21),-2.39605 # DEPENDENCYPART_ARC
(5,22),-3.71615 # DEPENDENCYPART_ARC
(5,23),-3.40681 # DEPENDENCYPART_ARC
(6,1),-0.525366 # DEPENDENCYPART_ARC
(6,2),-1.78193 # DEPENDENCYPART_ARC
(6,3),3.48943 # DEPENDENCYPART_ARC
(6,4),0.334386 # DEPENDENCYPART_ARC
(6,5),4.79871 # DEPENDENCYPART_ARC
(6,7),0.362987 # DEPENDENCYPART_ARC
(6,8),-1.15173 # DEPENDENCYPART_ARC
(6,9),-0.935134 # DEPENDENCYPART_ARC
(6,10),0.842528 # DEPENDENCYPART_ARC
(6,11),-1.5295 # DEPENDENCYPART_ARC
(6,12),-0.888909 # DEPENDENCYPART_ARC
(6,13),-2.90265 # DEPENDENCYPART_ARC
(6,14),-2.21062 # DEPENDENCYPART_ARC
(6,15),-1.48047 # DEPENDENCYPART_ARC
(6,16),-0.865235 # DEPENDENCYPART_ARC
(6,17),-2.1912 # DEPENDENCYPART_ARC
(6,18),-2.29431 # DEPENDENCYPART_ARC
(6,19),-2.63763 # DEPENDENCYPART_ARC
(6,20),-2.97033 # DEPENDENCYPART_ARC
(6,21),-1.54642 # DEPENDENCYPART_ARC
(6,22),-4.04076 # DEPENDENCYPART_ARC
(6,23),-5.57104 # DEPENDENCYPART_ARC
(7,1),1.76891 # DEPENDENCYPART_ARC
(7,2),4.4486 # DEPENDENCYPART_ARC
(7,3),1.40711 # DEPENDENCYPART_ARC
(7,4),2.13947 # DEPENDENCYPART_ARC
(7,5),-0.639238 # DEPENDENCYPART_ARC
(7,6),2.78067 # DEPENDENCYPART_ARC
(7,8),-0.229644 # DEPENDENCYPART_ARC
(7,9),1.38295 # DEPENDENCYPART_ARC
(7,10),1.16072 # DEPENDENCYPART_ARC
(7,11),-0.418291 # DEPENDENCYPART_ARC
(7,12),0.807993 # DEPENDENCYPART_ARC
(7,13),-2.01956 # DEPENDENCYPART_ARC
(7,14),-1.81392 # DEPENDENCYPART_ARC
(7,15),-0.940592 # DEPENDENCYPART_ARC
(7,16),-0.236281 # DEPENDENCYPART_ARC
(7,17),-0.234969 # DEPENDENCYPART_ARC
(7,18),-1.46676 # DEPENDENCYPART_ARC
(7,19),-3.66761 # DEPENDENCYPART_ARC
(7,20),-4.84739 # DEPENDENCYPART_ARC
(7,21),-1.5745 # DEPENDENCYPART_ARC
(7,22),-4.54574 # DEPENDENCYPART_ARC
(7,23),-0.87246 # DEPENDENCYPART_ARC
(8,1),-1.40975 # DEPENDENCYPART_ARC
(8,2),-1.75759 # DEPENDENCYPART_ARC
(8,3),-1.95488 # DEPENDENCYPART_ARC
(8,4),-0.594558 # DEPENDENCYPART_ARC
(8,5),-3.33764 # DEPENDENCYPART_ARC
(8,6),-3.31328 # DEPENDENCYPART_ARC
(8,7),-1.3812 # DEPENDENCYPART_ARC
(8,9),0.231221 # DEPENDENCYPART_ARC
(8,10),-0.73077 # DEPENDENCYPART_ARC
(8,11),-1.8423 # DEPENDENCYPART_ARC
(8,12),-0.892206 # DEPENDENCYPART_ARC
(8,13),-2.97862 # DEPENDENCYPART_ARC
(8,14),-2.88554 # DEPENDENCYPART_ARC
(8,15),-4.83878 # DEPENDENCYPART_ARC
(8,16),-1.62449 # DEPENDENCYPART_ARC
(8,17),-0.984437 # DEPENDENCYPART_ARC
(8,18),-2.85647 # DEPENDENCYPART_ARC
(8,19),-3.7009 # DEPENDENCYPART_ARC
(8,20),-5.4587 # DEPENDENCYPART_ARC
(8,21),-2.50264 # DEPENDENCYPART_ARC
(8,22),-3.12107 # DEPENDENCYPART_ARC
(8,23),-3.23399 # DEPENDENCYPART_ARC
(9,1),-2.24305 # DEPENDENCYPART_ARC
(9,2),-3.7088 # DEPENDENCYPART_ARC
(9,3),-1.46191 # DEPENDENCYPART_ARC
(9,4),-0.969013 # DEPENDENCYPART_ARC
(9,5),-3.31821 # DEPENDENCYPART_ARC
(9,6),-4.76179 # DEPENDENCYPART_ARC
(9,7),-2.11384 # DEPENDENCYPART_ARC
(9,8),4.76087 # DEPENDENCYPART_ARC
(9,10),2.50527 # DEPENDENCYPART_ARC
(9,11),0.119357 # DEPENDENCYPART_ARC
(9,12),0.0402838 # DEPENDENCYPART_ARC
(9,13),-1.45147 # DEPENDENCYPART_ARC
(9,14),-2.15338 # DEPENDENCYPART_ARC
(9,15),-3.78966 # DEPENDENCYPART_ARC
(9,16),0.0355996 # DEPENDENCYPART_ARC
(9,17),0.394763 # DEPENDENCYPART_ARC
(9,18),-2.09873 # DEPENDENCYPART_ARC
(9,19),-2.64062 # DEPENDENCYPART_ARC
(9,20),-3.15118 # DEPENDENCYPART_ARC
(9,21),-0.542868 # DEPENDENCYPART_ARC
(9,22),-0.805 # DEPENDENCYPART_ARC
(9,23),-3.25816 # DEPENDENCYPART_ARC
(10,1),-2.19933 # DEPENDENCYPART_ARC
(10,2),-2.57365 # DEPENDENCYPART_ARC
(10,3),-2.29454 # DEPENDENCYPART_ARC
(10,4),-2.12007 # DEPENDENCYPART_ARC
(10,5),-2.05421 # DEPENDENCYPART_ARC
(10,6),-2.97418 # DEPENDENCYPART_ARC
(10,7),-1.54249 # DEPENDENCYPART_ARC
(10,8),-1.14131 # DEPENDENCYPART_ARC
(10,9),-1.9944 # DEPENDENCYPART_ARC
(10,11),1.27378 # DEPENDENCYPART_ARC
(10,12),-0.136117 # DEPENDENCYPART_ARC
(10,13),-1.00215 # DEPENDENCYPART_ARC
(10,14),-1.75142 # DEPENDENCYPART_ARC
(10,15),-2.44782 # DEPENDENCYPART_ARC
(10,16),-0.944375 # DEPENDENCYPART_ARC
(10,17),-2.30181 # DEPENDENCYPART_ARC
(10,18),-2.13435 # DEPENDENCYPART_ARC
(10,19),-2.79198 # DEPENDENCYPART_ARC
(10,20),-3.28853 # DEPENDENCYPART_ARC
(10,21),-2.11954 # DEPENDENCYPART_ARC
(10,22),-2.34538 # DEPENDENCYPART_ARC
(10,23),-2.78297 # DEPENDENCYPART_ARC
(11,1),-2.50089 # DEPENDENCYPART_ARC
(11,2),-1.49436 # DEPENDENCYPART_ARC
(11,3),-0.382154 # DEPENDENCYPART_ARC
(11,4),-1.57402 # DEPENDENCYPART_ARC
(11,5),-1.82741 # DEPENDENCYPART_ARC
(11,6),-2.00284 # DEPENDENCYPART_ARC
(11,7),-0.838749 # DEPENDENCYPART_ARC
(11,8),-1.11371 # DEPENDENCYPART_ARC
(11,9),-1.95033 # DEPENDENCYPART_ARC
(11,10),2.65295 # DEPENDENCYPART_ARC
(11,12),-0.317424 # DEPENDENCYPART_ARC
(11,13),-1.58571 # DEPENDENCYPART_ARC
(11,14),-1.68337 # DEPENDENCYPART_ARC
(11,15),-2.30414 # DEPENDENCYPART_ARC
(11,16),-0.131534 # DEPENDENCYPART_ARC
(11,17),0.130277 # DEPENDENCYPART_ARC
(11,18),-2.72475 # DEPENDENCYPART_ARC
(11,19),-2.5143 # DEPENDENCYPART_ARC
(11,20),-3.32946 # DEPENDENCYPART_ARC
(11,21),-1.04017 # DEPENDENCYPART_ARC
(11,22),-1.83561 # DEPENDENCYPART_ARC
(11,23),-2.94653 # DEPENDENCYPART_ARC
(12,1),0.125279 # DEPENDENCYPART_ARC
(12,2),1.22874 # DEPENDENCYPART_ARC
(12,3),0.0136554 # DEPENDENCYPART_ARC
(12,4),0.0559655 # DEPENDENCYPART_ARC
(12,5),-0.890055 # DEPENDENCYPART_ARC
(12,6),0.271548 # DEPENDENCYPART_ARC
(12,7),0.80771 # DEPENDENCYPART_ARC
(12,8),0.190802 # DEPENDENCYPART_ARC
(12,9),0.798348 # DEPENDENCYPART_ARC
(12,10),-0.0728182 # DEPENDENCYPART_ARC
(12,11),0.948895 # DEPENDENCYPART_ARC
(12,13),0.591504 # DEPENDENCYPART_ARC
(12,14),-0.101447 # DEPENDENCYPART_ARC
(12,15),-0.314701 # DEPENDENCYPART_ARC
(12,16),0.348518 # DEPENDENCYPART_ARC
(12,17),-0.0949218 # DEPENDENCYPART_ARC
(12,18),-1.40724 # DEPENDENCYPART_ARC
(12,19),-1.10015 # DEPENDENCYPART_ARC
(12,20),-1.3329 # DEPENDENCYPART_ARC
(12,21),-1.12577 # DEPENDENCYPART_ARC
(12,22),-1.20659 # DEPENDENCYPART_ARC
(12,23),0.235343 # DEPENDENCYPART_ARC
(13,1),2.94978 # DEPENDENCYPART_ARC
(13,2),-1.65866 # DEPENDENCYPART_ARC
(13,3),-2.30354 # DEPENDENCYPART_ARC
(13,4),-0.407765 # DEPENDENCYPART_ARC
(13,5),-1.12658 # DEPENDENCYPART_ARC
(13,6),-1.48013 # DEPENDENCYPART_ARC
(13,7),-2.33638 # DEPENDENCYPART_ARC
(13,8),-1.25948 # DEPENDENCYPART_ARC
(13,9),-1.66433 # DEPENDENCYPART_ARC
(13,10),-1.2192 # DEPENDENCYPART_ARC
(13,11),-1.91779 # DEPENDENCYPART_ARC
(13,12),-0.217865 # DEPENDENCYPART_ARC
(13,14),2.16003 # DEPENDENCYPART_ARC
(13,15),2.91701 # DEPENDENCYPART_ARC
(13,16),0.233946 # DEPENDENCYPART_ARC
(13,17),1.09398 # DEPENDENCYPART_ARC
(13,18),-0.582079 # DEPENDENCYPART_ARC
(13,19),-2.36603 # DEPENDENCYPART_ARC
(13,20),-3.00659 # DEPENDENCYPART_ARC
(13,21),-0.648219 # DEPENDENCYPART_ARC
(13,22),-2.49109 # DEPENDENCYPART_ARC
(13,23),-0.205084 # DEPENDENCYPART_ARC
(14,1),-2.10287 # DEPENDENCYPART_ARC
(14,2),-3.32976 # DEPENDENCYPART_ARC
(14,3),-2.05959 # DEPENDENCYPART_ARC
(14,4),-1.70678 # DEPENDENCYPART_ARC
(14,5),-1.89375 # DEPENDENCYPART_ARC
(14,6),-2.59848 # DEPENDENCYPART_ARC
(14,7),-2.95717 # DEPENDENCYPART_ARC
(14,8),-0.261034 # DEPENDENCYPART_ARC
(14,9),-0.943809 # DEPENDENCYPART_ARC
(14,10),0.528797 # DEPENDENCYPART_ARC
(14,11),-0.741613 # DEPENDENCYPART_ARC
(14,12),0.246565 # DEPENDENCYPART_ARC
(14,13),-1.37496 # DEPENDENCYPART_ARC
(14,15),-0.427177 # DEPENDENCYPART_ARC
(14,16),-0.520181 # DEPENDENCYPART_ARC
(14,17),-0.0142345 # DEPENDENCYPART_ARC
(14,18),-1.35217 # DEPENDENCYPART_ARC
(14,19),-1.87005 # DEPENDENCYPART_ARC
(14,20),-2.01954 # DEPENDENCYPART_ARC
(14,21),-1.28837 # DEPENDENCYPART_ARC
(14,22),-2.35709 # DEPENDENCYPART_ARC
(14,23),-0.860928 # DEPENDENCYPART_ARC
(15,1),-1.59379 # DEPENDENCYPART_ARC
(15,2),-1.73695 # DEPENDENCYPART_ARC
(15,3),-1.75583 # DEPENDENCYPART_ARC
(15,4),-1.33911 # DEPENDENCYPART_ARC
(15,5),-1.62459 # DEPENDENCYPART_ARC
(15,6),-2.12752 # DEPENDENCYPART_ARC
(15,7),-2.81165 # DEPENDENCYPART_ARC
(15,8),-2.09772 # DEPENDENCYPART_ARC
(15,9),-0.734697 # DEPENDENCYPART_ARC
(15,10),1.17975 # DEPENDENCYPART_ARC
(15,11),-0.480345 # DEPENDENCYPART_ARC
(15,12),-0.313373 # DEPENDENCYPART_ARC
(15,13),-0.0325014 # DEPENDENCYPART_ARC
(15,14),1.67187 # DEPENDENCYPART_ARC
(15,16),-0.275667 # DEPENDENCYPART_ARC
(15,17),0.302503 # DEPENDENCYPART_ARC
(15,18),-0.933266 # DEPENDENCYPART_ARC
(15,19),-1.78432 # DEPENDENCYPART_ARC
(15,20),-3.38858 # DEPENDENCYPART_ARC
(15,21),-1.4125 # DEPENDENCYPART_ARC
(15,22),-1.74171 # DEPENDENCYPART_ARC
(15,23),-1.44972 # DEPENDENCYPART_ARC
(16,1),-0.929716 # DEPENDENCYPART_ARC
(16,2),-0.410021 # DEPENDENCYPART_ARC
(16,3),-1.10918 # DEPENDENCYPART_ARC
(16,4),-1.23553 # DEPENDENCYPART_ARC
(16,5),-2.07759 # DEPENDENCYPART_ARC
(16,6),-2.20021 # DEPENDENCYPART_ARC
(16,7),-0.653836 # DEPENDENCYPART_ARC
(16,8),-1.06754 # DEPENDENCYPART_ARC
(16,9),-1.61336 # DEPENDENCYPART_ARC
(16,10),-1.10639 # DEPENDENCYPART_ARC
(16,11),-0.880038 # DEPENDENCYPART_ARC
(16,12),-0.683327 # DEPENDENCYPART_ARC
(16,13),0.390741 # DEPENDENCYPART_ARC
(16,14),-0.0838203 # DEPENDENCYPART_ARC
(16,15),-0.394848 # DEPENDENCYPART_ARC
(16,17),0.555053 # DEPENDENCYPART_ARC
(16,18),-0.741558 # DEPENDENCYPART_ARC
(16,19),-0.58108 # DEPENDENCYPART_ARC
(16,20),-0.0590362 # DEPENDENCYPART_ARC
(16,21),-0.790263 # DEPENDENCYPART_ARC
(16,22),-0.294201 # DEPENDENCYPART_ARC
(16,23),-0.275179 # DEPENDENCYPART_ARC
(17,1),-1.37632 # DEPENDENCYPART_ARC
(17,2),-1.7662 # DEPENDENCYPART_ARC
(17,3),-2.1652 # DEPENDENCYPART_ARC
(17,4),-1.37647 # DEPENDENCYPART_ARC
(17,5),-3.11298 # DEPENDENCYPART_ARC
(17,6),-2.75447 # DEPENDENCYPART_ARC
(17,7),-1.80856 # DEPENDENCYPART_ARC
(17,8),-2.43229 # DEPENDENCYPART_ARC
(17,9),-2.62489 # DEPENDENCYPART_ARC
(17,10),-0.520575 # DEPENDENCYPART_ARC
(17,11),-1.82674 # DEPENDENCYPART_ARC
(17,12),-0.478188 # DEPENDENCYPART_ARC
(17,13),-0.558271 # DEPENDENCYPART_ARC
(17,14),-0.633004 # DEPENDENCYPART_ARC
(17,15),-0.042843 # DEPENDENCYPART_ARC
(17,16),2.95263 # DEPENDENCYPART_ARC
(17,18),-0.383943 # DEPENDENCYPART_ARC
(17,19),-0.107494 # DEPENDENCYPART_ARC
(17,20),-0.707466 # DEPENDENCYPART_ARC
(17,21),-0.367768 # DEPENDENCYPART_ARC
(17,22),2.21438 # DEPENDENCYPART_ARC
(17,23),0.188527 # DEPENDENCYPART_ARC
(18,1),-3.31063 # DEPENDENCYPART_ARC
(18,2),-4.4748 # DEPENDENCYPART_ARC
(18,3),-3.64672 # DEPENDENCYPART_ARC
(18,4),-3.68301 # DEPENDENCYPART_ARC
(18,5),-4.33102 # DEPENDENCYPART_ARC
(18,6),-4.58391 # DEPENDENCYPART_ARC
(18,7),-3.98318 # DEPENDENCYPART_ARC
(18,8),-4.35942 # DEPENDENCYPART_ARC
(18,9),-4.45033 # DEPENDENCYPART_ARC
(18,10),-2.76331 # DEPENDENCYPART_ARC
(18,11),-3.46444 # DEPENDENCYPART_ARC
(18,12),-2.11902 # DEPENDENCYPART_ARC
(18,13),-3.58377 # DEPENDENCYPART_ARC
(18,14),-2.6789 # DEPENDENCYPART_ARC
(18,15),-3.10506 # DEPENDENCYPART_ARC
(18,16),-0.490575 # DEPENDENCYPART_ARC
(18,17),-0.313256 # DEPENDENCYPART_ARC
(18,19),2.92386 # DEPENDENCYPART_ARC
(18,20),0.0448962 # DEPENDENCYPART_ARC
(18,21),0.132093 # DEPENDENCYPART_ARC
(18,22),-0.90938 # DEPENDENCYPART_ARC
(18,23),-0.462451 # DEPENDENCYPART_ARC
(19,1),-3.11011 # DEPENDENCYPART_ARC
(19,2),-3.32346 # DEPENDENCYPART_ARC
(19,3),-2.87894 # DEPENDENCYPART_ARC
(19,4),-2.13243 # DEPENDENCYPART_ARC
(19,5),-3.23466 # DEPENDENCYPART_ARC
(19,6),-3.43255 # DEPENDENCYPART_ARC
(19,7),-2.91145 # DEPENDENCYPART_ARC
(19,8),-3.1452 # DEPENDENCYPART_ARC
(19,9),-3.07895 # DEPENDENCYPART_ARC
(19,10),-1.46108 # DEPENDENCYPART_ARC
(19,11),-2.71429 # DEPENDENCYPART_ARC
(19,12),-1.67418 # DEPENDENCYPART_ARC
(19,13),-2.43218 # DEPENDENCYPART_ARC
(19,14),-1.94699 # DEPENDENCYPART_ARC
(19,15),-2.23824 # DEPENDENCYPART_ARC
(19,16),-1.05542 # DEPENDENCYPART_ARC
(19,17),-0.678721 # DEPENDENCYPART_ARC
(19,18),0.359193 # DEPENDENCYPART_ARC
(19,20),2.436 # DEPENDENCYPART_ARC
(19,21),0.179089 # DEPENDENCYPART_ARC
(19,22),0.231664 # DEPENDENCYPART_ARC
(19,23),0.0893082 # DEPENDENCYPART_ARC
(20,1),-2.88608 # DEPENDENCYPART_ARC
(20,2),-3.42293 # DEPENDENCYPART_ARC
(20,3),-3.81813 # DEPENDENCYPART_ARC
(20,4),-2.17816 # DEPENDENCYPART_ARC
(20,5),-4.5364 # DEPENDENCYPART_ARC
(20,6),-5.54831 # DEPENDENCYPART_ARC
(20,7),-4.8831 # DEPENDENCYPART_ARC
(20,8),-4.14624 # DEPENDENCYPART_ARC
(20,9),-3.12547 # DEPENDENCYPART_ARC
(20,10),-0.901106 # DEPENDENCYPART_ARC
(20,11),-2.69662 # DEPENDENCYPART_ARC
(20,12),-1.33188 # DEPENDENCYPART_ARC
(20,13),-2.65632 # DEPENDENCYPART_ARC
(20,14),-1.09888 # DEPENDENCYPART_ARC
(20,15),-3.2044 # DEPENDENCYPART_ARC
(20,16),-0.224036 # DEPENDENCYPART_ARC
(20,17),-0.477772 # DEPENDENCYPART_ARC
(20,18),0.858658 # DEPENDENCYPART_ARC
(20,19),-0.0856051 # DEPENDENCYPART_ARC
(20,21),0.597816 # DEPENDENCYPART_ARC
(20,22),-0.832061 # DEPENDENCYPART_ARC
(20,23),0.543159 # DEPENDENCYPART_ARC
(21,1),-2.09606 # DEPENDENCYPART_ARC
(21,2),-2.35419 # DEPENDENCYPART_ARC
(21,3),-2.29431 # DEPENDENCYPART_ARC
(21,4),-2.2665 # DEPENDENCYPART_ARC
(21,5),-2.46665 # DEPENDENCYPART_ARC
(21,6),-2.78931 # DEPENDENCYPART_ARC
(21,7),-2.0637 # DEPENDENCYPART_ARC
(21,8),-2.25724 # DEPENDENCYPART_ARC
(21,9),-2.58116 # DEPENDENCYPART_ARC
(21,10),-1.99848 # DEPENDENCYPART_ARC
(21,11),-1.8596 # DEPENDENCYPART_ARC
(21,12),-1.69134 # DEPENDENCYPART_ARC
(21,13),-1.31601 # DEPENDENCYPART_ARC
(21,14),-1.52751 # DEPENDENCYPART_ARC
(21,15),-1.45154 # DEPENDENCYPART_ARC
(21,16),-1.07796 # DEPENDENCYPART_ARC
(21,17),-0.780359 # DEPENDENCYPART_ARC
(21,18),-0.393169 # DEPENDENCYPART_ARC
(21,19),-0.315446 # DEPENDENCYPART_ARC
(21,20),-0.00511061 # DEPENDENCYPART_ARC
(21,22),-0.392158 # DEPENDENCYPART_ARC
(21,23),-0.140052 # DEPENDENCYPART_ARC
(22,1),0.992362 # DEPENDENCYPART_ARC
(22,2),-3.62515 # DEPENDENCYPART_ARC
(22,3),-2.80142 # DEPENDENCYPART_ARC
(22,4),-0.850021 # DEPENDENCYPART_ARC
(22,5),-2.73987 # DEPENDENCYPART_ARC
(22,6),-1.43536 # DEPENDENCYPART_ARC
(22,7),-3.4348 # DEPENDENCYPART_ARC
(22,8),-0.503696 # DEPENDENCYPART_ARC
(22,9),-0.100897 # DEPENDENCYPART_ARC
(22,10),-2.11258 # DEPENDENCYPART_ARC
(22,11),-2.93709 # DEPENDENCYPART_ARC
(22,12),-0.795039 # DEPENDENCYPART_ARC
(22,13),-2.6385 # DEPENDENCYPART_ARC
(22,14),0.0684426 # DEPENDENCYPART_ARC
(22,15),-1.66654 # DEPENDENCYPART_ARC
(22,16),0.0800008 # DEPENDENCYPART_ARC
(22,17),-0.472454 # DEPENDENCYPART_ARC
(22,18),2.16011 # DEPENDENCYPART_ARC
(22,19),0.17237 # DEPENDENCYPART_ARC
(22,20),-2.11208 # DEPENDENCYPART_ARC
(22,21),2.88886 # DEPENDENCYPART_ARC
(22,23),0.293201 # DEPENDENCYPART_ARC
(23,1),-5.16849 # DEPENDENCYPART_ARC
