# _root_ V rámci pomoci Spojenců byl na území Slovenska přepravován vojenský , zdravotnický , spojovací a technický materiál .
#goldHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
#predictedHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
(8,12),-3.91569 # DEPENDENCYPART_ARC
(8,13),-1.63024 # DEPENDENCYPART_ARC
(8,14),-4.45321 # DEPENDENCYPART_ARC
(8,15),-1.47972 # DEPENDENCYPART_ARC
(8,16),-5.6967 # DEPENDENCYPART_ARC
(8,17),-3.43431 # DEPENDENCYPART_ARC
(8,18),-4.34184 # DEPENDENCYPART_ARC
(9,1),1.96182 # DEPENDENCYPART_ARC
(9,2),0.82865 # DEPENDENCYPART_ARC
(9,3),-0.629445 # DEPENDENCYPART_ARC
(9,4),-1.3824 # DEPENDENCYPART_ARC
(9,5),3.49889 # DEPENDENCYPART_ARC
(9,6),2.54312 # DEPENDENCYPART_ARC
(9,7),0.357223 # DEPENDENCYPART_ARC
(9,8),-0.619 # DEPENDENCYPART_ARC
(9,10),2.12605 # DEPENDENCYPART_ARC
(9,11),0.501749 # DEPENDENCYPART_ARC
(9,12),-0.713963 # DEPENDENCYPART_ARC
(9,13),0.396728 # DEPENDENCYPART_ARC
(9,14),-1.60139 # DEPENDENCYPART_ARC
(9,15),0.110052 # DEPENDENCYPART_ARC
(9,16),-3.75917 # DEPENDENCYPART_ARC
(9,17),-0.282136 # DEPENDENCYPART_ARC
(9,18),-0.655806 # DEPENDENCYPART_ARC
(10,1),-1.41125 # DEPENDENCYPART_ARC
(10,2),-3.34099 # DEPENDENCYPART_ARC
(10,3),-3.11228 # DEPENDENCYPART_ARC
(10,4),-3.38025 # DEPENDENCYPART_ARC
(10,5),-3.58115 # DEPENDENCYPART_ARC
(10,6),0.403736 # DEPENDENCYPART_ARC
(10,7),-1.30834 # DEPENDENCYPART_ARC
(10,8),-1.60758 # DEPENDENCYPART_ARC
(10,9),-2.10678 # DEPENDENCYPART_ARC
(10,11),0.0110469 # DEPENDENCYPART_ARC
(10,12),-1.23099 # DEPENDENCYPART_ARC
(10,13),-0.801727 # DEPENDENCYPART_ARC
(10,14),-1.87153 # DEPENDENCYPART_ARC
(10,15),-0.393589 # DEPENDENCYPART_ARC
(10,16),-2.55371 # DEPENDENCYPART_ARC
(10,17),-3.16336 # DEPENDENCYPART_ARC
(10,18),-1.78208 # DEPENDENCYPART_ARC
(11,1),-0.0813768 # DEPENDENCYPART_ARC
(11,2),-0.0921346 # DEPENDENCYPART_ARC
(11,3),0.287083 # DEPENDENCYPART_ARC
(11,4),-0.0716204 # DEPENDENCYPART_ARC
(11,5),0.760078 # DEPENDENCYPART_ARC
(11,6),0.134882 # DEPENDENCYPART_ARC
(11,7),1.31666 # DEPENDENCYPART_ARC
(11,8),0.691722 # DEPENDENCYPART_ARC
(11,9),0.656894 # DEPENDENCYPART_ARC
(11,10),2.98377 # DEPENDENCYPART_ARC
(11,12),2.41402 # DEPENDENCYPART_ARC
(11,13),0.990243 # DEPENDENCYPART_ARC
(11,14),1.34711 # DEPENDENCYPART_ARC
(11,15),0.778672 # DEPENDENCYPART_ARC
(11,16),2.07305 # DEPENDENCYPART_ARC
(11,17),0.41828 # DEPENDENCYPART_ARC
(11,18),-0.010381 # DEPENDENCYPART_ARC
(12,1),-2.31507 # DEPENDENCYPART_ARC
(12,2),-3.81291 # DEPENDENCYPART_ARC
(12,3),-3.5621 # DEPENDENCYPART_ARC
(12,4),-3.82682 # DEPENDENCYPART_ARC
(12,5),-4.24757 # DEPENDENCYPART_ARC
(12,6),-0.83362 # DEPENDENCYPART_ARC
(12,7),-1.99374 # DEPENDENCYPART_ARC
(12,8),-2.59392 # DEPENDENCYPART_ARC
(12,9),-3.19651 # DEPENDENCYPART_ARC
(12,10),-0.88886 # DEPENDENCYPART_ARC
(12,11),0.724817 # DEPENDENCYPART_ARC
(12,13),0.761927 # DEPENDENCYPART_ARC
(12,14),-1.02503 # DEPENDENCYPART_ARC
(12,15),-0.108199 # DEPENDENCYPART_ARC
(12,16),-1.8573 # DEPENDENCYPART_ARC
(12,17),-2.11221 # DEPENDENCYPART_ARC
(12,18),-0.815784 # DEPENDENCYPART_ARC
(13,1),-0.293915 # DEPENDENCYPART_ARC
(13,2),-0.597041 # DEPENDENCYPART_ARC
(13,3),0.0778424 # DEPENDENCYPART_ARC
(13,4),-0.247487 # DEPENDENCYPART_ARC
(13,5),0.58724 # DEPENDENCYPART_ARC
(13,6),0.0731933 # DEPENDENCYPART_ARC
(13,7),1.12464 # DEPENDENCYPART_ARC
(13,8),0.269001 # DEPENDENCYPART_ARC
(13,9),0.476628 # DEPENDENCYPART_ARC
(13,10),2.26625 # DEPENDENCYPART_ARC
(13,11),1.43886 # DEPENDENCYPART_ARC
(13,12),2.26916 # DEPENDENCYPART_ARC
(13,14),2.12358 # DEPENDENCYPART_ARC
(13,15),0.351176 # DEPENDENCYPART_ARC
(13,16),1.95813 # DEPENDENCYPART_ARC
(13,17),0.344881 # DEPENDENCYPART_ARC
(13,18),-0.307434 # DEPENDENCYPART_ARC
(14,1),-2.63833 # DEPENDENCYPART_ARC
(14,2),-4.5994 # DEPENDENCYPART_ARC
(14,3),-4.38147 # DEPENDENCYPART_ARC
(14,4),-4.42433 # DEPENDENCYPART_ARC
(14,5),-4.64095 # DEPENDENCYPART_ARC
(14,6),-1.27273 # DEPENDENCYPART_ARC
(14,7),-3.04235 # DEPENDENCYPART_ARC
(14,8),-3.59481 # DEPENDENCYPART_ARC
(14,9),-3.87878 # DEPENDENCYPART_ARC
(14,10),-2.01409 # DEPENDENCYPART_ARC
(14,11),-0.840538 # DEPENDENCYPART_ARC
(14,12),-1.21683 # DEPENDENCYPART_ARC
(14,13),0.159551 # DEPENDENCYPART_ARC
(14,15),-0.157547 # DEPENDENCYPART_ARC
(14,16),-2.04771 # DEPENDENCYPART_ARC
(14,17),-2.24062 # DEPENDENCYPART_ARC
(14,18),-0.926102 # DEPENDENCYPART_ARC
(15,1),-0.389666 # DEPENDENCYPART_ARC
(15,2),-0.354714 # DEPENDENCYPART_ARC
(15,3),0.00117506 # DEPENDENCYPART_ARC
(15,4),-0.0959184 # DEPENDENCYPART_ARC
(15,5),0.394559 # DEPENDENCYPART_ARC
(15,6),0.0727626 # DEPENDENCYPART_ARC
(15,7),1.14231 # DEPENDENCYPART_ARC
(15,8),0.468712 # DEPENDENCYPART_ARC
(15,9),0.536245 # DEPENDENCYPART_ARC
(15,10),3.24592 # DEPENDENCYPART_ARC
(15,11),2.2985 # DEPENDENCYPART_ARC
(15,12),3.40696 # DEPENDENCYPART_ARC
(15,13),2.60742 # DEPENDENCYPART_ARC
(15,14),4.79289 # DEPENDENCYPART_ARC
(15,16),6.93709 # DEPENDENCYPART_ARC
(15,17),1.33853 # DEPENDENCYPART_ARC
(15,18),0.237617 # DEPENDENCYPART_ARC
(16,1),-3.72217 # DEPENDENCYPART_ARC
(16,2),-5.61108 # DEPENDENCYPART_ARC
(16,3),-5.46906 # DEPENDENCYPART_ARC
(16,4),-5.72373 # DEPENDENCYPART_ARC
(16,5),-5.83512 # DEPENDENCYPART_ARC
(16,6),-2.67671 # DEPENDENCYPART_ARC
(16,7),-4.1072 # DEPENDENCYPART_ARC
(16,8),-4.79431 # DEPENDENCYPART_ARC
(16,9),-5.31206 # DEPENDENCYPART_ARC
(16,10),-3.7532 # DEPENDENCYPART_ARC
(16,11),-2.13184 # DEPENDENCYPART_ARC
(16,12),-3.14439 # DEPENDENCYPART_ARC
(16,13),-1.53843 # DEPENDENCYPART_ARC
(16,14),-2.24438 # DEPENDENCYPART_ARC
(16,15),-0.629731 # DEPENDENCYPART_ARC
(16,17),-0.938098 # DEPENDENCYPART_ARC
(16,18),-0.673785 # DEPENDENCYPART_ARC
(17,1),-3.31416 # DEPENDENCYPART_ARC
(17,2),-5.77504 # DEPENDENCYPART_ARC
(17,3),-5.63655 # DEPENDENCYPART_ARC
(17,4),-6.18612 # DEPENDENCYPART_ARC
(17,5),-3.57599 # DEPENDENCYPART_ARC
(17,6),0.0932628 # DEPENDENCYPART_ARC
(17,7),-4.94629 # DEPENDENCYPART_ARC
(17,8),-4.77892 # DEPENDENCYPART_ARC
(17,9),-1.53426 # DEPENDENCYPART_ARC
(17,10),1.21361 # DEPENDENCYPART_ARC
(17,11),1.01234 # DEPENDENCYPART_ARC
(17,12),1.24463 # DEPENDENCYPART_ARC
(17,13),1.31885 # DEPENDENCYPART_ARC
(17,14),1.23499 # DEPENDENCYPART_ARC
(17,15),2.73959 # DEPENDENCYPART_ARC
(17,16),4.56847 # DEPENDENCYPART_ARC
(17,18),0.233077 # DEPENDENCYPART_ARC
(18,1),-4.84806 # DEPENDENCYPART_ARC
(18,2),-5.1918 # DEPENDENCYPART_ARC
(18,3),-4.68881 # DEPENDENCYPART_ARC
(18,4),-4.63364 # DEPENDENCYPART_ARC
(18,5),-4.20204 # DEPENDENCYPART_ARC
(18,6),-4.11855 # DEPENDENCYPART_ARC
(18,7),-3.13688 # DEPENDENCYPART_ARC
(18,8),-3.47706 # DEPENDENCYPART_ARC
(18,9),-3.98854 # DEPENDENCYPART_ARC
(18,10),-2.93652 # DEPENDENCYPART_ARC
(18,11),-2.23371 # DEPENDENCYPART_ARC
(18,12),-3.10226 # DEPENDENCYPART_ARC
(18,13),-2.63155 # DEPENDENCYPART_ARC
(18,14),-2.85573 # DEPENDENCYPART_ARC
(18,15),-3.49567 # DEPENDENCYPART_ARC
(18,16),-2.81088 # DEPENDENCYPART_ARC
(18,17),-3.29488 # DEPENDENCYPART_ARC
