# _root_ Manažer si musí najít čas , kdy je zcela sám , kdy ho nikdo neruší při přemýšlení či analyzování situace podniku .
#goldHeads=3,4,0,3,4,11,8,11,10,8,5,15,15,15,11,15,18,16,18,19,20,0,
#predictedHeads=3,4,0,3,4,8,8,5,10,8,15,15,15,15,5,15,18,16,18,19,20,0,
(7,4),-0.353384 # DEPENDENCYPART_ARC
(7,5),-0.0487323 # DEPENDENCYPART_ARC
(7,6),-0.644932 # DEPENDENCYPART_ARC
(7,8),-0.331867 # DEPENDENCYPART_ARC
(7,9),-1.0254 # DEPENDENCYPART_ARC
(7,10),-1.35981 # DEPENDENCYPART_ARC
(7,11),-1.59528 # DEPENDENCYPART_ARC
(7,12),-1.51048 # DEPENDENCYPART_ARC
(7,13),-2.1161 # DEPENDENCYPART_ARC
(7,14),-2.05889 # DEPENDENCYPART_ARC
(7,15),-1.60355 # DEPENDENCYPART_ARC
(7,16),-1.9735 # DEPENDENCYPART_ARC
(7,17),-3.34189 # DEPENDENCYPART_ARC
(7,18),-2.0045 # DEPENDENCYPART_ARC
(7,19),-3.63807 # DEPENDENCYPART_ARC
(7,20),-3.8287 # DEPENDENCYPART_ARC
(7,21),-3.89669 # DEPENDENCYPART_ARC
(7,22),-3.11023 # DEPENDENCYPART_ARC
(8,1),2.27626 # DEPENDENCYPART_ARC
(8,2),1.78707 # DEPENDENCYPART_ARC
(8,3),-1.06495 # DEPENDENCYPART_ARC
(8,4),0.343728 # DEPENDENCYPART_ARC
(8,5),0.802184 # DEPENDENCYPART_ARC
(8,6),1.6359 # DEPENDENCYPART_ARC
(8,7),2.75605 # DEPENDENCYPART_ARC
(8,9),1.33273 # DEPENDENCYPART_ARC
(8,10),1.67522 # DEPENDENCYPART_ARC
(8,11),0.693941 # DEPENDENCYPART_ARC
(8,12),0.596743 # DEPENDENCYPART_ARC
(8,13),-0.194352 # DEPENDENCYPART_ARC
(8,14),-0.405008 # DEPENDENCYPART_ARC
(8,15),-0.617976 # DEPENDENCYPART_ARC
(8,16),0.370546 # DEPENDENCYPART_ARC
(8,17),-1.81802 # DEPENDENCYPART_ARC
(8,18),-0.575134 # DEPENDENCYPART_ARC
(8,19),-1.33327 # DEPENDENCYPART_ARC
(8,20),-1.92103 # DEPENDENCYPART_ARC
(8,21),-2.26084 # DEPENDENCYPART_ARC
(8,22),-0.0893193 # DEPENDENCYPART_ARC
(9,1),-2.21511 # DEPENDENCYPART_ARC
(9,2),-1.31566 # DEPENDENCYPART_ARC
(9,3),-1.10503 # DEPENDENCYPART_ARC
(9,4),-0.904705 # DEPENDENCYPART_ARC
(9,5),-0.989355 # DEPENDENCYPART_ARC
(9,6),-1.01982 # DEPENDENCYPART_ARC
(9,7),-0.62738 # DEPENDENCYPART_ARC
(9,8),-0.407125 # DEPENDENCYPART_ARC
(9,10),-0.0221805 # DEPENDENCYPART_ARC
(9,11),-0.782618 # DEPENDENCYPART_ARC
(9,12),-0.570974 # DEPENDENCYPART_ARC
(9,13),-1.43562 # DEPENDENCYPART_ARC
(9,14),-1.29588 # DEPENDENCYPART_ARC
(9,15),-0.625464 # DEPENDENCYPART_ARC
(9,16),-1.20576 # DEPENDENCYPART_ARC
(9,17),-2.14567 # DEPENDENCYPART_ARC
(9,18),-1.17337 # DEPENDENCYPART_ARC
(9,19),-2.9233 # DEPENDENCYPART_ARC
(9,20),-2.91549 # DEPENDENCYPART_ARC
(9,21),-2.9486 # DEPENDENCYPART_ARC
(9,22),-2.09116 # DEPENDENCYPART_ARC
(10,1),-2.28458 # DEPENDENCYPART_ARC
(10,2),-1.46103 # DEPENDENCYPART_ARC
(10,3),-1.47139 # DEPENDENCYPART_ARC
(10,4),-0.535484 # DEPENDENCYPART_ARC
(10,5),-1.90077 # DEPENDENCYPART_ARC
(10,6),0.0676621 # DEPENDENCYPART_ARC
(10,7),0.127603 # DEPENDENCYPART_ARC
(10,8),-0.390355 # DEPENDENCYPART_ARC
(10,9),1.7507 # DEPENDENCYPART_ARC
(10,11),-0.54949 # DEPENDENCYPART_ARC
(10,12),-0.339512 # DEPENDENCYPART_ARC
(10,13),-3.29221 # DEPENDENCYPART_ARC
(10,14),-1.50216 # DEPENDENCYPART_ARC
(10,15),0.588102 # DEPENDENCYPART_ARC
(10,16),-1.04767 # DEPENDENCYPART_ARC
(10,17),-1.89083 # DEPENDENCYPART_ARC
(10,18),-0.834758 # DEPENDENCYPART_ARC
(10,19),-1.8367 # DEPENDENCYPART_ARC
(10,20),-2.19355 # DEPENDENCYPART_ARC
(10,21),-2.02017 # DEPENDENCYPART_ARC
(10,22),-1.33742 # DEPENDENCYPART_ARC
(11,1),-2.2067 # DEPENDENCYPART_ARC
(11,2),-0.829748 # DEPENDENCYPART_ARC
(11,3),-0.701831 # DEPENDENCYPART_ARC
(11,4),-1.11281 # DEPENDENCYPART_ARC
(11,5),-1.09553 # DEPENDENCYPART_ARC
(11,6),-0.805077 # DEPENDENCYPART_ARC
(11,7),-1.07499 # DEPENDENCYPART_ARC
(11,8),-0.00806893 # DEPENDENCYPART_ARC
(11,9),-0.808708 # DEPENDENCYPART_ARC
(11,10),-0.281136 # DEPENDENCYPART_ARC
(11,12),-0.181199 # DEPENDENCYPART_ARC
(11,13),-0.210866 # DEPENDENCYPART_ARC
(11,14),-0.444613 # DEPENDENCYPART_ARC
(11,15),0.194002 # DEPENDENCYPART_ARC
(11,16),-0.752303 # DEPENDENCYPART_ARC
(11,17),-1.42632 # DEPENDENCYPART_ARC
(11,18),-0.447219 # DEPENDENCYPART_ARC
(11,19),-1.8101 # DEPENDENCYPART_ARC
(11,20),-1.97689 # DEPENDENCYPART_ARC
(11,21),-2.02264 # DEPENDENCYPART_ARC
(11,22),-0.994848 # DEPENDENCYPART_ARC
(12,1),-2.34538 # DEPENDENCYPART_ARC
(12,2),-1.22892 # DEPENDENCYPART_ARC
(12,3),-1.02805 # DEPENDENCYPART_ARC
(12,4),-0.84358 # DEPENDENCYPART_ARC
(12,5),-0.895902 # DEPENDENCYPART_ARC
(12,6),-1.78304 # DEPENDENCYPART_ARC
(12,7),-1.45901 # DEPENDENCYPART_ARC
(12,8),-0.731187 # DEPENDENCYPART_ARC
(12,9),0.0779802 # DEPENDENCYPART_ARC
(12,10),-0.225022 # DEPENDENCYPART_ARC
(12,11),-0.240391 # DEPENDENCYPART_ARC
(12,13),-0.418717 # DEPENDENCYPART_ARC
(12,14),-0.66525 # DEPENDENCYPART_ARC
(12,15),-0.500057 # DEPENDENCYPART_ARC
(12,16),-1.19318 # DEPENDENCYPART_ARC
(12,17),-1.80909 # DEPENDENCYPART_ARC
(12,18),-0.818349 # DEPENDENCYPART_ARC
(12,19),-2.60348 # DEPENDENCYPART_ARC
(12,20),-2.75425 # DEPENDENCYPART_ARC
(12,21),-2.82792 # DEPENDENCYPART_ARC
(12,22),-1.69025 # DEPENDENCYPART_ARC
(13,1),-3.2658 # DEPENDENCYPART_ARC
(13,2),-2.36108 # DEPENDENCYPART_ARC
(13,3),-2.10808 # DEPENDENCYPART_ARC
(13,4),-0.821973 # DEPENDENCYPART_ARC
(13,5),-0.82717 # DEPENDENCYPART_ARC
(13,6),-1.01417 # DEPENDENCYPART_ARC
(13,7),-1.03522 # DEPENDENCYPART_ARC
(13,8),-1.58915 # DEPENDENCYPART_ARC
(13,9),-0.441579 # DEPENDENCYPART_ARC
(13,10),-0.715838 # DEPENDENCYPART_ARC
(13,11),-0.0905084 # DEPENDENCYPART_ARC
(13,12),0.573558 # DEPENDENCYPART_ARC
(13,14),-0.229216 # DEPENDENCYPART_ARC
(13,15),-2.96822 # DEPENDENCYPART_ARC
(13,16),-1.84203 # DEPENDENCYPART_ARC
(13,17),-0.621969 # DEPENDENCYPART_ARC
(13,18),-1.53902 # DEPENDENCYPART_ARC
(13,19),-0.609441 # DEPENDENCYPART_ARC
(13,20),-1.55413 # DEPENDENCYPART_ARC
(13,21),-1.29104 # DEPENDENCYPART_ARC
(13,22),-1.57842 # DEPENDENCYPART_ARC
(14,1),-2.43636 # DEPENDENCYPART_ARC
(14,2),-2.13089 # DEPENDENCYPART_ARC
(14,3),-2.31541 # DEPENDENCYPART_ARC
(14,4),-1.39242 # DEPENDENCYPART_ARC
(14,5),-2.39267 # DEPENDENCYPART_ARC
(14,6),-1.1409 # DEPENDENCYPART_ARC
(14,7),-0.99194 # DEPENDENCYPART_ARC
(14,8),-1.86311 # DEPENDENCYPART_ARC
(14,9),-0.554789 # DEPENDENCYPART_ARC
(14,10),-0.838178 # DEPENDENCYPART_ARC
(14,11),-0.483773 # DEPENDENCYPART_ARC
(14,12),0.20031 # DEPENDENCYPART_ARC
(14,13),0.112912 # DEPENDENCYPART_ARC
(14,15),-0.554271 # DEPENDENCYPART_ARC
(14,16),0.225881 # DEPENDENCYPART_ARC
(14,17),-0.690027 # DEPENDENCYPART_ARC
(14,18),-0.552062 # DEPENDENCYPART_ARC
(14,19),-0.597065 # DEPENDENCYPART_ARC
(14,20),-0.940452 # DEPENDENCYPART_ARC
(14,21),-0.921115 # DEPENDENCYPART_ARC
(14,22),-0.608063 # DEPENDENCYPART_ARC
(15,1),0.781119 # DEPENDENCYPART_ARC
(15,2),0.241995 # DEPENDENCYPART_ARC
(15,3),-2.86959 # DEPENDENCYPART_ARC
(15,4),-0.254244 # DEPENDENCYPART_ARC
(15,5),-1.45714 # DEPENDENCYPART_ARC
(15,6),0.891362 # DEPENDENCYPART_ARC
(15,7),1.06576 # DEPENDENCYPART_ARC
(15,8),-1.34265 # DEPENDENCYPART_ARC
(15,9),0.357045 # DEPENDENCYPART_ARC
(15,10),-0.0332722 # DEPENDENCYPART_ARC
(15,11),1.90049 # DEPENDENCYPART_ARC
(15,12),2.47529 # DEPENDENCYPART_ARC
(15,13),3.01779 # DEPENDENCYPART_ARC
(15,14),3.1597 # DEPENDENCYPART_ARC
(15,16),2.41944 # DEPENDENCYPART_ARC
(15,17),-0.00410979 # DEPENDENCYPART_ARC
(15,18),0.45876 # DEPENDENCYPART_ARC
(15,19),-0.273975 # DEPENDENCYPART_ARC
(15,20),0.152421 # DEPENDENCYPART_ARC
(15,21),-0.328452 # DEPENDENCYPART_ARC
(15,22),-0.420113 # DEPENDENCYPART_ARC
(16,1),-4.76385 # DEPENDENCYPART_ARC
(16,2),-2.64666 # DEPENDENCYPART_ARC
(16,3),-3.5018 # DEPENDENCYPART_ARC
(16,4),-2.88556 # DEPENDENCYPART_ARC
(16,5),-3.48121 # DEPENDENCYPART_ARC
(16,6),-1.09485 # DEPENDENCYPART_ARC
(16,7),-2.38607 # DEPENDENCYPART_ARC
(16,8),-3.16113 # DEPENDENCYPART_ARC
(16,9),-2.22432 # DEPENDENCYPART_ARC
(16,10),-2.32823 # DEPENDENCYPART_ARC
(16,11),-0.529483 # DEPENDENCYPART_ARC
(16,12),-1.79919 # DEPENDENCYPART_ARC
(16,13),-1.19412 # DEPENDENCYPART_ARC
(16,14),-1.09004 # DEPENDENCYPART_ARC
(16,15),-1.40246 # DEPENDENCYPART_ARC
(16,17),4.50876 # DEPENDENCYPART_ARC
(16,18),2.0297 # DEPENDENCYPART_ARC
(16,19),0.809768 # DEPENDENCYPART_ARC
(16,20),-2.95573 # DEPENDENCYPART_ARC
(16,21),-4.35404 # DEPENDENCYPART_ARC
(16,22),-0.787675 # DEPENDENCYPART_ARC
(17,1),-6.7757 # DEPENDENCYPART_ARC
(17,2),-7.49221 # DEPENDENCYPART_ARC
(17,3),-4.43086 # DEPENDENCYPART_ARC
(17,4),-3.59513 # DEPENDENCYPART_ARC
(17,5),-6.77844 # DEPENDENCYPART_ARC
(17,6),-3.20115 # DEPENDENCYPART_ARC
(17,7),-4.04432 # DEPENDENCYPART_ARC
(17,8),-3.89783 # DEPENDENCYPART_ARC
(17,9),-3.28815 # DEPENDENCYPART_ARC
(17,10),-3.36131 # DEPENDENCYPART_ARC
(17,11),-2.66611 # DEPENDENCYPART_ARC
(17,12),-2.62774 # DEPENDENCYPART_ARC
(17,13),-3.7068 # DEPENDENCYPART_ARC
(17,14),-4.83407 # DEPENDENCYPART_ARC
(17,15),-3.40854 # DEPENDENCYPART_ARC
(17,16),-0.817048 # DEPENDENCYPART_ARC
(17,18),0.0859866 # DEPENDENCYPART_ARC
(17,19),-0.317576 # DEPENDENCYPART_ARC
(17,20),0.171051 # DEPENDENCYPART_ARC
(17,21),0.0037658 # DEPENDENCYPART_ARC
(17,22),-2.48651 # DEPENDENCYPART_ARC
(18,1),-3.51859 # DEPENDENCYPART_ARC
(18,2),-1.6296 # DEPENDENCYPART_ARC
(18,3),-2.01952 # DEPENDENCYPART_ARC
(18,4),-1.59799 # DEPENDENCYPART_ARC
(18,5),-0.499275 # DEPENDENCYPART_ARC
(18,6),-2.73401 # DEPENDENCYPART_ARC
(18,7),0.606976 # DEPENDENCYPART_ARC
(18,8),-0.70105 # DEPENDENCYPART_ARC
(18,9),0.599144 # DEPENDENCYPART_ARC
(18,10),0.154819 # DEPENDENCYPART_ARC
(18,11),-0.384726 # DEPENDENCYPART_ARC
(18,12),1.26178 # DEPENDENCYPART_ARC
(18,13),0.77703 # DEPENDENCYPART_ARC
(18,14),1.21181 # DEPENDENCYPART_ARC
(18,15),0.707855 # DEPENDENCYPART_ARC
(18,16),0.949027 # DEPENDENCYPART_ARC
(18,17),5.73126 # DEPENDENCYPART_ARC
(18,19),3.78998 # DEPENDENCYPART_ARC
(18,20),2.33332 # DEPENDENCYPART_ARC
(18,21),1.85371 # DEPENDENCYPART_ARC
(18,22),-0.051045 # DEPENDENCYPART_ARC
(19,1),-7.21997 # DEPENDENCYPART_ARC
(19,2),-7.38579 # DEPENDENCYPART_ARC
(19,3),-3.98452 # DEPENDENCYPART_ARC
(19,4),-3.03025 # DEPENDENCYPART_ARC
(19,5),-6.95817 # DEPENDENCYPART_ARC
(19,6),-2.31153 # DEPENDENCYPART_ARC
(19,7),-3.59407 # DEPENDENCYPART_ARC
(19,8),-3.45343 # DEPENDENCYPART_ARC
(19,9),-2.63557 # DEPENDENCYPART_ARC
(19,10),-3.09653 # DEPENDENCYPART_ARC
(19,11),-1.66028 # DEPENDENCYPART_ARC
(19,12),-2.41282 # DEPENDENCYPART_ARC
(19,13),-3.87628 # DEPENDENCYPART_ARC
(19,14),-4.89468 # DEPENDENCYPART_ARC
(19,15),-3.47709 # DEPENDENCYPART_ARC
(19,16),-1.17141 # DEPENDENCYPART_ARC
(19,17),-0.812979 # DEPENDENCYPART_ARC
(19,18),-0.018724 # DEPENDENCYPART_ARC
(19,20),2.36716 # DEPENDENCYPART_ARC
(19,21),1.78463 # DEPENDENCYPART_ARC
(19,22),-1.04909 # DEPENDENCYPART_ARC
(20,1),-6.76493 # DEPENDENCYPART_ARC
(20,2),-7.17034 # DEPENDENCYPART_ARC
(20,3),-3.04583 # DEPENDENCYPART_ARC
(20,4),-2.12024 # DEPENDENCYPART_ARC
(20,5),-6.87775 # DEPENDENCYPART_ARC
(20,6),-1.57018 # DEPENDENCYPART_ARC
(20,7),-3.17172 # DEPENDENCYPART_ARC
(20,8),-2.45999 # DEPENDENCYPART_ARC
(20,9),-2.27276 # DEPENDENCYPART_ARC
(20,10),-3.53195 # DEPENDENCYPART_ARC
(20,11),-1.05016 # DEPENDENCYPART_ARC
(20,12),-2.02199 # DEPENDENCYPART_ARC
(20,13),-4.36282 # DEPENDENCYPART_ARC
(20,14),-4.99572 # DEPENDENCYPART_ARC
(20,15),-2.52152 # DEPENDENCYPART_ARC
(20,16),-0.889225 # DEPENDENCYPART_ARC
(20,17),-4.54894 # DEPENDENCYPART_ARC
(20,18),0.217548 # DEPENDENCYPART_ARC
(20,19),-2.06691 # DEPENDENCYPART_ARC
(20,21),4.32818 # DEPENDENCYPART_ARC
(20,22),0.26617 # DEPENDENCYPART_ARC
(21,1),-5.88807 # DEPENDENCYPART_ARC
(21,2),-6.51917 # DEPENDENCYPART_ARC
(21,3),-2.53132 # DEPENDENCYPART_ARC
(21,4),-1.73604 # DEPENDENCYPART_ARC
(21,5),-6.27191 # DEPENDENCYPART_ARC
(21,6),-1.15329 # DEPENDENCYPART_ARC
(21,7),-2.87583 # DEPENDENCYPART_ARC
(21,8),-1.92992 # DEPENDENCYPART_ARC
(21,9),-2.09831 # DEPENDENCYPART_ARC
(21,10),-2.24816 # DEPENDENCYPART_ARC
(21,11),-0.766785 # DEPENDENCYPART_ARC
(21,12),-1.84316 # DEPENDENCYPART_ARC
(21,13),-2.87649 # DEPENDENCYPART_ARC
(21,14),-4.33292 # DEPENDENCYPART_ARC
(21,15),-2.24959 # DEPENDENCYPART_ARC
(21,16),-0.182833 # DEPENDENCYPART_ARC
(21,17),-4.08548 # DEPENDENCYPART_ARC
(21,18),0.412194 # DEPENDENCYPART_ARC
(21,19),-1.86482 # DEPENDENCYPART_ARC
(21,20),1.27555 # DEPENDENCYPART_ARC
(21,22),-0.252986 # DEPENDENCYPART_ARC
(22,1),-7.66995 # DEPENDENCYPART_ARC
(22,2),-4.60946 # DEPENDENCYPART_ARC
(22,3),-4.25247 # DEPENDENCYPART_ARC
(22,4),-5.15449 # DEPENDENCYPART_ARC
(22,5),-5.4775 # DEPENDENCYPART_ARC
(22,6),-5.35702 # DEPENDENCYPART_ARC
(22,7),-4.60317 # DEPENDENCYPART_ARC
(22,8),-4.72793 # DEPENDENCYPART_ARC
(22,9),-4.42308 # DEPENDENCYPART_ARC
(22,10),-4.28195 # DEPENDENCYPART_ARC
(22,11),-4.70416 # DEPENDENCYPART_ARC
(22,12),-4.18225 # DEPENDENCYPART_ARC
(22,13),-3.95339 # DEPENDENCYPART_ARC
(22,14),-3.84499 # DEPENDENCYPART_ARC
(22,15),-3.90719 # DEPENDENCYPART_ARC
(22,16),-3.80079 # DEPENDENCYPART_ARC
(22,17),-3.00179 # DEPENDENCYPART_ARC
(22,18),-4.10949 # DEPENDENCYPART_ARC
(22,19),-3.22401 # DEPENDENCYPART_ARC
(22,20),-3.41407 # DEPENDENCYPART_ARC
(22,21),-3.14378 # DEPENDENCYPART_ARC
