# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,10,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
(1,8),-1.96493 # DEPENDENCYPART_ARC
(1,9),-5.1796 # DEPENDENCYPART_ARC
(1,10),-0.931842 # DEPENDENCYPART_ARC
(1,11),-2.07368 # DEPENDENCYPART_ARC
(1,12),-6.57298 # DEPENDENCYPART_ARC
(1,13),-2.3959 # DEPENDENCYPART_ARC
(1,14),-7.91715 # DEPENDENCYPART_ARC
(1,15),-1.17462 # DEPENDENCYPART_ARC
(1,16),-2.21418 # DEPENDENCYPART_ARC
(1,17),-4.22081 # DEPENDENCYPART_ARC
(1,18),-12.7203 # DEPENDENCYPART_ARC
(1,19),-3.0753 # DEPENDENCYPART_ARC
(1,20),-14.4996 # DEPENDENCYPART_ARC
(1,21),-5.18945 # DEPENDENCYPART_ARC
(1,22),-2.62068 # DEPENDENCYPART_ARC
(1,23),-5.5275 # DEPENDENCYPART_ARC
(1,24),-4.41654 # DEPENDENCYPART_ARC
(1,25),-5.12874 # DEPENDENCYPART_ARC
(1,26),-5.53277 # DEPENDENCYPART_ARC
(1,27),-16.7235 # DEPENDENCYPART_ARC
(1,28),-5.21591 # DEPENDENCYPART_ARC
(2,1),0.480733 # DEPENDENCYPART_ARC
(2,3),1.24443 # DEPENDENCYPART_ARC
(2,4),-1.42655 # DEPENDENCYPART_ARC
(2,5),-2.04132 # DEPENDENCYPART_ARC
(2,6),-0.0996429 # DEPENDENCYPART_ARC
(2,7),-1.76456 # DEPENDENCYPART_ARC
(2,8),-0.909659 # DEPENDENCYPART_ARC
(2,9),-2.49448 # DEPENDENCYPART_ARC
(2,10),-0.887689 # DEPENDENCYPART_ARC
(2,11),-1.86029 # DEPENDENCYPART_ARC
(2,12),-3.29554 # DEPENDENCYPART_ARC
(2,13),-1.86793 # DEPENDENCYPART_ARC
(2,14),-3.52326 # DEPENDENCYPART_ARC
(2,15),-1.43921 # DEPENDENCYPART_ARC
(2,16),-2.86389 # DEPENDENCYPART_ARC
(2,17),-2.9124 # DEPENDENCYPART_ARC
(2,18),-4.88895 # DEPENDENCYPART_ARC
(2,19),-0.673295 # DEPENDENCYPART_ARC
(2,20),-6.2256 # DEPENDENCYPART_ARC
(2,21),-1.45406 # DEPENDENCYPART_ARC
(2,22),-4.85152 # DEPENDENCYPART_ARC
(2,23),-3.12802 # DEPENDENCYPART_ARC
(2,24),-2.773 # DEPENDENCYPART_ARC
(2,25),-7.33232 # DEPENDENCYPART_ARC
(2,26),-6.78036 # DEPENDENCYPART_ARC
(2,27),-7.72868 # DEPENDENCYPART_ARC
(2,28),-10.4706 # DEPENDENCYPART_ARC
(3,1),-0.778479 # DEPENDENCYPART_ARC
(3,2),-1.70045 # DEPENDENCYPART_ARC
(3,4),-2.73777 # DEPENDENCYPART_ARC
(3,5),-1.85373 # DEPENDENCYPART_ARC
(3,6),-1.87858 # DEPENDENCYPART_ARC
(3,7),-1.73652 # DEPENDENCYPART_ARC
(3,8),-2.53524 # DEPENDENCYPART_ARC
(3,9),-2.10886 # DEPENDENCYPART_ARC
(3,10),-2.03796 # DEPENDENCYPART_ARC
(3,11),-2.50343 # DEPENDENCYPART_ARC
(3,12),-2.15839 # DEPENDENCYPART_ARC
(3,13),-2.82802 # DEPENDENCYPART_ARC
(3,14),-2.12201 # DEPENDENCYPART_ARC
(3,15),-2.49216 # DEPENDENCYPART_ARC
(3,16),-6.69987 # DEPENDENCYPART_ARC
(3,17),-3.7293 # DEPENDENCYPART_ARC
(3,18),-2.96723 # DEPENDENCYPART_ARC
(3,19),-2.84337 # DEPENDENCYPART_ARC
(3,20),-2.58903 # DEPENDENCYPART_ARC
(3,21),-2.66449 # DEPENDENCYPART_ARC
(3,22),-8.58427 # DEPENDENCYPART_ARC
(3,23),-4.08681 # DEPENDENCYPART_ARC
(3,24),-4.31254 # DEPENDENCYPART_ARC
(3,25),-5.1485 # DEPENDENCYPART_ARC
(3,26),-5.38234 # DEPENDENCYPART_ARC
(3,27),-2.91666 # DEPENDENCYPART_ARC
(3,28),-3.62642 # DEPENDENCYPART_ARC
(4,1),2.71304 # DEPENDENCYPART_ARC
(4,2),1.16143 # DEPENDENCYPART_ARC
(4,3),4.36548 # DEPENDENCYPART_ARC
(4,5),3.96026 # DEPENDENCYPART_ARC
(4,6),1.19647 # DEPENDENCYPART_ARC
(4,7),0.286234 # DEPENDENCYPART_ARC
(4,8),1.01652 # DEPENDENCYPART_ARC
(4,9),-1.01871 # DEPENDENCYPART_ARC
(4,10),0.539769 # DEPENDENCYPART_ARC
(4,11),-0.714193 # DEPENDENCYPART_ARC
(4,12),-1.93519 # DEPENDENCYPART_ARC
(4,13),0.224274 # DEPENDENCYPART_ARC
(4,14),-2.50321 # DEPENDENCYPART_ARC
(4,15),1.02021 # DEPENDENCYPART_ARC
(4,16),-2.86033 # DEPENDENCYPART_ARC
(4,17),-1.12651 # DEPENDENCYPART_ARC
(4,18),-2.22223 # DEPENDENCYPART_ARC
(4,19),-0.0117875 # DEPENDENCYPART_ARC
(4,20),-3.09421 # DEPENDENCYPART_ARC
(4,21),-0.711502 # DEPENDENCYPART_ARC
(4,22),-4.87756 # DEPENDENCYPART_ARC
(4,23),-3.06665 # DEPENDENCYPART_ARC
(4,24),-0.947296 # DEPENDENCYPART_ARC
(4,25),-4.31576 # DEPENDENCYPART_ARC
(4,26),-4.50644 # DEPENDENCYPART_ARC
(4,27),-4.18268 # DEPENDENCYPART_ARC
(4,28),-1.47369 # DEPENDENCYPART_ARC
(5,1),-0.439201 # DEPENDENCYPART_ARC
(5,2),-3.4626 # DEPENDENCYPART_ARC
(5,3),-2.15924 # DEPENDENCYPART_ARC
(5,4),-0.950405 # DEPENDENCYPART_ARC
(5,6),2.89628 # DEPENDENCYPART_ARC
(5,7),0.366231 # DEPENDENCYPART_ARC
(5,8),1.0911 # DEPENDENCYPART_ARC
(5,9),-1.19347 # DEPENDENCYPART_ARC
(5,10),0.25332 # DEPENDENCYPART_ARC
(5,11),0.330063 # DEPENDENCYPART_ARC
(5,12),-2.46745 # DEPENDENCYPART_ARC
(5,13),0.512279 # DEPENDENCYPART_ARC
(5,14),-2.94206 # DEPENDENCYPART_ARC
(5,15),-0.40679 # DEPENDENCYPART_ARC
(5,16),-1.35725 # DEPENDENCYPART_ARC
(5,17),-3.45959 # DEPENDENCYPART_ARC
(5,18),-3.67058 # DEPENDENCYPART_ARC
(5,19),-0.400786 # DEPENDENCYPART_ARC
(5,20),-4.42635 # DEPENDENCYPART_ARC
(5,21),-0.657897 # DEPENDENCYPART_ARC
(5,22),-2.69558 # DEPENDENCYPART_ARC
(5,23),-3.82682 # DEPENDENCYPART_ARC
(5,24),-1.50868 # DEPENDENCYPART_ARC
(5,25),-4.24327 # DEPENDENCYPART_ARC
(5,26),-4.12173 # DEPENDENCYPART_ARC
(5,27),-6.43898 # DEPENDENCYPART_ARC
(5,28),-9.17814 # DEPENDENCYPART_ARC
(6,1),-2.50517 # DEPENDENCYPART_ARC
(6,2),-2.08226 # DEPENDENCYPART_ARC
(6,3),-1.6284 # DEPENDENCYPART_ARC
(6,4),-1.97175 # DEPENDENCYPART_ARC
(6,5),-2.53121 # DEPENDENCYPART_ARC
(6,7),4.29927 # DEPENDENCYPART_ARC
(6,8),-0.877071 # DEPENDENCYPART_ARC
(6,9),1.23104 # DEPENDENCYPART_ARC
(6,10),-0.181347 # DEPENDENCYPART_ARC
(6,11),-1.62984 # DEPENDENCYPART_ARC
(6,12),-1.04183 # DEPENDENCYPART_ARC
(6,13),-2.14039 # DEPENDENCYPART_ARC
(6,14),-2.44771 # DEPENDENCYPART_ARC
(6,15),-0.301763 # DEPENDENCYPART_ARC
(6,16),-2.05025 # DEPENDENCYPART_ARC
(6,17),-3.62104 # DEPENDENCYPART_ARC
(6,18),-8.15978 # DEPENDENCYPART_ARC
(6,19),0.264941 # DEPENDENCYPART_ARC
(6,20),-10.0784 # DEPENDENCYPART_ARC
(6,21),-1.93221 # DEPENDENCYPART_ARC
(6,22),-2.66413 # DEPENDENCYPART_ARC
(6,23),-5.12175 # DEPENDENCYPART_ARC
(6,24),-3.08991 # DEPENDENCYPART_ARC
(6,25),-5.66059 # DEPENDENCYPART_ARC
(6,26),-5.97385 # DEPENDENCYPART_ARC
(6,27),-11.8119 # DEPENDENCYPART_ARC
(6,28),-3.55959 # DEPENDENCYPART_ARC
(7,1),-1.44766 # DEPENDENCYPART_ARC
(7,2),-2.63278 # DEPENDENCYPART_ARC
(7,3),-3.33907 # DEPENDENCYPART_ARC
(7,4),-1.9718 # DEPENDENCYPART_ARC
(7,5),-1.60125 # DEPENDENCYPART_ARC
(7,6),-0.0801943 # DEPENDENCYPART_ARC
(7,8),1.78951 # DEPENDENCYPART_ARC
(7,9),-0.208477 # DEPENDENCYPART_ARC
(7,10),-0.0140693 # DEPENDENCYPART_ARC
(7,11),0.00662489 # DEPENDENCYPART_ARC
(7,12),-1.85363 # DEPENDENCYPART_ARC
(7,13),0.0234373 # DEPENDENCYPART_ARC
(7,14),-2.8142 # DEPENDENCYPART_ARC
(7,15),-0.819402 # DEPENDENCYPART_ARC
(7,16),-1.31114 # DEPENDENCYPART_ARC
(7,17),-3.79484 # DEPENDENCYPART_ARC
(7,18),-4.59605 # DEPENDENCYPART_ARC
(7,19),-0.493904 # DEPENDENCYPART_ARC
(7,20),-5.44647 # DEPENDENCYPART_ARC
(7,21),-0.909702 # DEPENDENCYPART_ARC
(7,22),-2.23607 # DEPENDENCYPART_ARC
(7,23),-4.1277 # DEPENDENCYPART_ARC
(7,24),-1.98476 # DEPENDENCYPART_ARC
(7,25),-6.19043 # DEPENDENCYPART_ARC
(7,26),-6.53454 # DEPENDENCYPART_ARC
(7,27),-7.69631 # DEPENDENCYPART_ARC
(7,28),-8.15374 # DEPENDENCYPART_ARC
(8,1),-2.56246 # DEPENDENCYPART_ARC
(8,2),-1.92591 # DEPENDENCYPART_ARC
(8,3),-1.40321 # DEPENDENCYPART_ARC
(8,4),-2.03408 # DEPENDENCYPART_ARC
(8,5),-2.90937 # DEPENDENCYPART_ARC
(8,6),-0.297553 # DEPENDENCYPART_ARC
(8,7),1.30123 # DEPENDENCYPART_ARC
(8,9),4.23184 # DEPENDENCYPART_ARC
(8,10),-0.134552 # DEPENDENCYPART_ARC
(8,11),-1.3505 # DEPENDENCYPART_ARC
(8,12),0.551759 # DEPENDENCYPART_ARC
(8,13),-1.78996 # DEPENDENCYPART_ARC
(8,14),-1.58675 # DEPENDENCYPART_ARC
(8,15),-0.655874 # DEPENDENCYPART_ARC
(8,16),-1.75648 # DEPENDENCYPART_ARC
(8,17),-3.21086 # DEPENDENCYPART_ARC
(8,18),-7.77211 # DEPENDENCYPART_ARC
(8,19),-0.800462 # DEPENDENCYPART_ARC
(8,20),-9.72636 # DEPENDENCYPART_ARC
(8,21),-3.22147 # DEPENDENCYPART_ARC
(8,22),-2.29254 # DEPENDENCYPART_ARC
(8,23),-4.63051 # DEPENDENCYPART_ARC
(8,24),-2.9378 # DEPENDENCYPART_ARC
(8,25),-5.03617 # DEPENDENCYPART_ARC
(8,26),-5.27279 # DEPENDENCYPART_ARC
(8,27),-11.7002 # DEPENDENCYPART_ARC
(8,28),-3.93817 # DEPENDENCYPART_ARC
(9,1),-1.88515 # DEPENDENCYPART_ARC
(9,2),-3.01655 # DEPENDENCYPART_ARC
(9,3),-3.95315 # DEPENDENCYPART_ARC
(9,4),-2.72924 # DEPENDENCYPART_ARC
(9,5),-4.47475 # DEPENDENCYPART_ARC
(9,6),-0.627378 # DEPENDENCYPART_ARC
(9,7),-1.62473 # DEPENDENCYPART_ARC
(9,8),0.549792 # DEPENDENCYPART_ARC
(9,10),-0.314897 # DEPENDENCYPART_ARC
(9,11),0.403145 # DEPENDENCYPART_ARC
(9,12),-0.803833 # DEPENDENCYPART_ARC
(9,13),0.383404 # DEPENDENCYPART_ARC
(9,14),-1.18426 # DEPENDENCYPART_ARC
(9,15),-0.391942 # DEPENDENCYPART_ARC
(9,16),-0.311746 # DEPENDENCYPART_ARC
(9,17),-1.80853 # DEPENDENCYPART_ARC
(9,18),-3.72218 # DEPENDENCYPART_ARC
(9,19),-0.177209 # DEPENDENCYPART_ARC
(9,20),-4.38248 # DEPENDENCYPART_ARC
(9,21),-0.197826 # DEPENDENCYPART_ARC
(9,22),-2.2248 # DEPENDENCYPART_ARC
(9,23),-2.09186 # DEPENDENCYPART_ARC
(9,24),-1.73132 # DEPENDENCYPART_ARC
(9,25),-5.09226 # DEPENDENCYPART_ARC
(9,26),-5.28503 # DEPENDENCYPART_ARC
(9,27),-5.86611 # DEPENDENCYPART_ARC
(9,28),-6.97729 # DEPENDENCYPART_ARC
(10,1),0.465472 # DEPENDENCYPART_ARC
(10,2),0.241932 # DEPENDENCYPART_ARC
(10,3),-0.301399 # DEPENDENCYPART_ARC
(10,4),1.03144 # DEPENDENCYPART_ARC
(10,5),0.881984 # DEPENDENCYPART_ARC
(10,6),1.34814 # DEPENDENCYPART_ARC
(10,7),1.25108 # DEPENDENCYPART_ARC
(10,8),1.00426 # DEPENDENCYPART_ARC
(10,9),0.878461 # DEPENDENCYPART_ARC
(10,11),1.08049 # DEPENDENCYPART_ARC
(10,12),0.640151 # DEPENDENCYPART_ARC
(10,13),0.610436 # DEPENDENCYPART_ARC
(10,14),0.232427 # DEPENDENCYPART_ARC
(10,15),0.337024 # DEPENDENCYPART_ARC
(10,16),0.465914 # DEPENDENCYPART_ARC
(10,17),-0.865806 # DEPENDENCYPART_ARC
(10,18),-1.10864 # DEPENDENCYPART_ARC
(10,19),-0.223975 # DEPENDENCYPART_ARC
(10,20),-1.50137 # DEPENDENCYPART_ARC
(10,21),-0.423588 # DEPENDENCYPART_ARC
(10,22),-0.992479 # DEPENDENCYPART_ARC
(10,23),-1.60883 # DEPENDENCYPART_ARC
(10,24),-1.6048 # DEPENDENCYPART_ARC
(10,25),-1.98312 # DEPENDENCYPART_ARC
(10,26),-1.80695 # DEPENDENCYPART_ARC
(10,27),-2.67119 # DEPENDENCYPART_ARC
(10,28),-0.880747 # DEPENDENCYPART_ARC
(11,1),-3.98668 # DEPENDENCYPART_ARC
(11,2),-3.36126 # DEPENDENCYPART_ARC
(11,3),-2.39986 # DEPENDENCYPART_ARC
(11,4),-3.28775 # DEPENDENCYPART_ARC
(11,5),-4.37849 # DEPENDENCYPART_ARC
(11,6),-2.64326 # DEPENDENCYPART_ARC
(11,7),-2.00427 # DEPENDENCYPART_ARC
(11,8),-1.49142 # DEPENDENCYPART_ARC
(11,9),-0.667143 # DEPENDENCYPART_ARC
(11,10),0.146373 # DEPENDENCYPART_ARC
(11,12),3.75758 # DEPENDENCYPART_ARC
(11,13),-0.879566 # DEPENDENCYPART_ARC
(11,14),0.54165 # DEPENDENCYPART_ARC
(11,15),0.889195 # DEPENDENCYPART_ARC
(11,16),-1.24067 # DEPENDENCYPART_ARC
(11,17),-1.94385 # DEPENDENCYPART_ARC
(11,18),-5.83165 # DEPENDENCYPART_ARC
(11,19),0.75781 # DEPENDENCYPART_ARC
(11,20),-7.57508 # DEPENDENCYPART_ARC
(11,21),-1.24883 # DEPENDENCYPART_ARC
(11,22),-2.07654 # DEPENDENCYPART_ARC
(11,23),-3.53121 # DEPENDENCYPART_ARC
(11,24),-2.21799 # DEPENDENCYPART_ARC
(11,25),-5.0416 # DEPENDENCYPART_ARC
(11,26),-5.23858 # DEPENDENCYPART_ARC
(11,27),-9.56314 # DEPENDENCYPART_ARC
(11,28),-2.44931 # DEPENDENCYPART_ARC
(12,1),-2.62315 # DEPENDENCYPART_ARC
(12,2),-3.46299 # DEPENDENCYPART_ARC
(12,3),-4.88957 # DEPENDENCYPART_ARC
(12,4),-2.99048 # DEPENDENCYPART_ARC
(12,5),-5.32329 # DEPENDENCYPART_ARC
(12,6),-1.50077 # DEPENDENCYPART_ARC
(12,7),-3.91453 # DEPENDENCYPART_ARC
(12,8),-1.03982 # DEPENDENCYPART_ARC
(12,9),-1.40928 # DEPENDENCYPART_ARC
(12,10),-0.528808 # DEPENDENCYPART_ARC
(12,11),-0.0704098 # DEPENDENCYPART_ARC
(12,13),2.97177 # DEPENDENCYPART_ARC
(12,14),0.250479 # DEPENDENCYPART_ARC
(12,15),0.0987069 # DEPENDENCYPART_ARC
(12,16),-0.431584 # DEPENDENCYPART_ARC
(12,17),-1.26213 # DEPENDENCYPART_ARC
(12,18),-2.41545 # DEPENDENCYPART_ARC
(12,19),0.494281 # DEPENDENCYPART_ARC
(12,20),-3.31559 # DEPENDENCYPART_ARC
(12,21),0.073876 # DEPENDENCYPART_ARC
(12,22),-2.43493 # DEPENDENCYPART_ARC
(12,23),-1.90812 # DEPENDENCYPART_ARC
(12,24),-1.31991 # DEPENDENCYPART_ARC
(12,25),-5.18746 # DEPENDENCYPART_ARC
(12,26),-5.12921 # DEPENDENCYPART_ARC
(12,27),-5.2945 # DEPENDENCYPART_ARC
(12,28),-5.05352 # DEPENDENCYPART_ARC
(13,1),-2.4894 # DEPENDENCYPART_ARC
(13,2),-1.92038 # DEPENDENCYPART_ARC
(13,3),-1.78918 # DEPENDENCYPART_ARC
(13,4),-2.39141 # DEPENDENCYPART_ARC
(13,5),-3.30288 # DEPENDENCYPART_ARC
(13,6),-1.79165 # DEPENDENCYPART_ARC
(13,7),-0.571538 # DEPENDENCYPART_ARC
(13,8),-0.528352 # DEPENDENCYPART_ARC
(13,9),0.230763 # DEPENDENCYPART_ARC
(13,10),0.176178 # DEPENDENCYPART_ARC
(13,11),0.310397 # DEPENDENCYPART_ARC
(13,12),2.45615 # DEPENDENCYPART_ARC
(13,14),4.21898 # DEPENDENCYPART_ARC
(13,15),-0.284284 # DEPENDENCYPART_ARC
(13,16),-1.03631 # DEPENDENCYPART_ARC
(13,17),-1.6553 # DEPENDENCYPART_ARC
(13,18),-3.55762 # DEPENDENCYPART_ARC
(13,19),0.012256 # DEPENDENCYPART_ARC
(13,20),-5.98098 # DEPENDENCYPART_ARC
(13,21),-2.36151 # DEPENDENCYPART_ARC
(13,22),-1.9418 # DEPENDENCYPART_ARC
(13,23),-3.58698 # DEPENDENCYPART_ARC
(13,24),-2.65967 # DEPENDENCYPART_ARC
(13,25),-4.72608 # DEPENDENCYPART_ARC
(13,26),-4.91436 # DEPENDENCYPART_ARC
(13,27),-7.99614 # DEPENDENCYPART_ARC
(13,28),-2.737 # DEPENDENCYPART_ARC
(14,1),-2.42157 # DEPENDENCYPART_ARC
(14,2),-4.38006 # DEPENDENCYPART_ARC
(14,3),-5.28697 # DEPENDENCYPART_ARC
(14,4),-3.16997 # DEPENDENCYPART_ARC
(14,5),-5.68546 # DEPENDENCYPART_ARC
(14,6),-1.2858 # DEPENDENCYPART_ARC
(14,7),-4.36563 # DEPENDENCYPART_ARC
(14,8),-1.4493 # DEPENDENCYPART_ARC
(14,9),-2.50767 # DEPENDENCYPART_ARC
(14,10),-1.39257 # DEPENDENCYPART_ARC
(14,11),-0.280033 # DEPENDENCYPART_ARC
(14,12),-0.899066 # DEPENDENCYPART_ARC
(14,13),0.586936 # DEPENDENCYPART_ARC
(14,15),-0.928845 # DEPENDENCYPART_ARC
(14,16),-1.4494 # DEPENDENCYPART_ARC
(14,17),-2.33239 # DEPENDENCYPART_ARC
(14,18),-2.65499 # DEPENDENCYPART_ARC
(14,19),-0.511824 # DEPENDENCYPART_ARC
(14,20),-4.07053 # DEPENDENCYPART_ARC
(14,21),-0.525809 # DEPENDENCYPART_ARC
(14,22),-3.52747 # DEPENDENCYPART_ARC
(14,23),-2.98913 # DEPENDENCYPART_ARC
(14,24),-2.42127 # DEPENDENCYPART_ARC
(14,25),-7.00402 # DEPENDENCYPART_ARC
(14,26),-7.54415 # DEPENDENCYPART_ARC
(14,27),-5.26418 # DEPENDENCYPART_ARC
(14,28),-5.49295 # DEPENDENCYPART_ARC
(15,1),0.050647 # DEPENDENCYPART_ARC
(15,2),0.333032 # DEPENDENCYPART_ARC
(15,3),-0.821362 # DEPENDENCYPART_ARC
(15,4),1.02678 # DEPENDENCYPART_ARC
(15,5),1.15143 # DEPENDENCYPART_ARC
(15,6),0.796174 # DEPENDENCYPART_ARC
(15,7),1.11444 # DEPENDENCYPART_ARC
(15,8),0.309646 # DEPENDENCYPART_ARC
(15,9),0.98798 # DEPENDENCYPART_ARC
(15,10),0.610267 # DEPENDENCYPART_ARC
(15,11),0.874185 # DEPENDENCYPART_ARC
(15,12),1.55668 # DEPENDENCYPART_ARC
(15,13),0.241882 # DEPENDENCYPART_ARC
(15,14),1.1938 # DEPENDENCYPART_ARC
(15,16),0.685898 # DEPENDENCYPART_ARC
(15,17),-0.385661 # DEPENDENCYPART_ARC
(15,18),-0.498666 # DEPENDENCYPART_ARC
(15,19),-0.173892 # DEPENDENCYPART_ARC
(15,20),-1.07473 # DEPENDENCYPART_ARC
(15,21),-0.400466 # DEPENDENCYPART_ARC
(15,22),-1.42711 # DEPENDENCYPART_ARC
(15,23),-1.57125 # DEPENDENCYPART_ARC
(15,24),-1.45685 # DEPENDENCYPART_ARC
(15,25),-1.90405 # DEPENDENCYPART_ARC
(15,26),-1.88625 # DEPENDENCYPART_ARC
(15,27),-2.35788 # DEPENDENCYPART_ARC
(15,28),-0.594132 # DEPENDENCYPART_ARC
(16,1),0.956662 # DEPENDENCYPART_ARC
(16,2),-1.29989 # DEPENDENCYPART_ARC
(16,3),1.14553 # DEPENDENCYPART_ARC
(16,4),-1.2308 # DEPENDENCYPART_ARC
(16,5),-0.483892 # DEPENDENCYPART_ARC
(16,6),-0.976866 # DEPENDENCYPART_ARC
(16,7),-1.94021 # DEPENDENCYPART_ARC
(16,8),0.011944 # DEPENDENCYPART_ARC
(16,9),-2.08082 # DEPENDENCYPART_ARC
(16,10),0.2657 # DEPENDENCYPART_ARC
(16,11),0.498051 # DEPENDENCYPART_ARC
(16,12),-0.584228 # DEPENDENCYPART_ARC
(16,13),0.209427 # DEPENDENCYPART_ARC
(16,14),-0.720029 # DEPENDENCYPART_ARC
(16,15),0.500834 # DEPENDENCYPART_ARC
(16,17),3.67948 # DEPENDENCYPART_ARC
(16,18),3.53965 # DEPENDENCYPART_ARC
(16,19),1.1565 # DEPENDENCYPART_ARC
(16,20),1.57487 # DEPENDENCYPART_ARC
(16,21),0.471241 # DEPENDENCYPART_ARC
(16,22),-1.69654 # DEPENDENCYPART_ARC
(16,23),-0.238776 # DEPENDENCYPART_ARC
(16,24),-0.572224 # DEPENDENCYPART_ARC
(16,25),-2.40969 # DEPENDENCYPART_ARC
(16,26),-2.71528 # DEPENDENCYPART_ARC
(16,27),0.737059 # DEPENDENCYPART_ARC
(16,28),-0.3943 # DEPENDENCYPART_ARC
(17,1),-2.35693 # DEPENDENCYPART_ARC
(17,2),-4.76546 # DEPENDENCYPART_ARC
(17,3),-3.70958 # DEPENDENCYPART_ARC
(17,4),-3.25869 # DEPENDENCYPART_ARC
(17,5),-4.38793 # DEPENDENCYPART_ARC
(17,6),-2.9624 # DEPENDENCYPART_ARC
(17,7),-3.80095 # DEPENDENCYPART_ARC
(17,8),-2.40527 # DEPENDENCYPART_ARC
(17,9),-3.5882 # DEPENDENCYPART_ARC
(17,10),-2.67676 # DEPENDENCYPART_ARC
(17,11),-2.6198 # DEPENDENCYPART_ARC
(17,12),-3.106 # DEPENDENCYPART_ARC
(17,13),-2.15023 # DEPENDENCYPART_ARC
(17,14),-2.6052 # DEPENDENCYPART_ARC
(17,15),-1.66179 # DEPENDENCYPART_ARC
(17,16),-1.47371 # DEPENDENCYPART_ARC
(17,18),-1.70531 # DEPENDENCYPART_ARC
(17,19),-1.50284 # DEPENDENCYPART_ARC
(17,20),-2.2745 # DEPENDENCYPART_ARC
(17,21),-1.60668 # DEPENDENCYPART_ARC
(17,22),-4.97454 # DEPENDENCYPART_ARC
(17,23),-3.45137 # DEPENDENCYPART_ARC
(17,24),-2.71324 # DEPENDENCYPART_ARC
(17,25),-4.22135 # DEPENDENCYPART_ARC
(17,26),-4.29303 # DEPENDENCYPART_ARC
(17,27),-3.16297 # DEPENDENCYPART_ARC
(17,28),-2.57942 # DEPENDENCYPART_ARC
(18,1),-3.50394 # DEPENDENCYPART_ARC
(18,2),-7.6518 # DEPENDENCYPART_ARC
(18,3),-7.58 # DEPENDENCYPART_ARC
(18,4),-4.57244 # DEPENDENCYPART_ARC
(18,5),-6.14833 # DEPENDENCYPART_ARC
(18,6),-3.04645 # DEPENDENCYPART_ARC
(18,7),-8.75132 # DEPENDENCYPART_ARC
(18,8),-4.02957 # DEPENDENCYPART_ARC
(18,9),-7.51668 # DEPENDENCYPART_ARC
(18,10),-3.21441 # DEPENDENCYPART_ARC
(18,11),-2.07174 # DEPENDENCYPART_ARC
(18,12),-5.3816 # DEPENDENCYPART_ARC
(18,13),-1.79787 # DEPENDENCYPART_ARC
(18,14),-5.28063 # DEPENDENCYPART_ARC
(18,15),-2.02572 # DEPENDENCYPART_ARC
(18,16),-2.3648 # DEPENDENCYPART_ARC
(18,17),-1.7354 # DEPENDENCYPART_ARC
(18,19),-0.419826 # DEPENDENCYPART_ARC
(18,20),-0.0124758 # DEPENDENCYPART_ARC
(18,21),-1.85274 # DEPENDENCYPART_ARC
