# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,8,11,16,11,11,8,13,11,11,11,0,0,
(7,5),-1.89628 # DEPENDENCYPART_ARC
(7,6),-0.406239 # DEPENDENCYPART_ARC
(7,8),0.268288 # DEPENDENCYPART_ARC
(7,9),-1.09102 # DEPENDENCYPART_ARC
(7,10),-1.35894 # DEPENDENCYPART_ARC
(7,11),-1.53893 # DEPENDENCYPART_ARC
(7,12),-3.20818 # DEPENDENCYPART_ARC
(7,13),-4.26742 # DEPENDENCYPART_ARC
(7,14),-3.95053 # DEPENDENCYPART_ARC
(7,15),-1.30482 # DEPENDENCYPART_ARC
(7,16),-2.07623 # DEPENDENCYPART_ARC
(7,17),-2.07966 # DEPENDENCYPART_ARC
(8,1),0.159918 # DEPENDENCYPART_ARC
(8,2),-1.49921 # DEPENDENCYPART_ARC
(8,3),-1.63427 # DEPENDENCYPART_ARC
(8,4),-1.97735 # DEPENDENCYPART_ARC
(8,5),-0.345659 # DEPENDENCYPART_ARC
(8,6),1.53833 # DEPENDENCYPART_ARC
(8,7),1.3124 # DEPENDENCYPART_ARC
(8,9),0.607944 # DEPENDENCYPART_ARC
(8,10),0.707454 # DEPENDENCYPART_ARC
(8,11),2.66872 # DEPENDENCYPART_ARC
(8,12),-0.630497 # DEPENDENCYPART_ARC
(8,13),-0.984729 # DEPENDENCYPART_ARC
(8,14),-0.439623 # DEPENDENCYPART_ARC
(8,15),0.749206 # DEPENDENCYPART_ARC
(8,16),-0.265503 # DEPENDENCYPART_ARC
(8,17),0.105489 # DEPENDENCYPART_ARC
(9,1),-0.794911 # DEPENDENCYPART_ARC
(9,2),-0.893225 # DEPENDENCYPART_ARC
(9,3),-0.910158 # DEPENDENCYPART_ARC
(9,4),-1.0564 # DEPENDENCYPART_ARC
(9,5),0.304409 # DEPENDENCYPART_ARC
(9,6),-0.0436227 # DEPENDENCYPART_ARC
(9,7),-0.641195 # DEPENDENCYPART_ARC
(9,8),0.0370509 # DEPENDENCYPART_ARC
(9,10),0.354143 # DEPENDENCYPART_ARC
(9,11),0.666007 # DEPENDENCYPART_ARC
(9,12),-1.03628 # DEPENDENCYPART_ARC
(9,13),-1.23292 # DEPENDENCYPART_ARC
(9,14),-1.35113 # DEPENDENCYPART_ARC
(9,15),0.00547323 # DEPENDENCYPART_ARC
(9,16),-0.622334 # DEPENDENCYPART_ARC
(9,17),-0.82453 # DEPENDENCYPART_ARC
(10,2),-2.37991 # DEPENDENCYPART_ARC
(10,3),-2.68406 # DEPENDENCYPART_ARC
(10,4),-2.49906 # DEPENDENCYPART_ARC
(10,7),-0.319832 # DEPENDENCYPART_ARC
(10,9),0.13905 # DEPENDENCYPART_ARC
(10,11),-0.724838 # DEPENDENCYPART_ARC
(10,12),-0.960355 # DEPENDENCYPART_ARC
(10,13),-1.32085 # DEPENDENCYPART_ARC
(10,14),-1.22203 # DEPENDENCYPART_ARC
(10,15),-0.965721 # DEPENDENCYPART_ARC
(10,16),-3.31106 # DEPENDENCYPART_ARC
(10,17),-1.37029 # DEPENDENCYPART_ARC
(11,1),-1.7618 # DEPENDENCYPART_ARC
(11,2),-0.126517 # DEPENDENCYPART_ARC
(11,3),-0.336549 # DEPENDENCYPART_ARC
(11,4),-0.0828131 # DEPENDENCYPART_ARC
(11,5),-1.66122 # DEPENDENCYPART_ARC
(11,6),-0.64497 # DEPENDENCYPART_ARC
(11,7),1.35073 # DEPENDENCYPART_ARC
(11,8),0.589838 # DEPENDENCYPART_ARC
(11,9),2.50185 # DEPENDENCYPART_ARC
(11,10),3.49884 # DEPENDENCYPART_ARC
(11,12),3.24513 # DEPENDENCYPART_ARC
(11,13),3.01375 # DEPENDENCYPART_ARC
(11,14),2.55064 # DEPENDENCYPART_ARC
(11,15),1.69359 # DEPENDENCYPART_ARC
(11,16),-1.83384 # DEPENDENCYPART_ARC
(11,17),-0.275836 # DEPENDENCYPART_ARC
(12,1),-0.671195 # DEPENDENCYPART_ARC
(12,2),-1.9257 # DEPENDENCYPART_ARC
(12,3),-3.21266 # DEPENDENCYPART_ARC
(12,4),-1.81872 # DEPENDENCYPART_ARC
(12,5),-3.61869 # DEPENDENCYPART_ARC
(12,6),-1.95954 # DEPENDENCYPART_ARC
(12,7),-1.26603 # DEPENDENCYPART_ARC
(12,8),-4.26687 # DEPENDENCYPART_ARC
(12,9),-0.830358 # DEPENDENCYPART_ARC
(12,10),-2.98013 # DEPENDENCYPART_ARC
(12,11),-2.75282 # DEPENDENCYPART_ARC
(12,13),1.37524 # DEPENDENCYPART_ARC
(12,14),-0.456031 # DEPENDENCYPART_ARC
(12,15),-0.432747 # DEPENDENCYPART_ARC
(12,16),-1.0635 # DEPENDENCYPART_ARC
(12,17),-1.7352 # DEPENDENCYPART_ARC
(13,1),-0.602744 # DEPENDENCYPART_ARC
(13,2),0.439649 # DEPENDENCYPART_ARC
(13,3),-1.65921 # DEPENDENCYPART_ARC
(13,4),-1.26828 # DEPENDENCYPART_ARC
(13,5),-4.28172 # DEPENDENCYPART_ARC
(13,6),-1.30641 # DEPENDENCYPART_ARC
(13,7),-1.55853 # DEPENDENCYPART_ARC
(13,8),-4.31109 # DEPENDENCYPART_ARC
(13,9),-0.533918 # DEPENDENCYPART_ARC
(13,10),-4.14903 # DEPENDENCYPART_ARC
(13,11),-3.83017 # DEPENDENCYPART_ARC
(13,12),4.63528 # DEPENDENCYPART_ARC
(13,14),0.100251 # DEPENDENCYPART_ARC
(13,15),-0.0963919 # DEPENDENCYPART_ARC
(13,16),-0.479035 # DEPENDENCYPART_ARC
(13,17),-0.62224 # DEPENDENCYPART_ARC
(14,1),-2.09465 # DEPENDENCYPART_ARC
(14,2),-0.180773 # DEPENDENCYPART_ARC
(14,3),-2.28981 # DEPENDENCYPART_ARC
(14,4),-3.48429 # DEPENDENCYPART_ARC
(14,5),-3.65447 # DEPENDENCYPART_ARC
(14,6),-0.632156 # DEPENDENCYPART_ARC
(14,7),-1.1695 # DEPENDENCYPART_ARC
(14,8),-2.51892 # DEPENDENCYPART_ARC
(14,9),-0.2381 # DEPENDENCYPART_ARC
(14,10),-3.4075 # DEPENDENCYPART_ARC
(14,11),-3.45141 # DEPENDENCYPART_ARC
(14,12),3.82526 # DEPENDENCYPART_ARC
(14,13),2.19 # DEPENDENCYPART_ARC
(14,15),-0.452861 # DEPENDENCYPART_ARC
(14,16),-0.643011 # DEPENDENCYPART_ARC
(14,17),-0.528596 # DEPENDENCYPART_ARC
(15,1),-0.55418 # DEPENDENCYPART_ARC
(15,2),-1.0335 # DEPENDENCYPART_ARC
(15,3),-1.27662 # DEPENDENCYPART_ARC
(15,4),-1.89798 # DEPENDENCYPART_ARC
(15,5),0.235245 # DEPENDENCYPART_ARC
(15,6),0.0659477 # DEPENDENCYPART_ARC
(15,7),-0.652838 # DEPENDENCYPART_ARC
(15,8),-0.263352 # DEPENDENCYPART_ARC
(15,9),0.5916 # DEPENDENCYPART_ARC
(15,10),0.190572 # DEPENDENCYPART_ARC
(15,11),0.57406 # DEPENDENCYPART_ARC
(15,12),0.98259 # DEPENDENCYPART_ARC
(15,13),0.402658 # DEPENDENCYPART_ARC
(15,14),0.173898 # DEPENDENCYPART_ARC
(15,16),0.186933 # DEPENDENCYPART_ARC
(15,17),-0.174329 # DEPENDENCYPART_ARC
(16,1),-1.3554 # DEPENDENCYPART_ARC
(16,2),0.146891 # DEPENDENCYPART_ARC
(16,3),0.402366 # DEPENDENCYPART_ARC
(16,4),-0.835261 # DEPENDENCYPART_ARC
(16,5),-1.70265 # DEPENDENCYPART_ARC
(16,6),-0.0361894 # DEPENDENCYPART_ARC
(16,7),0.17315 # DEPENDENCYPART_ARC
(16,8),0.318567 # DEPENDENCYPART_ARC
(16,9),0.93931 # DEPENDENCYPART_ARC
(16,10),1.59634 # DEPENDENCYPART_ARC
(16,11),-0.438123 # DEPENDENCYPART_ARC
(16,12),1.30489 # DEPENDENCYPART_ARC
(16,13),2.27804 # DEPENDENCYPART_ARC
(16,14),1.8917 # DEPENDENCYPART_ARC
(16,15),0.874173 # DEPENDENCYPART_ARC
(16,17),0.225935 # DEPENDENCYPART_ARC
(17,1),-3.95373 # DEPENDENCYPART_ARC
(17,2),-5.14759 # DEPENDENCYPART_ARC
(17,3),-4.9985 # DEPENDENCYPART_ARC
(17,4),-4.70461 # DEPENDENCYPART_ARC
(17,5),-4.27959 # DEPENDENCYPART_ARC
(17,6),-4.15177 # DEPENDENCYPART_ARC
(17,7),-3.80752 # DEPENDENCYPART_ARC
(17,8),-3.43287 # DEPENDENCYPART_ARC
(17,9),-2.96436 # DEPENDENCYPART_ARC
(17,10),-2.9744 # DEPENDENCYPART_ARC
(17,11),-3.81545 # DEPENDENCYPART_ARC
(17,12),-2.98913 # DEPENDENCYPART_ARC
(17,13),-2.8821 # DEPENDENCYPART_ARC
(17,14),-2.48592 # DEPENDENCYPART_ARC
(17,15),-2.37323 # DEPENDENCYPART_ARC
(17,16),-3.43187 # DEPENDENCYPART_ARC
