# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,12,3,6,8,6,4,12,12,12,15,12,12,0,19,15,19,17,15,22,20,0,
(5,7),-2.84442 # DEPENDENCYPART_ARC
(5,8),-1.75782 # DEPENDENCYPART_ARC
(5,9),-1.59219 # DEPENDENCYPART_ARC
(5,10),-1.44961 # DEPENDENCYPART_ARC
(5,11),-1.51706 # DEPENDENCYPART_ARC
(5,12),-3.3866 # DEPENDENCYPART_ARC
(5,13),-3.44532 # DEPENDENCYPART_ARC
(5,14),-1.67546 # DEPENDENCYPART_ARC
(5,15),-4.00852 # DEPENDENCYPART_ARC
(5,16),-2.4306 # DEPENDENCYPART_ARC
(5,17),-3.21869 # DEPENDENCYPART_ARC
(5,18),-5.06956 # DEPENDENCYPART_ARC
(5,19),-4.76237 # DEPENDENCYPART_ARC
(5,20),-3.30293 # DEPENDENCYPART_ARC
(5,21),-4.84418 # DEPENDENCYPART_ARC
(5,22),-3.9182 # DEPENDENCYPART_ARC
(5,23),-4.16523 # DEPENDENCYPART_ARC
(6,1),0.352686 # DEPENDENCYPART_ARC
(6,2),1.35594 # DEPENDENCYPART_ARC
(6,3),0.993087 # DEPENDENCYPART_ARC
(6,4),1.969 # DEPENDENCYPART_ARC
(6,5),4.90185 # DEPENDENCYPART_ARC
(6,7),6.84077 # DEPENDENCYPART_ARC
(6,8),1.0356 # DEPENDENCYPART_ARC
(6,9),-0.0709202 # DEPENDENCYPART_ARC
(6,10),0.0658988 # DEPENDENCYPART_ARC
(6,11),-0.146234 # DEPENDENCYPART_ARC
(6,12),-0.0554729 # DEPENDENCYPART_ARC
(6,13),-1.13074 # DEPENDENCYPART_ARC
(6,14),-0.0343447 # DEPENDENCYPART_ARC
(6,15),-1.48333 # DEPENDENCYPART_ARC
(6,16),-0.851581 # DEPENDENCYPART_ARC
(6,17),-0.957023 # DEPENDENCYPART_ARC
(6,18),0.337783 # DEPENDENCYPART_ARC
(6,19),-3.1313 # DEPENDENCYPART_ARC
(6,20),-2.09121 # DEPENDENCYPART_ARC
(6,21),-0.331065 # DEPENDENCYPART_ARC
(6,22),-3.6155 # DEPENDENCYPART_ARC
(6,23),-2.20122 # DEPENDENCYPART_ARC
(7,1),-2.51774 # DEPENDENCYPART_ARC
(7,2),-3.05639 # DEPENDENCYPART_ARC
(7,3),-2.12158 # DEPENDENCYPART_ARC
(7,4),-4.48525 # DEPENDENCYPART_ARC
(7,5),-2.45493 # DEPENDENCYPART_ARC
(7,6),-0.861141 # DEPENDENCYPART_ARC
(7,8),-0.780512 # DEPENDENCYPART_ARC
(7,9),-1.05513 # DEPENDENCYPART_ARC
(7,10),-1.18982 # DEPENDENCYPART_ARC
(7,11),-1.22321 # DEPENDENCYPART_ARC
(7,12),-2.94137 # DEPENDENCYPART_ARC
(7,13),-3.61994 # DEPENDENCYPART_ARC
(7,14),-1.22283 # DEPENDENCYPART_ARC
(7,15),-3.70389 # DEPENDENCYPART_ARC
(7,16),-2.16976 # DEPENDENCYPART_ARC
(7,17),-2.90145 # DEPENDENCYPART_ARC
(7,18),-4.76877 # DEPENDENCYPART_ARC
(7,19),-5.1154 # DEPENDENCYPART_ARC
(7,20),-2.99341 # DEPENDENCYPART_ARC
(7,21),-4.56178 # DEPENDENCYPART_ARC
(7,22),-4.32862 # DEPENDENCYPART_ARC
(7,23),-3.49473 # DEPENDENCYPART_ARC
(8,1),-0.348059 # DEPENDENCYPART_ARC
(8,2),0.981011 # DEPENDENCYPART_ARC
(8,3),-0.728659 # DEPENDENCYPART_ARC
(8,4),-3.08745 # DEPENDENCYPART_ARC
(8,5),1.60418 # DEPENDENCYPART_ARC
(8,6),2.86636 # DEPENDENCYPART_ARC
(8,7),4.50015 # DEPENDENCYPART_ARC
(8,9),-0.527906 # DEPENDENCYPART_ARC
(8,10),-0.379659 # DEPENDENCYPART_ARC
(8,11),-0.272757 # DEPENDENCYPART_ARC
(8,12),0.218603 # DEPENDENCYPART_ARC
(8,13),-1.57459 # DEPENDENCYPART_ARC
(8,14),-0.37773 # DEPENDENCYPART_ARC
(8,15),-2.09901 # DEPENDENCYPART_ARC
(8,16),-1.12854 # DEPENDENCYPART_ARC
(8,17),-2.32677 # DEPENDENCYPART_ARC
(8,18),-2.29195 # DEPENDENCYPART_ARC
(8,19),-3.69744 # DEPENDENCYPART_ARC
(8,20),-1.92647 # DEPENDENCYPART_ARC
(8,21),-4.82749 # DEPENDENCYPART_ARC
(8,22),-4.76755 # DEPENDENCYPART_ARC
(8,23),-5.36748 # DEPENDENCYPART_ARC
(9,1),-0.502089 # DEPENDENCYPART_ARC
(9,2),-0.0599991 # DEPENDENCYPART_ARC
(9,3),-0.296337 # DEPENDENCYPART_ARC
(9,4),0.191257 # DEPENDENCYPART_ARC
(9,5),0.0168638 # DEPENDENCYPART_ARC
(9,6),-0.295491 # DEPENDENCYPART_ARC
(9,7),0.0945123 # DEPENDENCYPART_ARC
(9,8),-0.00661363 # DEPENDENCYPART_ARC
(9,10),0.045025 # DEPENDENCYPART_ARC
(9,11),-0.296538 # DEPENDENCYPART_ARC
(9,12),0.158152 # DEPENDENCYPART_ARC
(9,13),-0.434486 # DEPENDENCYPART_ARC
(9,14),-0.289442 # DEPENDENCYPART_ARC
(9,15),-1.4136 # DEPENDENCYPART_ARC
(9,16),-1.18844 # DEPENDENCYPART_ARC
(9,17),-1.71728 # DEPENDENCYPART_ARC
(9,18),-1.19542 # DEPENDENCYPART_ARC
(9,19),-2.25932 # DEPENDENCYPART_ARC
(9,20),-1.55496 # DEPENDENCYPART_ARC
(9,21),-1.64099 # DEPENDENCYPART_ARC
(9,22),-2.37296 # DEPENDENCYPART_ARC
(9,23),-1.04118 # DEPENDENCYPART_ARC
(10,1),-1.24952 # DEPENDENCYPART_ARC
(10,2),-1.10568 # DEPENDENCYPART_ARC
(10,3),-1.1484 # DEPENDENCYPART_ARC
(10,4),-0.706521 # DEPENDENCYPART_ARC
(10,5),-0.880568 # DEPENDENCYPART_ARC
(10,6),-0.99744 # DEPENDENCYPART_ARC
(10,7),-0.518454 # DEPENDENCYPART_ARC
(10,8),-0.125198 # DEPENDENCYPART_ARC
(10,9),-0.440329 # DEPENDENCYPART_ARC
(10,11),0.641164 # DEPENDENCYPART_ARC
(10,12),0.190626 # DEPENDENCYPART_ARC
(10,13),-0.146825 # DEPENDENCYPART_ARC
(10,14),-0.0329544 # DEPENDENCYPART_ARC
(10,15),-0.483312 # DEPENDENCYPART_ARC
(10,16),-0.993181 # DEPENDENCYPART_ARC
(10,17),-0.793157 # DEPENDENCYPART_ARC
(10,18),-0.741061 # DEPENDENCYPART_ARC
(10,19),-1.40691 # DEPENDENCYPART_ARC
(10,20),-1.0607 # DEPENDENCYPART_ARC
(10,21),-1.10296 # DEPENDENCYPART_ARC
(10,22),-1.93532 # DEPENDENCYPART_ARC
(10,23),-1.78191 # DEPENDENCYPART_ARC
(11,1),-1.26948 # DEPENDENCYPART_ARC
(11,2),-1.31188 # DEPENDENCYPART_ARC
(11,3),-1.64374 # DEPENDENCYPART_ARC
(11,4),-1.31735 # DEPENDENCYPART_ARC
(11,5),-1.40387 # DEPENDENCYPART_ARC
(11,6),-1.17589 # DEPENDENCYPART_ARC
(11,7),-0.992921 # DEPENDENCYPART_ARC
(11,8),-0.931744 # DEPENDENCYPART_ARC
(11,9),-0.292264 # DEPENDENCYPART_ARC
(11,10),1.13377 # DEPENDENCYPART_ARC
(11,12),-0.404 # DEPENDENCYPART_ARC
(11,13),-1.00945 # DEPENDENCYPART_ARC
(11,14),-0.570507 # DEPENDENCYPART_ARC
(11,15),-1.28615 # DEPENDENCYPART_ARC
(11,16),-1.4624 # DEPENDENCYPART_ARC
(11,17),-1.52967 # DEPENDENCYPART_ARC
(11,18),-1.84763 # DEPENDENCYPART_ARC
(11,19),-2.75733 # DEPENDENCYPART_ARC
(11,20),-1.74077 # DEPENDENCYPART_ARC
(11,21),-2.00431 # DEPENDENCYPART_ARC
(11,22),-3.37008 # DEPENDENCYPART_ARC
(11,23),-2.21597 # DEPENDENCYPART_ARC
(12,1),0.969624 # DEPENDENCYPART_ARC
(12,2),0.789101 # DEPENDENCYPART_ARC
(12,3),0.662231 # DEPENDENCYPART_ARC
(12,4),-0.69226 # DEPENDENCYPART_ARC
(12,5),-3.41396 # DEPENDENCYPART_ARC
(12,6),0.46775 # DEPENDENCYPART_ARC
(12,7),-2.81445 # DEPENDENCYPART_ARC
(12,8),-1.92418 # DEPENDENCYPART_ARC
(12,9),2.06839 # DEPENDENCYPART_ARC
(12,10),2.94831 # DEPENDENCYPART_ARC
(12,11),3.3749 # DEPENDENCYPART_ARC
(12,13),3.2709 # DEPENDENCYPART_ARC
(12,14),1.57104 # DEPENDENCYPART_ARC
(12,15),-0.903929 # DEPENDENCYPART_ARC
(12,16),-0.252066 # DEPENDENCYPART_ARC
(12,17),0.46246 # DEPENDENCYPART_ARC
(12,18),-5.02985 # DEPENDENCYPART_ARC
(12,19),-1.77959 # DEPENDENCYPART_ARC
(12,20),0.450259 # DEPENDENCYPART_ARC
(12,21),-3.22803 # DEPENDENCYPART_ARC
(12,22),-0.84179 # DEPENDENCYPART_ARC
(12,23),-0.372773 # DEPENDENCYPART_ARC
(13,1),-2.36774 # DEPENDENCYPART_ARC
(13,2),-1.11813 # DEPENDENCYPART_ARC
(13,3),-2.51219 # DEPENDENCYPART_ARC
(13,4),-5.96763 # DEPENDENCYPART_ARC
(13,5),-5.19619 # DEPENDENCYPART_ARC
(13,6),-1.17607 # DEPENDENCYPART_ARC
(13,7),-3.90989 # DEPENDENCYPART_ARC
(13,8),-6.22392 # DEPENDENCYPART_ARC
(13,9),-1.29674 # DEPENDENCYPART_ARC
(13,10),-0.967239 # DEPENDENCYPART_ARC
(13,11),-0.709504 # DEPENDENCYPART_ARC
(13,12),-2.8744 # DEPENDENCYPART_ARC
(13,14),-0.969736 # DEPENDENCYPART_ARC
(13,15),-1.49455 # DEPENDENCYPART_ARC
(13,16),-0.540127 # DEPENDENCYPART_ARC
(13,17),-1.96554 # DEPENDENCYPART_ARC
(13,18),-3.11572 # DEPENDENCYPART_ARC
(13,19),-2.83026 # DEPENDENCYPART_ARC
(13,20),-2.00043 # DEPENDENCYPART_ARC
(13,21),-4.41923 # DEPENDENCYPART_ARC
(13,22),-3.95438 # DEPENDENCYPART_ARC
(13,23),-3.9916 # DEPENDENCYPART_ARC
(14,1),0.0626093 # DEPENDENCYPART_ARC
(14,2),0.178771 # DEPENDENCYPART_ARC
(14,3),-0.176061 # DEPENDENCYPART_ARC
(14,4),0.127365 # DEPENDENCYPART_ARC
(14,5),-0.523606 # DEPENDENCYPART_ARC
(14,6),-0.37335 # DEPENDENCYPART_ARC
(14,7),-0.507181 # DEPENDENCYPART_ARC
(14,8),-0.109081 # DEPENDENCYPART_ARC
(14,9),0.204209 # DEPENDENCYPART_ARC
(14,10),0.319881 # DEPENDENCYPART_ARC
(14,11),0.44451 # DEPENDENCYPART_ARC
(14,12),1.00255 # DEPENDENCYPART_ARC
(14,13),0.429216 # DEPENDENCYPART_ARC
(14,15),0.536369 # DEPENDENCYPART_ARC
(14,16),-0.369 # DEPENDENCYPART_ARC
(14,17),-0.395642 # DEPENDENCYPART_ARC
(14,18),-0.70657 # DEPENDENCYPART_ARC
(14,19),-0.768893 # DEPENDENCYPART_ARC
(14,20),-0.420983 # DEPENDENCYPART_ARC
(14,21),-1.33428 # DEPENDENCYPART_ARC
(14,22),-1.10828 # DEPENDENCYPART_ARC
(14,23),-0.123148 # DEPENDENCYPART_ARC
(15,1),1.54325 # DEPENDENCYPART_ARC
(15,2),-0.129964 # DEPENDENCYPART_ARC
(15,3),-0.388543 # DEPENDENCYPART_ARC
(15,4),-1.35293 # DEPENDENCYPART_ARC
(15,5),-3.58545 # DEPENDENCYPART_ARC
(15,6),-0.154379 # DEPENDENCYPART_ARC
(15,7),-3.20549 # DEPENDENCYPART_ARC
(15,8),-2.25344 # DEPENDENCYPART_ARC
(15,9),-0.0522629 # DEPENDENCYPART_ARC
(15,10),1.33847 # DEPENDENCYPART_ARC
(15,11),0.995642 # DEPENDENCYPART_ARC
(15,12),0.813304 # DEPENDENCYPART_ARC
(15,13),0.996161 # DEPENDENCYPART_ARC
(15,14),0.504237 # DEPENDENCYPART_ARC
(15,16),0.548186 # DEPENDENCYPART_ARC
(15,17),2.40392 # DEPENDENCYPART_ARC
(15,18),-3.16449 # DEPENDENCYPART_ARC
(15,19),1.11945 # DEPENDENCYPART_ARC
(15,20),1.71712 # DEPENDENCYPART_ARC
(15,21),-2.24065 # DEPENDENCYPART_ARC
(15,22),1.03384 # DEPENDENCYPART_ARC
(15,23),0.189714 # DEPENDENCYPART_ARC
(16,1),-1.32228 # DEPENDENCYPART_ARC
(16,2),-0.220367 # DEPENDENCYPART_ARC
(16,3),-0.26372 # DEPENDENCYPART_ARC
(16,4),-1.30053 # DEPENDENCYPART_ARC
(16,5),-1.74217 # DEPENDENCYPART_ARC
(16,6),-1.15994 # DEPENDENCYPART_ARC
(16,7),-1.33394 # DEPENDENCYPART_ARC
(16,8),-1.50301 # DEPENDENCYPART_ARC
(16,9),-1.05034 # DEPENDENCYPART_ARC
(16,10),0.187701 # DEPENDENCYPART_ARC
(16,11),-0.47336 # DEPENDENCYPART_ARC
(16,12),-0.960465 # DEPENDENCYPART_ARC
(16,13),0.337948 # DEPENDENCYPART_ARC
(16,14),-0.0368818 # DEPENDENCYPART_ARC
(16,15),-0.0283454 # DEPENDENCYPART_ARC
(16,17),0.55792 # DEPENDENCYPART_ARC
(16,18),0.345377 # DEPENDENCYPART_ARC
(16,19),0.733175 # DEPENDENCYPART_ARC
(16,20),0.0317437 # DEPENDENCYPART_ARC
(16,21),-0.904567 # DEPENDENCYPART_ARC
(16,22),-0.0891411 # DEPENDENCYPART_ARC
(16,23),-0.231568 # DEPENDENCYPART_ARC
(17,1),-2.22027 # DEPENDENCYPART_ARC
(17,2),-2.6061 # DEPENDENCYPART_ARC
(17,3),-3.26849 # DEPENDENCYPART_ARC
(17,4),-2.16891 # DEPENDENCYPART_ARC
(17,5),-2.95001 # DEPENDENCYPART_ARC
(17,6),-2.0125 # DEPENDENCYPART_ARC
(17,7),-2.80093 # DEPENDENCYPART_ARC
(17,8),-3.30717 # DEPENDENCYPART_ARC
(17,9),-0.748345 # DEPENDENCYPART_ARC
(17,10),-2.0098 # DEPENDENCYPART_ARC
(17,11),-1.92327 # DEPENDENCYPART_ARC
(17,12),-2.11401 # DEPENDENCYPART_ARC
(17,13),-3.01858 # DEPENDENCYPART_ARC
(17,14),-0.39995 # DEPENDENCYPART_ARC
(17,15),-1.50143 # DEPENDENCYPART_ARC
(17,16),0.0381774 # DEPENDENCYPART_ARC
(17,18),1.30268 # DEPENDENCYPART_ARC
(17,19),4.48562 # DEPENDENCYPART_ARC
(17,20),-1.0799 # DEPENDENCYPART_ARC
(17,21),-0.906082 # DEPENDENCYPART_ARC
(17,22),-0.259103 # DEPENDENCYPART_ARC
(17,23),-0.584893 # DEPENDENCYPART_ARC
(18,1),-2.55464 # DEPENDENCYPART_ARC
(18,2),-4.4833 # DEPENDENCYPART_ARC
(18,3),-3.5583 # DEPENDENCYPART_ARC
(18,4),-4.47848 # DEPENDENCYPART_ARC
(18,5),-4.81896 # DEPENDENCYPART_ARC
(18,6),-2.61363 # DEPENDENCYPART_ARC
(18,7),-4.70692 # DEPENDENCYPART_ARC
(18,8),-4.88335 # DEPENDENCYPART_ARC
(18,9),-2.40768 # DEPENDENCYPART_ARC
(18,10),-2.65035 # DEPENDENCYPART_ARC
(18,11),-2.2919 # DEPENDENCYPART_ARC
(18,12),-4.83867 # DEPENDENCYPART_ARC
(18,13),-3.35286 # DEPENDENCYPART_ARC
(18,14),-1.61383 # DEPENDENCYPART_ARC
(18,15),-3.2085 # DEPENDENCYPART_ARC
(18,16),-0.106783 # DEPENDENCYPART_ARC
(18,17),-0.70326 # DEPENDENCYPART_ARC
(18,19),0.212308 # DEPENDENCYPART_ARC
(18,20),-0.144644 # DEPENDENCYPART_ARC
(18,21),-2.75365 # DEPENDENCYPART_ARC
(18,22),-0.691887 # DEPENDENCYPART_ARC
(18,23),-1.28889 # DEPENDENCYPART_ARC
(19,1),-2.49127 # DEPENDENCYPART_ARC
(19,2),-1.31756 # DEPENDENCYPART_ARC
(19,3),-2.2429 # DEPENDENCYPART_ARC
(19,4),-4.10874 # DEPENDENCYPART_ARC
(19,5),-4.05874 # DEPENDENCYPART_ARC
(19,6),-0.584492 # DEPENDENCYPART_ARC
(19,7),-2.3983 # DEPENDENCYPART_ARC
(19,8),-4.83057 # DEPENDENCYPART_ARC
(19,9),-1.5875 # DEPENDENCYPART_ARC
(19,10),-2.13709 # DEPENDENCYPART_ARC
(19,11),-2.06848 # DEPENDENCYPART_ARC
(19,12),-3.36664 # DEPENDENCYPART_ARC
(19,13),-3.05223 # DEPENDENCYPART_ARC
(19,14),-1.40437 # DEPENDENCYPART_ARC
(19,15),-1.41944 # DEPENDENCYPART_ARC
(19,16),2.18581 # DEPENDENCYPART_ARC
(19,17),-0.0426346 # DEPENDENCYPART_ARC
(19,18),5.02025 # DEPENDENCYPART_ARC
(19,20),0.976366 # DEPENDENCYPART_ARC
(19,21),-2.5504 # DEPENDENCYPART_ARC
(19,22),-2.16161 # DEPENDENCYPART_ARC
(19,23),-1.36674 # DEPENDENCYPART_ARC
(20,1),-2.74736 # DEPENDENCYPART_ARC
(20,2),-3.13435 # DEPENDENCYPART_ARC
(20,3),-3.10483 # DEPENDENCYPART_ARC
(20,4),-1.19636 # DEPENDENCYPART_ARC
(20,5),-3.34145 # DEPENDENCYPART_ARC
(20,6),-2.51428 # DEPENDENCYPART_ARC
(20,7),-3.19098 # DEPENDENCYPART_ARC
(20,8),-3.8038 # DEPENDENCYPART_ARC
(20,9),-1.89665 # DEPENDENCYPART_ARC
(20,10),-2.53795 # DEPENDENCYPART_ARC
(20,11),-2.45165 # DEPENDENCYPART_ARC
(20,12),-2.6529 # DEPENDENCYPART_ARC
(20,13),-3.20205 # DEPENDENCYPART_ARC
(20,14),-1.68671 # DEPENDENCYPART_ARC
(20,15),-2.55752 # DEPENDENCYPART_ARC
(20,16),-1.7198 # DEPENDENCYPART_ARC
(20,17),-0.841246 # DEPENDENCYPART_ARC
(20,18),-0.912274 # DEPENDENCYPART_ARC
(20,19),-0.654074 # DEPENDENCYPART_ARC
(20,21),1.30684 # DEPENDENCYPART_ARC
(20,22),4.2461 # DEPENDENCYPART_ARC
(20,23),-0.374722 # DEPENDENCYPART_ARC
(21,1),-2.4746 # DEPENDENCYPART_ARC
(21,2),-4.68289 # DEPENDENCYPART_ARC
(21,3),-3.46155 # DEPENDENCYPART_ARC
(21,4),-5.98114 # DEPENDENCYPART_ARC
(21,5),-5.8951 # DEPENDENCYPART_ARC
(21,6),-2.54595 # DEPENDENCYPART_ARC
(21,7),-5.77511 # DEPENDENCYPART_ARC
(21,8),-5.69571 # DEPENDENCYPART_ARC
(21,9),-2.59123 # DEPENDENCYPART_ARC
(21,10),-2.96262 # DEPENDENCYPART_ARC
(21,11),-2.49478 # DEPENDENCYPART_ARC
(21,12),-5.67987 # DEPENDENCYPART_ARC
(21,13),-4.86238 # DEPENDENCYPART_ARC
(21,14),-1.93325 # DEPENDENCYPART_ARC
(21,15),-4.35676 # DEPENDENCYPART_ARC
(21,16),-0.690444 # DEPENDENCYPART_ARC
(21,17),-1.23219 # DEPENDENCYPART_ARC
(21,18),-4.40108 # DEPENDENCYPART_ARC
(21,19),-3.57542 # DEPENDENCYPART_ARC
(21,20),-0.838578 # DEPENDENCYPART_ARC
(21,22),0.795917 # DEPENDENCYPART_ARC
(21,23),-0.380527 # DEPENDENCYPART_ARC
(22,1),-3.79368 # DEPENDENCYPART_ARC
(22,2),-1.49012 # DEPENDENCYPART_ARC
(22,3),-2.49642 # DEPENDENCYPART_ARC
(22,4),-6.95268 # DEPENDENCYPART_ARC
(22,5),-6.99778 # DEPENDENCYPART_ARC
(22,6),-1.45987 # DEPENDENCYPART_ARC
(22,7),-5.28234 # DEPENDENCYPART_ARC
(22,8),-7.34044 # DEPENDENCYPART_ARC
(22,9),-1.92757 # DEPENDENCYPART_ARC
(22,10),-2.44211 # DEPENDENCYPART_ARC
(22,11),-2.60399 # DEPENDENCYPART_ARC
(22,12),-3.64247 # DEPENDENCYPART_ARC
(22,13),-5.29183 # DEPENDENCYPART_ARC
(22,14),-2.03975 # DEPENDENCYPART_ARC
(22,15),-2.37686 # DEPENDENCYPART_ARC
(22,16),0.907992 # DEPENDENCYPART_ARC
(22,17),-1.3967 # DEPENDENCYPART_ARC
(22,18),-0.956532 # DEPENDENCYPART_ARC
(22,19),-3.39346 # DEPENDENCYPART_ARC
(22,20),-0.886066 # DEPENDENCYPART_ARC
(22,21),5.42728 # DEPENDENCYPART_ARC
(22,23),0.262976 # DEPENDENCYPART_ARC
(23,1),-4.82515 # DEPENDENCYPART_ARC
(23,2),-3.9605 # DEPENDENCYPART_ARC
