# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=0,1,2,3,2,5,6,7,10,8,13,13,10,13,14,15,19,19,16,19,22,20,13,1,0,27,25,0,
(6,19),-4.96966 # DEPENDENCYPART_ARC
(6,20),-1.30737 # DEPENDENCYPART_ARC
(6,21),-3.29879 # DEPENDENCYPART_ARC
(6,22),-3.07329 # DEPENDENCYPART_ARC
(6,23),-1.46125 # DEPENDENCYPART_ARC
(6,24),-2.01427 # DEPENDENCYPART_ARC
(6,25),-2.35804 # DEPENDENCYPART_ARC
(6,26),-7.18299 # DEPENDENCYPART_ARC
(6,27),-6.16209 # DEPENDENCYPART_ARC
(6,28),-9.77744 # DEPENDENCYPART_ARC
(7,1),-1.26707 # DEPENDENCYPART_ARC
(7,2),-2.28577 # DEPENDENCYPART_ARC
(7,3),-0.285982 # DEPENDENCYPART_ARC
(7,4),-1.14533 # DEPENDENCYPART_ARC
(7,5),0.515353 # DEPENDENCYPART_ARC
(7,6),1.60912 # DEPENDENCYPART_ARC
(7,8),3.82857 # DEPENDENCYPART_ARC
(7,9),0.730964 # DEPENDENCYPART_ARC
(7,10),0.670294 # DEPENDENCYPART_ARC
(7,11),-0.114235 # DEPENDENCYPART_ARC
(7,12),-2.61588 # DEPENDENCYPART_ARC
(7,13),-1.89016 # DEPENDENCYPART_ARC
(7,14),-1.98889 # DEPENDENCYPART_ARC
(7,15),-3.54774 # DEPENDENCYPART_ARC
(7,16),-2.05905 # DEPENDENCYPART_ARC
(7,17),-3.14956 # DEPENDENCYPART_ARC
(7,18),-3.39229 # DEPENDENCYPART_ARC
(7,19),-6.16642 # DEPENDENCYPART_ARC
(7,20),-2.66076 # DEPENDENCYPART_ARC
(7,21),-2.78903 # DEPENDENCYPART_ARC
(7,22),-6.91852 # DEPENDENCYPART_ARC
(7,23),-1.61757 # DEPENDENCYPART_ARC
(7,24),-2.17664 # DEPENDENCYPART_ARC
(7,25),-2.7186 # DEPENDENCYPART_ARC
(7,26),-10.9297 # DEPENDENCYPART_ARC
(7,27),-10.9298 # DEPENDENCYPART_ARC
(7,28),-2.96767 # DEPENDENCYPART_ARC
(8,1),-3.00637 # DEPENDENCYPART_ARC
(8,2),-2.8272 # DEPENDENCYPART_ARC
(8,3),-0.301937 # DEPENDENCYPART_ARC
(8,4),-2.35015 # DEPENDENCYPART_ARC
(8,5),0.096604 # DEPENDENCYPART_ARC
(8,6),-3.42786 # DEPENDENCYPART_ARC
(8,7),1.98816 # DEPENDENCYPART_ARC
(8,9),1.19092 # DEPENDENCYPART_ARC
(8,10),1.58528 # DEPENDENCYPART_ARC
(8,11),-0.209825 # DEPENDENCYPART_ARC
(8,12),-3.00864 # DEPENDENCYPART_ARC
(8,13),-0.0337276 # DEPENDENCYPART_ARC
(8,14),-1.37582 # DEPENDENCYPART_ARC
(8,15),-1.79023 # DEPENDENCYPART_ARC
(8,16),0.199332 # DEPENDENCYPART_ARC
(8,17),-4.63594 # DEPENDENCYPART_ARC
(8,18),-4.22238 # DEPENDENCYPART_ARC
(8,19),-2.6693 # DEPENDENCYPART_ARC
(8,20),-0.937797 # DEPENDENCYPART_ARC
(8,21),-2.11028 # DEPENDENCYPART_ARC
(8,22),-1.19833 # DEPENDENCYPART_ARC
(8,23),-1.24369 # DEPENDENCYPART_ARC
(8,24),-1.89288 # DEPENDENCYPART_ARC
(8,25),-2.14959 # DEPENDENCYPART_ARC
(8,26),-5.84117 # DEPENDENCYPART_ARC
(8,27),-4.567 # DEPENDENCYPART_ARC
(8,28),-8.54728 # DEPENDENCYPART_ARC
(9,1),-1.25403 # DEPENDENCYPART_ARC
(9,2),-4.48297 # DEPENDENCYPART_ARC
(9,3),-0.800904 # DEPENDENCYPART_ARC
(9,4),-1.95238 # DEPENDENCYPART_ARC
(9,5),-0.366038 # DEPENDENCYPART_ARC
(9,6),-3.14252 # DEPENDENCYPART_ARC
(9,7),0.33969 # DEPENDENCYPART_ARC
(9,8),0.41402 # DEPENDENCYPART_ARC
(9,10),0.699475 # DEPENDENCYPART_ARC
(9,11),-0.312012 # DEPENDENCYPART_ARC
(9,13),-1.78459 # DEPENDENCYPART_ARC
(9,14),-1.11037 # DEPENDENCYPART_ARC
(9,15),-2.96704 # DEPENDENCYPART_ARC
(9,16),-0.826366 # DEPENDENCYPART_ARC
(9,17),-3.60421 # DEPENDENCYPART_ARC
(9,18),-3.67254 # DEPENDENCYPART_ARC
(9,19),-1.19959 # DEPENDENCYPART_ARC
(9,20),-1.44713 # DEPENDENCYPART_ARC
(9,21),-3.67718 # DEPENDENCYPART_ARC
(9,22),-3.27331 # DEPENDENCYPART_ARC
(9,23),-1.01046 # DEPENDENCYPART_ARC
(9,24),-2.21267 # DEPENDENCYPART_ARC
(9,25),-3.73107 # DEPENDENCYPART_ARC
(9,26),-6.95651 # DEPENDENCYPART_ARC
(9,27),-5.87278 # DEPENDENCYPART_ARC
(9,28),-3.87869 # DEPENDENCYPART_ARC
(10,1),-3.01968 # DEPENDENCYPART_ARC
(10,2),-2.48758 # DEPENDENCYPART_ARC
(10,3),-0.587568 # DEPENDENCYPART_ARC
(10,4),-2.10136 # DEPENDENCYPART_ARC
(10,5),-1.29973 # DEPENDENCYPART_ARC
(10,6),-3.96186 # DEPENDENCYPART_ARC
(10,7),0.0144623 # DEPENDENCYPART_ARC
(10,8),0.927201 # DEPENDENCYPART_ARC
(10,9),5.46199 # DEPENDENCYPART_ARC
(10,11),0.334243 # DEPENDENCYPART_ARC
(10,12),-1.73653 # DEPENDENCYPART_ARC
(10,13),1.70675 # DEPENDENCYPART_ARC
(10,14),-0.0731442 # DEPENDENCYPART_ARC
(10,15),-0.77947 # DEPENDENCYPART_ARC
(10,16),0.683721 # DEPENDENCYPART_ARC
(10,17),-2.7015 # DEPENDENCYPART_ARC
(10,18),-2.45644 # DEPENDENCYPART_ARC
(10,19),-1.62171 # DEPENDENCYPART_ARC
(10,20),-0.418686 # DEPENDENCYPART_ARC
(10,21),-1.98092 # DEPENDENCYPART_ARC
(10,22),-0.724407 # DEPENDENCYPART_ARC
(10,23),-0.0647746 # DEPENDENCYPART_ARC
(10,24),-0.571427 # DEPENDENCYPART_ARC
(10,25),-0.964675 # DEPENDENCYPART_ARC
(10,26),-5.13552 # DEPENDENCYPART_ARC
(10,27),-3.58063 # DEPENDENCYPART_ARC
(10,28),-6.75791 # DEPENDENCYPART_ARC
(11,1),-1.73503 # DEPENDENCYPART_ARC
(11,2),-0.563444 # DEPENDENCYPART_ARC
(11,3),-1.06945 # DEPENDENCYPART_ARC
(11,4),-0.788636 # DEPENDENCYPART_ARC
(11,5),-1.57933 # DEPENDENCYPART_ARC
(11,6),-0.656817 # DEPENDENCYPART_ARC
(11,7),-1.61259 # DEPENDENCYPART_ARC
(11,8),-0.290949 # DEPENDENCYPART_ARC
(11,9),-1.25182 # DEPENDENCYPART_ARC
(11,10),-1.07601 # DEPENDENCYPART_ARC
(11,12),-0.524906 # DEPENDENCYPART_ARC
(11,13),-0.0372306 # DEPENDENCYPART_ARC
(11,14),-1.7453 # DEPENDENCYPART_ARC
(11,15),-2.17002 # DEPENDENCYPART_ARC
(11,16),-2.27725 # DEPENDENCYPART_ARC
(11,17),-2.55022 # DEPENDENCYPART_ARC
(11,18),-2.40939 # DEPENDENCYPART_ARC
(11,19),-2.61649 # DEPENDENCYPART_ARC
(11,20),-2.55414 # DEPENDENCYPART_ARC
(11,21),-2.83932 # DEPENDENCYPART_ARC
(11,22),-2.73192 # DEPENDENCYPART_ARC
(11,23),-1.44483 # DEPENDENCYPART_ARC
(11,24),-1.15529 # DEPENDENCYPART_ARC
(11,25),-2.16643 # DEPENDENCYPART_ARC
(11,26),-4.17094 # DEPENDENCYPART_ARC
(11,27),-3.77737 # DEPENDENCYPART_ARC
(11,28),-2.48964 # DEPENDENCYPART_ARC
(12,1),-1.81537 # DEPENDENCYPART_ARC
(12,2),-2.06638 # DEPENDENCYPART_ARC
(12,3),-0.789951 # DEPENDENCYPART_ARC
(12,4),-3.62546 # DEPENDENCYPART_ARC
(12,5),-1.64335 # DEPENDENCYPART_ARC
(12,6),-2.58894 # DEPENDENCYPART_ARC
(12,7),-0.651916 # DEPENDENCYPART_ARC
(12,8),-2.57254 # DEPENDENCYPART_ARC
(12,9),-2.01329 # DEPENDENCYPART_ARC
(12,10),-2.20351 # DEPENDENCYPART_ARC
(12,11),-0.337795 # DEPENDENCYPART_ARC
(12,13),-0.126611 # DEPENDENCYPART_ARC
(12,15),-0.319519 # DEPENDENCYPART_ARC
(12,16),-1.29873 # DEPENDENCYPART_ARC
(12,17),-2.37935 # DEPENDENCYPART_ARC
(12,18),-2.87075 # DEPENDENCYPART_ARC
(12,19),-1.2829 # DEPENDENCYPART_ARC
(12,20),-1.45922 # DEPENDENCYPART_ARC
(12,21),-2.46705 # DEPENDENCYPART_ARC
(12,22),-1.62133 # DEPENDENCYPART_ARC
(12,23),-0.807643 # DEPENDENCYPART_ARC
(12,24),-1.31493 # DEPENDENCYPART_ARC
(12,25),-3.4142 # DEPENDENCYPART_ARC
(12,26),-2.02146 # DEPENDENCYPART_ARC
(12,27),-2.31591 # DEPENDENCYPART_ARC
(12,28),-1.65375 # DEPENDENCYPART_ARC
(13,1),-0.486359 # DEPENDENCYPART_ARC
(13,2),-0.96454 # DEPENDENCYPART_ARC
(13,3),-1.21168 # DEPENDENCYPART_ARC
(13,4),-1.2325 # DEPENDENCYPART_ARC
(13,5),-1.64084 # DEPENDENCYPART_ARC
(13,6),-1.22947 # DEPENDENCYPART_ARC
(13,7),-1.43161 # DEPENDENCYPART_ARC
(13,8),-0.344209 # DEPENDENCYPART_ARC
(13,9),-2.92672 # DEPENDENCYPART_ARC
(13,10),-1.13215 # DEPENDENCYPART_ARC
(13,11),1.61064 # DEPENDENCYPART_ARC
(13,12),3.28793 # DEPENDENCYPART_ARC
(13,14),2.97067 # DEPENDENCYPART_ARC
(13,15),0.708265 # DEPENDENCYPART_ARC
(13,16),2.33355 # DEPENDENCYPART_ARC
(13,17),-2.39674 # DEPENDENCYPART_ARC
(13,18),-2.88426 # DEPENDENCYPART_ARC
(13,19),0.871371 # DEPENDENCYPART_ARC
(13,20),1.68566 # DEPENDENCYPART_ARC
(13,21),-4.47272 # DEPENDENCYPART_ARC
(13,22),-0.918949 # DEPENDENCYPART_ARC
(13,23),0.997227 # DEPENDENCYPART_ARC
(13,24),0.822153 # DEPENDENCYPART_ARC
(13,25),-2.3025 # DEPENDENCYPART_ARC
(13,26),-0.52612 # DEPENDENCYPART_ARC
(13,27),-0.371193 # DEPENDENCYPART_ARC
(13,28),-0.449569 # DEPENDENCYPART_ARC
(14,1),-3.03347 # DEPENDENCYPART_ARC
(14,3),-4.10663 # DEPENDENCYPART_ARC
(14,4),-4.64156 # DEPENDENCYPART_ARC
(14,5),-3.48895 # DEPENDENCYPART_ARC
(14,6),-2.5065 # DEPENDENCYPART_ARC
(14,7),-3.37683 # DEPENDENCYPART_ARC
(14,8),-3.17122 # DEPENDENCYPART_ARC
(14,9),-2.99138 # DEPENDENCYPART_ARC
(14,10),-3.42931 # DEPENDENCYPART_ARC
(14,11),-1.35118 # DEPENDENCYPART_ARC
(14,12),-1.561 # DEPENDENCYPART_ARC
(14,15),3.70104 # DEPENDENCYPART_ARC
(14,16),-1.02514 # DEPENDENCYPART_ARC
(14,17),-2.47177 # DEPENDENCYPART_ARC
(14,18),-2.72029 # DEPENDENCYPART_ARC
(14,19),-1.60679 # DEPENDENCYPART_ARC
(14,20),-2.31408 # DEPENDENCYPART_ARC
(14,21),-1.70193 # DEPENDENCYPART_ARC
(14,22),-0.669886 # DEPENDENCYPART_ARC
(14,23),-0.845416 # DEPENDENCYPART_ARC
(14,24),-1.29733 # DEPENDENCYPART_ARC
(14,26),-6.51016 # DEPENDENCYPART_ARC
(14,27),-6.78542 # DEPENDENCYPART_ARC
(14,28),-2.5569 # DEPENDENCYPART_ARC
(15,1),-5.16601 # DEPENDENCYPART_ARC
(15,2),-3.53821 # DEPENDENCYPART_ARC
(15,3),-2.35403 # DEPENDENCYPART_ARC
(15,4),-5.82334 # DEPENDENCYPART_ARC
(15,5),-3.01856 # DEPENDENCYPART_ARC
(15,6),-3.20776 # DEPENDENCYPART_ARC
(15,7),-1.50404 # DEPENDENCYPART_ARC
(15,8),-3.08437 # DEPENDENCYPART_ARC
(15,9),-4.0819 # DEPENDENCYPART_ARC
(15,10),-3.59 # DEPENDENCYPART_ARC
(15,11),-1.60968 # DEPENDENCYPART_ARC
(15,12),-2.49537 # DEPENDENCYPART_ARC
(15,13),-1.22611 # DEPENDENCYPART_ARC
(15,14),0.384499 # DEPENDENCYPART_ARC
(15,16),2.46114 # DEPENDENCYPART_ARC
(15,17),-0.814643 # DEPENDENCYPART_ARC
(15,18),-0.93267 # DEPENDENCYPART_ARC
(15,19),-1.97411 # DEPENDENCYPART_ARC
(15,20),0.723047 # DEPENDENCYPART_ARC
(15,21),-1.85395 # DEPENDENCYPART_ARC
(15,22),-0.550747 # DEPENDENCYPART_ARC
(15,23),-0.668865 # DEPENDENCYPART_ARC
(15,24),-0.40992 # DEPENDENCYPART_ARC
(15,25),-1.39696 # DEPENDENCYPART_ARC
(15,26),-4.25347 # DEPENDENCYPART_ARC
(15,27),-3.507 # DEPENDENCYPART_ARC
(15,28),-5.34941 # DEPENDENCYPART_ARC
(16,1),-1.52432 # DEPENDENCYPART_ARC
(16,2),-2.20093 # DEPENDENCYPART_ARC
(16,3),-2.52974 # DEPENDENCYPART_ARC
(16,4),-3.04661 # DEPENDENCYPART_ARC
(16,5),-0.854984 # DEPENDENCYPART_ARC
(16,6),0.134927 # DEPENDENCYPART_ARC
(16,7),-1.98136 # DEPENDENCYPART_ARC
(16,8),-1.29931 # DEPENDENCYPART_ARC
(16,9),-1.73552 # DEPENDENCYPART_ARC
(16,10),-1.74835 # DEPENDENCYPART_ARC
(16,11),-0.203432 # DEPENDENCYPART_ARC
(16,12),-0.72917 # DEPENDENCYPART_ARC
(16,13),-0.984433 # DEPENDENCYPART_ARC
(16,14),2.95732 # DEPENDENCYPART_ARC
(16,15),3.56756 # DEPENDENCYPART_ARC
(16,17),0.919474 # DEPENDENCYPART_ARC
(16,18),0.452587 # DEPENDENCYPART_ARC
(16,19),3.24686 # DEPENDENCYPART_ARC
(16,20),-1.28392 # DEPENDENCYPART_ARC
(16,21),-0.974206 # DEPENDENCYPART_ARC
(16,22),0.640014 # DEPENDENCYPART_ARC
(16,23),0.0244927 # DEPENDENCYPART_ARC
(16,24),-1.07142 # DEPENDENCYPART_ARC
(16,25),-1.22498 # DEPENDENCYPART_ARC
(16,26),-4.52936 # DEPENDENCYPART_ARC
(16,27),-2.97012 # DEPENDENCYPART_ARC
(16,28),-2.048 # DEPENDENCYPART_ARC
(17,1),-3.02995 # DEPENDENCYPART_ARC
(17,2),-3.88759 # DEPENDENCYPART_ARC
(17,3),-2.35889 # DEPENDENCYPART_ARC
(17,4),-5.81004 # DEPENDENCYPART_ARC
(17,5),-2.90697 # DEPENDENCYPART_ARC
(17,6),-6.15658 # DEPENDENCYPART_ARC
(17,7),-2.16521 # DEPENDENCYPART_ARC
(17,8),-4.42753 # DEPENDENCYPART_ARC
(17,9),-5.8115 # DEPENDENCYPART_ARC
(17,10),-4.75039 # DEPENDENCYPART_ARC
(17,11),-1.85249 # DEPENDENCYPART_ARC
(17,13),-2.74395 # DEPENDENCYPART_ARC
(17,14),-0.860738 # DEPENDENCYPART_ARC
(17,15),-3.8981 # DEPENDENCYPART_ARC
(17,16),-0.418698 # DEPENDENCYPART_ARC
(17,18),-0.897108 # DEPENDENCYPART_ARC
(17,19),0.393026 # DEPENDENCYPART_ARC
(17,20),0.00659929 # DEPENDENCYPART_ARC
(17,21),-3.63229 # DEPENDENCYPART_ARC
(17,22),-1.28998 # DEPENDENCYPART_ARC
(17,23),-0.364107 # DEPENDENCYPART_ARC
(17,24),-0.83413 # DEPENDENCYPART_ARC
(17,25),-3.09883 # DEPENDENCYPART_ARC
(17,26),-5.18318 # DEPENDENCYPART_ARC
(17,27),-4.58494 # DEPENDENCYPART_ARC
(17,28),-2.36718 # DEPENDENCYPART_ARC
(18,1),-2.76109 # DEPENDENCYPART_ARC
(18,2),-3.46701 # DEPENDENCYPART_ARC
(18,3),-1.95021 # DEPENDENCYPART_ARC
(18,4),-5.42392 # DEPENDENCYPART_ARC
(18,5),-2.51461 # DEPENDENCYPART_ARC
(18,6),-5.81265 # DEPENDENCYPART_ARC
(18,7),-1.87036 # DEPENDENCYPART_ARC
(18,8),-3.98114 # DEPENDENCYPART_ARC
(18,9),-5.39399 # DEPENDENCYPART_ARC
(18,10),-4.53158 # DEPENDENCYPART_ARC
(18,11),-1.81012 # DEPENDENCYPART_ARC
(18,13),-2.42012 # DEPENDENCYPART_ARC
(18,14),-0.58909 # DEPENDENCYPART_ARC
(18,15),-3.93234 # DEPENDENCYPART_ARC
(18,16),-0.236728 # DEPENDENCYPART_ARC
(18,17),-1.42792 # DEPENDENCYPART_ARC
(18,19),0.274552 # DEPENDENCYPART_ARC
(18,20),0.205053 # DEPENDENCYPART_ARC
(18,21),-3.63274 # DEPENDENCYPART_ARC
(18,22),-1.87799 # DEPENDENCYPART_ARC
(18,23),-0.846612 # DEPENDENCYPART_ARC
(18,24),-0.969224 # DEPENDENCYPART_ARC
(18,25),-3.35735 # DEPENDENCYPART_ARC
(18,26),-5.73893 # DEPENDENCYPART_ARC
