# _root_ Rozdíl je v tom , že je ve vyhlášce přesně limitováno , co může být soutěžícím poskytnuto .
#goldHeads=2,0,2,3,6,4,6,7,8,11,7,14,14,7,17,17,14,0,
#predictedHeads=2,0,2,3,6,4,6,7,8,11,7,11,17,12,17,15,14,0,
(3,1),-2.66326 # DEPENDENCYPART_ARC
(3,2),-1.89192 # DEPENDENCYPART_ARC
(3,4),3.25567 # DEPENDENCYPART_ARC
(3,5),-0.169288 # DEPENDENCYPART_ARC
(3,6),-1.31021 # DEPENDENCYPART_ARC
(3,7),-0.838289 # DEPENDENCYPART_ARC
(3,8),-1.77485 # DEPENDENCYPART_ARC
(3,9),0.822122 # DEPENDENCYPART_ARC
(3,10),-2.14759 # DEPENDENCYPART_ARC
(3,12),-2.54072 # DEPENDENCYPART_ARC
(3,13),-2.28558 # DEPENDENCYPART_ARC
(3,14),-2.15146 # DEPENDENCYPART_ARC
(3,16),-3.1605 # DEPENDENCYPART_ARC
(3,18),-4.2423 # DEPENDENCYPART_ARC
(4,1),-0.772343 # DEPENDENCYPART_ARC
(4,2),-0.19885 # DEPENDENCYPART_ARC
(4,3),0.0950186 # DEPENDENCYPART_ARC
(4,5),0.0675576 # DEPENDENCYPART_ARC
(4,6),2.46807 # DEPENDENCYPART_ARC
(4,7),-0.470647 # DEPENDENCYPART_ARC
(4,9),-0.617309 # DEPENDENCYPART_ARC
(4,10),-0.676131 # DEPENDENCYPART_ARC
(4,11),-0.0305903 # DEPENDENCYPART_ARC
(4,12),0.271204 # DEPENDENCYPART_ARC
(4,13),-1.6389 # DEPENDENCYPART_ARC
(4,14),-2.1037 # DEPENDENCYPART_ARC
(4,15),-3.16541 # DEPENDENCYPART_ARC
(4,17),-3.01366 # DEPENDENCYPART_ARC
(4,18),-0.578931 # DEPENDENCYPART_ARC
(5,1),-1.38675 # DEPENDENCYPART_ARC
(5,2),-0.313597 # DEPENDENCYPART_ARC
(5,3),-0.616082 # DEPENDENCYPART_ARC
(5,4),0.214322 # DEPENDENCYPART_ARC
(5,6),0.145416 # DEPENDENCYPART_ARC
(5,7),-0.378136 # DEPENDENCYPART_ARC
(5,8),-1.16071 # DEPENDENCYPART_ARC
(5,9),-1.83618 # DEPENDENCYPART_ARC
(5,10),-1.12661 # DEPENDENCYPART_ARC
(5,11),-0.965273 # DEPENDENCYPART_ARC
(5,12),-0.81839 # DEPENDENCYPART_ARC
(5,13),-1.65487 # DEPENDENCYPART_ARC
(5,14),-1.06672 # DEPENDENCYPART_ARC
(5,15),-1.93799 # DEPENDENCYPART_ARC
(5,16),-3.01937 # DEPENDENCYPART_ARC
(5,17),-2.9112 # DEPENDENCYPART_ARC
(5,18),-0.647085 # DEPENDENCYPART_ARC
(6,1),-0.0678343 # DEPENDENCYPART_ARC
(6,2),-0.571063 # DEPENDENCYPART_ARC
(6,3),-0.80196 # DEPENDENCYPART_ARC
(6,4),-0.372181 # DEPENDENCYPART_ARC
(6,5),2.46301 # DEPENDENCYPART_ARC
(6,7),2.50873 # DEPENDENCYPART_ARC
(6,8),-1.11663 # DEPENDENCYPART_ARC
(6,9),-2.30908 # DEPENDENCYPART_ARC
(6,10),-1.1233 # DEPENDENCYPART_ARC
(6,11),0.987838 # DEPENDENCYPART_ARC
(6,12),0.420835 # DEPENDENCYPART_ARC
(6,13),-2.5654 # DEPENDENCYPART_ARC
(6,14),-0.318092 # DEPENDENCYPART_ARC
(6,15),-1.40815 # DEPENDENCYPART_ARC
(6,16),-3.34156 # DEPENDENCYPART_ARC
(6,17),-1.82605 # DEPENDENCYPART_ARC
(6,18),-1.44182 # DEPENDENCYPART_ARC
(7,1),0.992224 # DEPENDENCYPART_ARC
(7,2),-2.96239 # DEPENDENCYPART_ARC
(7,3),-1.11489 # DEPENDENCYPART_ARC
(7,4),-3.32458 # DEPENDENCYPART_ARC
(7,5),-0.397068 # DEPENDENCYPART_ARC
(7,6),-0.849502 # DEPENDENCYPART_ARC
(7,8),2.28422 # DEPENDENCYPART_ARC
(7,9),0.509648 # DEPENDENCYPART_ARC
(7,10),0.883081 # DEPENDENCYPART_ARC
(7,11),2.36598 # DEPENDENCYPART_ARC
(7,12),-0.14443 # DEPENDENCYPART_ARC
(7,13),-1.55056 # DEPENDENCYPART_ARC
(7,14),-2.03234 # DEPENDENCYPART_ARC
(7,15),-0.927145 # DEPENDENCYPART_ARC
(7,16),-2.07266 # DEPENDENCYPART_ARC
(7,17),-1.24635 # DEPENDENCYPART_ARC
(7,18),-0.62529 # DEPENDENCYPART_ARC
(8,1),-4.61017 # DEPENDENCYPART_ARC
(8,3),-2.76214 # DEPENDENCYPART_ARC
(8,4),-2.20746 # DEPENDENCYPART_ARC
(8,5),-1.21405 # DEPENDENCYPART_ARC
(8,9),4.175 # DEPENDENCYPART_ARC
(8,10),-1.05005 # DEPENDENCYPART_ARC
(8,12),-1.07234 # DEPENDENCYPART_ARC
(8,18),-3.00677 # DEPENDENCYPART_ARC
(9,1),-5.89517 # DEPENDENCYPART_ARC
(9,2),-2.84043 # DEPENDENCYPART_ARC
(9,3),-1.47182 # DEPENDENCYPART_ARC
(9,4),-0.552521 # DEPENDENCYPART_ARC
(9,5),-1.45709 # DEPENDENCYPART_ARC
(9,6),-2.03626 # DEPENDENCYPART_ARC
(9,7),-1.29631 # DEPENDENCYPART_ARC
(9,8),1.09415 # DEPENDENCYPART_ARC
(9,10),-0.230602 # DEPENDENCYPART_ARC
(9,11),-0.571079 # DEPENDENCYPART_ARC
(9,12),-0.969202 # DEPENDENCYPART_ARC
(9,13),-2.9674 # DEPENDENCYPART_ARC
(9,14),-2.18931 # DEPENDENCYPART_ARC
(9,15),-1.94587 # DEPENDENCYPART_ARC
(9,16),-3.62062 # DEPENDENCYPART_ARC
(9,17),-4.42075 # DEPENDENCYPART_ARC
(9,18),-2.44649 # DEPENDENCYPART_ARC
(10,1),-3.13738 # DEPENDENCYPART_ARC
(10,2),-2.00785 # DEPENDENCYPART_ARC
(10,3),-1.93613 # DEPENDENCYPART_ARC
(10,4),-1.09278 # DEPENDENCYPART_ARC
(10,5),-1.14012 # DEPENDENCYPART_ARC
(10,6),-0.846452 # DEPENDENCYPART_ARC
(10,7),-1.08012 # DEPENDENCYPART_ARC
(10,8),-0.542442 # DEPENDENCYPART_ARC
(10,9),-1.36849 # DEPENDENCYPART_ARC
(10,12),-1.24516 # DEPENDENCYPART_ARC
(10,13),-1.264 # DEPENDENCYPART_ARC
(10,14),-2.03573 # DEPENDENCYPART_ARC
(10,15),-1.77555 # DEPENDENCYPART_ARC
(10,18),-1.41132 # DEPENDENCYPART_ARC
(11,1),1.52959 # DEPENDENCYPART_ARC
(11,2),-1.45828 # DEPENDENCYPART_ARC
(11,3),0.640992 # DEPENDENCYPART_ARC
(11,4),-2.51223 # DEPENDENCYPART_ARC
(11,5),0.499403 # DEPENDENCYPART_ARC
(11,6),-0.0483809 # DEPENDENCYPART_ARC
(11,7),1.43819 # DEPENDENCYPART_ARC
(11,8),2.23427 # DEPENDENCYPART_ARC
(11,9),0.428118 # DEPENDENCYPART_ARC
(11,10),3.61086 # DEPENDENCYPART_ARC
(11,12),0.575733 # DEPENDENCYPART_ARC
(11,13),-1.18955 # DEPENDENCYPART_ARC
(11,14),-1.36013 # DEPENDENCYPART_ARC
(11,15),0.351148 # DEPENDENCYPART_ARC
(11,18),-1.02142 # DEPENDENCYPART_ARC
(12,1),-1.73703 # DEPENDENCYPART_ARC
(12,2),0.197464 # DEPENDENCYPART_ARC
(12,3),-0.696834 # DEPENDENCYPART_ARC
(12,4),-0.262309 # DEPENDENCYPART_ARC
(12,5),0.221749 # DEPENDENCYPART_ARC
(12,6),-0.176555 # DEPENDENCYPART_ARC
(12,7),0.700742 # DEPENDENCYPART_ARC
(12,8),0.0235196 # DEPENDENCYPART_ARC
(12,9),0.435778 # DEPENDENCYPART_ARC
(12,10),0.130455 # DEPENDENCYPART_ARC
(12,11),0.942716 # DEPENDENCYPART_ARC
(12,13),0.241964 # DEPENDENCYPART_ARC
(12,14),0.785199 # DEPENDENCYPART_ARC
(12,15),0.199915 # DEPENDENCYPART_ARC
(12,16),-1.0856 # DEPENDENCYPART_ARC
(12,17),-0.815119 # DEPENDENCYPART_ARC
(12,18),0.0277739 # DEPENDENCYPART_ARC
(13,1),-2.3919 # DEPENDENCYPART_ARC
(13,3),-1.65802 # DEPENDENCYPART_ARC
(13,5),-1.74328 # DEPENDENCYPART_ARC
(13,8),-0.743598 # DEPENDENCYPART_ARC
(13,9),-0.608033 # DEPENDENCYPART_ARC
(13,10),-0.232782 # DEPENDENCYPART_ARC
(13,12),0.0513511 # DEPENDENCYPART_ARC
(13,18),-0.923246 # DEPENDENCYPART_ARC
(14,1),0.948684 # DEPENDENCYPART_ARC
(14,2),-4.12725 # DEPENDENCYPART_ARC
(14,3),-1.19263 # DEPENDENCYPART_ARC
(14,4),-4.96714 # DEPENDENCYPART_ARC
(14,5),-1.22015 # DEPENDENCYPART_ARC
(14,6),-0.875908 # DEPENDENCYPART_ARC
(14,7),-1.58855 # DEPENDENCYPART_ARC
(14,8),-0.138831 # DEPENDENCYPART_ARC
(14,9),-1.12256 # DEPENDENCYPART_ARC
(14,10),0.516118 # DEPENDENCYPART_ARC
(14,11),-0.662961 # DEPENDENCYPART_ARC
(14,12),1.63466 # DEPENDENCYPART_ARC
(14,13),2.69154 # DEPENDENCYPART_ARC
(14,15),3.37217 # DEPENDENCYPART_ARC
(14,16),-1.48957 # DEPENDENCYPART_ARC
(14,17),2.18796 # DEPENDENCYPART_ARC
(14,18),0.257314 # DEPENDENCYPART_ARC
(15,1),0.122263 # DEPENDENCYPART_ARC
(15,2),-6.19447 # DEPENDENCYPART_ARC
(15,3),-2.61816 # DEPENDENCYPART_ARC
(15,4),-3.77094 # DEPENDENCYPART_ARC
(15,5),-2.59536 # DEPENDENCYPART_ARC
(15,6),-2.10957 # DEPENDENCYPART_ARC
(15,7),-3.39538 # DEPENDENCYPART_ARC
(15,8),-1.39466 # DEPENDENCYPART_ARC
(15,9),-1.21289 # DEPENDENCYPART_ARC
(15,10),-0.430666 # DEPENDENCYPART_ARC
(15,11),-2.09541 # DEPENDENCYPART_ARC
(15,12),0.263196 # DEPENDENCYPART_ARC
(15,13),1.2744 # DEPENDENCYPART_ARC
(15,14),-0.698327 # DEPENDENCYPART_ARC
(15,16),2.88828 # DEPENDENCYPART_ARC
(15,17),1.71227 # DEPENDENCYPART_ARC
(15,18),-0.460786 # DEPENDENCYPART_ARC
(16,1),-6.44416 # DEPENDENCYPART_ARC
(16,2),-3.13398 # DEPENDENCYPART_ARC
(16,3),-2.54194 # DEPENDENCYPART_ARC
(16,5),-3.03447 # DEPENDENCYPART_ARC
(16,6),-2.06821 # DEPENDENCYPART_ARC
(16,7),-2.46786 # DEPENDENCYPART_ARC
(16,8),-1.10511 # DEPENDENCYPART_ARC
(16,9),-4.27968 # DEPENDENCYPART_ARC
(16,10),-1.0288 # DEPENDENCYPART_ARC
(16,11),-2.70471 # DEPENDENCYPART_ARC
(16,12),-1.22341 # DEPENDENCYPART_ARC
(16,14),-0.98122 # DEPENDENCYPART_ARC
(16,15),0.300847 # DEPENDENCYPART_ARC
(16,17),1.31446 # DEPENDENCYPART_ARC
(16,18),-0.210985 # DEPENDENCYPART_ARC
(17,1),1.24838 # DEPENDENCYPART_ARC
(17,2),-3.11515 # DEPENDENCYPART_ARC
(17,3),0.0998939 # DEPENDENCYPART_ARC
(17,4),-3.81089 # DEPENDENCYPART_ARC
(17,5),-1.06206 # DEPENDENCYPART_ARC
(17,6),-0.770876 # DEPENDENCYPART_ARC
(17,7),-0.8417 # DEPENDENCYPART_ARC
(17,8),0.959184 # DEPENDENCYPART_ARC
(17,9),-0.860852 # DEPENDENCYPART_ARC
(17,10),1.0568 # DEPENDENCYPART_ARC
(17,12),1.18634 # DEPENDENCYPART_ARC
(17,13),2.74994 # DEPENDENCYPART_ARC
(17,14),0.494632 # DEPENDENCYPART_ARC
(17,15),3.94011 # DEPENDENCYPART_ARC
(17,18),0.050854 # DEPENDENCYPART_ARC
(18,1),-7.04576 # DEPENDENCYPART_ARC
(18,2),-5.53235 # DEPENDENCYPART_ARC
(18,3),-4.66343 # DEPENDENCYPART_ARC
(18,4),-3.85828 # DEPENDENCYPART_ARC
(18,5),-4.72542 # DEPENDENCYPART_ARC
(18,6),-4.02091 # DEPENDENCYPART_ARC
(18,7),-4.85734 # DEPENDENCYPART_ARC
(18,8),-3.82598 # DEPENDENCYPART_ARC
(18,9),-4.57756 # DEPENDENCYPART_ARC
(18,10),-3.66366 # DEPENDENCYPART_ARC
(18,11),-4.51608 # DEPENDENCYPART_ARC
(18,12),-2.66148 # DEPENDENCYPART_ARC
(18,13),-2.35434 # DEPENDENCYPART_ARC
(18,14),-4.03145 # DEPENDENCYPART_ARC
(18,15),-3.64012 # DEPENDENCYPART_ARC
(18,16),-2.83656 # DEPENDENCYPART_ARC
(18,17),-3.63929 # DEPENDENCYPART_ARC
