# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,4,7,12,12,12,4,12,13,14,22,22,22,22,21,19,15,22,23,24,0,
(3,11),-1.97166 # DEPENDENCYPART_ARC
(3,12),-3.87224 # DEPENDENCYPART_ARC
(3,13),-1.53323 # DEPENDENCYPART_ARC
(3,14),-3.22233 # DEPENDENCYPART_ARC
(3,15),-3.84935 # DEPENDENCYPART_ARC
(3,16),-1.21296 # DEPENDENCYPART_ARC
(3,17),-4.86606 # DEPENDENCYPART_ARC
(3,18),-3.08666 # DEPENDENCYPART_ARC
(3,19),-2.09306 # DEPENDENCYPART_ARC
(3,20),-3.97987 # DEPENDENCYPART_ARC
(3,21),-3.92625 # DEPENDENCYPART_ARC
(3,22),-3.75974 # DEPENDENCYPART_ARC
(3,23),-2.74605 # DEPENDENCYPART_ARC
(3,24),-5.02499 # DEPENDENCYPART_ARC
(3,25),-5.54703 # DEPENDENCYPART_ARC
(3,26),-2.04616 # DEPENDENCYPART_ARC
(4,1),2.01535 # DEPENDENCYPART_ARC
(4,2),0.677381 # DEPENDENCYPART_ARC
(4,3),4.76289 # DEPENDENCYPART_ARC
(4,5),2.82285 # DEPENDENCYPART_ARC
(4,6),1.80551 # DEPENDENCYPART_ARC
(4,7),1.8599 # DEPENDENCYPART_ARC
(4,8),-1.09757 # DEPENDENCYPART_ARC
(4,9),0.257029 # DEPENDENCYPART_ARC
(4,10),-0.224649 # DEPENDENCYPART_ARC
(4,11),0.0461687 # DEPENDENCYPART_ARC
(4,12),-0.584209 # DEPENDENCYPART_ARC
(4,13),0.410971 # DEPENDENCYPART_ARC
(4,14),-1.43413 # DEPENDENCYPART_ARC
(4,15),-2.36812 # DEPENDENCYPART_ARC
(4,16),-0.187668 # DEPENDENCYPART_ARC
(4,17),-3.47167 # DEPENDENCYPART_ARC
(4,18),-0.939402 # DEPENDENCYPART_ARC
(4,19),-0.955952 # DEPENDENCYPART_ARC
(4,20),-1.81871 # DEPENDENCYPART_ARC
(4,21),-2.35631 # DEPENDENCYPART_ARC
(4,22),-1.46085 # DEPENDENCYPART_ARC
(4,23),-1.3535 # DEPENDENCYPART_ARC
(4,24),-4.19488 # DEPENDENCYPART_ARC
(4,25),-3.75269 # DEPENDENCYPART_ARC
(4,26),-1.4011 # DEPENDENCYPART_ARC
(5,1),-1.35944 # DEPENDENCYPART_ARC
(5,2),-2.37064 # DEPENDENCYPART_ARC
(5,3),-1.97649 # DEPENDENCYPART_ARC
(5,6),4.25691 # DEPENDENCYPART_ARC
(5,7),-0.493033 # DEPENDENCYPART_ARC
(5,8),-1.25706 # DEPENDENCYPART_ARC
(5,9),-0.351883 # DEPENDENCYPART_ARC
(5,10),-0.17394 # DEPENDENCYPART_ARC
(5,12),-1.83024 # DEPENDENCYPART_ARC
(5,13),-1.83747 # DEPENDENCYPART_ARC
(5,14),-2.31357 # DEPENDENCYPART_ARC
(5,15),-7.904 # DEPENDENCYPART_ARC
(5,16),-1.61422 # DEPENDENCYPART_ARC
(5,17),-4.98308 # DEPENDENCYPART_ARC
(5,18),-3.43918 # DEPENDENCYPART_ARC
(5,19),-2.50217 # DEPENDENCYPART_ARC
(5,20),-2.97744 # DEPENDENCYPART_ARC
(5,21),-6.86982 # DEPENDENCYPART_ARC
(5,22),-2.76479 # DEPENDENCYPART_ARC
(5,23),-3.04159 # DEPENDENCYPART_ARC
(5,24),-9.36344 # DEPENDENCYPART_ARC
(5,25),-11.8768 # DEPENDENCYPART_ARC
(5,26),-3.04906 # DEPENDENCYPART_ARC
(6,1),-1.25823 # DEPENDENCYPART_ARC
(6,2),-5.12856 # DEPENDENCYPART_ARC
(6,3),-2.95674 # DEPENDENCYPART_ARC
(6,4),-0.759537 # DEPENDENCYPART_ARC
(6,5),0.426021 # DEPENDENCYPART_ARC
(6,7),1.64285 # DEPENDENCYPART_ARC
(6,8),-0.00534573 # DEPENDENCYPART_ARC
(6,9),-0.674274 # DEPENDENCYPART_ARC
(6,10),-0.373579 # DEPENDENCYPART_ARC
(6,11),-2.10392 # DEPENDENCYPART_ARC
(6,12),-0.780865 # DEPENDENCYPART_ARC
(6,13),-1.50559 # DEPENDENCYPART_ARC
(6,14),-3.92846 # DEPENDENCYPART_ARC
(6,15),-3.33669 # DEPENDENCYPART_ARC
(6,16),-1.07547 # DEPENDENCYPART_ARC
(6,17),-4.60209 # DEPENDENCYPART_ARC
(6,18),-3.77986 # DEPENDENCYPART_ARC
(6,19),-1.80145 # DEPENDENCYPART_ARC
(6,20),-3.81503 # DEPENDENCYPART_ARC
(6,21),-4.11055 # DEPENDENCYPART_ARC
(6,22),-1.11797 # DEPENDENCYPART_ARC
(6,23),-3.54295 # DEPENDENCYPART_ARC
(6,24),-5.7836 # DEPENDENCYPART_ARC
(6,25),-5.33425 # DEPENDENCYPART_ARC
(6,26),-7.82138 # DEPENDENCYPART_ARC
(7,1),-1.87034 # DEPENDENCYPART_ARC
(7,2),-1.54894 # DEPENDENCYPART_ARC
(7,3),-1.71613 # DEPENDENCYPART_ARC
(7,5),0.637913 # DEPENDENCYPART_ARC
(7,6),2.34131 # DEPENDENCYPART_ARC
(7,8),3.81303 # DEPENDENCYPART_ARC
(7,9),-0.0367314 # DEPENDENCYPART_ARC
(7,10),-0.0821952 # DEPENDENCYPART_ARC
(7,12),-1.43733 # DEPENDENCYPART_ARC
(7,13),-1.85002 # DEPENDENCYPART_ARC
(7,14),-3.88515 # DEPENDENCYPART_ARC
(7,15),-6.02731 # DEPENDENCYPART_ARC
(7,16),-1.28196 # DEPENDENCYPART_ARC
(7,17),-4.66368 # DEPENDENCYPART_ARC
(7,18),-4.89475 # DEPENDENCYPART_ARC
(7,19),-2.45304 # DEPENDENCYPART_ARC
(7,20),-2.94008 # DEPENDENCYPART_ARC
(7,21),-5.39664 # DEPENDENCYPART_ARC
(7,22),-3.01339 # DEPENDENCYPART_ARC
(7,23),-2.93858 # DEPENDENCYPART_ARC
(7,24),-8.67215 # DEPENDENCYPART_ARC
(7,25),-10.5496 # DEPENDENCYPART_ARC
(7,26),-3.36414 # DEPENDENCYPART_ARC
(8,1),-2.82144 # DEPENDENCYPART_ARC
(8,2),-4.14633 # DEPENDENCYPART_ARC
(8,3),-3.22127 # DEPENDENCYPART_ARC
(8,4),-1.19589 # DEPENDENCYPART_ARC
(8,5),-0.927588 # DEPENDENCYPART_ARC
(8,6),-2.00663 # DEPENDENCYPART_ARC
(8,7),-0.431105 # DEPENDENCYPART_ARC
(8,9),-0.52243 # DEPENDENCYPART_ARC
(8,10),-0.185869 # DEPENDENCYPART_ARC
(8,11),-0.946205 # DEPENDENCYPART_ARC
(8,12),-0.769043 # DEPENDENCYPART_ARC
(8,13),-3.12112 # DEPENDENCYPART_ARC
(8,14),-5.43188 # DEPENDENCYPART_ARC
(8,15),-2.36745 # DEPENDENCYPART_ARC
(8,16),-0.651115 # DEPENDENCYPART_ARC
(8,17),-3.19969 # DEPENDENCYPART_ARC
(8,18),-3.25088 # DEPENDENCYPART_ARC
(8,19),-2.70269 # DEPENDENCYPART_ARC
(8,20),-3.09964 # DEPENDENCYPART_ARC
(8,21),-4.26017 # DEPENDENCYPART_ARC
(8,22),-1.10856 # DEPENDENCYPART_ARC
(8,23),-4.12047 # DEPENDENCYPART_ARC
(8,24),-6.38276 # DEPENDENCYPART_ARC
(8,25),-5.85599 # DEPENDENCYPART_ARC
(8,26),-6.63343 # DEPENDENCYPART_ARC
(9,1),-1.11326 # DEPENDENCYPART_ARC
(9,2),-0.984215 # DEPENDENCYPART_ARC
(9,3),-0.486113 # DEPENDENCYPART_ARC
(9,4),-0.589799 # DEPENDENCYPART_ARC
(9,5),-0.226297 # DEPENDENCYPART_ARC
(9,6),0.43456 # DEPENDENCYPART_ARC
(9,7),-0.806575 # DEPENDENCYPART_ARC
(9,8),0.438882 # DEPENDENCYPART_ARC
(9,10),-0.697089 # DEPENDENCYPART_ARC
(9,11),-0.587469 # DEPENDENCYPART_ARC
(9,12),0.0670898 # DEPENDENCYPART_ARC
(9,13),-0.907447 # DEPENDENCYPART_ARC
(9,14),-1.53179 # DEPENDENCYPART_ARC
(9,15),-1.23878 # DEPENDENCYPART_ARC
(9,16),-0.501915 # DEPENDENCYPART_ARC
(9,17),-1.75238 # DEPENDENCYPART_ARC
(9,18),-1.63026 # DEPENDENCYPART_ARC
(9,19),-1.58585 # DEPENDENCYPART_ARC
(9,20),-1.70756 # DEPENDENCYPART_ARC
(9,21),-2.70673 # DEPENDENCYPART_ARC
(9,22),-1.15625 # DEPENDENCYPART_ARC
(9,23),-2.66628 # DEPENDENCYPART_ARC
(9,24),-3.75802 # DEPENDENCYPART_ARC
(9,25),-3.28328 # DEPENDENCYPART_ARC
(9,26),-1.47418 # DEPENDENCYPART_ARC
(10,1),-1.93563 # DEPENDENCYPART_ARC
(10,2),-1.40572 # DEPENDENCYPART_ARC
(10,3),-1.18519 # DEPENDENCYPART_ARC
(10,4),-0.990398 # DEPENDENCYPART_ARC
(10,5),-1.01606 # DEPENDENCYPART_ARC
(10,6),-0.55044 # DEPENDENCYPART_ARC
(10,7),-0.406533 # DEPENDENCYPART_ARC
(10,8),0.148981 # DEPENDENCYPART_ARC
(10,9),-0.372581 # DEPENDENCYPART_ARC
(10,12),-0.167369 # DEPENDENCYPART_ARC
(10,13),-0.62081 # DEPENDENCYPART_ARC
(10,14),-1.23719 # DEPENDENCYPART_ARC
(10,15),-1.32023 # DEPENDENCYPART_ARC
(10,16),-0.715586 # DEPENDENCYPART_ARC
(10,17),-1.59397 # DEPENDENCYPART_ARC
(10,18),-1.75867 # DEPENDENCYPART_ARC
(10,19),-1.19053 # DEPENDENCYPART_ARC
(10,20),-1.38172 # DEPENDENCYPART_ARC
(10,21),-2.85365 # DEPENDENCYPART_ARC
(10,22),-1.18738 # DEPENDENCYPART_ARC
(10,23),-1.74927 # DEPENDENCYPART_ARC
(10,24),-3.51613 # DEPENDENCYPART_ARC
(10,25),-3.50732 # DEPENDENCYPART_ARC
(10,26),-2.57493 # DEPENDENCYPART_ARC
(12,1),0.386471 # DEPENDENCYPART_ARC
(12,2),-1.39792 # DEPENDENCYPART_ARC
(12,3),-1.79485 # DEPENDENCYPART_ARC
(12,4),-0.786509 # DEPENDENCYPART_ARC
(12,5),-0.183941 # DEPENDENCYPART_ARC
(12,6),-0.187973 # DEPENDENCYPART_ARC
(12,7),-0.159181 # DEPENDENCYPART_ARC
(12,8),-2.38366 # DEPENDENCYPART_ARC
(12,9),1.47485 # DEPENDENCYPART_ARC
(12,10),2.61225 # DEPENDENCYPART_ARC
(12,11),3.31442 # DEPENDENCYPART_ARC
(12,13),2.30846 # DEPENDENCYPART_ARC
(12,14),1.11876 # DEPENDENCYPART_ARC
(12,15),1.1676 # DEPENDENCYPART_ARC
(12,16),1.09402 # DEPENDENCYPART_ARC
(12,17),-1.42663 # DEPENDENCYPART_ARC
(12,18),-0.413379 # DEPENDENCYPART_ARC
(12,19),0.473366 # DEPENDENCYPART_ARC
(12,20),-1.94132 # DEPENDENCYPART_ARC
(12,21),-0.763323 # DEPENDENCYPART_ARC
(12,22),-0.986681 # DEPENDENCYPART_ARC
(12,23),-0.149478 # DEPENDENCYPART_ARC
(12,24),-2.91988 # DEPENDENCYPART_ARC
(12,25),-2.14349 # DEPENDENCYPART_ARC
(12,26),-0.712012 # DEPENDENCYPART_ARC
(13,1),-3.08061 # DEPENDENCYPART_ARC
(13,2),-3.98566 # DEPENDENCYPART_ARC
(13,3),-3.64043 # DEPENDENCYPART_ARC
(13,5),-2.2119 # DEPENDENCYPART_ARC
(13,6),-2.07371 # DEPENDENCYPART_ARC
(13,7),-1.86174 # DEPENDENCYPART_ARC
(13,8),-2.65525 # DEPENDENCYPART_ARC
(13,9),-0.70862 # DEPENDENCYPART_ARC
(13,10),-1.61362 # DEPENDENCYPART_ARC
(13,12),-1.78829 # DEPENDENCYPART_ARC
(13,14),3.97934 # DEPENDENCYPART_ARC
(13,15),-2.15491 # DEPENDENCYPART_ARC
(13,16),-0.0291666 # DEPENDENCYPART_ARC
(13,17),-3.06303 # DEPENDENCYPART_ARC
(13,18),-1.62861 # DEPENDENCYPART_ARC
(13,19),-1.81922 # DEPENDENCYPART_ARC
(13,20),-1.53022 # DEPENDENCYPART_ARC
(13,21),-2.93701 # DEPENDENCYPART_ARC
(13,22),-2.12726 # DEPENDENCYPART_ARC
(13,23),-2.34425 # DEPENDENCYPART_ARC
(13,24),-5.26864 # DEPENDENCYPART_ARC
(13,25),-7.55164 # DEPENDENCYPART_ARC
(13,26),-2.07345 # DEPENDENCYPART_ARC
(14,1),-2.75583 # DEPENDENCYPART_ARC
(14,2),-7.90209 # DEPENDENCYPART_ARC
(14,3),-4.06524 # DEPENDENCYPART_ARC
(14,4),-2.21513 # DEPENDENCYPART_ARC
(14,5),-0.563745 # DEPENDENCYPART_ARC
(14,6),-3.47823 # DEPENDENCYPART_ARC
(14,7),-1.11352 # DEPENDENCYPART_ARC
(14,8),-2.53295 # DEPENDENCYPART_ARC
(14,9),-1.33884 # DEPENDENCYPART_ARC
(14,10),-0.965872 # DEPENDENCYPART_ARC
(14,11),-3.37838 # DEPENDENCYPART_ARC
(14,12),-1.92667 # DEPENDENCYPART_ARC
(14,13),1.57654 # DEPENDENCYPART_ARC
(14,15),2.26214 # DEPENDENCYPART_ARC
(14,16),-0.265228 # DEPENDENCYPART_ARC
(14,17),-2.72394 # DEPENDENCYPART_ARC
(14,18),-1.95817 # DEPENDENCYPART_ARC
(14,19),-0.53418 # DEPENDENCYPART_ARC
(14,20),-1.82225 # DEPENDENCYPART_ARC
(14,21),-0.967698 # DEPENDENCYPART_ARC
(14,22),0.633966 # DEPENDENCYPART_ARC
(14,23),-1.46066 # DEPENDENCYPART_ARC
(14,24),-2.85128 # DEPENDENCYPART_ARC
(14,25),-1.77263 # DEPENDENCYPART_ARC
(14,26),-4.23824 # DEPENDENCYPART_ARC
(15,1),-3.97147 # DEPENDENCYPART_ARC
(15,2),-7.04859 # DEPENDENCYPART_ARC
(15,3),-4.24258 # DEPENDENCYPART_ARC
(15,4),-1.98472 # DEPENDENCYPART_ARC
(15,5),-0.719754 # DEPENDENCYPART_ARC
(15,6),-5.82708 # DEPENDENCYPART_ARC
(15,7),-1.86128 # DEPENDENCYPART_ARC
(15,8),-1.87041 # DEPENDENCYPART_ARC
(15,9),-1.27146 # DEPENDENCYPART_ARC
(15,10),-1.1113 # DEPENDENCYPART_ARC
(15,11),-4.30273 # DEPENDENCYPART_ARC
(15,12),-2.1855 # DEPENDENCYPART_ARC
(15,13),0.560054 # DEPENDENCYPART_ARC
(15,14),-0.99831 # DEPENDENCYPART_ARC
(15,16),-0.57877 # DEPENDENCYPART_ARC
(15,17),-0.946601 # DEPENDENCYPART_ARC
(15,18),-3.16187 # DEPENDENCYPART_ARC
(15,19),-1.38614 # DEPENDENCYPART_ARC
(15,20),-1.82507 # DEPENDENCYPART_ARC
(15,21),-1.86522 # DEPENDENCYPART_ARC
(15,22),1.03691 # DEPENDENCYPART_ARC
(15,23),-2.13723 # DEPENDENCYPART_ARC
(15,24),-3.562 # DEPENDENCYPART_ARC
(15,25),-3.52016 # DEPENDENCYPART_ARC
(15,26),-3.85079 # DEPENDENCYPART_ARC
(16,1),-2.45127 # DEPENDENCYPART_ARC
(16,2),-2.95674 # DEPENDENCYPART_ARC
(16,3),-1.47439 # DEPENDENCYPART_ARC
(16,4),-1.46948 # DEPENDENCYPART_ARC
(16,5),-1.64002 # DEPENDENCYPART_ARC
(16,6),-1.54592 # DEPENDENCYPART_ARC
(16,7),-2.09482 # DEPENDENCYPART_ARC
(16,8),-1.40413 # DEPENDENCYPART_ARC
(16,9),-1.05517 # DEPENDENCYPART_ARC
(16,10),-1.95106 # DEPENDENCYPART_ARC
(16,11),-1.91331 # DEPENDENCYPART_ARC
(16,12),-0.7089 # DEPENDENCYPART_ARC
(16,13),-1.18784 # DEPENDENCYPART_ARC
(16,14),-0.687487 # DEPENDENCYPART_ARC
(16,15),-1.17034 # DEPENDENCYPART_ARC
(16,17),-1.00355 # DEPENDENCYPART_ARC
(16,18),-1.20706 # DEPENDENCYPART_ARC
(16,19),-1.43165 # DEPENDENCYPART_ARC
(16,20),-1.33928 # DEPENDENCYPART_ARC
(16,21),-1.54568 # DEPENDENCYPART_ARC
(16,22),-0.26126 # DEPENDENCYPART_ARC
(16,23),-1.97341 # DEPENDENCYPART_ARC
(16,24),-2.79904 # DEPENDENCYPART_ARC
(16,25),-2.27945 # DEPENDENCYPART_ARC
(16,26),-1.46831 # DEPENDENCYPART_ARC
(17,1),-2.17165 # DEPENDENCYPART_ARC
(17,2),-4.2641 # DEPENDENCYPART_ARC
(17,3),-2.73146 # DEPENDENCYPART_ARC
(17,5),-1.12551 # DEPENDENCYPART_ARC
(17,6),-3.75964 # DEPENDENCYPART_ARC
(17,7),-1.19059 # DEPENDENCYPART_ARC
(17,8),-3.46549 # DEPENDENCYPART_ARC
(17,9),-1.57232 # DEPENDENCYPART_ARC
(17,10),-1.12803 # DEPENDENCYPART_ARC
(17,12),-1.57066 # DEPENDENCYPART_ARC
(17,13),-0.595664 # DEPENDENCYPART_ARC
(17,14),-2.52935 # DEPENDENCYPART_ARC
(17,15),-1.80457 # DEPENDENCYPART_ARC
(17,16),-0.366335 # DEPENDENCYPART_ARC
(17,19),-0.473086 # DEPENDENCYPART_ARC
(17,21),-1.11412 # DEPENDENCYPART_ARC
(17,22),-1.05409 # DEPENDENCYPART_ARC
(17,23),-1.11905 # DEPENDENCYPART_ARC
(17,24),-1.24156 # DEPENDENCYPART_ARC
(17,25),-2.00489 # DEPENDENCYPART_ARC
(17,26),-1.07934 # DEPENDENCYPART_ARC
(18,1),-1.41758 # DEPENDENCYPART_ARC
(18,2),-1.89067 # DEPENDENCYPART_ARC
(18,3),-2.85319 # DEPENDENCYPART_ARC
(18,4),-0.850093 # DEPENDENCYPART_ARC
(18,5),-1.48077 # DEPENDENCYPART_ARC
(18,6),-1.26713 # DEPENDENCYPART_ARC
(18,7),-1.31933 # DEPENDENCYPART_ARC
(18,8),-2.12538 # DEPENDENCYPART_ARC
(18,9),-1.13291 # DEPENDENCYPART_ARC
(18,10),-0.831738 # DEPENDENCYPART_ARC
(18,12),-2.4372 # DEPENDENCYPART_ARC
(18,13),-1.04045 # DEPENDENCYPART_ARC
(18,14),-0.518188 # DEPENDENCYPART_ARC
(18,15),-1.98332 # DEPENDENCYPART_ARC
(18,16),-0.202562 # DEPENDENCYPART_ARC
(18,19),-0.0236732 # DEPENDENCYPART_ARC
(18,21),-0.198969 # DEPENDENCYPART_ARC
(18,22),-2.22816 # DEPENDENCYPART_ARC
(18,23),-1.32426 # DEPENDENCYPART_ARC
(18,24),-0.75445 # DEPENDENCYPART_ARC
(18,25),-2.05529 # DEPENDENCYPART_ARC
(18,26),-1.71635 # DEPENDENCYPART_ARC
(19,1),-4.89098 # DEPENDENCYPART_ARC
(19,2),-4.28309 # DEPENDENCYPART_ARC
(19,3),-3.76402 # DEPENDENCYPART_ARC
(19,5),-4.31194 # DEPENDENCYPART_ARC
(19,6),-3.73627 # DEPENDENCYPART_ARC
(19,7),-4.30346 # DEPENDENCYPART_ARC
(19,8),-4.30036 # DEPENDENCYPART_ARC
(19,9),-0.979746 # DEPENDENCYPART_ARC
(19,10),-2.61619 # DEPENDENCYPART_ARC
(19,12),-3.29706 # DEPENDENCYPART_ARC
(19,13),-3.09016 # DEPENDENCYPART_ARC
(19,14),-2.63332 # DEPENDENCYPART_ARC
(19,15),-3.50385 # DEPENDENCYPART_ARC
(19,16),0.000166267 # DEPENDENCYPART_ARC
(19,17),-1.49007 # DEPENDENCYPART_ARC
(19,18),-1.00226 # DEPENDENCYPART_ARC
(19,20),1.1315 # DEPENDENCYPART_ARC
(19,21),5.15264 # DEPENDENCYPART_ARC
(19,22),-0.904569 # DEPENDENCYPART_ARC
(19,23),-1.2628 # DEPENDENCYPART_ARC
(19,24),1.11564 # DEPENDENCYPART_ARC
(19,25),-1.23776 # DEPENDENCYPART_ARC
(19,26),-1.12683 # DEPENDENCYPART_ARC
(20,1),-2.22936 # DEPENDENCYPART_ARC
(20,2),-3.11169 # DEPENDENCYPART_ARC
(20,3),-3.6165 # DEPENDENCYPART_ARC
(20,5),-2.29341 # DEPENDENCYPART_ARC
(20,6),-2.76845 # DEPENDENCYPART_ARC
(20,7),-1.55455 # DEPENDENCYPART_ARC
(20,8),-2.86069 # DEPENDENCYPART_ARC
(20,9),-2.37488 # DEPENDENCYPART_ARC
(20,10),-1.60016 # DEPENDENCYPART_ARC
(20,12),-2.98652 # DEPENDENCYPART_ARC
(20,13),-1.95231 # DEPENDENCYPART_ARC
(20,14),-2.24097 # DEPENDENCYPART_ARC
(20,15),-2.60496 # DEPENDENCYPART_ARC
(20,16),-0.967871 # DEPENDENCYPART_ARC
(20,18),0.797013 # DEPENDENCYPART_ARC
(20,19),-0.429188 # DEPENDENCYPART_ARC
(20,21),3.2758 # DEPENDENCYPART_ARC
(20,22),-1.8027 # DEPENDENCYPART_ARC
(20,23),-0.073268 # DEPENDENCYPART_ARC
(20,24),-1.29958 # DEPENDENCYPART_ARC
(20,25),-1.811 # DEPENDENCYPART_ARC
(20,26),-0.847137 # DEPENDENCYPART_ARC
(21,1),-3.90641 # DEPENDENCYPART_ARC
(21,2),-3.11209 # DEPENDENCYPART_ARC
(21,3),-3.56477 # DEPENDENCYPART_ARC
(21,4),-1.7979 # DEPENDENCYPART_ARC
(21,5),-0.626311 # DEPENDENCYPART_ARC
(21,6),-4.25153 # DEPENDENCYPART_ARC
(21,7),-1.95181 # DEPENDENCYPART_ARC
(21,8),-0.701554 # DEPENDENCYPART_ARC
(21,9),-1.3744 # DEPENDENCYPART_ARC
(21,10),-1.83215 # DEPENDENCYPART_ARC
(21,11),-4.15987 # DEPENDENCYPART_ARC
(21,12),-2.02964 # DEPENDENCYPART_ARC
(21,13),0.161204 # DEPENDENCYPART_ARC
(21,14),-1.43827 # DEPENDENCYPART_ARC
(21,15),-1.82327 # DEPENDENCYPART_ARC
(21,16),-0.243504 # DEPENDENCYPART_ARC
(21,17),-0.308255 # DEPENDENCYPART_ARC
(21,18),-0.154825 # DEPENDENCYPART_ARC
(21,19),0.356565 # DEPENDENCYPART_ARC
(21,20),4.40767 # DEPENDENCYPART_ARC
(21,22),-2.05044 # DEPENDENCYPART_ARC
(21,23),-1.29588 # DEPENDENCYPART_ARC
(21,24),-1.94911 # DEPENDENCYPART_ARC
(21,25),-1.55345 # DEPENDENCYPART_ARC
(21,26),-2.17705 # DEPENDENCYPART_ARC
(22,1),0.11944 # DEPENDENCYPART_ARC
(22,2),-2.40575 # DEPENDENCYPART_ARC
