# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,20,7,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(3,2),5.37849 # DEPENDENCYPART_ARC
(3,4),0.0758365 # DEPENDENCYPART_ARC
(3,5),-0.0291186 # DEPENDENCYPART_ARC
(3,6),-2.35101 # DEPENDENCYPART_ARC
(3,7),-0.0616772 # DEPENDENCYPART_ARC
(3,8),-1.3768 # DEPENDENCYPART_ARC
(3,9),-0.138541 # DEPENDENCYPART_ARC
(3,10),-0.791721 # DEPENDENCYPART_ARC
(3,11),-2.14618 # DEPENDENCYPART_ARC
(3,12),-2.41625 # DEPENDENCYPART_ARC
(3,13),-0.351682 # DEPENDENCYPART_ARC
(3,14),-3.17214 # DEPENDENCYPART_ARC
(3,15),-3.14008 # DEPENDENCYPART_ARC
(3,16),-4.1002 # DEPENDENCYPART_ARC
(3,17),-0.782118 # DEPENDENCYPART_ARC
(3,18),-3.90624 # DEPENDENCYPART_ARC
(3,19),-5.94315 # DEPENDENCYPART_ARC
(3,20),-2.33633 # DEPENDENCYPART_ARC
(3,21),-1.49738 # DEPENDENCYPART_ARC
(3,22),-1.62074 # DEPENDENCYPART_ARC
(3,23),-4.21192 # DEPENDENCYPART_ARC
(3,24),-8.05174 # DEPENDENCYPART_ARC
(4,1),-0.555875 # DEPENDENCYPART_ARC
(4,2),-0.218197 # DEPENDENCYPART_ARC
(4,3),-0.878979 # DEPENDENCYPART_ARC
(4,5),0.062932 # DEPENDENCYPART_ARC
(4,6),-0.30551 # DEPENDENCYPART_ARC
(4,7),-0.98027 # DEPENDENCYPART_ARC
(4,8),-0.787527 # DEPENDENCYPART_ARC
(4,9),-1.38986 # DEPENDENCYPART_ARC
(4,10),-0.458397 # DEPENDENCYPART_ARC
(4,11),-1.64812 # DEPENDENCYPART_ARC
(4,12),-1.79585 # DEPENDENCYPART_ARC
(4,13),-1.16804 # DEPENDENCYPART_ARC
(4,14),-1.59735 # DEPENDENCYPART_ARC
(4,15),-1.789 # DEPENDENCYPART_ARC
(4,16),-3.13837 # DEPENDENCYPART_ARC
(4,17),-1.0756 # DEPENDENCYPART_ARC
(4,18),-1.85345 # DEPENDENCYPART_ARC
(4,19),-3.51872 # DEPENDENCYPART_ARC
(4,20),-1.77302 # DEPENDENCYPART_ARC
(4,21),-2.44518 # DEPENDENCYPART_ARC
(4,22),-1.92362 # DEPENDENCYPART_ARC
(4,23),-2.24815 # DEPENDENCYPART_ARC
(4,24),-3.16624 # DEPENDENCYPART_ARC
(5,1),-2.32065 # DEPENDENCYPART_ARC
(5,2),-2.08477 # DEPENDENCYPART_ARC
(5,3),-2.38549 # DEPENDENCYPART_ARC
(5,4),-0.320994 # DEPENDENCYPART_ARC
(5,6),0.484234 # DEPENDENCYPART_ARC
(5,7),4.2568 # DEPENDENCYPART_ARC
(5,8),-2.07987 # DEPENDENCYPART_ARC
(5,9),-1.57627 # DEPENDENCYPART_ARC
(5,10),-0.184249 # DEPENDENCYPART_ARC
(5,11),-4.00959 # DEPENDENCYPART_ARC
(5,12),-2.74833 # DEPENDENCYPART_ARC
(5,13),-2.6861 # DEPENDENCYPART_ARC
(5,14),-3.15456 # DEPENDENCYPART_ARC
(5,15),-3.07631 # DEPENDENCYPART_ARC
(5,16),-3.702 # DEPENDENCYPART_ARC
(5,17),-0.990918 # DEPENDENCYPART_ARC
(5,18),-3.67365 # DEPENDENCYPART_ARC
(5,19),-4.87495 # DEPENDENCYPART_ARC
(5,20),-2.97944 # DEPENDENCYPART_ARC
(5,21),-3.61636 # DEPENDENCYPART_ARC
(5,22),-2.21004 # DEPENDENCYPART_ARC
(5,23),-2.54479 # DEPENDENCYPART_ARC
(5,24),-4.11936 # DEPENDENCYPART_ARC
(6,1),-4.84156 # DEPENDENCYPART_ARC
(6,2),-4.843 # DEPENDENCYPART_ARC
(6,3),-2.93838 # DEPENDENCYPART_ARC
(6,4),-0.164677 # DEPENDENCYPART_ARC
(6,5),-0.809908 # DEPENDENCYPART_ARC
(6,7),0.403557 # DEPENDENCYPART_ARC
(6,8),-2.39726 # DEPENDENCYPART_ARC
(6,9),-1.92416 # DEPENDENCYPART_ARC
(6,10),-0.872051 # DEPENDENCYPART_ARC
(6,11),-3.45089 # DEPENDENCYPART_ARC
(6,12),-2.71607 # DEPENDENCYPART_ARC
(6,13),-3.21321 # DEPENDENCYPART_ARC
(6,14),-3.28496 # DEPENDENCYPART_ARC
(6,15),-3.36515 # DEPENDENCYPART_ARC
(6,16),-2.54806 # DEPENDENCYPART_ARC
(6,17),-1.46927 # DEPENDENCYPART_ARC
(6,18),-4.09319 # DEPENDENCYPART_ARC
(6,19),-5.07933 # DEPENDENCYPART_ARC
(6,20),-4.78474 # DEPENDENCYPART_ARC
(6,21),-2.03682 # DEPENDENCYPART_ARC
(6,22),-2.57061 # DEPENDENCYPART_ARC
(6,23),-5.01958 # DEPENDENCYPART_ARC
(6,24),-3.96179 # DEPENDENCYPART_ARC
(7,1),-2.93726 # DEPENDENCYPART_ARC
(7,2),-2.4516 # DEPENDENCYPART_ARC
(7,3),-2.81719 # DEPENDENCYPART_ARC
(7,4),0.5379 # DEPENDENCYPART_ARC
(7,5),0.0212038 # DEPENDENCYPART_ARC
(7,6),4.60029 # DEPENDENCYPART_ARC
(7,8),0.694395 # DEPENDENCYPART_ARC
(7,9),2.57163 # DEPENDENCYPART_ARC
(7,10),0.0436542 # DEPENDENCYPART_ARC
(7,11),-2.0198 # DEPENDENCYPART_ARC
(7,12),-2.29067 # DEPENDENCYPART_ARC
(7,13),1.34903 # DEPENDENCYPART_ARC
(7,14),-2.0948 # DEPENDENCYPART_ARC
(7,15),-1.81765 # DEPENDENCYPART_ARC
(7,16),-3.29888 # DEPENDENCYPART_ARC
(7,17),-0.00228734 # DEPENDENCYPART_ARC
(7,18),-2.94118 # DEPENDENCYPART_ARC
(7,19),-4.48491 # DEPENDENCYPART_ARC
(7,20),-2.57081 # DEPENDENCYPART_ARC
(7,21),-0.00958931 # DEPENDENCYPART_ARC
(7,22),-0.993938 # DEPENDENCYPART_ARC
(7,23),-3.81349 # DEPENDENCYPART_ARC
(7,24),-5.58015 # DEPENDENCYPART_ARC
(8,1),-3.8354 # DEPENDENCYPART_ARC
(8,2),-3.79578 # DEPENDENCYPART_ARC
(8,3),-3.37353 # DEPENDENCYPART_ARC
(8,4),-0.201418 # DEPENDENCYPART_ARC
(8,5),0.421886 # DEPENDENCYPART_ARC
(8,6),-2.60522 # DEPENDENCYPART_ARC
(8,7),-2.19185 # DEPENDENCYPART_ARC
(8,9),0.711351 # DEPENDENCYPART_ARC
(8,10),-0.851752 # DEPENDENCYPART_ARC
(8,11),-2.42219 # DEPENDENCYPART_ARC
(8,12),-1.42813 # DEPENDENCYPART_ARC
(8,13),-2.08443 # DEPENDENCYPART_ARC
(8,14),-2.76298 # DEPENDENCYPART_ARC
(8,15),-2.88879 # DEPENDENCYPART_ARC
(8,16),-2.12979 # DEPENDENCYPART_ARC
(8,17),-1.47465 # DEPENDENCYPART_ARC
(8,18),-4.11308 # DEPENDENCYPART_ARC
(8,19),-4.15722 # DEPENDENCYPART_ARC
(8,20),-3.80951 # DEPENDENCYPART_ARC
(8,21),-1.82618 # DEPENDENCYPART_ARC
(8,22),-2.18177 # DEPENDENCYPART_ARC
(8,23),-3.70255 # DEPENDENCYPART_ARC
(8,24),-3.51084 # DEPENDENCYPART_ARC
(9,1),-4.20422 # DEPENDENCYPART_ARC
(9,2),-4.0699 # DEPENDENCYPART_ARC
(9,3),-7.05465 # DEPENDENCYPART_ARC
(9,4),-0.405073 # DEPENDENCYPART_ARC
(9,5),-1.52708 # DEPENDENCYPART_ARC
(9,6),-1.11977 # DEPENDENCYPART_ARC
(9,7),-3.57597 # DEPENDENCYPART_ARC
(9,8),5.10223 # DEPENDENCYPART_ARC
(9,10),-0.191318 # DEPENDENCYPART_ARC
(9,11),-1.72025 # DEPENDENCYPART_ARC
(9,12),-1.76223 # DEPENDENCYPART_ARC
(9,13),2.59787 # DEPENDENCYPART_ARC
(9,14),-1.37762 # DEPENDENCYPART_ARC
(9,15),-1.8675 # DEPENDENCYPART_ARC
(9,16),-4.80738 # DEPENDENCYPART_ARC
(9,17),0.190519 # DEPENDENCYPART_ARC
(9,18),-3.10013 # DEPENDENCYPART_ARC
(9,19),-5.22236 # DEPENDENCYPART_ARC
(9,20),-1.33513 # DEPENDENCYPART_ARC
(9,21),0.18045 # DEPENDENCYPART_ARC
(9,22),-0.863239 # DEPENDENCYPART_ARC
(9,23),-2.89465 # DEPENDENCYPART_ARC
(9,24),-4.58482 # DEPENDENCYPART_ARC
(10,1),-1.64793 # DEPENDENCYPART_ARC
(10,2),-1.5933 # DEPENDENCYPART_ARC
(10,3),-1.50604 # DEPENDENCYPART_ARC
(10,4),-1.40297 # DEPENDENCYPART_ARC
(10,5),-1.3021 # DEPENDENCYPART_ARC
(10,6),-0.779277 # DEPENDENCYPART_ARC
(10,7),-0.630495 # DEPENDENCYPART_ARC
(10,8),-0.994566 # DEPENDENCYPART_ARC
(10,9),-0.811144 # DEPENDENCYPART_ARC
(10,11),-0.723713 # DEPENDENCYPART_ARC
(10,12),-0.670785 # DEPENDENCYPART_ARC
(10,13),0.590186 # DEPENDENCYPART_ARC
(10,14),-1.13964 # DEPENDENCYPART_ARC
(10,15),-1.04634 # DEPENDENCYPART_ARC
(10,16),-1.31482 # DEPENDENCYPART_ARC
(10,17),-0.785781 # DEPENDENCYPART_ARC
(10,18),-1.47707 # DEPENDENCYPART_ARC
(10,19),-2.25036 # DEPENDENCYPART_ARC
(10,20),-1.26852 # DEPENDENCYPART_ARC
(10,21),-1.41594 # DEPENDENCYPART_ARC
(10,22),-2.37831 # DEPENDENCYPART_ARC
(10,23),-1.94516 # DEPENDENCYPART_ARC
(10,24),-1.30617 # DEPENDENCYPART_ARC
(11,1),-3.05689 # DEPENDENCYPART_ARC
(11,2),-2.94255 # DEPENDENCYPART_ARC
(11,3),-3.54153 # DEPENDENCYPART_ARC
(11,4),-0.990609 # DEPENDENCYPART_ARC
(11,5),-1.55795 # DEPENDENCYPART_ARC
(11,6),-3.17272 # DEPENDENCYPART_ARC
(11,7),-2.64283 # DEPENDENCYPART_ARC
(11,8),-1.67139 # DEPENDENCYPART_ARC
(11,9),-1.80002 # DEPENDENCYPART_ARC
(11,10),-0.242415 # DEPENDENCYPART_ARC
(11,12),-0.0562245 # DEPENDENCYPART_ARC
(11,13),0.293663 # DEPENDENCYPART_ARC
(11,14),0.208245 # DEPENDENCYPART_ARC
(11,15),0.0136375 # DEPENDENCYPART_ARC
(11,16),-1.50228 # DEPENDENCYPART_ARC
(11,17),-0.340917 # DEPENDENCYPART_ARC
(11,18),-0.470343 # DEPENDENCYPART_ARC
(11,19),-2.80709 # DEPENDENCYPART_ARC
(11,20),-2.45527 # DEPENDENCYPART_ARC
(11,21),-0.533174 # DEPENDENCYPART_ARC
(11,22),-1.37441 # DEPENDENCYPART_ARC
(11,23),-3.18246 # DEPENDENCYPART_ARC
(11,24),-1.27796 # DEPENDENCYPART_ARC
(12,1),-4.42963 # DEPENDENCYPART_ARC
(12,2),-4.35581 # DEPENDENCYPART_ARC
(12,3),-3.72887 # DEPENDENCYPART_ARC
(12,4),-1.77952 # DEPENDENCYPART_ARC
(12,5),-1.93175 # DEPENDENCYPART_ARC
(12,6),-4.44374 # DEPENDENCYPART_ARC
(12,7),-2.90595 # DEPENDENCYPART_ARC
(12,8),-3.78035 # DEPENDENCYPART_ARC
(12,9),-2.8531 # DEPENDENCYPART_ARC
(12,10),-1.32195 # DEPENDENCYPART_ARC
(12,11),-1.04946 # DEPENDENCYPART_ARC
(12,13),-2.76464 # DEPENDENCYPART_ARC
(12,14),-2.07813 # DEPENDENCYPART_ARC
(12,15),-2.5188 # DEPENDENCYPART_ARC
(12,16),-2.342 # DEPENDENCYPART_ARC
(12,17),-2.1556 # DEPENDENCYPART_ARC
(12,18),-2.02106 # DEPENDENCYPART_ARC
(12,19),-2.51451 # DEPENDENCYPART_ARC
(12,20),-5.18366 # DEPENDENCYPART_ARC
(12,21),-2.28149 # DEPENDENCYPART_ARC
(12,22),-2.83697 # DEPENDENCYPART_ARC
(12,23),-6.62022 # DEPENDENCYPART_ARC
(12,24),-2.73838 # DEPENDENCYPART_ARC
(13,1),-2.71867 # DEPENDENCYPART_ARC
(13,2),-3.24583 # DEPENDENCYPART_ARC
(13,3),-1.14271 # DEPENDENCYPART_ARC
(13,4),0.211804 # DEPENDENCYPART_ARC
(13,5),0.505622 # DEPENDENCYPART_ARC
(13,6),-4.02151 # DEPENDENCYPART_ARC
(13,7),-1.09373 # DEPENDENCYPART_ARC
(13,8),-2.57341 # DEPENDENCYPART_ARC
(13,9),-2.41281 # DEPENDENCYPART_ARC
(13,10),2.24255 # DEPENDENCYPART_ARC
(13,11),2.32782 # DEPENDENCYPART_ARC
(13,12),3.66213 # DEPENDENCYPART_ARC
(13,14),1.88061 # DEPENDENCYPART_ARC
(13,15),0.470581 # DEPENDENCYPART_ARC
(13,16),2.24115 # DEPENDENCYPART_ARC
(13,17),0.952322 # DEPENDENCYPART_ARC
(13,18),0.149814 # DEPENDENCYPART_ARC
(13,19),0.442625 # DEPENDENCYPART_ARC
(13,20),-2.5214 # DEPENDENCYPART_ARC
(13,21),0.41751 # DEPENDENCYPART_ARC
(13,22),-0.76701 # DEPENDENCYPART_ARC
(13,23),-1.61351 # DEPENDENCYPART_ARC
(13,24),-0.402806 # DEPENDENCYPART_ARC
(14,1),-5.85026 # DEPENDENCYPART_ARC
(14,2),-5.90618 # DEPENDENCYPART_ARC
(14,3),-6.18523 # DEPENDENCYPART_ARC
(14,4),-1.88569 # DEPENDENCYPART_ARC
(14,5),-1.68139 # DEPENDENCYPART_ARC
(14,6),-5.68141 # DEPENDENCYPART_ARC
(14,7),-6.10427 # DEPENDENCYPART_ARC
(14,8),-4.02499 # DEPENDENCYPART_ARC
(14,9),-4.52826 # DEPENDENCYPART_ARC
(14,10),-0.876001 # DEPENDENCYPART_ARC
(14,11),-2.22983 # DEPENDENCYPART_ARC
(14,12),-0.79907 # DEPENDENCYPART_ARC
(14,13),-1.05677 # DEPENDENCYPART_ARC
(14,15),0.231731 # DEPENDENCYPART_ARC
(14,16),0.514225 # DEPENDENCYPART_ARC
(14,17),-0.42994 # DEPENDENCYPART_ARC
(14,18),-2.82294 # DEPENDENCYPART_ARC
(14,19),-2.74828 # DEPENDENCYPART_ARC
(14,20),-2.0297 # DEPENDENCYPART_ARC
(14,21),-0.598517 # DEPENDENCYPART_ARC
(14,22),-1.22525 # DEPENDENCYPART_ARC
(14,23),-2.28842 # DEPENDENCYPART_ARC
(14,24),-1.57237 # DEPENDENCYPART_ARC
(15,1),-5.74368 # DEPENDENCYPART_ARC
(15,2),-5.93704 # DEPENDENCYPART_ARC
(15,3),-6.32806 # DEPENDENCYPART_ARC
(15,4),-2.3318 # DEPENDENCYPART_ARC
(15,5),-1.86285 # DEPENDENCYPART_ARC
(15,6),-5.69133 # DEPENDENCYPART_ARC
(15,7),-6.14327 # DEPENDENCYPART_ARC
(15,8),-4.07771 # DEPENDENCYPART_ARC
(15,9),-5.01467 # DEPENDENCYPART_ARC
(15,10),-1.30136 # DEPENDENCYPART_ARC
(15,11),-2.49612 # DEPENDENCYPART_ARC
(15,12),-1.33963 # DEPENDENCYPART_ARC
(15,13),-1.57673 # DEPENDENCYPART_ARC
(15,14),-0.077759 # DEPENDENCYPART_ARC
(15,16),0.320751 # DEPENDENCYPART_ARC
(15,17),-0.43433 # DEPENDENCYPART_ARC
(15,18),-2.80719 # DEPENDENCYPART_ARC
(15,19),-3.10845 # DEPENDENCYPART_ARC
(15,20),-2.4256 # DEPENDENCYPART_ARC
(15,21),-0.810368 # DEPENDENCYPART_ARC
(15,22),-1.48588 # DEPENDENCYPART_ARC
(15,23),-2.77312 # DEPENDENCYPART_ARC
(15,24),-1.58671 # DEPENDENCYPART_ARC
(16,1),-6.01137 # DEPENDENCYPART_ARC
(16,2),-5.87863 # DEPENDENCYPART_ARC
(16,3),-8.13989 # DEPENDENCYPART_ARC
(16,4),-1.72875 # DEPENDENCYPART_ARC
(16,5),-3.0197 # DEPENDENCYPART_ARC
(16,6),-2.7909 # DEPENDENCYPART_ARC
(16,7),-4.95235 # DEPENDENCYPART_ARC
(16,8),-0.918447 # DEPENDENCYPART_ARC
(16,9),-3.44812 # DEPENDENCYPART_ARC
(16,10),-0.659121 # DEPENDENCYPART_ARC
(16,11),0.278446 # DEPENDENCYPART_ARC
(16,12),-1.86852 # DEPENDENCYPART_ARC
(16,13),-1.95808 # DEPENDENCYPART_ARC
(16,14),4.67908 # DEPENDENCYPART_ARC
(16,15),5.07595 # DEPENDENCYPART_ARC
(16,17),-0.00561318 # DEPENDENCYPART_ARC
(16,18),-1.42044 # DEPENDENCYPART_ARC
(16,19),-2.4538 # DEPENDENCYPART_ARC
(16,20),-0.974791 # DEPENDENCYPART_ARC
(16,21),-0.0370278 # DEPENDENCYPART_ARC
(16,22),-0.825293 # DEPENDENCYPART_ARC
(16,23),-2.366 # DEPENDENCYPART_ARC
(16,24),-2.32699 # DEPENDENCYPART_ARC
(17,1),-0.481023 # DEPENDENCYPART_ARC
(17,2),-0.441156 # DEPENDENCYPART_ARC
(17,3),-1.08403 # DEPENDENCYPART_ARC
(17,4),-0.578653 # DEPENDENCYPART_ARC
(17,5),-0.557739 # DEPENDENCYPART_ARC
(17,6),0.0797348 # DEPENDENCYPART_ARC
(17,7),-0.369074 # DEPENDENCYPART_ARC
(17,8),-0.0461098 # DEPENDENCYPART_ARC
(17,9),0.325139 # DEPENDENCYPART_ARC
(17,10),0.639175 # DEPENDENCYPART_ARC
(17,11),0.623004 # DEPENDENCYPART_ARC
(17,12),0.34888 # DEPENDENCYPART_ARC
(17,13),0.543053 # DEPENDENCYPART_ARC
(17,14),0.961214 # DEPENDENCYPART_ARC
(17,15),0.622015 # DEPENDENCYPART_ARC
(17,16),1.47071 # DEPENDENCYPART_ARC
(17,18),0.677536 # DEPENDENCYPART_ARC
(17,19),0.662581 # DEPENDENCYPART_ARC
(17,20),0.457202 # DEPENDENCYPART_ARC
(17,21),0.0126664 # DEPENDENCYPART_ARC
(17,22),-0.384276 # DEPENDENCYPART_ARC
(17,23),-0.739044 # DEPENDENCYPART_ARC
(17,24),-0.144031 # DEPENDENCYPART_ARC
(18,1),-3.05132 # DEPENDENCYPART_ARC
(18,2),-3.1169 # DEPENDENCYPART_ARC
(18,3),-3.64231 # DEPENDENCYPART_ARC
(18,4),-1.19314 # DEPENDENCYPART_ARC
(18,5),-1.14668 # DEPENDENCYPART_ARC
(18,6),-3.02982 # DEPENDENCYPART_ARC
(18,7),-2.86848 # DEPENDENCYPART_ARC
(18,8),-2.43815 # DEPENDENCYPART_ARC
(18,9),-1.79282 # DEPENDENCYPART_ARC
(18,10),-1.23931 # DEPENDENCYPART_ARC
(18,11),-2.2996 # DEPENDENCYPART_ARC
(18,12),-0.915516 # DEPENDENCYPART_ARC
(18,13),-2.71761 # DEPENDENCYPART_ARC
(18,14),-1.45557 # DEPENDENCYPART_ARC
(18,15),-1.39593 # DEPENDENCYPART_ARC
(18,16),-1.15702 # DEPENDENCYPART_ARC
(18,17),0.555879 # DEPENDENCYPART_ARC
(18,19),0.850583 # DEPENDENCYPART_ARC
(18,20),-1.05216 # DEPENDENCYPART_ARC
(18,21),-0.450061 # DEPENDENCYPART_ARC
(18,22),-0.399922 # DEPENDENCYPART_ARC
(18,23),-1.77746 # DEPENDENCYPART_ARC
(18,24),-0.235609 # DEPENDENCYPART_ARC
(19,1),-4.89638 # DEPENDENCYPART_ARC
(19,2),-4.79843 # DEPENDENCYPART_ARC
(19,3),-6.74335 # DEPENDENCYPART_ARC
(19,4),-2.38993 # DEPENDENCYPART_ARC
(19,5),-3.43629 # DEPENDENCYPART_ARC
(19,6),-4.52383 # DEPENDENCYPART_ARC
(19,7),-4.81954 # DEPENDENCYPART_ARC
(19,8),-4.50382 # DEPENDENCYPART_ARC
(19,9),-3.80446 # DEPENDENCYPART_ARC
(19,10),-1.07852 # DEPENDENCYPART_ARC
(19,11),-3.64395 # DEPENDENCYPART_ARC
(19,12),-2.63998 # DEPENDENCYPART_ARC
(19,13),-3.99641 # DEPENDENCYPART_ARC
(19,14),-2.33433 # DEPENDENCYPART_ARC
(19,15),-2.30725 # DEPENDENCYPART_ARC
(19,16),-2.23569 # DEPENDENCYPART_ARC
(19,17),0.415379 # DEPENDENCYPART_ARC
(19,18),3.57198 # DEPENDENCYPART_ARC
(19,20),-1.18997 # DEPENDENCYPART_ARC
(19,21),-0.220691 # DEPENDENCYPART_ARC
(19,22),-0.785162 # DEPENDENCYPART_ARC
(19,23),-3.51016 # DEPENDENCYPART_ARC
(19,24),-0.965595 # DEPENDENCYPART_ARC
(20,1),-2.43898 # DEPENDENCYPART_ARC
(20,2),-3.11223 # DEPENDENCYPART_ARC
(20,3),1.31892 # DEPENDENCYPART_ARC
(20,4),0.276462 # DEPENDENCYPART_ARC
(20,5),0.881397 # DEPENDENCYPART_ARC
(20,6),-5.3471 # DEPENDENCYPART_ARC
(20,7),-1.06228 # DEPENDENCYPART_ARC
(20,8),-5.47376 # DEPENDENCYPART_ARC
(20,9),-4.20117 # DEPENDENCYPART_ARC
(20,10),0.742092 # DEPENDENCYPART_ARC
(20,11),0.991111 # DEPENDENCYPART_ARC
(20,12),2.68777 # DEPENDENCYPART_ARC
(20,13),-2.4321 # DEPENDENCYPART_ARC
(20,14),-2.87936 # DEPENDENCYPART_ARC
(20,15),-2.70717 # DEPENDENCYPART_ARC
(20,16),-0.876811 # DEPENDENCYPART_ARC
(20,17),0.83092 # DEPENDENCYPART_ARC
(20,18),-0.105717 # DEPENDENCYPART_ARC
(20,19),2.17126 # DEPENDENCYPART_ARC
(20,21),-0.214037 # DEPENDENCYPART_ARC
(20,22),0.138985 # DEPENDENCYPART_ARC
(20,23),-0.70228 # DEPENDENCYPART_ARC
(20,24),-0.68511 # DEPENDENCYPART_ARC
(21,1),-0.5114 # DEPENDENCYPART_ARC
(21,2),-0.811855 # DEPENDENCYPART_ARC
(21,3),0.499201 # DEPENDENCYPART_ARC
(21,4),-0.377575 # DEPENDENCYPART_ARC
(21,5),0.875455 # DEPENDENCYPART_ARC
(21,6),-0.258076 # DEPENDENCYPART_ARC
(21,7),0.420728 # DEPENDENCYPART_ARC
(21,8),-0.20391 # DEPENDENCYPART_ARC
(21,9),0.200452 # DEPENDENCYPART_ARC
(21,10),1.78945 # DEPENDENCYPART_ARC
(21,11),1.70968 # DEPENDENCYPART_ARC
(21,12),0.883737 # DEPENDENCYPART_ARC
(21,13),1.4036 # DEPENDENCYPART_ARC
(21,14),0.703459 # DEPENDENCYPART_ARC
(21,15),0.514891 # DEPENDENCYPART_ARC
(21,16),1.06594 # DEPENDENCYPART_ARC
(21,17),1.88819 # DEPENDENCYPART_ARC
(21,18),1.10887 # DEPENDENCYPART_ARC
(21,19),1.61077 # DEPENDENCYPART_ARC
(21,20),3.35412 # DEPENDENCYPART_ARC
(21,22),0.487716 # DEPENDENCYPART_ARC
(21,23),2.37619 # DEPENDENCYPART_ARC
(21,24),0.561361 # DEPENDENCYPART_ARC
(22,1),-4.05868 # DEPENDENCYPART_ARC
