# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,3,8,11,11,11,13,11,6,18,18,18,18,11,20,18,22,18,0,
(9,2),-0.0383751 # DEPENDENCYPART_ARC
(9,3),0.505842 # DEPENDENCYPART_ARC
(9,4),0.396389 # DEPENDENCYPART_ARC
(9,5),1.70821 # DEPENDENCYPART_ARC
(9,6),1.43429 # DEPENDENCYPART_ARC
(9,7),0.574577 # DEPENDENCYPART_ARC
(9,8),2.21886 # DEPENDENCYPART_ARC
(9,10),1.87083 # DEPENDENCYPART_ARC
(9,11),0.20092 # DEPENDENCYPART_ARC
(9,12),1.64982 # DEPENDENCYPART_ARC
(9,13),0.189683 # DEPENDENCYPART_ARC
(9,14),0.0986783 # DEPENDENCYPART_ARC
(9,15),-0.208207 # DEPENDENCYPART_ARC
(9,16),-0.990035 # DEPENDENCYPART_ARC
(9,18),-0.950688 # DEPENDENCYPART_ARC
(9,19),-1.51237 # DEPENDENCYPART_ARC
(9,20),-2.1763 # DEPENDENCYPART_ARC
(9,21),-0.0289677 # DEPENDENCYPART_ARC
(9,22),-2.481 # DEPENDENCYPART_ARC
(9,23),-0.756369 # DEPENDENCYPART_ARC
(10,1),-4.92077 # DEPENDENCYPART_ARC
(10,2),-1.67188 # DEPENDENCYPART_ARC
(10,3),-5.15896 # DEPENDENCYPART_ARC
(10,4),-1.60993 # DEPENDENCYPART_ARC
(10,5),-2.73404 # DEPENDENCYPART_ARC
(10,6),-2.75383 # DEPENDENCYPART_ARC
(10,7),-0.657073 # DEPENDENCYPART_ARC
(10,8),-1.72523 # DEPENDENCYPART_ARC
(10,9),0.061275 # DEPENDENCYPART_ARC
(10,11),-0.416077 # DEPENDENCYPART_ARC
(10,12),-3.49167 # DEPENDENCYPART_ARC
(10,13),-2.62769 # DEPENDENCYPART_ARC
(10,14),-1.36713 # DEPENDENCYPART_ARC
(10,15),-1.69082 # DEPENDENCYPART_ARC
(10,18),-4.33004 # DEPENDENCYPART_ARC
(10,19),-3.10214 # DEPENDENCYPART_ARC
(10,20),-4.00959 # DEPENDENCYPART_ARC
(10,21),-7.00578 # DEPENDENCYPART_ARC
(10,22),-5.22908 # DEPENDENCYPART_ARC
(10,23),-3.44072 # DEPENDENCYPART_ARC
(11,1),0.46287 # DEPENDENCYPART_ARC
(11,2),-1.26604 # DEPENDENCYPART_ARC
(11,3),-0.00921051 # DEPENDENCYPART_ARC
(11,4),0.276072 # DEPENDENCYPART_ARC
(11,5),1.42342 # DEPENDENCYPART_ARC
(11,6),0.914097 # DEPENDENCYPART_ARC
(11,7),-0.522584 # DEPENDENCYPART_ARC
(11,8),3.2408 # DEPENDENCYPART_ARC
(11,9),2.48422 # DEPENDENCYPART_ARC
(11,10),4.61345 # DEPENDENCYPART_ARC
(11,12),6.67295 # DEPENDENCYPART_ARC
(11,13),0.873825 # DEPENDENCYPART_ARC
(11,14),0.12707 # DEPENDENCYPART_ARC
(11,15),0.0426031 # DEPENDENCYPART_ARC
(11,16),-0.502398 # DEPENDENCYPART_ARC
(11,17),-1.33409 # DEPENDENCYPART_ARC
(11,18),-0.466419 # DEPENDENCYPART_ARC
(11,19),-1.04074 # DEPENDENCYPART_ARC
(11,20),-2.54644 # DEPENDENCYPART_ARC
(11,21),-0.120632 # DEPENDENCYPART_ARC
(11,22),-3.17637 # DEPENDENCYPART_ARC
(11,23),-1.95189 # DEPENDENCYPART_ARC
(12,1),-6.12218 # DEPENDENCYPART_ARC
(12,2),-2.6307 # DEPENDENCYPART_ARC
(12,3),-6.10339 # DEPENDENCYPART_ARC
(12,4),-2.80097 # DEPENDENCYPART_ARC
(12,5),-4.06997 # DEPENDENCYPART_ARC
(12,6),-4.19833 # DEPENDENCYPART_ARC
(12,7),-2.06622 # DEPENDENCYPART_ARC
(12,8),-3.52941 # DEPENDENCYPART_ARC
(12,9),-1.46278 # DEPENDENCYPART_ARC
(12,10),-2.6507 # DEPENDENCYPART_ARC
(12,11),-0.627538 # DEPENDENCYPART_ARC
(12,13),-1.06821 # DEPENDENCYPART_ARC
(12,14),-0.8655 # DEPENDENCYPART_ARC
(12,15),-1.26773 # DEPENDENCYPART_ARC
(12,18),-4.02675 # DEPENDENCYPART_ARC
(12,19),-2.70382 # DEPENDENCYPART_ARC
(12,20),-3.7903 # DEPENDENCYPART_ARC
(12,21),-6.34806 # DEPENDENCYPART_ARC
(12,22),-5.25079 # DEPENDENCYPART_ARC
(12,23),-2.97453 # DEPENDENCYPART_ARC
(13,1),-5.92011 # DEPENDENCYPART_ARC
(13,2),-3.87681 # DEPENDENCYPART_ARC
(13,3),-1.80393 # DEPENDENCYPART_ARC
(13,4),-0.813179 # DEPENDENCYPART_ARC
(13,5),-3.86417 # DEPENDENCYPART_ARC
(13,6),-5.39278 # DEPENDENCYPART_ARC
(13,7),0.529004 # DEPENDENCYPART_ARC
(13,8),1.2352 # DEPENDENCYPART_ARC
(13,9),1.35537 # DEPENDENCYPART_ARC
(13,10),1.27959 # DEPENDENCYPART_ARC
(13,11),3.1167 # DEPENDENCYPART_ARC
(13,12),4.59505 # DEPENDENCYPART_ARC
(13,14),0.367587 # DEPENDENCYPART_ARC
(13,15),-1.24816 # DEPENDENCYPART_ARC
(13,16),-4.528 # DEPENDENCYPART_ARC
(13,17),-0.0101518 # DEPENDENCYPART_ARC
(13,18),-0.670217 # DEPENDENCYPART_ARC
(13,19),-3.92507 # DEPENDENCYPART_ARC
(13,20),-5.09101 # DEPENDENCYPART_ARC
(13,21),-5.69553 # DEPENDENCYPART_ARC
(13,22),-6.44076 # DEPENDENCYPART_ARC
(13,23),-3.94666 # DEPENDENCYPART_ARC
(14,1),-4.06944 # DEPENDENCYPART_ARC
(14,2),-2.59285 # DEPENDENCYPART_ARC
(14,3),-2.59803 # DEPENDENCYPART_ARC
(14,4),-2.81362 # DEPENDENCYPART_ARC
(14,5),-2.32284 # DEPENDENCYPART_ARC
(14,6),-2.60039 # DEPENDENCYPART_ARC
(14,7),-2.1506 # DEPENDENCYPART_ARC
(14,8),-1.93794 # DEPENDENCYPART_ARC
(14,9),-1.97959 # DEPENDENCYPART_ARC
(14,10),-1.6862 # DEPENDENCYPART_ARC
(14,11),-2.13618 # DEPENDENCYPART_ARC
(14,12),-1.7618 # DEPENDENCYPART_ARC
(14,13),-1.91912 # DEPENDENCYPART_ARC
(14,15),-1.64876 # DEPENDENCYPART_ARC
(14,16),-1.82807 # DEPENDENCYPART_ARC
(14,18),-1.87244 # DEPENDENCYPART_ARC
(14,19),-2.6864 # DEPENDENCYPART_ARC
(14,20),-3.45609 # DEPENDENCYPART_ARC
(14,21),-3.13183 # DEPENDENCYPART_ARC
(14,22),-3.42124 # DEPENDENCYPART_ARC
(14,23),-2.09 # DEPENDENCYPART_ARC
(15,1),-1.69533 # DEPENDENCYPART_ARC
(15,2),-2.12758 # DEPENDENCYPART_ARC
(15,3),-0.859455 # DEPENDENCYPART_ARC
(15,4),-1.58762 # DEPENDENCYPART_ARC
(15,5),-0.838473 # DEPENDENCYPART_ARC
(15,6),-0.910465 # DEPENDENCYPART_ARC
(15,7),-2.75767 # DEPENDENCYPART_ARC
(15,8),-1.17801 # DEPENDENCYPART_ARC
(15,9),-0.620697 # DEPENDENCYPART_ARC
(15,10),-1.08063 # DEPENDENCYPART_ARC
(15,11),-1.62151 # DEPENDENCYPART_ARC
(15,12),-1.12022 # DEPENDENCYPART_ARC
(15,13),-1.27486 # DEPENDENCYPART_ARC
(15,14),-1.04403 # DEPENDENCYPART_ARC
(15,16),-0.258805 # DEPENDENCYPART_ARC
(15,18),-0.761605 # DEPENDENCYPART_ARC
(15,19),-1.83498 # DEPENDENCYPART_ARC
(15,20),-2.71272 # DEPENDENCYPART_ARC
(15,21),-1.74241 # DEPENDENCYPART_ARC
(15,22),-3.10376 # DEPENDENCYPART_ARC
(15,23),-1.40762 # DEPENDENCYPART_ARC
(16,1),-3.14512 # DEPENDENCYPART_ARC
(16,3),-1.94093 # DEPENDENCYPART_ARC
(16,4),-1.72388 # DEPENDENCYPART_ARC
(16,5),-3.75771 # DEPENDENCYPART_ARC
(16,6),-4.49899 # DEPENDENCYPART_ARC
(16,7),-2.22913 # DEPENDENCYPART_ARC
(16,8),-3.67426 # DEPENDENCYPART_ARC
(16,9),-1.84537 # DEPENDENCYPART_ARC
(16,10),-3.46727 # DEPENDENCYPART_ARC
(16,11),-1.93852 # DEPENDENCYPART_ARC
(16,12),-2.88325 # DEPENDENCYPART_ARC
(16,13),-2.46076 # DEPENDENCYPART_ARC
(16,14),-1.10514 # DEPENDENCYPART_ARC
(16,15),-0.600497 # DEPENDENCYPART_ARC
(16,18),-1.03069 # DEPENDENCYPART_ARC
(16,19),0.0538301 # DEPENDENCYPART_ARC
(16,20),-0.894413 # DEPENDENCYPART_ARC
(16,21),-2.44131 # DEPENDENCYPART_ARC
(16,22),-1.66729 # DEPENDENCYPART_ARC
(16,23),-0.421451 # DEPENDENCYPART_ARC
(18,1),0.448186 # DEPENDENCYPART_ARC
(18,2),-1.4203 # DEPENDENCYPART_ARC
(18,3),-2.90316 # DEPENDENCYPART_ARC
(18,4),-1.46131 # DEPENDENCYPART_ARC
(18,5),-1.31376 # DEPENDENCYPART_ARC
(18,6),-2.80005 # DEPENDENCYPART_ARC
(18,7),-0.417635 # DEPENDENCYPART_ARC
(18,8),-4.62605 # DEPENDENCYPART_ARC
(18,9),-0.615223 # DEPENDENCYPART_ARC
(18,10),-3.89267 # DEPENDENCYPART_ARC
(18,11),-0.419693 # DEPENDENCYPART_ARC
(18,12),-3.87405 # DEPENDENCYPART_ARC
(18,13),-2.76477 # DEPENDENCYPART_ARC
(18,14),0.575318 # DEPENDENCYPART_ARC
(18,15),1.49569 # DEPENDENCYPART_ARC
(18,16),2.81742 # DEPENDENCYPART_ARC
(18,17),3.84641 # DEPENDENCYPART_ARC
(18,19),1.08038 # DEPENDENCYPART_ARC
(18,20),3.28287 # DEPENDENCYPART_ARC
(18,21),-2.55088 # DEPENDENCYPART_ARC
(18,22),2.18349 # DEPENDENCYPART_ARC
(18,23),-0.101517 # DEPENDENCYPART_ARC
(19,1),-3.99083 # DEPENDENCYPART_ARC
(19,3),-3.85827 # DEPENDENCYPART_ARC
(19,4),-1.87558 # DEPENDENCYPART_ARC
(19,5),-3.468 # DEPENDENCYPART_ARC
(19,6),-3.57042 # DEPENDENCYPART_ARC
(19,7),-2.10027 # DEPENDENCYPART_ARC
(19,8),-4.15315 # DEPENDENCYPART_ARC
(19,9),-1.66417 # DEPENDENCYPART_ARC
(19,10),-3.99347 # DEPENDENCYPART_ARC
(19,11),-2.35164 # DEPENDENCYPART_ARC
(19,12),-3.8168 # DEPENDENCYPART_ARC
(19,13),-2.61175 # DEPENDENCYPART_ARC
(19,14),-1.37636 # DEPENDENCYPART_ARC
(19,15),-1.20963 # DEPENDENCYPART_ARC
(19,18),-2.89512 # DEPENDENCYPART_ARC
(19,20),-0.541736 # DEPENDENCYPART_ARC
(19,21),-1.42596 # DEPENDENCYPART_ARC
(19,22),-2.01525 # DEPENDENCYPART_ARC
(19,23),-0.83489 # DEPENDENCYPART_ARC
(20,1),-8.70889 # DEPENDENCYPART_ARC
(20,2),-6.20557 # DEPENDENCYPART_ARC
(20,3),-3.68813 # DEPENDENCYPART_ARC
(20,4),-2.53585 # DEPENDENCYPART_ARC
(20,5),-7.18717 # DEPENDENCYPART_ARC
(20,6),-8.1212 # DEPENDENCYPART_ARC
(20,7),-2.27238 # DEPENDENCYPART_ARC
(20,8),-5.3945 # DEPENDENCYPART_ARC
(20,9),-1.61002 # DEPENDENCYPART_ARC
(20,10),-5.43793 # DEPENDENCYPART_ARC
(20,11),-2.1964 # DEPENDENCYPART_ARC
(20,12),-3.96438 # DEPENDENCYPART_ARC
(20,13),-5.76274 # DEPENDENCYPART_ARC
(20,14),-1.23632 # DEPENDENCYPART_ARC
(20,15),-1.77293 # DEPENDENCYPART_ARC
(20,16),-2.33421 # DEPENDENCYPART_ARC
(20,17),-0.535769 # DEPENDENCYPART_ARC
(20,18),-4.22143 # DEPENDENCYPART_ARC
(20,19),4.49178 # DEPENDENCYPART_ARC
(20,21),-0.400266 # DEPENDENCYPART_ARC
(20,22),-0.751257 # DEPENDENCYPART_ARC
(20,23),0.0683716 # DEPENDENCYPART_ARC
(21,1),-5.40679 # DEPENDENCYPART_ARC
(21,2),-1.81309 # DEPENDENCYPART_ARC
(21,3),-3.03002 # DEPENDENCYPART_ARC
(21,4),-2.47584 # DEPENDENCYPART_ARC
(21,5),-2.70989 # DEPENDENCYPART_ARC
(21,6),-2.79305 # DEPENDENCYPART_ARC
(21,7),-2.49941 # DEPENDENCYPART_ARC
(21,8),-5.46562 # DEPENDENCYPART_ARC
(21,9),-2.46572 # DEPENDENCYPART_ARC
(21,10),-5.35359 # DEPENDENCYPART_ARC
(21,11),-2.0076 # DEPENDENCYPART_ARC
(21,12),-5.05567 # DEPENDENCYPART_ARC
(21,13),-4.12467 # DEPENDENCYPART_ARC
(21,14),-1.66923 # DEPENDENCYPART_ARC
(21,15),-1.7493 # DEPENDENCYPART_ARC
(21,18),-1.7351 # DEPENDENCYPART_ARC
(21,19),-0.362659 # DEPENDENCYPART_ARC
(21,20),-0.181129 # DEPENDENCYPART_ARC
(21,22),1.22823 # DEPENDENCYPART_ARC
(21,23),0.362659 # DEPENDENCYPART_ARC
(22,1),-9.12762 # DEPENDENCYPART_ARC
(22,2),-6.17088 # DEPENDENCYPART_ARC
(22,3),-3.01798 # DEPENDENCYPART_ARC
(22,4),-2.55638 # DEPENDENCYPART_ARC
(22,5),-4.82568 # DEPENDENCYPART_ARC
(22,6),-5.65995 # DEPENDENCYPART_ARC
(22,7),-2.19042 # DEPENDENCYPART_ARC
(22,8),-6.60005 # DEPENDENCYPART_ARC
(22,9),-0.772658 # DEPENDENCYPART_ARC
(22,10),-6.83277 # DEPENDENCYPART_ARC
(22,11),-0.569659 # DEPENDENCYPART_ARC
(22,12),-4.73605 # DEPENDENCYPART_ARC
(22,13),-5.32358 # DEPENDENCYPART_ARC
(22,14),-1.48096 # DEPENDENCYPART_ARC
(22,15),-1.80654 # DEPENDENCYPART_ARC
(22,16),-3.66964 # DEPENDENCYPART_ARC
(22,17),-0.341001 # DEPENDENCYPART_ARC
(22,18),-4.30799 # DEPENDENCYPART_ARC
(22,19),0.295841 # DEPENDENCYPART_ARC
(22,20),-0.930177 # DEPENDENCYPART_ARC
(22,21),5.35223 # DEPENDENCYPART_ARC
(22,23),0.367998 # DEPENDENCYPART_ARC
(23,1),-6.20325 # DEPENDENCYPART_ARC
(23,2),-4.76743 # DEPENDENCYPART_ARC
(23,3),-5.02098 # DEPENDENCYPART_ARC
(23,4),-5.68875 # DEPENDENCYPART_ARC
(23,5),-3.99512 # DEPENDENCYPART_ARC
(23,6),-4.09675 # DEPENDENCYPART_ARC
(23,7),-2.98273 # DEPENDENCYPART_ARC
(23,8),-4.20902 # DEPENDENCYPART_ARC
(23,9),-3.8048 # DEPENDENCYPART_ARC
(23,10),-4.24784 # DEPENDENCYPART_ARC
(23,11),-4.83597 # DEPENDENCYPART_ARC
(23,12),-4.27968 # DEPENDENCYPART_ARC
(23,13),-4.59819 # DEPENDENCYPART_ARC
(23,14),-2.27817 # DEPENDENCYPART_ARC
(23,15),-3.89101 # DEPENDENCYPART_ARC
(23,16),-3.65 # DEPENDENCYPART_ARC
(23,18),-4.18485 # DEPENDENCYPART_ARC
(23,19),-3.17834 # DEPENDENCYPART_ARC
(23,20),-3.35878 # DEPENDENCYPART_ARC
(23,21),-3.1865 # DEPENDENCYPART_ARC
(23,22),-3.56654 # DEPENDENCYPART_ARC
