# _root_ Co by se stalo , kdyby v prosinci nebylo přepadeno Čečensko , ale pobaltské státy ?
#goldHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
#predictedHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
(4,11),-3.02848 # DEPENDENCYPART_ARC
(4,12),0.293297 # DEPENDENCYPART_ARC
(4,13),-0.353272 # DEPENDENCYPART_ARC
(4,14),-4.82009 # DEPENDENCYPART_ARC
(4,15),-4.09267 # DEPENDENCYPART_ARC
(4,16),-0.332027 # DEPENDENCYPART_ARC
(5,1),0.165771 # DEPENDENCYPART_ARC
(5,2),-0.0613602 # DEPENDENCYPART_ARC
(5,3),0.248627 # DEPENDENCYPART_ARC
(5,4),-0.615292 # DEPENDENCYPART_ARC
(5,6),0.349357 # DEPENDENCYPART_ARC
(5,7),-0.606763 # DEPENDENCYPART_ARC
(5,8),-1.19317 # DEPENDENCYPART_ARC
(5,9),0.303388 # DEPENDENCYPART_ARC
(5,10),-0.520846 # DEPENDENCYPART_ARC
(5,11),-2.6873 # DEPENDENCYPART_ARC
(5,12),-0.719014 # DEPENDENCYPART_ARC
(5,13),-0.467353 # DEPENDENCYPART_ARC
(5,14),-1.7204 # DEPENDENCYPART_ARC
(5,15),-3.16016 # DEPENDENCYPART_ARC
(5,16),-1.31508 # DEPENDENCYPART_ARC
(6,1),-0.964001 # DEPENDENCYPART_ARC
(6,2),-0.413027 # DEPENDENCYPART_ARC
(6,3),-0.218572 # DEPENDENCYPART_ARC
(6,4),-0.0627868 # DEPENDENCYPART_ARC
(6,5),2.35047 # DEPENDENCYPART_ARC
(6,7),1.32041 # DEPENDENCYPART_ARC
(6,8),0.405646 # DEPENDENCYPART_ARC
(6,9),2.99209 # DEPENDENCYPART_ARC
(6,10),2.02352 # DEPENDENCYPART_ARC
(6,11),-0.823188 # DEPENDENCYPART_ARC
(6,12),1.27027 # DEPENDENCYPART_ARC
(6,13),0.335591 # DEPENDENCYPART_ARC
(6,14),-0.574255 # DEPENDENCYPART_ARC
(6,15),-1.31841 # DEPENDENCYPART_ARC
(6,16),0.217316 # DEPENDENCYPART_ARC
(7,1),-3.13761 # DEPENDENCYPART_ARC
(7,2),-2.95507 # DEPENDENCYPART_ARC
(7,3),-2.67136 # DEPENDENCYPART_ARC
(7,4),-2.96184 # DEPENDENCYPART_ARC
(7,5),-0.53037 # DEPENDENCYPART_ARC
(7,6),-0.890547 # DEPENDENCYPART_ARC
(7,8),5.41563 # DEPENDENCYPART_ARC
(7,9),-1.4606 # DEPENDENCYPART_ARC
(7,10),-1.53836 # DEPENDENCYPART_ARC
(7,11),-4.26053 # DEPENDENCYPART_ARC
(7,12),-1.44721 # DEPENDENCYPART_ARC
(7,13),-0.612281 # DEPENDENCYPART_ARC
(7,14),-3.9343 # DEPENDENCYPART_ARC
(7,15),-6.27284 # DEPENDENCYPART_ARC
(7,16),-2.08435 # DEPENDENCYPART_ARC
(8,1),-4.51296 # DEPENDENCYPART_ARC
(8,2),-1.28699 # DEPENDENCYPART_ARC
(8,3),-3.73215 # DEPENDENCYPART_ARC
(8,4),-3.679 # DEPENDENCYPART_ARC
(8,5),-0.882097 # DEPENDENCYPART_ARC
(8,6),-0.0444119 # DEPENDENCYPART_ARC
(8,7),1.29042 # DEPENDENCYPART_ARC
(8,9),-1.39035 # DEPENDENCYPART_ARC
(8,10),-1.32974 # DEPENDENCYPART_ARC
(8,11),-2.1753 # DEPENDENCYPART_ARC
(8,12),-0.96328 # DEPENDENCYPART_ARC
(8,13),-0.601679 # DEPENDENCYPART_ARC
(8,14),-4.38254 # DEPENDENCYPART_ARC
(8,15),-3.68254 # DEPENDENCYPART_ARC
(8,16),-1.48915 # DEPENDENCYPART_ARC
(9,1),0.67931 # DEPENDENCYPART_ARC
(9,2),1.35526 # DEPENDENCYPART_ARC
(9,3),1.37829 # DEPENDENCYPART_ARC
(9,4),-2.41718 # DEPENDENCYPART_ARC
(9,5),0.368263 # DEPENDENCYPART_ARC
(9,6),0.870353 # DEPENDENCYPART_ARC
(9,7),2.36938 # DEPENDENCYPART_ARC
(9,8),-0.034918 # DEPENDENCYPART_ARC
(9,10),1.1798 # DEPENDENCYPART_ARC
(9,11),1.08067 # DEPENDENCYPART_ARC
(9,12),-0.23414 # DEPENDENCYPART_ARC
(9,13),0.221914 # DEPENDENCYPART_ARC
(9,14),-2.11639 # DEPENDENCYPART_ARC
(9,15),-1.28721 # DEPENDENCYPART_ARC
(9,16),0.0669776 # DEPENDENCYPART_ARC
(10,1),0.631825 # DEPENDENCYPART_ARC
(10,2),0.837758 # DEPENDENCYPART_ARC
(10,3),-0.247212 # DEPENDENCYPART_ARC
(10,4),-0.115842 # DEPENDENCYPART_ARC
(10,5),0.541238 # DEPENDENCYPART_ARC
(10,6),1.53793 # DEPENDENCYPART_ARC
(10,7),2.59417 # DEPENDENCYPART_ARC
(10,8),0.395177 # DEPENDENCYPART_ARC
(10,9),4.15402 # DEPENDENCYPART_ARC
(10,11),1.34215 # DEPENDENCYPART_ARC
(10,12),0.51824 # DEPENDENCYPART_ARC
(10,13),0.977298 # DEPENDENCYPART_ARC
(10,14),-2.42876 # DEPENDENCYPART_ARC
(10,15),-1.04585 # DEPENDENCYPART_ARC
(10,16),0.201375 # DEPENDENCYPART_ARC
(11,1),-5.71916 # DEPENDENCYPART_ARC
(11,2),-1.02757 # DEPENDENCYPART_ARC
(11,3),-5.72911 # DEPENDENCYPART_ARC
(11,4),-4.05898 # DEPENDENCYPART_ARC
(11,5),-1.92834 # DEPENDENCYPART_ARC
(11,6),-1.29031 # DEPENDENCYPART_ARC
(11,7),-0.701837 # DEPENDENCYPART_ARC
(11,8),-3.82821 # DEPENDENCYPART_ARC
(11,9),-2.33248 # DEPENDENCYPART_ARC
(11,10),-0.285835 # DEPENDENCYPART_ARC
(11,12),-0.89382 # DEPENDENCYPART_ARC
(11,13),0.297105 # DEPENDENCYPART_ARC
(11,14),-3.50372 # DEPENDENCYPART_ARC
(11,15),-1.32857 # DEPENDENCYPART_ARC
(11,16),-1.62623 # DEPENDENCYPART_ARC
(12,1),-1.25122 # DEPENDENCYPART_ARC
(12,2),-1.3933 # DEPENDENCYPART_ARC
(12,3),-1.14163 # DEPENDENCYPART_ARC
(12,4),-1.60034 # DEPENDENCYPART_ARC
(12,5),-0.306163 # DEPENDENCYPART_ARC
(12,6),-0.224118 # DEPENDENCYPART_ARC
(12,7),-1.41415 # DEPENDENCYPART_ARC
(12,8),-1.04743 # DEPENDENCYPART_ARC
(12,9),-0.422624 # DEPENDENCYPART_ARC
(12,10),-0.722472 # DEPENDENCYPART_ARC
(12,11),-0.477362 # DEPENDENCYPART_ARC
(12,13),0.100142 # DEPENDENCYPART_ARC
(12,14),-0.160807 # DEPENDENCYPART_ARC
(12,15),0.173886 # DEPENDENCYPART_ARC
(12,16),-0.503983 # DEPENDENCYPART_ARC
(13,1),-1.10747 # DEPENDENCYPART_ARC
(13,2),-0.832326 # DEPENDENCYPART_ARC
(13,3),0.100931 # DEPENDENCYPART_ARC
(13,4),-0.288006 # DEPENDENCYPART_ARC
(13,5),0.19461 # DEPENDENCYPART_ARC
(13,6),0.244096 # DEPENDENCYPART_ARC
(13,7),-0.302522 # DEPENDENCYPART_ARC
(13,8),1.17486 # DEPENDENCYPART_ARC
(13,9),1.30453 # DEPENDENCYPART_ARC
(13,10),0.931386 # DEPENDENCYPART_ARC
(13,11),2.35017 # DEPENDENCYPART_ARC
(13,12),2.5795 # DEPENDENCYPART_ARC
(13,14),2.70784 # DEPENDENCYPART_ARC
(13,15),1.72728 # DEPENDENCYPART_ARC
(13,16),0.719551 # DEPENDENCYPART_ARC
(14,1),-3.58929 # DEPENDENCYPART_ARC
(14,2),-2.40534 # DEPENDENCYPART_ARC
(14,3),-2.70295 # DEPENDENCYPART_ARC
(14,4),-4.46084 # DEPENDENCYPART_ARC
(14,5),-2.71063 # DEPENDENCYPART_ARC
(14,6),-2.04556 # DEPENDENCYPART_ARC
(14,7),-1.70012 # DEPENDENCYPART_ARC
(14,8),-3.96739 # DEPENDENCYPART_ARC
(14,9),-3.11352 # DEPENDENCYPART_ARC
(14,10),-3.21784 # DEPENDENCYPART_ARC
(14,11),-1.42233 # DEPENDENCYPART_ARC
(14,12),-0.279735 # DEPENDENCYPART_ARC
(14,13),-0.238927 # DEPENDENCYPART_ARC
(14,15),-0.67033 # DEPENDENCYPART_ARC
(14,16),-0.698703 # DEPENDENCYPART_ARC
(15,1),-6.17564 # DEPENDENCYPART_ARC
(15,2),-1.0883 # DEPENDENCYPART_ARC
(15,3),-5.44467 # DEPENDENCYPART_ARC
(15,4),-4.88878 # DEPENDENCYPART_ARC
(15,5),-1.79673 # DEPENDENCYPART_ARC
(15,6),-1.45283 # DEPENDENCYPART_ARC
(15,7),-1.59011 # DEPENDENCYPART_ARC
(15,8),-5.08826 # DEPENDENCYPART_ARC
(15,9),-3.84331 # DEPENDENCYPART_ARC
(15,10),-2.25568 # DEPENDENCYPART_ARC
(15,11),-1.26446 # DEPENDENCYPART_ARC
(15,12),0.130058 # DEPENDENCYPART_ARC
(15,13),1.23071 # DEPENDENCYPART_ARC
(15,14),3.96947 # DEPENDENCYPART_ARC
(15,16),-0.595062 # DEPENDENCYPART_ARC
(16,1),-3.24144 # DEPENDENCYPART_ARC
(16,2),-4.09149 # DEPENDENCYPART_ARC
(16,3),-3.38183 # DEPENDENCYPART_ARC
(16,4),-4.15018 # DEPENDENCYPART_ARC
(16,5),-3.20976 # DEPENDENCYPART_ARC
(16,6),-3.11114 # DEPENDENCYPART_ARC
(16,7),-3.36406 # DEPENDENCYPART_ARC
(16,8),-2.99599 # DEPENDENCYPART_ARC
(16,9),-3.2373 # DEPENDENCYPART_ARC
(16,10),-3.10163 # DEPENDENCYPART_ARC
(16,11),-2.16008 # DEPENDENCYPART_ARC
(16,12),-2.01502 # DEPENDENCYPART_ARC
(16,13),-2.64632 # DEPENDENCYPART_ARC
(16,14),-2.14132 # DEPENDENCYPART_ARC
(16,15),-2.69224 # DEPENDENCYPART_ARC
