# _root_ Víme ale , co nás čeká , musíme si dát velký pozor na střelce .
#goldHeads=2,0,6,6,6,7,1,7,10,8,12,10,12,13,0,
#predictedHeads=2,0,6,6,6,2,6,7,10,8,12,10,12,13,0,
(5,13),-2.10646 # DEPENDENCYPART_ARC
(5,14),-0.714513 # DEPENDENCYPART_ARC
(5,15),-1.8532 # DEPENDENCYPART_ARC
(6,1),-0.216278 # DEPENDENCYPART_ARC
(6,2),0.0258173 # DEPENDENCYPART_ARC
(6,3),2.67543 # DEPENDENCYPART_ARC
(6,4),3.41353 # DEPENDENCYPART_ARC
(6,5),3.26833 # DEPENDENCYPART_ARC
(6,7),1.28378 # DEPENDENCYPART_ARC
(6,8),-0.149214 # DEPENDENCYPART_ARC
(6,9),-0.938135 # DEPENDENCYPART_ARC
(6,10),0.95089 # DEPENDENCYPART_ARC
(6,11),-4.42245 # DEPENDENCYPART_ARC
(6,12),-0.95306 # DEPENDENCYPART_ARC
(6,13),-0.850126 # DEPENDENCYPART_ARC
(6,14),-3.10742 # DEPENDENCYPART_ARC
(6,15),-1.11883 # DEPENDENCYPART_ARC
(7,1),0.0870303 # DEPENDENCYPART_ARC
(7,2),0.600039 # DEPENDENCYPART_ARC
(7,3),0.573918 # DEPENDENCYPART_ARC
(7,4),0.844762 # DEPENDENCYPART_ARC
(7,5),0.783006 # DEPENDENCYPART_ARC
(7,6),0.675858 # DEPENDENCYPART_ARC
(7,8),0.515869 # DEPENDENCYPART_ARC
(7,9),-0.635854 # DEPENDENCYPART_ARC
(7,10),-0.578516 # DEPENDENCYPART_ARC
(7,11),-0.786617 # DEPENDENCYPART_ARC
(7,12),-2.14791 # DEPENDENCYPART_ARC
(7,13),-1.58247 # DEPENDENCYPART_ARC
(7,14),-2.59208 # DEPENDENCYPART_ARC
(7,15),-0.319826 # DEPENDENCYPART_ARC
(8,1),-1.70069 # DEPENDENCYPART_ARC
(8,2),0.784222 # DEPENDENCYPART_ARC
(8,3),1.36818 # DEPENDENCYPART_ARC
(8,4),0.393604 # DEPENDENCYPART_ARC
(8,5),0.229356 # DEPENDENCYPART_ARC
(8,6),-0.943294 # DEPENDENCYPART_ARC
(8,7),0.570563 # DEPENDENCYPART_ARC
(8,9),1.70689 # DEPENDENCYPART_ARC
(8,10),2.77483 # DEPENDENCYPART_ARC
(8,11),-3.38382 # DEPENDENCYPART_ARC
(8,12),1.37152 # DEPENDENCYPART_ARC
(8,13),0.0954716 # DEPENDENCYPART_ARC
(8,14),-0.805224 # DEPENDENCYPART_ARC
(8,15),-0.292515 # DEPENDENCYPART_ARC
(10,1),-2.77523 # DEPENDENCYPART_ARC
(10,2),-0.349464 # DEPENDENCYPART_ARC
(10,3),0.786529 # DEPENDENCYPART_ARC
(10,4),0.414166 # DEPENDENCYPART_ARC
(10,5),1.26451 # DEPENDENCYPART_ARC
(10,6),-2.32131 # DEPENDENCYPART_ARC
(10,7),-0.694009 # DEPENDENCYPART_ARC
(10,8),0.281162 # DEPENDENCYPART_ARC
(10,9),3.60759 # DEPENDENCYPART_ARC
(10,11),-0.356847 # DEPENDENCYPART_ARC
(10,12),3.74738 # DEPENDENCYPART_ARC
(10,13),1.67476 # DEPENDENCYPART_ARC
(10,14),0.967861 # DEPENDENCYPART_ARC
(10,15),-0.228211 # DEPENDENCYPART_ARC
(11,1),-5.53935 # DEPENDENCYPART_ARC
(11,2),-2.0632 # DEPENDENCYPART_ARC
(11,3),-2.5263 # DEPENDENCYPART_ARC
(11,4),-2.1062 # DEPENDENCYPART_ARC
(11,5),-2.02024 # DEPENDENCYPART_ARC
(11,6),-4.19878 # DEPENDENCYPART_ARC
(11,7),-1.81644 # DEPENDENCYPART_ARC
(11,8),-4.52812 # DEPENDENCYPART_ARC
(11,9),-0.0322405 # DEPENDENCYPART_ARC
(11,10),-0.0251217 # DEPENDENCYPART_ARC
(11,12),-0.322873 # DEPENDENCYPART_ARC
(11,13),0.162479 # DEPENDENCYPART_ARC
(11,14),-2.50295 # DEPENDENCYPART_ARC
(11,15),-1.06269 # DEPENDENCYPART_ARC
(12,1),-2.59665 # DEPENDENCYPART_ARC
(12,2),-1.8885 # DEPENDENCYPART_ARC
(12,3),-1.56616 # DEPENDENCYPART_ARC
(12,4),-3.4601 # DEPENDENCYPART_ARC
(12,5),-3.06745 # DEPENDENCYPART_ARC
(12,6),-1.71328 # DEPENDENCYPART_ARC
(12,7),-1.21946 # DEPENDENCYPART_ARC
(12,8),-1.6102 # DEPENDENCYPART_ARC
(12,9),-2.22687 # DEPENDENCYPART_ARC
(12,10),0.369663 # DEPENDENCYPART_ARC
(12,11),5.67968 # DEPENDENCYPART_ARC
(12,13),2.06467 # DEPENDENCYPART_ARC
(12,14),-1.26354 # DEPENDENCYPART_ARC
(12,15),-0.247128 # DEPENDENCYPART_ARC
(13,1),-3.40658 # DEPENDENCYPART_ARC
(13,2),-1.91454 # DEPENDENCYPART_ARC
(13,3),-2.20563 # DEPENDENCYPART_ARC
(13,4),-2.46308 # DEPENDENCYPART_ARC
(13,5),-2.32772 # DEPENDENCYPART_ARC
(13,6),-3.16729 # DEPENDENCYPART_ARC
(13,7),-1.90165 # DEPENDENCYPART_ARC
(13,8),-2.69828 # DEPENDENCYPART_ARC
(13,11),-1.28737 # DEPENDENCYPART_ARC
(13,12),-0.971242 # DEPENDENCYPART_ARC
(13,14),3.91907 # DEPENDENCYPART_ARC
(13,15),0.0267197 # DEPENDENCYPART_ARC
(14,1),-2.3936 # DEPENDENCYPART_ARC
(14,2),-3.33984 # DEPENDENCYPART_ARC
(14,3),-2.7861 # DEPENDENCYPART_ARC
(14,4),-4.75037 # DEPENDENCYPART_ARC
(14,5),-4.65311 # DEPENDENCYPART_ARC
(14,6),-2.60565 # DEPENDENCYPART_ARC
(14,7),-2.42398 # DEPENDENCYPART_ARC
(14,8),-1.66304 # DEPENDENCYPART_ARC
(14,9),-3.8791 # DEPENDENCYPART_ARC
(14,10),-0.778259 # DEPENDENCYPART_ARC
(14,11),-1.11667 # DEPENDENCYPART_ARC
(14,12),-2.07638 # DEPENDENCYPART_ARC
(14,13),-0.272419 # DEPENDENCYPART_ARC
(14,15),0.372008 # DEPENDENCYPART_ARC
(15,1),-4.93595 # DEPENDENCYPART_ARC
(15,2),-3.82491 # DEPENDENCYPART_ARC
(15,3),-4.2393 # DEPENDENCYPART_ARC
(15,4),-3.50536 # DEPENDENCYPART_ARC
(15,5),-3.64935 # DEPENDENCYPART_ARC
(15,6),-4.56827 # DEPENDENCYPART_ARC
(15,7),-3.90795 # DEPENDENCYPART_ARC
(15,8),-3.8127 # DEPENDENCYPART_ARC
(15,9),-3.4097 # DEPENDENCYPART_ARC
(15,10),-4.01881 # DEPENDENCYPART_ARC
(15,11),-3.11455 # DEPENDENCYPART_ARC
(15,12),-3.0672 # DEPENDENCYPART_ARC
(15,13),-3.53151 # DEPENDENCYPART_ARC
(15,14),-2.48114 # DEPENDENCYPART_ARC
