# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
(13,10),-1.01802 # DEPENDENCYPART_ARC
(13,12),-2.89604 # DEPENDENCYPART_ARC
(13,14),1.22835 # DEPENDENCYPART_ARC
(13,15),-1.11649 # DEPENDENCYPART_ARC
(13,16),-1.88477 # DEPENDENCYPART_ARC
(13,17),-0.339156 # DEPENDENCYPART_ARC
(13,18),-1.47682 # DEPENDENCYPART_ARC
(13,19),-1.86368 # DEPENDENCYPART_ARC
(13,20),-0.77002 # DEPENDENCYPART_ARC
(13,22),-2.62172 # DEPENDENCYPART_ARC
(13,23),-1.86805 # DEPENDENCYPART_ARC
(14,1),-2.82081 # DEPENDENCYPART_ARC
(14,3),-4.20836 # DEPENDENCYPART_ARC
(14,4),-3.21924 # DEPENDENCYPART_ARC
(14,5),-6.67921 # DEPENDENCYPART_ARC
(14,6),-4.03145 # DEPENDENCYPART_ARC
(14,7),-1.41302 # DEPENDENCYPART_ARC
(14,8),-3.45654 # DEPENDENCYPART_ARC
(14,9),-0.238859 # DEPENDENCYPART_ARC
(14,10),-0.236776 # DEPENDENCYPART_ARC
(14,11),-1.84996 # DEPENDENCYPART_ARC
(14,12),-1.75039 # DEPENDENCYPART_ARC
(14,13),4.74886 # DEPENDENCYPART_ARC
(14,15),-0.190262 # DEPENDENCYPART_ARC
(14,16),-1.58189 # DEPENDENCYPART_ARC
(14,17),-0.56199 # DEPENDENCYPART_ARC
(14,18),-1.28075 # DEPENDENCYPART_ARC
(14,19),-3.00249 # DEPENDENCYPART_ARC
(14,20),-0.469071 # DEPENDENCYPART_ARC
(14,22),2.37733 # DEPENDENCYPART_ARC
(14,23),-1.70944 # DEPENDENCYPART_ARC
(15,1),-3.77764 # DEPENDENCYPART_ARC
(15,3),-2.45192 # DEPENDENCYPART_ARC
(15,4),-2.61484 # DEPENDENCYPART_ARC
(15,5),-2.59858 # DEPENDENCYPART_ARC
(15,6),-0.843834 # DEPENDENCYPART_ARC
(15,7),-2.09466 # DEPENDENCYPART_ARC
(15,8),-1.97525 # DEPENDENCYPART_ARC
(15,9),-0.972419 # DEPENDENCYPART_ARC
(15,10),-1.47369 # DEPENDENCYPART_ARC
(15,11),-1.49251 # DEPENDENCYPART_ARC
(15,12),-0.103096 # DEPENDENCYPART_ARC
(15,13),-1.37726 # DEPENDENCYPART_ARC
(15,14),-0.861901 # DEPENDENCYPART_ARC
(15,16),-0.970312 # DEPENDENCYPART_ARC
(15,17),-1.26418 # DEPENDENCYPART_ARC
(15,18),-1.14501 # DEPENDENCYPART_ARC
(15,19),-1.30118 # DEPENDENCYPART_ARC
(15,20),-1.47682 # DEPENDENCYPART_ARC
(15,22),-0.243518 # DEPENDENCYPART_ARC
(15,23),-1.19255 # DEPENDENCYPART_ARC
(16,1),-2.20452 # DEPENDENCYPART_ARC
(16,5),-4.42648 # DEPENDENCYPART_ARC
(16,6),-3.95227 # DEPENDENCYPART_ARC
(16,7),-3.44204 # DEPENDENCYPART_ARC
(16,8),-3.90381 # DEPENDENCYPART_ARC
(16,9),-1.72961 # DEPENDENCYPART_ARC
(16,12),-2.6489 # DEPENDENCYPART_ARC
(16,13),-0.0170078 # DEPENDENCYPART_ARC
(16,14),-1.99773 # DEPENDENCYPART_ARC
(16,15),-0.290973 # DEPENDENCYPART_ARC
(16,17),0.00802429 # DEPENDENCYPART_ARC
(16,18),-0.288519 # DEPENDENCYPART_ARC
(16,19),0.436941 # DEPENDENCYPART_ARC
(16,20),0.63536 # DEPENDENCYPART_ARC
(16,22),-0.176814 # DEPENDENCYPART_ARC
(16,23),-0.49185 # DEPENDENCYPART_ARC
(17,1),-4.98894 # DEPENDENCYPART_ARC
(17,2),-2.89927 # DEPENDENCYPART_ARC
(17,4),-3.81216 # DEPENDENCYPART_ARC
(17,5),-5.31645 # DEPENDENCYPART_ARC
(17,6),-3.68884 # DEPENDENCYPART_ARC
(17,7),-4.45044 # DEPENDENCYPART_ARC
(17,8),-5.41751 # DEPENDENCYPART_ARC
(17,9),-1.33763 # DEPENDENCYPART_ARC
(17,10),-2.32337 # DEPENDENCYPART_ARC
(17,12),-3.0782 # DEPENDENCYPART_ARC
(17,13),-2.63182 # DEPENDENCYPART_ARC
(17,14),-3.7709 # DEPENDENCYPART_ARC
(17,15),-0.318971 # DEPENDENCYPART_ARC
(17,16),-1.7058 # DEPENDENCYPART_ARC
(17,18),4.29285 # DEPENDENCYPART_ARC
(17,19),-1.1616 # DEPENDENCYPART_ARC
(17,20),-1.32173 # DEPENDENCYPART_ARC
(17,21),-1.54774 # DEPENDENCYPART_ARC
(17,22),-2.23935 # DEPENDENCYPART_ARC
(17,23),-1.12225 # DEPENDENCYPART_ARC
(18,1),-4.19607 # DEPENDENCYPART_ARC
(18,3),-6.27473 # DEPENDENCYPART_ARC
(18,4),-5.59502 # DEPENDENCYPART_ARC
(18,5),-7.15698 # DEPENDENCYPART_ARC
(18,6),-4.89054 # DEPENDENCYPART_ARC
(18,7),-7.13677 # DEPENDENCYPART_ARC
(18,8),-6.63498 # DEPENDENCYPART_ARC
(18,9),-1.56042 # DEPENDENCYPART_ARC
(18,10),-2.85772 # DEPENDENCYPART_ARC
(18,11),-4.13896 # DEPENDENCYPART_ARC
(18,12),-4.85961 # DEPENDENCYPART_ARC
(18,13),-3.24161 # DEPENDENCYPART_ARC
(18,14),-3.9589 # DEPENDENCYPART_ARC
(18,15),-0.683238 # DEPENDENCYPART_ARC
(18,16),-3.21951 # DEPENDENCYPART_ARC
(18,17),1.24357 # DEPENDENCYPART_ARC
(18,19),0.55765 # DEPENDENCYPART_ARC
(18,20),0.645671 # DEPENDENCYPART_ARC
(18,22),-0.297345 # DEPENDENCYPART_ARC
(18,23),-0.518041 # DEPENDENCYPART_ARC
(19,1),-1.93592 # DEPENDENCYPART_ARC
(19,4),-3.33038 # DEPENDENCYPART_ARC
(19,5),-3.13969 # DEPENDENCYPART_ARC
(19,6),-4.74472 # DEPENDENCYPART_ARC
(19,7),-2.39382 # DEPENDENCYPART_ARC
(19,8),-3.62218 # DEPENDENCYPART_ARC
(19,9),-2.38682 # DEPENDENCYPART_ARC
(19,10),-1.3954 # DEPENDENCYPART_ARC
(19,12),-3.85458 # DEPENDENCYPART_ARC
(19,13),-2.42141 # DEPENDENCYPART_ARC
(19,14),-3.00382 # DEPENDENCYPART_ARC
(19,15),-0.967888 # DEPENDENCYPART_ARC
(19,16),-2.12781 # DEPENDENCYPART_ARC
(19,17),-0.278675 # DEPENDENCYPART_ARC
(19,18),-0.926708 # DEPENDENCYPART_ARC
(19,20),2.88765 # DEPENDENCYPART_ARC
(19,22),-1.06617 # DEPENDENCYPART_ARC
(19,23),0.13345 # DEPENDENCYPART_ARC
(20,1),-5.4275 # DEPENDENCYPART_ARC
(20,2),-3.55007 # DEPENDENCYPART_ARC
(20,4),-3.73696 # DEPENDENCYPART_ARC
(20,5),-5.05329 # DEPENDENCYPART_ARC
(20,6),-3.59119 # DEPENDENCYPART_ARC
(20,7),-4.26955 # DEPENDENCYPART_ARC
(20,8),-4.61418 # DEPENDENCYPART_ARC
(20,9),-2.08956 # DEPENDENCYPART_ARC
(20,10),-2.12837 # DEPENDENCYPART_ARC
(20,12),-3.13671 # DEPENDENCYPART_ARC
(20,13),-3.18664 # DEPENDENCYPART_ARC
(20,14),-3.8023 # DEPENDENCYPART_ARC
(20,15),-1.12344 # DEPENDENCYPART_ARC
(20,16),-3.07048 # DEPENDENCYPART_ARC
(20,17),-1.75766 # DEPENDENCYPART_ARC
(20,18),-0.995797 # DEPENDENCYPART_ARC
(20,19),-0.983895 # DEPENDENCYPART_ARC
(20,21),2.8184 # DEPENDENCYPART_ARC
(20,22),-1.7397 # DEPENDENCYPART_ARC
(20,23),-1.14367 # DEPENDENCYPART_ARC
(21,1),-2.65689 # DEPENDENCYPART_ARC
(21,5),-2.25281 # DEPENDENCYPART_ARC
(21,8),-3.57998 # DEPENDENCYPART_ARC
(21,14),-2.56254 # DEPENDENCYPART_ARC
(21,17),-1.40913 # DEPENDENCYPART_ARC
(21,18),-1.50509 # DEPENDENCYPART_ARC
(21,20),0.295081 # DEPENDENCYPART_ARC
(22,1),0.784494 # DEPENDENCYPART_ARC
(22,3),-0.44365 # DEPENDENCYPART_ARC
(22,4),-1.29538 # DEPENDENCYPART_ARC
(22,5),-2.96283 # DEPENDENCYPART_ARC
(22,6),-4.09636 # DEPENDENCYPART_ARC
(22,7),-1.06057 # DEPENDENCYPART_ARC
(22,8),-0.777234 # DEPENDENCYPART_ARC
(22,9),0.227821 # DEPENDENCYPART_ARC
(22,10),-0.34142 # DEPENDENCYPART_ARC
(22,11),2.04404 # DEPENDENCYPART_ARC
(22,12),-2.55097 # DEPENDENCYPART_ARC
(22,13),0.466708 # DEPENDENCYPART_ARC
(22,14),-0.028429 # DEPENDENCYPART_ARC
(22,15),2.18518 # DEPENDENCYPART_ARC
(22,16),2.4201 # DEPENDENCYPART_ARC
(22,17),2.24516 # DEPENDENCYPART_ARC
(22,18),-0.255245 # DEPENDENCYPART_ARC
(22,19),0.865223 # DEPENDENCYPART_ARC
(22,20),1.61203 # DEPENDENCYPART_ARC
(22,23),-0.0874226 # DEPENDENCYPART_ARC
(23,1),-6.48812 # DEPENDENCYPART_ARC
(23,3),-5.15503 # DEPENDENCYPART_ARC
(23,4),-6.25831 # DEPENDENCYPART_ARC
(23,5),-6.85127 # DEPENDENCYPART_ARC
(23,6),-5.37988 # DEPENDENCYPART_ARC
(23,7),-4.81781 # DEPENDENCYPART_ARC
(23,8),-6.13114 # DEPENDENCYPART_ARC
(23,9),-5.32301 # DEPENDENCYPART_ARC
(23,10),-4.01206 # DEPENDENCYPART_ARC
(23,11),-4.39943 # DEPENDENCYPART_ARC
(23,12),-4.53902 # DEPENDENCYPART_ARC
(23,13),-4.24893 # DEPENDENCYPART_ARC
(23,14),-4.40225 # DEPENDENCYPART_ARC
(23,15),-3.77132 # DEPENDENCYPART_ARC
(23,16),-3.3954 # DEPENDENCYPART_ARC
(23,17),-3.64721 # DEPENDENCYPART_ARC
(23,18),-3.82948 # DEPENDENCYPART_ARC
(23,19),-2.97599 # DEPENDENCYPART_ARC
(23,20),-3.06912 # DEPENDENCYPART_ARC
(23,22),-3.8308 # DEPENDENCYPART_ARC
