# _root_ Ročně by tedy zaplatila na pojistném , včetně úrazového připojištění , 4104 korun .
#goldHeads=4,4,4,0,4,5,8,4,10,8,8,4,12,0,
#predictedHeads=4,4,4,0,4,5,8,4,10,8,8,11,12,0,
(4,9),-2.96305 # DEPENDENCYPART_ARC
(4,10),-1.7621 # DEPENDENCYPART_ARC
(4,11),0.404932 # DEPENDENCYPART_ARC
(4,12),0.097818 # DEPENDENCYPART_ARC
(4,13),-2.37631 # DEPENDENCYPART_ARC
(4,14),-0.786045 # DEPENDENCYPART_ARC
(5,1),-1.95522 # DEPENDENCYPART_ARC
(5,2),-1.66557 # DEPENDENCYPART_ARC
(5,3),-0.907856 # DEPENDENCYPART_ARC
(5,4),-1.26897 # DEPENDENCYPART_ARC
(5,6),4.29613 # DEPENDENCYPART_ARC
(5,7),-0.232348 # DEPENDENCYPART_ARC
(5,8),-1.12053 # DEPENDENCYPART_ARC
(5,9),-1.97625 # DEPENDENCYPART_ARC
(5,10),-2.51607 # DEPENDENCYPART_ARC
(5,11),-0.311309 # DEPENDENCYPART_ARC
(5,12),-1.34106 # DEPENDENCYPART_ARC
(5,13),-4.7602 # DEPENDENCYPART_ARC
(5,14),-0.948286 # DEPENDENCYPART_ARC
(6,1),-1.77605 # DEPENDENCYPART_ARC
(6,2),-0.130057 # DEPENDENCYPART_ARC
(6,3),-0.581893 # DEPENDENCYPART_ARC
(6,4),-3.63364 # DEPENDENCYPART_ARC
(6,5),0.578497 # DEPENDENCYPART_ARC
(6,7),-0.508185 # DEPENDENCYPART_ARC
(6,8),0.662947 # DEPENDENCYPART_ARC
(6,9),-0.575535 # DEPENDENCYPART_ARC
(6,10),0.698848 # DEPENDENCYPART_ARC
(6,11),-0.176971 # DEPENDENCYPART_ARC
(6,12),-0.692953 # DEPENDENCYPART_ARC
(6,13),-0.80084 # DEPENDENCYPART_ARC
(6,14),-2.89658 # DEPENDENCYPART_ARC
(7,1),-0.0778234 # DEPENDENCYPART_ARC
(7,2),0.465309 # DEPENDENCYPART_ARC
(7,3),0.198784 # DEPENDENCYPART_ARC
(7,4),1.27249 # DEPENDENCYPART_ARC
(7,5),1.50938 # DEPENDENCYPART_ARC
(7,6),0.739874 # DEPENDENCYPART_ARC
(7,8),0.530187 # DEPENDENCYPART_ARC
(7,9),0.0961192 # DEPENDENCYPART_ARC
(7,10),0.70094 # DEPENDENCYPART_ARC
(7,11),0.0494083 # DEPENDENCYPART_ARC
(7,12),-0.250416 # DEPENDENCYPART_ARC
(7,13),0.117992 # DEPENDENCYPART_ARC
(7,14),-0.666841 # DEPENDENCYPART_ARC
(8,1),-1.42436 # DEPENDENCYPART_ARC
(8,2),-1.15407 # DEPENDENCYPART_ARC
(8,3),-0.734078 # DEPENDENCYPART_ARC
(8,4),-1.65223 # DEPENDENCYPART_ARC
(8,5),-0.367919 # DEPENDENCYPART_ARC
(8,6),0.374341 # DEPENDENCYPART_ARC
(8,7),2.11438 # DEPENDENCYPART_ARC
(8,9),2.1029 # DEPENDENCYPART_ARC
(8,10),3.39046 # DEPENDENCYPART_ARC
(8,11),1.17413 # DEPENDENCYPART_ARC
(8,12),-0.487579 # DEPENDENCYPART_ARC
(8,13),0.349813 # DEPENDENCYPART_ARC
(8,14),-0.0860951 # DEPENDENCYPART_ARC
(9,1),-2.05054 # DEPENDENCYPART_ARC
(9,2),-1.84787 # DEPENDENCYPART_ARC
(9,3),-2.84563 # DEPENDENCYPART_ARC
(9,4),-4.61951 # DEPENDENCYPART_ARC
(9,5),-1.74919 # DEPENDENCYPART_ARC
(9,6),-3.93779 # DEPENDENCYPART_ARC
(9,7),-0.613156 # DEPENDENCYPART_ARC
(9,8),-0.808773 # DEPENDENCYPART_ARC
(9,10),-0.511078 # DEPENDENCYPART_ARC
(9,11),-0.547508 # DEPENDENCYPART_ARC
(9,12),-0.8069 # DEPENDENCYPART_ARC
(9,13),-2.41378 # DEPENDENCYPART_ARC
(9,14),-1.30039 # DEPENDENCYPART_ARC
(10,1),-2.61568 # DEPENDENCYPART_ARC
(10,2),-0.618498 # DEPENDENCYPART_ARC
(10,3),-2.01158 # DEPENDENCYPART_ARC
(10,4),-3.62634 # DEPENDENCYPART_ARC
(10,5),-1.0513 # DEPENDENCYPART_ARC
(10,6),-4.03994 # DEPENDENCYPART_ARC
(10,7),-0.76012 # DEPENDENCYPART_ARC
(10,8),-0.270608 # DEPENDENCYPART_ARC
(10,9),5.07914 # DEPENDENCYPART_ARC
(10,11),-0.355873 # DEPENDENCYPART_ARC
(10,12),0.0300195 # DEPENDENCYPART_ARC
(10,13),0.33558 # DEPENDENCYPART_ARC
(10,14),-1.61477 # DEPENDENCYPART_ARC
(11,1),-0.161043 # DEPENDENCYPART_ARC
(11,2),0.0700553 # DEPENDENCYPART_ARC
(11,3),0.0791442 # DEPENDENCYPART_ARC
(11,4),0.943572 # DEPENDENCYPART_ARC
(11,5),0.667772 # DEPENDENCYPART_ARC
(11,6),1.53486 # DEPENDENCYPART_ARC
(11,7),0.74883 # DEPENDENCYPART_ARC
(11,8),0.63071 # DEPENDENCYPART_ARC
(11,9),0.788012 # DEPENDENCYPART_ARC
(11,10),1.39335 # DEPENDENCYPART_ARC
(11,12),0.673929 # DEPENDENCYPART_ARC
(11,13),1.35182 # DEPENDENCYPART_ARC
(11,14),0.0354209 # DEPENDENCYPART_ARC
(12,1),-1.29221 # DEPENDENCYPART_ARC
(12,2),-2.06826 # DEPENDENCYPART_ARC
(12,3),-0.924191 # DEPENDENCYPART_ARC
(12,4),-1.87326 # DEPENDENCYPART_ARC
(12,5),-1.36249 # DEPENDENCYPART_ARC
(12,6),-0.674787 # DEPENDENCYPART_ARC
(12,7),-0.961899 # DEPENDENCYPART_ARC
(12,8),-0.739321 # DEPENDENCYPART_ARC
(12,9),0.0646736 # DEPENDENCYPART_ARC
(12,10),-0.242317 # DEPENDENCYPART_ARC
(12,11),0.524015 # DEPENDENCYPART_ARC
(12,13),2.73609 # DEPENDENCYPART_ARC
(12,14),0.860199 # DEPENDENCYPART_ARC
(13,1),-3.60582 # DEPENDENCYPART_ARC
(13,2),-1.40662 # DEPENDENCYPART_ARC
(13,3),-2.97229 # DEPENDENCYPART_ARC
(13,4),-3.83257 # DEPENDENCYPART_ARC
(13,5),-2.12987 # DEPENDENCYPART_ARC
(13,6),-6.04453 # DEPENDENCYPART_ARC
(13,7),-1.62159 # DEPENDENCYPART_ARC
(13,8),-1.29518 # DEPENDENCYPART_ARC
(13,9),-1.1426 # DEPENDENCYPART_ARC
(13,10),-2.60221 # DEPENDENCYPART_ARC
(13,11),-0.161771 # DEPENDENCYPART_ARC
(13,12),0.251209 # DEPENDENCYPART_ARC
(13,14),0.334433 # DEPENDENCYPART_ARC
(14,1),-4.01657 # DEPENDENCYPART_ARC
(14,2),-4.56488 # DEPENDENCYPART_ARC
(14,3),-3.73867 # DEPENDENCYPART_ARC
(14,4),-3.86215 # DEPENDENCYPART_ARC
(14,5),-4.04071 # DEPENDENCYPART_ARC
(14,6),-2.85623 # DEPENDENCYPART_ARC
(14,7),-2.90084 # DEPENDENCYPART_ARC
(14,8),-3.65146 # DEPENDENCYPART_ARC
(14,9),-2.9479 # DEPENDENCYPART_ARC
(14,10),-3.36618 # DEPENDENCYPART_ARC
(14,11),-2.43385 # DEPENDENCYPART_ARC
(14,12),-3.00137 # DEPENDENCYPART_ARC
(14,13),-2.85711 # DEPENDENCYPART_ARC
