# _root_ Zdůraznil , že USA vytvářejí koncentrační tábor , když přesouvají uprchlíky na základnu Guantánamo na Kubě .
#goldHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,13,15,0,
#predictedHeads=0,3,1,5,3,7,5,9,5,9,10,11,12,13,13,15,0,
(2,6),-1.46832 # DEPENDENCYPART_ARC
(2,7),-2.31705 # DEPENDENCYPART_ARC
(2,8),-1.34263 # DEPENDENCYPART_ARC
(2,9),-1.42626 # DEPENDENCYPART_ARC
(2,10),-2.36998 # DEPENDENCYPART_ARC
(2,11),-3.77463 # DEPENDENCYPART_ARC
(2,12),-2.85025 # DEPENDENCYPART_ARC
(2,13),-4.11164 # DEPENDENCYPART_ARC
(2,14),-4.22697 # DEPENDENCYPART_ARC
(2,15),-3.2086 # DEPENDENCYPART_ARC
(2,16),-4.53735 # DEPENDENCYPART_ARC
(2,17),-2.46321 # DEPENDENCYPART_ARC
(3,1),-1.09168 # DEPENDENCYPART_ARC
(3,2),2.82814 # DEPENDENCYPART_ARC
(3,4),-0.928143 # DEPENDENCYPART_ARC
(3,5),2.47399 # DEPENDENCYPART_ARC
(3,6),-0.884764 # DEPENDENCYPART_ARC
(3,7),-2.04627 # DEPENDENCYPART_ARC
(3,8),0.375194 # DEPENDENCYPART_ARC
(3,9),0.454974 # DEPENDENCYPART_ARC
(3,10),-0.265998 # DEPENDENCYPART_ARC
(3,11),-4.54479 # DEPENDENCYPART_ARC
(3,12),-2.53383 # DEPENDENCYPART_ARC
(3,13),-4.66361 # DEPENDENCYPART_ARC
(3,14),-4.50551 # DEPENDENCYPART_ARC
(3,15),-2.77052 # DEPENDENCYPART_ARC
(3,16),-4.56432 # DEPENDENCYPART_ARC
(3,17),-1.39829 # DEPENDENCYPART_ARC
(4,1),-6.3037 # DEPENDENCYPART_ARC
(4,2),-1.97406 # DEPENDENCYPART_ARC
(4,3),-2.26152 # DEPENDENCYPART_ARC
(4,5),-1.84084 # DEPENDENCYPART_ARC
(4,6),-3.44445 # DEPENDENCYPART_ARC
(4,7),-4.5376 # DEPENDENCYPART_ARC
(4,8),-1.18174 # DEPENDENCYPART_ARC
(4,9),-1.36734 # DEPENDENCYPART_ARC
(4,10),-5.40388 # DEPENDENCYPART_ARC
(4,11),-7.099 # DEPENDENCYPART_ARC
(4,12),-3.04121 # DEPENDENCYPART_ARC
(4,13),-6.35873 # DEPENDENCYPART_ARC
(4,14),-3.56361 # DEPENDENCYPART_ARC
(4,15),-2.76211 # DEPENDENCYPART_ARC
(4,16),-3.78538 # DEPENDENCYPART_ARC
(4,17),-6.06824 # DEPENDENCYPART_ARC
(5,1),-1.37665 # DEPENDENCYPART_ARC
(5,2),0.481326 # DEPENDENCYPART_ARC
(5,3),0.20122 # DEPENDENCYPART_ARC
(5,4),3.30473 # DEPENDENCYPART_ARC
(5,6),-1.24075 # DEPENDENCYPART_ARC
(5,7),3.0493 # DEPENDENCYPART_ARC
(5,8),0.641712 # DEPENDENCYPART_ARC
(5,9),1.86068 # DEPENDENCYPART_ARC
(5,10),-2.25133 # DEPENDENCYPART_ARC
(5,11),-1.15587 # DEPENDENCYPART_ARC
(5,12),-0.42007 # DEPENDENCYPART_ARC
(5,13),-2.55575 # DEPENDENCYPART_ARC
(5,14),-2.62307 # DEPENDENCYPART_ARC
(5,15),-0.601333 # DEPENDENCYPART_ARC
(5,16),-4.20857 # DEPENDENCYPART_ARC
(5,17),-0.370649 # DEPENDENCYPART_ARC
(6,1),-4.34115 # DEPENDENCYPART_ARC
(6,2),-1.24138 # DEPENDENCYPART_ARC
(6,3),-0.830384 # DEPENDENCYPART_ARC
(6,4),-1.26127 # DEPENDENCYPART_ARC
(6,5),-4.10034 # DEPENDENCYPART_ARC
(6,7),-0.178624 # DEPENDENCYPART_ARC
(6,8),-0.72574 # DEPENDENCYPART_ARC
(6,9),0.333584 # DEPENDENCYPART_ARC
(6,10),-2.80946 # DEPENDENCYPART_ARC
(6,11),-3.22215 # DEPENDENCYPART_ARC
(6,12),-1.59257 # DEPENDENCYPART_ARC
(6,13),-4.46832 # DEPENDENCYPART_ARC
(6,14),-4.71975 # DEPENDENCYPART_ARC
(6,15),-2.03882 # DEPENDENCYPART_ARC
(6,16),-4.53107 # DEPENDENCYPART_ARC
(6,17),-2.71064 # DEPENDENCYPART_ARC
(7,1),-2.68545 # DEPENDENCYPART_ARC
(7,2),-0.673183 # DEPENDENCYPART_ARC
(7,3),-1.5184 # DEPENDENCYPART_ARC
(7,4),-1.28243 # DEPENDENCYPART_ARC
(7,5),-1.14787 # DEPENDENCYPART_ARC
(7,6),5.39702 # DEPENDENCYPART_ARC
(7,8),0.0367839 # DEPENDENCYPART_ARC
(7,9),0.589326 # DEPENDENCYPART_ARC
(7,10),-1.6204 # DEPENDENCYPART_ARC
(7,11),-2.15205 # DEPENDENCYPART_ARC
(7,12),-0.433849 # DEPENDENCYPART_ARC
(7,13),-2.02841 # DEPENDENCYPART_ARC
(7,14),-1.69824 # DEPENDENCYPART_ARC
(7,15),-0.996869 # DEPENDENCYPART_ARC
(7,16),-1.76333 # DEPENDENCYPART_ARC
(7,17),-4.21705 # DEPENDENCYPART_ARC
(8,1),-1.65208 # DEPENDENCYPART_ARC
(8,2),-0.226061 # DEPENDENCYPART_ARC
(8,3),-0.660693 # DEPENDENCYPART_ARC
(8,4),-1.276 # DEPENDENCYPART_ARC
(8,5),-0.353109 # DEPENDENCYPART_ARC
(8,6),-0.728313 # DEPENDENCYPART_ARC
(8,7),-0.973461 # DEPENDENCYPART_ARC
(8,9),0.144323 # DEPENDENCYPART_ARC
(8,10),0.174889 # DEPENDENCYPART_ARC
(8,11),-1.09178 # DEPENDENCYPART_ARC
(8,12),-0.956291 # DEPENDENCYPART_ARC
(8,13),-1.80609 # DEPENDENCYPART_ARC
(8,14),-1.81874 # DEPENDENCYPART_ARC
(8,15),-1.18782 # DEPENDENCYPART_ARC
(8,16),-2.39183 # DEPENDENCYPART_ARC
(8,17),-0.855872 # DEPENDENCYPART_ARC
(9,1),-0.80376 # DEPENDENCYPART_ARC
(9,2),-0.0643099 # DEPENDENCYPART_ARC
(9,3),-0.514703 # DEPENDENCYPART_ARC
(9,4),0.74614 # DEPENDENCYPART_ARC
(9,5),0.670354 # DEPENDENCYPART_ARC
(9,6),-0.476527 # DEPENDENCYPART_ARC
(9,7),-0.512376 # DEPENDENCYPART_ARC
(9,8),2.68702 # DEPENDENCYPART_ARC
(9,10),2.96221 # DEPENDENCYPART_ARC
(9,11),0.228711 # DEPENDENCYPART_ARC
(9,12),0.129287 # DEPENDENCYPART_ARC
(9,13),-0.777874 # DEPENDENCYPART_ARC
(9,14),-0.989307 # DEPENDENCYPART_ARC
(9,15),-0.314486 # DEPENDENCYPART_ARC
(9,16),-1.57916 # DEPENDENCYPART_ARC
(9,17),0.0609675 # DEPENDENCYPART_ARC
(10,1),-3.79127 # DEPENDENCYPART_ARC
(10,2),-1.50397 # DEPENDENCYPART_ARC
(10,3),-2.33766 # DEPENDENCYPART_ARC
(10,4),-0.374156 # DEPENDENCYPART_ARC
(10,5),-3.53227 # DEPENDENCYPART_ARC
(10,6),-4.20857 # DEPENDENCYPART_ARC
(10,7),-1.41227 # DEPENDENCYPART_ARC
(10,8),-0.0156292 # DEPENDENCYPART_ARC
(10,9),0.569485 # DEPENDENCYPART_ARC
(10,11),3.30632 # DEPENDENCYPART_ARC
(10,12),1.56127 # DEPENDENCYPART_ARC
(10,13),0.807542 # DEPENDENCYPART_ARC
(10,14),0.330249 # DEPENDENCYPART_ARC
(10,15),0.950462 # DEPENDENCYPART_ARC
(10,16),-1.62257 # DEPENDENCYPART_ARC
(10,17),-0.659753 # DEPENDENCYPART_ARC
(11,1),-4.41406 # DEPENDENCYPART_ARC
(11,2),-1.88078 # DEPENDENCYPART_ARC
(11,3),-4.00819 # DEPENDENCYPART_ARC
(11,4),-5.50445 # DEPENDENCYPART_ARC
(11,5),-2.95537 # DEPENDENCYPART_ARC
(11,6),-1.8699 # DEPENDENCYPART_ARC
(11,7),-3.78382 # DEPENDENCYPART_ARC
(11,8),-0.888744 # DEPENDENCYPART_ARC
(11,9),-0.355657 # DEPENDENCYPART_ARC
(11,10),-0.896436 # DEPENDENCYPART_ARC
(11,12),1.74812 # DEPENDENCYPART_ARC
(11,13),-0.496593 # DEPENDENCYPART_ARC
(11,14),-1.44023 # DEPENDENCYPART_ARC
(11,15),0.312311 # DEPENDENCYPART_ARC
(11,16),-1.60905 # DEPENDENCYPART_ARC
(11,17),-1.87975 # DEPENDENCYPART_ARC
(12,1),-3.44106 # DEPENDENCYPART_ARC
(12,2),-1.97217 # DEPENDENCYPART_ARC
(12,3),-2.39896 # DEPENDENCYPART_ARC
(12,4),-3.55806 # DEPENDENCYPART_ARC
(12,5),-3.50939 # DEPENDENCYPART_ARC
(12,6),-2.99626 # DEPENDENCYPART_ARC
(12,7),-2.51368 # DEPENDENCYPART_ARC
(12,8),-0.869328 # DEPENDENCYPART_ARC
(12,9),-1.28977 # DEPENDENCYPART_ARC
(12,10),-1.91586 # DEPENDENCYPART_ARC
(12,11),-1.67586 # DEPENDENCYPART_ARC
(12,13),4.13993 # DEPENDENCYPART_ARC
(12,14),-1.79962 # DEPENDENCYPART_ARC
(12,15),-1.16417 # DEPENDENCYPART_ARC
(12,16),-2.03692 # DEPENDENCYPART_ARC
(12,17),-0.557387 # DEPENDENCYPART_ARC
(13,1),-3.90964 # DEPENDENCYPART_ARC
(13,2),-2.00021 # DEPENDENCYPART_ARC
(13,3),-4.78919 # DEPENDENCYPART_ARC
(13,4),-5.69787 # DEPENDENCYPART_ARC
(13,5),-3.18955 # DEPENDENCYPART_ARC
(13,6),-2.13165 # DEPENDENCYPART_ARC
(13,7),-4.06146 # DEPENDENCYPART_ARC
(13,8),-1.14443 # DEPENDENCYPART_ARC
(13,9),-1.58357 # DEPENDENCYPART_ARC
(13,10),-1.92937 # DEPENDENCYPART_ARC
(13,11),-1.52066 # DEPENDENCYPART_ARC
(13,12),1.51569 # DEPENDENCYPART_ARC
(13,14),2.95028 # DEPENDENCYPART_ARC
(13,15),1.27645 # DEPENDENCYPART_ARC
(13,16),0.289589 # DEPENDENCYPART_ARC
(13,17),-0.954741 # DEPENDENCYPART_ARC
(14,1),-6.60877 # DEPENDENCYPART_ARC
(14,2),-2.44096 # DEPENDENCYPART_ARC
(14,3),-4.68072 # DEPENDENCYPART_ARC
(14,4),-4.63963 # DEPENDENCYPART_ARC
(14,5),-4.3022 # DEPENDENCYPART_ARC
(14,6),-5.30523 # DEPENDENCYPART_ARC
(14,7),-7.22862 # DEPENDENCYPART_ARC
(14,8),-1.59941 # DEPENDENCYPART_ARC
(14,9),-1.8164 # DEPENDENCYPART_ARC
(14,10),-3.19462 # DEPENDENCYPART_ARC
(14,11),-2.99149 # DEPENDENCYPART_ARC
(14,12),-0.761371 # DEPENDENCYPART_ARC
(14,13),-1.84982 # DEPENDENCYPART_ARC
(14,15),1.25279 # DEPENDENCYPART_ARC
(14,16),-0.345993 # DEPENDENCYPART_ARC
(14,17),-0.656762 # DEPENDENCYPART_ARC
(15,1),-3.20407 # DEPENDENCYPART_ARC
(15,2),-2.5633 # DEPENDENCYPART_ARC
(15,3),-2.60247 # DEPENDENCYPART_ARC
(15,4),-4.45817 # DEPENDENCYPART_ARC
(15,5),-3.29025 # DEPENDENCYPART_ARC
(15,6),-3.11375 # DEPENDENCYPART_ARC
(15,7),-3.5131 # DEPENDENCYPART_ARC
(15,8),-1.69314 # DEPENDENCYPART_ARC
(15,9),-1.85005 # DEPENDENCYPART_ARC
(15,10),-2.3773 # DEPENDENCYPART_ARC
(15,11),-2.89994 # DEPENDENCYPART_ARC
(15,12),-0.958927 # DEPENDENCYPART_ARC
(15,13),-0.378802 # DEPENDENCYPART_ARC
(15,14),-1.3931 # DEPENDENCYPART_ARC
(15,16),4.39841 # DEPENDENCYPART_ARC
(15,17),-0.365418 # DEPENDENCYPART_ARC
(16,1),-6.17083 # DEPENDENCYPART_ARC
(16,2),-2.77527 # DEPENDENCYPART_ARC
(16,3),-5.73091 # DEPENDENCYPART_ARC
(16,4),-5.45084 # DEPENDENCYPART_ARC
(16,5),-3.85046 # DEPENDENCYPART_ARC
(16,6),-5.81348 # DEPENDENCYPART_ARC
(16,7),-6.46307 # DEPENDENCYPART_ARC
(16,8),-2.08181 # DEPENDENCYPART_ARC
(16,9),-3.02649 # DEPENDENCYPART_ARC
(16,10),-3.07479 # DEPENDENCYPART_ARC
(16,11),-3.47723 # DEPENDENCYPART_ARC
(16,12),-1.14818 # DEPENDENCYPART_ARC
(16,13),-1.63786 # DEPENDENCYPART_ARC
(16,14),-0.622295 # DEPENDENCYPART_ARC
(16,15),-0.122945 # DEPENDENCYPART_ARC
(16,17),-0.0980428 # DEPENDENCYPART_ARC
(17,1),-5.21415 # DEPENDENCYPART_ARC
(17,2),-5.17005 # DEPENDENCYPART_ARC
(17,3),-4.79421 # DEPENDENCYPART_ARC
(17,4),-5.66026 # DEPENDENCYPART_ARC
(17,5),-4.53835 # DEPENDENCYPART_ARC
(17,6),-4.47038 # DEPENDENCYPART_ARC
(17,7),-4.66139 # DEPENDENCYPART_ARC
(17,8),-4.25466 # DEPENDENCYPART_ARC
(17,9),-3.43177 # DEPENDENCYPART_ARC
(17,10),-3.77095 # DEPENDENCYPART_ARC
(17,11),-3.44412 # DEPENDENCYPART_ARC
(17,12),-3.97823 # DEPENDENCYPART_ARC
(17,13),-2.81566 # DEPENDENCYPART_ARC
(17,14),-2.97766 # DEPENDENCYPART_ARC
(17,15),-3.51091 # DEPENDENCYPART_ARC
(17,16),-2.40263 # DEPENDENCYPART_ARC
