# _root_ Politizování odborů nelze zabránit , nelze ho zakázat , je legitimní .
#goldHeads=4,1,9,3,9,9,8,6,0,9,10,0,
#predictedHeads=4,1,0,3,3,9,8,6,3,9,10,0,
(3,2),-1.00285 # DEPENDENCYPART_ARC
(3,4),3.54822 # DEPENDENCYPART_ARC
(3,5),0.835384 # DEPENDENCYPART_ARC
(3,6),-2.71702 # DEPENDENCYPART_ARC
(3,7),-0.968481 # DEPENDENCYPART_ARC
(3,8),0.324127 # DEPENDENCYPART_ARC
(3,9),0.385984 # DEPENDENCYPART_ARC
(3,10),-3.31479 # DEPENDENCYPART_ARC
(3,11),-2.78404 # DEPENDENCYPART_ARC
(3,12),-0.997631 # DEPENDENCYPART_ARC
(4,1),3.15318 # DEPENDENCYPART_ARC
(4,2),1.14055 # DEPENDENCYPART_ARC
(4,3),0.656818 # DEPENDENCYPART_ARC
(4,5),0.639116 # DEPENDENCYPART_ARC
(4,6),-1.26481 # DEPENDENCYPART_ARC
(4,7),0.176066 # DEPENDENCYPART_ARC
(4,8),0.690612 # DEPENDENCYPART_ARC
(4,9),-0.45289 # DEPENDENCYPART_ARC
(4,10),-2.82474 # DEPENDENCYPART_ARC
(4,11),-3.08761 # DEPENDENCYPART_ARC
(4,12),-1.47709 # DEPENDENCYPART_ARC
(5,1),0.504306 # DEPENDENCYPART_ARC
(5,2),0.667811 # DEPENDENCYPART_ARC
(5,3),0.766466 # DEPENDENCYPART_ARC
(5,4),0.80608 # DEPENDENCYPART_ARC
(5,6),0.717813 # DEPENDENCYPART_ARC
(5,7),-0.418021 # DEPENDENCYPART_ARC
(5,8),-0.474108 # DEPENDENCYPART_ARC
(5,9),0.315686 # DEPENDENCYPART_ARC
(5,10),-1.44005 # DEPENDENCYPART_ARC
(5,11),-1.49055 # DEPENDENCYPART_ARC
(5,12),0.158163 # DEPENDENCYPART_ARC
(6,1),1.94549 # DEPENDENCYPART_ARC
(6,2),-2.50854 # DEPENDENCYPART_ARC
(6,3),0.146953 # DEPENDENCYPART_ARC
(6,4),1.89262 # DEPENDENCYPART_ARC
(6,5),0.470027 # DEPENDENCYPART_ARC
(6,7),1.79651 # DEPENDENCYPART_ARC
(6,8),3.29293 # DEPENDENCYPART_ARC
(6,9),0.75435 # DEPENDENCYPART_ARC
(6,10),-0.888848 # DEPENDENCYPART_ARC
(6,11),0.211305 # DEPENDENCYPART_ARC
(6,12),-0.553638 # DEPENDENCYPART_ARC
(7,1),-1.96705 # DEPENDENCYPART_ARC
(7,2),-1.1199 # DEPENDENCYPART_ARC
(7,3),-1.55862 # DEPENDENCYPART_ARC
(7,4),0.116607 # DEPENDENCYPART_ARC
(7,5),-0.335966 # DEPENDENCYPART_ARC
(7,6),-0.365634 # DEPENDENCYPART_ARC
(7,8),-0.54497 # DEPENDENCYPART_ARC
(7,9),-1.64574 # DEPENDENCYPART_ARC
(7,10),-4.37627 # DEPENDENCYPART_ARC
(7,11),-2.81984 # DEPENDENCYPART_ARC
(7,12),-1.75045 # DEPENDENCYPART_ARC
(8,1),1.49151 # DEPENDENCYPART_ARC
(8,2),-0.769824 # DEPENDENCYPART_ARC
(8,3),-2.4704 # DEPENDENCYPART_ARC
(8,4),-1.25825 # DEPENDENCYPART_ARC
(8,5),-0.463134 # DEPENDENCYPART_ARC
(8,6),-0.0472416 # DEPENDENCYPART_ARC
(8,7),4.51584 # DEPENDENCYPART_ARC
(8,9),0.860174 # DEPENDENCYPART_ARC
(8,10),-0.764715 # DEPENDENCYPART_ARC
(8,11),-1.21646 # DEPENDENCYPART_ARC
(8,12),-1.3296 # DEPENDENCYPART_ARC
(9,1),-0.628635 # DEPENDENCYPART_ARC
(9,2),-0.637235 # DEPENDENCYPART_ARC
(9,3),0.380269 # DEPENDENCYPART_ARC
(9,4),-0.164314 # DEPENDENCYPART_ARC
(9,5),0.62224 # DEPENDENCYPART_ARC
(9,6),1.37198 # DEPENDENCYPART_ARC
(9,7),0.717164 # DEPENDENCYPART_ARC
(9,8),0.574784 # DEPENDENCYPART_ARC
(9,10),0.0300293 # DEPENDENCYPART_ARC
(9,11),-0.738595 # DEPENDENCYPART_ARC
(9,12),-0.362792 # DEPENDENCYPART_ARC
(10,1),2.19443 # DEPENDENCYPART_ARC
(10,2),-2.2957 # DEPENDENCYPART_ARC
(10,3),-1.7877 # DEPENDENCYPART_ARC
(10,4),-0.857302 # DEPENDENCYPART_ARC
(10,5),-1.15396 # DEPENDENCYPART_ARC
(10,6),0.361109 # DEPENDENCYPART_ARC
(10,7),1.32219 # DEPENDENCYPART_ARC
(10,8),1.4343 # DEPENDENCYPART_ARC
(10,9),0.260803 # DEPENDENCYPART_ARC
(10,11),4.03496 # DEPENDENCYPART_ARC
(10,12),0.0335819 # DEPENDENCYPART_ARC
(11,1),-2.11855 # DEPENDENCYPART_ARC
(11,2),-4.83454 # DEPENDENCYPART_ARC
(11,3),-2.64544 # DEPENDENCYPART_ARC
(11,4),-1.61337 # DEPENDENCYPART_ARC
(11,5),-2.54019 # DEPENDENCYPART_ARC
(11,6),-2.18333 # DEPENDENCYPART_ARC
(11,7),-1.79353 # DEPENDENCYPART_ARC
(11,8),-0.765753 # DEPENDENCYPART_ARC
(11,9),-0.682006 # DEPENDENCYPART_ARC
(11,10),-1.29741 # DEPENDENCYPART_ARC
(11,12),0.247959 # DEPENDENCYPART_ARC
(12,1),-5.23159 # DEPENDENCYPART_ARC
(12,2),-4.80978 # DEPENDENCYPART_ARC
(12,3),-3.81146 # DEPENDENCYPART_ARC
(12,4),-4.12986 # DEPENDENCYPART_ARC
(12,5),-2.55445 # DEPENDENCYPART_ARC
(12,6),-3.3521 # DEPENDENCYPART_ARC
(12,7),-2.51312 # DEPENDENCYPART_ARC
(12,8),-3.61161 # DEPENDENCYPART_ARC
(12,9),-2.04524 # DEPENDENCYPART_ARC
(12,10),-3.33688 # DEPENDENCYPART_ARC
(12,11),-1.78545 # DEPENDENCYPART_ARC
