# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,6,13,13,13,13,13,6,13,14,0,16,0,
(3,16),-0.705001 # DEPENDENCYPART_ARC
(3,17),-1.00512 # DEPENDENCYPART_ARC
(3,18),-2.51986 # DEPENDENCYPART_ARC
(4,1),-3.34528 # DEPENDENCYPART_ARC
(4,2),-2.55043 # DEPENDENCYPART_ARC
(4,3),-0.896874 # DEPENDENCYPART_ARC
(4,5),-1.78093 # DEPENDENCYPART_ARC
(4,6),-0.751916 # DEPENDENCYPART_ARC
(4,7),-1.83785 # DEPENDENCYPART_ARC
(4,8),-0.990951 # DEPENDENCYPART_ARC
(4,9),-3.03761 # DEPENDENCYPART_ARC
(4,10),-1.08756 # DEPENDENCYPART_ARC
(4,11),-3.82713 # DEPENDENCYPART_ARC
(4,12),-5.52439 # DEPENDENCYPART_ARC
(4,13),-1.17545 # DEPENDENCYPART_ARC
(4,14),-4.85055 # DEPENDENCYPART_ARC
(4,15),-5.78411 # DEPENDENCYPART_ARC
(4,16),-5.37343 # DEPENDENCYPART_ARC
(4,17),-4.60396 # DEPENDENCYPART_ARC
(4,18),-4.07319 # DEPENDENCYPART_ARC
(5,1),3.24125 # DEPENDENCYPART_ARC
(5,2),1.18465 # DEPENDENCYPART_ARC
(5,3),2.40996 # DEPENDENCYPART_ARC
(5,4),4.39319 # DEPENDENCYPART_ARC
(5,6),2.49737 # DEPENDENCYPART_ARC
(5,7),0.182577 # DEPENDENCYPART_ARC
(5,8),-0.258919 # DEPENDENCYPART_ARC
(5,9),-0.866158 # DEPENDENCYPART_ARC
(5,10),-0.515591 # DEPENDENCYPART_ARC
(5,11),-1.16843 # DEPENDENCYPART_ARC
(5,12),-0.514956 # DEPENDENCYPART_ARC
(5,13),-0.362468 # DEPENDENCYPART_ARC
(5,14),-2.01097 # DEPENDENCYPART_ARC
(5,15),-1.27246 # DEPENDENCYPART_ARC
(5,16),-2.06399 # DEPENDENCYPART_ARC
(5,17),-1.52868 # DEPENDENCYPART_ARC
(5,18),-6.2792 # DEPENDENCYPART_ARC
(6,1),-3.11363 # DEPENDENCYPART_ARC
(6,2),-3.02331 # DEPENDENCYPART_ARC
(6,3),-1.59541 # DEPENDENCYPART_ARC
(6,4),-2.11216 # DEPENDENCYPART_ARC
(6,5),-3.22686 # DEPENDENCYPART_ARC
(6,7),3.8738 # DEPENDENCYPART_ARC
(6,8),0.180536 # DEPENDENCYPART_ARC
(6,9),0.734032 # DEPENDENCYPART_ARC
(6,10),0.25318 # DEPENDENCYPART_ARC
(6,11),-0.889097 # DEPENDENCYPART_ARC
(6,12),-5.86636 # DEPENDENCYPART_ARC
(6,13),1.51491 # DEPENDENCYPART_ARC
(6,14),-4.10966 # DEPENDENCYPART_ARC
(6,15),-6.60856 # DEPENDENCYPART_ARC
(6,16),-2.68755 # DEPENDENCYPART_ARC
(6,17),-4.59354 # DEPENDENCYPART_ARC
(6,18),-2.5008 # DEPENDENCYPART_ARC
(7,1),-5.15896 # DEPENDENCYPART_ARC
(7,2),-6.31036 # DEPENDENCYPART_ARC
(7,3),-0.746445 # DEPENDENCYPART_ARC
(7,4),-4.82553 # DEPENDENCYPART_ARC
(7,5),-3.40823 # DEPENDENCYPART_ARC
(7,6),-0.658519 # DEPENDENCYPART_ARC
(7,8),-0.47835 # DEPENDENCYPART_ARC
(7,9),0.0563229 # DEPENDENCYPART_ARC
(7,10),-0.750988 # DEPENDENCYPART_ARC
(7,11),-1.16484 # DEPENDENCYPART_ARC
(7,12),-2.86377 # DEPENDENCYPART_ARC
(7,13),-0.563881 # DEPENDENCYPART_ARC
(7,14),-3.62251 # DEPENDENCYPART_ARC
(7,15),-2.36704 # DEPENDENCYPART_ARC
(7,16),-2.05714 # DEPENDENCYPART_ARC
(7,17),-6.06409 # DEPENDENCYPART_ARC
(7,18),-5.82968 # DEPENDENCYPART_ARC
(8,1),-0.133669 # DEPENDENCYPART_ARC
(8,2),-0.127809 # DEPENDENCYPART_ARC
(8,3),-0.0703275 # DEPENDENCYPART_ARC
(8,4),0.165193 # DEPENDENCYPART_ARC
(8,5),1.10439 # DEPENDENCYPART_ARC
(8,6),-0.109164 # DEPENDENCYPART_ARC
(8,7),2.2566 # DEPENDENCYPART_ARC
(8,9),1.62137 # DEPENDENCYPART_ARC
(8,10),0.194907 # DEPENDENCYPART_ARC
(8,11),-0.0744235 # DEPENDENCYPART_ARC
(8,12),0.0466545 # DEPENDENCYPART_ARC
(8,13),0.112525 # DEPENDENCYPART_ARC
(8,14),-1.26663 # DEPENDENCYPART_ARC
(8,15),-1.45661 # DEPENDENCYPART_ARC
(8,16),-1.0329 # DEPENDENCYPART_ARC
(8,17),-2.02655 # DEPENDENCYPART_ARC
(8,18),-1.01219 # DEPENDENCYPART_ARC
(9,1),-5.22427 # DEPENDENCYPART_ARC
(9,2),-6.82579 # DEPENDENCYPART_ARC
(9,3),-0.083638 # DEPENDENCYPART_ARC
(9,4),-5.06019 # DEPENDENCYPART_ARC
(9,5),-4.19791 # DEPENDENCYPART_ARC
(9,6),-0.817577 # DEPENDENCYPART_ARC
(9,7),0.0113159 # DEPENDENCYPART_ARC
(9,8),0.31861 # DEPENDENCYPART_ARC
(9,10),0.0827107 # DEPENDENCYPART_ARC
(9,11),0.114827 # DEPENDENCYPART_ARC
(9,12),-0.109369 # DEPENDENCYPART_ARC
(9,13),0.096345 # DEPENDENCYPART_ARC
(9,14),-2.4332 # DEPENDENCYPART_ARC
(9,15),-0.785436 # DEPENDENCYPART_ARC
(9,16),-1.28741 # DEPENDENCYPART_ARC
(9,17),-4.42657 # DEPENDENCYPART_ARC
(9,18),-4.04031 # DEPENDENCYPART_ARC
(10,1),-0.100958 # DEPENDENCYPART_ARC
(10,2),-0.128081 # DEPENDENCYPART_ARC
(10,3),-0.131332 # DEPENDENCYPART_ARC
(10,4),-0.0604194 # DEPENDENCYPART_ARC
(10,5),0.963546 # DEPENDENCYPART_ARC
(10,6),-0.103064 # DEPENDENCYPART_ARC
(10,7),2.44285 # DEPENDENCYPART_ARC
(10,8),1.29583 # DEPENDENCYPART_ARC
(10,9),2.12192 # DEPENDENCYPART_ARC
(10,11),1.55222 # DEPENDENCYPART_ARC
(10,12),1.02485 # DEPENDENCYPART_ARC
(10,13),0.749917 # DEPENDENCYPART_ARC
(10,14),-0.318039 # DEPENDENCYPART_ARC
(10,15),-0.530862 # DEPENDENCYPART_ARC
(10,16),-0.235153 # DEPENDENCYPART_ARC
(10,17),-1.47471 # DEPENDENCYPART_ARC
(10,18),-0.357884 # DEPENDENCYPART_ARC
(11,1),-5.90816 # DEPENDENCYPART_ARC
(11,2),-7.14449 # DEPENDENCYPART_ARC
(11,3),-0.154268 # DEPENDENCYPART_ARC
(11,4),-5.7407 # DEPENDENCYPART_ARC
(11,5),-4.71609 # DEPENDENCYPART_ARC
(11,6),-0.889073 # DEPENDENCYPART_ARC
(11,7),-0.684158 # DEPENDENCYPART_ARC
(11,8),-0.553989 # DEPENDENCYPART_ARC
(11,9),-1.60938 # DEPENDENCYPART_ARC
(11,10),0.41432 # DEPENDENCYPART_ARC
(11,12),3.14692 # DEPENDENCYPART_ARC
(11,13),1.58472 # DEPENDENCYPART_ARC
(11,14),-0.769349 # DEPENDENCYPART_ARC
(11,15),1.39333 # DEPENDENCYPART_ARC
(11,16),-1.76312 # DEPENDENCYPART_ARC
(11,17),-4.60657 # DEPENDENCYPART_ARC
(11,18),-2.45507 # DEPENDENCYPART_ARC
(12,1),-4.94674 # DEPENDENCYPART_ARC
(12,2),-6.13528 # DEPENDENCYPART_ARC
(12,3),-0.459307 # DEPENDENCYPART_ARC
(12,4),-4.83986 # DEPENDENCYPART_ARC
(12,5),-7.65618 # DEPENDENCYPART_ARC
(12,6),-2.83147 # DEPENDENCYPART_ARC
(12,7),-5.83713 # DEPENDENCYPART_ARC
(12,8),-1.31413 # DEPENDENCYPART_ARC
(12,9),-7.28123 # DEPENDENCYPART_ARC
(12,10),-0.747307 # DEPENDENCYPART_ARC
(12,11),-2.99499 # DEPENDENCYPART_ARC
(12,13),-0.615163 # DEPENDENCYPART_ARC
(12,14),-2.4981 # DEPENDENCYPART_ARC
(12,15),-0.692431 # DEPENDENCYPART_ARC
(12,16),-3.61019 # DEPENDENCYPART_ARC
(12,17),-4.84812 # DEPENDENCYPART_ARC
(12,18),-3.22153 # DEPENDENCYPART_ARC
(13,1),-0.266054 # DEPENDENCYPART_ARC
(13,2),-0.550301 # DEPENDENCYPART_ARC
(13,3),-0.0717531 # DEPENDENCYPART_ARC
(13,4),0.185378 # DEPENDENCYPART_ARC
(13,5),0.530675 # DEPENDENCYPART_ARC
(13,6),-0.469031 # DEPENDENCYPART_ARC
(13,7),2.96158 # DEPENDENCYPART_ARC
(13,8),1.4851 # DEPENDENCYPART_ARC
(13,9),2.26368 # DEPENDENCYPART_ARC
(13,10),1.84539 # DEPENDENCYPART_ARC
(13,11),1.65635 # DEPENDENCYPART_ARC
(13,12),4.10029 # DEPENDENCYPART_ARC
(13,14),3.28601 # DEPENDENCYPART_ARC
(13,15),2.33413 # DEPENDENCYPART_ARC
(13,16),0.792657 # DEPENDENCYPART_ARC
(13,17),-0.551876 # DEPENDENCYPART_ARC
(13,18),-0.501933 # DEPENDENCYPART_ARC
(14,1),-6.47311 # DEPENDENCYPART_ARC
(14,2),-7.87106 # DEPENDENCYPART_ARC
(14,3),-2.03044 # DEPENDENCYPART_ARC
(14,4),-6.4954 # DEPENDENCYPART_ARC
(14,5),-6.0191 # DEPENDENCYPART_ARC
(14,6),-3.02351 # DEPENDENCYPART_ARC
(14,7),-3.4537 # DEPENDENCYPART_ARC
(14,8),-2.16088 # DEPENDENCYPART_ARC
(14,9),-4.77424 # DEPENDENCYPART_ARC
(14,10),-1.792 # DEPENDENCYPART_ARC
(14,11),-3.16065 # DEPENDENCYPART_ARC
(14,12),-3.22825 # DEPENDENCYPART_ARC
(14,13),-0.766828 # DEPENDENCYPART_ARC
(14,15),3.39291 # DEPENDENCYPART_ARC
(14,16),-1.15545 # DEPENDENCYPART_ARC
(14,17),-3.95711 # DEPENDENCYPART_ARC
(14,18),-1.32691 # DEPENDENCYPART_ARC
(15,1),-8.13737 # DEPENDENCYPART_ARC
(15,2),-9.32856 # DEPENDENCYPART_ARC
(15,3),-0.510926 # DEPENDENCYPART_ARC
(15,4),-7.8884 # DEPENDENCYPART_ARC
(15,5),-7.19246 # DEPENDENCYPART_ARC
(15,6),-1.92436 # DEPENDENCYPART_ARC
(15,7),-4.71668 # DEPENDENCYPART_ARC
(15,8),-1.59354 # DEPENDENCYPART_ARC
(15,9),-6.0159 # DEPENDENCYPART_ARC
(15,10),-1.25844 # DEPENDENCYPART_ARC
(15,11),-3.59211 # DEPENDENCYPART_ARC
(15,12),-1.75502 # DEPENDENCYPART_ARC
(15,13),0.359826 # DEPENDENCYPART_ARC
(15,14),-1.8862 # DEPENDENCYPART_ARC
(15,16),-1.48184 # DEPENDENCYPART_ARC
(15,17),-4.49646 # DEPENDENCYPART_ARC
(15,18),-0.859784 # DEPENDENCYPART_ARC
(16,1),-4.33772 # DEPENDENCYPART_ARC
(16,2),-3.77538 # DEPENDENCYPART_ARC
(16,3),0.237063 # DEPENDENCYPART_ARC
(16,4),-3.96183 # DEPENDENCYPART_ARC
(16,5),1.24032 # DEPENDENCYPART_ARC
(16,6),-2.19741 # DEPENDENCYPART_ARC
(16,7),-3.59432 # DEPENDENCYPART_ARC
(16,8),-0.947081 # DEPENDENCYPART_ARC
(16,9),-2.33674 # DEPENDENCYPART_ARC
(16,10),-0.375939 # DEPENDENCYPART_ARC
(16,11),-0.275888 # DEPENDENCYPART_ARC
(16,12),-1.7872 # DEPENDENCYPART_ARC
(16,13),1.21262 # DEPENDENCYPART_ARC
(16,14),2.03337 # DEPENDENCYPART_ARC
(16,15),-0.834082 # DEPENDENCYPART_ARC
(16,17),3.42274 # DEPENDENCYPART_ARC
(16,18),0.0226051 # DEPENDENCYPART_ARC
(17,1),-3.76493 # DEPENDENCYPART_ARC
(17,2),-3.53124 # DEPENDENCYPART_ARC
(17,3),-1.6267 # DEPENDENCYPART_ARC
(17,4),-3.40137 # DEPENDENCYPART_ARC
(17,5),-3.38334 # DEPENDENCYPART_ARC
(17,6),-1.72052 # DEPENDENCYPART_ARC
(17,7),-2.70368 # DEPENDENCYPART_ARC
(17,8),-1.62363 # DEPENDENCYPART_ARC
(17,9),-2.99793 # DEPENDENCYPART_ARC
(17,10),-1.29825 # DEPENDENCYPART_ARC
(17,11),-2.79443 # DEPENDENCYPART_ARC
(17,12),-3.30279 # DEPENDENCYPART_ARC
(17,13),-0.642533 # DEPENDENCYPART_ARC
(17,14),-2.67313 # DEPENDENCYPART_ARC
(17,15),-2.04978 # DEPENDENCYPART_ARC
(17,16),-1.09661 # DEPENDENCYPART_ARC
(17,18),0.208562 # DEPENDENCYPART_ARC
(18,1),-4.55039 # DEPENDENCYPART_ARC
(18,2),-4.47234 # DEPENDENCYPART_ARC
(18,3),-4.72828 # DEPENDENCYPART_ARC
(18,4),-4.45298 # DEPENDENCYPART_ARC
(18,5),-4.92056 # DEPENDENCYPART_ARC
(18,6),-5.40853 # DEPENDENCYPART_ARC
(18,7),-3.50396 # DEPENDENCYPART_ARC
(18,8),-3.43889 # DEPENDENCYPART_ARC
(18,9),-3.47611 # DEPENDENCYPART_ARC
(18,10),-3.45385 # DEPENDENCYPART_ARC
(18,11),-3.57474 # DEPENDENCYPART_ARC
(18,12),-3.69211 # DEPENDENCYPART_ARC
(18,13),-4.01175 # DEPENDENCYPART_ARC
(18,14),-3.49386 # DEPENDENCYPART_ARC
(18,15),-3.21884 # DEPENDENCYPART_ARC
(18,16),-3.60485 # DEPENDENCYPART_ARC
(18,17),-1.93879 # DEPENDENCYPART_ARC
