# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,9,13,16,5,16,19,16,19,22,20,22,0,
(5,24),-1.3529 # DEPENDENCYPART_ARC
(6,1),-0.955969 # DEPENDENCYPART_ARC
(6,2),-0.995681 # DEPENDENCYPART_ARC
(6,3),-0.698727 # DEPENDENCYPART_ARC
(6,4),-0.0902405 # DEPENDENCYPART_ARC
(6,5),0.2516 # DEPENDENCYPART_ARC
(6,7),-0.0734703 # DEPENDENCYPART_ARC
(6,8),-0.828989 # DEPENDENCYPART_ARC
(6,9),-1.41724 # DEPENDENCYPART_ARC
(6,10),-1.7615 # DEPENDENCYPART_ARC
(6,11),-1.05053 # DEPENDENCYPART_ARC
(6,12),-2.62156 # DEPENDENCYPART_ARC
(6,13),-1.96087 # DEPENDENCYPART_ARC
(6,14),-2.09664 # DEPENDENCYPART_ARC
(6,15),-1.58988 # DEPENDENCYPART_ARC
(6,16),-1.53559 # DEPENDENCYPART_ARC
(6,17),-3.79536 # DEPENDENCYPART_ARC
(6,18),-2.08755 # DEPENDENCYPART_ARC
(6,19),-3.99156 # DEPENDENCYPART_ARC
(6,20),-2.77695 # DEPENDENCYPART_ARC
(6,21),-2.31773 # DEPENDENCYPART_ARC
(6,22),-4.61638 # DEPENDENCYPART_ARC
(6,23),-4.8976 # DEPENDENCYPART_ARC
(6,24),-4.38794 # DEPENDENCYPART_ARC
(7,1),-1.33819 # DEPENDENCYPART_ARC
(7,2),-0.973545 # DEPENDENCYPART_ARC
(7,3),-1.96301 # DEPENDENCYPART_ARC
(7,4),1.04678 # DEPENDENCYPART_ARC
(7,5),-0.0083 # DEPENDENCYPART_ARC
(7,6),0.717081 # DEPENDENCYPART_ARC
(7,8),3.80865 # DEPENDENCYPART_ARC
(7,9),-0.504631 # DEPENDENCYPART_ARC
(7,10),-0.417365 # DEPENDENCYPART_ARC
(7,11),0.522094 # DEPENDENCYPART_ARC
(7,12),-1.49276 # DEPENDENCYPART_ARC
(7,13),-1.84272 # DEPENDENCYPART_ARC
(7,14),-1.71172 # DEPENDENCYPART_ARC
(7,15),0.0747168 # DEPENDENCYPART_ARC
(7,16),-1.88719 # DEPENDENCYPART_ARC
(7,17),-6.52773 # DEPENDENCYPART_ARC
(7,18),-3.24105 # DEPENDENCYPART_ARC
(7,19),-5.70121 # DEPENDENCYPART_ARC
(7,20),-2.70208 # DEPENDENCYPART_ARC
(7,21),-2.42793 # DEPENDENCYPART_ARC
(7,22),-5.05906 # DEPENDENCYPART_ARC
(7,23),-7.13273 # DEPENDENCYPART_ARC
(7,24),-2.91541 # DEPENDENCYPART_ARC
(8,1),-1.44889 # DEPENDENCYPART_ARC
(8,2),-2.61996 # DEPENDENCYPART_ARC
(8,3),-5.06285 # DEPENDENCYPART_ARC
(8,4),-0.362974 # DEPENDENCYPART_ARC
(8,5),-0.492541 # DEPENDENCYPART_ARC
(8,6),2.10106 # DEPENDENCYPART_ARC
(8,7),0.574378 # DEPENDENCYPART_ARC
(8,9),3.70077 # DEPENDENCYPART_ARC
(8,10),1.8732 # DEPENDENCYPART_ARC
(8,11),0.613976 # DEPENDENCYPART_ARC
(8,12),1.24374 # DEPENDENCYPART_ARC
(8,13),0.574352 # DEPENDENCYPART_ARC
(8,14),-2.38362 # DEPENDENCYPART_ARC
(8,15),-0.774403 # DEPENDENCYPART_ARC
(8,16),-0.718011 # DEPENDENCYPART_ARC
(8,17),-3.86969 # DEPENDENCYPART_ARC
(8,18),-1.26868 # DEPENDENCYPART_ARC
(8,19),-4.0118 # DEPENDENCYPART_ARC
(8,20),-0.326998 # DEPENDENCYPART_ARC
(8,21),-2.70403 # DEPENDENCYPART_ARC
(8,22),-2.98019 # DEPENDENCYPART_ARC
(8,23),-1.9067 # DEPENDENCYPART_ARC
(8,24),-7.22285 # DEPENDENCYPART_ARC
(9,1),-1.22917 # DEPENDENCYPART_ARC
(9,2),-4.90791 # DEPENDENCYPART_ARC
(9,3),-4.51529 # DEPENDENCYPART_ARC
(9,4),-0.597291 # DEPENDENCYPART_ARC
(9,5),-0.760156 # DEPENDENCYPART_ARC
(9,6),1.03021 # DEPENDENCYPART_ARC
(9,7),0.139236 # DEPENDENCYPART_ARC
(9,8),-1.48612 # DEPENDENCYPART_ARC
(9,10),3.61385 # DEPENDENCYPART_ARC
(9,11),1.57782 # DEPENDENCYPART_ARC
(9,12),1.71097 # DEPENDENCYPART_ARC
(9,13),1.43089 # DEPENDENCYPART_ARC
(9,14),-2.91233 # DEPENDENCYPART_ARC
(9,15),-0.0930686 # DEPENDENCYPART_ARC
(9,16),0.582658 # DEPENDENCYPART_ARC
(9,17),-3.04189 # DEPENDENCYPART_ARC
(9,18),-2.68566 # DEPENDENCYPART_ARC
(9,19),-4.67897 # DEPENDENCYPART_ARC
(9,20),0.556429 # DEPENDENCYPART_ARC
(9,21),-2.49323 # DEPENDENCYPART_ARC
(9,22),-2.89229 # DEPENDENCYPART_ARC
(9,23),-1.01152 # DEPENDENCYPART_ARC
(9,24),-6.00369 # DEPENDENCYPART_ARC
(10,1),-2.39604 # DEPENDENCYPART_ARC
(10,2),-6.03961 # DEPENDENCYPART_ARC
(10,3),-6.97355 # DEPENDENCYPART_ARC
(10,4),-0.82019 # DEPENDENCYPART_ARC
(10,5),-1.00736 # DEPENDENCYPART_ARC
(10,6),0.324413 # DEPENDENCYPART_ARC
(10,7),-0.992079 # DEPENDENCYPART_ARC
(10,8),-3.09118 # DEPENDENCYPART_ARC
(10,9),-3.3625 # DEPENDENCYPART_ARC
(10,11),3.09745 # DEPENDENCYPART_ARC
(10,12),-1.38804 # DEPENDENCYPART_ARC
(10,13),-1.44126 # DEPENDENCYPART_ARC
(10,14),-2.37061 # DEPENDENCYPART_ARC
(10,15),-0.114733 # DEPENDENCYPART_ARC
(10,16),-3.92611 # DEPENDENCYPART_ARC
(10,17),-4.06311 # DEPENDENCYPART_ARC
(10,18),-3.07241 # DEPENDENCYPART_ARC
(10,19),-5.61547 # DEPENDENCYPART_ARC
(10,20),-1.64368 # DEPENDENCYPART_ARC
(10,21),-2.90319 # DEPENDENCYPART_ARC
(10,22),-3.5813 # DEPENDENCYPART_ARC
(10,23),-3.1097 # DEPENDENCYPART_ARC
(10,24),-5.86187 # DEPENDENCYPART_ARC
(11,1),-3.15683 # DEPENDENCYPART_ARC
(11,2),-0.549251 # DEPENDENCYPART_ARC
(11,3),-0.47319 # DEPENDENCYPART_ARC
(11,4),-2.06909 # DEPENDENCYPART_ARC
(11,5),-1.5202 # DEPENDENCYPART_ARC
(11,6),-1.33537 # DEPENDENCYPART_ARC
(11,7),-2.05397 # DEPENDENCYPART_ARC
(11,8),0.0978364 # DEPENDENCYPART_ARC
(11,9),-0.345405 # DEPENDENCYPART_ARC
(11,10),0.489518 # DEPENDENCYPART_ARC
(11,12),-0.309914 # DEPENDENCYPART_ARC
(11,13),-1.22641 # DEPENDENCYPART_ARC
(11,14),-1.38716 # DEPENDENCYPART_ARC
(11,15),-0.0234417 # DEPENDENCYPART_ARC
(11,16),-1.05465 # DEPENDENCYPART_ARC
(11,17),-2.66971 # DEPENDENCYPART_ARC
(11,18),-2.36666 # DEPENDENCYPART_ARC
(11,19),-2.92728 # DEPENDENCYPART_ARC
(11,20),-2.23746 # DEPENDENCYPART_ARC
(11,21),-2.87766 # DEPENDENCYPART_ARC
(11,22),-3.17999 # DEPENDENCYPART_ARC
(11,23),-2.59605 # DEPENDENCYPART_ARC
(11,24),-0.902089 # DEPENDENCYPART_ARC
(12,1),-1.60896 # DEPENDENCYPART_ARC
(12,2),-3.71167 # DEPENDENCYPART_ARC
(12,3),-2.3109 # DEPENDENCYPART_ARC
(12,4),-0.0974564 # DEPENDENCYPART_ARC
(12,5),0.0955374 # DEPENDENCYPART_ARC
(12,6),0.668127 # DEPENDENCYPART_ARC
(12,7),-0.388704 # DEPENDENCYPART_ARC
(12,8),-1.37102 # DEPENDENCYPART_ARC
(12,9),1.66088 # DEPENDENCYPART_ARC
(12,10),8.77564 # DEPENDENCYPART_ARC
(12,11),0.406213 # DEPENDENCYPART_ARC
(12,13),-0.76047 # DEPENDENCYPART_ARC
(12,14),-3.56763 # DEPENDENCYPART_ARC
(12,15),-0.217805 # DEPENDENCYPART_ARC
(12,16),-0.931619 # DEPENDENCYPART_ARC
(12,17),-3.2066 # DEPENDENCYPART_ARC
(12,18),-2.77785 # DEPENDENCYPART_ARC
(12,19),-5.89562 # DEPENDENCYPART_ARC
(12,20),-1.63703 # DEPENDENCYPART_ARC
(12,21),-2.93706 # DEPENDENCYPART_ARC
(12,22),-4.46129 # DEPENDENCYPART_ARC
(12,23),-3.14165 # DEPENDENCYPART_ARC
(12,24),-4.14606 # DEPENDENCYPART_ARC
(13,1),-1.72555 # DEPENDENCYPART_ARC
(13,2),-1.0374 # DEPENDENCYPART_ARC
(13,3),-2.04505 # DEPENDENCYPART_ARC
(13,4),-1.10552 # DEPENDENCYPART_ARC
(13,5),-1.62419 # DEPENDENCYPART_ARC
(13,6),-2.19519 # DEPENDENCYPART_ARC
(13,7),-1.04976 # DEPENDENCYPART_ARC
(13,8),-0.169845 # DEPENDENCYPART_ARC
(13,9),-2.04256 # DEPENDENCYPART_ARC
(13,10),-2.55592 # DEPENDENCYPART_ARC
(13,11),-0.619215 # DEPENDENCYPART_ARC
(13,12),-0.77766 # DEPENDENCYPART_ARC
(13,14),3.61409 # DEPENDENCYPART_ARC
(13,15),-0.216099 # DEPENDENCYPART_ARC
(13,16),-1.37098 # DEPENDENCYPART_ARC
(13,17),-2.44062 # DEPENDENCYPART_ARC
(13,18),-0.729078 # DEPENDENCYPART_ARC
(13,19),0.00566791 # DEPENDENCYPART_ARC
(13,20),-1.89054 # DEPENDENCYPART_ARC
(13,21),-1.70819 # DEPENDENCYPART_ARC
(13,22),-3.10462 # DEPENDENCYPART_ARC
(13,23),-6.03553 # DEPENDENCYPART_ARC
(13,24),-1.88915 # DEPENDENCYPART_ARC
(14,1),-1.77779 # DEPENDENCYPART_ARC
(14,2),-2.08206 # DEPENDENCYPART_ARC
(14,3),-1.51679 # DEPENDENCYPART_ARC
(14,4),-1.07553 # DEPENDENCYPART_ARC
(14,5),-2.05229 # DEPENDENCYPART_ARC
(14,6),-0.259534 # DEPENDENCYPART_ARC
(14,7),-1.3142 # DEPENDENCYPART_ARC
(14,8),-1.54746 # DEPENDENCYPART_ARC
(14,9),-1.05135 # DEPENDENCYPART_ARC
(14,10),-1.38901 # DEPENDENCYPART_ARC
(14,11),-0.573339 # DEPENDENCYPART_ARC
(14,12),-1.33142 # DEPENDENCYPART_ARC
(14,13),0.0873959 # DEPENDENCYPART_ARC
(14,15),-1.25714 # DEPENDENCYPART_ARC
(14,16),-2.00961 # DEPENDENCYPART_ARC
(14,17),-1.90619 # DEPENDENCYPART_ARC
(14,18),-0.854196 # DEPENDENCYPART_ARC
(14,19),-0.649822 # DEPENDENCYPART_ARC
(14,20),-2.03343 # DEPENDENCYPART_ARC
(14,21),-1.89882 # DEPENDENCYPART_ARC
(14,22),-1.84502 # DEPENDENCYPART_ARC
(14,23),-2.20344 # DEPENDENCYPART_ARC
(14,24),-1.57123 # DEPENDENCYPART_ARC
(15,1),-1.09165 # DEPENDENCYPART_ARC
(15,2),-0.0573362 # DEPENDENCYPART_ARC
(15,3),-0.952739 # DEPENDENCYPART_ARC
(15,4),-0.523005 # DEPENDENCYPART_ARC
(15,5),-0.569931 # DEPENDENCYPART_ARC
(15,6),-0.316708 # DEPENDENCYPART_ARC
(15,7),-0.842779 # DEPENDENCYPART_ARC
(15,8),0.377979 # DEPENDENCYPART_ARC
(15,9),0.0608355 # DEPENDENCYPART_ARC
(15,10),-0.50344 # DEPENDENCYPART_ARC
(15,11),-0.761722 # DEPENDENCYPART_ARC
(15,12),-0.0251167 # DEPENDENCYPART_ARC
(15,13),-0.107919 # DEPENDENCYPART_ARC
(15,14),0.841638 # DEPENDENCYPART_ARC
(15,16),0.727801 # DEPENDENCYPART_ARC
(15,17),-0.780403 # DEPENDENCYPART_ARC
(15,18),-0.233182 # DEPENDENCYPART_ARC
(15,19),-1.44208 # DEPENDENCYPART_ARC
(15,20),-1.14397 # DEPENDENCYPART_ARC
(15,21),-0.999131 # DEPENDENCYPART_ARC
(15,22),-2.09483 # DEPENDENCYPART_ARC
(15,23),-2.00847 # DEPENDENCYPART_ARC
(15,24),-1.00329 # DEPENDENCYPART_ARC
(16,1),0.881523 # DEPENDENCYPART_ARC
(16,2),-0.921344 # DEPENDENCYPART_ARC
(16,3),-3.74391 # DEPENDENCYPART_ARC
(16,4),-0.21621 # DEPENDENCYPART_ARC
(16,5),0.558965 # DEPENDENCYPART_ARC
(16,6),-0.827853 # DEPENDENCYPART_ARC
(16,7),0.0229628 # DEPENDENCYPART_ARC
(16,8),-0.187036 # DEPENDENCYPART_ARC
(16,9),-2.13588 # DEPENDENCYPART_ARC
(16,10),-2.13222 # DEPENDENCYPART_ARC
(16,11),0.272002 # DEPENDENCYPART_ARC
(16,12),-3.15289 # DEPENDENCYPART_ARC
(16,13),0.717155 # DEPENDENCYPART_ARC
(16,14),1.71432 # DEPENDENCYPART_ARC
(16,15),0.93911 # DEPENDENCYPART_ARC
(16,17),3.62961 # DEPENDENCYPART_ARC
(16,18),-0.245061 # DEPENDENCYPART_ARC
(16,19),2.52463 # DEPENDENCYPART_ARC
(16,20),1.66341 # DEPENDENCYPART_ARC
(16,21),-3.0711 # DEPENDENCYPART_ARC
(16,22),-0.574448 # DEPENDENCYPART_ARC
(16,23),-0.428692 # DEPENDENCYPART_ARC
(16,24),0.0994231 # DEPENDENCYPART_ARC
(17,1),-2.11238 # DEPENDENCYPART_ARC
(17,2),-7.67789 # DEPENDENCYPART_ARC
(17,3),-8.24726 # DEPENDENCYPART_ARC
(17,4),-2.26038 # DEPENDENCYPART_ARC
(17,5),-3.70687 # DEPENDENCYPART_ARC
(17,6),-2.18752 # DEPENDENCYPART_ARC
(17,7),-1.21463 # DEPENDENCYPART_ARC
(17,8),-5.74228 # DEPENDENCYPART_ARC
(17,9),-5.02523 # DEPENDENCYPART_ARC
(17,10),-0.854481 # DEPENDENCYPART_ARC
(17,11),-2.9018 # DEPENDENCYPART_ARC
(17,12),-4.52631 # DEPENDENCYPART_ARC
(17,13),-0.0196619 # DEPENDENCYPART_ARC
(17,14),-4.43583 # DEPENDENCYPART_ARC
(17,15),-0.851996 # DEPENDENCYPART_ARC
(17,16),-2.43801 # DEPENDENCYPART_ARC
(17,18),-0.638127 # DEPENDENCYPART_ARC
(17,19),-0.551174 # DEPENDENCYPART_ARC
(17,20),1.45859 # DEPENDENCYPART_ARC
(17,21),-1.2483 # DEPENDENCYPART_ARC
(17,22),0.533652 # DEPENDENCYPART_ARC
(17,23),0.774389 # DEPENDENCYPART_ARC
(17,24),-2.4448 # DEPENDENCYPART_ARC
(18,1),-2.45242 # DEPENDENCYPART_ARC
(18,2),-1.77756 # DEPENDENCYPART_ARC
(18,3),-4.38754 # DEPENDENCYPART_ARC
(18,4),-2.14118 # DEPENDENCYPART_ARC
(18,5),-1.71696 # DEPENDENCYPART_ARC
(18,6),-3.01277 # DEPENDENCYPART_ARC
(18,7),-1.54201 # DEPENDENCYPART_ARC
(18,8),-1.22891 # DEPENDENCYPART_ARC
(18,9),-3.67245 # DEPENDENCYPART_ARC
(18,10),-1.36446 # DEPENDENCYPART_ARC
(18,11),-2.03176 # DEPENDENCYPART_ARC
(18,12),-4.38622 # DEPENDENCYPART_ARC
(18,13),-0.247365 # DEPENDENCYPART_ARC
(18,14),-0.651598 # DEPENDENCYPART_ARC
(18,15),-0.749545 # DEPENDENCYPART_ARC
(18,16),-3.38619 # DEPENDENCYPART_ARC
(18,17),-1.66405 # DEPENDENCYPART_ARC
(18,19),0.934753 # DEPENDENCYPART_ARC
(18,20),0.247831 # DEPENDENCYPART_ARC
(18,21),-3.14542 # DEPENDENCYPART_ARC
(18,22),-0.732845 # DEPENDENCYPART_ARC
(18,23),-2.5579 # DEPENDENCYPART_ARC
(18,24),-1.15834 # DEPENDENCYPART_ARC
(19,1),-2.06034 # DEPENDENCYPART_ARC
(19,2),-5.80692 # DEPENDENCYPART_ARC
(19,3),-6.6579 # DEPENDENCYPART_ARC
(19,4),-1.9323 # DEPENDENCYPART_ARC
(19,5),-2.65766 # DEPENDENCYPART_ARC
(19,6),-1.32423 # DEPENDENCYPART_ARC
(19,7),-1.13773 # DEPENDENCYPART_ARC
(19,8),-3.90722 # DEPENDENCYPART_ARC
(19,9),-4.16659 # DEPENDENCYPART_ARC
(19,10),-0.309984 # DEPENDENCYPART_ARC
(19,11),-2.56711 # DEPENDENCYPART_ARC
(19,12),-3.38658 # DEPENDENCYPART_ARC
(19,13),-0.151679 # DEPENDENCYPART_ARC
(19,14),-0.129704 # DEPENDENCYPART_ARC
(19,15),-0.613948 # DEPENDENCYPART_ARC
(19,16),-2.41975 # DEPENDENCYPART_ARC
(19,17),-1.65462 # DEPENDENCYPART_ARC
(19,18),5.62032 # DEPENDENCYPART_ARC
(19,20),2.19305 # DEPENDENCYPART_ARC
(19,21),-0.440173 # DEPENDENCYPART_ARC
(19,22),0.551028 # DEPENDENCYPART_ARC
(19,23),0.71594 # DEPENDENCYPART_ARC
(19,24),-1.21763 # DEPENDENCYPART_ARC
(20,1),-3.39627 # DEPENDENCYPART_ARC
(20,2),-2.81237 # DEPENDENCYPART_ARC
(20,3),-3.95469 # DEPENDENCYPART_ARC
(20,4),-2.6433 # DEPENDENCYPART_ARC
(20,5),-2.50582 # DEPENDENCYPART_ARC
(20,6),-3.10225 # DEPENDENCYPART_ARC
(20,7),-2.71035 # DEPENDENCYPART_ARC
(20,8),-2.28782 # DEPENDENCYPART_ARC
(20,9),-3.40974 # DEPENDENCYPART_ARC
(20,10),-4.07725 # DEPENDENCYPART_ARC
(20,11),-2.77227 # DEPENDENCYPART_ARC
(20,12),-3.52682 # DEPENDENCYPART_ARC
(20,13),-2.63956 # DEPENDENCYPART_ARC
(20,14),-1.89272 # DEPENDENCYPART_ARC
(20,15),-1.94645 # DEPENDENCYPART_ARC
(20,16),-2.39646 # DEPENDENCYPART_ARC
(20,17),-2.5392 # DEPENDENCYPART_ARC
(20,18),-1.33766 # DEPENDENCYPART_ARC
(20,19),-1.34419 # DEPENDENCYPART_ARC
(20,21),0.975235 # DEPENDENCYPART_ARC
(20,22),4.0174 # DEPENDENCYPART_ARC
(20,23),-1.44027 # DEPENDENCYPART_ARC
(20,24),-0.755582 # DEPENDENCYPART_ARC
(21,1),-3.6721 # DEPENDENCYPART_ARC
(21,2),-2.79983 # DEPENDENCYPART_ARC
(21,3),-5.10725 # DEPENDENCYPART_ARC
(21,4),-3.13443 # DEPENDENCYPART_ARC
(21,5),-2.56188 # DEPENDENCYPART_ARC
(21,6),-4.26703 # DEPENDENCYPART_ARC
(21,7),-2.9134 # DEPENDENCYPART_ARC
(21,8),-2.3751 # DEPENDENCYPART_ARC
(21,9),-4.63914 # DEPENDENCYPART_ARC
(21,10),-2.24952 # DEPENDENCYPART_ARC
(21,11),-2.8966 # DEPENDENCYPART_ARC
(21,12),-5.02434 # DEPENDENCYPART_ARC
(21,13),-2.31422 # DEPENDENCYPART_ARC
(21,14),-2.24257 # DEPENDENCYPART_ARC
(21,15),-2.10587 # DEPENDENCYPART_ARC
(21,16),-4.34906 # DEPENDENCYPART_ARC
(21,17),-3.48638 # DEPENDENCYPART_ARC
(21,18),-3.22202 # DEPENDENCYPART_ARC
(21,19),-2.30956 # DEPENDENCYPART_ARC
(21,20),-0.902643 # DEPENDENCYPART_ARC
(21,22),-0.602044 # DEPENDENCYPART_ARC
(21,23),-1.10784 # DEPENDENCYPART_ARC
