# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,13,11,15,13,10,0,
(3,5),0.568142 # DEPENDENCYPART_ARC
(3,6),-2.45976 # DEPENDENCYPART_ARC
(3,7),-2.3983 # DEPENDENCYPART_ARC
(3,8),-1.20157 # DEPENDENCYPART_ARC
(3,9),-3.2186 # DEPENDENCYPART_ARC
(3,10),-1.25998 # DEPENDENCYPART_ARC
(3,11),-1.4514 # DEPENDENCYPART_ARC
(3,12),-1.68527 # DEPENDENCYPART_ARC
(3,13),-3.49412 # DEPENDENCYPART_ARC
(3,14),-0.654535 # DEPENDENCYPART_ARC
(3,15),-4.57269 # DEPENDENCYPART_ARC
(3,16),-3.06961 # DEPENDENCYPART_ARC
(4,1),0.0231019 # DEPENDENCYPART_ARC
(4,2),0.193855 # DEPENDENCYPART_ARC
(4,3),-0.556439 # DEPENDENCYPART_ARC
(4,5),0.250212 # DEPENDENCYPART_ARC
(4,6),-0.17945 # DEPENDENCYPART_ARC
(4,7),-0.197082 # DEPENDENCYPART_ARC
(4,8),-1.14665 # DEPENDENCYPART_ARC
(4,9),-1.69184 # DEPENDENCYPART_ARC
(4,10),-0.991378 # DEPENDENCYPART_ARC
(4,11),-1.13328 # DEPENDENCYPART_ARC
(4,12),-1.28643 # DEPENDENCYPART_ARC
(4,13),-1.57351 # DEPENDENCYPART_ARC
(4,14),-1.01477 # DEPENDENCYPART_ARC
(4,15),-2.39075 # DEPENDENCYPART_ARC
(4,16),-1.846 # DEPENDENCYPART_ARC
(5,1),-1.58489 # DEPENDENCYPART_ARC
(5,2),0.0785905 # DEPENDENCYPART_ARC
(5,3),0.759842 # DEPENDENCYPART_ARC
(5,4),3.04694 # DEPENDENCYPART_ARC
(5,6),0.210018 # DEPENDENCYPART_ARC
(5,7),1.97999 # DEPENDENCYPART_ARC
(5,8),-0.619212 # DEPENDENCYPART_ARC
(5,9),-1.55083 # DEPENDENCYPART_ARC
(5,10),0.274179 # DEPENDENCYPART_ARC
(5,11),-0.751214 # DEPENDENCYPART_ARC
(5,12),-1.08385 # DEPENDENCYPART_ARC
(5,13),-1.93301 # DEPENDENCYPART_ARC
(5,14),-0.635855 # DEPENDENCYPART_ARC
(5,15),-2.71423 # DEPENDENCYPART_ARC
(5,16),-1.53706 # DEPENDENCYPART_ARC
(6,1),-2.85819 # DEPENDENCYPART_ARC
(6,2),-2.19066 # DEPENDENCYPART_ARC
(6,3),-3.28751 # DEPENDENCYPART_ARC
(6,4),-0.862706 # DEPENDENCYPART_ARC
(6,5),-0.438478 # DEPENDENCYPART_ARC
(6,7),-1.41428 # DEPENDENCYPART_ARC
(6,8),-0.683633 # DEPENDENCYPART_ARC
(6,9),-2.69161 # DEPENDENCYPART_ARC
(6,10),-0.927815 # DEPENDENCYPART_ARC
(6,11),-1.12561 # DEPENDENCYPART_ARC
(6,12),-1.28859 # DEPENDENCYPART_ARC
(6,13),-2.98996 # DEPENDENCYPART_ARC
(6,14),-0.479683 # DEPENDENCYPART_ARC
(6,15),-4.21951 # DEPENDENCYPART_ARC
(6,16),-2.02434 # DEPENDENCYPART_ARC
(7,1),-1.71332 # DEPENDENCYPART_ARC
(7,2),-0.501296 # DEPENDENCYPART_ARC
(7,3),-1.31487 # DEPENDENCYPART_ARC
(7,4),0.679682 # DEPENDENCYPART_ARC
(7,5),0.232388 # DEPENDENCYPART_ARC
(7,6),2.00793 # DEPENDENCYPART_ARC
(7,8),0.634333 # DEPENDENCYPART_ARC
(7,9),2.51884 # DEPENDENCYPART_ARC
(7,10),0.976945 # DEPENDENCYPART_ARC
(7,11),0.477705 # DEPENDENCYPART_ARC
(7,12),0.265462 # DEPENDENCYPART_ARC
(7,13),0.114561 # DEPENDENCYPART_ARC
(7,14),0.514875 # DEPENDENCYPART_ARC
(7,15),-0.324164 # DEPENDENCYPART_ARC
(7,16),-0.470262 # DEPENDENCYPART_ARC
(8,1),-2.31746 # DEPENDENCYPART_ARC
(8,2),-2.17744 # DEPENDENCYPART_ARC
(8,3),-2.03671 # DEPENDENCYPART_ARC
(8,4),-1.58212 # DEPENDENCYPART_ARC
(8,5),-1.54421 # DEPENDENCYPART_ARC
(8,6),-0.796719 # DEPENDENCYPART_ARC
(8,7),-0.603602 # DEPENDENCYPART_ARC
(8,9),-0.62176 # DEPENDENCYPART_ARC
(8,10),-0.848709 # DEPENDENCYPART_ARC
(8,11),-1.20048 # DEPENDENCYPART_ARC
(8,12),-1.14313 # DEPENDENCYPART_ARC
(8,13),-1.8755 # DEPENDENCYPART_ARC
(8,14),-1.20326 # DEPENDENCYPART_ARC
(8,15),-2.32233 # DEPENDENCYPART_ARC
(8,16),-1.79657 # DEPENDENCYPART_ARC
(9,1),-2.31509 # DEPENDENCYPART_ARC
(9,2),-0.0416474 # DEPENDENCYPART_ARC
(9,3),-3.34685 # DEPENDENCYPART_ARC
(9,4),-0.442383 # DEPENDENCYPART_ARC
(9,5),-1.14957 # DEPENDENCYPART_ARC
(9,6),0.839682 # DEPENDENCYPART_ARC
(9,7),-0.843859 # DEPENDENCYPART_ARC
(9,8),2.28128 # DEPENDENCYPART_ARC
(9,10),-0.126777 # DEPENDENCYPART_ARC
(9,11),-0.0118632 # DEPENDENCYPART_ARC
(9,12),-0.467238 # DEPENDENCYPART_ARC
(9,13),-0.690257 # DEPENDENCYPART_ARC
(9,14),0.32798 # DEPENDENCYPART_ARC
(9,15),-1.7495 # DEPENDENCYPART_ARC
(9,16),-2.16821 # DEPENDENCYPART_ARC
(10,1),0.085049 # DEPENDENCYPART_ARC
(10,2),-0.0138448 # DEPENDENCYPART_ARC
(10,3),-0.852454 # DEPENDENCYPART_ARC
(10,4),0.590981 # DEPENDENCYPART_ARC
(10,5),0.127474 # DEPENDENCYPART_ARC
(10,6),-0.317023 # DEPENDENCYPART_ARC
(10,7),1.23392 # DEPENDENCYPART_ARC
(10,8),0.26749 # DEPENDENCYPART_ARC
(10,9),1.16077 # DEPENDENCYPART_ARC
(10,11),0.823657 # DEPENDENCYPART_ARC
(10,12),0.482972 # DEPENDENCYPART_ARC
(10,13),-0.452385 # DEPENDENCYPART_ARC
(10,14),0.799125 # DEPENDENCYPART_ARC
(10,15),0.871065 # DEPENDENCYPART_ARC
(10,16),-0.129611 # DEPENDENCYPART_ARC
(11,1),-1.01116 # DEPENDENCYPART_ARC
(11,2),-1.37774 # DEPENDENCYPART_ARC
(11,3),-1.4236 # DEPENDENCYPART_ARC
(11,4),-1.26454 # DEPENDENCYPART_ARC
(11,5),-1.08737 # DEPENDENCYPART_ARC
(11,6),-0.716037 # DEPENDENCYPART_ARC
(11,7),-0.554439 # DEPENDENCYPART_ARC
(11,8),-0.242747 # DEPENDENCYPART_ARC
(11,9),0.0594558 # DEPENDENCYPART_ARC
(11,10),0.559305 # DEPENDENCYPART_ARC
(11,12),1.50912 # DEPENDENCYPART_ARC
(11,13),0.146045 # DEPENDENCYPART_ARC
(11,14),0.597306 # DEPENDENCYPART_ARC
(11,15),-0.484345 # DEPENDENCYPART_ARC
(11,16),-0.372098 # DEPENDENCYPART_ARC
(12,1),-1.30365 # DEPENDENCYPART_ARC
(12,2),-0.334926 # DEPENDENCYPART_ARC
(12,3),-0.014017 # DEPENDENCYPART_ARC
(12,4),-0.418931 # DEPENDENCYPART_ARC
(12,5),-0.272061 # DEPENDENCYPART_ARC
(12,6),0.100591 # DEPENDENCYPART_ARC
(12,7),-0.457455 # DEPENDENCYPART_ARC
(12,8),-0.0966244 # DEPENDENCYPART_ARC
(12,9),1.15369 # DEPENDENCYPART_ARC
(12,10),-0.0665323 # DEPENDENCYPART_ARC
(12,11),0.916727 # DEPENDENCYPART_ARC
(12,13),0.441382 # DEPENDENCYPART_ARC
(12,14),0.970215 # DEPENDENCYPART_ARC
(12,15),0.29968 # DEPENDENCYPART_ARC
(12,16),-0.202118 # DEPENDENCYPART_ARC
(13,1),-2.99793 # DEPENDENCYPART_ARC
(13,2),-2.56195 # DEPENDENCYPART_ARC
(13,3),-3.62341 # DEPENDENCYPART_ARC
(13,4),-1.6535 # DEPENDENCYPART_ARC
(13,5),-1.5266 # DEPENDENCYPART_ARC
(13,6),-3.81925 # DEPENDENCYPART_ARC
(13,7),-3.16293 # DEPENDENCYPART_ARC
(13,8),-0.335484 # DEPENDENCYPART_ARC
(13,9),-1.60015 # DEPENDENCYPART_ARC
(13,10),0.0816727 # DEPENDENCYPART_ARC
(13,11),0.983949 # DEPENDENCYPART_ARC
(13,12),1.00794 # DEPENDENCYPART_ARC
(13,14),1.96729 # DEPENDENCYPART_ARC
(13,15),-1.90655 # DEPENDENCYPART_ARC
(13,16),-0.946964 # DEPENDENCYPART_ARC
(14,1),-2.63383 # DEPENDENCYPART_ARC
(14,2),-2.00955 # DEPENDENCYPART_ARC
(14,3),-2.34188 # DEPENDENCYPART_ARC
(14,4),-1.27587 # DEPENDENCYPART_ARC
(14,5),-1.80284 # DEPENDENCYPART_ARC
(14,6),-1.97568 # DEPENDENCYPART_ARC
(14,7),-1.65461 # DEPENDENCYPART_ARC
(14,8),-1.54904 # DEPENDENCYPART_ARC
(14,9),-0.905341 # DEPENDENCYPART_ARC
(14,10),-1.14191 # DEPENDENCYPART_ARC
(14,11),-0.978094 # DEPENDENCYPART_ARC
(14,12),-0.641463 # DEPENDENCYPART_ARC
(14,13),-0.422166 # DEPENDENCYPART_ARC
(14,15),-1.0123 # DEPENDENCYPART_ARC
(14,16),-1.74047 # DEPENDENCYPART_ARC
(15,1),-2.58248 # DEPENDENCYPART_ARC
(15,2),-0.156156 # DEPENDENCYPART_ARC
(15,3),-2.87614 # DEPENDENCYPART_ARC
(15,4),-0.756208 # DEPENDENCYPART_ARC
(15,5),-1.7505 # DEPENDENCYPART_ARC
(15,6),-1.71815 # DEPENDENCYPART_ARC
(15,7),-1.96355 # DEPENDENCYPART_ARC
(15,8),0.207843 # DEPENDENCYPART_ARC
(15,9),-1.8922 # DEPENDENCYPART_ARC
(15,10),-0.23298 # DEPENDENCYPART_ARC
(15,11),0.563776 # DEPENDENCYPART_ARC
(15,12),0.19322 # DEPENDENCYPART_ARC
(15,13),2.54254 # DEPENDENCYPART_ARC
(15,14),0.799693 # DEPENDENCYPART_ARC
(15,16),1.3688 # DEPENDENCYPART_ARC
(16,1),-4.76939 # DEPENDENCYPART_ARC
(16,2),-3.49859 # DEPENDENCYPART_ARC
(16,3),-4.16773 # DEPENDENCYPART_ARC
(16,4),-2.61837 # DEPENDENCYPART_ARC
(16,5),-4.19532 # DEPENDENCYPART_ARC
(16,6),-3.7722 # DEPENDENCYPART_ARC
(16,7),-3.6549 # DEPENDENCYPART_ARC
(16,8),-3.54677 # DEPENDENCYPART_ARC
(16,9),-2.2154 # DEPENDENCYPART_ARC
(16,10),-1.40577 # DEPENDENCYPART_ARC
(16,11),-3.15604 # DEPENDENCYPART_ARC
(16,12),-2.23986 # DEPENDENCYPART_ARC
(16,13),-2.68669 # DEPENDENCYPART_ARC
(16,14),-2.56259 # DEPENDENCYPART_ARC
(16,15),-2.53716 # DEPENDENCYPART_ARC
