# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,18,16,14,1,0,20,21,27,25,23,27,20,0,
(1,24),-4.54387 # DEPENDENCYPART_ARC
(1,25),-6.27729 # DEPENDENCYPART_ARC
(1,26),-1.86322 # DEPENDENCYPART_ARC
(1,27),-1.13224 # DEPENDENCYPART_ARC
(1,28),-3.36241 # DEPENDENCYPART_ARC
(2,1),-1.1057 # DEPENDENCYPART_ARC
(2,3),3.70905 # DEPENDENCYPART_ARC
(2,4),-1.12736 # DEPENDENCYPART_ARC
(2,5),-1.78545 # DEPENDENCYPART_ARC
(2,6),-2.76122 # DEPENDENCYPART_ARC
(2,7),-5.5327 # DEPENDENCYPART_ARC
(2,8),-1.07158 # DEPENDENCYPART_ARC
(2,9),-7.60345 # DEPENDENCYPART_ARC
(2,10),-7.72809 # DEPENDENCYPART_ARC
(2,11),-8.19193 # DEPENDENCYPART_ARC
(2,12),-1.8729 # DEPENDENCYPART_ARC
(2,13),-5.36957 # DEPENDENCYPART_ARC
(2,14),-3.61045 # DEPENDENCYPART_ARC
(2,15),-9.86805 # DEPENDENCYPART_ARC
(2,16),-3.45356 # DEPENDENCYPART_ARC
(2,17),-10.6111 # DEPENDENCYPART_ARC
(2,19),-3.44687 # DEPENDENCYPART_ARC
(2,20),-4.13827 # DEPENDENCYPART_ARC
(2,21),-16.079 # DEPENDENCYPART_ARC
(2,22),-16.4024 # DEPENDENCYPART_ARC
(2,23),-17.0384 # DEPENDENCYPART_ARC
(2,24),-5.77222 # DEPENDENCYPART_ARC
(2,25),-17.5973 # DEPENDENCYPART_ARC
(2,26),-3.53979 # DEPENDENCYPART_ARC
(2,28),-5.54854 # DEPENDENCYPART_ARC
(3,1),0.288033 # DEPENDENCYPART_ARC
(3,2),1.40177 # DEPENDENCYPART_ARC
(3,4),3.79424 # DEPENDENCYPART_ARC
(3,5),-0.717779 # DEPENDENCYPART_ARC
(3,6),-2.45919 # DEPENDENCYPART_ARC
(3,7),-2.38818 # DEPENDENCYPART_ARC
(3,8),0.0468474 # DEPENDENCYPART_ARC
(3,9),-3.92069 # DEPENDENCYPART_ARC
(3,10),-1.36239 # DEPENDENCYPART_ARC
(3,11),-1.12858 # DEPENDENCYPART_ARC
(3,12),-1.12323 # DEPENDENCYPART_ARC
(3,13),-3.88867 # DEPENDENCYPART_ARC
(3,14),-2.33145 # DEPENDENCYPART_ARC
(3,15),-6.16683 # DEPENDENCYPART_ARC
(3,16),-1.32771 # DEPENDENCYPART_ARC
(3,17),-6.60047 # DEPENDENCYPART_ARC
(3,18),-3.47981 # DEPENDENCYPART_ARC
(3,19),-2.21552 # DEPENDENCYPART_ARC
(3,20),-6.16393 # DEPENDENCYPART_ARC
(3,21),-8.33035 # DEPENDENCYPART_ARC
(3,22),-4.85378 # DEPENDENCYPART_ARC
(3,23),-8.56394 # DEPENDENCYPART_ARC
(3,24),-5.25168 # DEPENDENCYPART_ARC
(3,25),-5.46768 # DEPENDENCYPART_ARC
(3,26),-2.21782 # DEPENDENCYPART_ARC
(3,27),-6.39868 # DEPENDENCYPART_ARC
(3,28),-12.6553 # DEPENDENCYPART_ARC
(4,1),-0.325721 # DEPENDENCYPART_ARC
(4,2),0.306671 # DEPENDENCYPART_ARC
(4,3),-1.01479 # DEPENDENCYPART_ARC
(4,5),-0.76346 # DEPENDENCYPART_ARC
(4,6),-1.81388 # DEPENDENCYPART_ARC
(4,7),-2.11483 # DEPENDENCYPART_ARC
(4,8),-0.847683 # DEPENDENCYPART_ARC
(4,9),-3.25154 # DEPENDENCYPART_ARC
(4,10),-2.00413 # DEPENDENCYPART_ARC
(4,11),-2.42793 # DEPENDENCYPART_ARC
(4,12),-1.36053 # DEPENDENCYPART_ARC
(4,13),-3.554 # DEPENDENCYPART_ARC
(4,14),-2.79581 # DEPENDENCYPART_ARC
(4,15),-7.66184 # DEPENDENCYPART_ARC
(4,16),-1.86856 # DEPENDENCYPART_ARC
(4,17),-7.424 # DEPENDENCYPART_ARC
(4,18),-4.33527 # DEPENDENCYPART_ARC
(4,19),-2.13623 # DEPENDENCYPART_ARC
(4,20),-6.5799 # DEPENDENCYPART_ARC
(4,21),-8.41636 # DEPENDENCYPART_ARC
(4,22),-4.84909 # DEPENDENCYPART_ARC
(4,23),-9.33315 # DEPENDENCYPART_ARC
(4,24),-4.03348 # DEPENDENCYPART_ARC
(4,25),-4.99555 # DEPENDENCYPART_ARC
(4,26),-2.4039 # DEPENDENCYPART_ARC
(4,27),-7.85439 # DEPENDENCYPART_ARC
(4,28),-12.0124 # DEPENDENCYPART_ARC
(5,1),0.708691 # DEPENDENCYPART_ARC
(5,2),2.0363 # DEPENDENCYPART_ARC
(5,3),0.691698 # DEPENDENCYPART_ARC
(5,4),-0.638349 # DEPENDENCYPART_ARC
(5,6),1.51719 # DEPENDENCYPART_ARC
(5,7),2.85512 # DEPENDENCYPART_ARC
(5,8),0.825986 # DEPENDENCYPART_ARC
(5,9),0.549306 # DEPENDENCYPART_ARC
(5,10),-1.14206 # DEPENDENCYPART_ARC
(5,11),-1.00429 # DEPENDENCYPART_ARC
(5,12),0.20347 # DEPENDENCYPART_ARC
(5,13),-2.81867 # DEPENDENCYPART_ARC
(5,14),-2.78021 # DEPENDENCYPART_ARC
(5,15),-0.490872 # DEPENDENCYPART_ARC
(5,16),-0.123715 # DEPENDENCYPART_ARC
(5,17),-2.21533 # DEPENDENCYPART_ARC
(5,18),-0.395966 # DEPENDENCYPART_ARC
(5,19),0.386518 # DEPENDENCYPART_ARC
(5,20),-4.95402 # DEPENDENCYPART_ARC
(5,21),-3.46161 # DEPENDENCYPART_ARC
(5,22),-4.64179 # DEPENDENCYPART_ARC
(5,23),-2.9993 # DEPENDENCYPART_ARC
(5,24),-6.97736 # DEPENDENCYPART_ARC
(5,25),-4.89221 # DEPENDENCYPART_ARC
(5,26),-1.85712 # DEPENDENCYPART_ARC
(5,27),-2.51724 # DEPENDENCYPART_ARC
(5,28),-1.64455 # DEPENDENCYPART_ARC
(6,1),-1.55757 # DEPENDENCYPART_ARC
(6,2),-0.59171 # DEPENDENCYPART_ARC
(6,3),-3.95064 # DEPENDENCYPART_ARC
(6,4),-1.94751 # DEPENDENCYPART_ARC
(6,5),-2.10708 # DEPENDENCYPART_ARC
(6,7),-0.851224 # DEPENDENCYPART_ARC
(6,8),0.0607113 # DEPENDENCYPART_ARC
(6,9),-3.13672 # DEPENDENCYPART_ARC
(6,10),-2.76506 # DEPENDENCYPART_ARC
(6,11),-2.85542 # DEPENDENCYPART_ARC
(6,12),-0.89044 # DEPENDENCYPART_ARC
(6,14),-2.60258 # DEPENDENCYPART_ARC
(6,15),-5.08494 # DEPENDENCYPART_ARC
(6,16),-1.7748 # DEPENDENCYPART_ARC
(6,17),-6.32585 # DEPENDENCYPART_ARC
(6,18),-2.14133 # DEPENDENCYPART_ARC
(6,19),-1.74082 # DEPENDENCYPART_ARC
(6,20),-4.09443 # DEPENDENCYPART_ARC
(6,21),-8.15908 # DEPENDENCYPART_ARC
(6,22),-7.23573 # DEPENDENCYPART_ARC
(6,23),-9.22912 # DEPENDENCYPART_ARC
(6,24),-5.7238 # DEPENDENCYPART_ARC
(6,25),-7.59439 # DEPENDENCYPART_ARC
(6,26),-3.04728 # DEPENDENCYPART_ARC
(6,27),-4.02922 # DEPENDENCYPART_ARC
(6,28),-5.71235 # DEPENDENCYPART_ARC
(7,1),-2.12993 # DEPENDENCYPART_ARC
(7,2),-0.909162 # DEPENDENCYPART_ARC
(7,3),-4.32603 # DEPENDENCYPART_ARC
(7,4),-1.47557 # DEPENDENCYPART_ARC
(7,5),-2.39931 # DEPENDENCYPART_ARC
(7,6),3.91232 # DEPENDENCYPART_ARC
(7,8),0.0929674 # DEPENDENCYPART_ARC
(7,9),-0.442142 # DEPENDENCYPART_ARC
(7,10),-0.216815 # DEPENDENCYPART_ARC
(7,11),-0.677635 # DEPENDENCYPART_ARC
(7,12),-0.917665 # DEPENDENCYPART_ARC
(7,13),-1.51316 # DEPENDENCYPART_ARC
(7,14),-0.748997 # DEPENDENCYPART_ARC
(7,15),-6.62089 # DEPENDENCYPART_ARC
(7,16),-1.03393 # DEPENDENCYPART_ARC
(7,17),-6.18205 # DEPENDENCYPART_ARC
(7,18),-2.4603 # DEPENDENCYPART_ARC
(7,19),-1.75286 # DEPENDENCYPART_ARC
(7,20),-4.59342 # DEPENDENCYPART_ARC
(7,21),-6.49309 # DEPENDENCYPART_ARC
(7,22),-4.21026 # DEPENDENCYPART_ARC
(7,23),-8.1083 # DEPENDENCYPART_ARC
(7,24),-4.3171 # DEPENDENCYPART_ARC
(7,25),-4.24438 # DEPENDENCYPART_ARC
(7,26),-1.73203 # DEPENDENCYPART_ARC
(7,27),-5.4469 # DEPENDENCYPART_ARC
(7,28),-10.2685 # DEPENDENCYPART_ARC
(8,1),-0.251472 # DEPENDENCYPART_ARC
(8,2),-0.681149 # DEPENDENCYPART_ARC
(8,3),0.9956 # DEPENDENCYPART_ARC
(8,4),-0.0492426 # DEPENDENCYPART_ARC
(8,5),-1.13666 # DEPENDENCYPART_ARC
(8,6),1.62439 # DEPENDENCYPART_ARC
(8,7),3.2115 # DEPENDENCYPART_ARC
(8,9),2.65472 # DEPENDENCYPART_ARC
(8,10),1.15272 # DEPENDENCYPART_ARC
(8,11),0.631872 # DEPENDENCYPART_ARC
(8,12),-0.892724 # DEPENDENCYPART_ARC
(8,13),-1.69015 # DEPENDENCYPART_ARC
(8,14),-1.45683 # DEPENDENCYPART_ARC
(8,15),-1.53286 # DEPENDENCYPART_ARC
(8,16),-0.717834 # DEPENDENCYPART_ARC
(8,17),-1.66662 # DEPENDENCYPART_ARC
(8,18),-2.80888 # DEPENDENCYPART_ARC
(8,19),-1.62546 # DEPENDENCYPART_ARC
(8,20),-3.54479 # DEPENDENCYPART_ARC
(8,21),-3.5312 # DEPENDENCYPART_ARC
(8,22),-3.31199 # DEPENDENCYPART_ARC
(8,23),-3.31501 # DEPENDENCYPART_ARC
(8,24),-4.02033 # DEPENDENCYPART_ARC
(8,25),-3.49396 # DEPENDENCYPART_ARC
(8,26),-2.96753 # DEPENDENCYPART_ARC
(8,27),-5.13796 # DEPENDENCYPART_ARC
(8,28),-4.66318 # DEPENDENCYPART_ARC
(9,1),-2.12423 # DEPENDENCYPART_ARC
(9,2),-0.456379 # DEPENDENCYPART_ARC
(9,3),-5.57877 # DEPENDENCYPART_ARC
(9,4),-2.24235 # DEPENDENCYPART_ARC
(9,5),-2.4688 # DEPENDENCYPART_ARC
(9,6),1.89105 # DEPENDENCYPART_ARC
(9,7),0.438611 # DEPENDENCYPART_ARC
(9,8),1.60126 # DEPENDENCYPART_ARC
(9,10),2.30858 # DEPENDENCYPART_ARC
(9,11),1.44983 # DEPENDENCYPART_ARC
(9,12),-0.339738 # DEPENDENCYPART_ARC
(9,13),-0.763862 # DEPENDENCYPART_ARC
(9,14),0.176641 # DEPENDENCYPART_ARC
(9,15),-5.49234 # DEPENDENCYPART_ARC
(9,16),-0.731945 # DEPENDENCYPART_ARC
(9,17),-5.03992 # DEPENDENCYPART_ARC
(9,18),-1.23919 # DEPENDENCYPART_ARC
(9,19),-1.36789 # DEPENDENCYPART_ARC
(9,20),-4.00382 # DEPENDENCYPART_ARC
(9,21),-5.36048 # DEPENDENCYPART_ARC
(9,22),-2.88285 # DEPENDENCYPART_ARC
(9,23),-6.65555 # DEPENDENCYPART_ARC
(9,24),-4.11306 # DEPENDENCYPART_ARC
(9,25),-3.46613 # DEPENDENCYPART_ARC
(9,26),-1.60537 # DEPENDENCYPART_ARC
(9,27),-4.56431 # DEPENDENCYPART_ARC
(9,28),-8.89121 # DEPENDENCYPART_ARC
(10,1),-2.90978 # DEPENDENCYPART_ARC
(10,2),-1.68363 # DEPENDENCYPART_ARC
(10,3),-4.96869 # DEPENDENCYPART_ARC
(10,4),-0.217143 # DEPENDENCYPART_ARC
(10,5),-3.40241 # DEPENDENCYPART_ARC
(10,6),-2.97302 # DEPENDENCYPART_ARC
(10,7),-1.59071 # DEPENDENCYPART_ARC
(10,8),0.50199 # DEPENDENCYPART_ARC
(10,9),1.15082 # DEPENDENCYPART_ARC
(10,11),1.05254 # DEPENDENCYPART_ARC
(10,12),-0.72859 # DEPENDENCYPART_ARC
(10,13),-2.19756 # DEPENDENCYPART_ARC
(10,14),-0.154999 # DEPENDENCYPART_ARC
(10,15),-6.66884 # DEPENDENCYPART_ARC
(10,16),-1.22945 # DEPENDENCYPART_ARC
(10,17),-6.49682 # DEPENDENCYPART_ARC
(10,18),-1.42487 # DEPENDENCYPART_ARC
(10,19),-1.47198 # DEPENDENCYPART_ARC
(10,20),-4.20987 # DEPENDENCYPART_ARC
(10,21),-6.88601 # DEPENDENCYPART_ARC
(10,22),-3.5973 # DEPENDENCYPART_ARC
(10,23),-8.01175 # DEPENDENCYPART_ARC
(10,24),-4.67778 # DEPENDENCYPART_ARC
(10,25),-4.73224 # DEPENDENCYPART_ARC
(10,26),-1.66576 # DEPENDENCYPART_ARC
(10,27),-4.95315 # DEPENDENCYPART_ARC
(10,28),-8.57544 # DEPENDENCYPART_ARC
(11,1),-1.83842 # DEPENDENCYPART_ARC
(11,2),-0.841292 # DEPENDENCYPART_ARC
(11,3),-3.36684 # DEPENDENCYPART_ARC
(11,4),2.33018 # DEPENDENCYPART_ARC
(11,5),-2.46903 # DEPENDENCYPART_ARC
(11,6),-0.255331 # DEPENDENCYPART_ARC
(11,7),0.935355 # DEPENDENCYPART_ARC
(11,8),1.38116 # DEPENDENCYPART_ARC
(11,9),2.99219 # DEPENDENCYPART_ARC
(11,10),7.73397 # DEPENDENCYPART_ARC
(11,12),-0.200838 # DEPENDENCYPART_ARC
(11,13),-2.11188 # DEPENDENCYPART_ARC
(11,14),1.82812 # DEPENDENCYPART_ARC
(11,15),-6.1039 # DEPENDENCYPART_ARC
(11,16),-2.09929 # DEPENDENCYPART_ARC
(11,17),-5.85384 # DEPENDENCYPART_ARC
(11,18),0.301395 # DEPENDENCYPART_ARC
(11,19),-0.279788 # DEPENDENCYPART_ARC
(11,20),-2.33389 # DEPENDENCYPART_ARC
(11,21),-5.95633 # DEPENDENCYPART_ARC
(11,22),-3.5707 # DEPENDENCYPART_ARC
(11,23),-7.21302 # DEPENDENCYPART_ARC
(11,24),-2.78603 # DEPENDENCYPART_ARC
(11,25),-4.29515 # DEPENDENCYPART_ARC
(11,26),-1.0485 # DEPENDENCYPART_ARC
(11,27),-3.49647 # DEPENDENCYPART_ARC
(11,28),-6.89795 # DEPENDENCYPART_ARC
(12,1),-1.68677 # DEPENDENCYPART_ARC
(12,2),-2.53498 # DEPENDENCYPART_ARC
(12,3),-0.992297 # DEPENDENCYPART_ARC
(12,4),-1.80778 # DEPENDENCYPART_ARC
(12,5),-0.643526 # DEPENDENCYPART_ARC
(12,6),-1.83598 # DEPENDENCYPART_ARC
(12,7),-1.10269 # DEPENDENCYPART_ARC
(12,8),-1.17113 # DEPENDENCYPART_ARC
(12,9),-0.851668 # DEPENDENCYPART_ARC
(12,10),-1.31806 # DEPENDENCYPART_ARC
(12,11),-1.18416 # DEPENDENCYPART_ARC
(12,13),-0.404721 # DEPENDENCYPART_ARC
(12,14),-0.0460043 # DEPENDENCYPART_ARC
(12,15),-1.84909 # DEPENDENCYPART_ARC
(12,16),-1.85116 # DEPENDENCYPART_ARC
(12,17),-2.82367 # DEPENDENCYPART_ARC
(12,18),-1.23901 # DEPENDENCYPART_ARC
(12,19),-1.09589 # DEPENDENCYPART_ARC
(12,20),-1.91835 # DEPENDENCYPART_ARC
(12,21),-4.33973 # DEPENDENCYPART_ARC
(12,22),-4.42499 # DEPENDENCYPART_ARC
(12,23),-4.55107 # DEPENDENCYPART_ARC
(12,24),-3.77021 # DEPENDENCYPART_ARC
(12,25),-4.96382 # DEPENDENCYPART_ARC
(12,26),-2.97496 # DEPENDENCYPART_ARC
(12,27),-2.87554 # DEPENDENCYPART_ARC
(12,28),-2.28722 # DEPENDENCYPART_ARC
(13,2),-1.47726 # DEPENDENCYPART_ARC
(13,3),-3.19159 # DEPENDENCYPART_ARC
(13,4),-3.5121 # DEPENDENCYPART_ARC
(13,5),-1.54564 # DEPENDENCYPART_ARC
(13,6),-2.23746 # DEPENDENCYPART_ARC
(13,7),-2.61798 # DEPENDENCYPART_ARC
(13,8),-1.56278 # DEPENDENCYPART_ARC
(13,9),-2.27612 # DEPENDENCYPART_ARC
(13,10),-2.11795 # DEPENDENCYPART_ARC
(13,11),-2.95722 # DEPENDENCYPART_ARC
(13,12),-0.398479 # DEPENDENCYPART_ARC
(13,14),-0.221405 # DEPENDENCYPART_ARC
(13,15),-1.343 # DEPENDENCYPART_ARC
(13,16),-1.17862 # DEPENDENCYPART_ARC
(13,17),-1.55335 # DEPENDENCYPART_ARC
(13,19),-0.980577 # DEPENDENCYPART_ARC
(13,20),-3.75534 # DEPENDENCYPART_ARC
(13,21),-0.801121 # DEPENDENCYPART_ARC
(13,22),-1.95065 # DEPENDENCYPART_ARC
(13,23),-2.45543 # DEPENDENCYPART_ARC
(13,24),-2.82356 # DEPENDENCYPART_ARC
(13,25),-2.02477 # DEPENDENCYPART_ARC
(13,26),-2.12581 # DEPENDENCYPART_ARC
(13,28),-2.38842 # DEPENDENCYPART_ARC
(14,1),0.794526 # DEPENDENCYPART_ARC
(14,2),0.0148762 # DEPENDENCYPART_ARC
(14,3),-1.86481 # DEPENDENCYPART_ARC
(14,4),-3.36027 # DEPENDENCYPART_ARC
(14,5),-1.50678 # DEPENDENCYPART_ARC
(14,6),-2.45034 # DEPENDENCYPART_ARC
(14,7),-0.721898 # DEPENDENCYPART_ARC
(14,8),0.0771649 # DEPENDENCYPART_ARC
(14,9),0.949125 # DEPENDENCYPART_ARC
(14,10),-2.90581 # DEPENDENCYPART_ARC
(14,11),-2.86213 # DEPENDENCYPART_ARC
(14,12),2.36088 # DEPENDENCYPART_ARC
(14,13),3.41532 # DEPENDENCYPART_ARC
(14,15),5.34335 # DEPENDENCYPART_ARC
(14,16),1.85183 # DEPENDENCYPART_ARC
(14,17),1.19804 # DEPENDENCYPART_ARC
(14,18),2.65295 # DEPENDENCYPART_ARC
(14,19),1.06361 # DEPENDENCYPART_ARC
(14,20),-2.92335 # DEPENDENCYPART_ARC
(14,21),-0.493425 # DEPENDENCYPART_ARC
(14,22),-1.95856 # DEPENDENCYPART_ARC
(14,23),-0.286867 # DEPENDENCYPART_ARC
(14,24),-5.68559 # DEPENDENCYPART_ARC
(14,25),-2.57146 # DEPENDENCYPART_ARC
(14,26),-1.11104 # DEPENDENCYPART_ARC
(14,27),0.150896 # DEPENDENCYPART_ARC
(14,28),-0.881282 # DEPENDENCYPART_ARC
(15,1),-3.48393 # DEPENDENCYPART_ARC
(15,2),-1.51864 # DEPENDENCYPART_ARC
(15,3),-4.07858 # DEPENDENCYPART_ARC
(15,4),-2.9884 # DEPENDENCYPART_ARC
(15,5),-3.48507 # DEPENDENCYPART_ARC
(15,6),-5.45461 # DEPENDENCYPART_ARC
(15,7),-2.93087 # DEPENDENCYPART_ARC
(15,8),-1.78533 # DEPENDENCYPART_ARC
(15,9),-1.84212 # DEPENDENCYPART_ARC
(15,10),0.440166 # DEPENDENCYPART_ARC
(15,11),-1.36825 # DEPENDENCYPART_ARC
(15,12),-0.857438 # DEPENDENCYPART_ARC
(15,13),-1.57028 # DEPENDENCYPART_ARC
(15,14),-2.96172 # DEPENDENCYPART_ARC
(15,16),0.612567 # DEPENDENCYPART_ARC
(15,17),-1.68145 # DEPENDENCYPART_ARC
(15,18),0.966042 # DEPENDENCYPART_ARC
(15,19),-0.726977 # DEPENDENCYPART_ARC
(15,20),-2.31031 # DEPENDENCYPART_ARC
(15,21),-4.05166 # DEPENDENCYPART_ARC
(15,22),-3.16673 # DEPENDENCYPART_ARC
(15,23),-4.43977 # DEPENDENCYPART_ARC
(15,24),-2.16586 # DEPENDENCYPART_ARC
(15,25),-3.96649 # DEPENDENCYPART_ARC
(15,26),-0.995364 # DEPENDENCYPART_ARC
(15,27),-2.44787 # DEPENDENCYPART_ARC
(15,28),-5.37606 # DEPENDENCYPART_ARC
(16,1),-2.4303 # DEPENDENCYPART_ARC
(16,2),-2.62245 # DEPENDENCYPART_ARC
(16,3),-2.29195 # DEPENDENCYPART_ARC
(16,4),-3.98637 # DEPENDENCYPART_ARC
(16,5),-3.68901 # DEPENDENCYPART_ARC
(16,6),-3.88558 # DEPENDENCYPART_ARC
(16,7),-4.66152 # DEPENDENCYPART_ARC
(16,8),-2.15279 # DEPENDENCYPART_ARC
(16,9),-4.07954 # DEPENDENCYPART_ARC
(16,10),-3.32086 # DEPENDENCYPART_ARC
(16,11),-2.9854 # DEPENDENCYPART_ARC
(16,12),-1.27501 # DEPENDENCYPART_ARC
(16,13),-2.04758 # DEPENDENCYPART_ARC
(16,14),-1.85539 # DEPENDENCYPART_ARC
(16,15),-1.52873 # DEPENDENCYPART_ARC
(16,17),5.63811 # DEPENDENCYPART_ARC
(16,19),-0.448367 # DEPENDENCYPART_ARC
(16,20),-1.70069 # DEPENDENCYPART_ARC
(16,21),-4.78389 # DEPENDENCYPART_ARC
(16,22),-5.856 # DEPENDENCYPART_ARC
(16,23),-4.05165 # DEPENDENCYPART_ARC
(16,24),-3.39823 # DEPENDENCYPART_ARC
(16,25),-7.63298 # DEPENDENCYPART_ARC
(16,26),-1.46676 # DEPENDENCYPART_ARC
(16,28),-2.51847 # DEPENDENCYPART_ARC
(17,1),-4.5793 # DEPENDENCYPART_ARC
(17,2),-1.15704 # DEPENDENCYPART_ARC
(17,3),-5.75255 # DEPENDENCYPART_ARC
(17,4),-5.89628 # DEPENDENCYPART_ARC
(17,5),-3.38015 # DEPENDENCYPART_ARC
(17,6),-6.37561 # DEPENDENCYPART_ARC
(17,7),-5.29018 # DEPENDENCYPART_ARC
(17,8),-2.88014 # DEPENDENCYPART_ARC
(17,9),-4.70717 # DEPENDENCYPART_ARC
(17,10),-2.89129 # DEPENDENCYPART_ARC
(17,11),-4.08233 # DEPENDENCYPART_ARC
(17,12),-1.96213 # DEPENDENCYPART_ARC
(17,13),-3.60653 # DEPENDENCYPART_ARC
(17,14),-3.23954 # DEPENDENCYPART_ARC
(17,15),-0.166655 # DEPENDENCYPART_ARC
(17,16),0.713489 # DEPENDENCYPART_ARC
(17,18),1.33765 # DEPENDENCYPART_ARC
(17,19),-1.26183 # DEPENDENCYPART_ARC
(17,20),-2.55433 # DEPENDENCYPART_ARC
(17,21),-3.4502 # DEPENDENCYPART_ARC
(17,22),-0.646278 # DEPENDENCYPART_ARC
(17,23),-3.07027 # DEPENDENCYPART_ARC
(17,24),-2.17833 # DEPENDENCYPART_ARC
(17,25),-1.50242 # DEPENDENCYPART_ARC
(17,26),-1.09742 # DEPENDENCYPART_ARC
(17,27),-2.31972 # DEPENDENCYPART_ARC
(17,28),-5.01582 # DEPENDENCYPART_ARC
(18,1),0.885446 # DEPENDENCYPART_ARC
(18,2),0.42145 # DEPENDENCYPART_ARC
(18,3),-0.83616 # DEPENDENCYPART_ARC
(18,4),-1.3899 # DEPENDENCYPART_ARC
(18,5),-2.97576 # DEPENDENCYPART_ARC
(18,6),-3.63374 # DEPENDENCYPART_ARC
(18,7),-1.12235 # DEPENDENCYPART_ARC
(18,8),0.0634384 # DEPENDENCYPART_ARC
(18,9),0.14609 # DEPENDENCYPART_ARC
(18,10),-1.01969 # DEPENDENCYPART_ARC
(18,11),-2.45039 # DEPENDENCYPART_ARC
(18,12),0.924449 # DEPENDENCYPART_ARC
(18,13),1.92779 # DEPENDENCYPART_ARC
(18,14),-0.961053 # DEPENDENCYPART_ARC
(18,15),3.08515 # DEPENDENCYPART_ARC
(18,16),1.87627 # DEPENDENCYPART_ARC
(18,17),2.70415 # DEPENDENCYPART_ARC
(18,19),1.0068 # DEPENDENCYPART_ARC
(18,20),-0.445616 # DEPENDENCYPART_ARC
(18,21),-1.98598 # DEPENDENCYPART_ARC
(18,22),-1.24071 # DEPENDENCYPART_ARC
(18,23),0.516181 # DEPENDENCYPART_ARC
(18,24),-3.68878 # DEPENDENCYPART_ARC
(18,25),-2.18016 # DEPENDENCYPART_ARC
(18,26),-0.883895 # DEPENDENCYPART_ARC
(18,27),-0.760184 # DEPENDENCYPART_ARC
(18,28),-1.64467 # DEPENDENCYPART_ARC
