# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,0,1,5,3,8,8,20,1,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(2,8),-2.268 # DEPENDENCYPART_ARC
(2,9),0.202548 # DEPENDENCYPART_ARC
(2,10),-1.74659 # DEPENDENCYPART_ARC
(2,11),-2.09392 # DEPENDENCYPART_ARC
(2,12),-2.83791 # DEPENDENCYPART_ARC
(2,13),-1.87251 # DEPENDENCYPART_ARC
(2,14),-3.18443 # DEPENDENCYPART_ARC
(2,15),-1.53235 # DEPENDENCYPART_ARC
(2,16),-3.97046 # DEPENDENCYPART_ARC
(2,17),0.380613 # DEPENDENCYPART_ARC
(2,18),0.154175 # DEPENDENCYPART_ARC
(2,19),-1.95502 # DEPENDENCYPART_ARC
(2,20),-0.369172 # DEPENDENCYPART_ARC
(2,21),1.20794 # DEPENDENCYPART_ARC
(2,22),-1.7095 # DEPENDENCYPART_ARC
(2,23),-3.39568 # DEPENDENCYPART_ARC
(2,24),-2.43918 # DEPENDENCYPART_ARC
(2,25),-5.86062 # DEPENDENCYPART_ARC
(2,26),-5.80986 # DEPENDENCYPART_ARC
(2,27),-3.5586 # DEPENDENCYPART_ARC
(2,28),-6.49252 # DEPENDENCYPART_ARC
(2,29),-0.69825 # DEPENDENCYPART_ARC
(3,1),0.623716 # DEPENDENCYPART_ARC
(3,2),1.54206 # DEPENDENCYPART_ARC
(3,4),1.04909 # DEPENDENCYPART_ARC
(3,5),2.18119 # DEPENDENCYPART_ARC
(3,6),0.304139 # DEPENDENCYPART_ARC
(3,7),-0.342848 # DEPENDENCYPART_ARC
(3,8),1.55833 # DEPENDENCYPART_ARC
(3,9),-0.177146 # DEPENDENCYPART_ARC
(3,10),-2.46231 # DEPENDENCYPART_ARC
(3,11),-3.00583 # DEPENDENCYPART_ARC
(3,12),-0.364265 # DEPENDENCYPART_ARC
(3,13),-0.457469 # DEPENDENCYPART_ARC
(3,14),-0.778051 # DEPENDENCYPART_ARC
(3,15),-0.448529 # DEPENDENCYPART_ARC
(3,16),-2.37615 # DEPENDENCYPART_ARC
(3,17),-4.06675 # DEPENDENCYPART_ARC
(3,18),-0.040005 # DEPENDENCYPART_ARC
(3,19),-1.26812 # DEPENDENCYPART_ARC
(3,20),-4.84633 # DEPENDENCYPART_ARC
(3,21),-0.933596 # DEPENDENCYPART_ARC
(3,22),-6.27698 # DEPENDENCYPART_ARC
(3,23),-3.43035 # DEPENDENCYPART_ARC
(3,24),-1.18812 # DEPENDENCYPART_ARC
(3,25),-2.4862 # DEPENDENCYPART_ARC
(3,26),-4.75312 # DEPENDENCYPART_ARC
(3,27),-3.75369 # DEPENDENCYPART_ARC
(3,28),-5.35013 # DEPENDENCYPART_ARC
(3,29),-0.780182 # DEPENDENCYPART_ARC
(4,1),0.292211 # DEPENDENCYPART_ARC
(4,2),0.516049 # DEPENDENCYPART_ARC
(4,3),0.923057 # DEPENDENCYPART_ARC
(4,5),-0.0709777 # DEPENDENCYPART_ARC
(4,6),-0.478469 # DEPENDENCYPART_ARC
(4,7),-0.75355 # DEPENDENCYPART_ARC
(4,8),-0.414632 # DEPENDENCYPART_ARC
(4,9),-0.77663 # DEPENDENCYPART_ARC
(4,10),-1.69609 # DEPENDENCYPART_ARC
(4,11),-1.28898 # DEPENDENCYPART_ARC
(4,12),-1.48907 # DEPENDENCYPART_ARC
(4,13),-0.966543 # DEPENDENCYPART_ARC
(4,14),-2.10363 # DEPENDENCYPART_ARC
(4,15),-1.29661 # DEPENDENCYPART_ARC
(4,16),-2.24229 # DEPENDENCYPART_ARC
(4,17),-1.99538 # DEPENDENCYPART_ARC
(4,18),-2.7806 # DEPENDENCYPART_ARC
(4,19),-1.58381 # DEPENDENCYPART_ARC
(4,20),-2.67175 # DEPENDENCYPART_ARC
(4,21),-1.95449 # DEPENDENCYPART_ARC
(4,22),-3.09258 # DEPENDENCYPART_ARC
(4,23),-2.72525 # DEPENDENCYPART_ARC
(4,24),-2.07854 # DEPENDENCYPART_ARC
(4,25),-3.82727 # DEPENDENCYPART_ARC
(4,26),-3.98569 # DEPENDENCYPART_ARC
(4,27),-2.5619 # DEPENDENCYPART_ARC
(4,28),-4.41779 # DEPENDENCYPART_ARC
(4,29),-3.25228 # DEPENDENCYPART_ARC
(5,1),-0.313343 # DEPENDENCYPART_ARC
(5,2),-0.138769 # DEPENDENCYPART_ARC
(5,3),-2.678 # DEPENDENCYPART_ARC
(5,4),2.242 # DEPENDENCYPART_ARC
(5,6),0.670657 # DEPENDENCYPART_ARC
(5,7),0.345006 # DEPENDENCYPART_ARC
(5,8),-1.03438 # DEPENDENCYPART_ARC
(5,9),0.353564 # DEPENDENCYPART_ARC
(5,11),-2.43568 # DEPENDENCYPART_ARC
(5,12),-2.12457 # DEPENDENCYPART_ARC
(5,13),-0.412837 # DEPENDENCYPART_ARC
(5,14),-1.52726 # DEPENDENCYPART_ARC
(5,15),-0.700511 # DEPENDENCYPART_ARC
(5,16),-1.58684 # DEPENDENCYPART_ARC
(5,17),-2.30206 # DEPENDENCYPART_ARC
(5,18),-0.884659 # DEPENDENCYPART_ARC
(5,19),-1.38297 # DEPENDENCYPART_ARC
(5,20),-2.85586 # DEPENDENCYPART_ARC
(5,21),-0.0417194 # DEPENDENCYPART_ARC
(5,22),-3.9643 # DEPENDENCYPART_ARC
(5,23),-3.25005 # DEPENDENCYPART_ARC
(5,24),-1.56321 # DEPENDENCYPART_ARC
(5,25),-5.71348 # DEPENDENCYPART_ARC
(5,26),-4.84279 # DEPENDENCYPART_ARC
(5,27),-3.42432 # DEPENDENCYPART_ARC
(5,28),-6.17049 # DEPENDENCYPART_ARC
(5,29),-2.12331 # DEPENDENCYPART_ARC
(6,1),-0.989292 # DEPENDENCYPART_ARC
(6,2),-0.779018 # DEPENDENCYPART_ARC
(6,3),-0.935226 # DEPENDENCYPART_ARC
(6,4),0.421641 # DEPENDENCYPART_ARC
(6,5),-0.122941 # DEPENDENCYPART_ARC
(6,7),-0.166467 # DEPENDENCYPART_ARC
(6,8),-0.274967 # DEPENDENCYPART_ARC
(6,9),-0.40337 # DEPENDENCYPART_ARC
(6,10),-1.42036 # DEPENDENCYPART_ARC
(6,11),-1.04627 # DEPENDENCYPART_ARC
(6,12),-1.94858 # DEPENDENCYPART_ARC
(6,13),-1.4798 # DEPENDENCYPART_ARC
(6,14),-2.51395 # DEPENDENCYPART_ARC
(6,15),-1.64212 # DEPENDENCYPART_ARC
(6,16),-2.85175 # DEPENDENCYPART_ARC
(6,17),-1.60014 # DEPENDENCYPART_ARC
(6,18),-2.04142 # DEPENDENCYPART_ARC
(6,19),-1.5886 # DEPENDENCYPART_ARC
(6,20),-2.12249 # DEPENDENCYPART_ARC
(6,21),-1.32349 # DEPENDENCYPART_ARC
(6,22),-2.42271 # DEPENDENCYPART_ARC
(6,23),-2.74864 # DEPENDENCYPART_ARC
(6,24),-2.07732 # DEPENDENCYPART_ARC
(6,25),-4.52972 # DEPENDENCYPART_ARC
(6,26),-4.51574 # DEPENDENCYPART_ARC
(6,27),-2.93854 # DEPENDENCYPART_ARC
(6,28),-4.793 # DEPENDENCYPART_ARC
(6,29),-2.93588 # DEPENDENCYPART_ARC
(7,1),-0.401195 # DEPENDENCYPART_ARC
(7,2),-0.531768 # DEPENDENCYPART_ARC
(7,3),-1.01043 # DEPENDENCYPART_ARC
(7,4),-0.374168 # DEPENDENCYPART_ARC
(7,5),0.412954 # DEPENDENCYPART_ARC
(7,6),0.0955911 # DEPENDENCYPART_ARC
(7,8),1.40155 # DEPENDENCYPART_ARC
(7,9),-0.628233 # DEPENDENCYPART_ARC
(7,10),-1.04415 # DEPENDENCYPART_ARC
(7,11),-1.00952 # DEPENDENCYPART_ARC
(7,12),-0.620903 # DEPENDENCYPART_ARC
(7,13),-1.13866 # DEPENDENCYPART_ARC
(7,14),-1.44027 # DEPENDENCYPART_ARC
(7,15),-1.11586 # DEPENDENCYPART_ARC
(7,16),-1.83765 # DEPENDENCYPART_ARC
(7,17),-2.26788 # DEPENDENCYPART_ARC
(7,18),-1.16755 # DEPENDENCYPART_ARC
(7,19),-0.97685 # DEPENDENCYPART_ARC
(7,20),-3.57623 # DEPENDENCYPART_ARC
(7,21),-1.35737 # DEPENDENCYPART_ARC
(7,22),-4.20877 # DEPENDENCYPART_ARC
(7,23),-3.14801 # DEPENDENCYPART_ARC
(7,24),-2.09879 # DEPENDENCYPART_ARC
(7,25),-4.09235 # DEPENDENCYPART_ARC
(7,26),-3.91026 # DEPENDENCYPART_ARC
(7,27),-2.83937 # DEPENDENCYPART_ARC
(7,28),-4.26634 # DEPENDENCYPART_ARC
(7,29),-3.37147 # DEPENDENCYPART_ARC
(8,1),-0.850127 # DEPENDENCYPART_ARC
(8,2),-1.17983 # DEPENDENCYPART_ARC
(8,3),-2.82729 # DEPENDENCYPART_ARC
(8,4),0.093869 # DEPENDENCYPART_ARC
(8,5),1.47048 # DEPENDENCYPART_ARC
(8,6),1.80456 # DEPENDENCYPART_ARC
(8,7),2.44542 # DEPENDENCYPART_ARC
(8,9),-0.18184 # DEPENDENCYPART_ARC
(8,10),0.443304 # DEPENDENCYPART_ARC
(8,11),-1.77146 # DEPENDENCYPART_ARC
(8,12),-3.36907 # DEPENDENCYPART_ARC
(8,13),0.120345 # DEPENDENCYPART_ARC
(8,14),-2.71313 # DEPENDENCYPART_ARC
(8,15),-0.135825 # DEPENDENCYPART_ARC
(8,16),-3.36833 # DEPENDENCYPART_ARC
(8,17),0.693817 # DEPENDENCYPART_ARC
(8,18),0.440354 # DEPENDENCYPART_ARC
(8,19),-0.803683 # DEPENDENCYPART_ARC
(8,20),-1.41988 # DEPENDENCYPART_ARC
(8,21),-0.866861 # DEPENDENCYPART_ARC
(8,22),-4.30383 # DEPENDENCYPART_ARC
(8,23),-1.53397 # DEPENDENCYPART_ARC
(8,24),-1.39149 # DEPENDENCYPART_ARC
(8,25),-8.27259 # DEPENDENCYPART_ARC
(8,26),-4.27111 # DEPENDENCYPART_ARC
(8,27),-2.83332 # DEPENDENCYPART_ARC
(8,28),-6.42019 # DEPENDENCYPART_ARC
(8,29),-2.76589 # DEPENDENCYPART_ARC
(9,1),-0.918176 # DEPENDENCYPART_ARC
(9,2),-1.27522 # DEPENDENCYPART_ARC
(9,3),-0.0229379 # DEPENDENCYPART_ARC
(9,4),-1.5879 # DEPENDENCYPART_ARC
(9,5),-1.62103 # DEPENDENCYPART_ARC
(9,6),-1.12597 # DEPENDENCYPART_ARC
(9,7),-0.907092 # DEPENDENCYPART_ARC
(9,8),-0.675649 # DEPENDENCYPART_ARC
(9,10),-0.793907 # DEPENDENCYPART_ARC
(9,11),-0.866179 # DEPENDENCYPART_ARC
(9,12),-0.781498 # DEPENDENCYPART_ARC
(9,13),-1.14189 # DEPENDENCYPART_ARC
(9,14),-1.58022 # DEPENDENCYPART_ARC
(9,15),-1.46283 # DEPENDENCYPART_ARC
(9,16),-2.60456 # DEPENDENCYPART_ARC
(9,17),-0.856644 # DEPENDENCYPART_ARC
(9,18),-1.59193 # DEPENDENCYPART_ARC
(9,19),-1.5865 # DEPENDENCYPART_ARC
(9,20),-1.51852 # DEPENDENCYPART_ARC
(9,21),-1.27612 # DEPENDENCYPART_ARC
(9,22),-2.69997 # DEPENDENCYPART_ARC
(9,23),-2.92901 # DEPENDENCYPART_ARC
(9,24),-2.73302 # DEPENDENCYPART_ARC
(9,25),-5.14642 # DEPENDENCYPART_ARC
(9,26),-5.09857 # DEPENDENCYPART_ARC
(9,27),-3.85833 # DEPENDENCYPART_ARC
(9,28),-5.50881 # DEPENDENCYPART_ARC
(9,29),-2.22599 # DEPENDENCYPART_ARC
(10,2),-2.34438 # DEPENDENCYPART_ARC
(10,3),-3.27619 # DEPENDENCYPART_ARC
(10,4),-1.28794 # DEPENDENCYPART_ARC
(10,5),-1.73941 # DEPENDENCYPART_ARC
(10,6),-0.449795 # DEPENDENCYPART_ARC
(10,7),-0.883175 # DEPENDENCYPART_ARC
(10,8),-1.60203 # DEPENDENCYPART_ARC
(10,9),-0.159896 # DEPENDENCYPART_ARC
(10,11),-0.740446 # DEPENDENCYPART_ARC
(10,12),-1.24698 # DEPENDENCYPART_ARC
(10,13),-0.568256 # DEPENDENCYPART_ARC
(10,14),-1.12351 # DEPENDENCYPART_ARC
(10,15),-0.638628 # DEPENDENCYPART_ARC
(10,16),-2.28239 # DEPENDENCYPART_ARC
(10,17),-1.59648 # DEPENDENCYPART_ARC
(10,18),-0.326615 # DEPENDENCYPART_ARC
(10,19),-1.13178 # DEPENDENCYPART_ARC
(10,20),-2.97544 # DEPENDENCYPART_ARC
(10,21),-1.07296 # DEPENDENCYPART_ARC
(10,22),-5.24661 # DEPENDENCYPART_ARC
(10,24),-1.83354 # DEPENDENCYPART_ARC
(10,25),-2.97049 # DEPENDENCYPART_ARC
(10,26),-2.4234 # DEPENDENCYPART_ARC
(10,27),-1.36819 # DEPENDENCYPART_ARC
(10,28),-2.79819 # DEPENDENCYPART_ARC
(10,29),-1.9096 # DEPENDENCYPART_ARC
(11,1),-2.32214 # DEPENDENCYPART_ARC
(11,2),-2.25081 # DEPENDENCYPART_ARC
(11,3),-3.67079 # DEPENDENCYPART_ARC
(11,4),-2.07263 # DEPENDENCYPART_ARC
(11,5),-5.5197 # DEPENDENCYPART_ARC
(11,6),-1.75774 # DEPENDENCYPART_ARC
(11,7),-1.12679 # DEPENDENCYPART_ARC
(11,8),-4.42889 # DEPENDENCYPART_ARC
(11,9),-0.793839 # DEPENDENCYPART_ARC
(11,12),-0.40287 # DEPENDENCYPART_ARC
(11,13),0.0680949 # DEPENDENCYPART_ARC
(11,14),-1.63804 # DEPENDENCYPART_ARC
(11,15),-0.928499 # DEPENDENCYPART_ARC
(11,16),-1.96124 # DEPENDENCYPART_ARC
(11,17),-3.04968 # DEPENDENCYPART_ARC
(11,18),-1.14216 # DEPENDENCYPART_ARC
(11,19),-1.83117 # DEPENDENCYPART_ARC
(11,20),-3.67225 # DEPENDENCYPART_ARC
(11,21),-1.21857 # DEPENDENCYPART_ARC
(11,22),-4.6364 # DEPENDENCYPART_ARC
(11,23),-4.76483 # DEPENDENCYPART_ARC
(11,24),-2.26361 # DEPENDENCYPART_ARC
(11,25),-5.9315 # DEPENDENCYPART_ARC
(11,26),-5.75142 # DEPENDENCYPART_ARC
(11,27),-3.51439 # DEPENDENCYPART_ARC
(11,28),-6.62818 # DEPENDENCYPART_ARC
(11,29),-2.87479 # DEPENDENCYPART_ARC
(12,1),-1.16125 # DEPENDENCYPART_ARC
(12,2),-1.85955 # DEPENDENCYPART_ARC
(12,3),-3.00419 # DEPENDENCYPART_ARC
(12,4),-1.12635 # DEPENDENCYPART_ARC
(12,5),-5.90258 # DEPENDENCYPART_ARC
(12,6),0.612742 # DEPENDENCYPART_ARC
(12,7),0.399781 # DEPENDENCYPART_ARC
(12,8),-6.72982 # DEPENDENCYPART_ARC
(12,9),0.166088 # DEPENDENCYPART_ARC
(12,10),-1.71298 # DEPENDENCYPART_ARC
(12,11),5.5496 # DEPENDENCYPART_ARC
(12,13),0.112847 # DEPENDENCYPART_ARC
(12,14),-2.5273 # DEPENDENCYPART_ARC
(12,15),-0.0601627 # DEPENDENCYPART_ARC
(12,16),-4.47734 # DEPENDENCYPART_ARC
(12,17),-2.68741 # DEPENDENCYPART_ARC
(12,18),-0.465942 # DEPENDENCYPART_ARC
(12,19),-0.733825 # DEPENDENCYPART_ARC
(12,20),-4.44699 # DEPENDENCYPART_ARC
(12,21),-1.42011 # DEPENDENCYPART_ARC
(12,22),-6.28765 # DEPENDENCYPART_ARC
(12,23),-4.11105 # DEPENDENCYPART_ARC
(12,24),-1.30687 # DEPENDENCYPART_ARC
(12,25),-7.0361 # DEPENDENCYPART_ARC
(12,26),-4.409 # DEPENDENCYPART_ARC
(12,27),-3.24494 # DEPENDENCYPART_ARC
(12,28),-7.01541 # DEPENDENCYPART_ARC
(12,29),-2.61449 # DEPENDENCYPART_ARC
(13,1),-2.43036 # DEPENDENCYPART_ARC
(13,2),-2.35531 # DEPENDENCYPART_ARC
(13,3),-2.76903 # DEPENDENCYPART_ARC
(13,4),-2.4174 # DEPENDENCYPART_ARC
(13,5),-3.60273 # DEPENDENCYPART_ARC
(13,6),-2.29992 # DEPENDENCYPART_ARC
(13,7),-2.07077 # DEPENDENCYPART_ARC
(13,8),-3.26405 # DEPENDENCYPART_ARC
(13,9),-1.31191 # DEPENDENCYPART_ARC
(13,10),-2.38027 # DEPENDENCYPART_ARC
(13,11),-2.10544 # DEPENDENCYPART_ARC
(13,12),-2.50703 # DEPENDENCYPART_ARC
(13,14),4.14215 # DEPENDENCYPART_ARC
(13,15),-0.969067 # DEPENDENCYPART_ARC
(13,16),0.349795 # DEPENDENCYPART_ARC
(13,17),-2.35931 # DEPENDENCYPART_ARC
(13,18),-1.5735 # DEPENDENCYPART_ARC
(13,19),-1.43831 # DEPENDENCYPART_ARC
(13,20),-2.71037 # DEPENDENCYPART_ARC
(13,21),-2.03975 # DEPENDENCYPART_ARC
(13,22),-2.66576 # DEPENDENCYPART_ARC
(13,23),-3.19363 # DEPENDENCYPART_ARC
(13,24),-2.00774 # DEPENDENCYPART_ARC
(13,25),-6.06029 # DEPENDENCYPART_ARC
(13,26),-7.3444 # DEPENDENCYPART_ARC
(13,27),-2.8136 # DEPENDENCYPART_ARC
(13,28),-7.16234 # DEPENDENCYPART_ARC
(13,29),-3.17459 # DEPENDENCYPART_ARC
(14,1),-2.87805 # DEPENDENCYPART_ARC
(14,2),-3.61807 # DEPENDENCYPART_ARC
(14,3),-4.72868 # DEPENDENCYPART_ARC
(14,4),-2.59802 # DEPENDENCYPART_ARC
(14,5),-4.6187 # DEPENDENCYPART_ARC
(14,6),-0.671789 # DEPENDENCYPART_ARC
(14,7),-1.15878 # DEPENDENCYPART_ARC
(14,8),-4.64089 # DEPENDENCYPART_ARC
(14,9),-1.39129 # DEPENDENCYPART_ARC
(14,10),-0.640606 # DEPENDENCYPART_ARC
(14,11),-5.31091 # DEPENDENCYPART_ARC
(14,12),-3.70692 # DEPENDENCYPART_ARC
(14,13),-0.69703 # DEPENDENCYPART_ARC
(14,15),1.80699 # DEPENDENCYPART_ARC
(14,16),-1.06762 # DEPENDENCYPART_ARC
(14,17),-0.67102 # DEPENDENCYPART_ARC
(14,18),-0.276979 # DEPENDENCYPART_ARC
(14,19),-0.61474 # DEPENDENCYPART_ARC
(14,20),-2.40898 # DEPENDENCYPART_ARC
(14,21),-1.36409 # DEPENDENCYPART_ARC
(14,22),-5.33814 # DEPENDENCYPART_ARC
(14,23),-3.16207 # DEPENDENCYPART_ARC
(14,24),-1.16583 # DEPENDENCYPART_ARC
(14,25),-7.04775 # DEPENDENCYPART_ARC
(14,26),-2.84741 # DEPENDENCYPART_ARC
(14,27),-1.7885 # DEPENDENCYPART_ARC
(14,28),-6.14908 # DEPENDENCYPART_ARC
(14,29),-2.45122 # DEPENDENCYPART_ARC
(15,1),-2.35628 # DEPENDENCYPART_ARC
(15,2),-2.32341 # DEPENDENCYPART_ARC
(15,3),-3.40064 # DEPENDENCYPART_ARC
(15,4),-2.45661 # DEPENDENCYPART_ARC
(15,5),-3.81237 # DEPENDENCYPART_ARC
(15,6),-2.29585 # DEPENDENCYPART_ARC
(15,7),-2.07797 # DEPENDENCYPART_ARC
(15,8),-4.25947 # DEPENDENCYPART_ARC
(15,9),-1.46899 # DEPENDENCYPART_ARC
(15,10),-2.56409 # DEPENDENCYPART_ARC
(15,11),-3.26694 # DEPENDENCYPART_ARC
(15,12),-4.48232 # DEPENDENCYPART_ARC
(15,13),-0.716329 # DEPENDENCYPART_ARC
(15,14),0.516171 # DEPENDENCYPART_ARC
(15,16),6.27854 # DEPENDENCYPART_ARC
(15,17),-1.18617 # DEPENDENCYPART_ARC
(15,18),-1.17767 # DEPENDENCYPART_ARC
(15,19),-0.952133 # DEPENDENCYPART_ARC
(15,20),-1.6887 # DEPENDENCYPART_ARC
(15,21),-1.84871 # DEPENDENCYPART_ARC
(15,22),-1.74846 # DEPENDENCYPART_ARC
(15,23),-3.09807 # DEPENDENCYPART_ARC
(15,24),-1.63346 # DEPENDENCYPART_ARC
(15,25),-5.1877 # DEPENDENCYPART_ARC
(15,26),-5.93832 # DEPENDENCYPART_ARC
(15,27),-2.57133 # DEPENDENCYPART_ARC
(15,28),-5.30196 # DEPENDENCYPART_ARC
(15,29),-3.1709 # DEPENDENCYPART_ARC
(16,1),-2.65795 # DEPENDENCYPART_ARC
(16,2),-3.33564 # DEPENDENCYPART_ARC
(16,3),-4.40336 # DEPENDENCYPART_ARC
(16,4),-2.18795 # DEPENDENCYPART_ARC
(16,5),-7.87341 # DEPENDENCYPART_ARC
(16,6),-0.0712158 # DEPENDENCYPART_ARC
(16,7),-0.770819 # DEPENDENCYPART_ARC
(16,8),-6.10256 # DEPENDENCYPART_ARC
(16,9),-1.16408 # DEPENDENCYPART_ARC
(16,10),-2.93751 # DEPENDENCYPART_ARC
(16,11),-3.54477 # DEPENDENCYPART_ARC
(16,12),-2.60052 # DEPENDENCYPART_ARC
(16,13),0.724525 # DEPENDENCYPART_ARC
(16,14),-2.68933 # DEPENDENCYPART_ARC
(16,15),1.447 # DEPENDENCYPART_ARC
(16,17),-1.99181 # DEPENDENCYPART_ARC
(16,18),-0.575156 # DEPENDENCYPART_ARC
(16,19),-1.12849 # DEPENDENCYPART_ARC
(16,20),-4.09734 # DEPENDENCYPART_ARC
(16,21),-2.09728 # DEPENDENCYPART_ARC
(16,22),-5.51343 # DEPENDENCYPART_ARC
(16,23),-3.12933 # DEPENDENCYPART_ARC
(16,24),-1.83007 # DEPENDENCYPART_ARC
(16,25),-7.09642 # DEPENDENCYPART_ARC
(16,26),-3.43433 # DEPENDENCYPART_ARC
(16,27),-2.37197 # DEPENDENCYPART_ARC
(16,28),-5.63783 # DEPENDENCYPART_ARC
(16,29),-3.08801 # DEPENDENCYPART_ARC
(17,1),1.78515 # DEPENDENCYPART_ARC
(17,2),0.322971 # DEPENDENCYPART_ARC
(17,3),0.287881 # DEPENDENCYPART_ARC
(17,4),-0.210801 # DEPENDENCYPART_ARC
(17,5),-1.63869 # DEPENDENCYPART_ARC
(17,6),0.488181 # DEPENDENCYPART_ARC
(17,7),0.204823 # DEPENDENCYPART_ARC
(17,8),0.966472 # DEPENDENCYPART_ARC
(17,9),1.12204 # DEPENDENCYPART_ARC
(17,10),2.34448 # DEPENDENCYPART_ARC
(17,11),-2.17825 # DEPENDENCYPART_ARC
(17,12),0.715228 # DEPENDENCYPART_ARC
(17,13),1.03576 # DEPENDENCYPART_ARC
(17,14),1.89213 # DEPENDENCYPART_ARC
(17,15),1.76785 # DEPENDENCYPART_ARC
(17,16),1.21175 # DEPENDENCYPART_ARC
(17,18),-0.537375 # DEPENDENCYPART_ARC
(17,19),0.10777 # DEPENDENCYPART_ARC
(17,20),-2.44638 # DEPENDENCYPART_ARC
(17,21),-0.319975 # DEPENDENCYPART_ARC
(17,22),-3.98559 # DEPENDENCYPART_ARC
(17,23),-1.86266 # DEPENDENCYPART_ARC
(17,24),-1.14225 # DEPENDENCYPART_ARC
(17,25),-1.24701 # DEPENDENCYPART_ARC
(17,26),-2.92953 # DEPENDENCYPART_ARC
(17,27),-2.20305 # DEPENDENCYPART_ARC
(17,28),-3.42621 # DEPENDENCYPART_ARC
(17,29),-1.13083 # DEPENDENCYPART_ARC
(18,1),0.89639 # DEPENDENCYPART_ARC
(18,2),-0.390542 # DEPENDENCYPART_ARC
(18,3),0.719297 # DEPENDENCYPART_ARC
(18,4),-0.396924 # DEPENDENCYPART_ARC
(18,5),-1.33095 # DEPENDENCYPART_ARC
