# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,4,8,6,0,12,10,9,12,18,18,18,18,12,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(2,34),-15.4301 # DEPENDENCYPART_ARC
(3,1),-0.14316 # DEPENDENCYPART_ARC
(3,2),-1.53777 # DEPENDENCYPART_ARC
(3,4),0.562246 # DEPENDENCYPART_ARC
(3,5),-0.886229 # DEPENDENCYPART_ARC
(3,6),-0.233496 # DEPENDENCYPART_ARC
(3,7),-0.837296 # DEPENDENCYPART_ARC
(3,8),-2.42616 # DEPENDENCYPART_ARC
(3,9),-3.04772 # DEPENDENCYPART_ARC
(3,10),-4.30416 # DEPENDENCYPART_ARC
(3,11),-1.07131 # DEPENDENCYPART_ARC
(3,12),-4.22199 # DEPENDENCYPART_ARC
(3,13),-3.88445 # DEPENDENCYPART_ARC
(3,14),-1.08003 # DEPENDENCYPART_ARC
(3,15),-4.30188 # DEPENDENCYPART_ARC
(3,16),-1.2993 # DEPENDENCYPART_ARC
(3,17),-5.21338 # DEPENDENCYPART_ARC
(3,18),-0.63658 # DEPENDENCYPART_ARC
(3,19),-5.59564 # DEPENDENCYPART_ARC
(3,20),-5.55514 # DEPENDENCYPART_ARC
(3,21),-4.30168 # DEPENDENCYPART_ARC
(3,22),-5.69831 # DEPENDENCYPART_ARC
(3,23),-7.97801 # DEPENDENCYPART_ARC
(3,24),-6.73943 # DEPENDENCYPART_ARC
(3,25),-2.64461 # DEPENDENCYPART_ARC
(3,26),-3.85106 # DEPENDENCYPART_ARC
(3,27),-2.76099 # DEPENDENCYPART_ARC
(3,28),-4.18196 # DEPENDENCYPART_ARC
(3,29),-2.78679 # DEPENDENCYPART_ARC
(3,30),-3.1678 # DEPENDENCYPART_ARC
(3,31),-4.42705 # DEPENDENCYPART_ARC
(3,32),-3.19949 # DEPENDENCYPART_ARC
(3,33),-2.11855 # DEPENDENCYPART_ARC
(3,34),-8.30056 # DEPENDENCYPART_ARC
(4,1),-0.0824087 # DEPENDENCYPART_ARC
(4,2),-2.51432 # DEPENDENCYPART_ARC
(4,3),5.07429 # DEPENDENCYPART_ARC
(4,5),4.32424 # DEPENDENCYPART_ARC
(4,6),1.79136 # DEPENDENCYPART_ARC
(4,7),0.363082 # DEPENDENCYPART_ARC
(4,8),1.34753 # DEPENDENCYPART_ARC
(4,9),-0.458827 # DEPENDENCYPART_ARC
(4,10),-1.34499 # DEPENDENCYPART_ARC
(4,11),-0.917116 # DEPENDENCYPART_ARC
(4,12),-2.09422 # DEPENDENCYPART_ARC
(4,13),-2.20266 # DEPENDENCYPART_ARC
(4,14),0.302166 # DEPENDENCYPART_ARC
(4,15),-2.77594 # DEPENDENCYPART_ARC
(4,16),0.115779 # DEPENDENCYPART_ARC
(4,17),-3.0189 # DEPENDENCYPART_ARC
(4,18),0.433079 # DEPENDENCYPART_ARC
(4,19),-4.09699 # DEPENDENCYPART_ARC
(4,20),-1.64675 # DEPENDENCYPART_ARC
(4,21),-7.07456 # DEPENDENCYPART_ARC
(4,22),-2.15996 # DEPENDENCYPART_ARC
(4,23),-6.04729 # DEPENDENCYPART_ARC
(4,24),-4.87222 # DEPENDENCYPART_ARC
(4,25),-3.38955 # DEPENDENCYPART_ARC
(4,26),-2.64527 # DEPENDENCYPART_ARC
(4,27),-3.16985 # DEPENDENCYPART_ARC
(4,28),-2.17514 # DEPENDENCYPART_ARC
(4,29),-1.38996 # DEPENDENCYPART_ARC
(4,30),-4.36242 # DEPENDENCYPART_ARC
(4,31),-3.18758 # DEPENDENCYPART_ARC
(4,32),-4.09285 # DEPENDENCYPART_ARC
(4,33),-1.30616 # DEPENDENCYPART_ARC
(4,34),-13.8862 # DEPENDENCYPART_ARC
(5,1),-2.36194 # DEPENDENCYPART_ARC
(5,2),-3.04876 # DEPENDENCYPART_ARC
(5,3),0.189495 # DEPENDENCYPART_ARC
(5,4),0.604162 # DEPENDENCYPART_ARC
(5,6),1.31692 # DEPENDENCYPART_ARC
(5,7),0.0490206 # DEPENDENCYPART_ARC
(5,8),0.110035 # DEPENDENCYPART_ARC
(5,9),-1.0571 # DEPENDENCYPART_ARC
(5,10),-1.77608 # DEPENDENCYPART_ARC
(5,11),-1.06467 # DEPENDENCYPART_ARC
(5,12),-3.13484 # DEPENDENCYPART_ARC
(5,13),-3.41243 # DEPENDENCYPART_ARC
(5,14),-0.795389 # DEPENDENCYPART_ARC
(5,15),-4.00342 # DEPENDENCYPART_ARC
(5,16),-0.996909 # DEPENDENCYPART_ARC
(5,17),-3.6958 # DEPENDENCYPART_ARC
(5,18),-0.990739 # DEPENDENCYPART_ARC
(5,19),-4.85641 # DEPENDENCYPART_ARC
(5,20),-2.51987 # DEPENDENCYPART_ARC
(5,21),-7.0645 # DEPENDENCYPART_ARC
(5,22),-5.01709 # DEPENDENCYPART_ARC
(5,23),-6.598 # DEPENDENCYPART_ARC
(5,24),-5.2133 # DEPENDENCYPART_ARC
(5,25),-3.46385 # DEPENDENCYPART_ARC
(5,26),-2.76822 # DEPENDENCYPART_ARC
(5,27),-3.04943 # DEPENDENCYPART_ARC
(5,28),-2.74986 # DEPENDENCYPART_ARC
(5,29),-2.06812 # DEPENDENCYPART_ARC
(5,30),-4.74071 # DEPENDENCYPART_ARC
(5,31),-3.29455 # DEPENDENCYPART_ARC
(5,32),-4.09667 # DEPENDENCYPART_ARC
(5,33),-1.93598 # DEPENDENCYPART_ARC
(5,34),-13.6873 # DEPENDENCYPART_ARC
(6,1),-1.9638 # DEPENDENCYPART_ARC
(6,2),-1.49263 # DEPENDENCYPART_ARC
(6,3),-1.84432 # DEPENDENCYPART_ARC
(6,4),-1.15468 # DEPENDENCYPART_ARC
(6,5),-1.1923 # DEPENDENCYPART_ARC
(6,7),1.75442 # DEPENDENCYPART_ARC
(6,8),3.48506 # DEPENDENCYPART_ARC
(6,9),-1.18956 # DEPENDENCYPART_ARC
(6,10),-0.170455 # DEPENDENCYPART_ARC
(6,11),-0.221319 # DEPENDENCYPART_ARC
(6,12),-2.9528 # DEPENDENCYPART_ARC
(6,13),-3.53068 # DEPENDENCYPART_ARC
(6,14),-0.619149 # DEPENDENCYPART_ARC
(6,15),-4.31969 # DEPENDENCYPART_ARC
(6,16),-0.679646 # DEPENDENCYPART_ARC
(6,17),-5.50755 # DEPENDENCYPART_ARC
(6,18),-0.876901 # DEPENDENCYPART_ARC
(6,19),-7.85493 # DEPENDENCYPART_ARC
(6,20),-1.94287 # DEPENDENCYPART_ARC
(6,21),-1.30974 # DEPENDENCYPART_ARC
(6,22),-2.17626 # DEPENDENCYPART_ARC
(6,23),-6.53152 # DEPENDENCYPART_ARC
(6,24),-9.89826 # DEPENDENCYPART_ARC
(6,25),-4.71569 # DEPENDENCYPART_ARC
(6,26),-1.61368 # DEPENDENCYPART_ARC
(6,27),-3.6769 # DEPENDENCYPART_ARC
(6,28),-3.16371 # DEPENDENCYPART_ARC
(6,29),-2.35629 # DEPENDENCYPART_ARC
(6,30),-5.34159 # DEPENDENCYPART_ARC
(6,31),-1.76548 # DEPENDENCYPART_ARC
(6,32),-4.20147 # DEPENDENCYPART_ARC
(6,33),-3.20096 # DEPENDENCYPART_ARC
(6,34),-2.98162 # DEPENDENCYPART_ARC
(7,1),-1.46564 # DEPENDENCYPART_ARC
(7,2),-1.077 # DEPENDENCYPART_ARC
(7,3),-0.584888 # DEPENDENCYPART_ARC
(7,4),-1.02388 # DEPENDENCYPART_ARC
(7,5),-0.492057 # DEPENDENCYPART_ARC
(7,6),-0.228104 # DEPENDENCYPART_ARC
(7,8),3.66029 # DEPENDENCYPART_ARC
(7,9),-0.848827 # DEPENDENCYPART_ARC
(7,10),-0.577956 # DEPENDENCYPART_ARC
(7,11),0.795203 # DEPENDENCYPART_ARC
(7,12),-0.503065 # DEPENDENCYPART_ARC
(7,13),-1.67674 # DEPENDENCYPART_ARC
(7,14),-1.3359 # DEPENDENCYPART_ARC
(7,15),-1.94977 # DEPENDENCYPART_ARC
(7,16),-1.49771 # DEPENDENCYPART_ARC
(7,17),-2.45836 # DEPENDENCYPART_ARC
(7,18),-0.49968 # DEPENDENCYPART_ARC
(7,19),-3.26384 # DEPENDENCYPART_ARC
(7,20),-2.4564 # DEPENDENCYPART_ARC
(7,21),-2.76927 # DEPENDENCYPART_ARC
(7,22),-2.70712 # DEPENDENCYPART_ARC
(7,23),-4.03635 # DEPENDENCYPART_ARC
(7,24),-5.02198 # DEPENDENCYPART_ARC
(7,25),-4.1968 # DEPENDENCYPART_ARC
(7,26),-3.03945 # DEPENDENCYPART_ARC
(7,27),-4.45647 # DEPENDENCYPART_ARC
(7,28),-2.96079 # DEPENDENCYPART_ARC
(7,29),-1.62797 # DEPENDENCYPART_ARC
(7,30),-5.17356 # DEPENDENCYPART_ARC
(7,31),-4.06278 # DEPENDENCYPART_ARC
(7,32),-5.41599 # DEPENDENCYPART_ARC
(7,33),-3.01429 # DEPENDENCYPART_ARC
(7,34),-8.42379 # DEPENDENCYPART_ARC
(8,1),-2.06307 # DEPENDENCYPART_ARC
(8,2),-3.65144 # DEPENDENCYPART_ARC
(8,3),0.961227 # DEPENDENCYPART_ARC
(8,4),-1.91827 # DEPENDENCYPART_ARC
(8,5),-3.66583 # DEPENDENCYPART_ARC
(8,6),-0.649179 # DEPENDENCYPART_ARC
(8,7),2.76438 # DEPENDENCYPART_ARC
(8,9),-2.81815 # DEPENDENCYPART_ARC
(8,10),-1.57591 # DEPENDENCYPART_ARC
(8,11),-0.224101 # DEPENDENCYPART_ARC
(8,12),-1.1535 # DEPENDENCYPART_ARC
(8,13),-2.65318 # DEPENDENCYPART_ARC
(8,14),-1.26196 # DEPENDENCYPART_ARC
(8,15),-3.51385 # DEPENDENCYPART_ARC
(8,16),-1.34497 # DEPENDENCYPART_ARC
(8,17),-3.58888 # DEPENDENCYPART_ARC
(8,18),-1.26427 # DEPENDENCYPART_ARC
(8,19),-4.02694 # DEPENDENCYPART_ARC
(8,20),-3.04939 # DEPENDENCYPART_ARC
(8,21),-6.33236 # DEPENDENCYPART_ARC
(8,22),-3.23496 # DEPENDENCYPART_ARC
(8,23),-5.50938 # DEPENDENCYPART_ARC
(8,24),-4.96198 # DEPENDENCYPART_ARC
(8,25),-3.56148 # DEPENDENCYPART_ARC
(8,26),-3.41211 # DEPENDENCYPART_ARC
(8,27),-3.42254 # DEPENDENCYPART_ARC
(8,28),-3.21879 # DEPENDENCYPART_ARC
(8,29),-2.34439 # DEPENDENCYPART_ARC
(8,30),-4.85805 # DEPENDENCYPART_ARC
(8,31),-4.21583 # DEPENDENCYPART_ARC
(8,32),-4.47491 # DEPENDENCYPART_ARC
(8,33),-2.71185 # DEPENDENCYPART_ARC
(8,34),-12.7537 # DEPENDENCYPART_ARC
(9,1),2.11426 # DEPENDENCYPART_ARC
(9,2),-0.583273 # DEPENDENCYPART_ARC
(9,3),-4.99331 # DEPENDENCYPART_ARC
(9,4),-0.6156 # DEPENDENCYPART_ARC
(9,5),-0.174981 # DEPENDENCYPART_ARC
(9,6),1.1282 # DEPENDENCYPART_ARC
(9,7),0.895446 # DEPENDENCYPART_ARC
(9,8),1.91786 # DEPENDENCYPART_ARC
(9,10),2.46659 # DEPENDENCYPART_ARC
(9,11),0.375343 # DEPENDENCYPART_ARC
(9,12),2.08111 # DEPENDENCYPART_ARC
(9,13),1.3642 # DEPENDENCYPART_ARC
(9,14),1.07456 # DEPENDENCYPART_ARC
(9,15),-0.0805536 # DEPENDENCYPART_ARC
(9,16),0.952586 # DEPENDENCYPART_ARC
(9,17),-0.7201 # DEPENDENCYPART_ARC
(9,18),1.02168 # DEPENDENCYPART_ARC
(9,19),-1.74613 # DEPENDENCYPART_ARC
(9,20),-1.81508 # DEPENDENCYPART_ARC
(9,21),-0.683542 # DEPENDENCYPART_ARC
(9,22),-5.2122 # DEPENDENCYPART_ARC
(9,23),-0.407769 # DEPENDENCYPART_ARC
(9,24),-0.566022 # DEPENDENCYPART_ARC
(9,25),-0.538928 # DEPENDENCYPART_ARC
(9,26),-0.5688 # DEPENDENCYPART_ARC
(9,27),-0.640496 # DEPENDENCYPART_ARC
(9,28),-0.531305 # DEPENDENCYPART_ARC
(9,29),-1.69085 # DEPENDENCYPART_ARC
(9,30),-0.899458 # DEPENDENCYPART_ARC
(9,31),-0.56863 # DEPENDENCYPART_ARC
(9,32),-1.18171 # DEPENDENCYPART_ARC
(9,33),-0.471945 # DEPENDENCYPART_ARC
(9,34),-1.11508 # DEPENDENCYPART_ARC
(10,1),-2.05967 # DEPENDENCYPART_ARC
(10,2),-3.6666 # DEPENDENCYPART_ARC
(10,3),-2.01896 # DEPENDENCYPART_ARC
(10,4),-3.55668 # DEPENDENCYPART_ARC
(10,5),-3.3493 # DEPENDENCYPART_ARC
(10,6),-0.577346 # DEPENDENCYPART_ARC
(10,7),-0.569922 # DEPENDENCYPART_ARC
(10,8),-0.690434 # DEPENDENCYPART_ARC
(10,9),-1.9437 # DEPENDENCYPART_ARC
(10,11),2.7302 # DEPENDENCYPART_ARC
(10,12),-0.43786 # DEPENDENCYPART_ARC
(10,13),-1.85447 # DEPENDENCYPART_ARC
(10,14),0.30876 # DEPENDENCYPART_ARC
(10,15),-2.87522 # DEPENDENCYPART_ARC
(10,16),0.0936314 # DEPENDENCYPART_ARC
(10,17),-4.10475 # DEPENDENCYPART_ARC
(10,18),0.365065 # DEPENDENCYPART_ARC
(10,19),-4.42459 # DEPENDENCYPART_ARC
(10,20),-1.62342 # DEPENDENCYPART_ARC
(10,21),-1.64338 # DEPENDENCYPART_ARC
(10,22),-3.52976 # DEPENDENCYPART_ARC
(10,23),-6.20535 # DEPENDENCYPART_ARC
(10,24),-5.2113 # DEPENDENCYPART_ARC
(10,25),-1.13899 # DEPENDENCYPART_ARC
(10,26),-1.98665 # DEPENDENCYPART_ARC
(10,27),-1.31259 # DEPENDENCYPART_ARC
(10,28),-2.68252 # DEPENDENCYPART_ARC
(10,29),-1.19129 # DEPENDENCYPART_ARC
(10,30),-1.63246 # DEPENDENCYPART_ARC
(10,31),-2.73593 # DEPENDENCYPART_ARC
(10,32),-1.67815 # DEPENDENCYPART_ARC
(10,33),-1.20085 # DEPENDENCYPART_ARC
(10,34),-5.66444 # DEPENDENCYPART_ARC
(11,1),-2.15471 # DEPENDENCYPART_ARC
(11,2),-1.41143 # DEPENDENCYPART_ARC
(11,3),-1.64649 # DEPENDENCYPART_ARC
(11,4),-1.69126 # DEPENDENCYPART_ARC
(11,5),-1.31347 # DEPENDENCYPART_ARC
(11,6),-1.72546 # DEPENDENCYPART_ARC
(11,7),-0.965592 # DEPENDENCYPART_ARC
(11,8),-0.684647 # DEPENDENCYPART_ARC
(11,9),-1.20775 # DEPENDENCYPART_ARC
(11,10),0.439592 # DEPENDENCYPART_ARC
(11,12),-1.11753 # DEPENDENCYPART_ARC
(11,13),-1.3865 # DEPENDENCYPART_ARC
(11,14),-0.685607 # DEPENDENCYPART_ARC
(11,15),-2.19327 # DEPENDENCYPART_ARC
(11,16),-0.958514 # DEPENDENCYPART_ARC
(11,17),-2.84071 # DEPENDENCYPART_ARC
(11,18),-1.21581 # DEPENDENCYPART_ARC
(11,19),-3.26775 # DEPENDENCYPART_ARC
(11,20),-1.98016 # DEPENDENCYPART_ARC
(11,21),-1.72903 # DEPENDENCYPART_ARC
(11,22),-1.24876 # DEPENDENCYPART_ARC
(11,23),-3.71414 # DEPENDENCYPART_ARC
(11,24),-3.49578 # DEPENDENCYPART_ARC
(11,25),-3.36264 # DEPENDENCYPART_ARC
(11,26),-2.49889 # DEPENDENCYPART_ARC
(11,27),-3.83299 # DEPENDENCYPART_ARC
(11,28),-3.10286 # DEPENDENCYPART_ARC
(11,29),-2.85852 # DEPENDENCYPART_ARC
(11,30),-3.91983 # DEPENDENCYPART_ARC
(11,31),-3.19106 # DEPENDENCYPART_ARC
(11,32),-4.56242 # DEPENDENCYPART_ARC
(11,33),-3.36376 # DEPENDENCYPART_ARC
(11,34),-4.37168 # DEPENDENCYPART_ARC
(12,1),-1.79766 # DEPENDENCYPART_ARC
(12,2),-4.02712 # DEPENDENCYPART_ARC
(12,3),-2.90864 # DEPENDENCYPART_ARC
(12,4),-3.43275 # DEPENDENCYPART_ARC
(12,5),-3.63349 # DEPENDENCYPART_ARC
(12,6),0.297356 # DEPENDENCYPART_ARC
(12,7),0.980156 # DEPENDENCYPART_ARC
(12,8),-0.100738 # DEPENDENCYPART_ARC
(12,9),-1.95119 # DEPENDENCYPART_ARC
(12,10),4.10584 # DEPENDENCYPART_ARC
(12,11),0.295366 # DEPENDENCYPART_ARC
(12,13),2.9192 # DEPENDENCYPART_ARC
(12,14),0.384621 # DEPENDENCYPART_ARC
(12,15),0.497152 # DEPENDENCYPART_ARC
(12,16),0.511624 # DEPENDENCYPART_ARC
(12,17),0.0757752 # DEPENDENCYPART_ARC
(12,18),1.18166 # DEPENDENCYPART_ARC
(12,19),-1.52565 # DEPENDENCYPART_ARC
(12,20),-0.588046 # DEPENDENCYPART_ARC
(12,21),-2.75989 # DEPENDENCYPART_ARC
(12,22),-2.35584 # DEPENDENCYPART_ARC
(12,23),-3.97002 # DEPENDENCYPART_ARC
(12,24),-1.19057 # DEPENDENCYPART_ARC
(12,25),-1.76635 # DEPENDENCYPART_ARC
(12,26),-1.61354 # DEPENDENCYPART_ARC
(12,27),-1.67487 # DEPENDENCYPART_ARC
(12,28),-1.26686 # DEPENDENCYPART_ARC
(12,29),-0.879693 # DEPENDENCYPART_ARC
(12,30),-2.9993 # DEPENDENCYPART_ARC
(12,31),-2.08693 # DEPENDENCYPART_ARC
(12,32),-2.68348 # DEPENDENCYPART_ARC
(12,33),-0.847512 # DEPENDENCYPART_ARC
(12,34),-9.96455 # DEPENDENCYPART_ARC
(13,1),-3.38992 # DEPENDENCYPART_ARC
(13,2),-3.20189 # DEPENDENCYPART_ARC
(13,3),-4.21035 # DEPENDENCYPART_ARC
(13,4),-2.9549 # DEPENDENCYPART_ARC
(13,5),-6.4238 # DEPENDENCYPART_ARC
(13,6),-0.748259 # DEPENDENCYPART_ARC
(13,7),-0.677536 # DEPENDENCYPART_ARC
(13,8),-0.179445 # DEPENDENCYPART_ARC
(13,9),-3.88932 # DEPENDENCYPART_ARC
(13,10),2.22308 # DEPENDENCYPART_ARC
(13,11),-0.595623 # DEPENDENCYPART_ARC
(13,12),1.56653 # DEPENDENCYPART_ARC
(13,14),0.421957 # DEPENDENCYPART_ARC
(13,15),-0.574942 # DEPENDENCYPART_ARC
(13,16),-0.050713 # DEPENDENCYPART_ARC
(13,17),-2.23639 # DEPENDENCYPART_ARC
(13,18),0.0385279 # DEPENDENCYPART_ARC
(13,19),-3.82947 # DEPENDENCYPART_ARC
(13,20),-0.999913 # DEPENDENCYPART_ARC
(13,21),-2.66172 # DEPENDENCYPART_ARC
(13,22),-3.20461 # DEPENDENCYPART_ARC
(13,23),-5.7673 # DEPENDENCYPART_ARC
(13,24),-5.27069 # DEPENDENCYPART_ARC
(13,25),-2.18474 # DEPENDENCYPART_ARC
(13,26),-1.49527 # DEPENDENCYPART_ARC
(13,27),-1.77899 # DEPENDENCYPART_ARC
(13,28),-1.71733 # DEPENDENCYPART_ARC
(13,29),-1.61781 # DEPENDENCYPART_ARC
(13,30),-3.47644 # DEPENDENCYPART_ARC
(13,31),-2.05534 # DEPENDENCYPART_ARC
(13,32),-2.70699 # DEPENDENCYPART_ARC
(13,33),-0.847706 # DEPENDENCYPART_ARC
(13,34),-9.74029 # DEPENDENCYPART_ARC
(14,1),-0.829021 # DEPENDENCYPART_ARC
(14,2),0.540112 # DEPENDENCYPART_ARC
(14,3),-0.788261 # DEPENDENCYPART_ARC
(14,4),0.305509 # DEPENDENCYPART_ARC
(14,5),0.537311 # DEPENDENCYPART_ARC
(14,6),-0.63885 # DEPENDENCYPART_ARC
(14,7),-0.650976 # DEPENDENCYPART_ARC
(14,8),0.319721 # DEPENDENCYPART_ARC
(14,9),0.289628 # DEPENDENCYPART_ARC
(14,10),0.455782 # DEPENDENCYPART_ARC
(14,11),0.368017 # DEPENDENCYPART_ARC
(14,12),1.22519 # DEPENDENCYPART_ARC
(14,13),1.89389 # DEPENDENCYPART_ARC
(14,15),2.01522 # DEPENDENCYPART_ARC
(14,16),0.517651 # DEPENDENCYPART_ARC
(14,17),0.850198 # DEPENDENCYPART_ARC
(14,18),0.605074 # DEPENDENCYPART_ARC
(14,19),-0.316475 # DEPENDENCYPART_ARC
(14,20),-0.673939 # DEPENDENCYPART_ARC
(14,21),-0.615752 # DEPENDENCYPART_ARC
(14,22),-1.17438 # DEPENDENCYPART_ARC
(14,23),-0.70854 # DEPENDENCYPART_ARC
(14,24),-0.711003 # DEPENDENCYPART_ARC
(14,25),-1.01822 # DEPENDENCYPART_ARC
(14,26),-1.79118 # DEPENDENCYPART_ARC
(14,27),-1.47926 # DEPENDENCYPART_ARC
(14,28),-1.43689 # DEPENDENCYPART_ARC
(14,29),-1.59938 # DEPENDENCYPART_ARC
(14,30),-1.7052 # DEPENDENCYPART_ARC
(14,31),-2.38992 # DEPENDENCYPART_ARC
(14,32),-2.20769 # DEPENDENCYPART_ARC
(14,33),-2.17341 # DEPENDENCYPART_ARC
(14,34),-2.70252 # DEPENDENCYPART_ARC
(15,1),-4.16104 # DEPENDENCYPART_ARC
(15,2),-4.03136 # DEPENDENCYPART_ARC
(15,3),-4.83784 # DEPENDENCYPART_ARC
(15,4),-3.7591 # DEPENDENCYPART_ARC
(15,5),-6.7001 # DEPENDENCYPART_ARC
(15,6),-1.31862 # DEPENDENCYPART_ARC
