# _root_ Nagyon kedves neki az a rózsafüzér is , amelyikkel Angelo_Acerbi pápai nuncius ajándékozta meg , amikor meglátta a gyöngyösi Mária-szobor melletti olvasókat .
#goldHeads=2,7,7,6,6,7,0,7,13,12,12,13,7,13,13,17,13,20,20,21,22,17,7,
#predictedHeads=2,3,13,6,6,13,13,13,13,13,12,13,0,13,13,17,13,20,20,21,22,17,13,
(13,10),2.28289 # DEPENDENCYPART_ARC
(13,11),0.79432 # DEPENDENCYPART_ARC
(13,12),3.36042 # DEPENDENCYPART_ARC
(13,14),3.80711 # DEPENDENCYPART_ARC
(13,15),2.18361 # DEPENDENCYPART_ARC
(13,16),0.73671 # DEPENDENCYPART_ARC
(13,17),1.88382 # DEPENDENCYPART_ARC
(13,18),-0.693218 # DEPENDENCYPART_ARC
(13,19),-0.836258 # DEPENDENCYPART_ARC
(13,20),-1.21373 # DEPENDENCYPART_ARC
(13,21),-0.708282 # DEPENDENCYPART_ARC
(13,22),0.569411 # DEPENDENCYPART_ARC
(13,23),2.65736 # DEPENDENCYPART_ARC
(14,7),-0.398276 # DEPENDENCYPART_ARC
(14,8),-0.95957 # DEPENDENCYPART_ARC
(14,11),-0.161957 # DEPENDENCYPART_ARC
(14,12),0.0468078 # DEPENDENCYPART_ARC
(14,13),0.153486 # DEPENDENCYPART_ARC
(14,15),-0.035098 # DEPENDENCYPART_ARC
(14,17),-0.0946735 # DEPENDENCYPART_ARC
(14,20),-1.45943 # DEPENDENCYPART_ARC
(14,22),-1.5309 # DEPENDENCYPART_ARC
(14,23),-0.43824 # DEPENDENCYPART_ARC
(16,12),-0.836158 # DEPENDENCYPART_ARC
(16,15),-0.0375984 # DEPENDENCYPART_ARC
(16,20),-0.937264 # DEPENDENCYPART_ARC
(16,22),-1.26295 # DEPENDENCYPART_ARC
(16,23),-0.492945 # DEPENDENCYPART_ARC
(17,1),-2.36676 # DEPENDENCYPART_ARC
(17,2),-2.04145 # DEPENDENCYPART_ARC
(17,3),-1.01014 # DEPENDENCYPART_ARC
(17,4),-2.05908 # DEPENDENCYPART_ARC
(17,6),-0.493111 # DEPENDENCYPART_ARC
(17,7),-0.342889 # DEPENDENCYPART_ARC
(17,8),-0.279109 # DEPENDENCYPART_ARC
(17,9),-0.526751 # DEPENDENCYPART_ARC
(17,10),-0.437103 # DEPENDENCYPART_ARC
(17,11),-1.35192 # DEPENDENCYPART_ARC
(17,12),0.74576 # DEPENDENCYPART_ARC
(17,13),0.00961113 # DEPENDENCYPART_ARC
(17,14),0.44922 # DEPENDENCYPART_ARC
(17,15),0.856257 # DEPENDENCYPART_ARC
(17,16),2.43055 # DEPENDENCYPART_ARC
(17,18),-0.461846 # DEPENDENCYPART_ARC
(17,19),0.192944 # DEPENDENCYPART_ARC
(17,20),0.54392 # DEPENDENCYPART_ARC
(17,21),-0.267611 # DEPENDENCYPART_ARC
(17,22),2.69181 # DEPENDENCYPART_ARC
(17,23),1.73521 # DEPENDENCYPART_ARC
(18,19),0.124593 # DEPENDENCYPART_ARC
(19,4),-2.9795 # DEPENDENCYPART_ARC
(19,9),-2.59505 # DEPENDENCYPART_ARC
(19,16),-1.20453 # DEPENDENCYPART_ARC
(19,18),0.418594 # DEPENDENCYPART_ARC
(20,4),-2.36933 # DEPENDENCYPART_ARC
(20,15),-1.22522 # DEPENDENCYPART_ARC
(20,16),-0.542002 # DEPENDENCYPART_ARC
(20,18),2.53908 # DEPENDENCYPART_ARC
(20,19),3.87521 # DEPENDENCYPART_ARC
(20,22),-1.14907 # DEPENDENCYPART_ARC
(21,7),0.00462859 # DEPENDENCYPART_ARC
(21,9),-1.08581 # DEPENDENCYPART_ARC
(21,10),-1.08116 # DEPENDENCYPART_ARC
(21,13),-0.913741 # DEPENDENCYPART_ARC
(21,15),0.113403 # DEPENDENCYPART_ARC
(21,16),0.0498779 # DEPENDENCYPART_ARC
(21,18),0.333335 # DEPENDENCYPART_ARC
(21,19),0.757508 # DEPENDENCYPART_ARC
(21,20),1.62302 # DEPENDENCYPART_ARC
(22,5),-1.16161 # DEPENDENCYPART_ARC
(22,10),-2.32796 # DEPENDENCYPART_ARC
(22,11),-0.163763 # DEPENDENCYPART_ARC
(22,13),-1.16682 # DEPENDENCYPART_ARC
(22,15),-0.708398 # DEPENDENCYPART_ARC
(22,16),-0.487662 # DEPENDENCYPART_ARC
(22,18),1.63094 # DEPENDENCYPART_ARC
(22,19),2.01121 # DEPENDENCYPART_ARC
(22,20),1.18701 # DEPENDENCYPART_ARC
(22,21),3.44703 # DEPENDENCYPART_ARC
(22,23),-0.281891 # DEPENDENCYPART_ARC
