# _root_ Akkor a két állam között automatikusan adódna katonai szövetség , a vasútvonal használatát egymástól nem lehetne megtagadni , ( ... )
#goldHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,7,7,7,7,
#predictedHeads=7,4,4,5,7,7,0,9,7,7,12,13,17,17,16,7,16,16,16,16,7,
(13,16),-1.19735 # DEPENDENCYPART_ARC
(13,17),-0.462221 # DEPENDENCYPART_ARC
(13,18),-0.327527 # DEPENDENCYPART_ARC
(13,19),-0.372907 # DEPENDENCYPART_ARC
(13,20),-0.377578 # DEPENDENCYPART_ARC
(13,21),0.136859 # DEPENDENCYPART_ARC
(14,9),-1.03662 # DEPENDENCYPART_ARC
(14,12),-0.743441 # DEPENDENCYPART_ARC
(14,13),-1.06311 # DEPENDENCYPART_ARC
(15,9),-1.37813 # DEPENDENCYPART_ARC
(15,10),-0.845924 # DEPENDENCYPART_ARC
(15,12),-0.653237 # DEPENDENCYPART_ARC
(15,13),-0.764343 # DEPENDENCYPART_ARC
(15,17),-0.286136 # DEPENDENCYPART_ARC
(15,18),-0.169519 # DEPENDENCYPART_ARC
(15,19),-0.184656 # DEPENDENCYPART_ARC
(15,20),-0.202448 # DEPENDENCYPART_ARC
(15,21),-0.135474 # DEPENDENCYPART_ARC
(16,1),-0.0637178 # DEPENDENCYPART_ARC
(16,3),-1.77008 # DEPENDENCYPART_ARC
(16,4),-1.79656 # DEPENDENCYPART_ARC
(16,5),-0.508203 # DEPENDENCYPART_ARC
(16,6),-0.261816 # DEPENDENCYPART_ARC
(16,7),0.3855 # DEPENDENCYPART_ARC
(16,8),-1.31627 # DEPENDENCYPART_ARC
(16,9),-0.77109 # DEPENDENCYPART_ARC
(16,10),0.624389 # DEPENDENCYPART_ARC
(16,11),-1.34791 # DEPENDENCYPART_ARC
(16,12),0.198032 # DEPENDENCYPART_ARC
(16,13),0.10226 # DEPENDENCYPART_ARC
(16,14),-0.0786215 # DEPENDENCYPART_ARC
(16,15),2.82434 # DEPENDENCYPART_ARC
(16,17),3.98023 # DEPENDENCYPART_ARC
(16,18),1.91611 # DEPENDENCYPART_ARC
(16,19),1.17395 # DEPENDENCYPART_ARC
(16,20),1.36161 # DEPENDENCYPART_ARC
(16,21),1.44449 # DEPENDENCYPART_ARC
(17,1),0.481968 # DEPENDENCYPART_ARC
(17,2),-1.26634 # DEPENDENCYPART_ARC
(17,3),-0.753901 # DEPENDENCYPART_ARC
(17,4),-1.97413 # DEPENDENCYPART_ARC
(17,5),0.444255 # DEPENDENCYPART_ARC
(17,6),1.24935 # DEPENDENCYPART_ARC
(17,7),-0.942104 # DEPENDENCYPART_ARC
(17,8),-0.418411 # DEPENDENCYPART_ARC
(17,9),-1.26687 # DEPENDENCYPART_ARC
(17,10),0.464106 # DEPENDENCYPART_ARC
(17,11),-1.2037 # DEPENDENCYPART_ARC
(17,12),-0.555868 # DEPENDENCYPART_ARC
(17,13),2.36996 # DEPENDENCYPART_ARC
(17,14),1.16632 # DEPENDENCYPART_ARC
(17,15),1.38731 # DEPENDENCYPART_ARC
(17,16),1.10327 # DEPENDENCYPART_ARC
(17,18),0.744739 # DEPENDENCYPART_ARC
(17,19),0.107378 # DEPENDENCYPART_ARC
(17,20),0.155241 # DEPENDENCYPART_ARC
(17,21),0.424918 # DEPENDENCYPART_ARC
