# _root_ Az ÁPTF április 30-ig meghosszabbította a CB_Bróker_Értékpapír-forgalmazó_Rt.-nek , a LaSalle_Értékpapír-forgalmazó_Rt.-nek , a Pannonbróker_Értékpapír-forgalmazó_Rt.-nek és a Pest-Buda_Értékház_Értékpapír-kereskedő_és_Befektetési_Tanácsadó_Rt.-nek a Központi_Elszámolóház_és_Értéktár_(KELER)_Rt.-nél vezetett valamennyi számlája feletti rendelkezési joga felfüggesztését .
#goldHeads=2,5,4,5,0,7,14,14,10,14,14,13,14,5,16,14,18,19,21,21,22,23,24,25,5,5,
#predictedHeads=2,3,4,5,0,7,5,5,10,5,5,13,14,22,16,14,18,19,21,21,22,24,24,25,5,5,
(14,24),-0.288785 # DEPENDENCYPART_ARC
(14,25),-1.11845 # DEPENDENCYPART_ARC
(14,26),-0.140146 # DEPENDENCYPART_ARC
(15,14),-0.342393 # DEPENDENCYPART_ARC
(15,22),-1.18658 # DEPENDENCYPART_ARC
(16,9),-1.68026 # DEPENDENCYPART_ARC
(16,12),-0.626534 # DEPENDENCYPART_ARC
(16,13),-0.98448 # DEPENDENCYPART_ARC
(16,14),-0.267262 # DEPENDENCYPART_ARC
(16,15),2.40389 # DEPENDENCYPART_ARC
(16,18),-0.777342 # DEPENDENCYPART_ARC
(16,19),-0.567294 # DEPENDENCYPART_ARC
(16,21),-0.731145 # DEPENDENCYPART_ARC
(16,22),-0.837187 # DEPENDENCYPART_ARC
(16,24),-0.78101 # DEPENDENCYPART_ARC
(16,25),-1.16541 # DEPENDENCYPART_ARC
(16,26),-0.0569187 # DEPENDENCYPART_ARC
(17,19),-0.386733 # DEPENDENCYPART_ARC
(17,21),-1.38059 # DEPENDENCYPART_ARC
(17,22),-0.923336 # DEPENDENCYPART_ARC
(18,12),-1.41756 # DEPENDENCYPART_ARC
(18,15),0.0932343 # DEPENDENCYPART_ARC
(18,16),-2.00239 # DEPENDENCYPART_ARC
(18,17),2.43888 # DEPENDENCYPART_ARC
(18,21),-0.518884 # DEPENDENCYPART_ARC
(19,2),-1.55775 # DEPENDENCYPART_ARC
(19,3),-2.10358 # DEPENDENCYPART_ARC
(19,5),-1.05143 # DEPENDENCYPART_ARC
(19,7),-2.37497 # DEPENDENCYPART_ARC
(19,8),-0.251656 # DEPENDENCYPART_ARC
(19,10),-1.97425 # DEPENDENCYPART_ARC
(19,11),0.00865167 # DEPENDENCYPART_ARC
(19,12),-0.735816 # DEPENDENCYPART_ARC
(19,13),-1.42015 # DEPENDENCYPART_ARC
(19,14),0.111338 # DEPENDENCYPART_ARC
(19,15),-0.334074 # DEPENDENCYPART_ARC
(19,16),-1.1882 # DEPENDENCYPART_ARC
(19,17),0.449076 # DEPENDENCYPART_ARC
(19,18),2.04539 # DEPENDENCYPART_ARC
(19,20),-0.5002 # DEPENDENCYPART_ARC
(19,21),-0.277245 # DEPENDENCYPART_ARC
(19,22),-0.672265 # DEPENDENCYPART_ARC
(19,24),-0.807687 # DEPENDENCYPART_ARC
(19,25),-1.52081 # DEPENDENCYPART_ARC
(19,26),0.278684 # DEPENDENCYPART_ARC
(21,12),-2.2836 # DEPENDENCYPART_ARC
(21,13),-1.95219 # DEPENDENCYPART_ARC
(21,14),-0.284454 # DEPENDENCYPART_ARC
(21,15),-1.00018 # DEPENDENCYPART_ARC
(21,16),-1.53076 # DEPENDENCYPART_ARC
(21,17),0.0247408 # DEPENDENCYPART_ARC
(21,18),-0.82562 # DEPENDENCYPART_ARC
(21,19),1.14874 # DEPENDENCYPART_ARC
(21,20),2.49682 # DEPENDENCYPART_ARC
(21,22),-0.580458 # DEPENDENCYPART_ARC
(21,23),-0.472155 # DEPENDENCYPART_ARC
(21,24),-0.325186 # DEPENDENCYPART_ARC
(21,25),-1.56737 # DEPENDENCYPART_ARC
(22,3),-1.68567 # DEPENDENCYPART_ARC
(22,5),-0.533637 # DEPENDENCYPART_ARC
(22,7),-1.91753 # DEPENDENCYPART_ARC
(22,8),-0.0637763 # DEPENDENCYPART_ARC
(22,10),-1.62956 # DEPENDENCYPART_ARC
(22,11),0.0466187 # DEPENDENCYPART_ARC
(22,13),-0.875473 # DEPENDENCYPART_ARC
(22,14),0.786423 # DEPENDENCYPART_ARC
(22,15),-0.171747 # DEPENDENCYPART_ARC
(22,16),-1.09387 # DEPENDENCYPART_ARC
(22,17),0.0721494 # DEPENDENCYPART_ARC
(22,18),1.78718 # DEPENDENCYPART_ARC
(22,19),0.0437557 # DEPENDENCYPART_ARC
(22,20),0.521648 # DEPENDENCYPART_ARC
(22,21),1.61533 # DEPENDENCYPART_ARC
(22,23),-0.61962 # DEPENDENCYPART_ARC
(22,25),-1.62761 # DEPENDENCYPART_ARC
(23,3),-2.98426 # DEPENDENCYPART_ARC
(23,7),-3.38407 # DEPENDENCYPART_ARC
(23,10),-3.04451 # DEPENDENCYPART_ARC
(23,13),-2.21273 # DEPENDENCYPART_ARC
(23,14),-0.232327 # DEPENDENCYPART_ARC
(23,16),-2.25558 # DEPENDENCYPART_ARC
(23,17),-0.523424 # DEPENDENCYPART_ARC
(23,18),0.588371 # DEPENDENCYPART_ARC
(23,19),-0.724611 # DEPENDENCYPART_ARC
(23,20),-0.550515 # DEPENDENCYPART_ARC
(23,21),0.0483679 # DEPENDENCYPART_ARC
(23,22),1.06116 # DEPENDENCYPART_ARC
(24,7),-2.89266 # DEPENDENCYPART_ARC
(24,8),-0.909067 # DEPENDENCYPART_ARC
(24,9),-2.49204 # DEPENDENCYPART_ARC
(24,10),-2.48465 # DEPENDENCYPART_ARC
(24,11),-0.564834 # DEPENDENCYPART_ARC
(24,12),-1.63669 # DEPENDENCYPART_ARC
(24,13),-1.33241 # DEPENDENCYPART_ARC
(24,14),0.221909 # DEPENDENCYPART_ARC
(24,15),-0.486365 # DEPENDENCYPART_ARC
(24,16),-1.26013 # DEPENDENCYPART_ARC
(24,17),0.241691 # DEPENDENCYPART_ARC
(24,18),-0.470827 # DEPENDENCYPART_ARC
(24,19),0.99099 # DEPENDENCYPART_ARC
(24,20),1.10061 # DEPENDENCYPART_ARC
(24,21),1.05193 # DEPENDENCYPART_ARC
(24,22),2.31583 # DEPENDENCYPART_ARC
(24,23),3.12511 # DEPENDENCYPART_ARC
(25,7),-3.68615 # DEPENDENCYPART_ARC
(25,8),-0.567545 # DEPENDENCYPART_ARC
(25,10),-3.32098 # DEPENDENCYPART_ARC
(25,11),-0.26088 # DEPENDENCYPART_ARC
(25,12),-2.4692 # DEPENDENCYPART_ARC
(25,13),-2.18077 # DEPENDENCYPART_ARC
(25,14),0.524694 # DEPENDENCYPART_ARC
(25,15),-1.35486 # DEPENDENCYPART_ARC
(25,16),-2.70054 # DEPENDENCYPART_ARC
(25,17),-0.342112 # DEPENDENCYPART_ARC
(25,18),-1.84246 # DEPENDENCYPART_ARC
(25,19),0.192312 # DEPENDENCYPART_ARC
(25,20),0.285719 # DEPENDENCYPART_ARC
(25,21),-0.027951 # DEPENDENCYPART_ARC
(25,22),0.985126 # DEPENDENCYPART_ARC
(25,23),1.57638 # DEPENDENCYPART_ARC
(25,24),2.89557 # DEPENDENCYPART_ARC
(25,26),-0.0226616 # DEPENDENCYPART_ARC
