# _root_ Be kell vallanom , csak pár nap alatt sikerült kiderítenem , hogy retrofit magyarul azt jelenti : korszerűsítés .
#goldHeads=2,0,2,2,9,7,8,9,3,9,9,9,16,16,16,10,16,15,2,
#predictedHeads=2,16,2,2,10,7,8,10,2,9,2,9,16,16,16,0,16,16,2,
(10,13),-2.05061 # DEPENDENCYPART_ARC
(10,14),0.00832325 # DEPENDENCYPART_ARC
(10,15),-1.34194 # DEPENDENCYPART_ARC
(10,16),-0.926294 # DEPENDENCYPART_ARC
(10,17),0.0615792 # DEPENDENCYPART_ARC
(10,18),-2.58933 # DEPENDENCYPART_ARC
(10,19),0.984492 # DEPENDENCYPART_ARC
(12,2),-1.04051 # DEPENDENCYPART_ARC
(12,3),-1.06133 # DEPENDENCYPART_ARC
(12,4),-0.594432 # DEPENDENCYPART_ARC
(12,5),-0.385771 # DEPENDENCYPART_ARC
(12,7),-0.458577 # DEPENDENCYPART_ARC
(12,8),-0.110526 # DEPENDENCYPART_ARC
(12,9),-0.391278 # DEPENDENCYPART_ARC
(12,10),-0.262104 # DEPENDENCYPART_ARC
(12,11),0.965974 # DEPENDENCYPART_ARC
(12,13),-0.946945 # DEPENDENCYPART_ARC
(12,14),-0.491253 # DEPENDENCYPART_ARC
(12,16),0.550117 # DEPENDENCYPART_ARC
(12,17),0.293802 # DEPENDENCYPART_ARC
(12,18),-2.10165 # DEPENDENCYPART_ARC
(12,19),1.22487 # DEPENDENCYPART_ARC
(13,11),-0.463224 # DEPENDENCYPART_ARC
(13,12),-0.79786 # DEPENDENCYPART_ARC
(13,14),-0.464649 # DEPENDENCYPART_ARC
(13,18),-1.17942 # DEPENDENCYPART_ARC
(14,2),-1.31256 # DEPENDENCYPART_ARC
(14,5),-0.693382 # DEPENDENCYPART_ARC
(14,6),-0.885654 # DEPENDENCYPART_ARC
(14,7),-2.16457 # DEPENDENCYPART_ARC
(14,8),-0.137565 # DEPENDENCYPART_ARC
(14,9),-1.3758 # DEPENDENCYPART_ARC
(14,10),-0.231759 # DEPENDENCYPART_ARC
(14,11),0.377807 # DEPENDENCYPART_ARC
(14,12),0.228887 # DEPENDENCYPART_ARC
(14,13),0.111181 # DEPENDENCYPART_ARC
(14,17),0.344994 # DEPENDENCYPART_ARC
(14,18),-0.5429 # DEPENDENCYPART_ARC
(15,2),-0.406546 # DEPENDENCYPART_ARC
(15,3),-0.522005 # DEPENDENCYPART_ARC
(15,9),-0.212097 # DEPENDENCYPART_ARC
(15,10),-0.13059 # DEPENDENCYPART_ARC
(15,11),0.0699534 # DEPENDENCYPART_ARC
(15,12),-0.272495 # DEPENDENCYPART_ARC
(15,13),-0.354723 # DEPENDENCYPART_ARC
(15,14),0.689262 # DEPENDENCYPART_ARC
(15,16),0.806399 # DEPENDENCYPART_ARC
(15,17),0.0672358 # DEPENDENCYPART_ARC
(15,18),0.200202 # DEPENDENCYPART_ARC
(15,19),0.180616 # DEPENDENCYPART_ARC
(16,2),0.769025 # DEPENDENCYPART_ARC
(16,3),1.29744 # DEPENDENCYPART_ARC
(16,4),0.608734 # DEPENDENCYPART_ARC
(16,5),0.833656 # DEPENDENCYPART_ARC
(16,6),-0.617496 # DEPENDENCYPART_ARC
(16,7),-0.441678 # DEPENDENCYPART_ARC
(16,8),1.43465 # DEPENDENCYPART_ARC
(16,9),0.617316 # DEPENDENCYPART_ARC
(16,10),1.26981 # DEPENDENCYPART_ARC
(16,11),0.957877 # DEPENDENCYPART_ARC
(16,12),0.866071 # DEPENDENCYPART_ARC
(16,13),1.79119 # DEPENDENCYPART_ARC
(16,14),2.70329 # DEPENDENCYPART_ARC
(16,15),3.53492 # DEPENDENCYPART_ARC
(16,17),2.55737 # DEPENDENCYPART_ARC
(16,18),1.62351 # DEPENDENCYPART_ARC
(16,19),2.69356 # DEPENDENCYPART_ARC
(18,6),-1.32905 # DEPENDENCYPART_ARC
(18,13),-2.45276 # DEPENDENCYPART_ARC
(18,14),-3.05364 # DEPENDENCYPART_ARC
(18,15),-2.71645 # DEPENDENCYPART_ARC
(18,17),-0.297896 # DEPENDENCYPART_ARC
(18,19),0.167089 # DEPENDENCYPART_ARC
