# _root_ Sokan őt okolták ugyanis a vereségért , hiszen a nevéhez fűződött például az 1993-as , nagy port kavart MDF-Fidesz-székházügy .
#goldHeads=3,3,8,3,6,3,8,0,10,11,8,11,19,19,19,17,18,19,11,8,
#predictedHeads=3,3,8,3,6,3,8,0,10,11,8,11,17,19,19,17,18,19,11,8,
(11,4),0.774533 # DEPENDENCYPART_ARC
(11,5),-1.29926 # DEPENDENCYPART_ARC
(11,6),-0.128022 # DEPENDENCYPART_ARC
(11,7),0.550605 # DEPENDENCYPART_ARC
(11,8),0.681172 # DEPENDENCYPART_ARC
(11,9),-0.763847 # DEPENDENCYPART_ARC
(11,10),2.2054 # DEPENDENCYPART_ARC
(11,12),2.8015 # DEPENDENCYPART_ARC
(11,13),-0.156006 # DEPENDENCYPART_ARC
(11,14),0.121064 # DEPENDENCYPART_ARC
(11,15),1.18576 # DEPENDENCYPART_ARC
(11,16),-0.423314 # DEPENDENCYPART_ARC
(11,17),-0.326458 # DEPENDENCYPART_ARC
(11,18),-0.579347 # DEPENDENCYPART_ARC
(11,19),1.07276 # DEPENDENCYPART_ARC
(11,20),1.74983 # DEPENDENCYPART_ARC
(12,3),-0.858665 # DEPENDENCYPART_ARC
(12,4),-0.502738 # DEPENDENCYPART_ARC
(12,6),-1.23181 # DEPENDENCYPART_ARC
(12,7),-0.620492 # DEPENDENCYPART_ARC
(12,8),-0.563169 # DEPENDENCYPART_ARC
(12,10),-0.143111 # DEPENDENCYPART_ARC
(12,11),0.0112655 # DEPENDENCYPART_ARC
(12,14),-0.328496 # DEPENDENCYPART_ARC
(12,15),-0.213395 # DEPENDENCYPART_ARC
(12,16),-0.504226 # DEPENDENCYPART_ARC
(12,17),-0.516405 # DEPENDENCYPART_ARC
(12,19),-0.564937 # DEPENDENCYPART_ARC
(12,20),-0.175304 # DEPENDENCYPART_ARC
(13,14),0.580974 # DEPENDENCYPART_ARC
(13,16),-0.0763065 # DEPENDENCYPART_ARC
(13,17),-0.785905 # DEPENDENCYPART_ARC
(14,1),-2.1685 # DEPENDENCYPART_ARC
(14,9),-1.68283 # DEPENDENCYPART_ARC
(14,10),-1.42874 # DEPENDENCYPART_ARC
(14,12),-0.309327 # DEPENDENCYPART_ARC
(14,13),0.354787 # DEPENDENCYPART_ARC
(14,15),-0.144352 # DEPENDENCYPART_ARC
(14,16),-1.09175 # DEPENDENCYPART_ARC
(14,17),-1.47781 # DEPENDENCYPART_ARC
(14,19),-1.31525 # DEPENDENCYPART_ARC
(14,20),-0.578552 # DEPENDENCYPART_ARC
(16,1),-2.07819 # DEPENDENCYPART_ARC
(16,12),-0.630308 # DEPENDENCYPART_ARC
(16,13),-0.707385 # DEPENDENCYPART_ARC
(16,14),-0.26956 # DEPENDENCYPART_ARC
(16,15),0.234747 # DEPENDENCYPART_ARC
(16,17),-0.560745 # DEPENDENCYPART_ARC
(17,1),-1.39034 # DEPENDENCYPART_ARC
(17,3),-1.37585 # DEPENDENCYPART_ARC
(17,5),-1.41251 # DEPENDENCYPART_ARC
(17,9),-0.383261 # DEPENDENCYPART_ARC
(17,10),-3.71371 # DEPENDENCYPART_ARC
(17,11),-1.30991 # DEPENDENCYPART_ARC
(17,12),-0.36377 # DEPENDENCYPART_ARC
(17,13),1.37585 # DEPENDENCYPART_ARC
(17,14),1.44701 # DEPENDENCYPART_ARC
(17,15),1.35247 # DEPENDENCYPART_ARC
(17,16),3.22833 # DEPENDENCYPART_ARC
(17,19),-0.577268 # DEPENDENCYPART_ARC
(17,20),-0.210776 # DEPENDENCYPART_ARC
(18,1),-1.2586 # DEPENDENCYPART_ARC
(18,3),-1.08035 # DEPENDENCYPART_ARC
(18,4),-0.243255 # DEPENDENCYPART_ARC
(18,6),-0.43118 # DEPENDENCYPART_ARC
(18,8),-0.404234 # DEPENDENCYPART_ARC
(18,10),-0.477835 # DEPENDENCYPART_ARC
(18,12),-0.202442 # DEPENDENCYPART_ARC
(18,13),-0.244482 # DEPENDENCYPART_ARC
(18,14),-0.41865 # DEPENDENCYPART_ARC
(18,15),0.420256 # DEPENDENCYPART_ARC
(18,16),0.350093 # DEPENDENCYPART_ARC
(18,17),2.14225 # DEPENDENCYPART_ARC
(19,4),-1.34227 # DEPENDENCYPART_ARC
(19,5),-1.41077 # DEPENDENCYPART_ARC
(19,6),-3.68176 # DEPENDENCYPART_ARC
(19,8),-0.988128 # DEPENDENCYPART_ARC
(19,9),-0.431292 # DEPENDENCYPART_ARC
(19,10),-3.4447 # DEPENDENCYPART_ARC
(19,11),-0.189196 # DEPENDENCYPART_ARC
(19,12),-0.260481 # DEPENDENCYPART_ARC
(19,13),1.23949 # DEPENDENCYPART_ARC
(19,14),1.77504 # DEPENDENCYPART_ARC
(19,15),1.9681 # DEPENDENCYPART_ARC
(19,16),1.71139 # DEPENDENCYPART_ARC
(19,17),-0.604107 # DEPENDENCYPART_ARC
(19,18),3.5259 # DEPENDENCYPART_ARC
(19,20),-0.163801 # DEPENDENCYPART_ARC
