# _root_ Az ezredfordulón nemcsak a közlekedés és a hírközlés , de a háztartás , a munka és a szórakozás tempója is a sokszorosa a száz évvel ezelőttinek .
#goldHeads=2,20,20,5,6,20,8,6,20,20,12,19,19,15,19,19,18,19,20,0,22,20,26,25,26,20,20,
#predictedHeads=2,3,10,5,6,10,8,6,10,0,12,10,16,15,19,19,18,19,20,26,22,20,25,25,26,10,10,
(10,3),0.315818 # DEPENDENCYPART_ARC
(10,5),-0.372079 # DEPENDENCYPART_ARC
(10,6),0.393974 # DEPENDENCYPART_ARC
(10,7),-0.314557 # DEPENDENCYPART_ARC
(10,8),-0.15623 # DEPENDENCYPART_ARC
(10,9),1.97868 # DEPENDENCYPART_ARC
(10,11),-0.324233 # DEPENDENCYPART_ARC
(10,12),0.0669976 # DEPENDENCYPART_ARC
(10,13),0.19506 # DEPENDENCYPART_ARC
(10,15),-1.09861 # DEPENDENCYPART_ARC
(10,16),0.00502182 # DEPENDENCYPART_ARC
(10,18),-1.11076 # DEPENDENCYPART_ARC
(10,19),-1.44315 # DEPENDENCYPART_ARC
(10,20),-0.417337 # DEPENDENCYPART_ARC
(10,22),-1.55157 # DEPENDENCYPART_ARC
(10,24),-0.423861 # DEPENDENCYPART_ARC
(10,25),-1.69804 # DEPENDENCYPART_ARC
(10,26),-0.711202 # DEPENDENCYPART_ARC
(10,27),3.06046 # DEPENDENCYPART_ARC
(11,10),-0.284424 # DEPENDENCYPART_ARC
(11,13),-0.261847 # DEPENDENCYPART_ARC
(11,15),-1.03236 # DEPENDENCYPART_ARC
(12,4),-1.42213 # DEPENDENCYPART_ARC
(12,5),-1.96818 # DEPENDENCYPART_ARC
(12,6),-1.37084 # DEPENDENCYPART_ARC
(12,7),-0.245063 # DEPENDENCYPART_ARC
(12,8),-1.68031 # DEPENDENCYPART_ARC
(12,9),-0.775765 # DEPENDENCYPART_ARC
(12,10),-0.648015 # DEPENDENCYPART_ARC
(12,11),2.80788 # DEPENDENCYPART_ARC
(12,13),0.158908 # DEPENDENCYPART_ARC
(12,15),-0.742186 # DEPENDENCYPART_ARC
(12,18),-1.34608 # DEPENDENCYPART_ARC
(12,19),-1.23303 # DEPENDENCYPART_ARC
(12,20),-1.31827 # DEPENDENCYPART_ARC
(12,26),-2.28605 # DEPENDENCYPART_ARC
(12,27),-0.243609 # DEPENDENCYPART_ARC
(14,18),-1.20577 # DEPENDENCYPART_ARC
(14,19),-1.56005 # DEPENDENCYPART_ARC
(15,7),-1.53988 # DEPENDENCYPART_ARC
(15,11),-0.220439 # DEPENDENCYPART_ARC
(15,12),-1.94828 # DEPENDENCYPART_ARC
(15,14),2.48629 # DEPENDENCYPART_ARC
(16,2),-0.756918 # DEPENDENCYPART_ARC
(16,3),-0.127031 # DEPENDENCYPART_ARC
(16,5),-0.807638 # DEPENDENCYPART_ARC
(16,6),-0.226277 # DEPENDENCYPART_ARC
(16,8),-0.422349 # DEPENDENCYPART_ARC
(16,9),0.185627 # DEPENDENCYPART_ARC
(16,10),0.290128 # DEPENDENCYPART_ARC
(16,11),-1.22702 # DEPENDENCYPART_ARC
(16,12),-0.182984 # DEPENDENCYPART_ARC
(16,13),0.597512 # DEPENDENCYPART_ARC
(16,14),-0.592769 # DEPENDENCYPART_ARC
(16,15),0.386105 # DEPENDENCYPART_ARC
(16,17),-0.425822 # DEPENDENCYPART_ARC
(16,18),0.782777 # DEPENDENCYPART_ARC
(16,19),-0.239778 # DEPENDENCYPART_ARC
(16,20),-0.444741 # DEPENDENCYPART_ARC
(16,22),-0.494126 # DEPENDENCYPART_ARC
(16,24),-0.685847 # DEPENDENCYPART_ARC
(16,25),-1.10749 # DEPENDENCYPART_ARC
(16,26),-1.26765 # DEPENDENCYPART_ARC
(16,27),0.232779 # DEPENDENCYPART_ARC
(17,16),-0.525968 # DEPENDENCYPART_ARC
(17,22),-1.74325 # DEPENDENCYPART_ARC
(18,11),-1.14688 # DEPENDENCYPART_ARC
(18,14),-0.174719 # DEPENDENCYPART_ARC
(18,15),-1.14726 # DEPENDENCYPART_ARC
(18,16),-0.265937 # DEPENDENCYPART_ARC
(18,17),2.85036 # DEPENDENCYPART_ARC
(18,22),-1.54715 # DEPENDENCYPART_ARC
(19,2),-3.40045 # DEPENDENCYPART_ARC
(19,3),-1.20186 # DEPENDENCYPART_ARC
(19,5),-0.567875 # DEPENDENCYPART_ARC
(19,6),-0.531467 # DEPENDENCYPART_ARC
(19,8),-1.03183 # DEPENDENCYPART_ARC
(19,9),-0.71168 # DEPENDENCYPART_ARC
(19,10),-0.594175 # DEPENDENCYPART_ARC
(19,11),-2.19372 # DEPENDENCYPART_ARC
(19,12),-0.624435 # DEPENDENCYPART_ARC
(19,13),-0.270836 # DEPENDENCYPART_ARC
(19,14),-1.31743 # DEPENDENCYPART_ARC
(19,15),1.14717 # DEPENDENCYPART_ARC
(19,16),0.936428 # DEPENDENCYPART_ARC
(19,17),1.01964 # DEPENDENCYPART_ARC
(19,18),3.77632 # DEPENDENCYPART_ARC
(19,20),-1.12296 # DEPENDENCYPART_ARC
(19,22),-1.70683 # DEPENDENCYPART_ARC
(19,24),-1.45578 # DEPENDENCYPART_ARC
(19,25),-2.0434 # DEPENDENCYPART_ARC
(20,2),-1.26022 # DEPENDENCYPART_ARC
(20,3),-0.10812 # DEPENDENCYPART_ARC
(20,8),-1.00246 # DEPENDENCYPART_ARC
(20,9),-0.480108 # DEPENDENCYPART_ARC
(20,10),0.304245 # DEPENDENCYPART_ARC
(20,12),-0.723637 # DEPENDENCYPART_ARC
(20,13),-0.427694 # DEPENDENCYPART_ARC
(20,15),-0.844943 # DEPENDENCYPART_ARC
(20,16),-0.352927 # DEPENDENCYPART_ARC
(20,17),-1.02949 # DEPENDENCYPART_ARC
(20,18),-0.475182 # DEPENDENCYPART_ARC
(20,19),-0.112747 # DEPENDENCYPART_ARC
(20,21),-0.962924 # DEPENDENCYPART_ARC
(20,22),0.168001 # DEPENDENCYPART_ARC
(20,24),-0.812291 # DEPENDENCYPART_ARC
(20,25),-0.654202 # DEPENDENCYPART_ARC
(20,26),-1.06211 # DEPENDENCYPART_ARC
(20,27),-0.0162463 # DEPENDENCYPART_ARC
(21,20),-0.127826 # DEPENDENCYPART_ARC
(21,25),-1.18627 # DEPENDENCYPART_ARC
(21,26),-0.900521 # DEPENDENCYPART_ARC
(22,14),-2.33425 # DEPENDENCYPART_ARC
(22,17),-1.05311 # DEPENDENCYPART_ARC
(22,18),0.680919 # DEPENDENCYPART_ARC
(22,19),-0.621955 # DEPENDENCYPART_ARC
(22,20),-0.79368 # DEPENDENCYPART_ARC
(22,21),2.09429 # DEPENDENCYPART_ARC
(22,23),-1.21434 # DEPENDENCYPART_ARC
(22,24),-0.756824 # DEPENDENCYPART_ARC
(22,25),-0.652655 # DEPENDENCYPART_ARC
(22,26),-1.22711 # DEPENDENCYPART_ARC
(22,27),-0.333005 # DEPENDENCYPART_ARC
(24,21),-1.18782 # DEPENDENCYPART_ARC
(24,22),-1.89761 # DEPENDENCYPART_ARC
(24,23),-0.295377 # DEPENDENCYPART_ARC
(24,25),-1.35214 # DEPENDENCYPART_ARC
(25,15),-2.8286 # DEPENDENCYPART_ARC
(25,16),-1.23043 # DEPENDENCYPART_ARC
(25,17),-1.7264 # DEPENDENCYPART_ARC
(25,18),-1.99563 # DEPENDENCYPART_ARC
(25,19),-2.8789 # DEPENDENCYPART_ARC
(25,20),-1.5319 # DEPENDENCYPART_ARC
(25,21),-0.32345 # DEPENDENCYPART_ARC
(25,22),-1.95024 # DEPENDENCYPART_ARC
(25,23),1.26867 # DEPENDENCYPART_ARC
(25,24),2.45883 # DEPENDENCYPART_ARC
(26,2),-1.11675 # DEPENDENCYPART_ARC
(26,3),0.243043 # DEPENDENCYPART_ARC
(26,5),-1.63466 # DEPENDENCYPART_ARC
(26,6),-0.56812 # DEPENDENCYPART_ARC
(26,8),-1.73135 # DEPENDENCYPART_ARC
(26,9),-0.179915 # DEPENDENCYPART_ARC
(26,10),-0.120927 # DEPENDENCYPART_ARC
(26,12),-1.3129 # DEPENDENCYPART_ARC
(26,13),-0.166718 # DEPENDENCYPART_ARC
(26,15),-0.735112 # DEPENDENCYPART_ARC
(26,16),0.298437 # DEPENDENCYPART_ARC
(26,18),-0.357503 # DEPENDENCYPART_ARC
(26,19),-0.849519 # DEPENDENCYPART_ARC
(26,20),0.509546 # DEPENDENCYPART_ARC
(26,21),0.499567 # DEPENDENCYPART_ARC
(26,22),-0.305886 # DEPENDENCYPART_ARC
(26,23),1.02498 # DEPENDENCYPART_ARC
(26,24),1.27973 # DEPENDENCYPART_ARC
(26,25),2.22389 # DEPENDENCYPART_ARC
(26,27),0.442547 # DEPENDENCYPART_ARC
