# _root_ Nem vitás , ez a helyi fórum nem tartozott a térségi lapok élgárdájába , sőt !
#goldHeads=2,0,2,7,7,7,9,9,2,12,12,13,9,9,9,2,
#predictedHeads=2,7,2,9,7,7,9,9,0,12,12,13,9,9,9,9,
(7,1),-0.842216 # DEPENDENCYPART_ARC
(7,2),-0.04607 # DEPENDENCYPART_ARC
(7,3),0.266036 # DEPENDENCYPART_ARC
(7,4),0.491568 # DEPENDENCYPART_ARC
(7,5),2.55277 # DEPENDENCYPART_ARC
(7,6),3.64314 # DEPENDENCYPART_ARC
(7,9),-0.629204 # DEPENDENCYPART_ARC
(7,12),-1.14689 # DEPENDENCYPART_ARC
(7,13),-1.74823 # DEPENDENCYPART_ARC
(7,14),-0.0665089 # DEPENDENCYPART_ARC
(7,16),-0.264281 # DEPENDENCYPART_ARC
(8,1),-0.0692157 # DEPENDENCYPART_ARC
(8,2),-0.584669 # DEPENDENCYPART_ARC
(8,3),-0.287567 # DEPENDENCYPART_ARC
(8,6),-0.241053 # DEPENDENCYPART_ARC
(8,7),0.400133 # DEPENDENCYPART_ARC
(8,9),0.0844227 # DEPENDENCYPART_ARC
(8,12),-0.722646 # DEPENDENCYPART_ARC
(8,13),-0.657303 # DEPENDENCYPART_ARC
(8,14),-0.335637 # DEPENDENCYPART_ARC
(8,16),-0.15548 # DEPENDENCYPART_ARC
(9,1),0.733916 # DEPENDENCYPART_ARC
(9,2),-0.509313 # DEPENDENCYPART_ARC
(9,3),0.360481 # DEPENDENCYPART_ARC
(9,4),0.548465 # DEPENDENCYPART_ARC
(9,5),-0.95678 # DEPENDENCYPART_ARC
(9,6),0.317517 # DEPENDENCYPART_ARC
(9,7),2.47591 # DEPENDENCYPART_ARC
(9,8),3.18385 # DEPENDENCYPART_ARC
(9,10),-0.206499 # DEPENDENCYPART_ARC
(9,11),0.414941 # DEPENDENCYPART_ARC
(9,12),1.3828 # DEPENDENCYPART_ARC
(9,13),3.60723 # DEPENDENCYPART_ARC
(9,14),1.73559 # DEPENDENCYPART_ARC
(9,15),0.806038 # DEPENDENCYPART_ARC
(9,16),1.72568 # DEPENDENCYPART_ARC
(10,11),0.115469 # DEPENDENCYPART_ARC
(11,1),-1.7741 # DEPENDENCYPART_ARC
(11,4),-2.65964 # DEPENDENCYPART_ARC
(11,7),-2.65944 # DEPENDENCYPART_ARC
(11,10),0.693424 # DEPENDENCYPART_ARC
(11,14),-0.652354 # DEPENDENCYPART_ARC
(11,16),-1.26024 # DEPENDENCYPART_ARC
(12,1),-1.04907 # DEPENDENCYPART_ARC
(12,2),-1.66073 # DEPENDENCYPART_ARC
(12,3),-0.691241 # DEPENDENCYPART_ARC
(12,4),-1.80836 # DEPENDENCYPART_ARC
(12,5),-0.46419 # DEPENDENCYPART_ARC
(12,6),0.0666014 # DEPENDENCYPART_ARC
(12,7),-2.48198 # DEPENDENCYPART_ARC
(12,8),-0.446752 # DEPENDENCYPART_ARC
(12,9),-0.918407 # DEPENDENCYPART_ARC
(12,10),2.60705 # DEPENDENCYPART_ARC
(12,11),3.69725 # DEPENDENCYPART_ARC
(12,13),-1.5584 # DEPENDENCYPART_ARC
(12,14),-0.447361 # DEPENDENCYPART_ARC
(12,16),-0.651523 # DEPENDENCYPART_ARC
(13,2),-2.56284 # DEPENDENCYPART_ARC
(13,3),-0.874275 # DEPENDENCYPART_ARC
(13,4),-1.77485 # DEPENDENCYPART_ARC
(13,5),-1.61945 # DEPENDENCYPART_ARC
(13,6),-1.21359 # DEPENDENCYPART_ARC
(13,7),-1.43474 # DEPENDENCYPART_ARC
(13,8),-0.259091 # DEPENDENCYPART_ARC
(13,10),0.580667 # DEPENDENCYPART_ARC
(13,11),1.49115 # DEPENDENCYPART_ARC
(13,12),4.19393 # DEPENDENCYPART_ARC
(13,14),0.0537834 # DEPENDENCYPART_ARC
(13,16),-0.134836 # DEPENDENCYPART_ARC
(15,14),1.17334 # DEPENDENCYPART_ARC
(15,16),0.598238 # DEPENDENCYPART_ARC
