# _root_ Egy hétre 14 1/4 százalékon hangzottak el ajánlatok , hosszabb távra viszont drágábban , 14 1/2-3/8 százalékon lehetett pénzhez jutni .
#goldHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,18,17,17,20,6,20,18,6,
#predictedHeads=2,6,5,5,6,0,6,6,6,11,20,18,20,17,17,17,20,6,20,18,6,
(17,9),0.214346 # DEPENDENCYPART_ARC
(17,10),0.503484 # DEPENDENCYPART_ARC
(17,11),-1.4266 # DEPENDENCYPART_ARC
(17,12),-0.210696 # DEPENDENCYPART_ARC
(17,13),-1.24503 # DEPENDENCYPART_ARC
(17,14),0.799394 # DEPENDENCYPART_ARC
(17,15),2.35911 # DEPENDENCYPART_ARC
(17,16),3.61121 # DEPENDENCYPART_ARC
(17,19),-1.31896 # DEPENDENCYPART_ARC
(18,1),-2.05192 # DEPENDENCYPART_ARC
(18,2),-1.01905 # DEPENDENCYPART_ARC
(18,3),-2.1008 # DEPENDENCYPART_ARC
(18,5),0.0141911 # DEPENDENCYPART_ARC
(18,6),-1.48651 # DEPENDENCYPART_ARC
(18,8),-1.07714 # DEPENDENCYPART_ARC
(18,9),-0.0479827 # DEPENDENCYPART_ARC
(18,10),-1.27082 # DEPENDENCYPART_ARC
(18,11),0.0377564 # DEPENDENCYPART_ARC
(18,12),1.22273 # DEPENDENCYPART_ARC
(18,13),0.508064 # DEPENDENCYPART_ARC
(18,14),-0.0488649 # DEPENDENCYPART_ARC
(18,15),-0.43866 # DEPENDENCYPART_ARC
(18,16),-0.144492 # DEPENDENCYPART_ARC
(18,17),2.64775 # DEPENDENCYPART_ARC
(18,19),2.38444 # DEPENDENCYPART_ARC
(18,20),3.35419 # DEPENDENCYPART_ARC
(18,21),2.11778 # DEPENDENCYPART_ARC
(19,10),-0.889538 # DEPENDENCYPART_ARC
(19,12),-1.19449 # DEPENDENCYPART_ARC
(19,13),-2.76231 # DEPENDENCYPART_ARC
(19,14),-0.596344 # DEPENDENCYPART_ARC
(19,15),-0.561144 # DEPENDENCYPART_ARC
(19,17),-1.76805 # DEPENDENCYPART_ARC
(19,18),0.167818 # DEPENDENCYPART_ARC
(20,1),-0.669882 # DEPENDENCYPART_ARC
(20,2),0.0891847 # DEPENDENCYPART_ARC
(20,3),-0.704216 # DEPENDENCYPART_ARC
(20,5),1.12786 # DEPENDENCYPART_ARC
(20,6),-1.33776 # DEPENDENCYPART_ARC
(20,8),-1.39689 # DEPENDENCYPART_ARC
(20,9),0.151031 # DEPENDENCYPART_ARC
(20,10),-0.402532 # DEPENDENCYPART_ARC
(20,11),1.39234 # DEPENDENCYPART_ARC
(20,12),1.03385 # DEPENDENCYPART_ARC
(20,13),1.34151 # DEPENDENCYPART_ARC
(20,14),0.212736 # DEPENDENCYPART_ARC
(20,15),0.310381 # DEPENDENCYPART_ARC
(20,16),0.474655 # DEPENDENCYPART_ARC
(20,17),3.13075 # DEPENDENCYPART_ARC
(20,18),-0.243636 # DEPENDENCYPART_ARC
(20,19),3.77626 # DEPENDENCYPART_ARC
(20,21),0.96598 # DEPENDENCYPART_ARC
