# _root_ Nagy rongyrázás nincs , de már érezni , hogy az emberek egyre jobban élnek .
#goldHeads=2,3,5,5,0,7,5,7,7,11,14,13,14,7,5,
#predictedHeads=2,3,5,5,0,7,3,7,7,11,14,14,14,5,5,
(7,15),1.61909 # DEPENDENCYPART_ARC
(9,1),-0.136932 # DEPENDENCYPART_ARC
(9,2),-0.331931 # DEPENDENCYPART_ARC
(9,3),-0.426904 # DEPENDENCYPART_ARC
(9,4),-0.0732852 # DEPENDENCYPART_ARC
(9,5),0.899302 # DEPENDENCYPART_ARC
(9,6),0.705956 # DEPENDENCYPART_ARC
(9,7),-0.100427 # DEPENDENCYPART_ARC
(9,8),0.977196 # DEPENDENCYPART_ARC
(9,11),-0.765677 # DEPENDENCYPART_ARC
(9,12),-0.30702 # DEPENDENCYPART_ARC
(9,13),-0.158086 # DEPENDENCYPART_ARC
(9,14),0.778041 # DEPENDENCYPART_ARC
(9,15),1.60338 # DEPENDENCYPART_ARC
(11,7),-0.0974876 # DEPENDENCYPART_ARC
(11,8),-0.569909 # DEPENDENCYPART_ARC
(11,9),-1.04997 # DEPENDENCYPART_ARC
(11,10),3.08457 # DEPENDENCYPART_ARC
(11,12),-0.671957 # DEPENDENCYPART_ARC
(12,3),-1.05677 # DEPENDENCYPART_ARC
(12,4),-0.943347 # DEPENDENCYPART_ARC
(12,5),-0.893626 # DEPENDENCYPART_ARC
(12,6),-1.23892 # DEPENDENCYPART_ARC
(12,7),-0.769315 # DEPENDENCYPART_ARC
(12,8),-0.785051 # DEPENDENCYPART_ARC
(12,9),-0.802024 # DEPENDENCYPART_ARC
(12,11),-0.123593 # DEPENDENCYPART_ARC
(12,13),-0.148055 # DEPENDENCYPART_ARC
(12,14),-0.205868 # DEPENDENCYPART_ARC
(12,15),-0.290902 # DEPENDENCYPART_ARC
(13,3),-0.0990331 # DEPENDENCYPART_ARC
(13,4),0.0860432 # DEPENDENCYPART_ARC
(13,5),0.158402 # DEPENDENCYPART_ARC
(13,6),-0.193939 # DEPENDENCYPART_ARC
(13,7),0.117053 # DEPENDENCYPART_ARC
(13,8),0.138345 # DEPENDENCYPART_ARC
(13,9),0.084658 # DEPENDENCYPART_ARC
(13,11),0.407351 # DEPENDENCYPART_ARC
(13,12),1.4087 # DEPENDENCYPART_ARC
(13,14),-0.185612 # DEPENDENCYPART_ARC
(13,15),-0.843218 # DEPENDENCYPART_ARC
(14,1),-1.23063 # DEPENDENCYPART_ARC
(14,2),-0.104061 # DEPENDENCYPART_ARC
(14,3),-0.432858 # DEPENDENCYPART_ARC
(14,4),0.631547 # DEPENDENCYPART_ARC
(14,5),0.781883 # DEPENDENCYPART_ARC
(14,6),1.16227 # DEPENDENCYPART_ARC
(14,7),0.910856 # DEPENDENCYPART_ARC
(14,8),1.07388 # DEPENDENCYPART_ARC
(14,9),0.218981 # DEPENDENCYPART_ARC
(14,10),-0.32448 # DEPENDENCYPART_ARC
(14,11),2.93851 # DEPENDENCYPART_ARC
(14,12),2.20458 # DEPENDENCYPART_ARC
(14,13),3.14874 # DEPENDENCYPART_ARC
(14,15),1.60939 # DEPENDENCYPART_ARC
