# _root_ A francia hadseregben ma már mindenütt szolgálnak nők , még a haditengerészetnél és a légierőnél is , csak az idegenlégióban nem .
#goldHeads=3,3,7,7,7,7,0,7,7,16,12,13,16,15,13,7,7,21,20,21,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,7,12,13,7,15,16,7,7,21,20,21,7,7,
(5,3),-0.722778 # DEPENDENCYPART_ARC
(5,4),-0.199444 # DEPENDENCYPART_ARC
(5,7),-0.48269 # DEPENDENCYPART_ARC
(5,8),-0.997089 # DEPENDENCYPART_ARC
(5,9),-0.413937 # DEPENDENCYPART_ARC
(5,10),-1.07482 # DEPENDENCYPART_ARC
(5,12),-1.85741 # DEPENDENCYPART_ARC
(5,13),-1.00168 # DEPENDENCYPART_ARC
(5,16),-1.72089 # DEPENDENCYPART_ARC
(5,17),-1.09902 # DEPENDENCYPART_ARC
(5,20),-2.41422 # DEPENDENCYPART_ARC
(5,22),0.131378 # DEPENDENCYPART_ARC
(6,3),-0.187178 # DEPENDENCYPART_ARC
(6,5),0.487969 # DEPENDENCYPART_ARC
(6,8),-0.218164 # DEPENDENCYPART_ARC
(7,1),-0.967152 # DEPENDENCYPART_ARC
(7,2),-0.494725 # DEPENDENCYPART_ARC
(7,3),1.97794 # DEPENDENCYPART_ARC
(7,4),1.95122 # DEPENDENCYPART_ARC
(7,5),2.06315 # DEPENDENCYPART_ARC
(7,6),2.56938 # DEPENDENCYPART_ARC
(7,8),3.47219 # DEPENDENCYPART_ARC
(7,9),1.43238 # DEPENDENCYPART_ARC
(7,10),0.459751 # DEPENDENCYPART_ARC
(7,11),-0.886069 # DEPENDENCYPART_ARC
(7,12),-0.350539 # DEPENDENCYPART_ARC
(7,13),0.818839 # DEPENDENCYPART_ARC
(7,14),-1.0128 # DEPENDENCYPART_ARC
(7,15),-1.19882 # DEPENDENCYPART_ARC
(7,16),1.12347 # DEPENDENCYPART_ARC
(7,17),0.547597 # DEPENDENCYPART_ARC
(7,18),-0.387361 # DEPENDENCYPART_ARC
(7,20),-1.8371 # DEPENDENCYPART_ARC
(7,21),-0.0498659 # DEPENDENCYPART_ARC
(7,22),1.95384 # DEPENDENCYPART_ARC
(8,1),-0.824277 # DEPENDENCYPART_ARC
(8,2),-0.616717 # DEPENDENCYPART_ARC
(8,3),-3.43245 # DEPENDENCYPART_ARC
(8,4),-0.787901 # DEPENDENCYPART_ARC
(8,5),-0.814893 # DEPENDENCYPART_ARC
(8,6),-0.264362 # DEPENDENCYPART_ARC
(8,7),-0.614784 # DEPENDENCYPART_ARC
(8,9),-0.0534258 # DEPENDENCYPART_ARC
(8,10),-0.850711 # DEPENDENCYPART_ARC
(8,12),-2.07794 # DEPENDENCYPART_ARC
(8,15),-2.65669 # DEPENDENCYPART_ARC
(8,16),-1.42051 # DEPENDENCYPART_ARC
(8,18),-0.964606 # DEPENDENCYPART_ARC
(8,20),-3.35893 # DEPENDENCYPART_ARC
(8,22),-0.276086 # DEPENDENCYPART_ARC
(10,3),-1.22777 # DEPENDENCYPART_ARC
(10,4),-0.569006 # DEPENDENCYPART_ARC
(10,5),-0.66107 # DEPENDENCYPART_ARC
(10,7),-0.0735306 # DEPENDENCYPART_ARC
(10,8),-0.830213 # DEPENDENCYPART_ARC
(10,9),-0.0125314 # DEPENDENCYPART_ARC
(10,12),-0.3608 # DEPENDENCYPART_ARC
(10,13),-0.0147119 # DEPENDENCYPART_ARC
(10,15),-1.08432 # DEPENDENCYPART_ARC
(10,16),-0.808851 # DEPENDENCYPART_ARC
(10,17),-0.545728 # DEPENDENCYPART_ARC
(10,18),-0.689141 # DEPENDENCYPART_ARC
(10,20),-1.71484 # DEPENDENCYPART_ARC
(10,22),-0.318751 # DEPENDENCYPART_ARC
(11,15),-1.47138 # DEPENDENCYPART_ARC
(12,4),-1.70549 # DEPENDENCYPART_ARC
(12,7),-2.90584 # DEPENDENCYPART_ARC
(12,9),-0.83327 # DEPENDENCYPART_ARC
(12,10),-0.896093 # DEPENDENCYPART_ARC
(12,11),2.80134 # DEPENDENCYPART_ARC
(12,15),-2.11906 # DEPENDENCYPART_ARC
(13,3),-0.911656 # DEPENDENCYPART_ARC
(13,4),-1.10119 # DEPENDENCYPART_ARC
(13,5),-1.27039 # DEPENDENCYPART_ARC
(13,6),-1.2253 # DEPENDENCYPART_ARC
(13,7),0.014528 # DEPENDENCYPART_ARC
(13,8),-0.51657 # DEPENDENCYPART_ARC
(13,9),0.367895 # DEPENDENCYPART_ARC
(13,10),-0.117546 # DEPENDENCYPART_ARC
(13,11),-0.645563 # DEPENDENCYPART_ARC
(13,12),0.386239 # DEPENDENCYPART_ARC
(13,14),-0.402551 # DEPENDENCYPART_ARC
(13,15),0.141418 # DEPENDENCYPART_ARC
(13,16),-0.082939 # DEPENDENCYPART_ARC
(13,17),-0.120486 # DEPENDENCYPART_ARC
(13,18),-0.430419 # DEPENDENCYPART_ARC
(13,20),-1.01655 # DEPENDENCYPART_ARC
(13,21),-0.615802 # DEPENDENCYPART_ARC
(13,22),0.828318 # DEPENDENCYPART_ARC
(14,13),-0.530557 # DEPENDENCYPART_ARC
(14,16),-0.623714 # DEPENDENCYPART_ARC
(14,17),-0.561242 # DEPENDENCYPART_ARC
(15,10),-1.68266 # DEPENDENCYPART_ARC
(15,11),-0.059853 # DEPENDENCYPART_ARC
(15,12),-2.62606 # DEPENDENCYPART_ARC
(15,13),-0.619306 # DEPENDENCYPART_ARC
(15,14),2.936 # DEPENDENCYPART_ARC
(15,18),-1.28954 # DEPENDENCYPART_ARC
(15,20),-2.08092 # DEPENDENCYPART_ARC
(16,3),-1.18834 # DEPENDENCYPART_ARC
(16,4),-0.698098 # DEPENDENCYPART_ARC
(16,5),-0.999679 # DEPENDENCYPART_ARC
(16,6),-0.942233 # DEPENDENCYPART_ARC
(16,7),-1.01904 # DEPENDENCYPART_ARC
(16,8),-0.971463 # DEPENDENCYPART_ARC
(16,9),-0.300323 # DEPENDENCYPART_ARC
(16,10),0.274697 # DEPENDENCYPART_ARC
(16,11),-1.24995 # DEPENDENCYPART_ARC
(16,12),-0.66711 # DEPENDENCYPART_ARC
(16,13),0.0272657 # DEPENDENCYPART_ARC
(16,14),-0.683196 # DEPENDENCYPART_ARC
(16,15),0.231544 # DEPENDENCYPART_ARC
(16,17),0.10371 # DEPENDENCYPART_ARC
(16,18),-0.898005 # DEPENDENCYPART_ARC
(16,20),-1.1319 # DEPENDENCYPART_ARC
(16,21),-0.98157 # DEPENDENCYPART_ARC
(16,22),0.179864 # DEPENDENCYPART_ARC
(18,7),-0.0287878 # DEPENDENCYPART_ARC
(18,8),-1.12485 # DEPENDENCYPART_ARC
(18,9),-0.415554 # DEPENDENCYPART_ARC
(18,10),0.0425121 # DEPENDENCYPART_ARC
(18,12),-0.597938 # DEPENDENCYPART_ARC
(18,13),-0.124869 # DEPENDENCYPART_ARC
(18,15),-0.223437 # DEPENDENCYPART_ARC
(18,16),-0.062695 # DEPENDENCYPART_ARC
(18,17),0.442904 # DEPENDENCYPART_ARC
(18,20),0.24018 # DEPENDENCYPART_ARC
(18,22),0.558445 # DEPENDENCYPART_ARC
(20,11),-1.52064 # DEPENDENCYPART_ARC
(20,12),-3.47325 # DEPENDENCYPART_ARC
(20,13),-1.51296 # DEPENDENCYPART_ARC
(20,14),-0.384989 # DEPENDENCYPART_ARC
(20,15),-2.68537 # DEPENDENCYPART_ARC
(20,16),-1.584 # DEPENDENCYPART_ARC
(20,17),-0.819807 # DEPENDENCYPART_ARC
(20,18),-0.865075 # DEPENDENCYPART_ARC
(20,19),2.76798 # DEPENDENCYPART_ARC
(21,3),-0.441207 # DEPENDENCYPART_ARC
(21,8),-0.576795 # DEPENDENCYPART_ARC
(21,9),0.625875 # DEPENDENCYPART_ARC
(21,12),-0.173168 # DEPENDENCYPART_ARC
(21,15),-0.219321 # DEPENDENCYPART_ARC
(21,17),0.221976 # DEPENDENCYPART_ARC
(21,18),1.09007 # DEPENDENCYPART_ARC
(21,20),0.737888 # DEPENDENCYPART_ARC
(21,22),0.888956 # DEPENDENCYPART_ARC
