# _root_ Wrighték repülésének évében Henry_Ford autógyárat alapított , ahol 1924-ig 10_millió , 1927-ig 15_millió darab készült a legendás T-modellből .
#goldHeads=2,6,6,6,6,0,6,6,6,6,6,15,14,15,6,18,18,15,6,
#predictedHeads=2,6,6,6,6,0,6,15,10,14,14,15,14,15,6,18,18,15,6,
(17,13),-1.52038 # DEPENDENCYPART_ARC
(17,14),-2.46481 # DEPENDENCYPART_ARC
(17,16),0.562568 # DEPENDENCYPART_ARC
(18,2),-3.92934 # DEPENDENCYPART_ARC
(18,6),-2.12655 # DEPENDENCYPART_ARC
(18,9),-2.71729 # DEPENDENCYPART_ARC
(18,10),-1.22927 # DEPENDENCYPART_ARC
(18,11),-0.719799 # DEPENDENCYPART_ARC
(18,12),-2.40049 # DEPENDENCYPART_ARC
(18,13),-0.57877 # DEPENDENCYPART_ARC
(18,14),-1.65137 # DEPENDENCYPART_ARC
(18,16),2.54348 # DEPENDENCYPART_ARC
(18,17),3.73083 # DEPENDENCYPART_ARC
(18,19),-0.438169 # DEPENDENCYPART_ARC
