# _root_ Ugyanakkor mindkét szakember csak akkor tulajdonítana jelentőséget az eltérésnek , ha hónapokon át , tendenciaszerűen jelentkezne .
#goldHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
#predictedHeads=6,3,6,6,6,0,6,9,6,6,6,13,16,16,16,6,6,
(7,17),0.193219 # DEPENDENCYPART_ARC
(8,15),-1.02026 # DEPENDENCYPART_ARC
(9,1),-1.19815 # DEPENDENCYPART_ARC
(9,2),-1.2492 # DEPENDENCYPART_ARC
(9,4),-1.31957 # DEPENDENCYPART_ARC
(9,5),-1.10076 # DEPENDENCYPART_ARC
(9,7),-2.07782 # DEPENDENCYPART_ARC
(9,8),2.77706 # DEPENDENCYPART_ARC
(9,10),-0.551356 # DEPENDENCYPART_ARC
(9,12),-1.94567 # DEPENDENCYPART_ARC
(9,13),-0.780241 # DEPENDENCYPART_ARC
(9,14),-0.779474 # DEPENDENCYPART_ARC
(9,15),-1.7243 # DEPENDENCYPART_ARC
(9,16),-1.44301 # DEPENDENCYPART_ARC
(11,1),-0.113209 # DEPENDENCYPART_ARC
(11,3),-0.21667 # DEPENDENCYPART_ARC
(11,4),-0.114287 # DEPENDENCYPART_ARC
(11,5),0.0771385 # DEPENDENCYPART_ARC
(11,6),-0.859837 # DEPENDENCYPART_ARC
(11,7),-0.375278 # DEPENDENCYPART_ARC
(11,8),-0.206651 # DEPENDENCYPART_ARC
(11,9),0.013616 # DEPENDENCYPART_ARC
(11,10),0.774862 # DEPENDENCYPART_ARC
(11,12),-0.739549 # DEPENDENCYPART_ARC
(11,14),-0.30751 # DEPENDENCYPART_ARC
(11,15),-0.773497 # DEPENDENCYPART_ARC
(11,16),0.0745323 # DEPENDENCYPART_ARC
(11,17),1.6645 # DEPENDENCYPART_ARC
(12,4),-2.09413 # DEPENDENCYPART_ARC
(12,7),-3.00875 # DEPENDENCYPART_ARC
(12,8),-0.0196318 # DEPENDENCYPART_ARC
(12,9),-1.76134 # DEPENDENCYPART_ARC
(12,10),-0.534591 # DEPENDENCYPART_ARC
(12,11),-1.14697 # DEPENDENCYPART_ARC
(12,13),-0.860883 # DEPENDENCYPART_ARC
(12,14),-1.12495 # DEPENDENCYPART_ARC
(12,15),-1.64775 # DEPENDENCYPART_ARC
(13,3),-1.21994 # DEPENDENCYPART_ARC
(13,7),-0.290776 # DEPENDENCYPART_ARC
(13,8),-0.412703 # DEPENDENCYPART_ARC
(13,9),0.475626 # DEPENDENCYPART_ARC
(13,10),0.782285 # DEPENDENCYPART_ARC
(13,12),3.69962 # DEPENDENCYPART_ARC
(13,14),0.123702 # DEPENDENCYPART_ARC
(13,15),-0.356975 # DEPENDENCYPART_ARC
(13,16),-0.272774 # DEPENDENCYPART_ARC
(13,17),-0.505271 # DEPENDENCYPART_ARC
(15,1),-1.26246 # DEPENDENCYPART_ARC
(15,2),-1.59747 # DEPENDENCYPART_ARC
(15,3),-3.18081 # DEPENDENCYPART_ARC
(15,4),-1.2929 # DEPENDENCYPART_ARC
(15,5),-1.06538 # DEPENDENCYPART_ARC
(15,6),-1.14942 # DEPENDENCYPART_ARC
(15,8),-0.495118 # DEPENDENCYPART_ARC
(15,9),-0.59282 # DEPENDENCYPART_ARC
(15,10),-0.365275 # DEPENDENCYPART_ARC
(15,11),-0.561258 # DEPENDENCYPART_ARC
(15,12),-1.21256 # DEPENDENCYPART_ARC
(15,13),0.10412 # DEPENDENCYPART_ARC
(15,14),0.306733 # DEPENDENCYPART_ARC
(15,17),-0.33393 # DEPENDENCYPART_ARC
(16,1),0.280395 # DEPENDENCYPART_ARC
(16,2),-1.07621 # DEPENDENCYPART_ARC
(16,3),0.294972 # DEPENDENCYPART_ARC
(16,4),0.556923 # DEPENDENCYPART_ARC
(16,5),0.186618 # DEPENDENCYPART_ARC
(16,6),0.639362 # DEPENDENCYPART_ARC
(16,7),0.324691 # DEPENDENCYPART_ARC
(16,8),-0.13411 # DEPENDENCYPART_ARC
(16,9),0.351637 # DEPENDENCYPART_ARC
(16,10),0.728257 # DEPENDENCYPART_ARC
(16,11),0.879387 # DEPENDENCYPART_ARC
(16,12),0.900753 # DEPENDENCYPART_ARC
(16,13),1.81383 # DEPENDENCYPART_ARC
(16,14),1.60717 # DEPENDENCYPART_ARC
(16,15),3.18582 # DEPENDENCYPART_ARC
(16,17),1.39117 # DEPENDENCYPART_ARC
