# _root_ Ígéretei a lakásépítés , az egészségügy , az energetika és az infrastruktúra átalakítására és belendítésére eddig nem váltak be .
#goldHeads=18,3,13,13,6,13,13,9,13,13,12,13,15,15,18,18,18,0,18,18,
#predictedHeads=18,3,18,18,6,18,18,9,13,18,12,13,18,18,18,18,18,0,18,18,
(13,8),-1.40493 # DEPENDENCYPART_ARC
(13,9),1.12559 # DEPENDENCYPART_ARC
(13,10),1.05207 # DEPENDENCYPART_ARC
(13,11),0.803524 # DEPENDENCYPART_ARC
(13,12),3.78609 # DEPENDENCYPART_ARC
(13,14),-1.41092 # DEPENDENCYPART_ARC
(13,15),-2.12973 # DEPENDENCYPART_ARC
(13,16),-1.56385 # DEPENDENCYPART_ARC
(14,1),-0.487462 # DEPENDENCYPART_ARC
(14,3),-0.634879 # DEPENDENCYPART_ARC
(14,4),-0.38384 # DEPENDENCYPART_ARC
(14,6),-0.553336 # DEPENDENCYPART_ARC
(14,7),-0.0659124 # DEPENDENCYPART_ARC
(14,9),-0.802517 # DEPENDENCYPART_ARC
(14,10),-0.132475 # DEPENDENCYPART_ARC
(14,11),-0.577133 # DEPENDENCYPART_ARC
(14,12),-0.299582 # DEPENDENCYPART_ARC
(14,13),-0.45623 # DEPENDENCYPART_ARC
(14,15),-0.69947 # DEPENDENCYPART_ARC
(14,16),-0.52917 # DEPENDENCYPART_ARC
(14,17),-0.402182 # DEPENDENCYPART_ARC
(14,18),0.610185 # DEPENDENCYPART_ARC
(14,20),1.42122 # DEPENDENCYPART_ARC
(15,1),-2.76412 # DEPENDENCYPART_ARC
(15,3),-0.660981 # DEPENDENCYPART_ARC
(15,6),-0.187251 # DEPENDENCYPART_ARC
(15,7),-0.221979 # DEPENDENCYPART_ARC
(15,8),-1.80342 # DEPENDENCYPART_ARC
(15,9),0.49872 # DEPENDENCYPART_ARC
(15,10),-0.20245 # DEPENDENCYPART_ARC
(15,11),-0.669353 # DEPENDENCYPART_ARC
(15,12),1.80744 # DEPENDENCYPART_ARC
(15,13),-0.751446 # DEPENDENCYPART_ARC
(15,14),0.916211 # DEPENDENCYPART_ARC
(15,16),-0.799268 # DEPENDENCYPART_ARC
(15,18),-0.95501 # DEPENDENCYPART_ARC
(15,20),-0.777462 # DEPENDENCYPART_ARC
(16,12),-0.306018 # DEPENDENCYPART_ARC
(16,13),-0.300976 # DEPENDENCYPART_ARC
(16,14),-0.173555 # DEPENDENCYPART_ARC
(16,15),0.240802 # DEPENDENCYPART_ARC
(16,18),-0.111321 # DEPENDENCYPART_ARC
(16,20),-0.281635 # DEPENDENCYPART_ARC
(17,1),-0.833189 # DEPENDENCYPART_ARC
(17,3),-1.15412 # DEPENDENCYPART_ARC
(17,4),-0.0787225 # DEPENDENCYPART_ARC
(17,6),-1.10176 # DEPENDENCYPART_ARC
(17,9),-0.719894 # DEPENDENCYPART_ARC
(17,12),-0.624844 # DEPENDENCYPART_ARC
(17,13),-0.670384 # DEPENDENCYPART_ARC
(17,14),-0.25942 # DEPENDENCYPART_ARC
(17,15),-0.444025 # DEPENDENCYPART_ARC
(17,16),0.545039 # DEPENDENCYPART_ARC
(17,18),0.0245242 # DEPENDENCYPART_ARC
(17,20),-0.195726 # DEPENDENCYPART_ARC
(18,1),1.95168 # DEPENDENCYPART_ARC
(18,2),-0.494438 # DEPENDENCYPART_ARC
(18,3),-0.221936 # DEPENDENCYPART_ARC
(18,4),1.36435 # DEPENDENCYPART_ARC
(18,5),-0.295437 # DEPENDENCYPART_ARC
(18,6),-0.093708 # DEPENDENCYPART_ARC
(18,7),1.39587 # DEPENDENCYPART_ARC
(18,8),-0.326104 # DEPENDENCYPART_ARC
(18,9),0.796006 # DEPENDENCYPART_ARC
(18,10),1.05675 # DEPENDENCYPART_ARC
(18,11),-0.359117 # DEPENDENCYPART_ARC
(18,12),0.644423 # DEPENDENCYPART_ARC
(18,13),1.6442 # DEPENDENCYPART_ARC
(18,14),1.73966 # DEPENDENCYPART_ARC
(18,15),2.6453 # DEPENDENCYPART_ARC
(18,16),2.4865 # DEPENDENCYPART_ARC
(18,17),2.83777 # DEPENDENCYPART_ARC
(18,19),2.77144 # DEPENDENCYPART_ARC
(18,20),1.6085 # DEPENDENCYPART_ARC
(19,4),-0.65011 # DEPENDENCYPART_ARC
(19,6),-0.404825 # DEPENDENCYPART_ARC
(19,7),-0.618365 # DEPENDENCYPART_ARC
(19,9),-0.0355037 # DEPENDENCYPART_ARC
(19,10),0.244805 # DEPENDENCYPART_ARC
(19,12),-0.0533292 # DEPENDENCYPART_ARC
(19,13),-0.286592 # DEPENDENCYPART_ARC
(19,14),0.0549234 # DEPENDENCYPART_ARC
(19,15),-0.0548573 # DEPENDENCYPART_ARC
(19,17),0.53379 # DEPENDENCYPART_ARC
(19,18),0.410755 # DEPENDENCYPART_ARC
(19,20),0.177972 # DEPENDENCYPART_ARC
