# _root_ Olyanok is egyszerűen együtt élnek csak , akiknek semmi kifogásuk sincs sem az egyházi , sem a világi esküvő ellen — írja Trost .
#goldHeads=5,5,5,5,22,5,5,11,10,11,1,11,11,13,11,11,19,19,20,11,22,0,22,22,
#predictedHeads=5,5,5,5,22,5,5,11,10,11,22,11,19,13,22,22,19,19,20,22,22,0,22,22,
(22,3),0.187047 # DEPENDENCYPART_ARC
(22,4),-0.579655 # DEPENDENCYPART_ARC
(22,5),0.739444 # DEPENDENCYPART_ARC
(22,6),-0.444113 # DEPENDENCYPART_ARC
(22,7),0.880416 # DEPENDENCYPART_ARC
(22,8),0.548709 # DEPENDENCYPART_ARC
(22,10),0.828112 # DEPENDENCYPART_ARC
(22,11),1.29365 # DEPENDENCYPART_ARC
(22,12),1.55591 # DEPENDENCYPART_ARC
(22,13),-0.177953 # DEPENDENCYPART_ARC
(22,14),-0.212726 # DEPENDENCYPART_ARC
(22,15),1.3965 # DEPENDENCYPART_ARC
(22,16),2.02266 # DEPENDENCYPART_ARC
(22,17),-0.447276 # DEPENDENCYPART_ARC
(22,18),0.389418 # DEPENDENCYPART_ARC
(22,19),1.38142 # DEPENDENCYPART_ARC
(22,20),1.79351 # DEPENDENCYPART_ARC
(22,21),2.64072 # DEPENDENCYPART_ARC
(22,23),3.33921 # DEPENDENCYPART_ARC
(22,24),3.18393 # DEPENDENCYPART_ARC
(23,13),-1.95486 # DEPENDENCYPART_ARC
(23,17),-0.899277 # DEPENDENCYPART_ARC
(23,20),-0.991224 # DEPENDENCYPART_ARC
(23,21),-0.914318 # DEPENDENCYPART_ARC
