# _root_ Az egynapos betétekre a múlt hét elején az üzletek zömét 13 7/8 százalékon kötötték , a hét vége felé viszont már a jegybank egynapos betéti kamatának szintjén , 12 3/4 százalékon .
#goldHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,21,21,14,23,26,26,26,27,21,27,31,31,27,14,
#predictedHeads=3,3,14,6,6,7,14,9,10,14,13,13,14,0,14,17,18,19,14,26,24,23,26,26,26,27,14,14,31,31,21,14,
(10,3),-2.50411 # DEPENDENCYPART_ARC
(10,4),-0.709319 # DEPENDENCYPART_ARC
(10,5),-0.360465 # DEPENDENCYPART_ARC
(10,6),1.13875 # DEPENDENCYPART_ARC
(10,7),-3.28969 # DEPENDENCYPART_ARC
(10,8),1.21523 # DEPENDENCYPART_ARC
(10,9),4.16933 # DEPENDENCYPART_ARC
(10,11),-0.855085 # DEPENDENCYPART_ARC
(10,12),-0.967614 # DEPENDENCYPART_ARC
(10,13),-1.37284 # DEPENDENCYPART_ARC
(10,19),-0.705679 # DEPENDENCYPART_ARC
(10,27),-2.63928 # DEPENDENCYPART_ARC
(10,32),0.146008 # DEPENDENCYPART_ARC
(11,6),-0.673807 # DEPENDENCYPART_ARC
(11,7),-1.32789 # DEPENDENCYPART_ARC
(11,8),-0.0261988 # DEPENDENCYPART_ARC
(11,9),0.0423385 # DEPENDENCYPART_ARC
(11,10),-0.258499 # DEPENDENCYPART_ARC
(11,13),-0.355012 # DEPENDENCYPART_ARC
(11,14),0.424596 # DEPENDENCYPART_ARC
(11,15),0.480578 # DEPENDENCYPART_ARC
(11,18),-0.690598 # DEPENDENCYPART_ARC
(11,24),-0.789367 # DEPENDENCYPART_ARC
(11,29),-0.674209 # DEPENDENCYPART_ARC
(11,32),1.76387 # DEPENDENCYPART_ARC
(12,3),-1.49337 # DEPENDENCYPART_ARC
(12,6),-1.11724 # DEPENDENCYPART_ARC
(12,7),-1.89783 # DEPENDENCYPART_ARC
(12,9),-0.602002 # DEPENDENCYPART_ARC
(12,10),-1.45527 # DEPENDENCYPART_ARC
(12,11),0.434843 # DEPENDENCYPART_ARC
(13,1),-0.989088 # DEPENDENCYPART_ARC
(13,3),-4.43466 # DEPENDENCYPART_ARC
(13,4),-0.0514642 # DEPENDENCYPART_ARC
(13,5),-0.199541 # DEPENDENCYPART_ARC
(13,6),-1.55495 # DEPENDENCYPART_ARC
(13,7),-3.63878 # DEPENDENCYPART_ARC
(13,8),0.766436 # DEPENDENCYPART_ARC
(13,9),-0.977201 # DEPENDENCYPART_ARC
(13,10),-2.37958 # DEPENDENCYPART_ARC
(13,11),2.37381 # DEPENDENCYPART_ARC
(13,12),3.52413 # DEPENDENCYPART_ARC
(13,27),-2.96436 # DEPENDENCYPART_ARC
(14,1),-0.363241 # DEPENDENCYPART_ARC
(14,2),-0.867055 # DEPENDENCYPART_ARC
(14,3),1.8972 # DEPENDENCYPART_ARC
(14,4),-0.649388 # DEPENDENCYPART_ARC
(14,5),-0.742404 # DEPENDENCYPART_ARC
(14,6),0.697412 # DEPENDENCYPART_ARC
(14,7),2.38125 # DEPENDENCYPART_ARC
(14,8),-0.41716 # DEPENDENCYPART_ARC
(14,9),1.63232 # DEPENDENCYPART_ARC
(14,10),2.557 # DEPENDENCYPART_ARC
(14,11),0.362491 # DEPENDENCYPART_ARC
(14,12),0.669662 # DEPENDENCYPART_ARC
(14,13),3.71055 # DEPENDENCYPART_ARC
(14,15),1.9909 # DEPENDENCYPART_ARC
(14,16),-0.0851473 # DEPENDENCYPART_ARC
(14,17),-0.563426 # DEPENDENCYPART_ARC
(14,18),-0.340379 # DEPENDENCYPART_ARC
(14,19),1.05133 # DEPENDENCYPART_ARC
(14,20),0.172367 # DEPENDENCYPART_ARC
(14,21),0.149176 # DEPENDENCYPART_ARC
(14,22),-0.667514 # DEPENDENCYPART_ARC
(14,23),-2.21787 # DEPENDENCYPART_ARC
(14,24),-1.15551 # DEPENDENCYPART_ARC
(14,25),-1.34888 # DEPENDENCYPART_ARC
(14,26),0.210178 # DEPENDENCYPART_ARC
(14,27),0.531612 # DEPENDENCYPART_ARC
(14,28),0.928396 # DEPENDENCYPART_ARC
(14,29),-1.09749 # DEPENDENCYPART_ARC
(14,31),-0.411649 # DEPENDENCYPART_ARC
(14,32),2.70519 # DEPENDENCYPART_ARC
(17,14),-1.18918 # DEPENDENCYPART_ARC
(17,16),2.51288 # DEPENDENCYPART_ARC
(18,9),-0.255971 # DEPENDENCYPART_ARC
(18,11),-1.30305 # DEPENDENCYPART_ARC
(18,13),-2.86506 # DEPENDENCYPART_ARC
(18,14),-0.594651 # DEPENDENCYPART_ARC
(18,15),0.0397633 # DEPENDENCYPART_ARC
(18,16),0.960116 # DEPENDENCYPART_ARC
(18,17),3.78925 # DEPENDENCYPART_ARC
(18,26),-2.36301 # DEPENDENCYPART_ARC
(18,27),-2.97094 # DEPENDENCYPART_ARC
(18,31),-3.46678 # DEPENDENCYPART_ARC
(19,10),-1.51225 # DEPENDENCYPART_ARC
(19,11),-0.869745 # DEPENDENCYPART_ARC
(19,13),-0.841345 # DEPENDENCYPART_ARC
(19,15),0.0977345 # DEPENDENCYPART_ARC
(19,16),-0.297849 # DEPENDENCYPART_ARC
(19,17),0.554596 # DEPENDENCYPART_ARC
(19,18),3.61901 # DEPENDENCYPART_ARC
(19,20),-0.517692 # DEPENDENCYPART_ARC
(19,21),-0.658917 # DEPENDENCYPART_ARC
(19,23),-0.793629 # DEPENDENCYPART_ARC
(19,26),-0.954178 # DEPENDENCYPART_ARC
(19,27),-0.954393 # DEPENDENCYPART_ARC
(19,31),-1.31178 # DEPENDENCYPART_ARC
(20,3),-1.33938 # DEPENDENCYPART_ARC
(20,7),-1.3473 # DEPENDENCYPART_ARC
(20,10),-1.56281 # DEPENDENCYPART_ARC
(20,11),-0.691502 # DEPENDENCYPART_ARC
(20,13),-1.3651 # DEPENDENCYPART_ARC
(20,14),0.0897054 # DEPENDENCYPART_ARC
(20,15),0.11314 # DEPENDENCYPART_ARC
(20,16),-1.02577 # DEPENDENCYPART_ARC
(20,17),-0.447187 # DEPENDENCYPART_ARC
(20,18),-0.536266 # DEPENDENCYPART_ARC
(20,19),0.152364 # DEPENDENCYPART_ARC
(20,21),-0.537077 # DEPENDENCYPART_ARC
(20,23),-0.522459 # DEPENDENCYPART_ARC
(20,24),-0.287277 # DEPENDENCYPART_ARC
(20,25),-0.377125 # DEPENDENCYPART_ARC
(20,26),-0.50443 # DEPENDENCYPART_ARC
(20,27),-0.904116 # DEPENDENCYPART_ARC
(20,28),0.000524201 # DEPENDENCYPART_ARC
(20,29),-0.896663 # DEPENDENCYPART_ARC
(20,30),-0.821194 # DEPENDENCYPART_ARC
(20,31),-1.38284 # DEPENDENCYPART_ARC
(20,32),0.797569 # DEPENDENCYPART_ARC
(21,10),-0.952221 # DEPENDENCYPART_ARC
(21,13),-0.779338 # DEPENDENCYPART_ARC
(21,14),-0.615544 # DEPENDENCYPART_ARC
(21,15),-0.1818 # DEPENDENCYPART_ARC
(21,17),-0.172058 # DEPENDENCYPART_ARC
(21,18),-0.186491 # DEPENDENCYPART_ARC
(21,19),0.0611018 # DEPENDENCYPART_ARC
(21,20),0.33042 # DEPENDENCYPART_ARC
(21,23),0.104799 # DEPENDENCYPART_ARC
(21,24),-0.154002 # DEPENDENCYPART_ARC
(21,25),-0.0724533 # DEPENDENCYPART_ARC
(21,26),-0.1494 # DEPENDENCYPART_ARC
(21,27),0.0479437 # DEPENDENCYPART_ARC
(21,28),0.0388123 # DEPENDENCYPART_ARC
(21,29),-0.458653 # DEPENDENCYPART_ARC
(21,31),-0.202595 # DEPENDENCYPART_ARC
(21,32),1.20218 # DEPENDENCYPART_ARC
(22,24),-0.425751 # DEPENDENCYPART_ARC
(23,16),-0.919507 # DEPENDENCYPART_ARC
(23,20),-1.08897 # DEPENDENCYPART_ARC
(23,21),-0.890654 # DEPENDENCYPART_ARC
(23,22),2.66774 # DEPENDENCYPART_ARC
(23,31),-1.95773 # DEPENDENCYPART_ARC
(24,3),-1.68933 # DEPENDENCYPART_ARC
(24,6),-1.89083 # DEPENDENCYPART_ARC
(24,7),-1.74599 # DEPENDENCYPART_ARC
(24,9),-1.80393 # DEPENDENCYPART_ARC
(24,10),-1.42077 # DEPENDENCYPART_ARC
(24,11),-1.21087 # DEPENDENCYPART_ARC
(24,13),-1.15901 # DEPENDENCYPART_ARC
(24,14),-1.00465 # DEPENDENCYPART_ARC
(24,15),-0.483228 # DEPENDENCYPART_ARC
(24,17),-0.428781 # DEPENDENCYPART_ARC
(24,18),-1.21398 # DEPENDENCYPART_ARC
(24,19),0.386609 # DEPENDENCYPART_ARC
(24,20),0.143052 # DEPENDENCYPART_ARC
(24,21),0.24653 # DEPENDENCYPART_ARC
(24,22),0.306082 # DEPENDENCYPART_ARC
(24,23),1.52867 # DEPENDENCYPART_ARC
(24,25),-0.699491 # DEPENDENCYPART_ARC
(24,28),-0.498899 # DEPENDENCYPART_ARC
(24,29),-0.867025 # DEPENDENCYPART_ARC
(24,31),-1.19073 # DEPENDENCYPART_ARC
(25,14),-0.979154 # DEPENDENCYPART_ARC
(25,17),-1.03043 # DEPENDENCYPART_ARC
(25,18),-1.61202 # DEPENDENCYPART_ARC
(25,19),0.029391 # DEPENDENCYPART_ARC
(25,20),-0.103653 # DEPENDENCYPART_ARC
(25,21),-0.105443 # DEPENDENCYPART_ARC
(25,22),-0.111107 # DEPENDENCYPART_ARC
(25,23),0.411378 # DEPENDENCYPART_ARC
(25,24),1.17361 # DEPENDENCYPART_ARC
(25,29),-0.981187 # DEPENDENCYPART_ARC
(26,9),-0.379322 # DEPENDENCYPART_ARC
(26,14),-0.858884 # DEPENDENCYPART_ARC
(26,15),-0.0045713 # DEPENDENCYPART_ARC
(26,16),-0.860161 # DEPENDENCYPART_ARC
(26,17),1.62523 # DEPENDENCYPART_ARC
(26,18),-0.236921 # DEPENDENCYPART_ARC
(26,19),-0.0611275 # DEPENDENCYPART_ARC
(26,20),0.561268 # DEPENDENCYPART_ARC
(26,21),0.00282867 # DEPENDENCYPART_ARC
(26,22),0.780734 # DEPENDENCYPART_ARC
(26,23),3.02638 # DEPENDENCYPART_ARC
(26,24),2.27525 # DEPENDENCYPART_ARC
(26,25),3.08176 # DEPENDENCYPART_ARC
(26,29),-1.27093 # DEPENDENCYPART_ARC
(26,31),-2.1143 # DEPENDENCYPART_ARC
(27,15),-0.258537 # DEPENDENCYPART_ARC
(27,16),-1.33815 # DEPENDENCYPART_ARC
(27,17),0.582301 # DEPENDENCYPART_ARC
(27,18),-0.954211 # DEPENDENCYPART_ARC
(27,19),-0.246163 # DEPENDENCYPART_ARC
(27,20),0.103905 # DEPENDENCYPART_ARC
(27,22),0.288687 # DEPENDENCYPART_ARC
(27,23),1.37678 # DEPENDENCYPART_ARC
(27,24),1.10143 # DEPENDENCYPART_ARC
(27,25),1.63446 # DEPENDENCYPART_ARC
(27,26),1.4592 # DEPENDENCYPART_ARC
(27,28),0.268839 # DEPENDENCYPART_ARC
(27,29),-0.857937 # DEPENDENCYPART_ARC
(27,30),-0.827504 # DEPENDENCYPART_ARC
(27,31),-1.60039 # DEPENDENCYPART_ARC
(27,32),-0.109199 # DEPENDENCYPART_ARC
(29,21),-0.323298 # DEPENDENCYPART_ARC
(29,23),-0.951781 # DEPENDENCYPART_ARC
(29,26),-1.06963 # DEPENDENCYPART_ARC
(29,27),-1.21807 # DEPENDENCYPART_ARC
(29,28),0.307505 # DEPENDENCYPART_ARC
(29,31),-0.446762 # DEPENDENCYPART_ARC
(29,32),-0.313162 # DEPENDENCYPART_ARC
(30,26),-1.55234 # DEPENDENCYPART_ARC
(30,27),-1.70467 # DEPENDENCYPART_ARC
(30,28),-0.468817 # DEPENDENCYPART_ARC
(30,29),0.40722 # DEPENDENCYPART_ARC
(31,17),-1.51946 # DEPENDENCYPART_ARC
(31,18),-2.47036 # DEPENDENCYPART_ARC
(31,20),-0.353878 # DEPENDENCYPART_ARC
(31,21),-0.713413 # DEPENDENCYPART_ARC
(31,22),1.05347 # DEPENDENCYPART_ARC
(31,23),-0.74821 # DEPENDENCYPART_ARC
(31,24),0.64631 # DEPENDENCYPART_ARC
(31,25),0.624343 # DEPENDENCYPART_ARC
(31,26),-1.0389 # DEPENDENCYPART_ARC
(31,27),-2.043 # DEPENDENCYPART_ARC
(31,28),0.452161 # DEPENDENCYPART_ARC
(31,29),2.44643 # DEPENDENCYPART_ARC
(31,30),3.5742 # DEPENDENCYPART_ARC
(31,32),-0.422244 # DEPENDENCYPART_ARC
