# _root_ Ugyanaz év júniusában a felügyelet felszólította a Bank_Austria_Creditanstalt_Hungary_Rt.-t , hogy tudatosítsa hirdetményeiben : a Nonstopbank nem különálló vállalkozása , hanem csak egy szolgáltatása .
#goldHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,11,18,18,15,11,11,11,23,21,6,
#predictedHeads=2,3,6,5,6,0,8,6,6,6,6,11,11,15,18,17,18,11,20,11,20,23,21,6,
(3,21),-0.777131 # DEPENDENCYPART_ARC
(3,24),0.452809 # DEPENDENCYPART_ARC
(5,1),-0.611349 # DEPENDENCYPART_ARC
(5,2),-1.15256 # DEPENDENCYPART_ARC
(5,3),-2.94493 # DEPENDENCYPART_ARC
(5,4),2.52289 # DEPENDENCYPART_ARC
(5,8),-1.93757 # DEPENDENCYPART_ARC
(6,1),0.827186 # DEPENDENCYPART_ARC
(6,2),1.26517 # DEPENDENCYPART_ARC
(6,3),2.47688 # DEPENDENCYPART_ARC
(6,4),-0.568586 # DEPENDENCYPART_ARC
(6,5),3.30273 # DEPENDENCYPART_ARC
(6,7),-0.269401 # DEPENDENCYPART_ARC
(6,8),3.1403 # DEPENDENCYPART_ARC
(6,9),1.9127 # DEPENDENCYPART_ARC
(6,10),2.65435 # DEPENDENCYPART_ARC
(6,11),2.03786 # DEPENDENCYPART_ARC
(6,12),0.677196 # DEPENDENCYPART_ARC
(6,13),1.37545 # DEPENDENCYPART_ARC
(6,14),-0.596917 # DEPENDENCYPART_ARC
(6,15),-2.04628 # DEPENDENCYPART_ARC
(6,16),0.348478 # DEPENDENCYPART_ARC
(6,17),-1.21692 # DEPENDENCYPART_ARC
(6,18),0.014534 # DEPENDENCYPART_ARC
(6,19),0.94888 # DEPENDENCYPART_ARC
(6,20),0.585085 # DEPENDENCYPART_ARC
(6,21),-0.323709 # DEPENDENCYPART_ARC
(6,23),-1.46799 # DEPENDENCYPART_ARC
(6,24),2.37809 # DEPENDENCYPART_ARC
(8,4),-1.15962 # DEPENDENCYPART_ARC
(8,7),2.25986 # DEPENDENCYPART_ARC
(8,9),-0.489319 # DEPENDENCYPART_ARC
(8,11),-1.47515 # DEPENDENCYPART_ARC
(8,12),-2.00954 # DEPENDENCYPART_ARC
(10,1),-0.829291 # DEPENDENCYPART_ARC
(10,2),-0.569272 # DEPENDENCYPART_ARC
(10,3),-0.146688 # DEPENDENCYPART_ARC
(10,5),-0.0560807 # DEPENDENCYPART_ARC
(10,6),-0.0809434 # DEPENDENCYPART_ARC
(10,7),-0.134998 # DEPENDENCYPART_ARC
(10,8),0.0386495 # DEPENDENCYPART_ARC
(10,9),0.952673 # DEPENDENCYPART_ARC
(10,11),0.800054 # DEPENDENCYPART_ARC
(10,12),-0.639319 # DEPENDENCYPART_ARC
(10,13),0.486421 # DEPENDENCYPART_ARC
(10,17),-0.783423 # DEPENDENCYPART_ARC
(10,19),-0.210944 # DEPENDENCYPART_ARC
(10,20),-0.0719679 # DEPENDENCYPART_ARC
(10,21),-0.372753 # DEPENDENCYPART_ARC
(10,24),1.77831 # DEPENDENCYPART_ARC
(11,1),-2.06106 # DEPENDENCYPART_ARC
(11,2),-1.77306 # DEPENDENCYPART_ARC
(11,3),-0.490577 # DEPENDENCYPART_ARC
(11,5),-0.706316 # DEPENDENCYPART_ARC
(11,6),-2.26449 # DEPENDENCYPART_ARC
(11,7),-2.3318 # DEPENDENCYPART_ARC
(11,8),-0.410975 # DEPENDENCYPART_ARC
(11,9),-0.254784 # DEPENDENCYPART_ARC
(11,10),-1.02404 # DEPENDENCYPART_ARC
(11,12),3.48476 # DEPENDENCYPART_ARC
(11,13),1.478 # DEPENDENCYPART_ARC
(11,14),-0.736026 # DEPENDENCYPART_ARC
(11,15),-0.0246825 # DEPENDENCYPART_ARC
(11,16),0.61787 # DEPENDENCYPART_ARC
(11,17),-0.762965 # DEPENDENCYPART_ARC
(11,18),1.09809 # DEPENDENCYPART_ARC
(11,19),0.984849 # DEPENDENCYPART_ARC
(11,20),0.664546 # DEPENDENCYPART_ARC
(11,21),-0.147424 # DEPENDENCYPART_ARC
(11,23),-0.491839 # DEPENDENCYPART_ARC
(11,24),1.76369 # DEPENDENCYPART_ARC
(12,1),-2.72211 # DEPENDENCYPART_ARC
(12,4),-2.07106 # DEPENDENCYPART_ARC
(12,5),-1.39967 # DEPENDENCYPART_ARC
(12,6),-2.7241 # DEPENDENCYPART_ARC
(12,7),-0.96915 # DEPENDENCYPART_ARC
(12,8),-2.60606 # DEPENDENCYPART_ARC
(12,9),-0.519706 # DEPENDENCYPART_ARC
(12,10),-0.950163 # DEPENDENCYPART_ARC
(12,11),-0.86537 # DEPENDENCYPART_ARC
(12,13),0.240572 # DEPENDENCYPART_ARC
(12,15),-0.607654 # DEPENDENCYPART_ARC
(12,17),-0.775948 # DEPENDENCYPART_ARC
(12,18),-1.30537 # DEPENDENCYPART_ARC
(12,19),-0.1077 # DEPENDENCYPART_ARC
(12,20),-0.674332 # DEPENDENCYPART_ARC
(12,21),-0.698811 # DEPENDENCYPART_ARC
(12,23),-2.75873 # DEPENDENCYPART_ARC
(12,24),0.191418 # DEPENDENCYPART_ARC
(15,14),2.30137 # DEPENDENCYPART_ARC
(15,18),-0.148903 # DEPENDENCYPART_ARC
(15,23),-1.71058 # DEPENDENCYPART_ARC
(16,2),-0.958285 # DEPENDENCYPART_ARC
(16,3),-1.05534 # DEPENDENCYPART_ARC
(16,10),-0.503823 # DEPENDENCYPART_ARC
(16,11),0.0486938 # DEPENDENCYPART_ARC
(16,12),-0.612383 # DEPENDENCYPART_ARC
(16,13),0.170945 # DEPENDENCYPART_ARC
(16,15),0.387139 # DEPENDENCYPART_ARC
(16,17),0.439727 # DEPENDENCYPART_ARC
(16,18),0.375551 # DEPENDENCYPART_ARC
(16,19),-0.00234358 # DEPENDENCYPART_ARC
(16,20),-0.339813 # DEPENDENCYPART_ARC
(16,23),-0.877108 # DEPENDENCYPART_ARC
(16,24),0.349537 # DEPENDENCYPART_ARC
(17,2),-2.07936 # DEPENDENCYPART_ARC
(17,3),-1.83768 # DEPENDENCYPART_ARC
(17,5),-2.17931 # DEPENDENCYPART_ARC
(17,6),-1.20665 # DEPENDENCYPART_ARC
(17,8),-0.917149 # DEPENDENCYPART_ARC
(17,9),-0.105956 # DEPENDENCYPART_ARC
(17,10),-0.462406 # DEPENDENCYPART_ARC
(17,12),-0.69595 # DEPENDENCYPART_ARC
(17,13),0.0725253 # DEPENDENCYPART_ARC
(17,14),-0.168248 # DEPENDENCYPART_ARC
(17,15),0.484807 # DEPENDENCYPART_ARC
(17,16),1.42488 # DEPENDENCYPART_ARC
(17,23),-2.0983 # DEPENDENCYPART_ARC
(18,1),-2.16841 # DEPENDENCYPART_ARC
(18,5),-1.02653 # DEPENDENCYPART_ARC
(18,6),-1.11678 # DEPENDENCYPART_ARC
(18,7),-1.52564 # DEPENDENCYPART_ARC
(18,8),-4.13029 # DEPENDENCYPART_ARC
(18,9),-1.07394 # DEPENDENCYPART_ARC
(18,10),-0.965868 # DEPENDENCYPART_ARC
(18,12),-2.6988 # DEPENDENCYPART_ARC
(18,13),-0.803632 # DEPENDENCYPART_ARC
(18,14),0.372183 # DEPENDENCYPART_ARC
(18,15),1.95384 # DEPENDENCYPART_ARC
(18,16),0.814767 # DEPENDENCYPART_ARC
(18,17),2.81743 # DEPENDENCYPART_ARC
(18,19),-0.0671315 # DEPENDENCYPART_ARC
(18,20),-0.969557 # DEPENDENCYPART_ARC
(18,21),-0.73259 # DEPENDENCYPART_ARC
(18,23),-1.69332 # DEPENDENCYPART_ARC
(20,1),-1.15493 # DEPENDENCYPART_ARC
(20,2),-0.563224 # DEPENDENCYPART_ARC
(20,3),-0.579855 # DEPENDENCYPART_ARC
(20,5),-0.923667 # DEPENDENCYPART_ARC
(20,6),0.410479 # DEPENDENCYPART_ARC
(20,8),-1.56748 # DEPENDENCYPART_ARC
(20,9),0.0930133 # DEPENDENCYPART_ARC
(20,10),0.459463 # DEPENDENCYPART_ARC
(20,11),0.214481 # DEPENDENCYPART_ARC
(20,12),-0.881885 # DEPENDENCYPART_ARC
(20,13),-0.205683 # DEPENDENCYPART_ARC
(20,15),-0.127369 # DEPENDENCYPART_ARC
(20,16),0.446938 # DEPENDENCYPART_ARC
(20,17),0.133726 # DEPENDENCYPART_ARC
(20,18),-0.946608 # DEPENDENCYPART_ARC
(20,19),1.26284 # DEPENDENCYPART_ARC
(20,21),0.0384689 # DEPENDENCYPART_ARC
(20,23),-0.935224 # DEPENDENCYPART_ARC
(20,24),1.90729 # DEPENDENCYPART_ARC
(21,6),-0.43313 # DEPENDENCYPART_ARC
(21,10),-0.695308 # DEPENDENCYPART_ARC
(21,11),-0.111469 # DEPENDENCYPART_ARC
(21,12),-0.892124 # DEPENDENCYPART_ARC
(21,13),-0.0512019 # DEPENDENCYPART_ARC
(21,15),-0.411159 # DEPENDENCYPART_ARC
(21,16),0.262131 # DEPENDENCYPART_ARC
(21,17),-0.291796 # DEPENDENCYPART_ARC
(21,18),-0.47695 # DEPENDENCYPART_ARC
(21,19),0.350017 # DEPENDENCYPART_ARC
(21,20),0.337071 # DEPENDENCYPART_ARC
(21,23),0.375021 # DEPENDENCYPART_ARC
(21,24),0.863838 # DEPENDENCYPART_ARC
(23,14),-1.84145 # DEPENDENCYPART_ARC
(23,15),-0.226031 # DEPENDENCYPART_ARC
(23,16),-1.16606 # DEPENDENCYPART_ARC
(23,17),-1.87949 # DEPENDENCYPART_ARC
(23,18),-1.02006 # DEPENDENCYPART_ARC
(23,19),-0.552549 # DEPENDENCYPART_ARC
(23,20),-0.356519 # DEPENDENCYPART_ARC
(23,21),-0.587638 # DEPENDENCYPART_ARC
(23,22),2.09839 # DEPENDENCYPART_ARC
(23,24),-0.804594 # DEPENDENCYPART_ARC
