# _root_ Akkor voltak 350-en , most 250 körüli a létszáma a 310_millió forint jegyzett tőkéjű vállalkozásnak , amely ma tipikus középvállalkozásnak mondható — mondja Erdész_András elnök-vezérigazgató .
#goldHeads=2,23,2,23,23,7,5,9,5,15,12,15,14,15,5,5,21,21,20,21,5,23,0,25,23,23,
#predictedHeads=2,23,2,2,7,7,2,9,2,15,12,13,15,15,2,23,23,23,20,21,23,23,0,25,23,23,
(3,21),-1.10533 # DEPENDENCYPART_ARC
(3,22),-0.575548 # DEPENDENCYPART_ARC
(3,23),-0.261681 # DEPENDENCYPART_ARC
(3,26),1.51051 # DEPENDENCYPART_ARC
(5,1),-0.709578 # DEPENDENCYPART_ARC
(5,2),-0.335443 # DEPENDENCYPART_ARC
(5,3),-0.302765 # DEPENDENCYPART_ARC
(5,4),-0.00948368 # DEPENDENCYPART_ARC
(5,6),-0.133683 # DEPENDENCYPART_ARC
(5,7),-0.0123223 # DEPENDENCYPART_ARC
(5,9),-0.348754 # DEPENDENCYPART_ARC
(5,15),-0.679637 # DEPENDENCYPART_ARC
(5,16),-0.0925211 # DEPENDENCYPART_ARC
(5,20),-1.35371 # DEPENDENCYPART_ARC
(5,22),-0.381801 # DEPENDENCYPART_ARC
(5,23),-0.599878 # DEPENDENCYPART_ARC
(5,25),-1.72824 # DEPENDENCYPART_ARC
(5,26),-0.322502 # DEPENDENCYPART_ARC
(6,2),-0.622232 # DEPENDENCYPART_ARC
(6,3),-0.875656 # DEPENDENCYPART_ARC
(6,4),-0.63461 # DEPENDENCYPART_ARC
(6,5),0.298997 # DEPENDENCYPART_ARC
(6,9),-0.785936 # DEPENDENCYPART_ARC
(6,23),-0.919082 # DEPENDENCYPART_ARC
(6,26),0.25601 # DEPENDENCYPART_ARC
(7,1),0.0335563 # DEPENDENCYPART_ARC
(7,2),-0.421066 # DEPENDENCYPART_ARC
(7,3),0.720242 # DEPENDENCYPART_ARC
(7,4),0.909381 # DEPENDENCYPART_ARC
(7,5),1.71667 # DEPENDENCYPART_ARC
(7,6),2.34714 # DEPENDENCYPART_ARC
(7,9),-0.129845 # DEPENDENCYPART_ARC
(7,11),-0.141342 # DEPENDENCYPART_ARC
(7,12),-0.420853 # DEPENDENCYPART_ARC
(7,13),-0.779974 # DEPENDENCYPART_ARC
(7,15),-0.131622 # DEPENDENCYPART_ARC
(7,16),0.372533 # DEPENDENCYPART_ARC
(7,19),-1.10966 # DEPENDENCYPART_ARC
(7,20),-0.972501 # DEPENDENCYPART_ARC
(7,21),-1.08017 # DEPENDENCYPART_ARC
(7,22),0.131233 # DEPENDENCYPART_ARC
(7,23),-0.325107 # DEPENDENCYPART_ARC
(7,25),-1.15021 # DEPENDENCYPART_ARC
(7,26),0.71512 # DEPENDENCYPART_ARC
(8,7),-0.842703 # DEPENDENCYPART_ARC
(9,5),-0.984179 # DEPENDENCYPART_ARC
(9,6),-0.612084 # DEPENDENCYPART_ARC
(9,7),-0.865002 # DEPENDENCYPART_ARC
(9,8),1.67504 # DEPENDENCYPART_ARC
(9,10),-1.19642 # DEPENDENCYPART_ARC
(9,12),-0.266709 # DEPENDENCYPART_ARC
(9,15),-0.436326 # DEPENDENCYPART_ARC
(9,16),0.377712 # DEPENDENCYPART_ARC
(9,18),-0.740386 # DEPENDENCYPART_ARC
(9,23),-1.31937 # DEPENDENCYPART_ARC
(9,26),0.252806 # DEPENDENCYPART_ARC
(10,13),-0.00683853 # DEPENDENCYPART_ARC
(11,8),-1.09882 # DEPENDENCYPART_ARC
(11,10),-0.209741 # DEPENDENCYPART_ARC
(12,3),-2.46163 # DEPENDENCYPART_ARC
(12,5),-0.0143371 # DEPENDENCYPART_ARC
(12,6),-0.738244 # DEPENDENCYPART_ARC
(12,7),-1.48088 # DEPENDENCYPART_ARC
(12,8),-0.195085 # DEPENDENCYPART_ARC
(12,9),-1.9627 # DEPENDENCYPART_ARC
(12,10),1.51605 # DEPENDENCYPART_ARC
(12,11),2.68608 # DEPENDENCYPART_ARC
(12,18),-0.789562 # DEPENDENCYPART_ARC
(12,20),-1.51687 # DEPENDENCYPART_ARC
(12,23),-0.492624 # DEPENDENCYPART_ARC
(13,1),-1.03724 # DEPENDENCYPART_ARC
(13,2),-1.19176 # DEPENDENCYPART_ARC
(13,3),-0.677016 # DEPENDENCYPART_ARC
(13,4),-0.445872 # DEPENDENCYPART_ARC
(13,5),-0.315268 # DEPENDENCYPART_ARC
(13,6),-0.349222 # DEPENDENCYPART_ARC
(13,7),-1.28809 # DEPENDENCYPART_ARC
(13,8),-0.421511 # DEPENDENCYPART_ARC
(13,9),-0.770511 # DEPENDENCYPART_ARC
(13,10),0.0572656 # DEPENDENCYPART_ARC
(13,11),0.774801 # DEPENDENCYPART_ARC
(13,12),1.56885 # DEPENDENCYPART_ARC
(13,14),-0.620146 # DEPENDENCYPART_ARC
(13,23),-0.750899 # DEPENDENCYPART_ARC
(14,1),-0.936831 # DEPENDENCYPART_ARC
(14,5),-0.371277 # DEPENDENCYPART_ARC
(14,6),-0.165607 # DEPENDENCYPART_ARC
(14,7),-1.00828 # DEPENDENCYPART_ARC
(14,8),-0.197671 # DEPENDENCYPART_ARC
(14,9),-1.03798 # DEPENDENCYPART_ARC
(14,10),-0.028631 # DEPENDENCYPART_ARC
(14,11),0.510975 # DEPENDENCYPART_ARC
(14,12),0.813519 # DEPENDENCYPART_ARC
(14,13),1.58909 # DEPENDENCYPART_ARC
(15,2),-1.08944 # DEPENDENCYPART_ARC
(15,3),-1.61926 # DEPENDENCYPART_ARC
(15,4),0.440151 # DEPENDENCYPART_ARC
(15,5),0.380376 # DEPENDENCYPART_ARC
(15,6),-0.365486 # DEPENDENCYPART_ARC
(15,7),-0.5737 # DEPENDENCYPART_ARC
(15,8),0.990946 # DEPENDENCYPART_ARC
(15,9),-0.965517 # DEPENDENCYPART_ARC
(15,10),2.10903 # DEPENDENCYPART_ARC
(15,11),1.39342 # DEPENDENCYPART_ARC
(15,12),1.41681 # DEPENDENCYPART_ARC
(15,13),2.99441 # DEPENDENCYPART_ARC
(15,14),3.63333 # DEPENDENCYPART_ARC
(15,16),0.135746 # DEPENDENCYPART_ARC
(15,17),-1.16418 # DEPENDENCYPART_ARC
(15,18),-0.558073 # DEPENDENCYPART_ARC
(15,19),-0.77403 # DEPENDENCYPART_ARC
(15,20),-0.993046 # DEPENDENCYPART_ARC
(15,21),-0.88681 # DEPENDENCYPART_ARC
(15,22),-0.0109767 # DEPENDENCYPART_ARC
(15,23),-0.660013 # DEPENDENCYPART_ARC
(15,24),-1.41572 # DEPENDENCYPART_ARC
(15,25),-1.39973 # DEPENDENCYPART_ARC
(15,26),0.460834 # DEPENDENCYPART_ARC
(17,19),-0.717254 # DEPENDENCYPART_ARC
(17,20),-0.230729 # DEPENDENCYPART_ARC
(17,21),-0.624955 # DEPENDENCYPART_ARC
(17,25),-0.813112 # DEPENDENCYPART_ARC
(18,1),-1.54806 # DEPENDENCYPART_ARC
(18,2),-1.39148 # DEPENDENCYPART_ARC
(18,15),-1.49422 # DEPENDENCYPART_ARC
(18,17),-0.642472 # DEPENDENCYPART_ARC
(18,19),-0.368623 # DEPENDENCYPART_ARC
(18,20),-0.294758 # DEPENDENCYPART_ARC
(18,21),-0.593695 # DEPENDENCYPART_ARC
(18,22),-0.185493 # DEPENDENCYPART_ARC
(18,24),-1.47104 # DEPENDENCYPART_ARC
(18,25),-1.31013 # DEPENDENCYPART_ARC
(19,11),-0.710107 # DEPENDENCYPART_ARC
(19,12),-0.851033 # DEPENDENCYPART_ARC
(19,13),-1.1465 # DEPENDENCYPART_ARC
(19,14),-1.03525 # DEPENDENCYPART_ARC
(19,15),-2.44602 # DEPENDENCYPART_ARC
(19,16),-0.199008 # DEPENDENCYPART_ARC
(19,17),-0.424722 # DEPENDENCYPART_ARC
(19,18),0.996502 # DEPENDENCYPART_ARC
(19,24),-1.72734 # DEPENDENCYPART_ARC
(20,8),-0.308369 # DEPENDENCYPART_ARC
(20,10),0.682579 # DEPENDENCYPART_ARC
(20,11),-0.036496 # DEPENDENCYPART_ARC
(20,12),-1.0594 # DEPENDENCYPART_ARC
(20,13),0.663968 # DEPENDENCYPART_ARC
(20,14),0.897061 # DEPENDENCYPART_ARC
(20,15),-1.99582 # DEPENDENCYPART_ARC
(20,16),-0.257898 # DEPENDENCYPART_ARC
(20,17),-1.11567 # DEPENDENCYPART_ARC
(20,18),0.450102 # DEPENDENCYPART_ARC
(20,19),3.13661 # DEPENDENCYPART_ARC
(20,21),-0.718138 # DEPENDENCYPART_ARC
(20,24),-1.24987 # DEPENDENCYPART_ARC
(20,25),-1.62667 # DEPENDENCYPART_ARC
(21,1),-0.796839 # DEPENDENCYPART_ARC
(21,2),-0.792366 # DEPENDENCYPART_ARC
(21,3),-0.920847 # DEPENDENCYPART_ARC
(21,4),-0.542237 # DEPENDENCYPART_ARC
(21,5),-0.381539 # DEPENDENCYPART_ARC
(21,6),-0.702077 # DEPENDENCYPART_ARC
(21,9),-1.09517 # DEPENDENCYPART_ARC
(21,11),-0.31091 # DEPENDENCYPART_ARC
(21,12),0.127384 # DEPENDENCYPART_ARC
(21,13),-0.567058 # DEPENDENCYPART_ARC
(21,14),-0.695755 # DEPENDENCYPART_ARC
(21,15),-1.55948 # DEPENDENCYPART_ARC
(21,16),0.185601 # DEPENDENCYPART_ARC
(21,17),-0.379771 # DEPENDENCYPART_ARC
(21,18),0.62231 # DEPENDENCYPART_ARC
(21,19),0.597097 # DEPENDENCYPART_ARC
(21,20),2.61855 # DEPENDENCYPART_ARC
(21,22),0.57648 # DEPENDENCYPART_ARC
(21,24),-0.85281 # DEPENDENCYPART_ARC
(21,25),-0.884762 # DEPENDENCYPART_ARC
(23,1),-0.178171 # DEPENDENCYPART_ARC
(23,2),2.10329 # DEPENDENCYPART_ARC
(23,3),0.722124 # DEPENDENCYPART_ARC
(23,4),1.46404 # DEPENDENCYPART_ARC
(23,5),0.207682 # DEPENDENCYPART_ARC
(23,6),-0.871168 # DEPENDENCYPART_ARC
(23,7),-0.205642 # DEPENDENCYPART_ARC
(23,8),-0.898552 # DEPENDENCYPART_ARC
(23,9),0.457674 # DEPENDENCYPART_ARC
(23,10),-0.798843 # DEPENDENCYPART_ARC
(23,11),-0.786698 # DEPENDENCYPART_ARC
(23,12),-0.744156 # DEPENDENCYPART_ARC
(23,13),-0.460727 # DEPENDENCYPART_ARC
(23,14),-0.533062 # DEPENDENCYPART_ARC
(23,15),0.0731988 # DEPENDENCYPART_ARC
(23,16),1.50951 # DEPENDENCYPART_ARC
(23,17),1.77898 # DEPENDENCYPART_ARC
(23,18),1.46473 # DEPENDENCYPART_ARC
(23,19),0.319189 # DEPENDENCYPART_ARC
(23,20),1.17072 # DEPENDENCYPART_ARC
(23,21),0.847401 # DEPENDENCYPART_ARC
(23,22),2.11303 # DEPENDENCYPART_ARC
(23,24),2.34389 # DEPENDENCYPART_ARC
(23,25),2.93102 # DEPENDENCYPART_ARC
(23,26),3.47636 # DEPENDENCYPART_ARC
(24,19),-1.42363 # DEPENDENCYPART_ARC
(24,21),-1.02851 # DEPENDENCYPART_ARC
(24,22),-0.413859 # DEPENDENCYPART_ARC
(24,25),-0.621394 # DEPENDENCYPART_ARC
(25,10),-0.416213 # DEPENDENCYPART_ARC
(25,13),-0.347191 # DEPENDENCYPART_ARC
(25,15),-2.99966 # DEPENDENCYPART_ARC
(25,16),-0.819002 # DEPENDENCYPART_ARC
(25,18),-0.853057 # DEPENDENCYPART_ARC
(25,19),-0.335591 # DEPENDENCYPART_ARC
(25,20),-2.74006 # DEPENDENCYPART_ARC
(25,21),0.290575 # DEPENDENCYPART_ARC
(25,22),0.143999 # DEPENDENCYPART_ARC
(25,24),3.30282 # DEPENDENCYPART_ARC
(25,26),0.0477483 # DEPENDENCYPART_ARC
