# _root_ Kouchnerhez hasonlóan a tanács többi tagja sem tudja még , miképpen lehetne szavatolni a szerb kisebbség biztonságát , s így a kérdés valószínűleg még többször napirendre kerül a testület ülésein .
#goldHeads=2,8,4,6,6,8,8,19,8,8,13,8,12,16,16,17,13,19,0,27,22,27,27,27,27,27,19,29,30,27,19,
#predictedHeads=2,8,4,6,6,8,8,19,8,8,12,8,12,16,16,17,13,19,0,27,22,27,27,26,26,27,19,29,30,27,12,
(7,10),0.0488542 # DEPENDENCYPART_ARC
(7,12),-0.571634 # DEPENDENCYPART_ARC
(7,13),-0.66903 # DEPENDENCYPART_ARC
(7,17),-1.14271 # DEPENDENCYPART_ARC
(7,19),-0.502916 # DEPENDENCYPART_ARC
(7,31),0.620512 # DEPENDENCYPART_ARC
(8,1),0.0998401 # DEPENDENCYPART_ARC
(8,2),1.10932 # DEPENDENCYPART_ARC
(8,3),-1.45372 # DEPENDENCYPART_ARC
(8,4),1.19306 # DEPENDENCYPART_ARC
(8,5),0.205074 # DEPENDENCYPART_ARC
(8,6),2.46803 # DEPENDENCYPART_ARC
(8,7),2.84469 # DEPENDENCYPART_ARC
(8,9),3.4082 # DEPENDENCYPART_ARC
(8,10),2.23459 # DEPENDENCYPART_ARC
(8,11),0.691541 # DEPENDENCYPART_ARC
(8,12),2.32594 # DEPENDENCYPART_ARC
(8,13),2.09272 # DEPENDENCYPART_ARC
(8,14),-1.01185 # DEPENDENCYPART_ARC
(8,15),-0.867815 # DEPENDENCYPART_ARC
(8,16),0.0308954 # DEPENDENCYPART_ARC
(8,17),1.8808 # DEPENDENCYPART_ARC
(8,18),2.22175 # DEPENDENCYPART_ARC
(8,19),1.32665 # DEPENDENCYPART_ARC
(8,20),0.666421 # DEPENDENCYPART_ARC
(8,22),-0.842717 # DEPENDENCYPART_ARC
(8,23),0.0878002 # DEPENDENCYPART_ARC
(8,24),0.0257587 # DEPENDENCYPART_ARC
(8,25),-0.0844625 # DEPENDENCYPART_ARC
(8,26),-1.87879 # DEPENDENCYPART_ARC
(8,27),1.06398 # DEPENDENCYPART_ARC
(8,29),-0.880575 # DEPENDENCYPART_ARC
(8,30),-0.492258 # DEPENDENCYPART_ARC
(8,31),3.20311 # DEPENDENCYPART_ARC
(9,1),-0.632979 # DEPENDENCYPART_ARC
(9,6),-0.577908 # DEPENDENCYPART_ARC
(9,7),-0.119151 # DEPENDENCYPART_ARC
(9,8),-0.134961 # DEPENDENCYPART_ARC
(9,10),-0.535566 # DEPENDENCYPART_ARC
(9,12),-0.492441 # DEPENDENCYPART_ARC
(9,13),-0.980329 # DEPENDENCYPART_ARC
(9,27),-1.66418 # DEPENDENCYPART_ARC
(9,31),-1.34891 # DEPENDENCYPART_ARC
(11,9),-0.476721 # DEPENDENCYPART_ARC
(11,10),-0.214206 # DEPENDENCYPART_ARC
(12,1),-1.3917 # DEPENDENCYPART_ARC
(12,2),-0.456223 # DEPENDENCYPART_ARC
(12,4),-0.744853 # DEPENDENCYPART_ARC
(12,5),-1.52929 # DEPENDENCYPART_ARC
(12,6),0.084966 # DEPENDENCYPART_ARC
(12,7),0.38607 # DEPENDENCYPART_ARC
(12,8),0.127229 # DEPENDENCYPART_ARC
(12,9),0.577009 # DEPENDENCYPART_ARC
(12,10),0.845164 # DEPENDENCYPART_ARC
(12,11),2.36058 # DEPENDENCYPART_ARC
(12,13),4.04215 # DEPENDENCYPART_ARC
(12,14),-0.548265 # DEPENDENCYPART_ARC
(12,15),0.0173927 # DEPENDENCYPART_ARC
(12,16),0.604438 # DEPENDENCYPART_ARC
(12,17),1.50048 # DEPENDENCYPART_ARC
(12,18),1.99031 # DEPENDENCYPART_ARC
(12,19),1.29686 # DEPENDENCYPART_ARC
(12,20),0.765088 # DEPENDENCYPART_ARC
(12,22),-0.854386 # DEPENDENCYPART_ARC
(12,23),0.0778586 # DEPENDENCYPART_ARC
(12,24),-0.0844895 # DEPENDENCYPART_ARC
(12,25),-0.00641104 # DEPENDENCYPART_ARC
(12,26),-1.65084 # DEPENDENCYPART_ARC
(12,27),1.24169 # DEPENDENCYPART_ARC
(12,29),-1.23587 # DEPENDENCYPART_ARC
(12,30),-0.794838 # DEPENDENCYPART_ARC
(12,31),3.51192 # DEPENDENCYPART_ARC
(13,1),-0.0940436 # DEPENDENCYPART_ARC
(13,2),0.992079 # DEPENDENCYPART_ARC
(13,3),-1.50036 # DEPENDENCYPART_ARC
(13,4),-1.31165 # DEPENDENCYPART_ARC
(13,5),-0.229819 # DEPENDENCYPART_ARC
(13,6),-0.115557 # DEPENDENCYPART_ARC
(13,7),0.2322 # DEPENDENCYPART_ARC
(13,8),-0.330648 # DEPENDENCYPART_ARC
(13,9),0.638535 # DEPENDENCYPART_ARC
(13,10),0.771253 # DEPENDENCYPART_ARC
(13,11),1.51725 # DEPENDENCYPART_ARC
(13,12),1.01941 # DEPENDENCYPART_ARC
(13,14),-0.0448294 # DEPENDENCYPART_ARC
(13,15),1.02378 # DEPENDENCYPART_ARC
(13,16),0.530744 # DEPENDENCYPART_ARC
(13,17),3.72784 # DEPENDENCYPART_ARC
(13,18),0.964327 # DEPENDENCYPART_ARC
(13,19),0.127566 # DEPENDENCYPART_ARC
(13,20),-0.0546013 # DEPENDENCYPART_ARC
(13,21),-0.403527 # DEPENDENCYPART_ARC
(13,22),-1.28478 # DEPENDENCYPART_ARC
(13,23),-0.625576 # DEPENDENCYPART_ARC
(13,24),-0.65902 # DEPENDENCYPART_ARC
(13,25),-0.255651 # DEPENDENCYPART_ARC
(13,26),-0.901129 # DEPENDENCYPART_ARC
(13,27),0.0919497 # DEPENDENCYPART_ARC
(13,29),-2.22274 # DEPENDENCYPART_ARC
(13,30),0.348381 # DEPENDENCYPART_ARC
(13,31),1.54048 # DEPENDENCYPART_ARC
(14,15),0.202032 # DEPENDENCYPART_ARC
(15,14),0.230134 # DEPENDENCYPART_ARC
(16,3),-1.43214 # DEPENDENCYPART_ARC
(16,9),-1.17729 # DEPENDENCYPART_ARC
(16,13),0.794965 # DEPENDENCYPART_ARC
(16,14),2.518 # DEPENDENCYPART_ARC
(16,15),3.68488 # DEPENDENCYPART_ARC
(17,7),-0.520665 # DEPENDENCYPART_ARC
(17,9),-0.618727 # DEPENDENCYPART_ARC
(17,10),-0.813619 # DEPENDENCYPART_ARC
(17,14),0.931788 # DEPENDENCYPART_ARC
(17,15),1.9578 # DEPENDENCYPART_ARC
(17,16),4.34881 # DEPENDENCYPART_ARC
(17,18),-0.1843 # DEPENDENCYPART_ARC
(17,19),-0.960589 # DEPENDENCYPART_ARC
(17,27),-1.66309 # DEPENDENCYPART_ARC
(19,1),0.177271 # DEPENDENCYPART_ARC
(19,2),0.174634 # DEPENDENCYPART_ARC
(19,4),-0.401643 # DEPENDENCYPART_ARC
(19,5),-0.0512948 # DEPENDENCYPART_ARC
(19,6),-0.705747 # DEPENDENCYPART_ARC
(19,7),-0.453737 # DEPENDENCYPART_ARC
(19,8),0.585037 # DEPENDENCYPART_ARC
(19,9),-0.358512 # DEPENDENCYPART_ARC
(19,10),0.809023 # DEPENDENCYPART_ARC
(19,12),0.94458 # DEPENDENCYPART_ARC
(19,13),0.796302 # DEPENDENCYPART_ARC
(19,14),-0.71602 # DEPENDENCYPART_ARC
(19,15),0.00878757 # DEPENDENCYPART_ARC
(19,16),0.130918 # DEPENDENCYPART_ARC
(19,17),-0.599424 # DEPENDENCYPART_ARC
(19,18),2.28562 # DEPENDENCYPART_ARC
(19,20),-0.257134 # DEPENDENCYPART_ARC
(19,22),-1.01524 # DEPENDENCYPART_ARC
(19,23),-0.414899 # DEPENDENCYPART_ARC
(19,24),-0.352274 # DEPENDENCYPART_ARC
(19,25),-0.447049 # DEPENDENCYPART_ARC
(19,26),-1.52264 # DEPENDENCYPART_ARC
(19,27),1.63191 # DEPENDENCYPART_ARC
(19,29),-1.35012 # DEPENDENCYPART_ARC
(19,30),-1.87321 # DEPENDENCYPART_ARC
(19,31),3.40845 # DEPENDENCYPART_ARC
(20,8),0.359642 # DEPENDENCYPART_ARC
(20,12),-0.134184 # DEPENDENCYPART_ARC
(20,13),0.00547471 # DEPENDENCYPART_ARC
(20,15),0.0410426 # DEPENDENCYPART_ARC
(20,16),0.0142423 # DEPENDENCYPART_ARC
(20,17),0.0019089 # DEPENDENCYPART_ARC
(20,18),0.929566 # DEPENDENCYPART_ARC
(20,19),1.01495 # DEPENDENCYPART_ARC
(20,22),0.170504 # DEPENDENCYPART_ARC
(20,26),-0.517528 # DEPENDENCYPART_ARC
(20,27),0.422201 # DEPENDENCYPART_ARC
(20,29),-1.21304 # DEPENDENCYPART_ARC
(20,30),-0.784817 # DEPENDENCYPART_ARC
(20,31),2.21992 # DEPENDENCYPART_ARC
(22,14),-1.40065 # DEPENDENCYPART_ARC
(22,20),-0.797574 # DEPENDENCYPART_ARC
(22,21),2.68985 # DEPENDENCYPART_ARC
(22,23),-0.510952 # DEPENDENCYPART_ARC
(22,24),-0.65646 # DEPENDENCYPART_ARC
(22,26),-1.48179 # DEPENDENCYPART_ARC
(23,8),-0.98045 # DEPENDENCYPART_ARC
(23,16),-1.40372 # DEPENDENCYPART_ARC
(23,17),-1.60992 # DEPENDENCYPART_ARC
(23,18),-0.906758 # DEPENDENCYPART_ARC
(23,20),-0.291097 # DEPENDENCYPART_ARC
(23,22),-0.323636 # DEPENDENCYPART_ARC
(23,24),-0.157214 # DEPENDENCYPART_ARC
(23,25),-0.427641 # DEPENDENCYPART_ARC
(23,26),-0.46847 # DEPENDENCYPART_ARC
(23,30),-1.16632 # DEPENDENCYPART_ARC
(24,16),-1.11091 # DEPENDENCYPART_ARC
(24,17),-1.44208 # DEPENDENCYPART_ARC
(24,18),-0.173666 # DEPENDENCYPART_ARC
(24,20),-0.201502 # DEPENDENCYPART_ARC
(24,22),-0.594814 # DEPENDENCYPART_ARC
(24,23),0.15435 # DEPENDENCYPART_ARC
(24,25),-0.312244 # DEPENDENCYPART_ARC
(24,26),-0.30223 # DEPENDENCYPART_ARC
(24,27),-0.428556 # DEPENDENCYPART_ARC
(24,29),-1.18884 # DEPENDENCYPART_ARC
(24,30),-1.39872 # DEPENDENCYPART_ARC
(25,21),-0.663135 # DEPENDENCYPART_ARC
(25,22),-1.3564 # DEPENDENCYPART_ARC
(25,23),-0.801146 # DEPENDENCYPART_ARC
(25,24),-0.227663 # DEPENDENCYPART_ARC
(25,29),-1.74416 # DEPENDENCYPART_ARC
(25,30),-2.47804 # DEPENDENCYPART_ARC
(26,14),-1.38722 # DEPENDENCYPART_ARC
(26,15),-0.485862 # DEPENDENCYPART_ARC
(26,16),-1.97199 # DEPENDENCYPART_ARC
(26,18),-0.397157 # DEPENDENCYPART_ARC
(26,19),0.0538507 # DEPENDENCYPART_ARC
(26,20),-0.326191 # DEPENDENCYPART_ARC
(26,21),0.156667 # DEPENDENCYPART_ARC
(26,22),-1.24541 # DEPENDENCYPART_ARC
(26,23),0.278538 # DEPENDENCYPART_ARC
(26,24),1.22506 # DEPENDENCYPART_ARC
(26,25),1.57637 # DEPENDENCYPART_ARC
(26,29),-1.28137 # DEPENDENCYPART_ARC
(26,30),-1.96041 # DEPENDENCYPART_ARC
(27,1),-1.13416 # DEPENDENCYPART_ARC
(27,2),-0.208731 # DEPENDENCYPART_ARC
(27,4),-0.764195 # DEPENDENCYPART_ARC
(27,5),-0.92216 # DEPENDENCYPART_ARC
(27,6),0.0926657 # DEPENDENCYPART_ARC
(27,7),-1.85924 # DEPENDENCYPART_ARC
(27,8),-0.633917 # DEPENDENCYPART_ARC
(27,9),-1.92195 # DEPENDENCYPART_ARC
(27,10),0.159883 # DEPENDENCYPART_ARC
(27,12),0.104896 # DEPENDENCYPART_ARC
(27,13),0.27691 # DEPENDENCYPART_ARC
(27,15),-0.797059 # DEPENDENCYPART_ARC
(27,16),0.147212 # DEPENDENCYPART_ARC
(27,17),-0.606847 # DEPENDENCYPART_ARC
(27,18),0.308628 # DEPENDENCYPART_ARC
(27,19),0.268412 # DEPENDENCYPART_ARC
(27,20),0.817089 # DEPENDENCYPART_ARC
(27,21),-1.40377 # DEPENDENCYPART_ARC
(27,22),1.36862 # DEPENDENCYPART_ARC
(27,23),1.34224 # DEPENDENCYPART_ARC
(27,24),1.21555 # DEPENDENCYPART_ARC
(27,25),1.57256 # DEPENDENCYPART_ARC
(27,26),2.82677 # DEPENDENCYPART_ARC
(27,28),-0.826595 # DEPENDENCYPART_ARC
(27,29),1.33821 # DEPENDENCYPART_ARC
(27,30),1.89366 # DEPENDENCYPART_ARC
(27,31),1.12376 # DEPENDENCYPART_ARC
(29,21),-1.54995 # DEPENDENCYPART_ARC
(29,25),-2.48794 # DEPENDENCYPART_ARC
(29,28),2.58093 # DEPENDENCYPART_ARC
(30,23),-0.817076 # DEPENDENCYPART_ARC
(30,24),-0.683211 # DEPENDENCYPART_ARC
(30,25),-2.58015 # DEPENDENCYPART_ARC
(30,26),-2.31755 # DEPENDENCYPART_ARC
(30,28),1.33342 # DEPENDENCYPART_ARC
(30,29),3.86862 # DEPENDENCYPART_ARC
