# _root_ Orbán egyetlen " házon belüli " kritikusa , Tölgyessy_Péter már hónapokkal ezelőtt jelezte , hogy a kormányfő megválasztása után egyfajta elnöki rendszer kiépítésébe fogott .
#goldHeads=7,7,7,5,7,7,13,13,13,13,12,13,0,13,13,17,24,19,24,22,22,23,24,13,13,
#predictedHeads=7,4,4,5,7,7,13,13,13,13,12,13,0,13,13,17,18,19,24,22,22,23,24,13,13,
(9,4),-1.52261 # DEPENDENCYPART_ARC
(9,5),-0.160064 # DEPENDENCYPART_ARC
(9,6),0.749457 # DEPENDENCYPART_ARC
(9,7),-0.251949 # DEPENDENCYPART_ARC
(9,8),0.504668 # DEPENDENCYPART_ARC
(9,11),-1.32924 # DEPENDENCYPART_ARC
(9,12),0.0663842 # DEPENDENCYPART_ARC
(9,19),-0.568225 # DEPENDENCYPART_ARC
(9,25),0.112877 # DEPENDENCYPART_ARC
(10,7),-0.535285 # DEPENDENCYPART_ARC
(10,9),0.48879 # DEPENDENCYPART_ARC
(10,11),-0.258768 # DEPENDENCYPART_ARC
(10,12),-0.192719 # DEPENDENCYPART_ARC
(10,15),-0.523002 # DEPENDENCYPART_ARC
(10,19),-0.569373 # DEPENDENCYPART_ARC
(10,22),-1.50809 # DEPENDENCYPART_ARC
(10,24),-0.844482 # DEPENDENCYPART_ARC
(10,25),0.294417 # DEPENDENCYPART_ARC
(11,1),-0.999372 # DEPENDENCYPART_ARC
(11,2),0.417088 # DEPENDENCYPART_ARC
(11,3),-0.161617 # DEPENDENCYPART_ARC
(11,4),-1.94295 # DEPENDENCYPART_ARC
(11,5),0.283421 # DEPENDENCYPART_ARC
(11,6),0.156951 # DEPENDENCYPART_ARC
(11,7),-1.83249 # DEPENDENCYPART_ARC
(11,8),0.354223 # DEPENDENCYPART_ARC
(11,9),0.345792 # DEPENDENCYPART_ARC
(11,10),0.384519 # DEPENDENCYPART_ARC
(11,19),-0.989927 # DEPENDENCYPART_ARC
(12,1),-0.756276 # DEPENDENCYPART_ARC
(12,2),-0.76395 # DEPENDENCYPART_ARC
(12,3),-0.530215 # DEPENDENCYPART_ARC
(12,4),-0.500425 # DEPENDENCYPART_ARC
(12,5),-0.681769 # DEPENDENCYPART_ARC
(12,6),-0.364907 # DEPENDENCYPART_ARC
(12,7),0.155104 # DEPENDENCYPART_ARC
(12,8),0.403596 # DEPENDENCYPART_ARC
(12,9),0.480541 # DEPENDENCYPART_ARC
(12,10),0.650611 # DEPENDENCYPART_ARC
(12,11),3.91344 # DEPENDENCYPART_ARC
(12,17),-1.08706 # DEPENDENCYPART_ARC
(12,22),-1.10393 # DEPENDENCYPART_ARC
(12,24),-0.947095 # DEPENDENCYPART_ARC
(13,1),0.304624 # DEPENDENCYPART_ARC
(13,2),-1.06454 # DEPENDENCYPART_ARC
(13,3),0.64209 # DEPENDENCYPART_ARC
(13,4),0.658094 # DEPENDENCYPART_ARC
(13,5),-0.471698 # DEPENDENCYPART_ARC
(13,6),0.631316 # DEPENDENCYPART_ARC
(13,7),0.948693 # DEPENDENCYPART_ARC
(13,8),1.32824 # DEPENDENCYPART_ARC
(13,9),2.19943 # DEPENDENCYPART_ARC
(13,10),2.33547 # DEPENDENCYPART_ARC
(13,11),0.317286 # DEPENDENCYPART_ARC
(13,12),2.97765 # DEPENDENCYPART_ARC
(13,14),1.6965 # DEPENDENCYPART_ARC
(13,15),2.59629 # DEPENDENCYPART_ARC
(13,16),-0.874292 # DEPENDENCYPART_ARC
(13,17),-0.702949 # DEPENDENCYPART_ARC
(13,18),-0.522821 # DEPENDENCYPART_ARC
(13,19),-0.0111775 # DEPENDENCYPART_ARC
(13,20),-1.08036 # DEPENDENCYPART_ARC
(13,21),-1.12536 # DEPENDENCYPART_ARC
(13,22),-0.999954 # DEPENDENCYPART_ARC
(13,23),-0.533306 # DEPENDENCYPART_ARC
(13,24),1.04508 # DEPENDENCYPART_ARC
(13,25),2.55529 # DEPENDENCYPART_ARC
(15,1),-0.289809 # DEPENDENCYPART_ARC
(15,2),-0.118636 # DEPENDENCYPART_ARC
(15,4),-0.808162 # DEPENDENCYPART_ARC
(15,5),-0.386934 # DEPENDENCYPART_ARC
(15,6),-0.321334 # DEPENDENCYPART_ARC
(15,7),-0.571714 # DEPENDENCYPART_ARC
(15,8),-0.548173 # DEPENDENCYPART_ARC
(15,9),0.0340901 # DEPENDENCYPART_ARC
(15,10),-0.0548986 # DEPENDENCYPART_ARC
(15,11),0.123705 # DEPENDENCYPART_ARC
(15,12),0.582885 # DEPENDENCYPART_ARC
(15,13),-0.379078 # DEPENDENCYPART_ARC
(15,14),0.98172 # DEPENDENCYPART_ARC
(15,17),-0.657678 # DEPENDENCYPART_ARC
(15,18),-0.733548 # DEPENDENCYPART_ARC
(15,20),-0.270132 # DEPENDENCYPART_ARC
(15,21),-0.598883 # DEPENDENCYPART_ARC
(15,22),-1.18851 # DEPENDENCYPART_ARC
(15,23),-1.40486 # DEPENDENCYPART_ARC
(15,24),0.816275 # DEPENDENCYPART_ARC
(15,25),1.50618 # DEPENDENCYPART_ARC
(16,20),-0.776225 # DEPENDENCYPART_ARC
(17,15),-1.36041 # DEPENDENCYPART_ARC
(17,16),2.65335 # DEPENDENCYPART_ARC
(17,22),-0.976789 # DEPENDENCYPART_ARC
(18,13),-1.09751 # DEPENDENCYPART_ARC
(18,14),-0.326814 # DEPENDENCYPART_ARC
(18,15),-0.456145 # DEPENDENCYPART_ARC
(18,16),0.949725 # DEPENDENCYPART_ARC
(18,17),3.73436 # DEPENDENCYPART_ARC
(18,20),-1.29977 # DEPENDENCYPART_ARC
(18,22),-0.980268 # DEPENDENCYPART_ARC
(18,23),-1.98724 # DEPENDENCYPART_ARC
(19,9),-0.875458 # DEPENDENCYPART_ARC
(19,11),0.942978 # DEPENDENCYPART_ARC
(19,14),0.0609794 # DEPENDENCYPART_ARC
(19,16),-0.258738 # DEPENDENCYPART_ARC
(19,17),0.741899 # DEPENDENCYPART_ARC
(19,18),3.93621 # DEPENDENCYPART_ARC
(19,20),-0.292687 # DEPENDENCYPART_ARC
(19,21),-0.364279 # DEPENDENCYPART_ARC
(19,22),-0.675296 # DEPENDENCYPART_ARC
(19,23),-0.768553 # DEPENDENCYPART_ARC
(20,10),-0.594126 # DEPENDENCYPART_ARC
(20,11),-1.21929 # DEPENDENCYPART_ARC
(20,12),-0.493686 # DEPENDENCYPART_ARC
(20,13),-1.03631 # DEPENDENCYPART_ARC
(20,14),-0.0379597 # DEPENDENCYPART_ARC
(20,15),-0.406737 # DEPENDENCYPART_ARC
(20,16),-0.220356 # DEPENDENCYPART_ARC
(20,17),-0.0173205 # DEPENDENCYPART_ARC
(20,18),-0.14244 # DEPENDENCYPART_ARC
(20,19),1.45613 # DEPENDENCYPART_ARC
(20,21),-0.450943 # DEPENDENCYPART_ARC
(20,22),-0.14033 # DEPENDENCYPART_ARC
(20,23),-1.02228 # DEPENDENCYPART_ARC
(21,10),-0.870797 # DEPENDENCYPART_ARC
(21,12),-0.679735 # DEPENDENCYPART_ARC
(21,14),-0.198076 # DEPENDENCYPART_ARC
(21,15),-0.6456 # DEPENDENCYPART_ARC
(21,16),-0.486193 # DEPENDENCYPART_ARC
(21,17),-0.580247 # DEPENDENCYPART_ARC
(21,18),-0.914926 # DEPENDENCYPART_ARC
(21,19),0.697157 # DEPENDENCYPART_ARC
(21,20),1.11324 # DEPENDENCYPART_ARC
(22,2),0.395012 # DEPENDENCYPART_ARC
(22,5),-0.0855019 # DEPENDENCYPART_ARC
(22,10),-0.69699 # DEPENDENCYPART_ARC
(22,12),-0.402886 # DEPENDENCYPART_ARC
(22,13),-0.18747 # DEPENDENCYPART_ARC
(22,14),0.0882993 # DEPENDENCYPART_ARC
(22,15),-0.329595 # DEPENDENCYPART_ARC
(22,16),1.63907 # DEPENDENCYPART_ARC
(22,17),0.451758 # DEPENDENCYPART_ARC
(22,18),-1.08168 # DEPENDENCYPART_ARC
(22,19),0.292335 # DEPENDENCYPART_ARC
(22,20),2.63461 # DEPENDENCYPART_ARC
(22,21),3.50909 # DEPENDENCYPART_ARC
(22,23),-1.34255 # DEPENDENCYPART_ARC
(23,14),-0.150749 # DEPENDENCYPART_ARC
(23,15),-0.54546 # DEPENDENCYPART_ARC
(23,16),-0.765843 # DEPENDENCYPART_ARC
(23,17),1.00574 # DEPENDENCYPART_ARC
(23,18),-1.04507 # DEPENDENCYPART_ARC
(23,19),-0.0381866 # DEPENDENCYPART_ARC
(23,20),0.407584 # DEPENDENCYPART_ARC
(23,21),1.33027 # DEPENDENCYPART_ARC
(23,22),3.61325 # DEPENDENCYPART_ARC
(24,1),0.225973 # DEPENDENCYPART_ARC
(24,3),-0.0891206 # DEPENDENCYPART_ARC
(24,4),0.52231 # DEPENDENCYPART_ARC
(24,5),-1.15107 # DEPENDENCYPART_ARC
(24,6),0.0430246 # DEPENDENCYPART_ARC
(24,7),0.483406 # DEPENDENCYPART_ARC
(24,8),0.577695 # DEPENDENCYPART_ARC
(24,9),1.10192 # DEPENDENCYPART_ARC
(24,10),1.33615 # DEPENDENCYPART_ARC
(24,11),-0.904069 # DEPENDENCYPART_ARC
(24,12),1.41064 # DEPENDENCYPART_ARC
(24,13),0.0394392 # DEPENDENCYPART_ARC
(24,14),0.742149 # DEPENDENCYPART_ARC
(24,15),0.00731088 # DEPENDENCYPART_ARC
(24,16),-0.607472 # DEPENDENCYPART_ARC
(24,17),1.69121 # DEPENDENCYPART_ARC
(24,18),1.51469 # DEPENDENCYPART_ARC
(24,19),2.29351 # DEPENDENCYPART_ARC
(24,20),0.334215 # DEPENDENCYPART_ARC
(24,21),0.613167 # DEPENDENCYPART_ARC
(24,22),2.91195 # DEPENDENCYPART_ARC
(24,23),3.62128 # DEPENDENCYPART_ARC
(24,25),1.34839 # DEPENDENCYPART_ARC
