# _root_ Egyértelmű sikernek könyvelheti el , hogy a sokáig kizárólag klasszikusokhoz szoktatott , jómódú salzburgi publikum idővel hajlandónak mutatkozott befogadni a kortárs zenét is .
#goldHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,3,18,22,22,19,18,3,
#predictedHeads=2,3,0,3,3,3,15,11,11,11,15,15,15,15,18,18,18,6,18,22,22,19,18,3,
(15,10),-1.05807 # DEPENDENCYPART_ARC
(15,11),1.98404 # DEPENDENCYPART_ARC
(15,12),1.97065 # DEPENDENCYPART_ARC
(15,13),2.59809 # DEPENDENCYPART_ARC
(15,14),3.60168 # DEPENDENCYPART_ARC
(15,16),-0.312099 # DEPENDENCYPART_ARC
(15,17),-0.608408 # DEPENDENCYPART_ARC
(15,22),-1.67837 # DEPENDENCYPART_ARC
(16,3),-0.271521 # DEPENDENCYPART_ARC
(16,5),-0.186206 # DEPENDENCYPART_ARC
(16,6),-0.539555 # DEPENDENCYPART_ARC
(16,9),-0.238204 # DEPENDENCYPART_ARC
(16,10),-0.25018 # DEPENDENCYPART_ARC
(16,11),-0.487431 # DEPENDENCYPART_ARC
(16,13),-0.0568889 # DEPENDENCYPART_ARC
(16,14),-0.211949 # DEPENDENCYPART_ARC
(16,15),0.188712 # DEPENDENCYPART_ARC
(16,17),-0.149947 # DEPENDENCYPART_ARC
(16,18),-0.273274 # DEPENDENCYPART_ARC
(16,19),-0.657619 # DEPENDENCYPART_ARC
(16,21),-0.775399 # DEPENDENCYPART_ARC
(16,22),-1.17854 # DEPENDENCYPART_ARC
(16,23),-0.873915 # DEPENDENCYPART_ARC
(17,9),-0.264199 # DEPENDENCYPART_ARC
(17,12),-0.0909186 # DEPENDENCYPART_ARC
(17,13),-0.347816 # DEPENDENCYPART_ARC
(17,14),-0.43905 # DEPENDENCYPART_ARC
(17,15),-0.59887 # DEPENDENCYPART_ARC
(17,16),1.62046 # DEPENDENCYPART_ARC
(17,18),-0.409449 # DEPENDENCYPART_ARC
(17,19),-0.556391 # DEPENDENCYPART_ARC
(17,21),-0.991815 # DEPENDENCYPART_ARC
(17,22),-1.56198 # DEPENDENCYPART_ARC
(17,23),-0.946486 # DEPENDENCYPART_ARC
(17,24),0.219378 # DEPENDENCYPART_ARC
(18,1),-1.93222 # DEPENDENCYPART_ARC
(18,2),0.169161 # DEPENDENCYPART_ARC
(18,3),-0.365397 # DEPENDENCYPART_ARC
(18,5),1.11616 # DEPENDENCYPART_ARC
(18,6),0.329222 # DEPENDENCYPART_ARC
(18,7),-1.21435 # DEPENDENCYPART_ARC
(18,8),0.220453 # DEPENDENCYPART_ARC
(18,9),0.82972 # DEPENDENCYPART_ARC
(18,10),-0.429105 # DEPENDENCYPART_ARC
(18,11),-0.855906 # DEPENDENCYPART_ARC
(18,12),1.18559 # DEPENDENCYPART_ARC
(18,13),-0.484129 # DEPENDENCYPART_ARC
(18,14),-0.182832 # DEPENDENCYPART_ARC
(18,15),1.92399 # DEPENDENCYPART_ARC
(18,16),1.66489 # DEPENDENCYPART_ARC
(18,17),2.56666 # DEPENDENCYPART_ARC
(18,19),3.18808 # DEPENDENCYPART_ARC
(18,20),-0.909024 # DEPENDENCYPART_ARC
(18,21),0.231772 # DEPENDENCYPART_ARC
(18,22),0.0700417 # DEPENDENCYPART_ARC
(18,23),1.34095 # DEPENDENCYPART_ARC
(18,24),1.93108 # DEPENDENCYPART_ARC
(19,1),-1.39137 # DEPENDENCYPART_ARC
(19,2),0.224935 # DEPENDENCYPART_ARC
(19,3),-1.07287 # DEPENDENCYPART_ARC
(19,5),0.142167 # DEPENDENCYPART_ARC
(19,6),-0.387396 # DEPENDENCYPART_ARC
(19,7),-1.19292 # DEPENDENCYPART_ARC
(19,8),0.177245 # DEPENDENCYPART_ARC
(19,9),0.919332 # DEPENDENCYPART_ARC
(19,10),0.454254 # DEPENDENCYPART_ARC
(19,11),-0.679191 # DEPENDENCYPART_ARC
(19,12),0.15554 # DEPENDENCYPART_ARC
(19,13),-0.258157 # DEPENDENCYPART_ARC
(19,14),-0.0377811 # DEPENDENCYPART_ARC
(19,15),0.539858 # DEPENDENCYPART_ARC
(19,16),1.481 # DEPENDENCYPART_ARC
(19,17),2.12914 # DEPENDENCYPART_ARC
(19,18),1.06394 # DEPENDENCYPART_ARC
(19,20),-0.196236 # DEPENDENCYPART_ARC
(19,21),0.544036 # DEPENDENCYPART_ARC
(19,22),2.09432 # DEPENDENCYPART_ARC
(19,23),1.17083 # DEPENDENCYPART_ARC
(19,24),0.676075 # DEPENDENCYPART_ARC
(21,7),-2.70617 # DEPENDENCYPART_ARC
(21,20),2.03821 # DEPENDENCYPART_ARC
(22,7),-1.30875 # DEPENDENCYPART_ARC
(22,15),-3.0405 # DEPENDENCYPART_ARC
(22,17),-2.83313 # DEPENDENCYPART_ARC
(22,19),0.733219 # DEPENDENCYPART_ARC
(22,20),2.42438 # DEPENDENCYPART_ARC
(22,21),2.55795 # DEPENDENCYPART_ARC
(22,23),-1.14488 # DEPENDENCYPART_ARC
(23,1),-0.329882 # DEPENDENCYPART_ARC
(23,3),-2.0827 # DEPENDENCYPART_ARC
(23,6),-0.769865 # DEPENDENCYPART_ARC
(23,11),-0.460485 # DEPENDENCYPART_ARC
(23,14),-0.301646 # DEPENDENCYPART_ARC
(23,15),-0.794323 # DEPENDENCYPART_ARC
(23,16),-0.283201 # DEPENDENCYPART_ARC
(23,17),-0.26112 # DEPENDENCYPART_ARC
(23,18),0.1418 # DEPENDENCYPART_ARC
(23,19),-0.683604 # DEPENDENCYPART_ARC
(23,20),-0.395018 # DEPENDENCYPART_ARC
(23,21),0.0398882 # DEPENDENCYPART_ARC
(23,22),0.125518 # DEPENDENCYPART_ARC
(23,24),0.564528 # DEPENDENCYPART_ARC
