# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(7,17),-1.61562 # DEPENDENCYPART_ARC
(7,20),-1.12706 # DEPENDENCYPART_ARC
(7,22),0.418155 # DEPENDENCYPART_ARC
(10,3),-1.26055 # DEPENDENCYPART_ARC
(10,4),-3.84458 # DEPENDENCYPART_ARC
(10,5),-1.04159 # DEPENDENCYPART_ARC
(10,6),0.224989 # DEPENDENCYPART_ARC
(10,7),-3.35404 # DEPENDENCYPART_ARC
(10,8),-0.781164 # DEPENDENCYPART_ARC
(10,9),2.78628 # DEPENDENCYPART_ARC
(10,17),-2.21927 # DEPENDENCYPART_ARC
(11,1),-1.46432 # DEPENDENCYPART_ARC
(11,2),-1.24964 # DEPENDENCYPART_ARC
(11,3),-1.90982 # DEPENDENCYPART_ARC
(11,4),-1.69819 # DEPENDENCYPART_ARC
(11,5),0.777558 # DEPENDENCYPART_ARC
(11,6),-0.70886 # DEPENDENCYPART_ARC
(11,7),-1.75466 # DEPENDENCYPART_ARC
(11,8),0.504934 # DEPENDENCYPART_ARC
(11,9),1.17264 # DEPENDENCYPART_ARC
(11,10),4.26292 # DEPENDENCYPART_ARC
(11,12),-0.383186 # DEPENDENCYPART_ARC
(11,14),-1.09796 # DEPENDENCYPART_ARC
(11,15),-0.622116 # DEPENDENCYPART_ARC
(11,17),-1.75052 # DEPENDENCYPART_ARC
(11,18),-0.631218 # DEPENDENCYPART_ARC
(11,20),-1.50003 # DEPENDENCYPART_ARC
(11,22),0.231347 # DEPENDENCYPART_ARC
(13,1),-0.334696 # DEPENDENCYPART_ARC
(13,2),-0.615209 # DEPENDENCYPART_ARC
(13,4),-0.77073 # DEPENDENCYPART_ARC
(13,5),-0.174505 # DEPENDENCYPART_ARC
(13,7),-0.801224 # DEPENDENCYPART_ARC
(13,8),-0.249069 # DEPENDENCYPART_ARC
(13,10),0.652704 # DEPENDENCYPART_ARC
(13,11),-0.163346 # DEPENDENCYPART_ARC
(13,12),0.972336 # DEPENDENCYPART_ARC
(13,14),0.621469 # DEPENDENCYPART_ARC
(13,15),0.237936 # DEPENDENCYPART_ARC
(13,16),-0.62812 # DEPENDENCYPART_ARC
(13,17),-1.22512 # DEPENDENCYPART_ARC
(13,18),0.00493949 # DEPENDENCYPART_ARC
(13,19),-0.831896 # DEPENDENCYPART_ARC
(13,20),-0.214958 # DEPENDENCYPART_ARC
(13,21),-0.885279 # DEPENDENCYPART_ARC
(13,22),1.90808 # DEPENDENCYPART_ARC
(14,1),-1.28134 # DEPENDENCYPART_ARC
(14,2),-2.10093 # DEPENDENCYPART_ARC
(14,4),-1.31309 # DEPENDENCYPART_ARC
(14,5),-0.827098 # DEPENDENCYPART_ARC
(14,7),-2.01378 # DEPENDENCYPART_ARC
(14,8),-0.17855 # DEPENDENCYPART_ARC
(14,10),-0.358387 # DEPENDENCYPART_ARC
(14,11),-0.796038 # DEPENDENCYPART_ARC
(14,12),0.16061 # DEPENDENCYPART_ARC
(14,13),-0.499111 # DEPENDENCYPART_ARC
(14,15),0.881092 # DEPENDENCYPART_ARC
(14,16),-0.748863 # DEPENDENCYPART_ARC
(14,17),-0.464734 # DEPENDENCYPART_ARC
(14,18),-0.249945 # DEPENDENCYPART_ARC
(14,19),-2.41897 # DEPENDENCYPART_ARC
(14,20),0.240942 # DEPENDENCYPART_ARC
(14,21),-0.804459 # DEPENDENCYPART_ARC
(14,22),1.72525 # DEPENDENCYPART_ARC
(16,10),-1.7332 # DEPENDENCYPART_ARC
(16,11),-1.58475 # DEPENDENCYPART_ARC
(16,12),-0.0384566 # DEPENDENCYPART_ARC
(16,13),-0.394749 # DEPENDENCYPART_ARC
(16,14),-0.803005 # DEPENDENCYPART_ARC
(16,15),0.22414 # DEPENDENCYPART_ARC
(16,18),0.140219 # DEPENDENCYPART_ARC
(16,20),-0.504787 # DEPENDENCYPART_ARC
(17,2),-1.43357 # DEPENDENCYPART_ARC
(17,3),-1.41929 # DEPENDENCYPART_ARC
(17,4),-3.48114 # DEPENDENCYPART_ARC
(17,5),-0.96606 # DEPENDENCYPART_ARC
(17,6),-0.414558 # DEPENDENCYPART_ARC
(17,7),-3.8389 # DEPENDENCYPART_ARC
(17,8),-0.822206 # DEPENDENCYPART_ARC
(17,9),0.220189 # DEPENDENCYPART_ARC
(17,10),-0.572376 # DEPENDENCYPART_ARC
(17,11),-3.94217 # DEPENDENCYPART_ARC
(17,12),-0.372976 # DEPENDENCYPART_ARC
(17,13),-0.292731 # DEPENDENCYPART_ARC
(17,14),-0.843473 # DEPENDENCYPART_ARC
(17,15),0.845901 # DEPENDENCYPART_ARC
(17,16),3.62636 # DEPENDENCYPART_ARC
(17,18),0.228043 # DEPENDENCYPART_ARC
(17,20),-0.49002 # DEPENDENCYPART_ARC
(19,2),0.382922 # DEPENDENCYPART_ARC
(19,13),0.776674 # DEPENDENCYPART_ARC
(19,14),0.675483 # DEPENDENCYPART_ARC
(19,18),0.368138 # DEPENDENCYPART_ARC
(19,22),-0.0249415 # DEPENDENCYPART_ARC
(20,1),-0.14067 # DEPENDENCYPART_ARC
(20,2),-1.29796 # DEPENDENCYPART_ARC
(20,4),-0.39126 # DEPENDENCYPART_ARC
(20,5),0.313094 # DEPENDENCYPART_ARC
(20,7),-0.901902 # DEPENDENCYPART_ARC
(20,8),0.409286 # DEPENDENCYPART_ARC
(20,10),-0.856643 # DEPENDENCYPART_ARC
(20,11),-0.137324 # DEPENDENCYPART_ARC
(20,12),0.825049 # DEPENDENCYPART_ARC
(20,13),0.44846 # DEPENDENCYPART_ARC
(20,14),-0.11761 # DEPENDENCYPART_ARC
(20,15),0.658579 # DEPENDENCYPART_ARC
(20,16),-0.641957 # DEPENDENCYPART_ARC
(20,17),0.659366 # DEPENDENCYPART_ARC
(20,18),1.36611 # DEPENDENCYPART_ARC
(20,19),3.20825 # DEPENDENCYPART_ARC
(20,21),2.54519 # DEPENDENCYPART_ARC
(20,22),1.70355 # DEPENDENCYPART_ARC
(21,7),-1.71339 # DEPENDENCYPART_ARC
(21,8),-0.772897 # DEPENDENCYPART_ARC
(21,10),-1.28552 # DEPENDENCYPART_ARC
(21,11),-1.63757 # DEPENDENCYPART_ARC
(21,12),-0.255007 # DEPENDENCYPART_ARC
(21,13),0.00969944 # DEPENDENCYPART_ARC
(21,15),-0.718657 # DEPENDENCYPART_ARC
(21,16),-0.448425 # DEPENDENCYPART_ARC
(21,17),-0.852218 # DEPENDENCYPART_ARC
(21,18),-0.309048 # DEPENDENCYPART_ARC
(21,19),0.170204 # DEPENDENCYPART_ARC
(21,22),0.374432 # DEPENDENCYPART_ARC
