# _root_ — Öt percet kaptunk , hogy elhagyjuk a lakásunkat — meséli egy asszony , akit az EBESZ-szóvivő találomra állít meg .
#goldHeads=11,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
#predictedHeads=4,3,4,11,4,4,4,9,7,11,0,13,11,11,19,17,19,19,11,19,11,
(13,1),-1.52676 # DEPENDENCYPART_ARC
(13,2),-1.33311 # DEPENDENCYPART_ARC
(13,4),-2.11002 # DEPENDENCYPART_ARC
(13,6),-1.86674 # DEPENDENCYPART_ARC
(13,8),-0.0488924 # DEPENDENCYPART_ARC
(13,9),-3.92363 # DEPENDENCYPART_ARC
(13,10),-0.841622 # DEPENDENCYPART_ARC
(13,12),3.29323 # DEPENDENCYPART_ARC
(13,14),-0.052936 # DEPENDENCYPART_ARC
(13,15),-1.34142 # DEPENDENCYPART_ARC
(13,17),-0.918691 # DEPENDENCYPART_ARC
(13,18),-0.959931 # DEPENDENCYPART_ARC
(13,19),-0.450174 # DEPENDENCYPART_ARC
(13,21),-0.0112758 # DEPENDENCYPART_ARC
(15,17),-0.123646 # DEPENDENCYPART_ARC
(17,12),0.31927 # DEPENDENCYPART_ARC
(17,13),-1.92962 # DEPENDENCYPART_ARC
(17,14),-0.742626 # DEPENDENCYPART_ARC
(17,15),-0.769252 # DEPENDENCYPART_ARC
(17,16),2.90403 # DEPENDENCYPART_ARC
(17,18),-0.735252 # DEPENDENCYPART_ARC
(18,1),-1.15071 # DEPENDENCYPART_ARC
(18,4),-0.978135 # DEPENDENCYPART_ARC
(18,5),-1.278 # DEPENDENCYPART_ARC
(18,6),-1.34693 # DEPENDENCYPART_ARC
(18,7),-0.934047 # DEPENDENCYPART_ARC
(18,9),-1.96687 # DEPENDENCYPART_ARC
(18,10),-1.03269 # DEPENDENCYPART_ARC
(18,11),-0.893886 # DEPENDENCYPART_ARC
(18,13),-1.36557 # DEPENDENCYPART_ARC
(18,14),-0.974832 # DEPENDENCYPART_ARC
(18,15),-0.480327 # DEPENDENCYPART_ARC
(18,17),0.0869431 # DEPENDENCYPART_ARC
(19,1),0.679809 # DEPENDENCYPART_ARC
(19,2),-2.06927 # DEPENDENCYPART_ARC
(19,3),-1.21212 # DEPENDENCYPART_ARC
(19,4),-0.378012 # DEPENDENCYPART_ARC
(19,5),0.0421026 # DEPENDENCYPART_ARC
(19,6),0.3384 # DEPENDENCYPART_ARC
(19,7),0.806837 # DEPENDENCYPART_ARC
(19,9),-0.31707 # DEPENDENCYPART_ARC
(19,10),0.164078 # DEPENDENCYPART_ARC
(19,11),-0.0432449 # DEPENDENCYPART_ARC
(19,12),-0.694788 # DEPENDENCYPART_ARC
(19,13),0.392828 # DEPENDENCYPART_ARC
(19,14),0.612779 # DEPENDENCYPART_ARC
(19,15),0.902492 # DEPENDENCYPART_ARC
(19,16),-0.721099 # DEPENDENCYPART_ARC
(19,17),2.53834 # DEPENDENCYPART_ARC
(19,18),2.84119 # DEPENDENCYPART_ARC
(19,20),2.50245 # DEPENDENCYPART_ARC
(19,21),1.26014 # DEPENDENCYPART_ARC
(20,5),-0.745988 # DEPENDENCYPART_ARC
(20,6),-0.747447 # DEPENDENCYPART_ARC
(20,7),-0.575335 # DEPENDENCYPART_ARC
(20,9),-1.50672 # DEPENDENCYPART_ARC
(20,10),-0.550511 # DEPENDENCYPART_ARC
(20,11),-0.711744 # DEPENDENCYPART_ARC
(20,13),-1.02223 # DEPENDENCYPART_ARC
(20,14),-0.823037 # DEPENDENCYPART_ARC
(20,17),-0.00886845 # DEPENDENCYPART_ARC
(20,18),0.472335 # DEPENDENCYPART_ARC
(20,19),0.305535 # DEPENDENCYPART_ARC
(20,21),0.328869 # DEPENDENCYPART_ARC
