# _root_ Az ottani gyülekezet alig hetven emberből áll , mégis örök fájdalmuk volt az alsógödieknek , hogy nincs templomuk .
#goldHeads=3,3,7,7,6,7,9,9,0,11,12,9,14,12,12,12,12,17,9,
#predictedHeads=3,3,7,7,6,7,9,9,0,11,12,7,14,12,12,12,12,17,7,
(9,15),0.193931 # DEPENDENCYPART_ARC
(9,16),0.327683 # DEPENDENCYPART_ARC
(9,17),-0.139408 # DEPENDENCYPART_ARC
(9,18),-1.14435 # DEPENDENCYPART_ARC
(9,19),2.1255 # DEPENDENCYPART_ARC
(10,3),-2.38307 # DEPENDENCYPART_ARC
(10,4),-0.713343 # DEPENDENCYPART_ARC
(10,5),-1.01356 # DEPENDENCYPART_ARC
(10,6),-0.755965 # DEPENDENCYPART_ARC
(10,7),-1.19855 # DEPENDENCYPART_ARC
(10,8),-0.149012 # DEPENDENCYPART_ARC
(10,9),0.0551883 # DEPENDENCYPART_ARC
(10,14),-1.18244 # DEPENDENCYPART_ARC
(10,16),-0.636364 # DEPENDENCYPART_ARC
(10,17),-0.958769 # DEPENDENCYPART_ARC
(10,18),-1.92141 # DEPENDENCYPART_ARC
(10,19),-0.0723909 # DEPENDENCYPART_ARC
(11,1),-0.610361 # DEPENDENCYPART_ARC
(11,2),0.424604 # DEPENDENCYPART_ARC
(11,3),-2.15613 # DEPENDENCYPART_ARC
(11,4),0.0275117 # DEPENDENCYPART_ARC
(11,5),-0.173954 # DEPENDENCYPART_ARC
(11,6),-3.40452 # DEPENDENCYPART_ARC
(11,7),-1.81769 # DEPENDENCYPART_ARC
(11,8),0.492463 # DEPENDENCYPART_ARC
(11,9),0.78121 # DEPENDENCYPART_ARC
(11,10),3.21164 # DEPENDENCYPART_ARC
(11,14),-1.4576 # DEPENDENCYPART_ARC
(11,15),-0.661389 # DEPENDENCYPART_ARC
(11,18),-2.37963 # DEPENDENCYPART_ARC
(12,1),-0.788732 # DEPENDENCYPART_ARC
(12,2),-0.788732 # DEPENDENCYPART_ARC
(12,3),1.23268 # DEPENDENCYPART_ARC
(12,4),0.0353982 # DEPENDENCYPART_ARC
(12,5),-0.34333 # DEPENDENCYPART_ARC
(12,6),1.23332 # DEPENDENCYPART_ARC
(12,7),0.166481 # DEPENDENCYPART_ARC
(12,8),1.1041 # DEPENDENCYPART_ARC
(12,9),1.70798 # DEPENDENCYPART_ARC
(12,10),1.12584 # DEPENDENCYPART_ARC
(12,11),3.61419 # DEPENDENCYPART_ARC
(12,13),-0.278809 # DEPENDENCYPART_ARC
(12,14),3.04539 # DEPENDENCYPART_ARC
(12,15),1.48707 # DEPENDENCYPART_ARC
(12,16),2.76619 # DEPENDENCYPART_ARC
(12,17),1.45534 # DEPENDENCYPART_ARC
(12,18),0.0724187 # DEPENDENCYPART_ARC
(12,19),1.71417 # DEPENDENCYPART_ARC
(13,18),-1.43999 # DEPENDENCYPART_ARC
(14,10),-1.65993 # DEPENDENCYPART_ARC
(14,11),-1.78006 # DEPENDENCYPART_ARC
(14,13),2.86585 # DEPENDENCYPART_ARC
(14,15),-0.52527 # DEPENDENCYPART_ARC
(14,17),-1.5531 # DEPENDENCYPART_ARC
(14,18),-2.86515 # DEPENDENCYPART_ARC
(16,2),-0.512857 # DEPENDENCYPART_ARC
(16,3),-0.943557 # DEPENDENCYPART_ARC
(16,4),-0.420528 # DEPENDENCYPART_ARC
(16,6),-0.765619 # DEPENDENCYPART_ARC
(16,7),-0.373871 # DEPENDENCYPART_ARC
(16,8),0.4569 # DEPENDENCYPART_ARC
(16,9),0.816117 # DEPENDENCYPART_ARC
(16,10),0.144374 # DEPENDENCYPART_ARC
(16,11),-0.109044 # DEPENDENCYPART_ARC
(16,12),0.05671 # DEPENDENCYPART_ARC
(16,13),0.142472 # DEPENDENCYPART_ARC
(16,14),0.799811 # DEPENDENCYPART_ARC
(16,15),0.94343 # DEPENDENCYPART_ARC
(16,17),0.75881 # DEPENDENCYPART_ARC
(16,18),-0.603095 # DEPENDENCYPART_ARC
(16,19),1.51161 # DEPENDENCYPART_ARC
(17,3),-1.59295 # DEPENDENCYPART_ARC
(17,5),-2.9781 # DEPENDENCYPART_ARC
(17,6),-1.4165 # DEPENDENCYPART_ARC
(17,7),-1.49946 # DEPENDENCYPART_ARC
(17,8),-0.485937 # DEPENDENCYPART_ARC
(17,9),-0.054585 # DEPENDENCYPART_ARC
(17,10),-2.1638 # DEPENDENCYPART_ARC
(17,11),-0.222359 # DEPENDENCYPART_ARC
(17,12),-0.970648 # DEPENDENCYPART_ARC
(17,13),-1.83035 # DEPENDENCYPART_ARC
(17,14),-0.186521 # DEPENDENCYPART_ARC
(17,15),0.202149 # DEPENDENCYPART_ARC
(17,16),-0.483168 # DEPENDENCYPART_ARC
(17,18),3.06988 # DEPENDENCYPART_ARC
(17,19),1.47612 # DEPENDENCYPART_ARC
(18,9),-1.38677 # DEPENDENCYPART_ARC
(18,12),-2.6698 # DEPENDENCYPART_ARC
(18,13),-0.83711 # DEPENDENCYPART_ARC
(18,14),-3.12041 # DEPENDENCYPART_ARC
(18,15),-0.680603 # DEPENDENCYPART_ARC
(18,16),-1.06513 # DEPENDENCYPART_ARC
(18,17),-0.966079 # DEPENDENCYPART_ARC
(18,19),-0.08953 # DEPENDENCYPART_ARC
