# _root_ A társadalmi munkákat halmozó Kukorelli a Magyar_Politikatudományi_Társaság , a Független_Jogász_Fórum és a Népfőiskolai_Társaság tagja , emellett több tanácsadó testület és kodifikációs bizottság munkájában is közreműködik .
#goldHeads=5,3,4,5,0,7,14,14,10,14,14,13,14,5,5,25,19,19,23,23,22,23,25,25,5,5,
#predictedHeads=3,3,4,5,25,7,25,25,10,14,14,13,14,25,25,25,19,19,25,23,22,23,25,25,0,25,
(11,22),-0.986674 # DEPENDENCYPART_ARC
(11,23),-1.92952 # DEPENDENCYPART_ARC
(11,24),-1.2507 # DEPENDENCYPART_ARC
(11,25),-0.870492 # DEPENDENCYPART_ARC
(11,26),-0.277808 # DEPENDENCYPART_ARC
(12,11),-0.34942 # DEPENDENCYPART_ARC
(13,6),-1.86716 # DEPENDENCYPART_ARC
(13,9),-0.67391 # DEPENDENCYPART_ARC
(13,12),2.35117 # DEPENDENCYPART_ARC
(14,3),-4.53611 # DEPENDENCYPART_ARC
(14,5),-1.69853 # DEPENDENCYPART_ARC
(14,6),-2.29335 # DEPENDENCYPART_ARC
(14,7),-0.739118 # DEPENDENCYPART_ARC
(14,8),-0.507684 # DEPENDENCYPART_ARC
(14,9),-1.52846 # DEPENDENCYPART_ARC
(14,10),1.08578 # DEPENDENCYPART_ARC
(14,11),0.864863 # DEPENDENCYPART_ARC
(14,12),0.866477 # DEPENDENCYPART_ARC
(14,13),3.72305 # DEPENDENCYPART_ARC
(14,15),0.372321 # DEPENDENCYPART_ARC
(14,17),-0.629101 # DEPENDENCYPART_ARC
(14,19),-0.341675 # DEPENDENCYPART_ARC
(14,20),-0.255753 # DEPENDENCYPART_ARC
(14,22),-0.799366 # DEPENDENCYPART_ARC
(14,23),-1.41146 # DEPENDENCYPART_ARC
(14,24),-0.948574 # DEPENDENCYPART_ARC
(14,25),-1.4931 # DEPENDENCYPART_ARC
(14,26),-0.0161691 # DEPENDENCYPART_ARC
(16,4),-0.410817 # DEPENDENCYPART_ARC
(16,14),-0.69839 # DEPENDENCYPART_ARC
(16,15),0.0920701 # DEPENDENCYPART_ARC
(16,18),0.122512 # DEPENDENCYPART_ARC
(16,19),-0.237741 # DEPENDENCYPART_ARC
(16,20),0.0567922 # DEPENDENCYPART_ARC
(16,22),-0.690303 # DEPENDENCYPART_ARC
(16,23),-0.799609 # DEPENDENCYPART_ARC
(16,25),-0.457442 # DEPENDENCYPART_ARC
(16,26),-0.154787 # DEPENDENCYPART_ARC
(17,5),-1.43967 # DEPENDENCYPART_ARC
(17,13),-0.786616 # DEPENDENCYPART_ARC
(17,14),-1.19801 # DEPENDENCYPART_ARC
(17,16),0.189389 # DEPENDENCYPART_ARC
(17,18),-0.225337 # DEPENDENCYPART_ARC
(17,19),-0.159159 # DEPENDENCYPART_ARC
(17,20),-0.373874 # DEPENDENCYPART_ARC
(17,21),-0.84232 # DEPENDENCYPART_ARC
(17,22),-0.769307 # DEPENDENCYPART_ARC
(17,23),-1.15586 # DEPENDENCYPART_ARC
(17,25),-0.731812 # DEPENDENCYPART_ARC
(17,26),-0.230329 # DEPENDENCYPART_ARC
(18,3),-1.44576 # DEPENDENCYPART_ARC
(18,5),-2.74513 # DEPENDENCYPART_ARC
(18,7),-2.24575 # DEPENDENCYPART_ARC
(18,10),-1.40189 # DEPENDENCYPART_ARC
(18,11),-0.315563 # DEPENDENCYPART_ARC
(18,12),-0.782629 # DEPENDENCYPART_ARC
(18,13),-0.957845 # DEPENDENCYPART_ARC
(18,14),-1.79703 # DEPENDENCYPART_ARC
(18,15),-0.103072 # DEPENDENCYPART_ARC
(18,16),0.744127 # DEPENDENCYPART_ARC
(18,17),1.6559 # DEPENDENCYPART_ARC
(19,3),-4.75818 # DEPENDENCYPART_ARC
(19,6),-1.2282 # DEPENDENCYPART_ARC
(19,7),-1.57542 # DEPENDENCYPART_ARC
(19,9),-0.456534 # DEPENDENCYPART_ARC
(19,10),-0.295778 # DEPENDENCYPART_ARC
(19,11),-0.543263 # DEPENDENCYPART_ARC
(19,12),0.821358 # DEPENDENCYPART_ARC
(19,13),0.652627 # DEPENDENCYPART_ARC
(19,14),-2.24515 # DEPENDENCYPART_ARC
(19,15),-0.00321493 # DEPENDENCYPART_ARC
(19,16),0.239663 # DEPENDENCYPART_ARC
(19,17),1.81882 # DEPENDENCYPART_ARC
(19,18),3.29739 # DEPENDENCYPART_ARC
(19,22),-1.36852 # DEPENDENCYPART_ARC
(19,23),-2.25478 # DEPENDENCYPART_ARC
(20,4),-1.01548 # DEPENDENCYPART_ARC
(20,5),-0.635553 # DEPENDENCYPART_ARC
(20,8),-0.53006 # DEPENDENCYPART_ARC
(20,11),-0.316018 # DEPENDENCYPART_ARC
(20,13),-0.6429 # DEPENDENCYPART_ARC
(20,15),0.282482 # DEPENDENCYPART_ARC
(20,16),-0.390233 # DEPENDENCYPART_ARC
(20,17),-0.405311 # DEPENDENCYPART_ARC
(20,18),-0.593411 # DEPENDENCYPART_ARC
(20,19),0.122056 # DEPENDENCYPART_ARC
(20,21),-0.227414 # DEPENDENCYPART_ARC
(20,22),0.347146 # DEPENDENCYPART_ARC
(20,23),-0.665772 # DEPENDENCYPART_ARC
(20,24),-0.487865 # DEPENDENCYPART_ARC
(20,25),-0.226356 # DEPENDENCYPART_ARC
(20,26),0.214025 # DEPENDENCYPART_ARC
(21,10),-1.24204 # DEPENDENCYPART_ARC
(21,11),-0.299305 # DEPENDENCYPART_ARC
(21,13),-0.776737 # DEPENDENCYPART_ARC
(21,14),-1.78908 # DEPENDENCYPART_ARC
(21,16),0.0617747 # DEPENDENCYPART_ARC
(21,17),0.0470997 # DEPENDENCYPART_ARC
(21,18),-0.350698 # DEPENDENCYPART_ARC
(21,19),-0.273187 # DEPENDENCYPART_ARC
(21,20),0.986605 # DEPENDENCYPART_ARC
(21,23),-0.920011 # DEPENDENCYPART_ARC
(21,24),-1.56111 # DEPENDENCYPART_ARC
(22,3),-4.50073 # DEPENDENCYPART_ARC
(22,4),-0.743498 # DEPENDENCYPART_ARC
(22,5),-1.84568 # DEPENDENCYPART_ARC
(22,6),-1.20767 # DEPENDENCYPART_ARC
(22,7),-1.34526 # DEPENDENCYPART_ARC
(22,8),-0.379262 # DEPENDENCYPART_ARC
(22,9),-0.300914 # DEPENDENCYPART_ARC
(22,10),-0.131532 # DEPENDENCYPART_ARC
(22,11),-0.428279 # DEPENDENCYPART_ARC
(22,12),0.845459 # DEPENDENCYPART_ARC
(22,13),0.897435 # DEPENDENCYPART_ARC
(22,14),-2.31498 # DEPENDENCYPART_ARC
(22,15),0.241056 # DEPENDENCYPART_ARC
(22,16),0.0274244 # DEPENDENCYPART_ARC
(22,17),0.696549 # DEPENDENCYPART_ARC
(22,18),1.97282 # DEPENDENCYPART_ARC
(22,19),0.231858 # DEPENDENCYPART_ARC
(22,20),1.16247 # DEPENDENCYPART_ARC
(22,21),3.31699 # DEPENDENCYPART_ARC
(22,23),-1.08186 # DEPENDENCYPART_ARC
(23,3),-3.82968 # DEPENDENCYPART_ARC
(23,5),-2.05157 # DEPENDENCYPART_ARC
(23,7),-1.3778 # DEPENDENCYPART_ARC
(23,8),-0.0957845 # DEPENDENCYPART_ARC
(23,9),-1.63795 # DEPENDENCYPART_ARC
(23,10),0.0392897 # DEPENDENCYPART_ARC
(23,11),0.302791 # DEPENDENCYPART_ARC
(23,12),-0.543309 # DEPENDENCYPART_ARC
(23,13),0.722777 # DEPENDENCYPART_ARC
(23,14),-1.27035 # DEPENDENCYPART_ARC
(23,15),0.447539 # DEPENDENCYPART_ARC
(23,16),-0.245599 # DEPENDENCYPART_ARC
(23,17),-0.122019 # DEPENDENCYPART_ARC
(23,18),0.529445 # DEPENDENCYPART_ARC
(23,19),1.23897 # DEPENDENCYPART_ARC
(23,20),1.25814 # DEPENDENCYPART_ARC
(23,21),1.47216 # DEPENDENCYPART_ARC
(23,22),3.34826 # DEPENDENCYPART_ARC
(23,24),-1.01968 # DEPENDENCYPART_ARC
(24,4),-1.02209 # DEPENDENCYPART_ARC
(24,16),-0.635969 # DEPENDENCYPART_ARC
(24,17),-0.571747 # DEPENDENCYPART_ARC
(24,18),-0.812771 # DEPENDENCYPART_ARC
(24,19),-1.33008 # DEPENDENCYPART_ARC
(24,20),-0.339951 # DEPENDENCYPART_ARC
(24,21),-0.367634 # DEPENDENCYPART_ARC
(24,22),-0.901335 # DEPENDENCYPART_ARC
(24,23),-0.377887 # DEPENDENCYPART_ARC
(24,26),-0.366057 # DEPENDENCYPART_ARC
(25,2),-0.961405 # DEPENDENCYPART_ARC
(25,3),-0.56074 # DEPENDENCYPART_ARC
(25,4),-0.685751 # DEPENDENCYPART_ARC
(25,5),1.40401 # DEPENDENCYPART_ARC
(25,6),-0.428673 # DEPENDENCYPART_ARC
(25,7),0.25148 # DEPENDENCYPART_ARC
(25,8),0.855033 # DEPENDENCYPART_ARC
(25,9),-0.513809 # DEPENDENCYPART_ARC
(25,10),0.966034 # DEPENDENCYPART_ARC
(25,11),0.594915 # DEPENDENCYPART_ARC
(25,12),-0.587996 # DEPENDENCYPART_ARC
(25,13),0.801445 # DEPENDENCYPART_ARC
(25,14),0.68207 # DEPENDENCYPART_ARC
(25,15),0.899067 # DEPENDENCYPART_ARC
(25,16),1.41855 # DEPENDENCYPART_ARC
(25,17),-0.509311 # DEPENDENCYPART_ARC
(25,18),-0.104572 # DEPENDENCYPART_ARC
(25,19),1.96123 # DEPENDENCYPART_ARC
(25,20),1.19412 # DEPENDENCYPART_ARC
(25,21),0.373767 # DEPENDENCYPART_ARC
(25,22),2.2981 # DEPENDENCYPART_ARC
(25,23),2.95846 # DEPENDENCYPART_ARC
(25,24),3.09608 # DEPENDENCYPART_ARC
(25,26),1.37358 # DEPENDENCYPART_ARC
