# _root_ Mint mondja , ősszel ők ketten lőtték a csapat góljainak felét , és ők vittek látványosságot a játékba .
#goldHeads=2,0,2,7,7,7,2,9,10,7,7,2,2,15,2,15,18,15,2,
#predictedHeads=2,13,2,7,7,7,13,9,10,7,7,13,0,15,13,15,18,15,2,
(6,15),-1.71969 # DEPENDENCYPART_ARC
(6,16),-2.54767 # DEPENDENCYPART_ARC
(6,18),-2.54698 # DEPENDENCYPART_ARC
(6,19),-0.130882 # DEPENDENCYPART_ARC
(7,1),0.156078 # DEPENDENCYPART_ARC
(7,2),0.405517 # DEPENDENCYPART_ARC
(7,3),0.675912 # DEPENDENCYPART_ARC
(7,4),1.56451 # DEPENDENCYPART_ARC
(7,5),1.28623 # DEPENDENCYPART_ARC
(7,6),3.28133 # DEPENDENCYPART_ARC
(7,8),-0.349185 # DEPENDENCYPART_ARC
(7,9),0.993163 # DEPENDENCYPART_ARC
(7,10),2.7156 # DEPENDENCYPART_ARC
(7,11),3.05317 # DEPENDENCYPART_ARC
(7,12),1.51109 # DEPENDENCYPART_ARC
(7,13),0.728595 # DEPENDENCYPART_ARC
(7,14),-1.43145 # DEPENDENCYPART_ARC
(7,15),0.441895 # DEPENDENCYPART_ARC
(7,16),0.172611 # DEPENDENCYPART_ARC
(7,18),-0.299464 # DEPENDENCYPART_ARC
(7,19),2.29582 # DEPENDENCYPART_ARC
(9,4),-1.80283 # DEPENDENCYPART_ARC
(9,5),-2.41769 # DEPENDENCYPART_ARC
(9,6),-2.49457 # DEPENDENCYPART_ARC
(9,8),2.46454 # DEPENDENCYPART_ARC
(10,2),-2.92588 # DEPENDENCYPART_ARC
(10,3),-1.34175 # DEPENDENCYPART_ARC
(10,4),-0.676125 # DEPENDENCYPART_ARC
(10,5),-0.520443 # DEPENDENCYPART_ARC
(10,6),-2.78091 # DEPENDENCYPART_ARC
(10,7),-1.20934 # DEPENDENCYPART_ARC
(10,8),1.21028 # DEPENDENCYPART_ARC
(10,9),4.81276 # DEPENDENCYPART_ARC
(10,11),-1.71709 # DEPENDENCYPART_ARC
(10,12),-0.645079 # DEPENDENCYPART_ARC
(10,13),-0.959088 # DEPENDENCYPART_ARC
(11,2),-2.3769 # DEPENDENCYPART_ARC
(11,3),-1.28279 # DEPENDENCYPART_ARC
(11,4),-0.686118 # DEPENDENCYPART_ARC
(11,5),-1.7721 # DEPENDENCYPART_ARC
(11,6),-2.89603 # DEPENDENCYPART_ARC
(11,8),0.244928 # DEPENDENCYPART_ARC
(11,9),3.07837 # DEPENDENCYPART_ARC
(11,10),1.29785 # DEPENDENCYPART_ARC
(11,12),0.0578067 # DEPENDENCYPART_ARC
(11,13),-0.690983 # DEPENDENCYPART_ARC
(11,15),-0.740442 # DEPENDENCYPART_ARC
(11,16),-1.8767 # DEPENDENCYPART_ARC
(11,18),-2.73841 # DEPENDENCYPART_ARC
(13,2),1.0429 # DEPENDENCYPART_ARC
(13,3),0.808925 # DEPENDENCYPART_ARC
(13,4),-0.278867 # DEPENDENCYPART_ARC
(13,6),-0.307232 # DEPENDENCYPART_ARC
(13,7),1.74236 # DEPENDENCYPART_ARC
(13,8),-0.697149 # DEPENDENCYPART_ARC
(13,9),-0.193617 # DEPENDENCYPART_ARC
(13,10),0.172565 # DEPENDENCYPART_ARC
(13,11),-0.610969 # DEPENDENCYPART_ARC
(13,12),2.06071 # DEPENDENCYPART_ARC
(13,15),2.05672 # DEPENDENCYPART_ARC
(13,16),-0.202174 # DEPENDENCYPART_ARC
(13,18),-1.02147 # DEPENDENCYPART_ARC
(13,19),2.88807 # DEPENDENCYPART_ARC
(14,2),-0.386032 # DEPENDENCYPART_ARC
(14,7),-0.276191 # DEPENDENCYPART_ARC
(14,12),-0.191749 # DEPENDENCYPART_ARC
(14,13),0.405847 # DEPENDENCYPART_ARC
(14,16),-0.487172 # DEPENDENCYPART_ARC
(14,18),-0.580409 # DEPENDENCYPART_ARC
(14,19),-0.326742 # DEPENDENCYPART_ARC
(15,1),-0.737218 # DEPENDENCYPART_ARC
(15,2),-1.41429 # DEPENDENCYPART_ARC
(15,3),-0.759086 # DEPENDENCYPART_ARC
(15,4),-0.457981 # DEPENDENCYPART_ARC
(15,5),-1.43971 # DEPENDENCYPART_ARC
(15,6),-0.0483913 # DEPENDENCYPART_ARC
(15,7),-1.47397 # DEPENDENCYPART_ARC
(15,8),-1.48481 # DEPENDENCYPART_ARC
(15,9),-0.925802 # DEPENDENCYPART_ARC
(15,10),0.787775 # DEPENDENCYPART_ARC
(15,11),-0.673429 # DEPENDENCYPART_ARC
(15,12),0.370129 # DEPENDENCYPART_ARC
(15,13),0.0995535 # DEPENDENCYPART_ARC
(15,14),1.85206 # DEPENDENCYPART_ARC
(15,16),1.93346 # DEPENDENCYPART_ARC
(15,17),-0.700889 # DEPENDENCYPART_ARC
(15,18),1.45804 # DEPENDENCYPART_ARC
(15,19),1.4878 # DEPENDENCYPART_ARC
(16,4),-1.69876 # DEPENDENCYPART_ARC
(16,6),-3.20604 # DEPENDENCYPART_ARC
(16,8),-0.873861 # DEPENDENCYPART_ARC
(16,9),-2.37673 # DEPENDENCYPART_ARC
(16,10),-4.25005 # DEPENDENCYPART_ARC
(16,11),-4.52797 # DEPENDENCYPART_ARC
(16,13),-0.720397 # DEPENDENCYPART_ARC
(16,14),-0.977032 # DEPENDENCYPART_ARC
(16,15),-0.0864755 # DEPENDENCYPART_ARC
(16,17),-0.774424 # DEPENDENCYPART_ARC
(16,18),-0.932412 # DEPENDENCYPART_ARC
(16,19),0.16014 # DEPENDENCYPART_ARC
(18,13),-1.01222 # DEPENDENCYPART_ARC
(18,14),-2.78199 # DEPENDENCYPART_ARC
(18,16),-2.5162 # DEPENDENCYPART_ARC
(18,17),2.648 # DEPENDENCYPART_ARC
