# _root_ Amikor Freit megválasztottuk , sokkal erőteljesebben felléphetett volna a hadsereggel és Pinochettel szemben , hiszen ma a demokrácia már nincs veszélyben .
#goldHeads=3,3,7,7,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
#predictedHeads=3,3,7,3,6,7,15,7,10,13,13,13,7,15,0,20,18,20,20,15,20,15,
(5,20),-1.03857 # DEPENDENCYPART_ARC
(5,21),-1.99587 # DEPENDENCYPART_ARC
(5,22),-0.223624 # DEPENDENCYPART_ARC
(6,1),-0.311579 # DEPENDENCYPART_ARC
(6,2),-2.17598 # DEPENDENCYPART_ARC
(6,3),-0.463452 # DEPENDENCYPART_ARC
(6,4),0.299309 # DEPENDENCYPART_ARC
(6,5),1.88273 # DEPENDENCYPART_ARC
(6,10),-1.33289 # DEPENDENCYPART_ARC
(6,20),-1.65272 # DEPENDENCYPART_ARC
(6,22),0.469063 # DEPENDENCYPART_ARC
(7,1),0.595087 # DEPENDENCYPART_ARC
(7,2),0.337145 # DEPENDENCYPART_ARC
(7,3),0.787783 # DEPENDENCYPART_ARC
(7,4),1.38114 # DEPENDENCYPART_ARC
(7,5),1.32207 # DEPENDENCYPART_ARC
(7,6),3.11086 # DEPENDENCYPART_ARC
(7,8),3.9841 # DEPENDENCYPART_ARC
(7,9),-0.527597 # DEPENDENCYPART_ARC
(7,10),0.461198 # DEPENDENCYPART_ARC
(7,11),0.905108 # DEPENDENCYPART_ARC
(7,12),-0.187406 # DEPENDENCYPART_ARC
(7,13),0.941141 # DEPENDENCYPART_ARC
(7,14),1.27828 # DEPENDENCYPART_ARC
(7,15),0.587486 # DEPENDENCYPART_ARC
(7,16),-0.0895433 # DEPENDENCYPART_ARC
(7,18),-1.70238 # DEPENDENCYPART_ARC
(7,19),-0.452417 # DEPENDENCYPART_ARC
(7,20),1.02628 # DEPENDENCYPART_ARC
(7,21),-0.690242 # DEPENDENCYPART_ARC
(7,22),2.45807 # DEPENDENCYPART_ARC
(8,3),-0.187119 # DEPENDENCYPART_ARC
(8,4),-0.120231 # DEPENDENCYPART_ARC
(8,5),0.0408129 # DEPENDENCYPART_ARC
(8,6),1.58624 # DEPENDENCYPART_ARC
(8,7),0.43895 # DEPENDENCYPART_ARC
(8,10),-0.108854 # DEPENDENCYPART_ARC
(8,11),-0.115643 # DEPENDENCYPART_ARC
(8,12),-1.27513 # DEPENDENCYPART_ARC
(8,13),0.495257 # DEPENDENCYPART_ARC
(8,14),-0.010963 # DEPENDENCYPART_ARC
(8,15),-0.812399 # DEPENDENCYPART_ARC
(8,18),-3.16007 # DEPENDENCYPART_ARC
(8,20),0.101179 # DEPENDENCYPART_ARC
(8,22),1.29624 # DEPENDENCYPART_ARC
(10,9),2.40008 # DEPENDENCYPART_ARC
(11,3),-0.128638 # DEPENDENCYPART_ARC
(11,4),1.01743 # DEPENDENCYPART_ARC
(11,5),-0.943053 # DEPENDENCYPART_ARC
(11,6),-0.546172 # DEPENDENCYPART_ARC
(11,7),0.684992 # DEPENDENCYPART_ARC
(11,8),0.591226 # DEPENDENCYPART_ARC
(11,9),-0.565152 # DEPENDENCYPART_ARC
(11,10),-0.0197275 # DEPENDENCYPART_ARC
(11,12),-0.551219 # DEPENDENCYPART_ARC
(11,13),-0.417059 # DEPENDENCYPART_ARC
(11,14),-0.598408 # DEPENDENCYPART_ARC
(11,15),-0.587344 # DEPENDENCYPART_ARC
(11,16),-0.917106 # DEPENDENCYPART_ARC
(11,18),-1.48285 # DEPENDENCYPART_ARC
(11,19),-0.963065 # DEPENDENCYPART_ARC
(11,20),-0.653502 # DEPENDENCYPART_ARC
(11,21),-2.30077 # DEPENDENCYPART_ARC
(11,22),0.489578 # DEPENDENCYPART_ARC
(12,5),-1.07606 # DEPENDENCYPART_ARC
(12,9),0.789776 # DEPENDENCYPART_ARC
(12,10),-0.272873 # DEPENDENCYPART_ARC
(12,11),0.742529 # DEPENDENCYPART_ARC
(12,14),-0.830486 # DEPENDENCYPART_ARC
(12,16),-1.21952 # DEPENDENCYPART_ARC
(12,18),-2.70354 # DEPENDENCYPART_ARC
(13,2),-0.829835 # DEPENDENCYPART_ARC
(13,4),-0.497457 # DEPENDENCYPART_ARC
(13,5),-0.472621 # DEPENDENCYPART_ARC
(13,6),-0.639243 # DEPENDENCYPART_ARC
(13,9),-0.147375 # DEPENDENCYPART_ARC
(13,10),1.45087 # DEPENDENCYPART_ARC
(13,11),2.08861 # DEPENDENCYPART_ARC
(13,12),3.79687 # DEPENDENCYPART_ARC
(13,14),0.179091 # DEPENDENCYPART_ARC
(13,15),-0.305408 # DEPENDENCYPART_ARC
(13,16),-0.27329 # DEPENDENCYPART_ARC
(13,18),-0.735332 # DEPENDENCYPART_ARC
(13,19),-0.212508 # DEPENDENCYPART_ARC
(13,20),-0.248801 # DEPENDENCYPART_ARC
(13,21),-1.11875 # DEPENDENCYPART_ARC
(15,2),-1.12497 # DEPENDENCYPART_ARC
(15,3),0.595889 # DEPENDENCYPART_ARC
(15,4),0.530413 # DEPENDENCYPART_ARC
(15,5),-0.460804 # DEPENDENCYPART_ARC
(15,6),-0.116723 # DEPENDENCYPART_ARC
(15,7),1.05214 # DEPENDENCYPART_ARC
(15,8),1.0857 # DEPENDENCYPART_ARC
(15,10),-0.647801 # DEPENDENCYPART_ARC
(15,11),0.370899 # DEPENDENCYPART_ARC
(15,12),-0.063337 # DEPENDENCYPART_ARC
(15,13),0.129551 # DEPENDENCYPART_ARC
(15,14),1.92756 # DEPENDENCYPART_ARC
(15,16),-0.142091 # DEPENDENCYPART_ARC
(15,18),-0.857611 # DEPENDENCYPART_ARC
(15,19),-0.297609 # DEPENDENCYPART_ARC
(15,20),1.36356 # DEPENDENCYPART_ARC
(15,21),-1.29677 # DEPENDENCYPART_ARC
(15,22),3.17775 # DEPENDENCYPART_ARC
(16,3),-0.933872 # DEPENDENCYPART_ARC
(16,7),-0.934868 # DEPENDENCYPART_ARC
(16,10),-0.950409 # DEPENDENCYPART_ARC
(16,11),-0.658149 # DEPENDENCYPART_ARC
(16,12),-0.738546 # DEPENDENCYPART_ARC
(16,13),-0.183245 # DEPENDENCYPART_ARC
(16,14),-0.242678 # DEPENDENCYPART_ARC
(16,15),-0.0665638 # DEPENDENCYPART_ARC
(16,18),-0.415638 # DEPENDENCYPART_ARC
(16,19),-0.402883 # DEPENDENCYPART_ARC
(16,21),-0.935178 # DEPENDENCYPART_ARC
(16,22),-0.174948 # DEPENDENCYPART_ARC
(17,21),-1.49305 # DEPENDENCYPART_ARC
(18,9),-1.0436 # DEPENDENCYPART_ARC
(18,16),-0.754914 # DEPENDENCYPART_ARC
(18,17),2.81638 # DEPENDENCYPART_ARC
(18,19),-0.728155 # DEPENDENCYPART_ARC
(18,21),-1.72213 # DEPENDENCYPART_ARC
(19,3),-1.11476 # DEPENDENCYPART_ARC
(19,11),-0.635853 # DEPENDENCYPART_ARC
(19,12),-1.29837 # DEPENDENCYPART_ARC
(19,13),-0.682882 # DEPENDENCYPART_ARC
(19,15),-0.915225 # DEPENDENCYPART_ARC
(19,16),-0.0247881 # DEPENDENCYPART_ARC
(19,18),-0.0164131 # DEPENDENCYPART_ARC
(19,21),-0.538341 # DEPENDENCYPART_ARC
(20,1),-0.12228 # DEPENDENCYPART_ARC
(20,2),-1.48314 # DEPENDENCYPART_ARC
(20,3),-0.443351 # DEPENDENCYPART_ARC
(20,4),0.561114 # DEPENDENCYPART_ARC
(20,5),-1.24331 # DEPENDENCYPART_ARC
(20,6),0.613288 # DEPENDENCYPART_ARC
(20,7),-0.405346 # DEPENDENCYPART_ARC
(20,9),-1.28089 # DEPENDENCYPART_ARC
(20,10),-0.757439 # DEPENDENCYPART_ARC
(20,11),0.823683 # DEPENDENCYPART_ARC
(20,12),-1.00984 # DEPENDENCYPART_ARC
(20,13),0.403636 # DEPENDENCYPART_ARC
(20,14),1.22263 # DEPENDENCYPART_ARC
(20,15),0.769329 # DEPENDENCYPART_ARC
(20,16),2.00122 # DEPENDENCYPART_ARC
(20,17),-1.03374 # DEPENDENCYPART_ARC
(20,18),2.1928 # DEPENDENCYPART_ARC
(20,19),3.13178 # DEPENDENCYPART_ARC
(20,21),3.35269 # DEPENDENCYPART_ARC
(20,22),1.49334 # DEPENDENCYPART_ARC
(21,13),-1.50824 # DEPENDENCYPART_ARC
(21,16),-1.17612 # DEPENDENCYPART_ARC
(21,17),-0.244351 # DEPENDENCYPART_ARC
(21,18),-2.50584 # DEPENDENCYPART_ARC
(21,19),-0.485013 # DEPENDENCYPART_ARC
