# _root_ Azon fáradozunk , hogy az utánpótlás-nevelésre fordítható öszszeg évről évre emelkedjen , ezzel is segítve a hazai labdarúgás kimozdulását a mély kátyúból .
#goldHeads=2,0,2,2,6,7,8,11,11,11,1,11,15,11,11,18,18,19,15,22,22,15,2,
#predictedHeads=2,0,2,2,6,7,9,9,11,11,1,15,15,15,1,18,18,19,15,22,22,15,2,
(4,12),0.207668 # DEPENDENCYPART_ARC
(4,14),-0.574985 # DEPENDENCYPART_ARC
(4,23),1.76756 # DEPENDENCYPART_ARC
(5,7),-0.366304 # DEPENDENCYPART_ARC
(6,1),-1.44706 # DEPENDENCYPART_ARC
(6,4),-1.16085 # DEPENDENCYPART_ARC
(6,5),2.57792 # DEPENDENCYPART_ARC
(7,1),-1.46647 # DEPENDENCYPART_ARC
(7,2),-0.56602 # DEPENDENCYPART_ARC
(7,3),-0.0275158 # DEPENDENCYPART_ARC
(7,4),-0.186403 # DEPENDENCYPART_ARC
(7,5),0.236719 # DEPENDENCYPART_ARC
(7,6),2.32559 # DEPENDENCYPART_ARC
(7,9),-0.770121 # DEPENDENCYPART_ARC
(7,10),-0.559162 # DEPENDENCYPART_ARC
(7,15),-0.86661 # DEPENDENCYPART_ARC
(7,23),0.122171 # DEPENDENCYPART_ARC
(8,2),0.113888 # DEPENDENCYPART_ARC
(8,3),0.377636 # DEPENDENCYPART_ARC
(8,4),0.523721 # DEPENDENCYPART_ARC
(8,5),1.1639 # DEPENDENCYPART_ARC
(8,6),0.856197 # DEPENDENCYPART_ARC
(8,7),1.69976 # DEPENDENCYPART_ARC
(8,9),-0.0379619 # DEPENDENCYPART_ARC
(8,10),-0.20167 # DEPENDENCYPART_ARC
(8,11),-0.412178 # DEPENDENCYPART_ARC
(8,12),-0.142606 # DEPENDENCYPART_ARC
(8,14),-0.209429 # DEPENDENCYPART_ARC
(8,18),-1.09041 # DEPENDENCYPART_ARC
(8,19),-1.15467 # DEPENDENCYPART_ARC
(8,22),-1.36433 # DEPENDENCYPART_ARC
(9,1),-1.23942 # DEPENDENCYPART_ARC
(9,2),-1.46693 # DEPENDENCYPART_ARC
(9,3),0.108276 # DEPENDENCYPART_ARC
(9,4),-0.682464 # DEPENDENCYPART_ARC
(9,5),1.27784 # DEPENDENCYPART_ARC
(9,6),-0.583612 # DEPENDENCYPART_ARC
(9,7),2.01561 # DEPENDENCYPART_ARC
(9,8),1.87869 # DEPENDENCYPART_ARC
(9,10),-1.07511 # DEPENDENCYPART_ARC
(10,1),-1.48075 # DEPENDENCYPART_ARC
(10,2),-2.82715 # DEPENDENCYPART_ARC
(10,3),-0.315985 # DEPENDENCYPART_ARC
(10,4),-0.574176 # DEPENDENCYPART_ARC
(10,5),0.168042 # DEPENDENCYPART_ARC
(10,6),-1.4874 # DEPENDENCYPART_ARC
(10,7),0.793008 # DEPENDENCYPART_ARC
(10,8),0.823468 # DEPENDENCYPART_ARC
(10,9),0.177022 # DEPENDENCYPART_ARC
(10,19),-2.96146 # DEPENDENCYPART_ARC
(11,1),-0.62473 # DEPENDENCYPART_ARC
(11,2),-0.466689 # DEPENDENCYPART_ARC
(11,3),0.0113755 # DEPENDENCYPART_ARC
(11,4),-0.477905 # DEPENDENCYPART_ARC
(11,5),-0.879817 # DEPENDENCYPART_ARC
(11,6),0.934378 # DEPENDENCYPART_ARC
(11,7),0.0851451 # DEPENDENCYPART_ARC
(11,8),0.433159 # DEPENDENCYPART_ARC
(11,9),1.67156 # DEPENDENCYPART_ARC
(11,10),3.2044 # DEPENDENCYPART_ARC
(11,12),1.20876 # DEPENDENCYPART_ARC
(11,13),-0.333343 # DEPENDENCYPART_ARC
(11,14),0.156185 # DEPENDENCYPART_ARC
(11,15),-0.375683 # DEPENDENCYPART_ARC
(11,16),-1.22557 # DEPENDENCYPART_ARC
(11,17),-1.2107 # DEPENDENCYPART_ARC
(11,18),-1.61708 # DEPENDENCYPART_ARC
(11,19),-0.783461 # DEPENDENCYPART_ARC
(11,21),-1.48282 # DEPENDENCYPART_ARC
(11,22),-0.853669 # DEPENDENCYPART_ARC
(11,23),1.67785 # DEPENDENCYPART_ARC
(13,2),-1.23774 # DEPENDENCYPART_ARC
(13,3),-0.204748 # DEPENDENCYPART_ARC
(13,4),-0.867531 # DEPENDENCYPART_ARC
(13,7),-0.966821 # DEPENDENCYPART_ARC
(13,8),-0.839765 # DEPENDENCYPART_ARC
(13,9),-1.24148 # DEPENDENCYPART_ARC
(13,10),-0.843852 # DEPENDENCYPART_ARC
(13,11),-0.47611 # DEPENDENCYPART_ARC
(13,12),-0.177846 # DEPENDENCYPART_ARC
(13,14),-1.01011 # DEPENDENCYPART_ARC
(13,15),-1.04722 # DEPENDENCYPART_ARC
(13,17),-1.24406 # DEPENDENCYPART_ARC
(13,18),-1.01102 # DEPENDENCYPART_ARC
(13,19),-1.44933 # DEPENDENCYPART_ARC
(13,21),-1.31276 # DEPENDENCYPART_ARC
(13,22),-1.36591 # DEPENDENCYPART_ARC
(13,23),-0.507982 # DEPENDENCYPART_ARC
(14,2),-2.09444 # DEPENDENCYPART_ARC
(14,11),-1.40236 # DEPENDENCYPART_ARC
(14,12),-1.12118 # DEPENDENCYPART_ARC
(14,13),-1.38026 # DEPENDENCYPART_ARC
(14,15),-1.10361 # DEPENDENCYPART_ARC
(14,17),-1.05319 # DEPENDENCYPART_ARC
(14,18),-1.27519 # DEPENDENCYPART_ARC
(14,19),-1.51654 # DEPENDENCYPART_ARC
(14,22),-2.05605 # DEPENDENCYPART_ARC
(14,23),-0.648797 # DEPENDENCYPART_ARC
(15,3),0.907002 # DEPENDENCYPART_ARC
(15,6),0.712061 # DEPENDENCYPART_ARC
(15,9),0.592609 # DEPENDENCYPART_ARC
(15,10),0.615323 # DEPENDENCYPART_ARC
(15,12),1.40699 # DEPENDENCYPART_ARC
(15,13),1.55919 # DEPENDENCYPART_ARC
(15,14),1.8589 # DEPENDENCYPART_ARC
(15,17),1.01513 # DEPENDENCYPART_ARC
(15,18),0.779366 # DEPENDENCYPART_ARC
(15,19),0.889306 # DEPENDENCYPART_ARC
(15,22),0.43966 # DEPENDENCYPART_ARC
(15,23),1.5237 # DEPENDENCYPART_ARC
(16,17),0.23482 # DEPENDENCYPART_ARC
(16,21),-0.647784 # DEPENDENCYPART_ARC
(17,13),-1.99954 # DEPENDENCYPART_ARC
(17,15),-0.867817 # DEPENDENCYPART_ARC
(17,16),0.147008 # DEPENDENCYPART_ARC
(17,22),-1.95415 # DEPENDENCYPART_ARC
(18,5),-1.17695 # DEPENDENCYPART_ARC
(18,7),-0.827796 # DEPENDENCYPART_ARC
(18,8),-0.707004 # DEPENDENCYPART_ARC
(18,11),-1.87047 # DEPENDENCYPART_ARC
(18,12),-0.881629 # DEPENDENCYPART_ARC
(18,13),-2.32227 # DEPENDENCYPART_ARC
(18,14),-0.433781 # DEPENDENCYPART_ARC
(18,15),-0.410925 # DEPENDENCYPART_ARC
(18,16),2.40781 # DEPENDENCYPART_ARC
(18,17),3.62567 # DEPENDENCYPART_ARC
(18,22),-1.80998 # DEPENDENCYPART_ARC
(19,6),-2.933 # DEPENDENCYPART_ARC
(19,8),-0.281457 # DEPENDENCYPART_ARC
(19,9),-3.37519 # DEPENDENCYPART_ARC
(19,11),-2.99343 # DEPENDENCYPART_ARC
(19,12),-0.391393 # DEPENDENCYPART_ARC
(19,13),-2.62195 # DEPENDENCYPART_ARC
(19,14),-0.109615 # DEPENDENCYPART_ARC
(19,15),-0.0435149 # DEPENDENCYPART_ARC
(19,16),0.838441 # DEPENDENCYPART_ARC
(19,17),1.9984 # DEPENDENCYPART_ARC
(19,18),4.02935 # DEPENDENCYPART_ARC
(19,20),-1.12755 # DEPENDENCYPART_ARC
(19,21),-0.529199 # DEPENDENCYPART_ARC
(19,22),-1.3804 # DEPENDENCYPART_ARC
(19,23),0.0654874 # DEPENDENCYPART_ARC
(20,21),0.243281 # DEPENDENCYPART_ARC
(21,13),-2.00953 # DEPENDENCYPART_ARC
(21,16),-1.14995 # DEPENDENCYPART_ARC
(21,18),-1.75554 # DEPENDENCYPART_ARC
(21,19),-1.14859 # DEPENDENCYPART_ARC
(21,20),0.399323 # DEPENDENCYPART_ARC
(22,8),-0.706267 # DEPENDENCYPART_ARC
(22,11),-2.44178 # DEPENDENCYPART_ARC
(22,13),-1.82943 # DEPENDENCYPART_ARC
(22,14),-0.877576 # DEPENDENCYPART_ARC
(22,15),-0.935063 # DEPENDENCYPART_ARC
(22,16),0.123339 # DEPENDENCYPART_ARC
(22,17),0.856168 # DEPENDENCYPART_ARC
(22,18),-0.497517 # DEPENDENCYPART_ARC
(22,19),-3.28398 # DEPENDENCYPART_ARC
(22,20),2.42557 # DEPENDENCYPART_ARC
(22,21),3.64601 # DEPENDENCYPART_ARC
(22,23),-0.441322 # DEPENDENCYPART_ARC
