# _root_ Az érdekvédők továbbra is ragaszkodtak ahhoz , hogy az ÉT még április 9. , a részben helyébe lépő Gazdasági_Tanács összehívása előtt üljön össze .
#goldHeads=2,5,5,5,0,5,5,5,10,22,22,13,21,21,19,18,18,19,20,21,22,6,22,5,
#predictedHeads=2,5,5,5,0,5,5,5,10,13,5,13,5,5,19,18,18,19,20,21,22,6,22,5,
(13,9),-0.0885532 # DEPENDENCYPART_ARC
(13,10),1.3479 # DEPENDENCYPART_ARC
(13,11),0.438417 # DEPENDENCYPART_ARC
(13,12),4.10158 # DEPENDENCYPART_ARC
(13,14),0.246474 # DEPENDENCYPART_ARC
(13,17),-1.65394 # DEPENDENCYPART_ARC
(13,19),-0.623018 # DEPENDENCYPART_ARC
(13,20),-0.766183 # DEPENDENCYPART_ARC
(13,21),-0.518694 # DEPENDENCYPART_ARC
(13,22),-1.90101 # DEPENDENCYPART_ARC
(13,24),0.0324394 # DEPENDENCYPART_ARC
(15,18),-0.201781 # DEPENDENCYPART_ARC
(16,11),-0.992372 # DEPENDENCYPART_ARC
(16,15),0.413156 # DEPENDENCYPART_ARC
(16,17),-0.709215 # DEPENDENCYPART_ARC
(16,19),-1.04693 # DEPENDENCYPART_ARC
(16,21),-0.58799 # DEPENDENCYPART_ARC
(17,9),-1.81819 # DEPENDENCYPART_ARC
(17,12),0.553634 # DEPENDENCYPART_ARC
(17,13),-1.37527 # DEPENDENCYPART_ARC
(17,14),0.0273653 # DEPENDENCYPART_ARC
(17,15),-0.063194 # DEPENDENCYPART_ARC
(17,16),0.882771 # DEPENDENCYPART_ARC
(17,18),-0.588702 # DEPENDENCYPART_ARC
(17,19),-0.223095 # DEPENDENCYPART_ARC
(17,20),-1.11795 # DEPENDENCYPART_ARC
(17,21),-0.131778 # DEPENDENCYPART_ARC
(18,2),-1.65033 # DEPENDENCYPART_ARC
(18,3),-0.374126 # DEPENDENCYPART_ARC
(18,4),-0.143688 # DEPENDENCYPART_ARC
(18,5),-0.49092 # DEPENDENCYPART_ARC
(18,6),0.0483659 # DEPENDENCYPART_ARC
(18,7),0.080295 # DEPENDENCYPART_ARC
(18,8),0.203367 # DEPENDENCYPART_ARC
(18,10),0.244559 # DEPENDENCYPART_ARC
(18,11),0.758699 # DEPENDENCYPART_ARC
(18,12),-0.171835 # DEPENDENCYPART_ARC
(18,13),-0.683309 # DEPENDENCYPART_ARC
(18,14),0.621645 # DEPENDENCYPART_ARC
(18,15),0.41548 # DEPENDENCYPART_ARC
(18,16),2.46153 # DEPENDENCYPART_ARC
(18,17),3.11489 # DEPENDENCYPART_ARC
(18,19),-0.489744 # DEPENDENCYPART_ARC
(19,9),-0.232963 # DEPENDENCYPART_ARC
(19,10),-1.31358 # DEPENDENCYPART_ARC
(19,12),-1.10966 # DEPENDENCYPART_ARC
(19,15),1.37664 # DEPENDENCYPART_ARC
(19,16),0.350611 # DEPENDENCYPART_ARC
(19,17),-0.535614 # DEPENDENCYPART_ARC
(19,18),2.61241 # DEPENDENCYPART_ARC
(20,6),-3.62061 # DEPENDENCYPART_ARC
(20,7),0.0437377 # DEPENDENCYPART_ARC
(20,9),-1.21117 # DEPENDENCYPART_ARC
(20,10),-0.143261 # DEPENDENCYPART_ARC
(20,11),-0.191073 # DEPENDENCYPART_ARC
(20,12),0.966619 # DEPENDENCYPART_ARC
(20,13),-1.37444 # DEPENDENCYPART_ARC
(20,14),0.685215 # DEPENDENCYPART_ARC
(20,15),-0.00514676 # DEPENDENCYPART_ARC
(20,16),0.292214 # DEPENDENCYPART_ARC
(20,17),-1.5335 # DEPENDENCYPART_ARC
(20,18),1.85342 # DEPENDENCYPART_ARC
(20,19),3.85638 # DEPENDENCYPART_ARC
(21,4),-1.867 # DEPENDENCYPART_ARC
(21,7),-0.426784 # DEPENDENCYPART_ARC
(21,12),-0.849285 # DEPENDENCYPART_ARC
(21,13),0.104257 # DEPENDENCYPART_ARC
(21,14),0.398436 # DEPENDENCYPART_ARC
(21,15),-0.0996531 # DEPENDENCYPART_ARC
(21,16),0.156891 # DEPENDENCYPART_ARC
(21,17),0.661021 # DEPENDENCYPART_ARC
(21,18),0.125316 # DEPENDENCYPART_ARC
(21,19),1.15739 # DEPENDENCYPART_ARC
(21,20),4.48226 # DEPENDENCYPART_ARC
(22,2),-0.816911 # DEPENDENCYPART_ARC
(22,3),-0.076139 # DEPENDENCYPART_ARC
(22,4),-1.10835 # DEPENDENCYPART_ARC
(22,5),-0.959118 # DEPENDENCYPART_ARC
(22,6),-0.613869 # DEPENDENCYPART_ARC
(22,7),0.216357 # DEPENDENCYPART_ARC
(22,8),-0.612474 # DEPENDENCYPART_ARC
(22,9),-0.76632 # DEPENDENCYPART_ARC
(22,10),0.619194 # DEPENDENCYPART_ARC
(22,11),0.332235 # DEPENDENCYPART_ARC
(22,12),0.233478 # DEPENDENCYPART_ARC
(22,13),0.114232 # DEPENDENCYPART_ARC
(22,14),0.929642 # DEPENDENCYPART_ARC
(22,15),-0.969362 # DEPENDENCYPART_ARC
(22,16),0.543961 # DEPENDENCYPART_ARC
(22,17),0.792845 # DEPENDENCYPART_ARC
(22,18),0.331703 # DEPENDENCYPART_ARC
(22,19),1.55649 # DEPENDENCYPART_ARC
(22,20),1.09469 # DEPENDENCYPART_ARC
(22,21),2.43035 # DEPENDENCYPART_ARC
(22,23),2.42794 # DEPENDENCYPART_ARC
(22,24),1.53878 # DEPENDENCYPART_ARC
(23,8),-0.600796 # DEPENDENCYPART_ARC
(23,13),-0.744298 # DEPENDENCYPART_ARC
(23,17),-0.0748617 # DEPENDENCYPART_ARC
(23,18),-0.200076 # DEPENDENCYPART_ARC
(23,20),0.0248074 # DEPENDENCYPART_ARC
(23,21),0.0854778 # DEPENDENCYPART_ARC
(23,22),0.579622 # DEPENDENCYPART_ARC
(23,24),0.312213 # DEPENDENCYPART_ARC
