# _root_ — A kérdés provokatív , ám — bár ezt senki nem mondta ki — a le nem fektetett etikai normákból kiolvasható , hogy egy MÁV-vezérnek nem illik lecövekelni egyetlen párt mellé sem .
#goldHeads=6,3,4,6,6,0,23,23,12,12,12,23,12,23,20,18,18,20,20,23,23,23,6,25,28,27,23,27,30,31,28,27,6,
#predictedHeads=12,3,4,8,6,0,8,23,12,12,12,6,12,12,20,18,18,20,20,21,23,12,12,25,27,27,23,27,30,31,28,9,6,
(6,3),0.583882 # DEPENDENCYPART_ARC
(6,4),0.530435 # DEPENDENCYPART_ARC
(6,5),1.98383 # DEPENDENCYPART_ARC
(6,7),0.505058 # DEPENDENCYPART_ARC
(6,8),0.430669 # DEPENDENCYPART_ARC
(6,9),-1.15048 # DEPENDENCYPART_ARC
(6,11),-0.123702 # DEPENDENCYPART_ARC
(6,12),1.46144 # DEPENDENCYPART_ARC
(6,14),0.803961 # DEPENDENCYPART_ARC
(6,17),-0.117189 # DEPENDENCYPART_ARC
(6,21),-0.125119 # DEPENDENCYPART_ARC
(6,22),-0.183334 # DEPENDENCYPART_ARC
(6,23),1.26005 # DEPENDENCYPART_ARC
(6,26),-0.413005 # DEPENDENCYPART_ARC
(6,27),0.194346 # DEPENDENCYPART_ARC
(6,28),-0.542825 # DEPENDENCYPART_ARC
(6,29),-0.48568 # DEPENDENCYPART_ARC
(6,32),-0.405073 # DEPENDENCYPART_ARC
(6,33),4.98925 # DEPENDENCYPART_ARC
(8,1),0.970294 # DEPENDENCYPART_ARC
(8,3),0.761414 # DEPENDENCYPART_ARC
(8,4),0.72178 # DEPENDENCYPART_ARC
(8,5),1.04334 # DEPENDENCYPART_ARC
(8,6),1.07349 # DEPENDENCYPART_ARC
(8,7),1.40605 # DEPENDENCYPART_ARC
(8,12),0.951843 # DEPENDENCYPART_ARC
(8,13),-0.287823 # DEPENDENCYPART_ARC
(8,14),1.28746 # DEPENDENCYPART_ARC
(8,16),-0.420482 # DEPENDENCYPART_ARC
(8,21),-0.419637 # DEPENDENCYPART_ARC
(8,22),0.04826 # DEPENDENCYPART_ARC
(8,23),0.787506 # DEPENDENCYPART_ARC
(8,27),-0.0753121 # DEPENDENCYPART_ARC
(8,28),-0.607446 # DEPENDENCYPART_ARC
(8,33),2.44793 # DEPENDENCYPART_ARC
(9,3),-1.40199 # DEPENDENCYPART_ARC
(9,4),-0.91521 # DEPENDENCYPART_ARC
(9,5),-0.827829 # DEPENDENCYPART_ARC
(9,6),-1.02352 # DEPENDENCYPART_ARC
(9,8),-1.2154 # DEPENDENCYPART_ARC
(9,10),-0.575533 # DEPENDENCYPART_ARC
(9,11),-0.204527 # DEPENDENCYPART_ARC
(9,12),0.83973 # DEPENDENCYPART_ARC
(9,13),-0.0470706 # DEPENDENCYPART_ARC
(9,16),0.258576 # DEPENDENCYPART_ARC
(9,17),0.569972 # DEPENDENCYPART_ARC
(9,18),-0.612336 # DEPENDENCYPART_ARC
(9,19),-0.425955 # DEPENDENCYPART_ARC
(9,20),-0.697168 # DEPENDENCYPART_ARC
(9,21),-0.506327 # DEPENDENCYPART_ARC
(9,22),0.417238 # DEPENDENCYPART_ARC
(9,23),0.666251 # DEPENDENCYPART_ARC
(9,25),-0.629214 # DEPENDENCYPART_ARC
(9,26),0.443814 # DEPENDENCYPART_ARC
(9,27),0.182326 # DEPENDENCYPART_ARC
(9,28),-1.05375 # DEPENDENCYPART_ARC
(9,29),-0.303653 # DEPENDENCYPART_ARC
(9,30),-0.650579 # DEPENDENCYPART_ARC
(9,31),-0.341056 # DEPENDENCYPART_ARC
(9,32),0.662893 # DEPENDENCYPART_ARC
(9,33),-0.0646524 # DEPENDENCYPART_ARC
(11,1),-0.473807 # DEPENDENCYPART_ARC
(11,3),-1.40923 # DEPENDENCYPART_ARC
(11,7),-0.480909 # DEPENDENCYPART_ARC
(11,8),-0.391039 # DEPENDENCYPART_ARC
(11,9),-0.73178 # DEPENDENCYPART_ARC
(12,1),2.23565 # DEPENDENCYPART_ARC
(12,2),-1.26502 # DEPENDENCYPART_ARC
(12,3),-0.910623 # DEPENDENCYPART_ARC
(12,4),-0.950173 # DEPENDENCYPART_ARC
(12,5),0.354286 # DEPENDENCYPART_ARC
(12,6),0.357046 # DEPENDENCYPART_ARC
(12,7),1.07086 # DEPENDENCYPART_ARC
(12,8),-0.0425168 # DEPENDENCYPART_ARC
(12,9),0.960269 # DEPENDENCYPART_ARC
(12,10),1.52273 # DEPENDENCYPART_ARC
(12,11),3.11211 # DEPENDENCYPART_ARC
(12,13),3.54647 # DEPENDENCYPART_ARC
(12,14),1.53121 # DEPENDENCYPART_ARC
(12,15),-0.333114 # DEPENDENCYPART_ARC
(12,16),0.600555 # DEPENDENCYPART_ARC
(12,17),0.852552 # DEPENDENCYPART_ARC
(12,18),-0.413184 # DEPENDENCYPART_ARC
(12,19),-0.586679 # DEPENDENCYPART_ARC
(12,20),-0.696828 # DEPENDENCYPART_ARC
(12,21),-0.119639 # DEPENDENCYPART_ARC
(12,22),1.63024 # DEPENDENCYPART_ARC
(12,23),1.5988 # DEPENDENCYPART_ARC
(12,25),-0.585644 # DEPENDENCYPART_ARC
(12,26),0.189014 # DEPENDENCYPART_ARC
(12,27),0.491377 # DEPENDENCYPART_ARC
(12,28),0.171461 # DEPENDENCYPART_ARC
(12,29),-0.69512 # DEPENDENCYPART_ARC
(12,30),-2.10123 # DEPENDENCYPART_ARC
(12,31),-0.125602 # DEPENDENCYPART_ARC
(12,32),0.0581924 # DEPENDENCYPART_ARC
(12,33),3.41825 # DEPENDENCYPART_ARC
(13,1),-0.563737 # DEPENDENCYPART_ARC
(13,3),-1.1824 # DEPENDENCYPART_ARC
(13,4),-0.959717 # DEPENDENCYPART_ARC
(13,5),-0.672168 # DEPENDENCYPART_ARC
(13,6),-0.455081 # DEPENDENCYPART_ARC
(13,7),-0.452807 # DEPENDENCYPART_ARC
(13,8),-0.45049 # DEPENDENCYPART_ARC
(13,11),0.223951 # DEPENDENCYPART_ARC
(13,14),0.0695376 # DEPENDENCYPART_ARC
(13,23),-0.466962 # DEPENDENCYPART_ARC
(15,18),-0.202416 # DEPENDENCYPART_ARC
(15,19),-0.282039 # DEPENDENCYPART_ARC
(17,18),0.0434406 # DEPENDENCYPART_ARC
(17,19),0.209418 # DEPENDENCYPART_ARC
(17,20),-0.244012 # DEPENDENCYPART_ARC
(17,22),-0.326151 # DEPENDENCYPART_ARC
(17,27),-0.787153 # DEPENDENCYPART_ARC
(18,9),-1.31151 # DEPENDENCYPART_ARC
(18,11),-0.933666 # DEPENDENCYPART_ARC
(18,12),-0.719619 # DEPENDENCYPART_ARC
(18,15),-0.356726 # DEPENDENCYPART_ARC
(18,16),1.68354 # DEPENDENCYPART_ARC
(18,17),1.33594 # DEPENDENCYPART_ARC
(18,19),-0.576912 # DEPENDENCYPART_ARC
(18,26),-0.715525 # DEPENDENCYPART_ARC
(18,27),-0.796728 # DEPENDENCYPART_ARC
(19,15),-0.865239 # DEPENDENCYPART_ARC
(19,17),0.466692 # DEPENDENCYPART_ARC
(19,18),1.22888 # DEPENDENCYPART_ARC
(20,2),-1.55145 # DEPENDENCYPART_ARC
(20,3),-2.88188 # DEPENDENCYPART_ARC
(20,4),-0.936286 # DEPENDENCYPART_ARC
(20,9),-2.04847 # DEPENDENCYPART_ARC
(20,10),-1.5081 # DEPENDENCYPART_ARC
(20,11),-0.246913 # DEPENDENCYPART_ARC
(20,14),-0.106411 # DEPENDENCYPART_ARC
(20,15),1.41345 # DEPENDENCYPART_ARC
(20,17),0.4688 # DEPENDENCYPART_ARC
(20,18),2.46799 # DEPENDENCYPART_ARC
(20,19),3.70934 # DEPENDENCYPART_ARC
(20,31),-0.866859 # DEPENDENCYPART_ARC
(21,3),-2.22631 # DEPENDENCYPART_ARC
(21,6),-0.614505 # DEPENDENCYPART_ARC
(21,7),-0.500153 # DEPENDENCYPART_ARC
(21,8),-0.347865 # DEPENDENCYPART_ARC
(21,9),-1.37661 # DEPENDENCYPART_ARC
(21,11),-0.68786 # DEPENDENCYPART_ARC
(21,12),-0.84744 # DEPENDENCYPART_ARC
(21,14),0.152172 # DEPENDENCYPART_ARC
(21,15),-0.662073 # DEPENDENCYPART_ARC
(21,17),0.367037 # DEPENDENCYPART_ARC
(21,18),0.18432 # DEPENDENCYPART_ARC
(21,19),0.33475 # DEPENDENCYPART_ARC
(21,20),2.38326 # DEPENDENCYPART_ARC
(21,22),0.0488332 # DEPENDENCYPART_ARC
(21,25),-1.1812 # DEPENDENCYPART_ARC
(21,26),-0.67396 # DEPENDENCYPART_ARC
(21,27),-0.409024 # DEPENDENCYPART_ARC
(21,29),-0.539519 # DEPENDENCYPART_ARC
(21,30),-1.35038 # DEPENDENCYPART_ARC
(21,33),0.68322 # DEPENDENCYPART_ARC
(23,1),0.194848 # DEPENDENCYPART_ARC
(23,3),0.46889 # DEPENDENCYPART_ARC
(23,4),-0.461984 # DEPENDENCYPART_ARC
(23,5),0.283766 # DEPENDENCYPART_ARC
(23,6),-0.185419 # DEPENDENCYPART_ARC
(23,7),-0.0160708 # DEPENDENCYPART_ARC
(23,8),0.43563 # DEPENDENCYPART_ARC
(23,9),-0.858164 # DEPENDENCYPART_ARC
(23,11),0.47153 # DEPENDENCYPART_ARC
(23,12),-1.00626 # DEPENDENCYPART_ARC
(23,14),0.232163 # DEPENDENCYPART_ARC
(23,17),1.33114 # DEPENDENCYPART_ARC
(23,18),0.95043 # DEPENDENCYPART_ARC
(23,19),0.695957 # DEPENDENCYPART_ARC
(23,20),1.21015 # DEPENDENCYPART_ARC
(23,21),1.09545 # DEPENDENCYPART_ARC
(23,22),1.16725 # DEPENDENCYPART_ARC
(23,25),-0.98857 # DEPENDENCYPART_ARC
(23,27),0.989782 # DEPENDENCYPART_ARC
(23,28),0.312515 # DEPENDENCYPART_ARC
(23,30),-0.802485 # DEPENDENCYPART_ARC
(23,33),2.34975 # DEPENDENCYPART_ARC
(25,15),-1.06713 # DEPENDENCYPART_ARC
(25,20),-3.85078 # DEPENDENCYPART_ARC
(25,21),-1.04914 # DEPENDENCYPART_ARC
(25,22),-0.27679 # DEPENDENCYPART_ARC
(25,23),-1.1507 # DEPENDENCYPART_ARC
(25,24),2.82488 # DEPENDENCYPART_ARC
(25,29),-1.27458 # DEPENDENCYPART_ARC
(25,30),-1.60144 # DEPENDENCYPART_ARC
(25,31),-0.677894 # DEPENDENCYPART_ARC
(26,20),-0.809558 # DEPENDENCYPART_ARC
(26,21),-0.929923 # DEPENDENCYPART_ARC
(26,23),-0.73614 # DEPENDENCYPART_ARC
(26,25),0.163789 # DEPENDENCYPART_ARC
(26,30),-0.851067 # DEPENDENCYPART_ARC
(27,1),0.182165 # DEPENDENCYPART_ARC
(27,5),-1.10782 # DEPENDENCYPART_ARC
(27,6),-0.964534 # DEPENDENCYPART_ARC
(27,7),-0.396718 # DEPENDENCYPART_ARC
(27,8),-0.0766594 # DEPENDENCYPART_ARC
(27,9),-2.56467 # DEPENDENCYPART_ARC
(27,11),-0.69079 # DEPENDENCYPART_ARC
(27,12),-0.59123 # DEPENDENCYPART_ARC
(27,14),0.742062 # DEPENDENCYPART_ARC
(27,15),-1.44227 # DEPENDENCYPART_ARC
(27,17),-0.131435 # DEPENDENCYPART_ARC
(27,18),-1.17329 # DEPENDENCYPART_ARC
(27,19),-1.10054 # DEPENDENCYPART_ARC
(27,20),-0.172356 # DEPENDENCYPART_ARC
(27,21),-0.786408 # DEPENDENCYPART_ARC
(27,22),0.286022 # DEPENDENCYPART_ARC
(27,23),0.00320043 # DEPENDENCYPART_ARC
(27,24),-0.554807 # DEPENDENCYPART_ARC
(27,25),2.07333 # DEPENDENCYPART_ARC
(27,26),2.96749 # DEPENDENCYPART_ARC
(27,28),3.33884 # DEPENDENCYPART_ARC
(27,29),0.160677 # DEPENDENCYPART_ARC
(27,30),0.0830003 # DEPENDENCYPART_ARC
(27,31),0.579822 # DEPENDENCYPART_ARC
(27,32),0.47991 # DEPENDENCYPART_ARC
(27,33),1.51107 # DEPENDENCYPART_ARC
(28,1),-0.265509 # DEPENDENCYPART_ARC
(28,4),-1.88861 # DEPENDENCYPART_ARC
(28,5),-1.02893 # DEPENDENCYPART_ARC
(28,6),-1.46311 # DEPENDENCYPART_ARC
(28,7),-0.461267 # DEPENDENCYPART_ARC
(28,8),-0.42015 # DEPENDENCYPART_ARC
(28,9),-0.906289 # DEPENDENCYPART_ARC
(28,11),-1.08312 # DEPENDENCYPART_ARC
(28,12),-1.11746 # DEPENDENCYPART_ARC
(28,14),0.229101 # DEPENDENCYPART_ARC
(28,15),-0.992551 # DEPENDENCYPART_ARC
(28,17),-0.275841 # DEPENDENCYPART_ARC
(28,18),-0.509586 # DEPENDENCYPART_ARC
(28,19),-0.424587 # DEPENDENCYPART_ARC
(28,20),0.980145 # DEPENDENCYPART_ARC
(28,21),-0.265146 # DEPENDENCYPART_ARC
(28,22),0.258575 # DEPENDENCYPART_ARC
(28,23),-0.275468 # DEPENDENCYPART_ARC
(28,24),-0.622854 # DEPENDENCYPART_ARC
(28,25),1.78813 # DEPENDENCYPART_ARC
(28,26),1.48838 # DEPENDENCYPART_ARC
(28,27),1.30936 # DEPENDENCYPART_ARC
(28,29),0.662575 # DEPENDENCYPART_ARC
(28,30),0.655685 # DEPENDENCYPART_ARC
(28,31),0.939929 # DEPENDENCYPART_ARC
(28,32),0.549515 # DEPENDENCYPART_ARC
(28,33),0.977064 # DEPENDENCYPART_ARC
(29,28),-0.18361 # DEPENDENCYPART_ARC
(30,15),-2.0068 # DEPENDENCYPART_ARC
(30,24),-0.104122 # DEPENDENCYPART_ARC
(30,25),-3.14588 # DEPENDENCYPART_ARC
(30,26),-0.193596 # DEPENDENCYPART_ARC
(30,28),1.62539 # DEPENDENCYPART_ARC
(30,29),3.06327 # DEPENDENCYPART_ARC
(30,31),-0.316223 # DEPENDENCYPART_ARC
(31,21),-1.24112 # DEPENDENCYPART_ARC
(31,25),-1.26548 # DEPENDENCYPART_ARC
(31,29),0.533757 # DEPENDENCYPART_ARC
(31,30),3.36483 # DEPENDENCYPART_ARC
(32,14),0.256762 # DEPENDENCYPART_ARC
(32,20),-0.541349 # DEPENDENCYPART_ARC
(32,25),-0.372312 # DEPENDENCYPART_ARC
(32,26),0.239364 # DEPENDENCYPART_ARC
(32,28),-0.183225 # DEPENDENCYPART_ARC
(32,30),0.220056 # DEPENDENCYPART_ARC
(32,31),0.673806 # DEPENDENCYPART_ARC
(32,33),0.823554 # DEPENDENCYPART_ARC
