# _root_ Azt , hogy melyik banknév lehet alkalmas a kívülállók megtévesztésére , jelenleg az ÁPTF dönti el .
#goldHeads=15,15,15,5,6,1,6,9,10,6,15,15,14,15,0,15,15,
#predictedHeads=3,3,0,5,6,1,6,9,10,6,6,15,14,15,1,15,6,
(4,7),-0.422688 # DEPENDENCYPART_ARC
(4,9),-0.399451 # DEPENDENCYPART_ARC
(4,10),-0.98905 # DEPENDENCYPART_ARC
(5,1),-2.48727 # DEPENDENCYPART_ARC
(5,2),0.229721 # DEPENDENCYPART_ARC
(5,3),-0.27504 # DEPENDENCYPART_ARC
(5,4),2.70782 # DEPENDENCYPART_ARC
(5,6),0.0345494 # DEPENDENCYPART_ARC
(5,9),-1.16356 # DEPENDENCYPART_ARC
(5,10),-1.47588 # DEPENDENCYPART_ARC
(5,11),-0.10279 # DEPENDENCYPART_ARC
(5,12),-0.762719 # DEPENDENCYPART_ARC
(5,15),-0.660023 # DEPENDENCYPART_ARC
(5,17),0.185985 # DEPENDENCYPART_ARC
(6,1),-0.411908 # DEPENDENCYPART_ARC
(6,2),0.38056 # DEPENDENCYPART_ARC
(6,3),0.12409 # DEPENDENCYPART_ARC
(6,4),1.06897 # DEPENDENCYPART_ARC
(6,5),2.66145 # DEPENDENCYPART_ARC
(6,7),1.94022 # DEPENDENCYPART_ARC
(6,8),-0.433687 # DEPENDENCYPART_ARC
(6,9),0.715748 # DEPENDENCYPART_ARC
(6,10),2.11925 # DEPENDENCYPART_ARC
(6,11),1.06539 # DEPENDENCYPART_ARC
(6,12),0.528433 # DEPENDENCYPART_ARC
(6,13),-0.909772 # DEPENDENCYPART_ARC
(6,14),-1.01057 # DEPENDENCYPART_ARC
(6,15),0.89997 # DEPENDENCYPART_ARC
(6,16),0.822894 # DEPENDENCYPART_ARC
(6,17),2.24776 # DEPENDENCYPART_ARC
(7,1),-0.870098 # DEPENDENCYPART_ARC
(7,2),-0.259075 # DEPENDENCYPART_ARC
(7,3),-0.408344 # DEPENDENCYPART_ARC
(7,5),-0.694044 # DEPENDENCYPART_ARC
(7,6),0.260812 # DEPENDENCYPART_ARC
(7,9),-0.327783 # DEPENDENCYPART_ARC
(7,10),0.123918 # DEPENDENCYPART_ARC
(7,11),0.103266 # DEPENDENCYPART_ARC
(7,15),-0.47388 # DEPENDENCYPART_ARC
(7,17),0.379088 # DEPENDENCYPART_ARC
(8,7),-0.777318 # DEPENDENCYPART_ARC
(9,1),-4.47417 # DEPENDENCYPART_ARC
(9,3),-2.43463 # DEPENDENCYPART_ARC
(9,4),-1.54827 # DEPENDENCYPART_ARC
(9,6),-2.29321 # DEPENDENCYPART_ARC
(9,7),-0.738532 # DEPENDENCYPART_ARC
(9,8),2.44459 # DEPENDENCYPART_ARC
(9,15),-1.24007 # DEPENDENCYPART_ARC
(10,1),-3.52119 # DEPENDENCYPART_ARC
(10,2),-0.924617 # DEPENDENCYPART_ARC
(10,3),-1.27704 # DEPENDENCYPART_ARC
(10,4),-1.27888 # DEPENDENCYPART_ARC
(10,5),-0.838814 # DEPENDENCYPART_ARC
(10,6),-2.92703 # DEPENDENCYPART_ARC
(10,7),-0.88954 # DEPENDENCYPART_ARC
(10,8),1.0519 # DEPENDENCYPART_ARC
(10,9),4.16701 # DEPENDENCYPART_ARC
(10,11),-0.0601969 # DEPENDENCYPART_ARC
(10,12),-0.934634 # DEPENDENCYPART_ARC
(10,14),-0.960354 # DEPENDENCYPART_ARC
(10,15),-1.77134 # DEPENDENCYPART_ARC
(10,17),-0.238912 # DEPENDENCYPART_ARC
(12,2),-0.0273537 # DEPENDENCYPART_ARC
(12,3),-0.399355 # DEPENDENCYPART_ARC
(12,5),-0.488704 # DEPENDENCYPART_ARC
(12,6),0.0726297 # DEPENDENCYPART_ARC
(12,7),-0.0480729 # DEPENDENCYPART_ARC
(12,9),0.145138 # DEPENDENCYPART_ARC
(12,10),-0.299869 # DEPENDENCYPART_ARC
(12,11),0.427034 # DEPENDENCYPART_ARC
(12,14),0.209895 # DEPENDENCYPART_ARC
(12,15),0.420203 # DEPENDENCYPART_ARC
(12,17),0.192923 # DEPENDENCYPART_ARC
(14,8),-0.873617 # DEPENDENCYPART_ARC
(14,9),-2.07717 # DEPENDENCYPART_ARC
(14,10),-3.27788 # DEPENDENCYPART_ARC
(14,11),-0.53916 # DEPENDENCYPART_ARC
(14,12),-0.299042 # DEPENDENCYPART_ARC
(14,13),2.267 # DEPENDENCYPART_ARC
(14,17),-0.986441 # DEPENDENCYPART_ARC
(15,1),-0.889413 # DEPENDENCYPART_ARC
(15,2),0.058782 # DEPENDENCYPART_ARC
(15,3),0.0390534 # DEPENDENCYPART_ARC
(15,5),1.37082 # DEPENDENCYPART_ARC
(15,6),0.372215 # DEPENDENCYPART_ARC
(15,7),-0.182666 # DEPENDENCYPART_ARC
(15,8),-1.27497 # DEPENDENCYPART_ARC
(15,9),0.653615 # DEPENDENCYPART_ARC
(15,10),0.357842 # DEPENDENCYPART_ARC
(15,11),1.01657 # DEPENDENCYPART_ARC
(15,12),2.37475 # DEPENDENCYPART_ARC
(15,13),-0.29312 # DEPENDENCYPART_ARC
(15,14),3.44368 # DEPENDENCYPART_ARC
(15,16),2.98964 # DEPENDENCYPART_ARC
(15,17),1.67871 # DEPENDENCYPART_ARC
(16,2),-0.700313 # DEPENDENCYPART_ARC
(16,3),-0.573382 # DEPENDENCYPART_ARC
(16,5),-0.419541 # DEPENDENCYPART_ARC
(16,6),-0.429942 # DEPENDENCYPART_ARC
(16,9),-0.35773 # DEPENDENCYPART_ARC
(16,10),-0.759979 # DEPENDENCYPART_ARC
(16,11),-0.562541 # DEPENDENCYPART_ARC
(16,12),0.537056 # DEPENDENCYPART_ARC
(16,15),0.415085 # DEPENDENCYPART_ARC
(16,17),0.0352321 # DEPENDENCYPART_ARC
