# _root_ A megyei munkaügyi központokat és a társminisztériumokat is arra ösztönzi a gazdasági tárca , hogy segítsenek megoldani a bányászok elhelyezkedését , illetve átképzését megfelelő munkákra .
#goldHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,17,17,17,25,17,10,
#predictedHeads=4,4,4,10,10,7,10,10,10,0,13,13,10,10,10,9,16,19,20,17,10,25,24,25,17,10,
(11,12),0.0479293 # DEPENDENCYPART_ARC
(12,9),-2.41376 # DEPENDENCYPART_ARC
(12,11),-0.0380419 # DEPENDENCYPART_ARC
(13,1),-2.29486 # DEPENDENCYPART_ARC
(13,5),-1.51951 # DEPENDENCYPART_ARC
(13,6),-1.12098 # DEPENDENCYPART_ARC
(13,7),-4.99171 # DEPENDENCYPART_ARC
(13,8),-1.6672 # DEPENDENCYPART_ARC
(13,9),-1.82275 # DEPENDENCYPART_ARC
(13,11),2.28261 # DEPENDENCYPART_ARC
(13,12),3.17746 # DEPENDENCYPART_ARC
(13,14),-0.0904115 # DEPENDENCYPART_ARC
(13,16),-1.02569 # DEPENDENCYPART_ARC
(15,2),0.0772453 # DEPENDENCYPART_ARC
(15,3),-0.0678161 # DEPENDENCYPART_ARC
(15,4),-1.6505 # DEPENDENCYPART_ARC
(15,5),-0.245558 # DEPENDENCYPART_ARC
(15,7),-1.14267 # DEPENDENCYPART_ARC
(15,8),0.63265 # DEPENDENCYPART_ARC
(15,9),-0.625049 # DEPENDENCYPART_ARC
(15,10),-0.284383 # DEPENDENCYPART_ARC
(15,12),0.916607 # DEPENDENCYPART_ARC
(15,13),0.762403 # DEPENDENCYPART_ARC
(15,14),1.06875 # DEPENDENCYPART_ARC
(15,16),1.02409 # DEPENDENCYPART_ARC
(15,17),0.349919 # DEPENDENCYPART_ARC
(15,19),-1.0212 # DEPENDENCYPART_ARC
(15,20),-1.26074 # DEPENDENCYPART_ARC
(15,21),-0.076553 # DEPENDENCYPART_ARC
(15,22),0.0760031 # DEPENDENCYPART_ARC
(15,23),-1.78255 # DEPENDENCYPART_ARC
(15,25),-2.01902 # DEPENDENCYPART_ARC
(15,26),1.954 # DEPENDENCYPART_ARC
(16,4),-1.87758 # DEPENDENCYPART_ARC
(16,7),-1.6007 # DEPENDENCYPART_ARC
(16,8),-1.29039 # DEPENDENCYPART_ARC
(16,9),-2.87063 # DEPENDENCYPART_ARC
(16,10),-1.91561 # DEPENDENCYPART_ARC
(16,12),-2.19073 # DEPENDENCYPART_ARC
(16,13),-1.65883 # DEPENDENCYPART_ARC
(16,14),-0.55006 # DEPENDENCYPART_ARC
(16,15),-1.24938 # DEPENDENCYPART_ARC
(16,17),2.66224 # DEPENDENCYPART_ARC
(16,18),-0.482269 # DEPENDENCYPART_ARC
(16,19),0.632236 # DEPENDENCYPART_ARC
(16,20),1.71301 # DEPENDENCYPART_ARC
(16,21),1.14169 # DEPENDENCYPART_ARC
(16,22),0.921677 # DEPENDENCYPART_ARC
(16,23),-0.873752 # DEPENDENCYPART_ARC
(16,24),-1.15005 # DEPENDENCYPART_ARC
(16,25),0.784314 # DEPENDENCYPART_ARC
(16,26),1.40273 # DEPENDENCYPART_ARC
(17,1),-1.10847 # DEPENDENCYPART_ARC
(17,2),-1.19808 # DEPENDENCYPART_ARC
(17,3),-0.980078 # DEPENDENCYPART_ARC
(17,4),-0.349325 # DEPENDENCYPART_ARC
(17,5),-0.849526 # DEPENDENCYPART_ARC
(17,6),-1.27948 # DEPENDENCYPART_ARC
(17,7),0.00602052 # DEPENDENCYPART_ARC
(17,8),-0.671125 # DEPENDENCYPART_ARC
(17,9),-0.0247303 # DEPENDENCYPART_ARC
(17,10),-0.69663 # DEPENDENCYPART_ARC
(17,11),-1.03172 # DEPENDENCYPART_ARC
(17,12),-0.198085 # DEPENDENCYPART_ARC
(17,13),-0.984607 # DEPENDENCYPART_ARC
(17,14),0.558751 # DEPENDENCYPART_ARC
(17,15),-0.233536 # DEPENDENCYPART_ARC
(17,16),1.39009 # DEPENDENCYPART_ARC
(17,18),-0.33632 # DEPENDENCYPART_ARC
(17,19),0.387244 # DEPENDENCYPART_ARC
(17,20),3.35139 # DEPENDENCYPART_ARC
(17,21),0.594725 # DEPENDENCYPART_ARC
(17,22),0.217935 # DEPENDENCYPART_ARC
(17,23),0.0370584 # DEPENDENCYPART_ARC
(17,24),-0.243109 # DEPENDENCYPART_ARC
(17,25),0.794662 # DEPENDENCYPART_ARC
(17,26),0.448819 # DEPENDENCYPART_ARC
(19,11),-1.58428 # DEPENDENCYPART_ARC
(19,18),2.82074 # DEPENDENCYPART_ARC
(20,11),-1.8677 # DEPENDENCYPART_ARC
(20,13),-1.18218 # DEPENDENCYPART_ARC
(20,15),-1.13409 # DEPENDENCYPART_ARC
(20,17),0.335383 # DEPENDENCYPART_ARC
(20,18),1.20521 # DEPENDENCYPART_ARC
(20,19),4.44167 # DEPENDENCYPART_ARC
(20,21),-0.313241 # DEPENDENCYPART_ARC
(20,23),-1.68778 # DEPENDENCYPART_ARC
(20,25),-1.46201 # DEPENDENCYPART_ARC
(22,2),-0.449493 # DEPENDENCYPART_ARC
(22,3),-0.588378 # DEPENDENCYPART_ARC
(22,4),-1.93922 # DEPENDENCYPART_ARC
(22,5),-0.570312 # DEPENDENCYPART_ARC
(22,8),-0.377657 # DEPENDENCYPART_ARC
(22,9),-2.41669 # DEPENDENCYPART_ARC
(22,10),-0.0437179 # DEPENDENCYPART_ARC
(22,12),-0.990046 # DEPENDENCYPART_ARC
(22,13),-1.59182 # DEPENDENCYPART_ARC
(22,14),-0.244641 # DEPENDENCYPART_ARC
(22,15),-0.041735 # DEPENDENCYPART_ARC
(22,16),0.197765 # DEPENDENCYPART_ARC
(22,17),-0.238759 # DEPENDENCYPART_ARC
(22,18),-0.958973 # DEPENDENCYPART_ARC
(22,19),-0.198749 # DEPENDENCYPART_ARC
(22,20),-0.980552 # DEPENDENCYPART_ARC
(22,21),0.741467 # DEPENDENCYPART_ARC
(22,23),-0.42859 # DEPENDENCYPART_ARC
(22,24),-0.20679 # DEPENDENCYPART_ARC
(22,25),-1.04969 # DEPENDENCYPART_ARC
(22,26),0.490167 # DEPENDENCYPART_ARC
(23,18),-0.0744076 # DEPENDENCYPART_ARC
(23,19),2.81464 # DEPENDENCYPART_ARC
(23,20),-1.67985 # DEPENDENCYPART_ARC
(23,21),0.951099 # DEPENDENCYPART_ARC
(23,22),1.11251 # DEPENDENCYPART_ARC
(23,24),-0.530297 # DEPENDENCYPART_ARC
(23,25),-0.396695 # DEPENDENCYPART_ARC
(24,5),-0.547907 # DEPENDENCYPART_ARC
(24,7),-1.24694 # DEPENDENCYPART_ARC
(24,8),-0.462366 # DEPENDENCYPART_ARC
(24,15),-0.502291 # DEPENDENCYPART_ARC
(24,18),-0.345523 # DEPENDENCYPART_ARC
(24,19),-0.220522 # DEPENDENCYPART_ARC
(24,20),0.029853 # DEPENDENCYPART_ARC
(24,21),0.593167 # DEPENDENCYPART_ARC
(24,22),0.476572 # DEPENDENCYPART_ARC
(24,23),2.12309 # DEPENDENCYPART_ARC
(25,7),-4.28245 # DEPENDENCYPART_ARC
(25,11),-0.946027 # DEPENDENCYPART_ARC
(25,12),-0.252615 # DEPENDENCYPART_ARC
(25,13),-2.6976 # DEPENDENCYPART_ARC
(25,14),-0.935521 # DEPENDENCYPART_ARC
(25,16),-2.68031 # DEPENDENCYPART_ARC
(25,17),0.198262 # DEPENDENCYPART_ARC
(25,18),0.978622 # DEPENDENCYPART_ARC
(25,19),-0.0772929 # DEPENDENCYPART_ARC
(25,20),-2.50624 # DEPENDENCYPART_ARC
(25,21),0.483531 # DEPENDENCYPART_ARC
(25,22),1.26417 # DEPENDENCYPART_ARC
(25,23),-0.740482 # DEPENDENCYPART_ARC
(25,24),3.37743 # DEPENDENCYPART_ARC
(25,26),-0.31893 # DEPENDENCYPART_ARC
