# _root_ S bár aranyat ér minden találatuk , Hímer és Kökény hadrendbe állásával kézzelfoghatóvá vált , hogy a kubaiak játéka az egyéni improvizációra épül .
#goldHeads=14,14,4,14,6,4,14,12,12,12,12,14,14,0,14,14,18,19,23,22,22,23,14,14,
#predictedHeads=4,14,4,0,6,4,4,14,14,11,12,14,14,4,14,14,18,19,23,22,22,23,14,4,
(11,3),-4.3725 # DEPENDENCYPART_ARC
(11,4),-2.24499 # DEPENDENCYPART_ARC
(11,5),-0.676545 # DEPENDENCYPART_ARC
(11,6),-1.31698 # DEPENDENCYPART_ARC
(11,7),0.679825 # DEPENDENCYPART_ARC
(11,8),0.599013 # DEPENDENCYPART_ARC
(11,9),1.47018 # DEPENDENCYPART_ARC
(11,10),2.93848 # DEPENDENCYPART_ARC
(11,12),-1.34952 # DEPENDENCYPART_ARC
(11,13),-1.08037 # DEPENDENCYPART_ARC
(12,5),-1.23924 # DEPENDENCYPART_ARC
(12,6),0.59362 # DEPENDENCYPART_ARC
(12,7),0.524429 # DEPENDENCYPART_ARC
(12,8),0.940196 # DEPENDENCYPART_ARC
(12,9),0.963211 # DEPENDENCYPART_ARC
(12,10),2.37557 # DEPENDENCYPART_ARC
(12,11),1.94788 # DEPENDENCYPART_ARC
(12,13),-0.755331 # DEPENDENCYPART_ARC
(12,19),-2.02015 # DEPENDENCYPART_ARC
(12,23),-1.98837 # DEPENDENCYPART_ARC
(13,1),-0.428779 # DEPENDENCYPART_ARC
(13,2),0.214658 # DEPENDENCYPART_ARC
(13,3),-2.05757 # DEPENDENCYPART_ARC
(13,4),-1.50919 # DEPENDENCYPART_ARC
(13,6),-2.66279 # DEPENDENCYPART_ARC
(13,7),0.205803 # DEPENDENCYPART_ARC
(13,8),-1.25564 # DEPENDENCYPART_ARC
(13,9),0.416206 # DEPENDENCYPART_ARC
(13,10),-1.18727 # DEPENDENCYPART_ARC
(13,11),-0.190904 # DEPENDENCYPART_ARC
(13,12),-0.37991 # DEPENDENCYPART_ARC
(13,15),-0.398303 # DEPENDENCYPART_ARC
(13,18),-1.79674 # DEPENDENCYPART_ARC
(13,19),-1.98825 # DEPENDENCYPART_ARC
(13,23),-1.07525 # DEPENDENCYPART_ARC
(13,24),0.433644 # DEPENDENCYPART_ARC
(14,1),1.03698 # DEPENDENCYPART_ARC
(14,2),1.91101 # DEPENDENCYPART_ARC
(14,3),0.741789 # DEPENDENCYPART_ARC
(14,4),-0.11918 # DEPENDENCYPART_ARC
(14,5),-0.504758 # DEPENDENCYPART_ARC
(14,6),1.04453 # DEPENDENCYPART_ARC
(14,7),1.07465 # DEPENDENCYPART_ARC
(14,8),2.31007 # DEPENDENCYPART_ARC
(14,9),1.83349 # DEPENDENCYPART_ARC
(14,10),2.33101 # DEPENDENCYPART_ARC
(14,11),1.64354 # DEPENDENCYPART_ARC
(14,12),2.08231 # DEPENDENCYPART_ARC
(14,13),3.86704 # DEPENDENCYPART_ARC
(14,15),2.12723 # DEPENDENCYPART_ARC
(14,16),2.81829 # DEPENDENCYPART_ARC
(14,17),-0.72962 # DEPENDENCYPART_ARC
(14,18),-1.05023 # DEPENDENCYPART_ARC
(14,19),-0.148166 # DEPENDENCYPART_ARC
(14,20),-0.895525 # DEPENDENCYPART_ARC
(14,21),-1.28465 # DEPENDENCYPART_ARC
(14,22),-1.25901 # DEPENDENCYPART_ARC
(14,23),0.978691 # DEPENDENCYPART_ARC
(14,24),2.30176 # DEPENDENCYPART_ARC
(16,1),0.00333326 # DEPENDENCYPART_ARC
(16,2),0.233202 # DEPENDENCYPART_ARC
(16,3),-1.83821 # DEPENDENCYPART_ARC
(16,4),-0.335079 # DEPENDENCYPART_ARC
(16,6),-0.927529 # DEPENDENCYPART_ARC
(16,8),-0.571025 # DEPENDENCYPART_ARC
(16,9),-0.159278 # DEPENDENCYPART_ARC
(16,10),0.0803968 # DEPENDENCYPART_ARC
(16,11),-0.113788 # DEPENDENCYPART_ARC
(16,12),0.427364 # DEPENDENCYPART_ARC
(16,13),0.358595 # DEPENDENCYPART_ARC
(16,14),-0.0885001 # DEPENDENCYPART_ARC
(16,15),0.98172 # DEPENDENCYPART_ARC
(16,18),-0.495686 # DEPENDENCYPART_ARC
(16,19),-0.727487 # DEPENDENCYPART_ARC
(16,21),-0.493349 # DEPENDENCYPART_ARC
(16,22),-1.79401 # DEPENDENCYPART_ARC
(16,23),0.745396 # DEPENDENCYPART_ARC
(16,24),1.44194 # DEPENDENCYPART_ARC
(18,16),-1.33866 # DEPENDENCYPART_ARC
(18,17),2.77525 # DEPENDENCYPART_ARC
(19,9),-0.0485373 # DEPENDENCYPART_ARC
(19,10),0.00461443 # DEPENDENCYPART_ARC
(19,11),-1.65978 # DEPENDENCYPART_ARC
(19,12),-4.59187 # DEPENDENCYPART_ARC
(19,13),-3.19201 # DEPENDENCYPART_ARC
(19,14),-1.79109 # DEPENDENCYPART_ARC
(19,15),-0.0886174 # DEPENDENCYPART_ARC
(19,16),-0.272909 # DEPENDENCYPART_ARC
(19,17),1.46707 # DEPENDENCYPART_ARC
(19,18),4.49248 # DEPENDENCYPART_ARC
(19,20),-1.30504 # DEPENDENCYPART_ARC
(19,21),-0.677978 # DEPENDENCYPART_ARC
(19,22),-0.618154 # DEPENDENCYPART_ARC
(20,21),0.263838 # DEPENDENCYPART_ARC
(21,17),-1.37636 # DEPENDENCYPART_ARC
(21,18),-2.0071 # DEPENDENCYPART_ARC
(21,19),-2.37313 # DEPENDENCYPART_ARC
(21,20),-0.142322 # DEPENDENCYPART_ARC
(22,13),-2.7941 # DEPENDENCYPART_ARC
(22,15),-0.744087 # DEPENDENCYPART_ARC
(22,16),-0.956812 # DEPENDENCYPART_ARC
(22,17),-0.0827336 # DEPENDENCYPART_ARC
(22,18),-1.06371 # DEPENDENCYPART_ARC
(22,19),-2.28305 # DEPENDENCYPART_ARC
(22,20),2.05289 # DEPENDENCYPART_ARC
(22,21),3.26403 # DEPENDENCYPART_ARC
(23,1),0.277672 # DEPENDENCYPART_ARC
(23,2),1.53625 # DEPENDENCYPART_ARC
(23,3),-0.195075 # DEPENDENCYPART_ARC
(23,4),-0.662057 # DEPENDENCYPART_ARC
(23,6),0.199181 # DEPENDENCYPART_ARC
(23,7),0.218516 # DEPENDENCYPART_ARC
(23,8),0.939477 # DEPENDENCYPART_ARC
(23,9),0.887955 # DEPENDENCYPART_ARC
(23,10),0.874237 # DEPENDENCYPART_ARC
(23,11),-0.0500834 # DEPENDENCYPART_ARC
(23,12),-0.329228 # DEPENDENCYPART_ARC
(23,13),0.95706 # DEPENDENCYPART_ARC
(23,14),-0.157886 # DEPENDENCYPART_ARC
(23,15),0.468072 # DEPENDENCYPART_ARC
(23,16),-0.0343397 # DEPENDENCYPART_ARC
(23,17),-0.845013 # DEPENDENCYPART_ARC
(23,18),1.48093 # DEPENDENCYPART_ARC
(23,19),2.55753 # DEPENDENCYPART_ARC
(23,20),-0.363708 # DEPENDENCYPART_ARC
(23,21),0.628281 # DEPENDENCYPART_ARC
(23,22),3.36148 # DEPENDENCYPART_ARC
(23,24),1.20688 # DEPENDENCYPART_ARC
