# _root_ A Gazdasági_Minisztérium utasítja az ITD_Hungary vezérigazgatóját , hogy dolgozzanak ki olyan térségi programokat , amelyek lehetővé teszik a bányászok foglalkoztatását .
#goldHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
#predictedHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
(19,15),-1.66012 # DEPENDENCYPART_ARC
(19,16),-3.19613 # DEPENDENCYPART_ARC
(19,18),2.77338 # DEPENDENCYPART_ARC
(20,5),-1.31735 # DEPENDENCYPART_ARC
(20,11),-1.30118 # DEPENDENCYPART_ARC
(20,13),-3.44346 # DEPENDENCYPART_ARC
(20,14),-1.04227 # DEPENDENCYPART_ARC
(20,15),-1.60669 # DEPENDENCYPART_ARC
(20,16),-2.91034 # DEPENDENCYPART_ARC
(20,17),-0.763081 # DEPENDENCYPART_ARC
(20,18),1.30017 # DEPENDENCYPART_ARC
(20,19),4.5727 # DEPENDENCYPART_ARC
(20,21),-0.192212 # DEPENDENCYPART_ARC
