# _root_ Nehézség : a magyar nyelv , ugye és az időzónák eltolódása miatti fáradékonyság , aluszékonyság .
#goldHeads=0,1,5,5,15,15,15,15,10,11,12,13,15,15,1,1,
#predictedHeads=0,1,5,5,1,15,8,11,10,11,12,13,15,15,1,1,
(11,6),0.0196101 # DEPENDENCYPART_ARC
(11,8),0.789668 # DEPENDENCYPART_ARC
(11,9),1.06065 # DEPENDENCYPART_ARC
(11,10),4.38993 # DEPENDENCYPART_ARC
(11,13),-0.0311538 # DEPENDENCYPART_ARC
(11,14),0.0902679 # DEPENDENCYPART_ARC
(11,15),-1.0757 # DEPENDENCYPART_ARC
(11,16),-0.459844 # DEPENDENCYPART_ARC
(12,1),-1.99593 # DEPENDENCYPART_ARC
(12,2),-0.110701 # DEPENDENCYPART_ARC
(12,4),-0.842587 # DEPENDENCYPART_ARC
(12,5),-1.24365 # DEPENDENCYPART_ARC
(12,6),0.155219 # DEPENDENCYPART_ARC
(12,8),0.384355 # DEPENDENCYPART_ARC
(12,9),0.127901 # DEPENDENCYPART_ARC
(12,10),0.687933 # DEPENDENCYPART_ARC
(12,11),1.84739 # DEPENDENCYPART_ARC
(12,13),-0.223295 # DEPENDENCYPART_ARC
(12,14),-0.289922 # DEPENDENCYPART_ARC
(12,15),-1.35566 # DEPENDENCYPART_ARC
(12,16),-0.752355 # DEPENDENCYPART_ARC
(13,1),-2.63491 # DEPENDENCYPART_ARC
(13,2),-1.78921 # DEPENDENCYPART_ARC
(13,3),-0.10887 # DEPENDENCYPART_ARC
(13,4),0.246164 # DEPENDENCYPART_ARC
(13,5),-1.96853 # DEPENDENCYPART_ARC
(13,6),-0.0948491 # DEPENDENCYPART_ARC
(13,8),0.109358 # DEPENDENCYPART_ARC
(13,9),1.34536 # DEPENDENCYPART_ARC
(13,10),0.0826534 # DEPENDENCYPART_ARC
(13,11),0.267168 # DEPENDENCYPART_ARC
(13,12),3.5757 # DEPENDENCYPART_ARC
(13,14),0.145553 # DEPENDENCYPART_ARC
(13,15),-0.889204 # DEPENDENCYPART_ARC
(13,16),-0.155753 # DEPENDENCYPART_ARC
(15,1),-1.72616 # DEPENDENCYPART_ARC
(15,2),-1.3228 # DEPENDENCYPART_ARC
(15,3),-0.791936 # DEPENDENCYPART_ARC
(15,4),-0.415904 # DEPENDENCYPART_ARC
(15,5),-1.29926 # DEPENDENCYPART_ARC
(15,6),0.359365 # DEPENDENCYPART_ARC
(15,8),0.289119 # DEPENDENCYPART_ARC
(15,9),0.801726 # DEPENDENCYPART_ARC
(15,10),-0.590495 # DEPENDENCYPART_ARC
(15,11),-0.869882 # DEPENDENCYPART_ARC
(15,12),1.09743 # DEPENDENCYPART_ARC
(15,13),0.87973 # DEPENDENCYPART_ARC
(15,14),0.831926 # DEPENDENCYPART_ARC
(15,16),0.178654 # DEPENDENCYPART_ARC
